http://movie.douban.com/subject/2155335/	十七岁不哭
(5星)	 郝蕾的博客链接，李晨下面写着“简宁”            
(5星)	 青春是一本太仓促的书            
(5星)	 九零年代青春治愈系            
(NA)	 那会儿的郝蕾和牛萌萌真的好美！            
(NA)	 那时侯最喜欢简宁了            
(4星)	 简宁：你看，你把我都弄湿了（慢吞吞的说）郝蕾发育的真好。现在看感觉有些事儿真不可思议。            
(5星)	 爱死简宁了            
(5星)	 10年前的大爱            
(3星)	 那时候的早恋情节            
(5星)	 看过好多遍了。多年后再一次看。更多的是对于过往和自己的无奈。我们回不去了。            
(5星)	 二十多岁的时候看完《十七岁不哭》，想哭。            
(NA)	 郝蕾····跟我一天的生日，居然也是一个地方出来滴！            
(5星)	 郝蕾我很爱~            
(5星)	 每天放学回家要赶着看C8。。            
(4星)	 初中就看了，那时青涩啊。。。            
(5星)	 当时的牛萌萌那么难看。而我已经喜欢郝蕾，简宁这么多年。            
(5星)	 李晨......我的简宁            
(4星)	 为了那个十年后还记得的弹树枝的镜头            
(4星)	 雷蒙说，盛气凌人的凌~~~            
(4星)	 简宁！            
(4星)	 小时侯的记忆            
(5星)	 我们那个年代的经典啊。。            
(5星)	 很真实，勾起一段深埋的回忆。。。青春真美好！            
(NA)	 哇,印象好深            
(4星)	 我那时候超迷简宁！            
(5星)	 十年一梦            
(5星)	 这剧 突然很想念            
(5星)	 那时候恨不得剁了罗洋啊。。            
(3星)	 我走过了多少岁月，让我已记不起青涩，美好的点点滴滴。            
(5星)	 小学，初中。每次看都挺感动的，满喜欢宇凌和简宁            
(NA)	 十年前的记忆呀，呵呵            
(5星)	 那年的记忆啊            
(5星)	 记得当时年纪小。            
(5星)	 书也好看            
(5星)	 永远的            
(3星)	 郝蕾            
(5星)	 陈羽灵是我那时候的偶像            
(4星)	 简宁~~~可是高中不是那样子的            
(NA)	 恰同学少年            
(5星)	 想要遭遇简宁            
(5星)	 现在的孩子都不是这样的了            
(3星)	 每个人的青春都是珍贵的，经历是无法复制的。因为只有一次，所以很特别。学校是现实的，好成绩可以代表一切。被伤害的自尊心，被误解的委屈，被朋友孤立，所有的一切都是成长路上要经历的。枪炮与玫瑰，这是个不完美的世界。            
(4星)	 很好看            
(5星)	 十七岁以前的小朋友一定要看一看。            
(4星)	 当年我十岁还不到呢            
(5星)	 个人认为的经典电视剧之一，几乎每个情节都记忆犹新，里面的演员现在见到也还有莫名的亲切感。今天看到有人说郝蕾博客上对李晨的注释是简宁，而李晨博客上对郝蕾的注释是我心中永远的杨宇凌！突然感慨万千，那是他们的青春，也同样是我们的。十年过去，青春或许不再，但感动依然。            
(5星)	 应该算是我看的第一部青春校园启蒙剧。非常喜欢。十年了。是以纪念。            
(4星)	 当时的回忆            
(5星)	 初二时候晚上的电视剧            
(NA)	 套豆友的话,这才是真正的中国式青春。《十七岁不哭》的用心就足够让《八十岁的天空》那种完全不顾中国教育体制、中国学生的实际状况赤裸裸抄袭日剧《GTO》的电视剧汗颜回老家了。            
(4星)	 好看的            
(5星)	 “他说风雨中这点痛算什么 擦干泪不要怕 至少我们还有梦”。            
(4星)	 小时候觉得很遥远的时代            
(NA)	 青春的记忆：杨宇凌.......杨......            
(4星)	 郝蕾很漂亮            
(4星)	 认识了郝蕾            
(NA)	 小时候看的呗.内会挺喜欢的.现在看来觉得内剪辑可傻了.            
(5星)	 我初中记忆里的故事。            
(5星)	 #那些年我们一起追的女孩# 算个球啊！            
(4星)	 记得那会是假期，好像是暑假，每天下午演，在奶奶屋看的            
(NA)	 原来当年喜欢的 那个 是 郝蕾。            
(4星)	 初中的时候可爱了。 简宁神马的。            
(5星)	 郝蕾，李晨，天哪！那个时候的偶像剧~~~            
(5星)	 看完跟打了鸡血一样，那时候就爱上郝蕾。            
(5星)	 永远的记忆。            
(5星)	 塞 这才是贴近事实的青春剧啊！郝蕾笑起来超甜啊、、李晨狠帅啊-c-            
(5星)	 萌shi了            
(5星)	 那也曾是我们的青春故事            
(5星)	 郝蕾当年是多么纯            
(NA)	 以为没看过,结果确看过，印象早已模糊，找个时间在看下吧            
(NA)	 郝蕾…            
(5星)	 选择了风雨兼程，就只能放弃花前月下            
(5星)	 小时候好喜欢看啊。。            
(4星)	 中央8黄金时间的啊，必须看了。            
(5星)	 当年最喜欢最喜欢的剧了，青春启蒙剧啊！！！            
(5星)	 爱郝蕾，也爱李晨。            
(NA)	 下课后同学间的嬉闹背景声中出现过：你听过pink floyd的迷墙吗            
(4星)	 重温            
(5星)	 宿舍人在看，看了一眼，简直要泪奔了            
(5星)	 小学时候,中央八套放过几遍基本我就看过几遍..特别喜欢简宁就觉得人长得帅而且成绩好,每次雷蒙他们考试前急得都不行了,偷摸看书,只有他,很放心地睡觉...还记得有个镜头是杨宇凌在黑板上写了&#34;十七岁不哭&#34;五个字,当时我就想,17岁,啊,离得好远....但是现在却早已过了不哭的年龄            
(NA)	 看那青春一去不复返。            
(5星)	 千言万语涌上心头，却一句也无法说出            
(5星)	 曾经的年华，让人怀念。想起来心里兵荒马乱的，            
(4星)	 郝蕾            
(4星)	 里面的简宁竟然是李晨演的！            
(4星)	 哇，当年我居然看过。。            
(5星)	 小时候最喜欢的青春片~            
(3星)	 嫩啊嫩            
(4星)	 很好的教育材料 回头来看 小到学校 大到工作岗位 怎么处理人际关系 胜过自己的成绩            
(5星)	 啊啊啊啊！！美丽的郝蕾和到现在看见还会鸡冻的李晨啊 啊啊啊 啊！！！            
(5星)	 当年倾注了多少爱心在此啊！而且我今天才知道 原来还有郝蕾            
(5星)	 多经典啊            
(5星)	 纪念一下            
(5星)	 哎呦这个，李晨简直是我小时候的梦中情人~郝蕾也不错，哈哈，谁能想到时至今日她变成了一个彻头彻尾的女疯子（此乃八卦~）            
(5星)	 寒假翻旧片儿第二弹之简宁宁宁宁~~~杨宇凌那时候就如此混不吝，真好！            
(5星)	 那时候大家都好嫩好嫩，嫩的出水。            
(5星)	 成长遇到很到困惑，那都是必须的！谁让高中的时候人家也是问题小丫头啊            
(4星)	 李晨影响多少少女？            
(NA)	 内牛满面呀~            
(5星)	 最美好的年代，可惜一去不返，缅怀...            
(5星)	 有没有六颗星！            
(5星)	 小学看的~不就那么大点事儿嘛~至于那么纠结么？            
(5星)	 多好的姑娘            
(5星)	 看了这么多评论 我再看一遍这剧的心都有了            
(5星)	 十年前了吧。尤记得婴儿肥的杨宇凌，穿着背带裤，和简宁漫步在校园里的样子。            
(4星)	 那时候和妈妈每天追            
(NA)	 小时候的记忆            
(5星)	 简宁啊            
(5星)	 好想再看一遍啊。“上了高中，突然感觉游戏规则都变了。”那是个恋爱的季节。后来上了大学，感觉没有游戏规则了，然后被社会上了，整个世界观都被颠覆了，这就是从那个年代过来的80后走过的路吧。李晨&amp;赫蕾 我超爱啊 即使在颐和园里。还有牛萌萌，啊，都齐了。            
(5星)	 那种心慌的感觉我也有过......            
(5星)	 李晨郝蕾牛萌萌 特好看            
(5星)	 只记得简宁了            
(5星)	 怀念那个年代.            
(5星)	 太纯洁的童年回忆            
(NA)	 知道原来有个演员叫郝蕾            
(5星)	 杨宇凌和简宁 梦想型            
(5星)	 永远的杨宇凌。            
(4星)	 这是小学了~我还看过剧本呢 我第一本完整看完的厚书~            
(4星)	 大家都看过吧...- -            
(3星)	 人家都是看了这个电视剧喜欢上郝蕾，我是因为喜欢郝蕾n年后费尽八百地找这电视剧看,。纯真的有点不真实，不过反正我晚熟。书还在家里陈列着呢，12岁时候看的吧，也挺合适，反正我早熟            
(4星)	 老了啊!无论你我！            
(5星)	 在我初三，四校联考的紧要关头，我妈陪着我把这个剧看完的，一直期望能遇见一个简宁一样的男孩子，现在也是。            
(4星)	 郝蕾！            
(5星)	 这部电视剧对当年的我影响很大            
(4星)	 好久以前            
(3星)	 天蝎女+射手男            
(5星)	 青春。            
(3星)	 看过书 有看了剧  还是书写的更有意思！            
(4星)	 郝蕾太纯了            
(4星)	 唉……            
(5星)	 我潜意识中一定被杨宇凌影响了            
(5星)	 简宁就是小时候能满足小女孩所有幻想的白马王子。可是，后来，我们都长大了。            
(5星)	 一回头，也是十余年了啊。            
(4星)	 青春已不在            
(4星)	 郝蕾 李晨……            
(5星)	 美好的回忆当然要给五星，只是我这无能的记忆呀            
(NA)	 CCTV8；简宁和杨宇凌；我是不是太小了，看此剧太早了？自己的高中生活哪有这么精彩？            
(3星)	 对高中的憧憬就是这部片子开始的。打啊吵啊闹啊哭啊心动啊纠结啊最后好好读书吧~            
(5星)	 第一次看的时候我带着的是对十七岁的憧憬，现在看它伴着我对高中满满的回忆            
(5星)	 曾經的最愛。。。。&gt;&lt;            
(4星)	 嘿，那时候我也17岁呀！            
(5星)	 当时什么都不懂 但还是默默地说一句 我暗恋简宁啊=V=            
(4星)	 可怜我的高中生活没有丝毫乐趣，整天就是看书看书看书            
(4星)	 高中生都爱看，填补了自己对高中所有有关梦幻的想象。            
(5星)	 神啊，在這樣的晚上居然給我推薦了這個。為曾經，五星。            
(4星)	 long long time ago...            
(5星)	 最近好像陷入了无以复加的怀念时间            
(4星)	 好久好久以前看的 大概小学还是初中吧 记得我喜欢的帅帅的雷蒙 记得帅气成绩又好脾气也好的简宁 记得活泼的杨宇凌             
(5星)	 小时候好爱看的，反映中学生间的简单校园生活            
(5星)	 哈哈，那么小我就立志找一简宁这样儿的智慧型帅哥～～～            
(3星)	 陪我吃晚饭的电视剧。            
(NA)	 在我心里 郝蕾永远是杨宇凌            
(5星)	 简宁啊简宁！            
(5星)	 原来，我以前就见过你~            
(4星)	 以前特迷雷蒙，后来演雷蒙的演员长大了，就变得不认识了。            
(5星)	 多么热爱的一部电视剧。有些台词过了这么多年还是记得。            
(4星)	 比十六岁花季好```            
(4星)	 只记得里面有郝蕾和李晨，不记得还有牛萌萌呢            
(NA)	 简宁            
(4星)	 当年很向往的高中生活呢：）            
(5星)	 我爱简宁，我爱宇凌            
(NA)	 同十六岁花季……            
(5星)	 我爱简宁，我爱郝蕾            
(NA)	 杨宇凌、简宁。            
(5星)	 经典啊~            
(4星)	 经典校园剧            
(5星)	 每播必看            
(5星)	 满满的都是高中的回忆。            
(NA)	 学校组织看的，完全忘记了            
(NA)	 我竟然不知不觉看了三遍 ~~那时候哥还让我帮她抄歌词..            
(5星)	 我还刻了碟~~            
(5星)	 如今都是腕儿了~            
(5星)	 ……岁月无情啊            
(4星)	 小学时候特喜欢的。。。            
(5星)	 承载了多少呢  年少时的青春萌动   那个时候开始认识杨宇凌（那个时候好像改成和她一样的名字）喜欢她的霸气和坚强 以及郝蕾的美丽  还有简宁  典型的优等生  却也有自己的困扰  乐心是看着不起眼  却聪明的知道未来该走的路  还有一个  ...雷蒙 很冲突的一个人  霸气的有点            
(5星)	 青春的回忆            
(5星)	 属于高一的回忆，不是淡了，而是沉淀了。            
(NA)	 青春有點 。。            
(5星)	 我老了~            
(NA)	 年代必看            
(5星)	 曾经这个电视剧让我学会一个词，叫迷茫            
(5星)	 当年最爱的校园连续剧...            
(4星)	 初中的时候看的电视剧，那时候是中午播出的天天中午一放学就骑着自行车飞快的冲回家里，看这部电视剧            
(4星)	 那年我也17。。。            
(NA)	 我喜欢雷蒙，弹吉他的男孩。却更爱简宁，干净平稳，内心暗涌。郝蕾至今任然活跃在荧幕。            
(5星)	 太打动人心的电视剧了 因为太真实            
(5星)	 我们回不去的美好青春            
(4星)	 小时候好像挺喜欢得            
(5星)	 所以对成长青春甚至懵懂爱情的憧憬都是由这部剧开始            
(NA)	 小学            
(5星)	 李小晨19岁时拍的~            
(5星)	 时间凝固在那一刻.            
(NA)	 我最近喜歡呢            
(4星)	 大陆的青春片好的真不多所以弥足珍贵            
(5星)	 高级的校园片！当年的吴哲！            
(5星)	 谁不是一边受伤，一边学坚强            
(5星)	 真高兴我的童年里有这样一部电视剧，单纯、青涩却又活力十足。我学生时代的轨迹也像在刻意追求一样，走过了他们那样磕磕绊绊却又收获颇丰的路。            
(5星)	 简宁。我年少时的偶像啊。            
(5星)	 记忆中的国产青春片中很好的了~~            
(5星)	 年轻的时候看的，至今难忘！            
(5星)	 简宁的笑容            
(NA)	 我那时对高中巨向往啊            
(4星)	 你不再17岁。我也不再。            
(5星)	 十七岁不哭之后，印象中再无那么自然清新的校园片，以后的小演员们出师未捷身先熟，表演都带着太浓烈的匠气，而在十七岁不哭里面，你觉得那些孩子真的就是在本色演出，即使他们说着很多如今看来故作深沉的话，可是你不能感到矫情，因为细想起来，谁高中的时候没装过深沉呢？而现在的小孩已经不装深沉了            
(4星)	 经典啊~曾经很喜欢简宁            
(5星)	 17岁的记忆            
(NA)	 17            
(NA)	 我对高中的憧憬啊。上了才发现根本不是那么回事            
(3星)	 唉，老了。            
(4星)	 小时候 很喜欢            
(5星)	 我好爱哒~青春经典剧哈哈            
(5星)	 10年过后，才觉得好。            
(4星)	 我觉得比十六岁花季好看            
(5星)	 很怀念这样的电视剧，很怀念这样的青春            
(5星)	 十年前的唯一            
(NA)	 02夏天的回忆            
(4星)	 是在我少年时代对我影响很大的一本书的改编版本，让我在别人的成长中看到了自己的影子。他们的形象依然历历在目。            
(NA)	 我都会觉得自己有记性好的时候~            
(5星)	 17岁原来已经很远了。            
(NA)	 初中有一次开班会我就讲了一刻钟这个喜欢郝蕾            
(5星)	 好喜欢郝蕾和李晨~~            
(5星)	 小时候            
(5星)	 原来都这么多年了啊⋯⋯T_T            
(3星)	 当年那水灵灵的简宁哟。。。            
(5星)	 小时候喜欢看的片             
(5星)	 青春期的回忆            
(NA)	 以今天的眼光看来它可能不是那么精彩绝伦；但小说和电视，陪伴我的青春年少那些年，带给我的那些悸动和牵挂，永远也忘不了。不可磨灭的NO.1。            
(3星)	 1997            
(5星)	 当年很朦胧的 感觉            
(3星)	 那时候就很喜欢郝蕾~！            
(4星)	 我在看这片的时候老向往寝室生活了，老向往高中生活了，可是现实不是这样子地。            
(5星)	 原来有郝蕾和牛萌萌....我只知道李晨！！！            
(5星)	 青春无话可说            
(NA)	 原来郝蕾是主演 怪不得看颐和园的时候觉得她很美 笑起来的样子像每个男生幻想的初恋一样            
(4星)	 十七岁之前对十七岁那年所有的幻想。有那么一些剧看了一遍又一遍还是乐此不彼。            
(4星)	 记忆里永远的简宁和杨宇凌            
(4星)	 原来她就是现在的郝蕾啊!!             
(5星)	 那时候李晨美得荡漾            
(4星)	 这儿认识的李晨和郝蕾。            
(3星)	 ……青涩，遥远。            
(4星)	 年少的记忆啊，简宁啊！            
(5星)	 他们说没有永远的温室花朵...            
(4星)	 简宁说：就算再兵荒马乱，我也要从容。            
(1星)	 细节的精细程度令人惊叹            
(5星)	 少女时期的悸动啊            
(NA)	 那时候可懵懂了呢~            
(4星)	 - -十七岁老早过了 可是一如既往爱简宁这种读书好长相好的斯文小班长啊....            
(4星)	 我居然把97年的片子又翻出来看了，怎么都觉得自己老了油了没有那股认真劲儿了            
(NA)	 看着看着又对号入座了。。。居然哭了。。。我真没出息。。。            
(5星)	 一直怨念杨宇凌喜欢的为什么不是雷蒙……兵荒马乱            
(5星)	 就是因为看这个爱上郝蕾的。            
(5星)	 初中的回忆。            
(4星)	 年轻的气息 羡慕和感动。我喜欢雷蒙            
(4星)	 剧情已经有点记不起了 当时就郝蕾真好看            
(5星)	 小学时喜欢的连续剧            
(5星)	 果真是这部，终于碰到了。            
(3星)	 剧情不记得了,只知道多年后,他们有的红了,有的也小有名气了            
(5星)	 每个人心中都有自己的执念。但是聪明的人懂得，不是在今日悔恨昨天，而要因为曾经经历而充满幸福。            
(4星)	 “盛气凌人”那问题，我也遇到，也那么纠结，也得那么过来的。大家都喜欢简宁，我是会喜欢上雷蒙的            
(5星)	 李晨！！！！！！！！            
(4星)	 比当年很红的花季雨季，拍出来好看很多            
(5星)	 我的爱·啊~~呵呵 还跑遍各个书店去买过书呢！呵呵            
(5星)	 小时候最喜欢的一部喂！            
(5星)	 想再看一遍            
(3星)	 和《花季雨季》同一时期的记忆，拍摄地居然是北师大…图书馆、物理楼…            
(5星)	 我就小时候超喜欢这个。。。我跟我妈说这一定是真的，我妈非说这揍是人家编出来的blahblah            
(4星)	 那时候。。。            
(4星)	 那时好喜欢郝蕾            
(5星)	 永遠忘不了的簡寧，永遠忘不了的楊宇凌，永遠忘不了的雷蒙，那就是我們成長的年代，那就是我們忘不了的歲月青春，那就是我們懷念的日子，那就是我們一去不複返的青春時光            
(4星)	 　一个仪态万方的人在你面前失态，不仅说明这是他/她爱上你的瞬间,这也往往是促使你爱上他/她的瞬间，因为这让你看到了他/她超乎寻常的一面，真实又可爱的一面。            
(5星)	 简宁和杨宇凌的经历太像我的初恋了。。。最后没在一起是挺可惜的，不错这才是我们中国式的青春啊~我心中最好的内地青春剧。            
(5星)	 小时候的记忆 哭了一次又一次            
(5星)	 百轉千回的樓梯，你堵住他，淚流滿面，“ 簡寧，簡寧......我不希望你怕了。” 你愛着的男孩拒絕兵荒馬亂不肯陪你遭遇今天，相別，從此隔音塵。如果故事有續集，曾經的青澀少年必是一路順遂，卻不知清華園中歎息橋下，依偎在他身旁的姑娘可是你。            
(4星)	   印象還挺深的。            
(NA)	 十七岁的青春啊            
(NA)	 那么的怀念高中的时光，那个时候的我们阳光、快乐、简单~             
(5星)	 小时候超爱看            
(5星)	 青春啊            
(5星)	 先打五星，再做长评！            
(4星)	 郝蕾她……            
(5星)	 异常怀念的青春啊，我喜欢他们~~~            
(NA)	 儿时的梦            
(5星)	 老湿喜欢~~那个时候老衲还是小弟弟呐~~~就是弟弟还很小~~~哈哈哈哈~~~~~十七岁太苍白了吧~~            
(NA)	 我靠我今天花一天把这课给补上了，我容易吗我            
(5星)	 简宁 简直是我12岁对未来男朋友的全部标准……            
(5星)	 我才想起来我看过《十七岁不哭》的，当时觉得李晨好帅啊~现在也蛮帅~            
(5星)	 早恋教育片时至今日仍然喜欢郝蕾和李晨            
(3星)	 高中时好象看过            
(NA)	 上初中那会儿看的 觉得高中生好酷炫 自己上了高中后 只觉得真他妈一笔屌糟            
(4星)	 挺怀念的。。            
(NA)	 女一女二竟然是郝蕾和牛萌萌！            
(NA)	 从憧憬17岁，一直看到17岁逝去。            
(5星)	 看过颐和园之后再看郝蕾感觉特别扭，不过李晨还是李晨。            
(NA)	 卧槽卧槽。。。这片子啊。。。李晨帅呆了 知道现在看到郝蕾 还是忍不住叫她杨宇凌            
(5星)	 青涩的脸上是对未来的期望 那时候我们还都是有梦想的             
(4星)	 郝蕾这个形象发育是早了点            
(4星)	 那时多么喜欢简宁。。。            
(4星)	 我就记得郝蕾             
(3星)	 年轻时的偶像阿            
(4星)	 童年的记忆。每个人的个性都很鲜明。整部剧都有着青春的忧伤，当然还有希望啦。算是主旋律之下的一部好作品。            
(5星)	 为什么现在放假都不重播这个？？！！            
(3星)	 小时候非常非常爱看            
(4星)	 当时看着书看着电影开始幻想上了初中高中的自己也会遇到一个高高瘦瘦的阳光男生...结果也只是幻想而已啊            
(5星)	 那一年，我正好十七岁            
(4星)	 简宁啊简宁。。。郝蕾啊郝蕾            
(NA)	 现在看真有点不好看了            
(5星)	 杨宇凌，雷蒙！            
(5星)	 童年回忆啊~~~~~~~~            
(3星)	 有些眼神挺到位的。可能年轻的时候看才会唏嘘不已吧。而对我来说，却已经是 the older i get, the less i care.            
(5星)	 这就是初中啊...            
(5星)	 小时候的记忆是10颗星的            
(3星)	 早了……            
(3星)	 我的青春，我的十七岁，永远的简宁和杨宇凌            
(5星)	 杨宇凌~            
(5星)	 小时候很爱看！！            
(NA)	 足够经典的电视  偶像级简宁  向往杨宇凌 的高中            
(5星)	 郝蕾            
(5星)	 那个时候谁不想遇见这样一个简宁，直到现在依然。            
(5星)	 郝蕾当时的身材，着实不像17岁的~~            
(5星)	 突然看到 然后想到...            
(5星)	 简宁就是李晨，现在才知道。            
(NA)	 郝蕾奶真大            
(5星)	 那时可喜欢简宁了！！！            
(5星)	 经典            
(5星)	 简直了，当时看这片儿，觉得这些学生好有志向            
(5星)	 很喜欢那个时候的郝蕾            
(5星)	 我有无与伦比的正义感和使命感，能给我一个简宁嘛？            
(5星)	 当年郝蕾多年轻啊，李晨倒是永远不变样。少年简宁啊。            
(5星)	 我那个年代的经典，经典啊            
(5星)	 早就回不去了···            
(5星)	 当年记忆最深刻的“校园偶像剧”一定嘚看过啊！            
(5星)	 真的真的，简宁和杨宇凌我惦记纠结了好几年。还有，为神马我一直觉得雷蒙是暗恋杨宇凌的呢…… &gt; &lt;            
(4星)	 十七岁的时候没等到简宁，二十三岁可不可以给我一个简宁~            
(4星)	 怀念那段时光。            
(4星)	 李晨啊，当年简宁那个迷人……            
(5星)	 回忆回忆回忆。。。。。。。。。。            
(5星)	 啊简宁雷蒙~            
(4星)	 好吧，对高中的第一次幻想~~话说当年我还真年轻啊            
(5星)	 往日的青春，十七岁不哭，二十七岁了还是会哭。            
(4星)	 小学记忆            
(3星)	 那个当年啊~~~~            
(5星)	 我小时候非常爱看的电视剧            
(5星)	 青春懵懂！！！！            
(5星)	 电视上放这剧的时候我才小学五年级，因为姓杨长头发班干部还被同学叫“杨宇凌”，上初中又在电视上零碎看了一点，杨宇凌兴奋得睡不着的那个晚上我也没睡着，现在念大学了又下了看，我还是被那些孤独困惑心慌十七岁的点滴轻易触动，我还是想念杨宇凌简宁乐心雷蒙和那本不是只有欢乐的叫做青春的书。            
(5星)	 编剧当时只有十八岁 震惊了。。。            
(4星)	 谁不是一边哭一边学坚强。            
(5星)	 电视剧3遍以上，书3遍以上。对我影响很大，第一遍是小学看的，一直对现在还会有影响            
(5星)	 李晨            
(4星)	 这当年多火的小剧啊！还记得里面有个男的似乎叫 吕宁            
(5星)	 是影响我至深的一部电视剧。初中时。            
(5星)	 简宁说 忍受和坚持 就是浑身燥热的时候，走进火炉旁的感觉            
(5星)	 郝蕾最可爱的一次就是变成了杨宇凌！李晨依然很简宁~~~~            
(5星)	 哦....简宁。哦...杨宇凌。            
(3星)	 当年就忙着花痴简宁了。。。完全不记得演的什么了 。然后很多年后，终于简宁在士兵突击里面红了 变成了此男只应天上有的李保全了。。。不喜欢风车里面的梁尘            
(4星)	 同《花季雨季》、《红十字方队》等一同融入青春的记忆            
(5星)	 青春呀 都再也回不去了            
(4星)	 简宁得是多少人的初恋呀~            
(5星)	 曾经的17岁，曾经的青春-----高考8周年            
(5星)	 再次看看这部少年青春剧，算是中国青少年剧里拍得最好的了~不做作，每个人都很真实。虽然只有短短的十集，但那些角色却都在心里发了根。我没看过《士兵突击》，可我一直都记得那个叫简宁的男生。我记得雷蒙，记得郝蕾，记得岳晓丹，记得乐欣，每个人最年轻的那段时光，都刻在我记忆里~            
(4星)	 印象中看過的第一部青春劇，第一次認識郝蕾，那時她也很美啊~~~            
(4星)	 啊原来我也看过            
(3星)	 曾经的豆蔻            
(4星)	 永远的17 岁             
(NA)	 郝蕾真棒            
(4星)	 那时的李晨真是帅死了~~~            
(4星)	 现在再回头来看，青春的年纪真是故事多啊！            
(5星)	 这就是80厚的导演拍的            
(3星)	
(3星)	 看《17岁不哭》的时候就已经没有看《16岁的花季》时那么青春了。            
(5星)	 小时候~            
(5星)	 超级怀念            
(5星)	 少年不知愁滋味            
(NA)	 那些美好的不美好快乐的不快乐的少年时光            
(4星)	 我们应当高兴 至少还留有这样的片子 还有一些 和它一样亲切的片子们 它们渗透了那几年  真实臆想交杂的那几年的味道 十几岁 就是那么几年            
(4星)	 看了颐和园，想起郝蕾想到的，是她的第一步影视剧吧。            
(4星)	 年轻真好！            
(5星)	 一晃都10多年了            
(4星)	 从那时起开始注意 郝蕾              
(5星)	 想当年一放学飞速骑车回家赶着看的情景 当时只有天龙八部有这待遇的             
(5星)	 国产的经典。            
(5星)	 简宁啊简宁！当年我小学，他19岁，现在我大学快毕业了，他也30了。永远是记忆里干干净净的样子~            
(5星)	 那个充满单纯和美好还有贫乏的年代啊。            
(5星)	 重返十七岁            
(4星)	 好喜欢简宁啊~~~            
(5星)	 简宁            
(5星)	 中国式残酷青春            
(5星)	 简宁            
(NA)	 好吧 我承认我其实已经完全忘光了剧情            
