http://movie.douban.com/subject/2212156/	家有仙妻
(NA)	 遥远的回忆            
(4星)	 很不错。            
(4星)	 小学，中学一直想看，以后就再看到哪个电视台重播            
(4星)	 孙兴啊，孙兴~~            
(5星)	 大愛。            
(NA)	 何丽丽..            
(5星)	 我也想要这个镯子            
(4星)	 小时候跟妈妈一起看的            
(5星)	 孙兴被马桶抽子吸成大黑嘴！            
(4星)	 到现在都记得有个神奇手镯            
(4星)	 台剧的高度            
(5星)	 第一次接触闽南语 第一部看的台湾剧 小时候我经常说那句“挖西MIA都木GIA”到来这之后才明白它的意思 呵呵            
(4星)	 我小时候喜欢的。            
(5星)	 小学的片子了吧……            
(5星)	 绝对的经典             
(5星)	 好玩儿的孙兴~            
(5星)	 小时候特想要一个何莉莉的内个镯子~            
(4星)	 真的,我10岁时候的梦中情人是孙兴..不要笑我~~~            
(3星)	 小时候魔了似的想要那个手镯~            
(4星)	 失恋阵员联盟            
(5星)	 看康熙看到澎恰恰。老得快认不出来。。麻痹我我小时候最爱的电视剧啊。你们这些演员偷走我童年啊 啊啊T.T            
(4星)	 童年回忆            
(4星)	 主题曲太经典了。            
(4星)	 不管孙兴有没有吸毒 给我的感觉都还是那么的正面 幽默又搞笑啊！            
(4星)	 小时候。            
(5星)	 不推不行啊！！！            
(3星)	 备忘Mark。            
(5星)	 我尼玛重温！！！！！！！！！！！！！！！！！！！            
(4星)	 生活就是笑笑笑。            
(5星)	 小时候好羡慕那手镯            
(4星)	 桃花大鼻孔            
(NA)	 到现在一听到主题曲还是觉得无比欢乐啊            
(4星)	 他总是只留下电话号码~~             
(4星)	 笑蠢了            
(5星)	 情节全部都忘记了。但夹杂的记忆却扑面而来。            
(5星)	 小时候看了好几遍呢            
(NA)	 其实印象没有那英本山叔深刻.....            
(4星)	 魔术魔术            
(4星)	 童年回忆啊~~~            
(5星)	 那个时候的 孙兴             
(4星)	 一直幻想能有一只這樣的手鐲～～～            
(4星)	 当年的孙兴，戈伟如，蓝心湄啊……还有KTV必点的失恋阵线联盟~            
(5星)	 最爱模仿陈天贵            
(NA)	 补遗   （那主题曲……）            
(NA)	 都是回忆啊！！            
(4星)	 小时候的回忆啊喜欢那首歌            
(5星)	 小时候            
(4星)	 前面很好看            
(NA)	 好小好小的记忆            
(5星)	 哈哈！~家有仙妻！~爱死了！~            
(NA)	 太古老了            
(4星)	 那年看得极少数的魔幻题材之一，对那个镯子印象极为深刻            
(5星)	 我秋亚内母gia///            
(5星)	 我那灿烂的中学时光啊，五星，已然开始怀旧的人，共勉。            
(NA)	 童年回忆            
(5星)	 太经典了            
(5星)	 玉镯子呀何莉莉~            
(5星)	 作了妈妈好几天让她给我买镯子。            
(3星)	 小时候看过            
(4星)	 最早的对台湾电视搞笑剧的印象。            
(4星)	 那个镯子            
(5星)	 孙兴太囧了。            
(5星)	 还想看            
(4星)	 小时候看了好多遍很想要那个镯子…            
(5星)	 她总是只留下电话号码            
(3星)	 魔幻台剧…………            
(NA)	 1990            
(4星)	 很有趣的电视剧 草蜢的主题曲很不错 澎恰恰很搞笑            
(3星)	 那时候，喜欢这样神奇的镯子。那时候，知道阿华田，那时候，希望自己也有超能力。对戈伟如的印象比较深刻，很美艳很娇羞，整人的方式也很另类。            
(4星)	 满搞笑的            
(5星)	 我怀念的            
(5星)	 唉。。            
(5星)	 因为彭恰恰可爱            
(3星)	 想来这是穿越的鼻祖？何莉莉的笑声真是吃不消            
(5星)	 万人空巷级别的神作...彭恰恰的鼻孔            
(5星)	 多次幻想着也拥有一只魔法玉镯。            
(NA)	 萧蔷还是那时候好看            
(4星)	 很搞! 很想要那支手镯!            
(4星)	 很好看            
(5星)	 害我做了多年关于神奇手镯的梦！            
(5星)	 到现在我还记得            
(4星)	 记忆中的温暖。            
(4星)	 让人怀念童年啊～小时候很爱看～            
(4星)	 小时候接触的比较早的台湾剧.             
(NA)	 所谓童年...=w=            
(NA)	 有魔法...            
(5星)	 小学啊            
(4星)	 梅有才，镯子，孙兴，只有这些记忆。            
(NA)	 如果你不小心也想起她 就在记忆里画一个叉            
(4星)	 多少年了。            
(4星)	 哈哈哈~赐偶仙镯            
(3星)	 可爱的电视剧，第一次认识沈公子——孙兴            
(NA)	 澎恰恰偶像喔            
(5星)	 非常好看             
(4星)	 神奇的手镯   《失恋阵线联盟》成了去ktv必点的热场歌之一诶            
(NA)	 小时全家的爱            
(4星)	 呃……            
(NA)	 囧囧有神            
(4星)	 她总是~只留下电话号码~从不肯~让我送她回家~~            
(NA)	 听主题曲听得好想重温一下电视剧╮(╯▽╰)╭            
(4星)	 很嘈的            
(5星)	 哈哈哈～～很好看            
(5星)	 郵差總是按錯門鈴            
(5星)	 哈哈哈哈。我不行了。。突然想起来看过这个            
(5星)	 100颗星 童年啊             
(5星)	 看这个总归是小时候很开心的事情。            
(NA)	 现在回头看却觉得好烂了            
(4星)	 我是吃着北京牌方便面调料包看完这部大型玄幻电视连续剧的！            
(4星)	 我记得有个小正太很可爱的            
(NA)	 别人有仙妻，我有虎虎。            
(5星)	 超爱小时候~~~            
(4星)	 以前以为是手镯都能发挥神力~还不敢让碰水！            
(NA)	 心呀心欢喜            
(4星)	 一直想要那只手镯.....            
(4星)	 小时候看的。。            
(4星)	 小时候喜欢啊            
(5星)	 這就是童年~~            
(4星)	 我小时候一直以为是真的            
(5星)	 想回到小时候～一家三口每天在电视前等这部片，上学还和几个男男女女的小朋友模仿和讨论，还一起唱主题歌.....好傻好美好            
(5星)	 小时候跟我弟一起看的 看了后我弟去偷了他妈的手镯我去偷了我妈的手镯            
(NA)	 哈哈哈 记住的全是草蜢的内首歌~            
(4星)	 他总是，只留下电话号码~            
(4星)	 从那个时候开始喜欢孙兴            
(4星)	 欢乐的童年            
(4星)	 镯子！镯子！那句咒语怎么说来的            
(4星)	 怀旧了怀旧了~小时后看了4遍的东西= =            
(4星)	 小时候很喜欢的台剧            
(5星)	 小时候和俺姐做梦都想有那个手镯=。=            
(5星)	 哈哈            
(3星)	 哈哈哈哈            
(5星)	 阿，偶哈你诺五giang！！！！哈哈～～            
(4星)	 这个还真是儿时的记忆了，当时多少孩子梦想也拥有这样一个手镯啊！            
(3星)	 小时候            
(NA)	 小时候的记忆            
(5星)	 我一直想要内手镯- -想一想.事儿就成了!            
(5星)	 儿时印象最深刻的电视剧，对我的影响很大            
(NA)	 还记得那首歌~~            
(5星)	 草蜢那首失恋阵线联盟。             
(4星)	 童年。★★★☆            
(5星)	 大鼻孔澎恰恰，傻兮兮林以真，永远画一个叉的草蜢……            
(5星)	 我会唱这个歌。。            
(5星)	 曾经啊曾经啊曾经~            
(4星)	 这个，哈哈。好久前的回忆。            
(NA)	 我看的···最早的台剧吧···            
(4星)	 奶奶常驻的FM电台主持人很喜欢的样子，老放片尾曲一首草蜢的歌，还是很好听的            
(3星)	 金牛女+白羊男            
(3星)	 那个插曲印象好深            
(5星)	 还得说是第一部，小时候一集一集的追。            
(4星)	 澎恰恰｜未来的老公穿着双紫袜子～            
(3星)	 豆瓣猜好惊悚            
(NA)	 这个经典了..            
(5星)	 经典!            
(3星)	 之后就知道了孙兴这个人            
(4星)	 那个手镯。。。还有主题曲，《失恋****》草猛唱滴~~            
(5星)	 真正的寓教于乐：）            
(4星)	 “她总是只留下电话号码，从不肯让我送她回家，听说你也曾经爱上过她，曾经也同样无法自拔，你说你学不会假装潇洒，却教我别太早放弃她，把过去传说成一段神话，然後笑彼此一样的傻”魔力手镯啊，小时候的渴望，哈哈            
(4星)	 呀。只记得小时候有同学蛮喜欢的。自己印象也不深了。在踌躇要不要去找找的~~~原来为什么我会记得失恋阵线联盟了！！还有孙兴！！在看画质什么，好怪            
(4星)	 很经典= =            
(4星)	 为什么豆瓣推荐这个给我，不过当年我也蛮喜欢            
(3星)	 我一直盼着电视剧重播来这            
(NA)	 小时候的梦            
(3星)	 内容仔细回忆并不是特别喜欢，但我每次去KTV必点“失恋阵线同盟”            
(5星)	 小时候最爱看。            
(3星)	 戈伟如太漂亮了            
(3星)	 我妈说这个很好看~囧。逼我看的。。。            
(5星)	 贵，素桂花的桂哦~            
(4星)	 那时多想要这么一个镯子呀。。。            
(3星)	 小时候特爱看的...            
(4星)	 幼儿园时候的回忆....            
(5星)	 女主角超级美，澎恰恰哦~~挺嘈的            
(3星)	 前些天从某个娱乐节目中看到了孙兴，不禁想起了这部电视剧            
(5星)	 蹦恰恰~~~            
(4星)	 童年时代的经典            
(5星)	 孩童記憶            
(4星)	 小时候看的有意思的电视剧 不知道怎么说了            
(4星)	 那个时候觉得很好看呢             
(4星)	 认识了萧蔷            
(4星)	 陪伴小时候的片子            
(5星)	 她手镯碎了之后就不好看了。我一直以为她叫黎以真~            
(3星)	 小时候在想我要有这么一个妈就好了~            
(4星)	 何莉莉的笑声至今还记得～            
(NA)	 哈哈 小时候 想到自己有那么个手镯多好~*            
(5星)	 回忆啊！            
(4星)	 小时候——就盼望有这么个妻子——虽然我是女的——哈哈            
(NA)	 很热闹的片子            
(4星)	 就记得那笑声了~            
(4星)	 哈哈哈，全家一起看的回忆            
(4星)	 哈哈，经典的喜剧            
(4星)	 那里面的歌现在还记得。            
(5星)	 哦~~小学放寒假必看的 哈哈哈~好想要那个镯子哦            
(3星)	 一直觉得声音有些吵            
(3星)	 中小学暑假专看剧。很乱搞。            
(4星)	 我也要有那只玉鐲            
(3星)	 主题歌很好听            
(3星)	 衰哥很有爱            
(3星)	 那时候多想也有这样的一副手镯            
(4星)	 突然想到LILY帮我讲的200   0 0是鼻孔 哇咔咔            
(4星)	 豆瓣这TM强大啊，啥都有。            
(3星)	 只是记得几个小片段 就是仙妻变走的时候  感觉好神奇             
(5星)	 妈呀，豆瓣太强大了            
(2星)	 赵本山在里面跑过龙套吧            
(5星)	 小时候超爱看的!!            
(NA)	 啊~在网吧 我说那人是小丈夫里的大哥            
(4星)	 失恋阵线联盟！            
(4星)	 哦霍霍霍霍            
(4星)	 阿贵。。。            
(5星)	 手镯~!            
(5星)	 童年的记忆！！            
(3星)	 童年喜欢的不得了！            
(2星)	 那个镯子是哪家翡翠店赞助的？太假了吧也            
(3星)	 失恋阵线联盟            
(5星)	 我想要那个镯子。            
(5星)	 那个主题曲~~~哦，失恋联盟？            
(4星)	 还是爱这部  哈哈            
(5星)	 这剧是神作吧            
(5星)	 你爸爸打你妈妈，哈哈            
(4星)	 那个时候好喜欢...            
(3星)	 小时候觉得很好看            
(NA)	 哈哈哈,那是我是个小朋友            
(5星)	 看了这么些年的电视剧了，还是喜欢这部·！            
(4星)	 美丽的回忆，美丽的喜悦。看到你轻松为止。            
(4星)	 至少是在幼儿园时期看的。。            
(5星)	 童年时的最爱，和《新白娘子传奇》一样，到老了都不会忘记~            
(4星)	 小时候看的剧，现在具体的都想不起来了。            
(5星)	 阿贵 哈哈~            
(4星)	 小时候的美好回忆            
(4星)	 小时候一直看，很搞笑            
(4星)	 谁不承认这是经典的搞笑剧？            
(NA)	 小时候可爱看魔幻题材的剧了            
(5星)	 小时候，天天等的就是这个            
(4星)	 5年级啊5年级~            
(5星)	 太经典了~那时候就有穿越了~            
(4星)	 怀念小时候啊~~~            
(4星)	 童年的大部头喜剧片。            
(5星)	 小时候觉得相当NB啊。            
(5星)	 嗯 童年的回忆 和玩伴一起在家里看的喜欢 超迷恋 希望自己也有那个手镯            
(NA)	 超级喜欢那个片头曲，还有就是澎恰恰真的很丑，孙兴真的很搞。。。。。            
(NA)	 歌词有一句：她总是只留下电话号码            
(4星)	 孙兴孙兴，啊哈哈哈~            
(NA)	 主题曲蛮赞，失恋阵线联盟。。。哈哈            
(3星)	 我要有那样的手镯就好料．．            
(4星)	 闺蜜儿Honey从过一个和何莉莉一样的手镯给我！沈公子的老婆真美女。            
(NA)	 很小很小的时候            
(5星)	 哈哈哈哈，笑S人了！            
(4星)	 hhhaaa~~~~~~            
(4星)	 澎恰恰是怎么被挖掘出来的啊。太神了！            
(NA)	 经典            
(NA)	 最好看的台湾搞笑电视剧            
(4星)	 记得当时做梦的时候都想要那个神奇的手镯。            
(NA)	 老子的童年 怀念            
(5星)	 小时候也有一只玉镯子 我会戴着它许愿            
(4星)	 此乃一代经典～            
(NA)	 小时候，小时候啊            
(5星)	 小时候每天必看~~~            
(5星)	 恩……陈天贵的鼻孔和宝马很相似            
(4星)	 以前可是很喜欢的哪            
(3星)	 可以看            
(5星)	 小时候超喜欢~~~~~~~~            
(5星)	 哈哈~~~~~~~~~~~            
(NA)	 童年回忆            
(NA)	 儿时很喜欢看的……现在恐怕都找不到了！幻想中……            
(NA)	 孙兴！ 哈哈哈            
(5星)	 经典台剧            
(5星)	 美女和丑男的幸福生活            
(5星)	 大爱            
(4星)	 童年的回忆            
(4星)	 小时候教育台看哒            
(4星)	 小时候看的一集不漏 还叫爸爸刻了录象带 我现在还会唱：“你总是只留下电话号码，总不肯让我送你回家。。。”            
(4星)	 07年写毕业论文那时候。和张宝宝他们一起又看了一遍。看了还是心情很好的。            
(3星)	 姐姐。            
(4星)	 澎恰恰的河马鼻孔，何莉莉的念咒姿势，白冰冰的可怕梦境， 还有陈公子期待的夏威夷草裙舞……            
(4星)	 又一经典            
(5星)	 哈哈哈百看不厌            
(3星)	 小学三年级看的            
(NA)	 曾经喜欢            
(5星)	 I太经典了!!!            
(4星)	 好玩。小学看的            
(5星)	 羞涩的脸 我也想要个手镯 wua~wua~            
(4星)	 在床上笑得翻到床下            
(5星)	 不多说,阿贵和何莉莉~~~超级喜欢            
(4星)	 我承认我小时候很喜欢这东西= =            
(3星)	 忘了都            
(NA)	 暴牙仙妻            
(5星)	 小学的回忆——那时还跟我哥争论这个和神仙老爸哪一个更好看。            
(4星)	 還蠻恐怖的            
(3星)	 我也想要那个手镯            
(4星)	 when i was a child            
(NA)	 我想要那个手镯...            
(NA)	 哈搞笑。            
(4星)	 少年时的快乐回忆，大鼻子的彭恰恰和美丽的林以真的组合让人难忘。那也是第一次对孙兴留下印象，后来看到深情的杨逍，简直不相信是同一个人            
(4星)	 那時候算好看的劇 我愛那只沙皮犬            
(5星)	 很早看的一部剧，竟然还能记得很多片段，阿贵的鼻孔是经典~            
(5星)	 啊这个我以前老喜欢了！            
(2星)	 不知道为什么看了心里总会有些小难过~            
(4星)	 小时候的记忆 比较好             
(5星)	 怀旧。经典。哈哈小时候觉得好神奇！            
(5星)	 哈哈~阿貴~傻了點但憨厚~所以有了個好老婆~            
(NA)	 现在主题曲我还会唱            
(3星)	 那手镯好神奇            
(NA)	 小时候暴爱看。            
(5星)	 那时候好喜欢林以真啊，以为世界上真有这种事情存在            
(4星)	 就算你没看过，主题曲一定听过。            
(NA)	 小时候的最爱            
(NA)	 哇，这个都有            
(NA)	 那首歌名字叫什么来着？            
(NA)	 小时候超想要那个有法力的镯子！！！！！！            
(4星)	 彭恰恰和失恋阵线联盟            
(4星)	 久到記不清劇情..只記得有孫興..            
(5星)	 每个人心中，是不是都有一个魔幻梦。            
(NA)	 【1991-04-23】            
(4星)	 孙兴！！草蜢！            
(5星)	 神的地位            
(5星)	 仙从何来。            
(NA)	 挖虾木都木GIA            
(5星)	 经典            
(5星)	 草蜢的歌真好听，电视也很好看…小时候好看的真多            
(4星)	 失恋战线联盟            
(4星)	 这是赤裸裸的回忆啊，想当年，我做梦都觉得自己也会有个神奇的手镯。            
(5星)	 好看到泪奔啊 TAT 迷恋镯子跟家有仙妻多少有点关系啊             
(5星)	 陈天贵让人笑到爆。当时暑假连播，在家里猛看哇，过瘾。感觉是电视剧版的机器猫。何莉莉的玉手镯简直是万能啊。            
(4星)	 那些个暑假哎 。。。            
(4星)	 喜欢孙兴            
(5星)	 好怀念啊~~            
(5星)	 童年记忆  当时自己总意淫也有超能力            
(5星)	 那首主题歌我想过个五十年应该还会唱            
(3星)	 小时候的连续剧就是电视来来回回得播，我来来回回地看            
(4星)	 魔幻启蒙啊            
(5星)	 河莉莉永远是我心目中最理想的完美妻子，开朗乐观，美丽大方，善良热情，意志坚定，成熟理智，偶尔犯小迷糊，但是永远能在丈夫需要帮助时给他最坚定的力量，相互扶持，共同进步。小的时候很长一段时间的理想就是希望自己也有一个这样的家庭，一个憨直善良脚踏实地的爱人，过一辈子小日子：）            
(4星)	 吐槽点爆了。。OTL            
(NA)	 小时候超爱看的!!现在对任何一部电视剧都不会那样期待了。            
(4星)	 小时候嘛。。。。            
(5星)	 这可是小时候喜欢得不得了 即使看它个十遍八遍也不腻的剧呀            
(NA)	 乡下            
(5星)	 失恋阵线联盟            
(2星)	 还行。            
(NA)	 小时候是真心爱看的说。。。=-=~            
(4星)	 我一直觉得那个女主好有魅力……            
(5星)	 上世纪90年代的经典            
(NA)	 其实哪个人也不喜欢。真是很奇怪。周围的人都在看，于是也只好跟着看。我对加画外音的喜剧真是一点好感也没有啊。            
(NA)	 孙兴啊孙兴            
(4星)	 孙兴嘛~            
(5星)	 哈哈哈            
(5星)	 小时候的最爱啊!  现在再看依然好喜欢啊!             
(5星)	 你总是只留下电话号码            
(NA)	 神奇的手镯！            
(5星)	 孙兴            
(5星)	 小时候 可喜欢看了  到现在都想要个那样的玉镯子            
(3星)	 当时爱死孙兴了            
(NA)	 他一直喊的那句是什么来着            
(5星)	 好看！经典！            
(4星)	 小时候喜欢看神话故事，戈玮如真的挺漂亮……            
(5星)	 只记得没来由傻笑 回忆啊            
(4星)	 我把它和《神仙老爸》混在一起了…            
(5星)	 哈我小时候最喜欢看这个了==            
(4星)	 我好喜欢啊 为什么不重播了呢            
(4星)	 这个模糊了，倒是每个人的形象化都历历在目。            
(4星)	 小时候很爱看~            
(4星)	 突然很怀念~~            
(2星)	 当年就觉得难看            
(5星)	 小时候的回忆。。好看好看~            
(4星)	 哎哟我去。。。            
(4星)	 哎呀。好想找出来再看一下哦。            
(5星)	 小时候老喜欢了，            
(NA)	 小时候最讨厌这种肥皂剧，同学都爱看，我一点也不看。后来上初中了看的重播，觉得还行            
(4星)	 小时候看这个，笑得跟傻逼似的！            
(4星)	 童年的·大爱            
(5星)	 我曾经痴迷于寻找仙妻的手镯            
(4星)	 草蜢的主题曲            
(5星)	 欢乐多。。还有那首主题歌，和旧电视机            
(5星)	 感觉孙兴 没老诶 还是和20年前一样            
(4星)	 这部片子我只留下了依稀的印象，不过还记得小时候喜欢看的感觉～            
(4星)	 流逝的岁月            
(4星)	 《失恋阵线联盟》            
(4星)	 有劲啊~            
(5星)	 现在回想，澎恰恰简直就是鼻孔帝的始祖啊            
(5星)	 自从看了这部 看孙兴演戏我就只会笑场了。。。失策啊            
(NA)	 何莉莉的镯子一直想要哈~            
(4星)	 小时候的记忆~~~~            
(4星)	 就是这个！！            
(3星)	 女主角很美，只是台湾普通话很那个。。。            
(NA)	 2011-11-11             
(4星)	  台湾 喜剧 家有仙妻 1990 经典             
(5星)	 小时候的最爱            
(4星)	 草蜢的《失恋阵线联盟》真的好棒            
(3星)	 小时候也幻想有魔法            
(4星)	 你总是不记得电话号码~~~~            
(4星)	 一只神镯刮起的旋风。            
(4星)	 对手镯的挚爱就是从此开始的。            
(4星)	 小时候很觊觎女主会变魔法的镯子。            
(4星)	 80后集体回忆吧             
(3星)	 台湾小男人的YY剧场            
(4星)	 蹦恰恰小姐！            
(NA)	 失恋阵线联盟            
(5星)	 小时候天天追的电视剧 = =            
(3星)	 我小时候一直怕带镯子的人碰我            
(4星)	 小时候超爱看            
(5星)	 大爱！            
(4星)	 小时候大爱。            
(4星)	 很小很小的时候看过。            
(4星)	 你总是留下电话号码，却不让我给你打电话~~            
(NA)	 怀念            
(5星)	 多少遍都不带够的            
(3星)	 應該小時候都看過的。。。            
(5星)	 她总是只留下电话号码，从不肯让我送她回家            
(4星)	 喜欢孙兴            
(4星)	 那个手镯很有趣            
(4星)	 超爱~            
(5星)	 小时候最喜欢的剧之一。            
(3星)	 小时候笑翻过去的电视剧……留在回忆比较好！千万别让我重温…            
(5星)	 小时候看的..都不记得了.很搞笑啊.            
(5星)	 孙兴不错...            
(4星)	 好古老啊            
(3星)	 很搞笑的说，第一次认识孙兴            
(4星)	 小时候对这个神奇的手镯无限神往！！！            
(5星)	 陈天贵，呵呵            
(4星)	 想再看一遍            
(4星)	 小时候            
(5星)	 小时候觉得好好看哟，想要那个手镯            
(5星)	 很茨很怀念            
(4星)	 我肯定看過的。            
(4星)	 我竟然如此欢欣...            
(4星)	 我当时就想要那个镯子。            
(4星)	 儿时的纪念            
(4星)	 那个配乐好有爱的~            
(5星)	 戈伟如那时候还是姑娘呐            
(3星)	 失恋阵线联盟～            
(4星)	 童年时有这样的电视剧看真不错 &gt;&lt;            
(4星)	 小时候看哒            
(NA)	 平生看的第一部台剧，很多年以后看到澎恰恰演的无言的山丘，心里一股说不出的滋味。大爱片头曲！            
(4星)	 笑点有点俗。。吵吵闹闹但挺欢乐的~            
(NA)	 差不多忘了。。。就不给评价了            
(5星)	 儿时令我魂牵梦萦的经典之一~            
(NA)	 哈哈哈哈哈哈我到现在都还记得片头曲的旋律！            
(5星)	 ‘哦呵呵呵呵’---何莉莉的笑。一直在想要是咱也有那么个手镯就好了。            
(5星)	 = =            
(3星)	 回忆~            
(4星)	 哈哈，陈天贵，主题曲很经典            
(5星)	 失恋阵线联盟！            
(4星)	 忘记演的什么，但小时候的片子总记得很好看。            
(5星)	 这必须打五星。小时候不知道看过多少遍。不知道多向往那女人那镯子。不知道笑过多少次那个大鼻孔男。            
(5星)	 超级爱看哎            
(4星)	 重看一遍还是强烈喜欢！            
(5星)	 小时候好爱啊            
(4星)	 很搞笑～很小的时候看的了……现在只对大手镯生了小手镯的剧情有印象……            
(3星)	 印象中第一部台劇啊。。。            
(5星)	 小时候印象最深刻的 爱爱爱不完!            
(3星)	 搞笑啊，和妈妈一起笑得疯掉            
(NA)	 深圳卫视看得，有点旧，不过很好看。还是喜欢台剧的感觉。。。            
(3星)	 据囗女说，那时候玉镯脱销            
(5星)	 ！！！！！！！！！！！！！！！！！！！！！！！！            
(4星)	 又是小时候的爱好            
(NA)	 没看全。女主的造型很多变            
(5星)	 超好笑~            
(4星)	 哈哈哈哈，很好笑，很好笑⋯⋯⋯⋯⋯⋯            
(4星)	 太怀念了  镯子！！            
(5星)	 我还记得那个神奇手镯            
(4星)	 我当时特别想有个那样的镯子…拿着妈妈的镯子带 希望也能许什么愿望都能实现对男猪脚的鼻孔印象很深…            
(3星)	 小时候记得妈妈单位的儿童活动站总放……            
(NA)	 哈哈 记得上小学的时候好喜欢看啊~~~            
(5星)	 陈天贵            
(4星)	 童年的经典。            
(NA)	 很欢乐 很神奇            
(5星)	 真的很喜欢！！！            
(4星)	 温馨年代的温馨恶搞~            
(4星)	 小时候台湾最经典的喜剧，那时好像要那只镯子。            
(5星)	 超级喜欢！            
(4星)	 喜欢主题曲 和他们的台湾腔~            
(5星)	 这个好！！！！哈哈哈哈。澎恰恰还是宝刀未老，姐欣慰！            
(NA)	 它破坏了我男才女貌的完美搭，那个澎恰恰好丑，直到今天再看到他我还是不寒而栗            
(3星)	 童年看的            
(5星)	 wisiomilomugia            
(4星)	 我看完之后每天跟SB 一样套着个塑料手镯希望它显灵的 哈哈            
(4星)	 当年的萧蔷呀。。            
(2星)	 哈哈            
(4星)	 85分。            
(5星)	 小时候的记忆            
(4星)	 主题曲            
(5星)	 经典电视剧            
(4星)	 年少时，喜欢在安静的深夜看这部片子，享受着它的浅色调的纯与轻快。            
(5星)	 哈哈哈哈            
(3星)	 阿贵……            
(4星)	     我很爱那个镯子啊啊啊            
(4星)	 我会澎恰恰那个三只手的把戏~~~哈哈            
(4星)	 小时候看的了…至今未再看过。            
(5星)	 很火的电视剧,泵恰恰出名了.记得那时候有个脑筋急转弯都是以他为题的:为什么站在泵恰恰旁边会感到呼吸困难?答曰:鼻孔太大,周围空气都被他吸光.....现在想起来好冷啊             
(3星)	 她总是~~只留下电话号码~~            
(4星)	 以前就喜欢这种风格            
(4星)	 当年觉得很好看啊            
(5星)	 记得当时也学着想把勺子弄弯出现那个魔法镯子！！囧~~哈哈~~            
(5星)	 哈~童年的记忆哇            
(3星)	 好多年前看的哦，现在澎恰恰都老得不行了……            
(NA)	 小时候等到全家人都睡了我还在津津有味地看。            
(5星)	 小时候最爱看了            
(5星)	 太经典了，阿贵啊！很喜！            
(5星)	 很逗。            
(5星)	 夏天暑假的回忆多多             
(5星)	 手镯手镯！！！！            
(4星)	 和表妹的一个又一个暑假            
(5星)	 喜欢喜欢            
(5星)	 超级想要何莉莉的手镯的 但是不要嫁阿贵那样的臭男人 鼻孔太大了            
(4星)	 很小的时候看的，难忘            
(3星)	 声音好搞笑。            
(5星)	 小时候的消遣            
(4星)	 小时候觉得很神奇呀            
(5星)	 我最爱孙兴阿。当时看了每集都要笑死。好想拥有那个手镯。            
(4星)	 我也想要一个那样的手镯            
(4星)	 是人都看过            
(NA)	 真的是好久好久以前了            
(NA)	 喜歡 沈公子 的老婆，很可愛。            
(4星)	 第一部很好看的            
(4星)	 印象最深的就是那镯子和主题曲            
(5星)	 好怀念啊～小时候最想要有那只镯子～            
(NA)	 钻石钻石亮晶晶~~~            
(4星)	 哇。。家有仙妻。。幼儿园。            
(5星)	 永远的经典            
(NA)	 现在真忘了 以前很喜欢 哪天重新看看            
(4星)	 就在记忆里画一个X~~~            
(4星)	 哈哈            
(5星)	 喜欢喜欢            
(4星)	 重温的时候觉得 当时怎么会觉得好看。。。            
