http://movie.douban.com/subject/2249496/	公主小妹
(1星)	 喜欢女二号茉莉，吴尊好精致            
(2星)	 这个俗啊……唉……就名字挺好听的            
(3星)	 跟美丽的女博士姐姐一起看这个真是其乐无穷啊~            
(3星)	 冲着张韶涵看的...            
(3星)	 太离谱了            
(2星)	 寝室一帮花痴。            
(3星)	 这个世界上真的存在吴尊演的这种王子型男人我就去克拉玛依挖石油！            
(3星)	 肌肉男吴尊扮相不错,结局俗得很励志            
(3星)	 消磨时间            
(3星)	 只能看两个主演养眼了，剧情太平。            
(4星)	 不是我要看的,是我妈妈逼着我陪她看的!            
(3星)	 好吧。我承认我无聊。我是为了张韶涵和吴尊。嘻嘻。            
(3星)	 良心话，吴尊真的蛮好看的            
(3星)	 好像没看完 好脑残            
(NA)	 台湾呕像剧 可以再NC点么            
(NA)	 你奶奶的熊！一向受不了玛丽苏题材你还把它发挥得如此登峰造极            
(3星)	 情节实在太矫情了...浪漫约会那段不错            
(2星)	 逃离            
(3星)	 完全只能打发时间看看。            
(1星)	 能打零星么            
(1星)	 我最喜欢看这种无脑青村偶像剧了真的。            
(3星)	 去年暑假 无聊之下            
(3星)	 啊？！原来那个就是传说中的吴尊。。。            
(2星)	 其实我也偶尔会看看这样哈无搞的剧，不过实在有点低智商，用来放空大脑内存还是不错的            
(1星)	 只有吴尊能看            
(3星)	 这剧啊，纯粹就是看看张韶涵今天穿的什么，明天穿的什么。            
(1星)	 我看过最烂的一部，难为我居然追完了……            
(2星)	 辰亦儒造型不好。。。            
(1星)	 毫無劇情可言            
(NA)	 看多了这种东西果然容易降低智商            
(2星)	 我恨台湾偶像剧。。            
(1星)	 这都是为什么。。            
(2星)	 囧            
(3星)	 看帅哥。。。。哈哈哈哈哈            
(NA)	 剧情挺白痴的            
(1星)	 好像没几部偶像剧能让我满腹深情的从一而终. 这一部也很好笑. 嘲笑的笑.             
(1星)	 我无聊了....            
(4星)	 虽然剧情不咋地,但还是有那点亮点的            
(2星)	 剧情太白痴了~除了美女帅哥            
(3星)	 恶、俗、嗲、矫。钱可以制造假象，也可以买到真实。            
(1星)	 幼稚得真有一笔了。为什么我当年还看了。            
(3星)	 剧情极白痴。吴尊是唯一尖叫的理由            
(3星)	 台湾偶像剧什么时候能有点深度？            
(1星)	 偶像剧之中的“极品”            
(2星)	 里面的很多演员同志十分做作，真的很是在“表演”的样子，倒是最喜欢顾宝明演的皇甫雄还有那个娘娘的助理，其他的……不予以评论……            
(4星)	 我成熟了以后仍然在揣想我的未来要变成这样。。走火入魔了。。再也不看偶像剧了            
(1星)	 其实只看了第一集的前面15分钟。。。俗套透了            
(2星)	 豪华，剧情弱。            
(NA)	 我怎么會無聊到看這種片子。。。            
(4星)	 帅哥美女哇~哈哈~！特别我家美女~！超级灵的类。            
(3星)	 外公在看时，我竟然还推荐。。。            
(NA)	 脑残片第一名！            
(3星)	 不过不失……            
(2星)	 那个实在土，实在搞            
(NA)	 台湾偶像剧  哈哈              
(NA)	 看过，没有看完。这样的剧情已经不适合我的年龄了。也许初中会很喜欢吧            
(2星)	 一般的不能再一般。浪费了两张漂亮的脸。            
(2星)	 各么剧情真的很弱智            
(2星)	 好烂的剧情哦，吴尊有多么娘啊！            
(2星)	 雷人白痴剧,            
(1星)	 为了看吴尊……            
(4星)	 涵的努力成长            
(4星)	 还不错啦。            
(3星)	 还是无赖的偶像剧，只是还算真实地反映了现代富家人的奢侈生活罢了            
(NA)	 无聊到…………            
(3星)	 我的尊尊还是那么帅气~            
(1星)	 垃圾垃圾垃圾            
(2星)	 虽然喜欢吴尊，但也始终没兴趣看完，只跳着看了几段。            
(1星)	 生命就是看这样的电视给浪费的            
(2星)	 无聊            
(3星)	 吴尊好帅~            
(1星)	 说实话。很老套。            
(3星)	 承认我是无聊            
(1星)	 OMG...要说烂的地方真是多得都数不清了,就卓文萱演得还有点靠谱            
(2星)	 很麻的一部片，白痴的台湾剧            
(5星)	 角色搭配不錯。            
(4星)	 吴尊真蛮帅的!不是很喜欢小张...跟着湖卫看真的很累,它可以把13集不知道拆成多少集...片子还不错拉,搞到最后就是没有1个坏人的~~娱乐1下!            
(3星)	 速食            
(NA)	 不太喜欢，没看全            
(2星)	 其实吴尊也不是真的那么帅....这不电视剧要什么没什么啊...            
(1星)	 烂死了            
(2星)	 naive            
(2星)	 就一两集。            
(1星)	 神经病片~~看到一半看不下去`            
(2星)	 电视剧             
(3星)	 很无聊的时候看的，剧情也是走了传统的台湾偶像剧路线，呆滞、装傻、帅哥、美女。            
(4星)	 感觉也不错            
(2星)	 一点都不好看.超烂，超烂，以后再也不看这个公司的电视剧了。还是明道他们公司的好看些            
(NA)	 梦幻的不得了            
(3星)	 本来想选较差的，但是由于这两人还不错，so.....            
(2星)	 看过一点的也算啦 反正要整理了            
(3星)	 为了阿尊，忍了            
(1星)	 吴尊那张脸真的不好搞的看这部片子跟便秘似的.什么内容感觉都没有.空.            
(NA)	 连看啊连看，OMG.爱杀17啊，哪能差这么多呢。。= =            
(NA)	 无聊            
(2星)	 第三部守著看的偶像劇，天哪，我墮落了......            
(NA)	 其实有点瓜除了我喜欢吴尊            
(3星)	 只能说很养眼。            
(3星)	 吴尊好帅~其他还行。            
(3星)	 只是想看公主的城堡 后来实在看不下去了            
(NA)	 浪费我时间，剧情老套，结尾更郁闷，就这么结束了，一刚。            
(3星)	 集体发花痴的感觉很好            
(3星)	 张韶涵 / 吴　尊            
(NA)	 我很萌的组合            
(NA)	 其实挺无聊的             
(2星)	 不好看。。。。。。超级不好看。恶俗！！！就看了第一集|||            
(1星)	 好無聊~            
(NA)	 同学说里面张韶涵的角色跟我有些像 我才去看的 第七集挺好看的 目前为止            
(NA)	 公主小妹 台湾偶像剧             
(3星)	 吴尊真的好优雅。俊男美女的组合让人不羡慕都不行。至于剧情，还重要么？            
(2星)	 假。            
(2星)	 看到第八集，实在看不下去了。。            
(3星)	 尊迷必看            
(NA)	 【2007-09-16】            
(1星)	 呵呵后！            
(3星)	 托芒果台的福……看了好几遍……            
(1星)	 什么破片子。            
(3星)	 当时是有多无聊才看来着、、、            
(3星)	 我看过。            
(3星)	 曾經演過愛殺17的張韶涵，後來去演了公主小妹……… 靈氣，就是這樣慢慢消失的            
(3星)	 谁没看过几部恶俗偶像剧呀            
(1星)	 本来这些日漫就是垃圾……            
(NA)	 唉 这…            
(1星)	 公主小二。            
(3星)	 天啊，我以前时间真多            
(1星)	 给一星都是多啊！            
(1星)	 那时候觉得张韶涵开始做作了            
(NA)	 和涵姐睡在一起的日子哈哈哈哈            
(NA)	 这个仍然不知道为毛看的。。。飞轮海最不喜欢吴尊了。。。难道是为了张韶涵吗我混乱了            
(2星)	 辰亦儒这张蛤蟆脸！            
(3星)	 这个是看帅哥的，对帅哥还是很满意的，张韶涵就算了，越来越丑了            
(2星)	 最近芒果台一直在放 偶像剧能拍到这个程度也算奇葩了            
(2星)	 ......我看过的可真多。好奇心太重，十分无聊。            
(3星)	 吃完午饭的十二点半到两点，57台华娱。            
(3星)	 那个时候嘛。。似乎还是很喜欢张韶涵的            
(2星)	 弱智的            
(2星)	 那年暑假陪我妹妹看!            
(2星)	 我好想掐一掐吴尊那张水嫩的小脸啊啊啊！            
(1星)	 好吧- -张韶涵老了            
(2星)	 2集，弃            
(2星)	 呃。这个我们还追着看过的呢。虽然越看觉得越没劲。嘿嘿。            
(2星)	 吴尊根本就是没演技嘛...            
(3星)	 真是放了太多太多遍了....            
(NA)	 越演越呕            
(2星)	 最后一集应该是等她醒来这只是一场梦而已            
(1星)	 这也太无聊了吧            
(4星)	 喜歡吳尊扮演的南風瑾，挖，花樣美男！不過，張韶涵，不敢恭維，長得那麼瘦小，臉一笑，就看見滿眼的皺紋，真難看！導演，沒有人選了嘛？偏偏就找個長得那麼難看的來演女一號人選，真可惜！不過她飾演的小麥這角色，我挺喜歡看的，真是美中不足，人長得好看點，更加像劇名：公主！            
(1星)	 看到张韶涵那张泛着油光的老脸我就恶心。还有什么南风瑾南风彩什么的就恶心，            
(3星)	 我又肤浅了，呃。。。。            
(NA)	 真适合在抄体育作业的时候看。。。。            
(2星)	 这种白日做梦的电视剧就是祸害少男少女的，尤其是爱幻想的女孩儿。还有张韶涵演的太烂了。            
(3星)	 补：“瑾……”“穗……” &lt;- 你们可以出去史一史么？            
(2星)	 不知道演的啥            
(2星)	 烂、烂、烂            
(2星)	 雷            
(1星)	 怎么都看不下去            
(3星)	 好幼稚好雷好囧。我喜欢彩啦啦啦啦啦~            
(1星)	 剧情太可怕 话说男一号你敢不敢撩起你的刘海……            
(4星)	 我给它四颗星是因为韶涵的整体效果很漂亮，吴尊很有型。更是因为我很久没有去看台湾偶像剧，沉迷TVB的我突然有心动的感觉。也有幻想，有一天醒来能变成公主在一座有白马王子的城堡。            
(1星)	 湖南卫视。            
(2星)	 麦秋穗（张韶涵 饰）南风瑾（吴尊 饰）            
(NA)	 对不起。我无聊的时候看过。。。            
(2星)	 看过3集 实在受不了            
(NA)	 当初是为了什么看的呢？我也忘记了。。。            
(3星)	 应该是看完了的            
(3星)	 前半段还挺好看的。后面残了。            
(1星)	 某个暑假 来一束雷劈死我算了             
(2星)	 除了吴尊，其他完全是粗制滥造...            
(1星)	 就是针对张韶涵            
(2星)	 真假            
(2星)	 懒得说了            
(3星)	 除了养眼的俊男美女和华丽的服饰场景，电视剧本身一般            
(4星)	 很喜欢涵涵。            
(3星)	 确实是想错了才看台剧的。            
(1星)	 没脑子的片儿            
(3星)	 为什么总是感觉吴尊长得很女人。            
(2星)	 我想吐很假            
(NA)	 世界上为神马会有介样多的癫痫人类            
(3星)	 那个时候飞轮海正红吧。            
(2星)	 动不动就深情对望，然后开始KISS，饥渴啊            
(1星)	 看过吴尊演戏，我原谅了所有人。            
(3星)	 哎……剧情也太扯了吧。张韶涵演的还是不太自然。吴尊说话有点结巴啊。因为华丽场景再加一颗星吧。            
(3星)	 当时很迷吴尊。            
(3星)	 嘿曼儿。            
(NA)	 一点点            
(3星)	 大约是2007年播的时候看的。当时曾经有一段时间竟然迷台剧，我疯了，看过四集就不想看去，那时候纯粹是烧坏了大脑才会看这种过度偶像的片子。不过觉得吴尊真是太华丽了，从他的外貎衣着到他的谈吐内涵，我都想X他何况是女生呢。不过我个人是想成为肌肉男，据说他以前健身教练，不过还是不够大块。            
(2星)	 今天被雷到了……            
(2星)	 挺..华丽= =没看完呢            
(1星)	 剧情夸张、弱智、无聊。            
(3星)	 Angela嘛~            
(4星)	 看的不是偶像剧，是寂寞。。。小尊尊，其实想给你长相打五星的~            
(2星)	 烂。            
(3星)	 剧情弱智，看在男女主好看的份上，过得去。            
(4星)	 剧情有些烂,但吴尊很养眼的说~            
(4星)	 附注是我喜欢那个演爷爷的= =～            
(3星)	 谁能告诉我这貌似当年很流行的剧我怎么看起来又臭又长啊...好吧我当是看衣服还有吴尊..            
(NA)	 偶尔也脑残一下下。            
(NA)	 虽然很扯`吴尊真的好帅~            
(NA)	 = =浪费时间            
(NA)	 这次看的是吴尊了`` 哈哈``            
(2星)	   那几个人 在过家家麽？            
(2星)	 实在不感冒。            
(4星)	 偶像剧不需要现实，看得开心就好了            
(2星)	 尽管我大爱阿尊尊，尽管宣传的很奢华，但是我真的不得不承认，很垃圾的剧情。            
(2星)	 很多剧情太荒谬 怎么说呢 不是不实际而是人物的行为太傻            
(2星)	 无语。。            
(1星)	 极端粗俗剧，恶俗，恶难看            
(3星)	 虽然论文还在荡，但我看到半截的怎能不完成            
(1星)	 这一家人都很闲。            
(5星)	 满足小女生白日梦的偶像剧。            
(3星)	 白痴剧            
(3星)	 感觉太一般了，场景倒是蛮华丽的，有点太太太老套(全世界是她家的一样)            
(5星)	 胡宇崴～～胡宇崴～～喜欢的类型＝3＝            
(3星)	 男女主都不错，为啥剧情那么傻呢！哎。。。            
(1星)	 演员和剧本同时烂到这地步，真难得。            
(3星)	 虽然是比较典型的台据，但是还是有一点地方还是可以看的            
(3星)	 小敏推荐的            
(2星)	 超无聊的片子~~~实在看不下去了~            
(3星)	 吴尊口音有点怪 剧情有点老套            
(3星)	 吴尊!!            
(2星)	 除了吴尊没什么别的看头，太TM的YY了            
(4星)	 看帅哥为主            
(1星)	 傻。。。            
(2星)	 越看越难看            
(4星)	 很童话            
(3星)	 吴尊挺帅的。            
(3星)	 虽然尊很帅，剧情太荒谬            
(NA)	 我的尊少啊，岂能只用一个帅字来形容你啊            
(3星)	 就看看吴尊就好            
(4星)	 涵的作品 没啥想讲的 就看看美女 看看帅哥吧            
(2星)	 纯粹因为辰亦儒的脸才给的第二颗星            
(3星)	 汗            
(2星)	 超无聊没逻辑的故事            
(2星)	 我的天哪，好白痴的偶像剧            
(3星)	 故弄玄虛的奢華~張韶涵不該再拍這種白癡劇了~            
(3星)	 可爱公主  坚强勇敢            
(3星)	 没怎么看过此类肥皂剧。故，还保有一些新鲜感，觉得拍得还可以。但愿新鲜感可以持续久一些。            
(3星)	 假期里的偶像剧……谢谢陪我打发时间。            
(2星)	 台湾偶像剧一年不如一年，这剧情实在是。。。= =            
(3星)	 偶像剧吗,就是用来娱乐心情和养眼的,演技就可以忽略不记了,当然那超级不现实的剧情也可以稍加被遗忘一下!没事的时候看看解解闷,让自己幻想一下,感受一下这辈子都不可能过上的超超超豪华生活,也是一个不错的选择!            
(2星)	 冲着吴尊去看的~~但是。。。。            
(3星)	 全明星阵容——没想到张韶涵那么不会演！还有，剧本太糟糕。50天拍完果然是质感力度都不够。            
(2星)	 不太好看            
(3星)	 080914@home with mother~            
(5星)	 宿舍擠在一起看這個 哇哈哈            
(3星)	 瑾~~~            
(2星)	 http://www.ctv.com.tw/event/princess/index.htm            
(3星)	 虎头蛇尾!            
(3星)	 好恶心啊。。。结局居然是这样女权主义。            
(3星)	 仅仅是养眼而已            
(2星)	 虽然我喜欢张韶涵~还是不得不说~恶心~            
(1星)	 俗烂无趣            
(1星)	 太假了            
(1星)	 脑残            
(3星)	 后面我都没看            
(4星)	 娱乐而已嘛..            
(2星)	 剧情实在俗气到家，完全是冲着卓文萱去看的            
(4星)	 一直不喜欢台湾剧，这个还好            
(2星)	 出奇的俗，那个出奇的烂。没创意。            
(3星)	 被它打败了。。半途而废。。这墨墨迹迹的，果然不是我的style            
(3星)	 囧啊.从此讨厌张韶涵了。            
(NA)	 很无聊，只是为了看帅哥，以及美女身上的衣服            
(4星)	 如果能娶到小气公主，帅气工头愿意在皇甫家当忧郁少爷。            
(4星)	 这比某些偶像剧有营养多了            
(3星)	 夜晚十点档！            
(2星)	 浪费时间看了一集            
(3星)	 没有坏人。吴尊不笑很帅。一笑玩儿完。            
(3星)	 超级肥皂的剧 只是为了养哈眼            
(3星)	 看帅哥靓女的！            
(5星)	 哈哈~~我还是在湖南台追着看的~~            
(NA)	 看着玩吧            
(3星)	 。。。开始粉吴尊了耶。。。自己打拼的生活其实真的很有乐趣。。            
(3星)	 宛若还是喜欢彩～            
(4星)	 我爱吴尊～～～            
(2星)	 老套之剧情，不用看到结局，一路快进~忽悠忽悠小朋友，不过，多看台湾偶像会扭曲价值观...            
(4星)	 公主小妹            
(3星)	 前几集不错，越往后越一般。            
(2星)	 很雷很做作            
(3星)	 衣服很漂亮，歌很好听，剧情很狗血~            
(NA)	 你就纠结吧你 我是看不下去了            
(1星)	 因为无聊所以看，因为看了所以更觉无聊……            
(1星)	 “只要在你身边，我就省得想念。”剧情跟表演都很烂了～            
(5星)	 吴尊太帅了！！！喜欢~~            
(3星)	 这部戏把我变成了花痴！            
(4星)	 怎么都喜欢看吴尊啊            
(1星)	 嫩            
(1星)	 某人的演技，实在是太烂了。            
(3星)	 其实我对电视剧要求很低 这样有个讨人喜欢的女主角 有个帅的男主角 足矣            
(4星)	 绝对是每个女孩子梦想的童话般的故事，看名字就知道是漫画改编，什么皇甫集团，什么影啊，彩啊的，名字超漫画的。虽然故事很童话，但是张韶涵的演技让它看起来还算真实，可吴尊的演技有当年仔仔演类的影子，假得要命，实在是有够难受。长得帅也弥补不了不会演戏的缺点，希望能够成长吧！还有就是中间的困难有点太牵强了吧，觉得就是欲加之罪，不知道都在坚持什么，剧本还是比不上当年的《流星花园》，不过还是可以看看的。毕竟有美女帅哥吗！            
(1星)	 典型的台湾偶像剧...太没营养了..            
(3星)	 可以满足单身MM的爱情幻想。            
(3星)	 ...........            
(3星)	 茉莉很勇敢吖！            
(2星)	 假得厉害            
(3星)	 额。。打发时间看看。            
(4星)	 偶像剧就是偶像剧啊~！一点也不现实~！            
(2星)	 漫长的MTV            
(1星)	 其实没看完            
(4星)	 有个有钱的爷爷真好！做梦吧。。。            
(4星)	 十八岁的女大学生麦秋穗从小就在一个气氛和乐的温暖家庭中长大，虽然家境并不是太富裕，住的也只是破旧的小公寓，但是小麦却觉得很幸福。　　然而没想到，小麦不过一觉醒来，竟然有一大票神秘的黑衣人出现在她家的小公寓中，宣称她真正的身分是国内首富皇甫集团董事长皇甫雄失踪多年的孙女，而麦父和麦母也承认小麦并非他们的亲生女儿，而是他们花钱向人口贩子买来的弃婴。　　在祖父皇甫雄的强势作风之下，小麦被迫搬出麦家，住进皇甫大宅，然而，富家千金的生活却不如想像中美好，小麦住进皇甫大宅的第一天就因为被认定是居心叵测的拜金女            
(NA)	 恩～喜欢辰亦儒的笑～不过也是一个一般一般的台剧。            
(3星)	 很老套的台湾剧！            
(5星)	 那个人完美的没话说，有钱，有貌，有才华            
(NA)	 不好看 就是个富家女的故事嘛！            
(3星)	 只有衣服好看!            
(2星)	 好好的漫画被张韶涵演烂。             
(3星)	 还不错啦~可是漫画更经典~            
(NA)	 无聊...            
(4星)	 吴尊~            
(3星)	 出乎意料的结束了.怎么可以这么帅.            
(NA)	 很好看！            
(2星)	 剧情假的不得了，吴尊很养眼            
(3星)	 还是没能看完。。。。            
(3星)	 看的时候超喜欢，但没有很深的内涵..            
(3星)	 幼稚了点            
(NA)	 没有什么剧情            
(3星)	 太没有悬念了            
(4星)	 吴尊真的很帅~            
(NA)	 帅吴尊            
(NA)	 开头还挺有趣的，可后来怎么说呢            
(NA)	 电眼娃娃还是适合清纯型：）            
(3星)	 吴尊哇            
(3星)	 结局让我崩溃...看这样的电视剧证明我很郁闷...            
(NA)	 还没有看，不过觉得应该不错！            
(2星)	 只是想看大結局 鍛煉耐力的 電視劇             
(NA)	 很一般            
(3星)	 没看完，很无语。            
(4星)	 呵            
(1星)	 剧情相当弱智            
(NA)	 无语            
(NA)	 其实这个是有点小夸张的说            
(1星)	 如果它只有10集的话，我可以给个中评            
(3星)	 虎头蛇尾的偶像剧            
(4星)	 嗯~~~~吴尊            
(3星)	 开头觉得仲可以，但后来真系太拖啦！            
(NA)	 果然是帅得精致啊～            
(4星)	 哈哈~~为了看吴尊而看滴~~            
(NA)	 一星期才出一集太折魔人了~~            
(NA)	 喜欢吴尊没道理！！！不过他和张韶涵的配对……有点奇怪！            
(3星)	 嘿嘿哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈 无话可说            
(1星)	 配公猪小子~            
(3星)	 纪念当年还爱看偶像剧的我之二            
(3星)	 看多了这种东西果然容易降低智商。zsh太假了，吴尊好帅，有钱就是好            
(1星)	 补遗            
(3星)	 高三我都干嘛了。。。            
(3星)	 觉得是打发时间看的，没有什么意思            
(NA)	 浪费时间            
(3星)	 我是当BL剧看的！            
(2星)	 一集弃啊            
(1星)	 不得不说这是卧病呻吟。。这个剧情的矛盾冲突点太不值得细想了。。            
(2星)	 俗套的富家琐碎            
(2星)	 还好里面的人都不讨厌，否则我真要被雷死了            
(1星)	 毫不犹豫给最差评！            
(1星)	 完全就是嫌弃我的青春太漫长。。            
(1星)	 爛片不解釋...張韶涵的演技和MVP情人如出一轍..撅嘴瞪眼神馬的最乏味了            
(2星)	None
(NA)	 说实话 这部也不赖 制作 演员 服装 都还行。            
(3星)	 。。。            
(NA)	 NC剧 我当时怎么看的啊。。。。            
(3星)	 吴尊哈帅~            
(3星)	 我的无聊青春呦。。            
(1星)	 纯粹在电视机前打发时间用~~~好奇害死猫啊！            
(3星)	 跟旁边哪几只站在一起显得吴尊特别的帅(¬_¬)后面太狗血了= =            
(1星)	 ╮(╯▽╰)╭            
(NA)	 我在被窝里看了一夜            
(5星)	 帅锅~            
(1星)	 囧，囧，囧，囧，囧            
(1星)	 居然一直忘记过来吐槽！！            
(2星)	None
(3星)	 剧情好俗……但张韶涵很美~            
(3星)	 just so so            
(2星)	 演员表情让我很难过            
(NA)	 实在看不下去            
(4星)	 吴尊超帅！！！ 当时看到迷恋到不行！！！             
(3星)	 可以啊            
(2星)	 完全为了吴尊才边看边吐看完这部囧片，三年前~             
(1星)	 恶心的剧，男女猪脚这两个不孝之人真该五马分尸大卸八块，满脑子自以为是，一对深井冰，真是绝配。这两个人脑子里根本就没有感恩这两个字，爷爷没被这两个人气死算是命大= =            
(NA)	 感觉是3年级小学生写的剧本            
(NA)	 ……            
(2星)	 前兩集還行。            
(2星)	 感觉做作            
(1星)	 一个星都是多的。            
(3星)	 公主谁都想当            
(2星)	 边骂边看完的。            
(1星)	 这种偶像剧，一个两个的就够了。            
(1星)	 我竟然看了这么多台湾偶像剧！！            
(3星)	 彻彻底底的偶像剧啊！给小女生发白日梦的！好不现实！好梦幻！幼稚的我那时候每周还追着看...            
(4星)	 我是冲着尊尊才给了四星~ 嘻嘻            
(NA)	 超烂！！！            
(2星)	 雷人的剧情和演技。 .            
(2星)	 真是不想说什么 - -            
(1星)	 懒得说了都。。。            
(3星)	 偶像剧本身就属于是童话故事，全是帅哥碰巧还都是富二代，还心地善良帮助可怜的女主角。这些都能理解，可是公主小妹的剧情也太不实际了吧。emp如果是自己创造的财富是不可能真么挥霍的。并且养着南风四爵还让他们随便玩，瑾还要逃出来自己奋斗，剧情太烂，吴尊不笑的时候真完美，张韶涵不会演戏。            
(2星)	 我看过开头几集然后就默默地弃了....            
(NA)	 喜欢张韶涵，那时看真的着迷，现在很少会那样了吧            
(3星)	 算弱的。13集。算短。所以看完了。不过不怎么样。没有太奢华的快感。            
(2星)	 有钱人和没钱人都知道有钱人和没钱人的生活不是这样的。            
(NA)	 虽然剧情很俗气，但是因为吴尊和张韶涵 所以还是看了            
(NA)	 又是个笑话             
(3星)	 这个电视剧真是假到一种境界了。初三的时候还追着每周一集地把这个看完了。            
(1星)	 实在是没扛到最后……看此剧最大的收获就是，辰亦儒甚萌，我滴菜^^            
(2星)	 不知道在讲什么…………            
(3星)	 就记着湖南卫视那时候还天天播。            
(2星)	 腦殘            
(2星)	 难看的要死            
(3星)	 故事情节太老套，没新意，结局也不咋滴~            
(3星)	 为什么我突然想起了这个= =            
(5星)	 喜欢            
(3星)	 吴尊帅死了，其他无视之            
(2星)	 又一个公主变凤凰            
(4星)	 还不错的，一部电视剧。当初是充着张韶涵去得            
(5星)	 看吴尊。。恩呢            
(1星)	 nc剧            
(2星)	 看多了这种东西果然容易降低智商。。。。。吴尊儿儿~~~            
(2星)	 那个时候我是有多脑残啊···            
(NA)	 又是个笑话            
(1星)	 无聊            
(2星)	 你就做梦吧。。。            
(1星)	 恶了个心            
(1星)	 唉这次是吴尊。            
(2星)	 幼稚如我 居然看了好几遍            
(1星)	 现在才发现，那时候的自己是那么的幼稚。只是，那时候真的很年轻。            
(3星)	 这个。。。这个。。。王子与公主啊            
(1星)	 不是我要看 谁让电视老演 我的愿望就是 换掉所有的演员！            
(3星)	 俊男美女，剧情无聊            
(1星)	 第一 讨厌吴尊 第二 讨厌张韶涵 带看不看的 名字起的就日 我日 难看死了            
(2星)	 台湾的日本少女漫改剧总让我有种违和感，各种假。适合完全放松大脑心情的娱乐时间= =            
(2星)	 纯粹的偶像剧。。。            
(NA)	 不好看……因為過了小白的年紀了。            
(2星)	 剧情很脑残，当时吴尊真帅了。            
(3星)	 网友们开始不停的找bug，导致心里面有疙瘩            
(3星)	 没啥好看的，又是超俗套的片子，吴尊可不可以演技好点？张韶涵和吴尊也不来电的，大概他们的粉丝喜欢看吧。            
(NA)	 看过几集就受不了了，太甜腻太梦幻太反胃了            
(3星)	 这部剧太刻意了~ 纯华丽+帅哥            
(2星)	 看完之后才发现，吴尊的脸是全剧唯一可以看的地方。            
(1星)	 少恶心人了好么！！            
(2星)	 真不知道说啥，没演技没剧情            
(2星)	 没意思。            
(2星)	 第一集&amp;最后一集 算是看过了            
(3星)	 三集弃 没兴趣            
(4星)	 看偶像剧真心不太多 当年张韶涵似乎还涉世未深            
(3星)	 张韶涵什么时候那么好看。。。            
(1星)	 实在太傻            
(3星)	 大部分都是经过某人周一口述给我听的 欢乐的记忆啊。            
(3星)	 我觉得被骗了- - 公主梦啊            
(5星)	 主角就是养眼！            
(1星)	 我妹看了N遍，所以我也被迫完整的看了一遍...肥皂加无聊的典型。            
(3星)	 每个女孩心中都有这样的梦想。            
(3星)	 装X成分很重。里面所有主演的演技都需要提高            
(3星)	 总是很无语的结尾            
(1星)	 呸！            
(2星)	 没有人是一座孤岛            
(2星)	 好吧，我不爱美男，因为觉得美得过头了- -            
(2星)	 受不了……            
