http://movie.douban.com/subject/3012309/	古灵精探 古靈精探
(NA)	 pierre            
(5星)	 曾经通宵看哦            
(3星)	 看完了不喜欢郭羡妮了……怎么会这样！编剧简直把她写成了白痴！想起通天干探里面那个晶晶，难道叫晶晶的女人全是白痴喔……晕            
(NA)	 我简直很讨厌郭羡妮，这个可以看出不是力捧的片，因为主角的头发总是很乱，看到郭羡妮我就烦躁            
(3星)	 纯属娱乐。            
(4星)	 其实是好片，至少追起来有兴致。台庆颁奖没有提名，应该是播得太早了。没有时机。            
(3星)	 可恶剧荒~            
(3星)	 典型的tvb电视剧            
(3星)	 很轻松~但结局很郁闷。。。            
(5星)	 我开始觉得马国明其实很帅，郭晋安其实不帅。两年前我可是颠着认为滴~ 虽然就个人口味来说，我更好那个pierre pierre pierre pierre 按香港人的话，很奶，很型格，帅哥都往北纬22.3以南迁移了，西南地区的人民怎么办？ ......             
(4星)	 大结局雷到我了。            
(3星)	 如果结局不是这么雷可以给个四星            
(3星)	 不喜欢郭羡妮，破案也靠特意功能            
(NA)	 2天连续看完，结局有点意想不到！            
(3星)	 网上评价还行，专门冲去买的碟...正在研究ing---------没传说中好看，感觉一般------讨厌的结局            
(3星)	 见了鬼的结局            
(4星)	 喜欢安仔的风衣s～            
(NA)	 搞笑又恐怖！            
(3星)	 結局篇可謂又長又臭～            
(5星)	 过程很好看,,结局很悲哀,,差点哭了..            
(3星)	 烂尾剧 而且案件过于简单 毫无新意 就通灵感应这个设定还可以            
(4星)	 不喜欢结局            
(3星)	 讨厌郭羡妮讨厌郭羡妮讨厌郭羡妮            
(4星)	 和第二部相比果断给四颗星            
(NA)	 介个没意思。。。            
(NA)	 【2008-03-10】            
(4星)	 案子至少不算拖沓   第二部我都懒得看   这部勉强能看             
(2星)	 有点烂~~            
(4星)	 当时觉得情节很好玩，虽然案件不复杂，但DIE的成员都好有趣。郭羡妮演差婆还是很靓，和郭晋安打打闹闹蛮有火花feel。因为这部喜欢马国明，可能也有和曾华倩姐弟恋的原因吧……            
(4星)	 一直觉得郭羡妮长得像柴崎幸。            
(4星)	 我就是喜欢配角演的好的剧~            
(4星)	 看了好几遍还是好想看！！            
(4星)	 看港剧就是过节~~~            
(3星)	 结局不好，曾华倩很靓~            
(2星)	 对郭羡妮喜欢不起来呀，o(&gt;﹏&lt;)o。郭靖安还是不错的，马国明没有别的剧讨喜，可能是太过严肃了吧，喜欢他邪气一点，p(#￣▽￣#)o 。最后，这个剧情真的不够吸引人。            
(1星)	 郭晋安这张弱智脸，看着烦死了            
(3星)	 结局很赶很烂…            
(4星)	 怎么会是这样的结局啊。。。            
(3星)	 我恨那种老套的死法，参见男主死法            
(4星)	 我的女神啊  郭羡妮            
(3星)	 我决定看第二部，看怎么复活- -            
(NA)	 陪老妈看，很欢喜            
(4星)	 TVB探案剧一定要让男主有一个生死不明的爹吗？！曾华倩回来了好美好美~~~这是三郭戏吧，郭晋安郭羡妮郭政鸿联袂~~~整部剧最后五分钟果然亮点频出，以呼应DIE的主题吗。。。            
(2星)	 破案跟抽羊角风似的，最后搞死男一号..拖拽看完            
(4星)	 看的很哈皮            
(5星)	 喜欢郭羡妮啦。            
(4星)	 为嘛编剧把他写死了呢？            
(4星)	 如此2B结局为哪般啊为哪般。            
(4星)	 剧情还是很连贯的，虽然推理地很低级，但编剧还是看过不少推理漫画的吧            
(2星)	 电视上看了10分钟就受不了了。            
(2星)	 这年头破案都要通灵...结局也太无语了吧 -.-            
(3星)	 真系好鬼钟意晶晶同Hugo，中间段情变戏伤心死。ps, 一个人睇好鬼惊...            
(3星)	 边雷边看= =            
(4星)	 还不错，主角配角都很出彩，不过郭羡妮的角色着实不太讨喜            
(4星)	 开心的片子。            
(NA)	 烂片。            
(3星)	 连看2部，看出感情了，虽然弱智，但是很有意思            
(3星)	 编剧不够力。            
(3星)	 最后那些简直该卡掉，看的鸡皮疙瘩的……            
(3星)	 可看性高，但漏洞百出啊，看了开头便知结尾的案件。            
(NA)	 =。=结尾是哪能会四体啊。。            
(3星)	 我的品味已经沦落到看港剧的地步了 sign            
(4星)	 曾华倩……唉……            
(4星)	 为啥让小马远走TOT            
(3星)	 结局还是阴阳相隔，很惨的，破案就破案，加什么通灵因素啊，囧            
(4星)	 好喜欢郭羡妮~            
(3星)	 一般般            
(2星)	 看不下去……            
(1星)	 烂片，班车逼着我每天看一集，恨！            
(3星)	 最后 只留有主题曲的铃音            
(2星)	 就这种片也想学栋笃神探？！            
(3星)	 TVB的破案剧还真是大不如从前            
(NA)	 三天里跟着电视剧频道看完的。。            
(3星)	 不喜欢郭羡妮            
(NA)	 我爱打毛衣的小凤姐！！            
(3星)	 第二部好看誒~~            
(3星)	 有美女看...            
(NA)	 TVB就是这么狗血= =            
(4星)	 原来是个悲剧。            
(3星)	 结局有些仓促额             
(3星)	 結局……我都不想吐槽了哦。            
(4星)	 剧情狗血了，其实很喜欢马国明和郭羡妮在一起哎~            
(4星)	 比起谈情说案就有趣多了            
(4星)	 TVB自有其魅力~话说于子朗蛮合胃口~~            
(3星)	 郭羡妮的角色每每都这么讨人嫌            
(4星)	 反正大部分探案剧我都爱            
(3星)	 结尾草率了，情节也漏洞百出            
(3星)	 真的死了……            
(2星)	 TVB在这样烂下去，老戏骨也救不了~~            
(4星)	 这狗血的结局。。。。。。。            
(3星)	 普通长剧而已            
(3星)	 搞出鬼来太乌龙了。            
(3星)	 @四川台。没有我十分喜欢的演员，除了看到曾华倩的时候颇有惊喜：）演家隽的男生很帅啊，女主怎么没看上他？不过郭晋安是一向给我感觉还不错的演员，这次鬼马演出倒是很可爱            
(3星)	 结局真不好！            
(4星)	 挺好的.若不是那么悲的结局就给五星了~            
(3星)	 两个结局都是败笔            
(4星)	 这结局怎么这样，汗~            
(3星)	 死了?!他死了?!就这样死了?!            
(5星)	 MEDIEM+CM25END大口英没落史            
(3星)	 小傻            
(3星)	 女警很冲动            
(4星)	 四川台几集连播时看的，网上看完了，郭晋安越看越帅~~            
(1星)	 TVB的罪案剧果然都很弱            
(3星)	 通灵感应            
(4星)	 TVB，各种TVB，我喜欢的范儿            
(5星)	 就是爱配角..            
(3星)	 一颗星给马国明，一颗星给曾华倩，一颗星给pierre            
(4星)	 喜欢正义！            
(4星)	 阿宅最爱TVB~            
(4星)	 八错，故事编的挺严谨的，就是结尾有点雷~~            
(3星)	 曾华倩还是很漂亮            
(4星)	 好玩~            
(NA)	 最后古灵精探居然死了。。哎            
(3星)	 让我想起初中周末补完课冲回家看TVB的时光。最后的加长太无厘头了= =            
(3星)	 三郭破案惊奇@201003            
(3星)	 。。太趴了。。            
(3星)	 减轻压力看看            
(5星)	 刑晶晶太冲动了。。。。把老公也干掉了。。。。喜欢阿朗~这个结局无奈了一点            
(2星)	 郭晋安不适合这类角色            
(NA)	 郭晋安！！！！！！！            
(3星)	 这个结尾不如没有。            
(3星)	 只要搭上侦探边。我就走不动。。            
(NA)	 郭羡妮是我的雷区=。=            
(5星)	 我喜欢正义的奶奶写毛笔字，呵呵            
(4星)	 抄袭太多了，比如打碎的鱼缸其实是为了掩盖碎掉的眼镜片的情节，几乎和日本经典卡通剧《金田一少年探案集》中的一集一模一样，而且剧中的子朗似乎手中出现过《金田一少年探案集》的漫画。看来编剧是日本推理漫画迷。            
(4星)	 郭晋安演技不错的            
(NA)	 剧里的于子朗很喜欢 喜欢的样子 喜欢的性格            
(3星)	 春节看侦探+灵异。。。            
(2星)	 白话练习            
(3星)	 刚开始看时觉得还不错，没想到越到后面剧情越无厘头。            
(3星)	 无聊还是可以看看的            
(4星)	 看看吧  娱乐片            
(3星)	 胡定欣在里面还蛮美的~            
(NA)	 致敬死亡笔记╯_╰            
(4星)	 怎么觉得tvb功力渐长……曾美女果然漂亮~            
(3星)	 我无聊到看番茄台觉得还不错。说实话郭美人当真比佘美人好看那么点点。            
(3星)	 年度喜感大口九 囧那个囧啊 ~~            
(4星)	 结局很莫名            
(4星)	 2个结局。。。死去的结局真让人难过啊            
(4星)	 为什么我觉得还挺好看的。虽然很扯，可是至少案情什么的还是没bug的。而且很欢乐我一直觉得二郭气场很合。            
(1星)	 原来tvb也能拍出这么烂的片子            
(4星)	 找回当年看刑事侦缉系列的感觉            
(5星)	 看得津津有味            
(4星)	 郭晋安很型的说~~~恩啊，结局貌似很狗血~~~            
(4星)	 在酒店无聊的时候开始看的，我还蛮欢快的。曾华倩啊，我孤陋寡闻了。            
(3星)	 情节不错,一直不喜欢郭晋安夸张和呆呆的表情,都是阿呆闹的,还有郭也是能绕就绕的,要不是实在没的看,光看演员我都不会碰,但客观说这部戏还可以            
(3星)	 最后的结局太狗血了            
(4星)	 还是这一部好看            
(2星)	 扯暴了 囧  10集之后雷飞了。            
(4星)	 其实我真是不想看郭女王            
(3星)	 看过。情节快忘光光了。            
(4星)	 先看第二部的，所以第一部最后看的我很茫然。于子朗怎么死了？孩子则呢么成女儿了？很汗……于是看了粤语版的生死加长版，丫的，原来还有投票决定于sir的生死，囧！不过还是蛮好看的！            
(3星)	 勉强的打三分，真的很一般。            
(3星)	 原来港剧还能改结局            
(5星)	 大口英，大口英            
(4星)	 哈哈哈~~笑死了，一晚连看8集~            
(4星)	 古灵精怪郭晋安。            
(3星)	 虽然是双结局，但是两个结局都雷到我了。。。            
(NA)	 看完             
(3星)	 真烦马国明            
(4星)	 无数遍            
(4星)	 chuck coldcase             
(3星)	 一般吧，不知道编剧为什么加了个女鬼的人物。使电视剧看起来没怪。            
(3星)	 古灵精探            
(2星)	 不是很喜欢。            
(4星)	 两个结局都看了，的确比较雷人，真不明白一开始编剧为什么要搞个悲剧出来。。。            
(2星)	 太恶搞了            
(4星)	 结局有点囧            
(3星)	 开头还算有意思            
(NA)	 郭晋安最后死的莫名其妙..开始对郭羡妮有爱了..            
(4星)	 姜还是老的辣；一部不咋地的片子就是演得那么好看。            
(4星)	 还可以哦，收视挺好的，有新意吧。            
(3星)	 跟鉴证实录，法证先锋等比，都一般。tvb近些年真的好看的越来越少了            
(4星)	 除了骑呢，都可接受的。            
(2星)	 港剧中，破案片中，你算是比较差的了            
(NA)	 郭晋安的表演方式还真是受不了，不过案件剧情不错~            
(NA)	 当时是别人推荐看的，现在还记得里面的一句台词。            
(3星)	 为毛还能拍续集……            
(5星)	 钟情于女人！！！大爱晶晶虽然剧情很一般 但女人很出彩 期待2            
(5星)	 通灵感~~~~~~~~~~~~~·            
(NA)	 偵探案~郭羨妮在這部戲比較可愛            
(2星)	 超不喜欢郭羡妮            
(4星)	 挺有意思的！            
(3星)	 Three carpenters are better than Mr Zhu.            
(2星)	 看到一半。。。太扯了。。。看不下去。。            
(3星)	 破案的肥皂剧。            
(3星)	 港剧就是情节紧凑而不精致~            
(4星)	 为什么最后郭晋安死了呢 哎~            
(4星)	 这个结局..... 好桑心呐`            
(3星)	 越来越爱tvb            
(4星)	 用来学粤语很不错            
(2星)	 郭羡妮那个角色真是冲动傻冒 破案没点智慧 就知道意气用事  其他配角也不喜欢 除了郭晋安 其他人对破案真可谓毫无帮助 那个黄SIR也不知怎么做到那么高职位 一点头脑也没有  可能看法政的后遗症  对破案题材要求高了点  人家不过是个扯剧  对穿越真无能接受  还搞个女鬼出来  真            
(5星)	 新版大结局很奇怪            
(3星)	 剧情不够悬疑啦and我讨厌那个郭羡妮            
(4星)	 结局真是无语，死了就死了呗，为了拍续集，又复活了……            
(3星)	 很多人好评的剧 可我觉得很一般 剧情扯 只是觉得郭羡妮和曾华倩挺漂亮            
(3星)	 就古灵精探呗~~            
(NA)	 在杭州hostel看到不願去沖涼            
(5星)	 拯救TVB的另类制作~但仔细看来和通天干探差不多~~~郭羡妮 不亏为狐妮！            
(3星)	 很好看的开头 很囧的结尾 摸不着头脑的感觉            
(2星)	 实在是看不下去，看过的几集也完全忘记了，由此可证明此片之烂！            
(3星)	 可惜结尾不是很好看……所以只能算还行……            
(4星)	 比想象中好看很多,结局很意外~            
(4星)	 故事还是不错滴编。            
(4星)	 里面的案子还蛮有意思的结局太衰            
(3星)	 ..            
(4星)	 阿旺已经深入人心.            
(3星)	 后来的港剧，我几乎看不下了。太冗长内容也不能喜欢。现在如果要看港剧，其实只为了看我喜欢的一个女星。她产量不多，也更看少了。            
(NA)	 是因为喜欢安仔才去看的~~郭羡妮好老啊~~结局让我很无语~ 哎 败笔败笔            
(NA)	 很扯很难看的剧 不知道怎么收视那么高，而且还来个续集            
(3星)	 香港的破案片是打发时间的最好工具            
(4星)	 搞笑,但最後結局不錯.            
(3星)	 剧情有点扯了            
(NA)	 古怪            
(3星)	 结局太瞎了，居然可以修改的，那谁投入的进去啊，自己随便发挥就好啦。            
(NA)	 我了個去，歐陽震華陈国邦！~            
(NA)	 每次郭晋安 通灵的时候 有点吓人            
(5星)	 看到了曾华倩 是个意外的惊喜 都没有变 还是那么漂亮 还是结局不好 传说有另一个 不知道是不是真的            
(5星)	 太可愛了 所有的劇情 都讓人歡喜            
(3星)	 喜欢里面的美人~呵呵~            
(NA)	 好玩不过结尾我不喜欢            
(3星)	 这个结局让我想到了当年的栋笃神探，不过还是栋笃最高！            
(3星)	 陈强被杀一案最后交代得有些仓促，根本没讲清楚他老婆用刀捅他的那个部分~~片子里的案子都需要通灵感应才能获悉一些关键线索，否则根本不可能将悬案解开。所以突然想到现实生活中，大部分的案子其实都成为了悬案，很难被解开，让我有些许的小郁闷~~这也很难怪警方的办事能力~            
(3星)	 TVB现在为什么都是悲剧结尾呢,以前大团圆结局多好啊!不过听说这部还是补了个喜剧结尾,不过我么看到.            
(5星)	 喜欢郭晋安            
(5星)	 因为有点像日剧的神探伽利略，才看得。想不到越看越有味阿，特别是马国明长得超级好玩阿            
(NA)	 不错的.            
(3星)	 结尾粗糙            
(2星)	 加速看完。大烂片。            
(3星)	 随便看看还是比较轻松的            
(NA)	 似乎也是差个大结局            
(4星)	 感觉里面的郭羡妮好漂亮            
(4星)	 TVB少見的非大團圓，誰知到後來又出了一個噁心的完美結局。            
(4星)	 虽然结尾不喜欢，但是超级喜欢曾华倩            
(3星)	 结局好玩...出人意料            
(NA)	 貌似很久没看tvb了            
(3星)	 喜欢最后两个版本的结局，只是人生不可能会有两个不同的结局。            
(3星)	 曾华倩也复出了，小时候的贴画本里还有她的贴画，看到她想起梁朝伟，其实，单看相貌，她还是比刘要美的……主角的衰老程度加上那个无厘头的结尾，真噎死人不偿命啊            
(NA)	 搞笑            
(NA)	 这部也好看，都是在深圳看过的            
(3星)	 郭晋安            
(3星)	 恩。。。侦探。。。结局莫名其妙，后面的内容太无聊。。。            
(3星)	 只是看看，消遣下            
(4星)	 结局很不好            
(3星)	 什么烂结局            
(3星)	 结局有点牵强阿            
(3星)	 这个结局太令人寒了。。            
(5星)	 好多年没有这样看港剧的热情啦。            
(4星)	 因为华女复出才看 案情和以前的TVB还是没得比            
(3星)	 有些诙谐、有些神话？            
(4星)	 结局很狗血。            
(4星)	 还行            
(3星)	 不喜歡那個結局o0            
(NA)	 我好中意阿旺啊！            
(3星)	 [08.04.19]看完咧，剧情太烂            
(3星)	 尽管很无聊，还在追看。            
(4星)	 结局别提多郁闷。看过的人，都知道。            
(4星)	 真的有通灵的？那结局也太搞了点！            
(3星)	 郭晋安同学愈发神经质了，不过有时还蛮可爱的；曾华倩阿姨还是很漂亮瓦~~            
(3星)	 金玉其外败絮其中~喜欢那些推理，虽然漏洞百出且不严密。那个结局，不说它了。            
(NA)	 古灵精探            
(2星)	 劇情也太弱了吧,讓男主死也不是問題,可是這個死法到底是編劇弱智,還是當我們是弱智啊!            
(4星)	 到目前为止还在看 属于奇迹            
(NA)	 男2号~~~ 为虾米？？            
(4星)	 个结局怪成这样都行的！！！            
(3星)	 虽然开始很有趣，但最终落入俗套的港剧之中，结尾至今未看，唉。。            
(2星)	 一点都不好！情节粗略简单。没有任何看头            
(3星)	 没什么重点。            
(3星)	 额,可以随意看看...            
(3星)	 除了女艺员都显老以外,就还好啦.            
(NA)	 过程不错，结果么就一般            
(2星)	 本来倒还行，那个结尾太仓促了，只能差了            
(3星)	 已经看到19集鸟            
(4星)	 一部很有趣的港剧，侦破剧情虽显俗套，但是夹杂些灵异情节还是满有看点的！结局终于摆脱了俗套的大团圆男主角的死还是很让我有所感触的！！！            
(4星)	 08年第一部追完的TVB。。            
(4星)	 很欢乐            
(3星)	 不太喜欢靠特异功能破案的片子            
(3星)	 [补]。            
(3星)	 不错了…             
(4星)	 狗血得有点意思.            
(1星)	 不喜歡            
(3星)	 学粤语            
(4星)	 都没看全。。            
(3星)	 郭羡妮好美腻~            
(NA)	 我爱的香港剧。            
(3星)	 去你mb的通灵感应！有超能力还好意思叫侦探？！!            
(4星)	 对一切破案的剧集都没啥抵抗力，所以即使是TVB的，也一直追得很紧。这部片子最出彩的还是郭晋安，郭羡妮那么美的美女在里面演得极其粗鲁，也算是一次突破。案情基本都不算太深，看到一半就猜出了结局，但整体还是不错的。            
(NA)	 暑期一起看的啊~            
(3星)	 在韩国时看过~唯一能听懂的台就是TVB~NND~大陆反倒是收不到！            
(5星)	 好喜欢郭羡妮~~~            
(NA)	  TVB 郭晋安 郭羡妮             
(4星)	 别类侦探剧 也不错            
(5星)	 郭晋安             
(2星)	 扯淡            
(NA)	 破案片，追过。            
(4星)	 这部剧是我爱的TVB戏之一……            
(2星)	 两郭都讨厌            
(5星)	 非常喜欢~曾华倩这个打扮很年轻嘛~            
(4星)	 TVB的探案剧真的别去苛求案子的细节。。安仔一直很支持，虽然这部剧的幽灵说漏洞百出啦。。            
(3星)	 结局里子朗不是不在了吗？为什么会有第二部呀？            
(4星)	 古灵精怪的郭晋安            
(4星)	 案子还是不错的，可惜结局无语            
(5星)	 悬疑和逗乐            
(2星)	None
(5星)	 这个关于我与某人青春的记忆。            
(3星)	 越来越讨厌郭羡妮现在脑子里回荡起她那销魂的配音我都想撞墙            
(5星)	 话说因为此剧迷上郭女王。            
(3星)	 挺好玩的，但是提不起兴趣。            
(3星)	 结局瞎了啊~~郭晋安还是有点小帅额 就是矮了点~            
(NA)	 陪老人家看的。            
(4星)	 人是丑的丑皱的皱，故事不错。            
(4星)	 郭晋安一点不帅 但我就是觉得看到他就会很开心            
(4星)	 特别的破案方式 也算是刑侦+搞笑了~            
(3星)	 不是很喜欢...不过当时还是有追= =            
(3星)	 还是相当有笑点的,就是有点太傻            
(3星)	 郭姐姐真漂亮~~曾姐姐也很漂亮~~~~其他...都一般            
(4星)	 觉得对郭女王有改观~            
(3星)	 前面断断续续的看过一些但是看到那个结局我只想说卧了个大槽            
(3星)	 鬼马侦探作            
(3星)	 还是有很多硬伤的，尤其是出来的那个女鬼小宜，雷人啊！！            
(5星)	 从这部开始待见郭羡妮            
(4星)	 我好无聊，从头到尾看了好几遍。。            
(4星)	 蛮不错的            
(4星)	None
(2星)	 郭羨妮一幅苦逼臉 咋看咋不爽  還有啊 那些個案子也太爛了吧            
(4星)	 结局可惜不是大团圆啊~            
(3星)	 看到这样的结局，难过了好久            
(4星)	 和表妹都觉得蛮好看。但别人说是模仿柯南的。= =！            
(NA)	 为什么TVB拍的电视都这么好看~~~            
(4星)	 轻松的剧情，挺喜欢的！            
(5星)	 不严肃的破案片，开着粤语看，感觉不错。            
(3星)	 破案情节很吸引 郭晋安好做作            
(4星)	 虽然有些无厘头，但还蛮有意思的。            
(4星)	 很不错的一部侦探片，值得一看            
(4星)	 不错~都看了。等C            
(5星)	 全人物都很可爱，高亮。            
(4星)	 还行吧            
