http://movie.douban.com/subject/4320255/	摩登新人类
(4星)	 ta就在你身边，却总是想着别人，这是最遥远的爱情； 　　——非凡（暗恋期） 　　明知道ta不爱你，你还爱ta，这是最孤独的爱情； 　　——温雪（回追期） 　　有人爱你，你却不爱ta，这是最沉重的爱情； 　　——凌桀（迷惑期） 　　有人爱你，你却不敢爱ta，是最压抑的爱情； 　　——沈蔷（犹豫期）             
(3星)	 有一部主角我都不讨厌的剧实在太难得了好吗！            
(4星)	 近年唯一看過的大陸電視劇 但把全部可用的橋段放進去 太泛濫了 清新點更好胡歌 非常非常帥 但設定太壓抑看了大半都難入戲 和紅果的輔排深刻點就好了 不過那個吻我還是融化哈 喜歡真實的胡歌 多可愛 多有性格 帥;)喜歡陳柏霖的小動作表情 但和溫雪那邊剪接也奇怪難得所有演員都順眼 李媛也是小驚喜            
(5星)	 最爱胡歌            
(5星)	 人生就是在不停不停的追求那些你以为永远也得不到的东西 但在某一天醒来的时候 或许一切都会不一样 生活需要勇气 需要灵感 就像天空需要白云 风筝需要微风 碰到困难挫折的时候 就要抬头大声对天空喊 加油 加油 加油【很羡慕夏红果 有那么一帮菜鸟窝的好朋友 也有自己想要追求的梦想和爱情】            
(5星)	 老胡还是那么帅气            
(3星)	 在学校见到马思纯的时候差点把我漂亮屎啊，为毛上了电视就一张大饼脸一堆死鱼眼啊！！！！！！还有万年不变的那个不知道如何形容的表情！！！！问题出在哪里！！！！            
(2星)	None
(3星)	 这种一堆朋友住一起的青春戏码我总是百看不厌            
(2星)	 纯粹是为胡歌和陈意涵而来，让我说下去我会吐槽无数。胡歌一颗星，陈意涵一颗，谢谢。            
(3星)	 帅哥美女，青春泡沫==支持老大~~            
(3星)	 胡歌的颜又一次到了巅峰。可是故事实在是……拜托，如果连基本配备都是苹果这样的东西？谈何梦想？谈何草根梦想？老胡最演不得这样无瑕的角儿，他一大活人，角色非让他死去。从前爱他是因为他能起死回生，谢非凡这个角色，有点木。陈意涵的路线一点都不讨我喜欢，装傻充愣的女主，一棒子打死这部戏。            
(4星)	 还好柏霖和大发互动满多，，不然真的看不下去…………            
(3星)	 为了大发和陈柏霖~~结果两人没戏！剧情硬伤什么的实在是我忍受不了            
(5星)	 好期待··快快放吧            
(3星)	 反正就是最後壞人都一下人變好了 男女主角逗了一大圈最後才在一起 不過陳柏霖和陳意涵更配吧             
(4星)	 小学生和大萝卜，超级配啦~~            
(4星)	 我冲着马思纯去的，原来陈柏霖也在！            
(5星)	 老子就是为了胡歌看的！就是要主观地给满分！！！！！            
(4星)	 也是在家东点西点看了的。。。越来越DJ胡歌了喂~            
(NA)	 这乡下人也太洋气了吧。。            
(4星)	 陈意涵是无敌萌妹(▔/﹏\▔)             
(4星)	 妈说找陈大发来演小燕子应该会更好            
(3星)	 刚才电视里看见。最初看见陈柏霖陈意涵以为是台湾偶像剧，没想到又出现了张铁林=。=            
(3星)	 烂尾了            
(3星)	 看了第一集搞清楚人物关系，看了最后一集弄明白结局。因为陈柏霖的凌桀多给一星。陈意涵你敢不敢把舌头撸直了再讲话。            
(5星)	 在未来的路上，每个人都在为自己的理想奋斗，都在为自己的爱情努力，哪怕跌倒了，受伤了，也依然义无反顾的往前走。算是第一次真正意义上看胡歌的现代剧，意想不到的令我欢喜，“很美很优雅”这样对他的评价很适合他！            
(4星)	 要是红果最后跟凌桀在一起那该多好~╮(╯▽╰)╭  这本片子告诉我们女追男比男追女要容易的多~            
(3星)	 我靠，陈意涵你演点正常的角色行么= =|||             
(4星)	 真希望凌桀跟红果在一起            
(4星)	 推荐个吧，国内偶像剧            
(NA)	 7月12—7月18日旧任务。            
(5星)	 主要是演员都满顺眼的（除了一开始看莎莎比较难受，不过角色就是这样的嘛），故事也还不错，可以一看            
(2星)	 还是无法坚持，算了            
(NA)	 非常和谐相配的一对CP~~~~~能再合作不~~~            
(5星)	 剧情还不错 但是越是到后面越是有点不实际 怎么男主和女主一确定关系就求婚了 不过不切实际才是偶像剧呀 而且男主和女主满配的 很萌的 不过男二和女主也很配哎....            
(5星)	 29集整个戳中泪点。。            
(4星)	 表情木木的胡歌就是一大酱油...难得的自然的..台词演员镜头节奏都OK的青春电视剧...            
(3星)	 胡歌不容易，把这么个单一平民化无发挥的又容易被男二粉吐槽的男一号角色演得让我居然还蛮喜欢的。。。这年头，不把富二代演成霸气道明寺你都不好意思说你演过偶像剧！            
(4星)	  我在等我在等我在等            
(5星)	 温雪太丑了 大家忍着点            
(5星)	 超想看的 时装剧            
(5星)	 就为了胡歌我也要给满分啊！！！！            
(4星)	 胡歌加陈意涵，我中意的组合。。。            
(3星)	 看老胡的面上来三颗星            
(3星)	 陈大发干嘛不跟陈柏霖在一起啊！瞬间不高兴斯基！看偶像剧就不要讨论剧情，讨论偶像足以。            
(4星)	 其实还不错            
(1星)	 这颗星只为陈柏霖。其他的，烂透了装x。            
(4星)	 哟西~            
(NA)	 为了陈柏霖看的= =……            
(3星)	 硬伤太多，虽然几个主演都表现不俗，不满意的部分在于猪脚们的情感衔接还不够饱满，前面有点拖沓，还有里面的环境布置，元素太多不够简洁有张力，反正我看着环境只有恶俗的感觉            
(4星)	 小学生和大萝卜太有爱了，为什么他们不在一起！！！&gt; &lt;            
(3星)	 剧情无感 去看陈意涵            
(3星)	 我这么爱陈意涵都没有看完……            
(4星)	 春节和表弟一起看。奔着陈柏霖和陈意涵看。。结果没有在一起。欸            
(5星)	 不管剧情有些老套，说话有些造作。可还是喜欢！尤其夏红果~~大发大发~~~~~~纯真~善良~为梦想~~~            
(2星)	 三星四星還有五星是誰打的也太棒了這麼腦殘一劇，快把陳柏霖的部份剪輯出來讓我忍心再看第二遍，面癱女前面那兩根毛是什麽意思古典美鋁嗎？快祝賀我強忍著心痛看！完！了！            
(4星)	 安最萌~            
(3星)	 就是喜欢张士豪！            
(3星)	 大萝卜和小学生有爱            
(2星)	 烂            
(4星)	 喜欢胡歌天天穿西装的样子，帅死了。陈意涵真的超级可爱。喜欢陈柏霖的那种不羁的性格。剧情平淡，但有些言语很真实。            
(4星)	 很清新的感觉，看完充满希望的感觉，就是剪接不顺畅。            
(4星)	 超爱凌桀！！！有趣且不矫情~花而不油~~~！！！            
(4星)	 四個主演里表現最好的是陳柏霖，顏正回來了，演戲也很自然；馬思純的顏不如我們天上見里那樣驚為天人了；陳意涵應該給找個配音的，別的沒什麼問題；至於胡歌，他不當帥哥好多年了………            
(3星)	 跟着盖盖看了最后几集，还行吧。陈意涵萌死了            
(4星)	 暑假看完了。。冲着陈柏霖。。            
(3星)	 青春就是如此的美好。不管遇到怎样的困难，你都没理由放弃，因为这是梦想。            
(3星)	 淡就这样扯吧 胡歌的演技还真是让人舒服啊！陈柏霖酷哥潇洒放电是真可爱。剩下人，那真叫演戏啊，，，你们悠着点儿演行吗？就算是有内涵的作品这么折腾也不会是搞笑，也不会是风格。。。只能是越来越糟。            
(2星)	 剧情没亮点。更NB的是，奋斗了半天，原来大家都是富二代            
(4星)	 演员阵容+1            
(3星)	 陈柏霖终于又帅回来一些了，虽然还不是完全。            
(5星)	 很喜欢天真积极努力快乐的红果，还有帅气的凌桀。            
(NA)	 不喜欢            
(4星)	 那些为爱勇敢的人都好羡慕。大萝卜好有爱！            
(2星)	 只看过一集的人好像木有资格打这个分数（喂喂喂 可是这一集也是陪个小喷油看的，增的是按捺住自己要咆哮的欲望阿，大发真心演的好过哦，一眼看到底的剧情阿= =小盆友看到胡歌就尖叫，大概已经过了这个年纪了（老年人桑不起了= =            
(3星)	 很励志啊励志！！性格决定一切，其它都是浮云            
(NA)	 冲胡看            
(3星)	 胡歌你个脑残啊，你怎么不去找你的温雪啊！！！干嘛要拆散陈柏霖和陈意涵啊！！！老纸看的只受虐，看到陈柏霖不开心，我也不开心。            
(4星)	 还是喜欢陈柏霖跟陈意涵饰演的两个角色在一起。。            
(NA)	 从头到尾就只有一个感受,陈意涵的眼睛曾的好大.            
(4星)	 四星给陈柏霖好嘛！结尾真的很仓促不好 大发和柏林在一起多好啊！还有就是有点喜欢胡歌了 不是谢非凡            
(4星)	 很想看到小学生和大萝卜在一起啊~            
(4星)	 为了陈柏霖给四颗星。学生时代的校草就该是这种型。            
(NA)	 只是看大发和bolin            
(5星)	 因为缺爱，所以给五星。喜欢陈大发，还有那个温雪，越看越有爱啊。泛滥了。。            
(NA)	 陈意涵就≪听说≫演的正常点了 不过还是喜欢            
(5星)	 爱情梦想的追逐.            
(2星)	 看来出生入死过的人类就是不一样，胡歌哦，你现在也太有味道啦。            
(4星)	 陈意涵可爱的要爆炸了，我只为看她！！            
(3星)	 陈意涵最后的回眸真素美翻了啊啊啊            
(1星)	 马思纯肿么变这么丑啊啊啊！演的又是我讨厌的性格类型 剧情狗血我就不吐了 去死吧我看美剧去！            
(5星)	 很不错，我喜欢胡歌里面的形象，健康正义谦虚善良，大爱；陈意涵很美很可爱，这部剧很励志，友情令人动容            
(NA)	 牙败，群众演员都坏掉了！            
(3星)	 三星全都是给陈柏霖！！！时隔多年 你依旧是我的理想型！&gt;3&lt;            
(3星)	 这电视简直2到可以 编剧绝对是2货 没错 为了胡哥跟陈意涵还有陈柏霖 违心打了3星            
(2星)	 烂。可惜了了陈大发陈柏霖            
(2星)	 仍旧偶像剧，拍得干净点大概没有人会有太大问题吧            
(3星)	 这部片子告诉我们，遇到几个富二代，对事业对爱情是终极推动力。。。。。到最后连趣味都没有了。。。。哎。。。。            
(4星)	 算是不錯的大陸台灣合拍劇了，不過虎頭蛇尾很嚴重啊，很多篇幅浪費在不大重要的情節上，需要重點描寫的就一筆帶過（比如凌桀和謝非凡的兄弟糾葛），劇中角色情感轉變太快了吧。要麼就要主配角詳略得當，要麼你就拍50+集。有點毀了吖            
(3星)	 大发其实就当平常生活那样就很可爱了。            
(2星)	 好失望。            
(3星)	 有点刻意模仿《奋斗》。陈柏霖加上陈意涵，本可以是一部清新可人的台湾式青春电影。可惜被拍的太过偶像剧化。            
(5星)	 作为内地都市时尚剧来说，摩登算是不错的精品了，故事没有特别扣人心弦或独特之处，但中规中矩也不会令人失望，剧中人物的造型，整个剧的感觉都很时尚，尤其是剧里的音乐，都非常不错。            
(3星)	 剧情狗血,基本上可以预见到下一步,而且支线开的太多,剪辑各种跳跃.完全是冲着陈大发/胡歌/陈柏霖去看,基本快进看完.其他演员其实都各种有爱,不过每次看到秦天就各种蛋疼.30集都感觉故事讲的太急了,很多地方完全没有交代清楚.虽然可以猜到= =!作为国产偶像剧其实值得鼓励的!            
(5星)	 就是觉得陈意涵的可爱不是做作的，没有《夏家三千金》中某人的可爱是装出来的那样~~~            
(NA)	 弃            
(4星)	 没看完            
(4星)	 前面没什么很大的进展后面有些进展也忒快了吧~但总体来说还是蛮好的~很喜欢胡歌和大发~呼呼            
(3星)	 伪摩登剧。。冲着陈意涵看的。。真心觉得马思纯很丑。。。            
(5星)	 特别喜欢            
(5星)	 大發雙眼皮真是 好看啊！            
(2星)	 最期待的偶像剧也是最失望的偶像剧，金玉其外败絮其中。            
(3星)	 这片子里有我最喜欢的男女演员，但是！！！看完了预告片我觉得完全没必要看整部片子了……            
(2星)	 我没看下去            
(3星)	 太一般了            
(3星)	 完全是冲着胡歌来的 但是剧情真是一塌糊涂 失望。。。但是还是喜欢胡歌            
(4星)	 喜欢他们不畏惧追逐爱情和梦想的精神！            
(1星)	 以我的智商为什么看这部电视剧。快进看完以后也真真觉得浪费时间。            
(3星)	 矮油，必须看嘛。            
(4星)	 终于看完了。四对年轻男女的生活真是让人羡慕啊~            
(3星)	 剧情拖了点 不过情感细腻... 红果和非凡 多美好的一对~            
(NA)	 不打分，半集弃之。            
(NA)	 凌桀才是我的泪点啊            
(NA)	 不忍心打分。陈意涵很萌。剧情很一般。我也很希望小学生跟大萝卜在一起。问题是，人都只看到自己喜欢的人。            
(3星)	 陣容是強大,但劇情我看不下去了,停止!            
(NA)	 为着陈意涵陈柏霖，这剧我是看定了。足足等了一年，看到时却没了当时的惊喜，因为先看到的结尾几集，觉得超没意思的，后来从前往后看，才值回了我当初的心意，陈大发依然可爱，陈柏霖依然痞气            
(4星)	 4颗星，柏霖和大发一人一颗。编剧应该去吃屎。可怜了我家柏霖~~~跟大发原本该是多配的一对啊。            
(5星)	 期待啊~~~            
(NA)	 30            
(3星)	 陈意涵有点做作            
(3星)	 两星半 演了30集 终于在一起了=v=             
(3星)	 大发这次真是做作过头了啦！            
(5星)	 终于看完了《摩登新人类》。我喜欢这群住在菜鸟窝的伙伴们。不仅仅是因为他们都是我很喜欢的演员。而且也是因为他们热情洋溢，青春活泼的表演。让我感动。有梦想真好。喜欢非凡，红果，温雪，凌桀，沈蔷，秦天，华仔，莎莎。你们是菜鸟也不是菜鸟。在这个摩登潮流的时代里，你们就是摩登新人类！加油！            
(NA)	 为了看陈柏霖            
(3星)	 陈柏霖和陈意涵的合作，期待，看完发现李媛才是最爱！            
(3星)	 给胡歌 陈柏霖 陈意涵。。。剧情恶。。            
(3星)	 胡歌啊。。。            
(3星)	 这剧太无聊了            
(2星)	 陈柏霖真的烂片不少~但是我还真的都有看            
(3星)	 陈柏霖，陈柏霖，陈柏霖.....            
(3星)	 陈柏霖跟胡歌帅屎咯 陈意涵简直在里面又丑又傻又缺  女二号满脸小疙瘩 电视大屏看吓死人= =            
(4星)	 陈意涵好可爱啊            
(4星)	 有营养的            
(5星)	 不为别的，为的是青春、积极            
(1星)	 我觉得 有点毁了陈柏霖            
(4星)	 我的小学生和大萝卜。。。┭┮﹏┭┮            
(3星)	 陈柏霖~~            
(NA)	 看了一集 也就差不多了。            
(3星)	 一颗给胡歌，一颗给陈柏霖，再一颗给陈意涵。。。。。。。。            
(3星)	 細節，劇情，構想都做得不錯的。喜歡那個太空椅哇~            
(3星)	 咳咳。如果不是因为大仁哥的话，可能第二集的时候就会放弃了。            
(2星)	 挺不现实的。最后几集像恶搞。            
(3星)	None
(4星)	 很有爱，很喜欢那个通到露天阳台的房子            
(4星)	 三猪脚各一星画面一星。            
(4星)	 闲来无事看看~陈意涵跟陈柏霖好了呗TAT。。第四星给他们+胡歌吧~            
(3星)	 不太实际呀，大家的圈子都在一起，怎么可能呢。。胡歌在里面的角色我不太喜欢，女主角我不是特别喜欢，太假了点，怎么可能这么顺利呀~~唉。。            
(5星)	 剧情真是各种亮瞎啊，各种bug各种傻逼。。。2星。。然后老大加一心，大发加一心，张士豪再加一心。。。            
(3星)	 冲着胡歌去的~~            
(5星)	 看在有胡歌陈意涵陈柏霖并且有老同学在里面演的份上，给个5星吧。            
(3星)	 很喜欢陈大发            
(3星)	 无法确定他是不是会爱上你就先付出，是最勇敢的爱情！不管他爱不爱你都决定要爱他，是最宽容的爱情！梦想只有翅膀没有脚，不能停下来！陈遗憾是真的好可爱啊，可是，虽然我也22岁，可是，小女孩要长大了！            
(3星)	 该在一起的没在一起。            
(NA)	 我的梦想又是什么呢            
(3星)	 陈意涵演的像个智障。            
(5星)	 幾勵志的一部劇..4粒星，多一顆給陳柏霖...演得很不錯..陳意涵幾可愛，其實我很想好像溫雪那樣有自信去追求想要的東西...不過這劇的情感編排不好.....看不出胡喜歡紅果...比較喜歡當中的歌--活得漂亮，聽後很開心，很有正面的感覺            
(3星)	 還好，陳柏霖比較有看頭，其實配角們都演得不錯            
(5星)	 花了三天时间看三十集，结局皆大欢喜。            
(4星)	 我可以说我是陈意涵的NC粉么～            
(4星)	 印象中这是第一部自己很感兴趣于是看完的偶像剧吧  对于陈柏霖和陈意涵木有抵抗力啊            
(1星)	 打五颗星的都是胡歌脑残粉吧= =奶奶的，我竟然不讨厌他~            
(4星)	 比較喜歡男二女二那對，對於後面凌桀對紅果180大轉彎不是很理解。。。            
(4星)	 喜欢陈意涵和陈柏霖！！！            
(3星)	 对于陈大发和李大仁木有在一起.,,仍然耿耿于怀...            
(3星)	 不放弃。。。为了成就心中的爱            
(4星)	  因为陈意涵嘛             
(1星)	 難看得只爲了看胡歌和陳柏霖而對劇情完全不抱期待的我都看不下去。。。            
(4星)	 减掉一颗星给拖快进累得要死的右手，四颗星全给陈柏霖的酒窝，不要拦我！！！！            
(3星)	 为了陈柏霖跟胡歌            
(2星)	 陈柏霖叫我提不起劲            
(4星)	 蔷薇~~            
(4星)	 胡歌+陈柏霖+陈意涵，这个阵容太欢喜了！《奋斗》+《爱情公寓》吧？青春梦想友谊爱情，总是看不厌，尽管有点儿乱~~            
(2星)	 因陈柏霖而看。。。剧情真牛B。四角恋啊。。A喜欢B，B喜欢C，C喜欢D，D喜欢A。。。拜金女，2B女，男人婆，职场女。。。二个同父异母的兄弟喜欢同一女人。老情人，私生子。。。陈意涵在这里演的这么做作，红果有这么2吗？要是没有陈柏霖。早看不下去了。。。里面穿帮镜头众多。            
(3星)	 2星为红果和陈柏霖            
(NA)	 除了太假其他都很好。。。。PS：才发现胡歌还蛮搞笑的            
(3星)	 剧情什么的浮云了，看陈意涵耍白痴装天真我竟然不反感，不过胡歌真的跟她好不搭，身高太悬殊了~陈柏霖好帅！难得一部戏三个主角都是喜欢的演员哦~            
(3星)	 就是冲着陈大发去的            
(4星)	 跟着大影看过几集，有陈柏霖陈意涵就有继续看的理由            
(4星)	 可爱的大发！看演员给星星哈哈哈。。            
(3星)	 还算个故事，也没有特别狗血，喜欢大发和陈柏霖，胡歌整容之后，再看那张脸总是有点不自然。            
(5星)	 还可以。            
(4星)	 星星给勇敢可爱的女生，空白给优柔没意思的男生。            
(4星)	 虽然半拖着看完的，可是胡歌你要不要这么帅= =            
(5星)	 哎我觉得很好看啊。。大发大发！            
(NA)	 纯粹奔着人看了6集电视剧，24集度娘分集剧情            
(2星)	 怎么能把故事说的这么没意思，虽然这故事本来也没什么意思            
(3星)	 断断续续看的，么看完全。。。也不准备不全了。。。            
(3星)	 这部片子到底讲的是三角恋还是四角恋还是菜鸟窝啊！摔！            
(4星)	 初看觉得人物情节都太俗套，后来还是冲着演员看完的。陈意涵很可爱也很可塑，胡歌呆了点，陈柏霖倒是蛮自然潇洒的，女二号该换人。总体来说是养眼的剧，不深究。            
(3星)	 说实话剧情没有太大的起伏，追胡歌才看的            
(4星)	 小学生与大萝卜，俏皮可爱~喜欢大发和陈柏霖。            
(3星)	 陈意涵的表演过火了~显造作            
(3星)	 三颗星全给陈柏霖 求你别再接烂片了            
(4星)	 胡歌，陈柏霖，我还说什么呢，直接四星则            
(5星)	 她就在你身边，却想着别人，这是最遥远的爱情；明知道他不爱你，你还是爱他，这是最孤独的爱情；有人爱你，你却不爱她，这是最沉重的爱情；有人爱你，你却不敢爱他，这是最压抑的爱情；无法确定他会不会爱上你，就先付出，是最勇敢的爱情。            
(3星)	 还行，就是看胡歌和陈意涵！            
(4星)	 我爱大发！ 虽然各种拖沓可预料  不过胡歌最后的造型真心帅气！！            
(3星)	 陈意涵好漂亮，就是演的圣母了            
(4星)	 从观音山开始，陈柏霖让我觉得很有味道            
(3星)	 这三星完全是因为我喜欢陈大发同学嘛...            
(3星)	 因为陈柏霖才看的....            
(4星)	 陈意涵适合演这个角色，可是把胡歌大陆实力派放在一群台湾偶像剧演员里有些不搭调，显得有些傻了。我是冲着胡歌来看的啊。            
(2星)	 难看！            
(4星)	 演员阵容挺强大的．．．            
(2星)	 剧情极其混乱，一星给胡歌，一星给陈柏霖。。。            
(2星)	 特别烦类似夏红果这样的人。            
(3星)	None
(3星)	 为了看陈柏霖而来，好吧，还是一如既往的傻乎乎和帅！！陈意涵这傻妹也好可爱，但为何要配胡歌呢！！！胡先生真是一点演技都没有，怎么当上男一的！！！            
(4星)	 蛮励志的，主角各种养眼            
(NA)	 中国偶像剧老龄化！！！            
(5星)	 小学生和大萝卜最有爱了             
(3星)	 夏红果 太做作了，剧情缺乏点些东西             
(4星)	 青春时尚励志剧            
(4星)	 因为喜欢陈大发~买了DVD在家里看~然后入颠~            
(4星)	 陈柏霖啊陈意涵啊。还行。             
(4星)	 陈意涵30了 剧中超嗲超可爱超过了我能承受的可爱。。==眼睛太大也未见得是好事啊             
(NA)	 阵容挺喜欢的```角色也都挺鲜活~~就是国产剧通病：经不起推敲，槽点太多太多```            
(4星)	 主角多了一点。。            
(5星)	 好吧我就是個腦殘= =只要是搞笑的我都覺得很好看= =  我愛大發！~            
(NA)	 我喜欢红果。            
(2星)	 只给编剧5块钱一集吧。。。            
(NA)	 只喜欢80~            
(5星)	 感觉不错。。。一部不做作的青春偶像剧            
(4星)	 看到一半看不下去了。。还是喜欢小灵仙儿~            
(4星)	 看起偶像剧了说。。。悟空，快收了红果！！！            
(3星)	 就只爱大萝卜和小学生 谢和温真是天造一双地造一对 败笔！            
(3星)	 为了陈意涵而看，但是越看越觉得这个角色定位不太喜欢。            
(3星)	 真的只是为“梦想”这个词感动。但是这部剧压根儿就是一人得道鸡犬升天的故事，没有胡歌这么个富二代，菜鸟窝还混个P            
(2星)	 各种假 弱爆了~            
(3星)	 这个搭配很讨喜~~ 哈哈   我居然一度沉迷            
(1星)	 那一颗星为了陈柏霖，简直烂透了的电视剧...            
(3星)	 梦想 还满感人的            
(4星)	 剧情很白痴，演员很养眼~~            
(3星)	 一星为主题，两星为大发+胡歌+陈柏霖+姜超~╮(╯▽╰)╭冲着主角而去~            
(4星)	 没有合适的标签            
(NA)	 真是极度受不了那个莎莎的腔调，温雪其实是个很自私的人，华仔开始只会一味讨好莎莎，沈蔷是酱油，谢非凡懦弱迂腐保守SB，看来看去就红果和凌桀比较真性情，而且感情线居然是在最后2集才完全明了的。。。难得看一部大陆剧啊，能不能不要这样！！！！！！！！            
(4星)	 本来冲着胡歌去得，结果喜欢上了大萝卜，真心疼，可惜小学生不懂大萝卜的好，为什么小学生不喜欢大萝卜~~~~(&gt;_&lt;)~~~~             
(3星)	 死了 编剧你是白痴吗白痴吗白痴吗 这么扯淡的剧本 逻辑性出问题就算了 还超级幼稚 看在陈意涵和陈柏霖还有胡歌的份上。。。一人一星。。。            
(2星)	 悲剧啊，我看了第一集跟最后一集就饱了。中间完全可以省略的电视剧…………各种帅哥啊，sorry,sorry你们让我失望了，            
(4星)	 还好还好，灰姑娘的故事么            
(NA)	 10分钟都看不下去！陈柏霖陈意涵，嗷，你们想肿么样！            
(4星)	 一天一夜搞定的有爱电视，我们四个人窝在一起爆笑连连，觉得很温馨。。。温暖的电视剧让人相信生活，向往爱情            
(3星)	 演员倒是全是演偶像剧的，但这剧情实在有点狗血，30集啊太长了。            
(4星)	 大发 和 柏霖一人占一颗            
(5星)	 很精致的一部偶像剧.画面音乐人物都喜欢.菜鸟窝是我梦想的生活状态,三五好友一起居住,展开各自丰富的生活.夏红果,沈蔷,我比较偏爱你们!!其实俺脚得大发配柏霖更好,哈哈            
(4星)	 夏红果 你真幸运！！爱笑 乐观 天真 善良的女孩 运气总是那么好！~            
(NA)	 顺着可能不会爱你，来看陈柏霖的剧，大发也是喜欢的，胡歌也是待见的，但是看了一集，百度了一下剧情，发现够假，小配角够造作，演员的妆隔着屏幕都觉得粉簌簌往下掉~有空快进看才对得起自己的时间            
(4星)	 我要大发和柏霖在一起！            
(4星)	 挺励志的，happy ending。。。            
(3星)	 求求你们了，在一起吧            
(4星)	 里面的衣服真漂亮，帅哥美女多，某首歌很好听，嘿嘿，但是很小白。            
(5星)	 喜欢女主角的颜            
(4星)	 除了那该死的配乐，每一集都反复放以外都不错...            
(3星)	 好希望凌杰跟夏红果在一起的 可是他们没有。。所以我只看到了二十八集。。。不想看结局了            
(3星)	 剧情一般，演员选得不好            
(5星)	 两天把它给结果了~演员我喜欢~剧情也不错~情感路线走得挺有意思~无雷人情节~让我感到新颖的是四角恋中的变化~2x2的交叉恋+跑圈恋~当然最后是不出预料的大团圆啦            
(3星)	
(4星)	 我喜欢陈意涵 漂亮 单纯的女孩~~            
(4星)	 这比奋斗好看            
(3星)	 还是偏爱柏霖些。            
(3星)	 马思纯长得还可以            
(2星)	 大萝卜应该和小朋友在一起~这是本剧唯一萌点。ps:大陆偶像剧通病广告植入的太严重了。            
(3星)	 好吧，我是为了陈意涵和胡歌看的，可是看到陈意涵的傻逼样我又不怎么喜欢了            
(5星)	 其实很喜欢，画面总是很干净。但是觉得结尾蛮让人难以接受的。            
(3星)	 就为了听 那首格尔 无猜哦            
(3星)	 演员给力            
(4星)	 还不错            
(NA)	 喜欢胡歌、没什么理由的。            
(4星)	 还是改成一群追梦的年亲人和4角恋            
(2星)	 因为在电视里瞥见柏霖兄去看，又因为惨不忍睹的红果妹子关掉网页，沈蔷这角色挺惊喜。。不过张大叔无论到哪，都是强势人物啊            
(4星)	 小清新            
(4星)	 太爱陈大发了~~~~            
(3星)	 30集的大杂烩我居然不知不觉看完了……只有一个信念撑我到最后：我爱你，陈柏霖！！！！！            
(3星)	 没有想象的好啊。。本来是去看夏红果这一对的。最后完全倒戈成沈蔷了= =不给力啊。。            
(4星)	 大萝卜成了炮灰，难过…            
(3星)	 完全是奔着 陈柏霖去的。。。得到爱，不仅仅是付出，需要不断地自我进步。专注成长。最后，才能收获最美好的爱情            
(5星)	 嘿嘿 我喜欢            
(4星)	 其实有点散              
(3星)	 不知道是不是看的枪版，剪辑一塌糊涂。。。只是单纯的去看陈大发同学的。。。你有被夏红果的简单、乐观、善良、坚持感动到吗？虽是菜鸟，只要努力拼搏，就会成功！            
(3星)	 只喜欢大萝卜和小学生，剧情什么的太弱了~~~            
(3星)	 除了陈柏霖那条线，其他可以忽略，尤其李媛演那段完全快进掉。            
(4星)	 爱情            
(3星)	 陈大发！！            
(5星)	 冲着这阵容，还是八错滴！            
