http://movie.douban.com/subject/2156698/	洗冤录
(5星)	 经典啊~~记得小的时候天天守在电视前追看啊~~欧阳震华太有感了~~            
(5星)	 经典            
(4星)	 当时看的时候不要太害怕啊！            
(3星)	 多好的题材啊，可惜编剧的功力太弱了，浪费了。可惜了。            
(4星)	 精彩！！！            
(4星)	 最喜欢看探案什么的。。            
(3星)	 又开始看老港剧。。。            
(4星)	 Bobby！            
(5星)	 忘了剧情..只知道最后胖子娶了两个...第二部又都死了...            
(4星)	 好早以前看的。。。            
(4星)	 片头曲蛮好听            
(5星)	 记得很好看            
(4星)	 宋慈的故事~最后还是有Boss的~那个时期的电视剧似乎都酱紫~            
(4星)	 这好像是我印象中比较早的非大团圆结局。。。            
(3星)	 重修的暑假啊。            
(4星)	 不错            
(4星)	 觉得第一部还是很好看的            
(3星)	 一般般 很多没逻辑。。。            
(3星)	 破案            
(4星)	 我要看结局！=20111127=            
(3星)	 很早看的啦，欧阳胖胖还是蛮有品质保证的            
(4星)	 感觉欧阳震华的片子都不错            
(3星)	 狗血狗血狗血啊……            
(NA)	 爱小生！爱胖嘟嘟！            
(4星)	 那个时候看起，还会怕吧            
(3星)	 快进看完的。            
(4星)	 条目亮点：“又名: 세원록”            
(NA)	 这个真的是超级好看的！可以看好几遍的。            
(4星)	 N多年前看过的，很喜欢欧阳震华             
(3星)	 侦探片岂可错过            
(3星)	 那时年少各种剧~~            
(3星)	 不喜欢里面的萱萱，闹听，但是胖胖真是金牌演员            
(4星)	 我胆子小，所以要有人陪着才敢看，又怕又想看，挺过瘾的            
(4星)	 不错~            
(5星)	 好体 正！！！剧情够吸引~~~~中意欧阳震华 宣萱 陈妙瑛佢哋三个啊~            
(NA)	 无聊打发时间所看，其实宋慈最后应该是喜欢聂枫多一点。志趣相投啊！            
(3星)	 原来曾几何时的记忆            
(4星)	 古代就是连三角恋都可以大团圆结局的好时代啊摔！            
(3星)	 滴骨法是不靠谱的有木有。            
(5星)	 绝对的经典啊            
(4星)	 还挺好看的。            
(4星)	 宋慈的故事告诉我们，人是必须要吃肉的。            
(5星)	 依稀还记得，逃掉最后一节自习课回家看此剧大结局的情景，还是特有的港剧式的搞笑，精妙的编排，古装版侦查片之最！            
(3星)	 好单纯、好幼稚的各种人~ 方俊其实是个好官 和真假无关 人嘛 都会想往高处爬 只是太贪婪 又被人逼得太紧 才变了。安德尊的十皇爷太可爱了！还是学了点东西吧 tvb的片子后面总是扯一堆肥皂感情            
(5星)	 为什么我喜欢的TVB剧都是以前的？是现在经典不在了？还是我小时候比较好悠忽？            
(4星)	 很喜欢欧胖子！            
(5星)	 已经没有印象了。。但，应该好看、            
(5星)	 这种悬疑我还挺喜欢的            
(NA)	 补            
(4星)	 到最后才是最精彩的部分，还以为宣宣真的在里面是个傻瓜样的角色，还好不是，只不过她在里面的角色变化也太大了些。比较喜欢里面的聂枫，尤其是她在里面与宋慈之间感情的发展，让人觉得很真实。。。            
(4星)	  欧阳震华 啊！            
(3星)	 看全了╮(╯▽╰)╭            
(5星)	 本来聂风和唐思都倾慕宋翊，可是宋翊为了官运亨通娶了富甲一方的蓝家的刁蛮女儿蓝彩蝶，结果蓝家家道中落，升官无望，唐思成了小郡主，聂风对宋慈有情有义，永远相信宋慈，帮助宋慈洗脱冤情。宋翊终食恶果。报应哇            
(4星)	 不错            
(4星)	 还记得有两个宋翊            
(3星)	 看到他俩偷偷进宫那茬。。。            
(NA)	 上学期刚刚又回味了一遍。。。那会儿剧荒。。。            
(3星)	 欧阳长得比较像大厨...试问一个整天对着尸体的仵作又怎么会那么好胃口吃东西然后整一个胖墩儿咖啡猫样呢？            
(4星)	 这几天在看，欢乐啊.            
(4星)	 林文龙啊，好喜欢啊。从小就被轰炸啊。坏人的定义要如何下，人不可能没犯错，或大或小，为什么一次就要摸盖掉所有闪光点。            
(3星)	 不错！            
(NA)	 滴血验亲！            
(4星)	 欧阳震华虽然人不好看，但是他演的片子都还是蛮好的说，(*^__^*) 嘻嘻……宋慈太赞了，法医界的典范- - 哈~~            
(4星)	 老片重看,             
(NA)	 破案我就爱~            
(4星)	 欧阳胖胖~            
(4星)	 有点小恐怖！            
(5星)	 又是我喜欢的主角们！            
(5星)	 印象中最深刻的Tvb剧！            
(5星)	 今天终于把洗冤录1看完了，很好看啊，哈哈，喜欢.... ....2011-8-8            
(4星)	 小生啊小生~~            
(1星)	 纯属扯淡！看看第二部怎么续扯。            
(4星)	 不喜欢唐思，聂枫多好，坦坦荡荡，有情有义            
(4星)	 记得林文龙是坏人 我最爱的欧阳震华            
(NA)	 好喜欢  不管第几部都好喜欢            
(5星)	 真的好看            
(4星)	 很不错，我喜欢            
(5星)	 好看惨了！！！！！！！！！            
(4星)	 聂捕头是萌点啊~            
(4星)	 主题曲蛮好听的。讨厌唐思，宋父母还有小灿妻，编剧写的那么极品。            
(NA)	 一想到《施公奇案》，就觉得这片变的好好看。            
(4星)	 喜欢欧阳震华，喜欢探案......            
(5星)	 很不错，轻松幽默，欧阳胖胖和宣萱很有默契啊～～            
(3星)	 欧阳震华            
(3星)	 其实还可以。            
(5星)	 上小学的时候为了看这部十点多才播的剧熬到晚上十二点。            
(5星)	 bobby~~~ 林文龙也很不错 话说我对宣萱一直没啥好感             
(5星)	 好看。。。            
(3星)	 好看。            
(4星)	 相比唐思，我更喜欢聂枫：）            
(5星)	 欧阳震华真是让人看不厌啊            
(4星)	 喜欢宋慈说洗怨录集的时候的配乐，气势啊气势！            
(NA)	 为神马长大了以后看感！触！颇！多！            
(3星)	 真的真的有点傻……但那时候很喜欢欧阳震华所有忍了……但是，一直没看结局……也不觉得难受的……            
(4星)	 很喜欢，超爱破案类得，不过很无语的是没换一部上一部的女主角就得死，哎，没办法~            
(3星)	 还是Eason唱的歌诶！            
(5星)	 洗冤录前两部都是经典呐            
(4星)	 bobby是保证 破案剧也很爱            
(4星)	 记得以前看过一点，当时吓死了呃！！  情节还是蛮纠结的..            
(4星)	 不太记得了            
(3星)	 凑合吧凑合吧            
(5星)	 不要看清小胖子哟 每个小胖子都会翻身的            
(NA)	 小学的时候一放学就发疯一样的往家跑就为了看宋慈好咩            
(NA)	 好看。            
(3星)	 造型太２了……            
(NA)	 港剧的老演员实力非凡。            
(NA)	 死胖子还是可爱            
(4星)	 到底是经典呀，真是好精彩的。指纹啥的，那时都已经有了。胖胖的欧阳震华不显年龄，一直都没有老。宣萱的演技已初显功力！            
(4星)	 还不错            
(5星)	 古代破案片 好看            
(4星)	 那时候还害怕的不敢看。。            
(3星)	 本来对宣萱没偏见，可是为虾米她的角色都无一例外的讨人厌？            
(3星)	 唐诗宋词、、哈哈            
(5星)	 有点怕。。。            
(5星)	 喜欢宣萱            
(4星)	 欧阳震华 ，帅气。            
(4星)	 很好看，也很耐看。那个时候的港剧总是很精致！            
(4星)	 先看的最后几集。。。直接被剧透。。。然后看前面就怎么看怎么觉得林文龙是个坏蛋。。。真是悲剧，也从此深深尝到被剧透的痛苦。。。            
(4星)	 虽然结局是两女共伺一夫皆大欢喜，但其实宋慈跟唐思才是真命一对吧。            
(4星)	 好看又好笑~            
(4星)	 TVB黄金时代的好剧。            
(5星)	 这个好经典            
(4星)	 欧阳震华判案很经典，哈哈            
(5星)	 好看啊            
(4星)	 去年重看了一遍            
(4星)	 同上            
(5星)	 比起跟风csi的那些，洗冤录实在是太棒了            
(4星)	 好看好看！            
(4星)	 话说这个寒假又掏出来看了一遍            
(4星)	 喜欢欧阳震华  好像是看他的电视剧一点一点长大的            
(3星)	 道具太粗糙了~            
(4星)	 我怎么这么喜欢你 Bobby            
(4星)	 古装破案片            
(3星)	 绝对是欧阳震华的剧里排名靠后的            
(5星)	 啊啊啊，最控这种类型            
(4星)	 棺材子真是神通广大。Bobby的剧必看。话说刘江真是变脸大王，无所不能，没见过他不能承担的角色。            
(4星)	 古装刑侦剧的经典！            
(4星)	 哎呀～还是觉得几好睇呐～            
(NA)	 真闹啊            
(4星)	 还可以吧，至少看完了            
(5星)	 好            
(5星)	 就觉得宋慈从头倒霉到尾 同时又有些花心。。但是宋大人太让人惊诧了，明明可以做一个好官。。悲催 啊            
(4星)	 我爱~            
(4星)	 同当时蛮爱看……            
(5星)	 古装 验尸破案 感情 主角们的剧情发展串起一个个案件演技一流 案情精彩 感情戏够味            
(4星)	 这部最有意思~            
(3星)	 有点假 不过是1999年的 觉得也还算不错啦            
(5星)	 第二部两个女人都死了 还是第一部好看            
(3星)	 看过么？看过吧……            
(4星)	 欧阳震华的经典作            
(4星)	 啊哈哈哈```好喜欢...就是吃饭的时候看有点恶心```            
(3星)	 看了好多年了 當時覺得不錯的。            
(5星)	 破案的好啊            
(4星)	 当年不敢一个人看            
(NA)	 爱啊  喜欢            
(5星)	 真好看呀真好看            
(5星)	 欧阳震华这部剧后名声大振！            
(4星)	 欧阳震华好~            
(4星)	 不错            
(4星)	 欧阳震华的戏，怎会不精彩？！            
(4星)	 还不错 打发时间看看            
(NA)	 为什么小时候的这些片子那么好看呢~            
(4星)	 好看            
(4星)	 案子都挺简单。。            
(3星)	 很久以前看的 几乎忘光了。。            
(5星)	 好好看            
(3星)	 一夫两妻的大团圆结局            
(4星)	 有一段时间搜索所有欧阳震华主演的电视剧，剧情不错，就是服装和场景有些陈旧！            
(4星)	 欧阳震华可真是挺傻呀 哈哈 and不喜欢续集            
(5星)	 我真喜欢这个可爱的男人~            
(4星)	 好人变坏人真是纠结            
(5星)	 欧阳震华总是很给力。            
(5星)	 赞个。当年多迷恋啊。@Home            
(4星)	 小时候觉得很好看啊，心目中经典的悬疑电视剧~            
(3星)	 案子有点弱智啊。。。然后，不喜欢林妙英            
(4星)	 古装刑侦，爱欧阳震华            
(3星)	 还是他            
(4星)	 教你如何从死尸身上找出真相            
(5星)	 我爱看这个。。            
(3星)	 看。            
(3星)	 晚上看会有点小害怕！            
(3星)	 我一直在想滴骨认亲是不是真的。            
(5星)	 我爱的他们            
(4星)	 欧阳震华~            
(3星)	 看到晚上吓了困伐则..撒水平..            
(4星)	 不错不错            
(5星)	 就是爱宣萱            
(5星)	 不错！~剧情紧凑！~            
(NA)	 TVB本质。。。            
(5星)	 剧情好~~~演员好~~~总之就是好！！！            
(4星)	 記得當年看這部片子的時候剛看完《大宋提刑官》。看著油肚挺著的“宋慈”感覺真搞笑。            
(4星)	 小时候，我是以怎样纯粹的心态看欧阳加菲的片子的？            
(4星)	 百看不厌            
(NA)	 欧阳胖胖～喜欢～            
(5星)	 有欧阳震华的剧集，永远不用担心不好看。            
(3星)	 宣萱的扮相要不要那么丑！后面几集好看些~欧阳震华的英文名应该叫peanut            
(4星)	 其实还不错 哈哈            
(5星)	 很喜欢欧阳震华的电视            
(5星)	 怎么都觉得欧阳震华和宣萱很配            
(5星)	 超喜欢欧阳震华            
(4星)	 比较典型的港剧            
(4星)	 喜欢欧阳震华。。喜欢林文龙。。            
(4星)	 欧阳震华+林文龙 无敌~            
(4星)	 就结局有点差            
(5星)	 林文龙林文龙            
(3星)	 案子不咋地，还是靠加菲在撑场            
(4星)	 剧情还不错，就是有点拖。演员丑了点，但是还是有的看            
(4星)	 又重温了一遍~~喜欢欧阳            
(4星)	 小时候觉得宣萱那叫一个漂亮！！！！            
(3星)	 古代推理中较优秀的作品            
(4星)	 经典国语配音员声音精致，虽然小县城里命案不断，tvb的古装剧看起来依然很宁静祥和            
(4星)	 后期漏斗百出，不过前期的好不用说了。            
(4星)	 某人不知道为什么演技这么好 对的 就是欧阳震华  虽然长得不怎么 但是演的不错   破案剧是一大爱            
(4星)	 现在tvb演员越来越多，有时真的觉得还是老一辈的作品更好看            
(4星)	 推理启蒙。            
(5星)	 经典！！！            
(3星)	 本来想通过这类破案的片子训练一下智商，但效果完全没达到！案情弱智了点。            
(3星)	 林文龍表現亮眼，陈妙瑛最漂亮的角色，查查太好笑啦            
(NA)	 虽然有点不同，但破案的还是喜欢了            
(NA)	 哈哈，宋慈~            
(4星)	 喜欢看查案的。好一个仵作！            
(5星)	 好剧，TVB经典作之一~~~            
(3星)	 还可以。            
(3星)	 不过不失。            
(3星)	 案件不喜欢。            
(4星)	 唔知点解，其实陈妙瑛唔算靓，但我就真系几锺意她。大陆亦有拍宋慈噶戏，而且好严谨，不过我就觉得TVB咁诙谐都几好啊（喂）            
(4星)	 欧阳大叔还是有自己的代表作的嘛，这个就是之一啦。。。            
(NA)	 这就不多说了，总之好看！            
(NA)	 法证先锋的古装版。。或者是法证先锋的祖宗嘛            
(3星)	 欧阳震华，哈。            
(4星)	 宋慈，哈哈            
(5星)	 太赞了！当年真是很喜欢这部电视剧。够惊悚！            
(4星)	 为神马最后一男二女？？？？为神马？？？            
(3星)	 港味十足。            
(5星)	 tvb的基本看的七七八八了，欧阳震华，很喜欢的说~            
(3星)	 有那么点墨迹            
(5星)	 又名：怎么是棒子文            
(4星)	 以前狗胆看，现在越活越胆小了···不过说不定就是以前看太多这种剧导致现在胆子那么了，诶            
(4星)	 典型港剧模型 套路            
(4星)	 一向喜欢看这类悬疑又有点搞笑的片子。。喜欢欧阳震华            
(5星)	 经典，还是经典            
(4星)	 我觉得很棒~很早很早以前看的            
(4星)	 欧阳震华的片子都还不错            
(5星)	 棺材子~            
(4星)	 这死胖子真是让人喜欢。            
(4星)	 双双强档            
(4星)	 小时候反复看的片子。力挺欧阳震华大叔~            
(3星)	 小时候电视天天 放            
(5星)	 以前还觉得蛮吓人的~~很值得怀念            
(3星)	 林文龙你怎么就奸了呢。。。            
(4星)	 因为这部片子开始搜集欧阳震华的片子看。            
(4星)	 喜欢萱萱            
(3星)	 不知道这部电视剧和《大宋提刑官》有什么关系，这部我是在食堂吃饭的时候断断续续看的            
(4星)	 破案的俺都喜欢            
(4星)	 破案故事很精彩            
(4星)	 如果我小学或中学时看，一定会觉得很好看。            
(NA)	 我的青春就靠tvb了            
(NA)	 相当喜欢的一部。            
(4星)	 原来古时就有法医            
(4星)	 欧阳震华的剧都很好~            
(4星)	 挺好看的            
(NA)	 以前总是分不清林文龙和陈锦鸿            
(4星)	 洗冤录给欧阳震华带来了意外的&#34;我最喜欢男主角奖&#34; 也把宣萱的演技提到了另一个高度 经典            
(4星)	 当初很爱的            
(3星)	 节奏慢啊            
(4星)	 以前的片子虽然不精致可是好好玩哦~~为了最后一个案子多给一星。打发时间也不错~后面真的好讨厌唐思哦。。聂枫好。            
(5星)	 都不错嘅            
(4星)	 租碟看的            
(4星)	 一个大错铸成，往往要用更多的大错来掩盖！            
(4星)	 宋慈最帅。。。里面的女主角居然叫唐诗- -            
(4星)	 棺材仔。            
(5星)	 胖子的经典            
(5星)	 经典            
(5星)	 饶是我这么胆小的人，也被吸引看了下去，好看的不得了            
(4星)	 很实用的法医学电视剧作。            
(NA)	 欧阳震华和宣萱太有戏了，可惜宋慈的境遇太悲惨了            
(5星)	 喜欢这种个有点推理，有点悬疑的片子。而且，比较钟情于TVB。            
(4星)	 童年晚睡刷的电视剧之一            
(5星)	 胖子。            
(4星)	 那时候最喜欢欧胖子            
(3星)	 宋慈乃一代神人啊。。。            
(4星)	 一贯的欧阳胖胖风格            
(4星)	 好看            
(4星)	 纯粹题材。            
(NA)	 同是讲宋慈，与大宋提刑官的风格迥异，大陆与港台的差异还是很明显的。            
(4星)	     必败。            
(3星)	 看了几集，弃了。欧阳震华又是大智若愚，TVB真偏爱他。            
(3星)	 双飞了            
(4星)	 如果闪电可以让我变成异能的话~来劈我吧~            
(4星)	 对于破案的电视剧来说 还是比较蒙的            
(3星)	 快進的看完，其實不是我喜歡的TVB古裝劇類型。加上不大喜歡宣萱。            
(5星)	 哈哈哈，经典哦！            
(5星)	 很赞。            
(5星)	 一直都感觉TVB片中的推理很精彩            
(4星)	 不错的~！            
(4星)	 不错的~            
(5星)	 哎呀，至钟意宋慈在狱中娶唐思那段啦~~            
(5星)	 Bobby几得意啊~~~            
(4星)	 比较喜欢。即使有些不喜欢。TVB还是伴着我长大的。            
(3星)	 直接告诉观众凶手是谁了，就提不起兴趣了。            
(4星)	 基本上还是很不错的，还是很喜欢林文龙啊，2位夫人还是喜欢聂枫多点~~            
(5星)	 好看！            
(3星)	 还行就是还行            
(5星)	 学到好多也            
(2星)	 第一部萱的片子我有点看不下去了~~TVB的魅力还是在于时装剧啊~~            
(3星)	 结局太SHIT了            
(4星)	 很好看。我爱加菲猫。            
(4星)	 其实我更喜欢第二部一些……            
(4星)	 还不错            
(4星)	 看看看            
(NA)	 我爱胖子，哈哈            
(4星)	 哎呀呀。初中时的最爱嘛。那时候电视里经常放。            
(4星)	 感觉不错~            
(4星)	 感觉1比2好看~ 宣萱和欧阳大叔都是我喜欢滴~            
(NA)	 不喜欢里面有几个人物~！            
(4星)	 我看林文龙有点不顺眼            
(4星)	 为了宣萱看            
(4星)	 TVB的精品破案系列之一吧~~~第一名应该是刑事侦缉档案！！！            
(5星)	 与大陆拍的大宋提刑官相比，TVB拍摄的宋慈更加平易近人一些，也许是欧阳正华饰演的原因。但单纯地从剧情上来讲，大陆版的更加精彩些。            
(5星)	 其实很经典，案件很有水准            
(5星)	 古装版鉴证实录，相当好看            
(4星)	 陈妙瑛居然不错            
(5星)	 小时候看的非常害怕……            
(4星)	 有点悬疑诶            
(5星)	 得 一个人。            
(3星)	 天~~这种剧我还真看了不少            
(4星)	 重温完毕            
(NA)	 俩女人都是我的爱。要我我也选择不好。            
(5星)	 9            
(NA)	 看过的            
(5星)	 超爱欧阳震华            
(NA)	 欧阳震华的我都爱看            
(NA)	 好看，四个主角很是喜欢，不过第二部太让我失望，一开头两女主角就被弄死。林文龙大演反派非常到位~            
(5星)	 古装推理　赞！            
(2星)	 其实很无聊的一部剧            
(4星)	 就喜欢看这类的。虽然本片有点夸大宋慈的身世和史实。            
(2星)	 不是TVB的错，只是被大宋提刑官比下去了~~            
(5星)	 有bug也好，不符合史实也好，，就是看tvb的比央视的顺眼···            
(3星)	 唐诗宋慈。。。            
(4星)	 娶两个老婆....            
(4星)	 当时感觉还不错，不错的一部港剧            
(4星)	 胖胖~            
