http://movie.douban.com/subject/2310149/	刀马旦
(NA)	 从此很待见陈锦鸿，并且怎眼也待见不了谭耀文            
(4星)	 重新翻出《红颜知己》听，忽然怀念起小时候看的港剧《刀马旦》了，超爱里面的那段京剧唱腔，都想把它当铃声了~            
(4星)	 民国版乱世佳人，好美好的故事呀，虽然说是很肥皂。以前心目中的最英俊男主角呀……周慧敏真的好漂亮。            
(3星)	 如果没有青霞姐，毅然决然不看这电影...            
(4星)	 事到如今我还是喜欢菊笙            
(4星)	 周慧敏很漂亮~梁佩玲也挺喜欢~经典~            
(4星)	 很多年前看的，那时还没看过电影版。当时很喜欢。            
(4星)	 那首《红颜知己》还记忆犹新~            
(3星)	 年代戏啊。。。            
(4星)	 周慧敏好美丽            
(NA)	 我居然还记得，剧情都忘了，只记得很喜欢            
(5星)	 小时候看的，喜欢周慧敏。。            
(3星)	 小时候的回忆，又重温了一遍，虽然情节老套，但那时的人要比现在漂亮不知多少倍！梁佩玲很有味道，眼神透着狠劲！            
(4星)	 周慧敏 不多说～            
(5星)	 爲什麽我覺得以前的劇比較好看            
(4星)	 周慧敏的革命身份让我惊了  结尾还是出乎意料的            
(4星)	 一直在记忆里。            
(4星)	 还蛮喜欢陈锦鸿的~~            
(4星)	 质朴的当年~            
(3星)	 除了记得里面的周慧敏很PP，师姐很坏，故事是什么完全不记得了，=_=            
(4星)	 现在TVB还有哪怕只有周慧敏一半好看的花旦咩..那就不要怪人家挑刺了            
(5星)	 “天安门，紫禁城”我觉得那主题曲特好听            
(4星)	 小学趁着老妈不在的时候偷偷看的。。            
(4星)	 很为故事里面的人物纠结，尤其是周慧敏            
(4星)	 结局很杯具            
(4星)	 乱世也别有一番风味吧            
(5星)	 有机会要再重温一遍            
(4星)	 遗珠！            
(3星)	 ‘天安门~~紫禁城~~永乐大钟 千古~鸣’---周慧敏            
(1星)	 没法看!            
(5星)	 歌很好听            
(4星)	 ..........            
(3星)	 弱弱的说其实我是梁佩玲的粉            
(4星)	 中意陈锦鸿。            
(4星)	 记得当时看觉得还可以            
(3星)	 只记得周慧敏和梁佩玲了。。。看到标签才发现原来盖鸣晖也有演            
(4星)	 小时候看周慧敏，美若天仙这个词一点也不过分...            
(NA)	 周慧敏真美，以前看的            
(4星)	 很爱很爱            
(5星)	 女人的戏--坚韧童年的记忆很美好温习下 还是很喜欢这么多年了 自己的喜好还是没变过要庆幸还是反省呢            
(4星)	 周慧敏很美~~~            
(4星)	 很有时代感的一部剧            
(4星)	 和老妈一起看的~那个时候记得特喜欢周慧敏~多漂亮多气质啊~怎么会是麻辣鸡丝呢~那代号~            
(NA)	 最爱周慧敏~~~            
(4星)	  周慧敏 美            
(4星)	 周慧敏真的是漂亮            
(5星)	 主题曲很有意思的——《红颜知己》。更是周慧敏主演哦。            
(4星)	 看港剧最疯狂的时段            
(4星)	    我只能说，周慧敏，真的很美。            
