http://movie.douban.com/subject/1831581/	侠女闯天关
(3星)	 吴奇隆还不错~但总把这部和萧十一郎搞混~~            
(3星)	 印象里面吴奇隆的水若寒真的很有气度            
(1星)	 这就是垃圾···            
(3星)	 那时候赵薇超级火            
(4星)	 我当年真的很爱那个亦正亦邪的皇子啊......            
(3星)	 那时候还是我迷恋赵薇的年代……            
(5星)	 曾经 必看            
(3星)	 赵薇很可爱，其余对这部戏的记忆就是，怎么老是雾蒙蒙的啊            
(2星)	 没劲没劲            
(3星)	 大傻            
(3星)	 竟然是朱延平？            
(2星)	 小时候就觉得无聊            
(NA)	 还不错啦            
(1星)	 侠女……噗            
(4星)	 我喜欢            
(3星)	 我居然看过这个！看过这个！！！！！            
(2星)	 片尾曲《温柔》            
(4星)	 当时竟然觉得蛮好看的            
(5星)	 我觉得其实挺好看的额。。。            
(3星)	 那时候因为喜欢小燕子，所以也看了一下这剧。但是没看全，不是特别感兴趣。            
(NA)	 就記得趙薇扮丑來著~            
(3星)	 剧情很普通，甚至有点渣，但是青春逼人活力四射            
