http://movie.douban.com/subject/2373209/	摩登家庭
(4星)	 挺怀念的            
(4星)	 看着看着。我就对异国恋充满希冀。            
(4星)	 小时候很喜欢~雅各布妈咪的妈咪~~~            
(3星)	 嘿嘿 情窦初开的第一个男人诶            
(4星)	 “妈咪的妈咪……”雅各布真是可爱。            
(4星)	 跨国合作的片子，挺好看的。推荐推荐。            
(5星)	 小时候的记忆            
(NA)	 这是我很久以前就羡慕不已的生活,直到现在依然对这部戏的主题曲记忆犹新            
(5星)	 儿时经典啊            
(4星)	 雅各布~            
(4星)	 就记得那个小孩叫他姥姥“妈咪的妈咪”            
(3星)	 雅各布去哪儿了             
(5星)	 中国最好的家庭剧之一            
(4星)	 剧情比起现在的好太多            
(5星)	 雅各布雅各布            
(4星)	 泰兰欧尼！！！            
(3星)	 这个我还真看过              
(4星)	 是02年的吗？我怎么记得我是小学时候看的            
(NA)	 和妈妈一起看的电视剧。            
(5星)	 那年好喜欢好喜欢。。。尤其是云楚的故事。。。            
(5星)	 小时候跟爸妈一起看的，雅各布超Q的说            
(4星)	 當時真的好喜歡啊！特別喜歡爽朗的小妹子。哈哈。大概就是這個時候開始萌生要找外國好男人的念頭吧哈哈。            
(4星)	 童年回忆。            
(5星)	 看的时候觉得云楚好不幸福啊，整天愁眉苦脸的。不过她后来遇见的那个人（忘了什么名字了）不错哦，长得也不错。            
(3星)	 我的妈，我连这片都看过……            
(4星)	 很搞笑呀，怎么评分这么低            
(NA)	 原来看过这么多。            
(5星)	 小学的事了            
(NA)	 很喜欢的雅各布！哈哈哈哈哈哈哈哈哈哈哈哈哈            
(3星)	 矮油  我今天是怎么了嘛。。。雅各布小时候超可爱。现在不知道长残了没。            
(NA)	 影响最深的好像是大女儿蛮好看的            
(4星)	 跟妈妈一起看的都是满满的回忆啊            
(3星)	 ccav8。。。            
(3星)	 好像是某年过年的时候看的            
(5星)	 我多想回到小时候啊，没有电脑，没有很多烦心事，周末和妈妈一起看着温情的电视就很满足了            
(4星)	 也算小时候的回忆了            
(5星)	 我老喜欢啦阿拉拉拉拉拉阿拉！！！！爱死啦            
(5星)	 干妈的片子，支持一个            
(4星)	 童年的回忆            
(4星)	 哇哇哇  这个都能找到 年代真是相当久远捏～            
(5星)	 一直很爱。            
(4星)	 非常有爱&gt;&lt;            
(4星)	 年轻的时候追的火热的一部剧啊~~前几天换台突然看到了，剧情还是不错的~            
(4星)	 非常喜欢陈嘉庆，哈哈            
(4星)	 反正有段时间我挺迷这剧的            
(5星)	 太喜欢了！！！！！            
(4星)	 觉得韩国媳妇和雅各布好可爱~            
(4星)	 还是很经典的。            
(5星)	 超级喜欢啊~            
(4星)	 看过很多遍，雅各布！            
(5星)	 当时可喜欢了，可惜各种原因没看完。今天忽然想起。            
(NA)	 小学时候吧，挺好看的            
(4星)	 小的时候喜欢得不行。            
(3星)	 当时觉着这电视剧里的小女儿可时髦儿了            
(5星)	 很摩登的一家人啊。一直想找到继续看。跨越几个国家几个大洲。爱情没有国界亲情不分远近。            
(3星)	 小时候看的 我就记得雅各布了            
(5星)	 小时候看的            
(4星)	 家是最包容你的地方~至今还记得雅各布。            
(NA)	 这个老有爱了            
(4星)	 记忆中好像雅各布很可爱来着。。。。。            
(NA)	 大结局和春晚碰上了好像。。。            
(NA)	 CCTV 8 还有那个小雅各布~            
(NA)	 澳大利亚的小哥好像有            
(5星)	 那年的春晚和這片大結局裝上了，硬是要看這個呢            
(NA)	 老早看的。很喜剧！雅各布很可爱！            
(NA)	 小时候吃饭时必看的中央八            
(3星)	 喜欢那种父子关系  还有那首片头曲 鸽子飞得高又高~            
(5星)	 雅各布！！            
(4星)	 哈哈，这部剧也很好玩儿呢，妈咪的妈咪——雅各布总是这样称呼姥姥，还记得姥姥把雅各布的黄毛染成了一头黑发呢，貌似那会儿中国的外国人开始增多，和外国人组成家庭的也开始出现吧。...            
(4星)	 那个时候没电脑，全家每集必追的电视剧阿！            
(4星)	 当年CCAV8跟着看下来的感觉很好，是我的童年里重要的一笔。            
(5星)	 电视剧这份上不容易            
(4星)	 雅各布~~~~~~~            
(5星)	 初四的时候，和老妈一起看的，中央八套 电视剧频道……            
(5星)	 这个超爱看，雅各布。。            
(4星)	 小时候看得.            
(4星)	 很怀念            
(4星)	 雅各布很可爱            
(NA)	 小学时候的电视剧。。。那个时候好喜欢看的哦。。。            
(4星)	 雅格布            
(4星)	 CCTV 韩国美女印象深刻            
(5星)	 那个时候喜欢那个马来还是新加坡男            
(4星)	 小时候的回忆，现在又重温了...            
(5星)	 2002 中央八套 云楚 云天 云舒            
(3星)	 童年的回忆 最喜欢雅各布了那时候            
(4星)	 小时候看的了。好好玩的            
(4星)	 OST很棒！雅各布“妈咪的妈咪~”            
(5星)	 好看，特别喜欢~            
(4星)	 哦买嘎！！童年啊童年~~~~            
(5星)	None
(4星)	 雅各布……妈咪的妈咪……            
(5星)	 多年前的一部摩登剧啊。。。哈哈。欢乐无限。            
(5星)	 记得曾今很喜欢。。。            
(3星)	 从头到尾很仔细地看的，当时觉得这种跨国的婚姻还是蛮遥远的呢，现在想想还是很普遍的。对里面的那个韩国女人印象深刻，没想到她就是李泰兰。            
(4星)	 这部剧当年很红的，也很好看。            
(4星)	 小时候很喜欢，妈咪的妈咪            
(5星)	 小时候看的很喜欢~            
(NA)	 怀旧一下，演得有味。还是各种哭啊。小时候看不懂。女孩子重要的是多见世面，才不会囿于小地方小人物小感情            
(4星)	 恩恩 好看 妈妈的妈妈            
(4星)	 很美好很温暖            
(5星)	 小时候最喜欢的连续剧。妈咪的妈咪~~            
(5星)	 好喜欢云楚            
(NA)	 喜欢赵明明            
(NA)	 雅各布，雅各布。            
(5星)	 打开了通往世界的一扇窗            
(4星)	 好久远~            
(4星)	 我这是都看的什么  。。。            
(5星)	 当年追着CCTV8看得津津有味 让当时生活产生了巨大变动的我向往着走得更远            
(4星)	 现在再回过头来看~肯定过时了~但是当时给我的触动却是到现在还能记得~那时候刚刚小学毕业，家人管得紧，不给看太多电视~简直就是一部血泪地道战啊~哎~往事不堪回首~当年就很喜欢云舒的那一段~现如今快10年过去，我也要踏上那个陌生的国家了，不知道是不是也会有那么个人等在葡萄藤下呢？            
(NA)	 云楚……            
(5星)	  人生的记忆            
(4星)	 好看死了            
(4星)	 那个说中国话的意大利小孩儿            
(4星)	 挺好玩的            
(5星)	 不知为什么，我特喜欢啊！！我喜欢老二和他的韩国老婆~还有可爱的小雅各布！！童年的记忆啊！            
(NA)	 世界家庭的日常生活            
(3星)	 雅各布 哈哈            
(3星)	 年轻的李泰兰            
(4星)	 很喜欢这部剧啊。。。妈咪的妈咪。。            
(4星)	 很久以前在电视上看的，很好看~~~对前面描写云楚那个暴力时看不下去~~            
(5星)	 很喜欢，很美好的记忆，当初俺妈说要是我们以后长大也这样整她撑不起~            
(4星)	 高一那年寒假，我和你，在各自的家中，守着中央八，看这部电视剧             
(NA)	 剧情很好，关键是当年我们一家人一起守候着看的快乐。            
(4星)	 很喜欢~小时候看的，肖老太太很有个性~            
(4星)	 雅各布            
(5星)	 这部电视剧已经看了很多遍，最喜欢云楚和嘉庆在一起了。            
(4星)	 貌似以前很爱看 忘记了            
(5星)	 当年全家人每天追着CCTV8看的，雅各布超可爱的有木有？！！            
(4星)	 蛮好看的            
(NA)	 喜欢小儿子老帅哥了            
(5星)	 这部剧就真的只是回忆了。小时候暑假天天追着，而且那主题曲也特好听。            
(5星)	 很不错的内地电视剧            
(5星)	 搜modern family搜出来这个 记得是当初超喜欢的剧            
(NA)	 小时候和全家一起看的时候多幸福            
(4星)	 曾经看哭过，唉。            
(3星)	 还行，当时挺爱看。。。。            
(4星)	 曾经觉得很欢乐的一部剧~            
(2星)	 老外都是家庭变态狂？            
(5星)	 喜欢喜欢！雅各布！            
(4星)	 雅各布，记忆里的雅各布。            
(3星)	 雅各布。。            
(4星)	 小时候看滴。。            
(5星)	 小时候可爱看了，看上就停不下来            
(3星)	 当年还觉得不错的。。现在想想小时候真是幼齿啊。。            
(4星)	 各种搞笑~            
(5星)	 以前看着有点害怕啊。            
(5星)	 雅各布 妈咪的妈咪 还有韩国媳妇  很贤惠 个性最鲜明的还有那个让女儿去盘丝洞捉妖精的老太太            
(5星)	 当年看的，印象很深刻            
(4星)	 很有意思的家庭剧，演的也不错，貌似没人不喜欢可爱的雅各布把~            
(4星)	 雅各布，妈妈的妈妈，在当时感觉很时尚的一部电视剧，现在看看不知道会是什么感觉~~            
(5星)	 我也想有个这样的家庭~哈哈~最喜欢总叫：妈咪的妈咪  的雅各布~            
(NA)	 联合国似的家庭不是一般人承受的了的，可爱的雅各布            
(NA)	 一头卷毛的雅各布~            
(3星)	 喜欢小女儿那对~            
(4星)	 我记得里面的那个云舒 眼睛很大很好看 现在一看眼睛真是 太大了.....            
(3星)	 初中的记忆。            
(4星)	 只记得雅各布了            
(3星)	 正太萌。            
(4星)	 很好看有木有！！！            
(3星)	 childhood            
(NA)	 存着。都是小时候的记忆            
(4星)	 拜托，人家说外语的时候，就不要给人家配音普通话嘛，有字幕就行啦，别扭死了            
(4星)	 经典的记忆            
(4星)	 重温的感觉依旧是，真囍啊。            
(3星)	 意念想法很超前时尚的片子。。。            
(4星)	 雅各布            
(4星)	 很适合和家人一起看的片子。            
(4星)	 看看拍摄年份。就觉得时间真是过的超级快。现在再看。觉得陈家庆是个不折不扣的富二代。是现在万千少女追寻的目标啊            
(5星)	 还是电视台看的呢~            
(3星)	 最让我心动的是云楚后来找的那个男孩子，真的很令人心动啊            
(NA)	 雅各布            
(5星)	 看了很多遍 很温馨很感动的跨国恋 还有亲情~            
(5星)	 灰常有趣！！            
(4星)	 雅各布！！            
(4星)	 小时候超爱看呢！            
(4星)	 和妈妈看的一批电视剧之一！还是很羡慕的            
(5星)	 我的中央八套记忆。真的没想到姐姐原来是赵明明哈，3对姐弟的恋情都很好看。。真的很家庭。。也真的很摩登，还有小雅各布            
(3星)	 小时候觉得雅各布很可爱的哈            
(4星)	 儿时回忆啊~            
(4星)	 我稀罕雅各布这个小杂毛            
(4星)	 怎么就这么巧呢，都是外国人。            
(4星)	 突然想起它了，不知道为什么~            
(5星)	 这个是好老的片子啊~当时在电视上放的时候，我们全家人每天都等着看的，喜欢这一家人，尤其喜欢雅各布            
(4星)	 赵明明是我小时候的偶像啊~            
(4星)	 当年超爱看哎            
(5星)	 赵明明是 汉宫飞燕开始之后我觉得最美的女人了            
(3星)	 大家庭啊~~            
(4星)	 和老妈一起看央八的日子            
(5星)	 雅各布太可爱了。。            
(NA)	 ......            
(4星)	 小孩挺可爱的            
(4星)	 怀旧            
(4星)	 小时候老喜欢了            
(3星)	 喜欢澳大利亚的那对。            
(4星)	 韩国那对最催泪…            
(4星)	 小雅各布            
(4星)	 以前妈妈很喜欢里面的小混血·······            
(4星)	 小时候全家一起守着看。            
(5星)	 那时候央视八播的好火啊。雅各布。还有韩姬。李泰兰！！！            
(5星)	 阿嬷最喜欢的。。妈咪的妈咪~~            
(NA)	 今天突然想起这个小胖子了Jacob            
(5星)	 小时候看的，那时候好喜欢“小杂毛”雅各布，哈哈哈            
(5星)	 小时候看的，真是印象深刻            
(4星)	 我们认识了“雅各布”            
(3星)	 “好大”一个家庭~简直就是个“小联合国”哈！            
(5星)	 可爱的雅各布            
(5星)	 小时候很喜欢，觉得拍得相当成功            
(NA)	 最记得小雅葛布那句：你死定啦！顿时全家笑喷~            
(4星)	 看的李泰兰的第一部剧，觉得她真的很韩国很贤惠哦，剧中和她搭档的云天（刘岷），我也一直觉得很韩国，虽然是中国演员，很喜欢他俩！            
(5星)	 这个是我以前觉得最好看的大陆电视剧那            
(4星)	 很好玩兒            
(4星)	 还记得当年一家人坐在电视机前面            
(5星)	 我接受这样的家庭，我也要找个外国人~            
(4星)	 妈咪的妈咪            
(3星)	 这个韩国女演员后来还演了好多            
(4星)	 当年，一家人一起看的。妈咪的妈咪在我们家还是个口头语。            
(4星)	 喜欢！雅各布超可爱            
(4星)	 老早的电视剧了 怀念            
(3星)	 还是不错的一部剧的 各国的风景啊 让我着迷 哈哈            
(4星)	 还不错。原来是曾导的戏。。。            
(4星)	 记得当时认真的看了每一集            
(4星)	 很好看各个家庭            
(5星)	 好幸福的一大家子            
(5星)	 那时候也想嫁个外国人。            
(4星)	 以前每天守在电视机前必看的            
(3星)	 联合国            
(4星)	 好早好早看的~  好温馨浪漫~            
(3星)	 国际大家庭            
(NA)	 我妈很爱看 = =             
(4星)	 小时候十分喜爱            
(5星)	 那会最爱看的电视剧。很赞的一个摩登家庭            
(5星)	 挺有新意的，雅各布可爱死了！            
(4星)	 那时还小，cctv8的大结局好像和春晚时间冲突，于是就看了这个没有看春晚，于是以后也不怎么看春晚了            
(5星)	 哎呀~那个时候我好喜欢~            
(3星)	 电视剧的结尾是新年，当时正好是现实的新年，一家人在一起看另一家人团聚，很幸福            
(4星)	    很早的时候看的~~外国小孩儿雅各布。。哈哈~            
(3星)	 想念雅各布了哈哈哈            
(5星)	 想当年是很喜欢的喂哟~~            
(4星)	 最喜欢里面的云楚和她马来西亚老公。            
(3星)	 记得姥姥老管雅各布叫小杂毛            
(NA)	 当时觉得挺好看的。。。            
(4星)	 音乐赞            
(5星)	 2002 和妈妈一起看的。雅各布是小胖胖，云天云楚云舒            
(NA)	 雅各布。赵明明。            
(5星)	 哈哈！这个喜欢！            
(4星)	 可爱的贺岁电视剧            
(4星)	 和老妈一起看的  羡慕他们一家人  那时候看了特别想出国呢还  嘿嘿            
(5星)	 妈咪的妈咪            
(4星)	 怀念。            
(4星)	 雅各布            
(4星)	 我就是传说中的温情党。。            
(4星)	 还挺好玩儿            
(5星)	 小时候看过的最好看的电视剧之一            
(4星)	 那时候的大陆能拍出这样的电视剧实在是赞。最最喜欢那个韩国的小媳妇。            
(4星)	 曾经的喜欢。。            
(5星)	 超好看，因为里面有我的梦            
(5星)	 这么好的片子，居然没有评论？            
(4星)	 特别搞笑 追着看了两次~雅各布那孩子特别可爱！            
(4星)	 雅各布            
(4星)	 还是守着电视机看完的，那个时候全家看~里面那个居然是赵明明，omg，看的时候ms老爸还说她嘴是歪的，想想赵飞燕啊，认不出啊~儿媳妇是黄手帕里的那个，但是觉得好贤惠，各种异国恋，果然很摩登。里面可爱的小盆油叫雅各布，被我们惦记了好久。可爱的北京老太太~            
(3星)	 雅各布好可爱啊~！            
(5星)	 好剧 可爱的雅各布            
(4星)	 当年比较喜欢云舒那一段，还有可爱的雅各布            
(4星)	 诙谐与温馨并存            
(NA)	 那时好喜欢的            
(5星)	 雅各布实在太乖了。            
(5星)	 很久的一部电视剧了，看的时候我还在上小学吧！找回了一段记忆。            
(NA)	 雅各布可爱得不行！外婆的心头宝            
(4星)	 那时看得可欢乐了            
(NA)	 记忆中最好看的国剧，雅各布~妈咪的妈咪~            
(NA)	 喜欢李太岚            
(5星)	 执拗但善良的肖老太贯穿始终，呈现一个跨国家庭的喜怒哀乐。            
(4星)	 我怎么会忽然想到这部偶尔在午夜档出现的旧剧。            
(4星)	 雅各布~~~！妈咪的妈咪             
(4星)	 小时候陪外婆一起看雅各布~童年回忆。            
(5星)	 雅各布太可爱。            
(4星)	 妈咪的妈咪 哈哈~            
(4星)	 是的，当时我哈韩，所以同学问的是，除了韩国那个，你觉得哪个长得好看。今年看了点《南下》，觉得那男的眼熟，才想起来是这里面的老二。            
(4星)	 雅格布~~            
(4星)	 这部片子的情节现在还历历在目，就是这部片子以后才知道原来韩国媳妇如此贤惠。            
(5星)	 “妈咪的妈咪”就是姥姥，还有意大利男人都不是好东西。            
(5星)	 那时候很喜欢看，觉得嘉庆很帅，唉，非常之着迷。当时的感觉马来人就是他那个感觉的            
(5星)	 开头是田震的歌吧 很好看的片子            
(4星)	 嗨，雅各布。，当时多火的一外国小孩儿，也真的很可爱。            
(3星)	 那年大年夜上演的大结局。            
(4星)	 好喜欢雅各布啊            
(4星)	 很久以前的片了，以前很喜欢看~~~老太太和老头很幸福，全世界走，喜欢小妹和那个澳大利亚小伙~~            
(4星)	 雅各布回去念书了，再也不拍片了            
(5星)	 对这个电视印象特别深，不太记得看得时候自己是个什么年龄，应该是小学，总之不大，但是对我潜意识的影响是深远的。可能留学这样的想法最初也起源于此。            
(5星)	 很久之前就看过，一直很怀念这部片，特别喜欢里面的雅各布~~一家人和谐就是好。            
(NA)	 里面的肖云楚的性格设计的真是无耻。这部电视剧只反应了中国人的劣根。太劣根了，都无话可说了。            
(4星)	 雅各布最出彩            
(NA)	 赵明明            
(NA)	 还记得跟菲菲一起讨论过云楚和嘉庆^_^            
(4星)	 雅各布            
(3星)	 妈妈的妈妈。。。            
(4星)	 爱情就这样满世界飞着 雅各布实在太可爱了            
(NA)	 国际化的家庭很in            
(4星)	 很好看            
(NA)	 雅各布            
(NA)	 以前看过的，这个家庭真的很令人羡慕，好温暖！            
(NA)	 让我认识了阿德的葡萄园。。。            
(4星)	 不知道为什么，特别喜欢看到陈嘉庆这一对            
(4星)	 初中看的，很喜欢啊！            
(5星)	 跨国电视剧，一个家庭里几个儿女的事事儿。。。            
(4星)	 小杂毛雅各布~~            
