http://movie.douban.com/subject/3042394/	蜀山奇侠之仙侣奇缘
(3星)	 血魔手! 还我冰雪魂~!最后一起跌入谷底的镜头真是壮观            
(5星)	 从此痴迷证伊健 现在再看 发现喜欢曾航生了 可见我也老了            
(5星)	 男猪女猪当时都超爱~~~~            
(NA)	 原来血魔是郑伊健啊哈哈            
(4星)	 小时候看的咯~血魔~            
(5星)	 喜欢喜欢。好像从这儿开始认识陈松伶和郑伊健的            
(NA)	 很久很久以前            
(5星)	 很好看            
(4星)	 小学四年纪的时候  中午一放学  就拼命跑回去看  一帮同学还学里面的人飞啊 打啊 cosplay            
(NA)	 奥 小时候看的血魔是这个            
(4星)	 很嫩的郑伊健..            
(NA)	 主题曲很好听，很喜欢那时候的松松。情侣必须死是蜀山奇侠的传统吗？            
(4星)	 童年回忆啊~            
(5星)	 推荐只是因为很久很久以前看过，很久很久以前便开始喜欢它。每次听到剧中凄凄烟雨的调儿，就想哭……真丢人。            
(5星)	 不记得了。。就记得有个可以看到前世的转盘            
(5星)	 当年不能光明正大看电视，简直牵肠挂肚。而今听插曲仍然泪涌双眼            
(4星)	 小时候看这片，叫血魔吓得睡不着觉            
(5星)	 郑伊健的血魔印象深刻，以至于后来玩DOTA都爱血魔。不过印象最深刻的其实是一个鼻子扁扁，常穿淡绿色衣服，很清纯的女配角......年代太久，实在是忘了叫什么，刚google了半天也没找到。            
(5星)	 眼花缭乱。喔入魔，喔又虐又爱的正派弟子。石生在还是血魔的时候跟英男说，不管我变成什么样，我对你的感情不会变。销魂呐！！            
(NA)	 好像是幼儿园也不晓得小学时候看的，印象比较深，不过当时更喜欢《日月神剑》            
(5星)	 其实就是美女多……            
(4星)	 石生。。。。我小时候印象最深刻之一的电视剧，但却忘了电视剧名。大结局让我哭的很久，隐约记得女主抱着男主跳崖，然后轮回到下一世，两人互不相识。女主还变孔雀，男主还变血魔。。。难道我记住了这么多tag            
(NA)	 结尾啊 ..........            
(5星)	 小时候觉得真好看啊！            
(4星)	 小时候~~童年的第一部港剧啊~            
(4星)	 [小时候印象巨深 在一个就是日月神侠]            
(NA)	 看这个电视剧的时候也太小了吧，只觉得恐怖。            
(4星)	 虽然废话很多，但还是很好看啊            
(5星)	 当时觉得郑伊健都快帅翻了！            
(5星)	 帅呆啦！！！！！！！！！！！！！            
(5星)	 怀旧！但是多少年来一直不知道是郑伊健演的OTZ            
(5星)	 太J8怀念的连续剧了！！！！            
(NA)	 小学一还是二年级看的            
(5星)	 当年的那个TVB啊！！！            
(5星)	 突然想重温。            
(5星)	 儿时的记忆！            
(4星)	 囧 特么的原来我童年偶像之一还是关礼杰？            
(5星)	 那时候就追的剧啊~            
(5星)	 oh~石生呐~            
(4星)	 陈松伶好漂亮！            
(1星)	 原來鄭伊健的確是好看的, 。 所以.. 「少年」這個詞, 多珍貴。            
(NA)	 居然有这个？？？貌似很好听的主题曲，当年还会唱            
(4星)	 当年结尾看得少年的俺哭的一塌糊涂，哈哈哈            
(4星)	 童年            
(3星)	 1991            
(5星)	 呀小时候魂牵梦萦的血魔，现在我居然还记得起主题曲。            
(5星)	 我要再看一遍诶！！！！！            
(4星)	 当年就觉得陈松龄难看得发指，现在也一样，完全糟蹋了伊健嘛，石生            
(5星)	 大爱!            
(NA)	 小时候很喜欢,现在...???            
(3星)	 小时候看的时候还挺玄乎,今天翻出来看了几集,那画面啧啧的雷人            
(3星)	 人吃鸡鸭我吃人，有什么不对            
(3星)	 小时候对结局最激动的一部剧~            
(NA)	 我一辈子的最爱            
(4星)	 郑演坏人好帅啊              
(4星)	 血魔的绝恋……            
(4星)	 天啊~~今天回顾了一下~曾经我是那么痴迷郑同学啊~~~那时候好年轻&gt;_&lt;            
(3星)	 感觉不如第一部了，关礼杰已经深入我心            
(3星)	 现在再看感觉实在是莫名其妙= =！            
(5星)	 郑伊健真tmd帅            
(5星)	 天……太古老了！这个……石生……这名字有很深的印象啊            
(5星)	 我和他情缘的开始 从此片开始爱上的            
(4星)	 小学暑假的时候看的～            
(5星)	 生死轮回的最初印象，小学一年级            
(5星)	 小时候演一遍看一遍 真是好看 陈松伶现在看可真是土啊 天都仙女依然很丑 服装造型 道具什么的现在看还很不错            
(5星)	 回忆。            
(5星)	 ╮(╯_╰)╭ 小时候多希望他俩在一起啊。            
(5星)	 喜欢伊面的深情，当时一眼的纯洁，天外的男子            
(4星)	 郑伊健为什么可以这么帅。。。我为什么可以这么无聊            
(5星)	 小时候觉得超好看,现在也这么觉得            
(3星)	 魔幻片的经典，郑伊健迷死多少女人呢当时            
(4星)	 小时候觉得好好看，一直以为叫血魔啊，百度一下终于找到了            
(5星)	 这个经典，尤其是主题曲。            
(5星)	 郑sir太帅了。            
(3星)	 几乎不记得了            
(4星)	 小时候看的，没啥印象了，就记得很好看很好看……            
(NA)	 法王你好萌啊法王-_,-            
(4星)	None
(5星)	 儿时大爱啊~比现在的那些恶心的伪高级科学技术的电视好太多了~            
(5星)	 儿时的感动            
(5星)	 经典 经典 找了很久啊            
(5星)	 虽然要吐槽的地方多到死，可是还是要给5星。            
(4星)	 小时候看到的。            
(4星)	 各种支线任务啊！英男和石生的部分很少啊！1：白侠孙南和天都仙女 2：申屠宏和崔盈 各种劲爆剧情啊！还有前世今生这段，各种神奇的存在啊！当年就只记得血瀑布郑伊健那红色的身影了~~            
(4星)	 小时候的经典啊~当时迷死我啦~童年的回忆 必看！            
(5星)	 天呐！太过于经典了吧！时隔几年，总是要回过头来看一遍儿时的经典电视剧！太过于经典啦！好经典啊！            
(5星)	 缘定三世，来世续缘            
(5星)	 这几乎是我前十多年最喜欢的电视剧...开头太经典了，永远忘不了...            
(NA)	 我还记得是小时候一个夏天 天气很热 大人们都在屋子外边乘凉聊天 我一个人在沙发上观看此片 为了防蚊灯都没开 结果就是吓到半死 现在想想 小孩子真是弱爆了...            
(5星)	 当英男抱着石生跳崖的时候，泪水已然无法框住            
(4星)	 很好看，还是老片子有味道，            
(4星)	 我终于找到这部让我小时候超喜欢的片子了，以前总不知道名字！！！！！！！！！！！！！            
(5星)	 七八岁时看的片子。            
(4星)	 石生你最美了！            
(4星)	 美好记忆！！！            
(5星)	 缘定三世，何必强求。人亡盘毁，来世续缘。            
(4星)	 当时很喜欢这部剧，很喜欢主题曲，很喜欢郑伊健和陈松伶的配对，很为两人角色的故事纠结，最后结局很好，今生有缘，后世有份。            
(5星)	 實在有幾多粒星要俾幾多粒…愛爆~~~~~但個結局真係太慘了…            
(NA)	 蜀山峨嵋            
(5星)	 最愛!!!!            
(NA)	 我看过，你看过么？！            
(5星)	 忘不了那空灵仙境般的音乐            
(5星)	 童年的回忆，不变的挚爱            
(5星)	 小时候心中永远的经典！            
(4星)	 小时候很爱看，狂追            
(4星)	 从此认识郑伊健            
(5星)	 这部剧现在来看,哪是一个雷字了得.一切都好夸张.但我就是很喜欢.            
(4星)	 很小时候看的了，一直记得里面那只可怕的手，还记得当时又害怕又想看的心情，哈哈。今天终于又找到了，想想小时候真的看了好多电视剧啊            
(4星)	 最爱各种仙人飞来飞去的戏，直到现在……不可救药了……            
(5星)	 ！！！！！！            
(3星)	 那时候的金童玉女啊            
(4星)	 一二年级我们镇上录像放的，被奇幻的情节吸引了            
(3星)	 - -！  竟然还有点小回味。。。            
(4星)	 石生啊~~~童年啊~~~            
(4星)	 多年轻            
(5星)	 哎哟，我小时候迷这个片子迷的不行了。。            
(4星)	 小时候是多么的喜欢看啊            
(5星)	 小时候很爱的            
(3星)	 原来是它            
(4星)	 陈松龄的结局我印象深刻            
(4星)	 开启我儿时模仿表演欲望的电视剧。。。血魔啊，仙女啊，石生，英南，夜叉春迎，申屠宏。。。最后一幕石生死了，小时侯还哭过。。。哎，太难忘了。。            
(5星)	 伊面+松松 星光与朗月长伴照耀~            
(5星)	 小学时看的，看得怕怕的！            
(5星)	 小时候最爱的就是郑伊健版本的血魔。            
(5星)	 超喜欢石生和英楠的组合，主题曲也很流行哦            
(NA)	 租来的带子，放了好几遍。            
(NA)	 原来记忆里清晰的片段就是这部电视剧啊！！！            
(5星)	 小时候觉得超好看的，血魔~            
(5星)	 那時候的鄭伊健多帥啊……            
(4星)	 终于找到拉! 童年恶魔            
(4星)	 曾经的大爱~~            
(5星)	 血魔，这两字现在还是很有印象。小时候很萌的古装剧            
(5星)	 小学一年级看的 印象深刻啊···            
(4星)	 清楚的记着，自己上初一时候看的，当初真的为血魔神魂颠倒，尤其主题曲，在音乐课上还唱过好几次。当时根本还不认识郑伊健、陈松伶，看来当初喜欢的原因中有很大一部分是帅哥、美女影响。最后三对情侣的结局好像都挺惨的，还有一个镜头，就是女的弹琴给将石化的男子听，然后说了句，琴在心中，好帅!            
(NA)	 当时不仅喜欢看，还录下一些对白和音乐            
(5星)	 年少时的回忆..那时候连看郑伊健两部剧。这是之一。            
(4星)	 一直陪我度过了小时候的吊瓶岁月，记忆朦胧，慢慢敲醒。            
(4星)	 很喜欢的一对荧屏情侣！            
(3星)	 刚有有线电视时候，一个晚上5集连播，让读初二的我彻底颓废，差点堕落，感觉心有余悸啊，差点就连前途也没了。可是，这也是宿命吧，哈哈。蜀山永远逃脱不了的就是，即使再怎么努力，再怎么炼成仙人法器，人不能胜天，人永远不能逃脱命运。            
(4星)	 小时候很喜欢            
(NA)	 很久了，呵呵，在家用VCD看的呢。竟然不知道石生是郑伊健演的            
(4星)	 一度对续篇极其没爱……后来想想结果我还是看过很多遍嘛囧RZ            
(3星)	 还是记忆中的最为诗意啊~            
(4星)	 前篇更美好，更喜欢~            
(5星)	 情深怎惹恨 还我冰雪魂            
(NA)	 血魔！无敌了            
(5星)	 很好看啊，，又一个很好的回忆。。            
(5星)	 初中时的爱情启蒙片            
(NA)	 小学每年暑假必看武侠剧、～～之一            
(4星)	 我读幼儿园的时候看的！            
