http://movie.douban.com/subject/2146034/	大清后宫
(4星)	 啊啊啊啊啊啊我还被感动死了            
(4星)	 当年觉得挺好看的            
(4星)	 那时候觉得胡静好漂亮！吟秋，杯具又动人的女生…爱不到，为父献出自己。而晚晴姑姑那通透世事的模样正是我欣赏的。            
(NA)	 传说是于妈的天雷剧，真佩服我自己还给看下来了，喜欢片尾曲及歌词~            
(3星)	 最近很怀旧..ps:除了女主演的不怎么样,其他都还可以            
(1星)	 男中成容若，女中太清春……名满京华顾太清，原来就这样子？！            
(3星)	 40            
(4星)	 喜欢胡静呐~~            
(4星)	 越来越感动。            
(2星)	 懒得说了            
(3星)	 当初明显是为了看那谁而看的            
(4星)	 哈哈 得肺炎的时候休假在家看完了            
(2星)	 唯一让我印象深刻的就是胡静的眉毛。            
(3星)	 跟金枝欲孽好像。。。            
(3星)	 宫廷戏里少有的善良而有心计的女主角形象~            
(4星)	 不错...            
(4星)	 尽管剧情是抄的，人物妆太浓，但除此以为还是不错的~            
(1星)	 ...陈浩明...乾隆...Orz            
(3星)	 有一段山寨冬季恋歌...            
(3星)	 电视剧频道黄金档作品            
(3星)	None
(3星)	 伊能静..            
(NA)	 各种不合逻辑 各种2 本人与编剧有代沟……            
(5星)	 当时觉得好NB            
(3星)	 回想起来当时看完了也不是没有道理的，比现在某些剧算是好了很多嘛            
(3星)	 当时可喜欢胡静了=。=            
(3星)	 于妈妈这时候就开始“拼剧本”了，印象最深刻就是在要结尾时抄了《冬日恋歌》男主误会女主那段。            
(3星)	 我去。。。这是于妈的作品。。貌似有个暑假我天天看。。            
(2星)	 这片儿是有多雷……为了陈浩民，加一星orz……            
(1星)	 真是无话可说            
(4星)	 又是一部小时候看了爱很久的片子！那时候觉得女主真漂亮啊~前段时间湖南台重播我会又看了呢~            
(1星)	 我也看过于妈的雷剧，还一集不落！            
(1星)	 这一星就是为了咱的浩民哥哥            
(1星)	 无力吐槽...            
(1星)	 你妹，真的很囧            
(1星)	 支持于麻麻~~抄抄我爱你~~~            
(3星)	 一般般一般般,我看完就差不多忘了一半,现在是一点都想不起来拉.....            
(3星)	 反正就是很纠结……            
(1星)	 看到于正这两个字我就顿悟了！！！            
(4星)	 这部剧还好啊，怎么评分这么低啊            
(3星)	 很混乱的清宫剧！满是勾心斗角和胡静的苦情戏！            
(1星)	 这囧死人的化妆和坑爹的服装造型以及一把年纪脸部下垂扮嫩的胡静和陈浩民            
(5星)	 当年很迷。。            
(3星)	 抄金枝欲孽的痕迹很明显。            
(4星)	 4星给傅艺伟            
(1星)	 每天吃早餐时看几眼芒果台的雷剧雷一雷自己，这个堪比战斗机级别，雷雷更精神，一天好心情            
(NA)	 这货原来是于妈的            
(3星)	 于正的作品……不予置评……            
(2星)	 大陆版《金枝欲孽》，但远远比不上啊            
(3星)	 ……想当年这是我的辫子剧启蒙篇啊喂！现在回首真尼玛天雷滚滚，不过说实话那会儿支持我看下来的唯一动力貌似就是黄维德，胡静真心难看……其实晨光叔也把我迷得五迷三道的(OvO)            
(2星)	 谁推荐我看的！把手斩掉！            
(1星)	 說這部片子好的人，你們肯定先天小腦殘缺。不然怎麼能異於常人的看懂這種抄的人不像人主演演技爛的是鬼不像鬼的狗屁清宮戲？            
(1星)	 1星不解释！懂的！            
(NA)	 当时以为很好看            
(1星)	 难看的不是一点            
(1星)	 其实这是古代版的冬季恋歌...都不屑于稍微掩饰一下你是抄的...            
(2星)	 非常無聊。分給演員。            
(3星)	 虽然打着大陆版《金枝欲孽》，但是整体来说还是差好多！            
(3星)	 陈浩民老了！            
(2星)	 据说于抄抄是靠这部剧上位的，CAO，压根没看出它有上位的素质。            
(2星)	 没想到啊，竟然和ATV有关系！前面还好好的，后面没看下去，因为好像又开始往无厘头的方向扯了，所以也不记得到底看到第几集。还有，那秀女宫女服什么的真怪异，蓝蓝红红一片。            
(4星)	 很喜欢~ 除了胡静的眉毛奇怪了点，整体都超级喜欢，特别是安雪臣和扎尔凡~            
(4星)	 虽然国内国外古今中外各种抄，还是抄到了一点精髓的！            
(4星)	 还君明珠双泪垂，恨不相逢未嫁时。            
(2星)	 大爱最后一集。实际上也是我唯一看过的一集...            
(1星)	 抄吧抄吧抄吧            
(1星)	 当时在电视上看到的时候就在想 怎么就那么像 金枝欲虐了 现在我明白了。原来编剧是 于抄抄            
(4星)	 当初看这个完全是冲着陈浩民，呵呵，还是很帅气啊            
(2星)	 天可明鉴！谁说这是内地版的金枝？            
(3星)	 我是看过多少狗血电视剧            
(2星)	 全剧都只在歌颂胡静的美貌。所有人都爱胡静。。。想给一颗星。            
(4星)	 高二升高三暑假时看的，当时觉得非常好看，又是否因为学习太压抑了呢？我记得看完以后还写了一篇感想，至今放在我高中日记本的最后一页            
(3星)	 前半部分还可以看看            
(3星)	 我肿么了我，当初看的时候脚得黄维德闹木帅啊！            
(2星)	 胡静的假睫毛让我震惊不已……            
(1星)	 这个编剧也是于抄抄，大长今 金枝欲孽 冬日恋歌，于大编剧看过不少电视剧啊，融会贯通的功力真是厉害，娱乐圈这个圈，真是神马东东都有啊            
(1星)	 西林春演得太差了            
(3星)	 那段萧的音乐很是好听。            
(1星)	 那个剧情超山寨，抄金枝裕孽的，连细节都是吵的。狗血.....            
(3星)	 以前在本港台看粤语配音很有感觉，但在网上一搜的国语原版觉得没感觉了。。            
(5星)	 超级无敌爱~几乎每一个角色都爱~            
(1星)	 这个抄的......            
(2星)	 安雪臣换个人演行不 受不了黄维德            
(2星)	 最讨厌圣母剧            
(1星)	 胡静真2            
(3星)	 【又名: 大淸后宮 / 대청후궁 】还出口啦???  = =            
(2星)	 电视上播了n次，一次都没有完整的看完，太能瞎编了，可惜了一众帅锅美女            
(5星)	 剧情真跌拓~            
(NA)	 看湖南卫视瞎看的。。            
(4星)	 陈浩民好有爱            
(3星)	 都进宫了，能不能别和皇上以外的男人乱搞？光知道几个品阶的名称和故宫的地点就敢乱编            
(1星)	 1所有人演技差到无法忍受啊 2连入宫的粉色蓝色衣服都学金枝欲孽我服了 3天雷滚滚啊。。。            
(5星)	 很俗，但是我喜欢。好吧，我是俗人一个。。            
(4星)	 太悲伤太悲伤了！！btw,黄维德好帅啊~            
(3星)	 没事干，上午准时收看            
(3星)	 坑爹的杰作、            
(3星)	 只喜欢粤语配音            
(3星)	 湖南台又重播了            
(2星)	 为了陈浩民耐着性子看了几集，看到他出来就果断的关掉了，还是没能坚持下来啊            
(4星)	 我记得小时候看觉得挺好看的...胡静很有戏~原来也是于正的剧~~            
(3星)	 高一看的吧，还是初二看的，傻傻分不清楚            
(NA)	 为什么大陆除了《孝庄秘史》我觉得很好外，几乎再想不起其他更好的古装片了。历史啊历史啊……            
(3星)	 模仿金枝欲孽            
(3星)	 看完只记得让我惊艳了一下下的霍思燕沈吟秋            
(3星)	 看了于妈的原著的文笔我瞬间觉得这一部戏真的是靠演员的演技和颜搏回来几分精彩，电视剧比原著好看太多……            
(3星)	 SB编剧！！！这么烂的结局！！！剧情重复太多啦！！！不过还是有亮点的。            
(1星)	 抄吧你。            
(4星)	 还行吧            
(3星)	 我居然看完了            
(3星)	 我是看过的记得当时很喜欢黄和胡 主人公的衣服也很美 剧情不记得了            
(1星)	 狗血中的狗血，唉。。。            
(3星)	 纯粹为胡静这个妞儿打的分数            
(3星)	 服装雷，剧情更雷，演员长得还不错            
(3星)	 我是冲着宫来的 又发现我也看过这个 原谅我的年少无知  竟然还看这个 天雷滚滚啊            
(2星)	 这个大雷片 居然有脸和金枝欲孽比。。。还要不要脸啊 金枝演员演技服饰都秒杀这烂货了            
(3星)	 美女满地爬啦 胡静挺漂亮的~            
(3星)	 深宫。只见新人笑，哪闻旧人哭。            
(3星)	 胡静眼睛忒勾人了             
(2星)	 胡静的角色是专门为霍思燕设定的吗。。            
(2星)	 话说这部剧－ －真的是，唉，抄得惊天动地，台词神马的天雷滚滚            
(3星)	 胡静很漂亮，故事也挺扯淡纠结的，死了未死死了又死...又没死？            
(3星)	 剧情太扯，演员不够漂亮。            
(3星)	 做消遣用。可惜了黄维德，咋红了就把自己给毁了。            
(3星)	 段誉好可怜            
(2星)	 太长了            
(1星)	 扫雷佳剧。。。。。            
(1星)	 我一直好奇这么一部处处都是雷点的天雷剧怎么捯饬出来的。            
(3星)	 还可以吧            
(5星)	 好看。内地版的金枝欲孽。            
(1星)	 里面的衣服是从天上人间借的吧             
(1星)	 。。。闹片荒。思考的片不想看，想看些肥皂剧，又看不下去，人生真纠结。            
(3星)	 难看，怎么能和金枝欲孽比，给三星是给衣服造型！！            
(3星)	 衣服好看罢了            
(3星)	 后半段的剧情实在是太扯了。@Home            
(3星)	 后宫！            
(3星)	 讨厌死那个姓安的了。            
(3星)	 书也看了。跟书还是挺像的。            
(2星)	 垃圾            
(3星)	 胡静为什么不从了皇帝。我一直耿耿于怀            
(NA)	 裹脚布啊裹脚布~            
(1星)	 这大杂烩算什么事儿            
(3星)	 宫廷等于勾心斗角。            
(3星)	 陪妈妈看的...            
(2星)	 于抄抄出品。简直就是抄袭别人金枝欲孽嘛，但是假如了不少元素，所以看起来更怪，不过，我一直很好奇，我是怎么把这部剧给看完的。。。囧。            
(1星)	 一星不解释            
(4星)	 女人，不得干涉内政。            
(1星)	 1星给胡静            
(2星)	 抄都抄的没水平。。。胡静在里面完全就是一个没智商的花瓶。。。            
(5星)	 爱上清穿后看的一系列电视剧，震惊这个主角是我儿时最爱的黄维德。他依然瘦削帅气，也许他就适合清朝这个发型。赞他的演技，前期安雪臣调皮，后期扎尔凡温润。不过剧情方面那个编剧就很能改了，感情错综复杂。。。另外伊能静的演技也超级赞。霍思燕在此时也崭露头角            
(3星)	 我喜欢胡静 我讨厌里面胡静饰演的人物太软弱            
(2星)	 胡静很好，故事不喜欢            
(2星)	 老妈看的，凑在旁边看了几集，只觉得好假，个丫鬟比主子还大牌~            
(2星)	 抄抄金枝欲孽再抄抄大长今。。。。。总是似曾相识            
(4星)	 其实剧情比金枝欲孽差好多~只是太喜欢安雪臣和陈浩民~~~~女主角配不上他们的~~~            
(1星)	 剧情可不可以再狗血点，女猪的圣母光波简直射瞎我的狗眼            
(2星)	 红果果的模仿，造型啥的跟金枝欲孽根本没法比，剧情也没啥吸引人的            
(4星)	 我喜欢西林春            
(3星)	 没什么特别感觉            
(NA)	 剧情什么的都是浮云。            
(4星)	 这片怎么会被那么多人说成烂片啊 挺有情节啊             
(2星)	 囧            
(3星)	 居然被贵州台压缩到了26集~            
(5星)	 亮点在人物塑造，没有通常宫廷剧好人坏人明显的界限，每个人都有自己的无奈，可爱又可恨。            
(NA)	 好想...            
(4星)	 全部看完的电视剧...黄维德后半截的风头全被陈浩民掩盖了,伊能静不行啊,傅艺伟不错,胡静眉毛该修修了            
(3星)	 对男女猪脚的爱情唏嘘不已            
(4星)	 君不见，那红墙内外紫禁城之巅。刀和剑，把有缘人分天下的两边。心不宣，谁人颠覆那善变的誓言。争斗后，想念那美丽浮华的容颜。            
(5星)	 黄维德好帅啊，陈浩民瘪三了。            
(4星)	 为什么全世界的人都喜欢她西林春。            
(4星)	 挺好看的啊            
(4星)	 高三的时候看的 印象特深             
(NA)	 黄维德好帅好帅！            
(3星)	 话说这国产古装剧，不山寨会shi啊            
(3星)	 高考前夕见识的雷剧啊，感觉合拍片总是阵容强大剧情雷人            
(3星)	 帅哥美女，不比金枝欲孽的经典，歌曲好听，总的来说还行～            
(4星)	 那个暑假大家都看这部戏还有家有儿女以及武林外传过来的            
(2星)	 传说中是大陆的金枝欲孽 毛啊            
(2星)	 反正后宫片咱都不爱            
(3星)	 其实挺扯的，但是当时一集没落的看。比不上金枝欲孽。            
(2星)	 抄袭啊抄袭。这不是抄袭《冬季恋歌》吗？怎么是《金枝欲孽》？？            
(4星)	 啊！萌啊！扮相真美。从这里开始看上胡静，黄维德也好萌。            
(2星)	 很金枝欲孽没法比。            
(2星)	 乱扯            
(2星)	 我是被他老妈吸引过去的...            
(3星)	 当时狂爱安雪臣这个名字~~            
(3星)	 大陆版 金枝欲孽            
(2星)	 唯一的感觉就是这里的胡静没有 孝庄秘史 里美            
(1星)	 我看过最胡编乱造的剧，当搞笑片看是很给力的！            
(4星)	 黄维德卖相也不错的，自从孝庄秘史后，就满喜欢胡静的古装打扮！            
(2星)	 搞到后面 爱来爱去 没深度！！！            
(1星)	 烂俗            
(5星)	 后宫女人真是悲惨。            
(1星)	 烂得恶劣            
(1星)	 居然还抄了冬季恋歌的台词            
(3星)	 胡静巨美。            
(NA)	 跟《金枝欲孽》一比，可真是颜色全无，编剧无能便也罢了，还照搬《金》的经典段落，真是拿石头砸自己的脚，自寻死路            
(2星)	 模仿《金枝欲孽》模仿的四不像。            
(4星)	 超级喜欢胡静就是那里边的皇上比较腻歪人            
(3星)	 喜欢陈浩民···            
(1星)	 烂到我现在看到胡静就讨厌.....原先对她的印象还是不错的.....内地就编不出好的清宫戏么？一定要抄的这么离谱......            
(4星)	 这里面的胡静很漂亮            
(3星)	 一般般吧            
(3星)	 这个翻版···还有什么好说的···            
(5星)	 胡静太美了~剧里很多美女~            
(3星)	 我觉得胡静在这里面的扮相不好看……            
(3星)	 宫廷　电视剧            
(3星)	 争吧争            
(3星)	 就随便看看吧，跟历史没关系~            
(NA)	 我喜欢那句，记不清原句了，安雪臣对青格尔说我要比你晚死，给你下葬，然后随你而去            
(NA)	 胡静很美。。。鸦片泛滥            
(2星)	 比不了金枝欲孽啊。            
(3星)	 只看一集就觉得完全抄袭金枝欲孽            
