http://movie.douban.com/subject/4059238/	下一站，幸福
(5星)	许久不曾看偶像剧，却因这部感动得一塌糊涂…  最真的东西…
(5星)	5.7-5.21 浪漫的校园爱情,绝症,失忆,单亲妈妈,6年后,误会,不解释,笨男人和笨女人....又老梗又狗血,可怎么就那么好看....笑了,哭了,最重要的是苏了....Vanness也太帅了吧,尤其是6年后的短短发....丁当的歌都超搭这出戏! 还有最后以那种形式出现的小天!
(4星)	其实吴建豪看着看着也挺顺眼的...画面很温馨漂亮，剧情有点俗套，但还是赚足眼泪的
(5星)	虽然稍显俗套的剧情，但是也因此片喜欢上了吴建豪，很确切的说是喜欢那个痴情顾家帅气的任光希。小彬彬真的很可爱。这样的爱情在现实中会有吗？呵呵  我仍然还是少女阿～
(3星)	边听边做些杂事 一心可以两用 多好
(2星)	马马把大结局看了= =
(4星)	好长好长啊。。。看的累死了
(4星)	因为意义不同~ 我是很想要个像小乐酱乖巧的仔啦~
(NA)	米修米修，爱有很多种方式，选择不得已的，然后继续ｍｉｓｓ　ｙｏｕ
(3星)	任凭你再怎么山寨还是没办法超越花より男子的，这种善穷女恶富男的冷饭再炒下去就要成香脆锅巴了，再加上女的不够漂亮男的不够帅自然是没办法吸引我看完了
(4星)	泛白的颜色 爱不褪色 曲折的情节 情不断线 可爱的小乐 坚强的慕橙 直率的拓也 温婉的以茜 魅力的光熙 完美的结局
(4星)	一如既往的给小女生制造幻想的剧情。。。。看看别当真
(4星)	有很多创新
(4星)	吴说的台词真心好差啊，不过，人长的真心不错，八块腹机啊...
(NA)	又一个晚上。哎…剧荒饥不择食。
(3星)	还算含蓄 不脑残 吴建豪多年不看 国语很溜了
(5星)	米修米修。。哪怕失散、哪怕失忆，也可以重逢，也可以重爱，也可以重新在一起。
(3星)	小朋友是亮点
(5星)	你知道在冰场上如果说把手交给对方，就等于把生命也交给他，我刚才说我会牵着你，就等于我会承诺保护你，不顾一切，直到现在为止
(4星)	米修米修~ 超可爱
(5星)	21集連續看..哭到神經痛眼睛累...超愛小小彬!!!
(3星)	小朋友太可爱了。六块腹肌出镜率很高。
(NA)	狗血吗？但我还是看完了。小乐真的很厉害演！
(NA)	= __________________________________=
(4星)	安以轩演技不错，Vanness有进步，小孩子很有爱。
(4星)	虽然剧情狗血 而且是皆大欢喜的happy ending 但其间还是骗到了几次我的眼泪
(5星)	好看~就是后面开始有点拖了。吴建豪的演技和当年F4不在一个档次了！！
(4星)	爱要多坚定才能走过这些风风雨雨。也许真的，你就是我的命运吧。我喜欢幸福的大结局。然后就是，开始想要宝宝了。2010.03.23
(3星)	女主你除了哭还会啥……？片尾下一集预告时入的歌的前奏很好听。
(4星)	很俗~也很动人呢~~~
(1星)	剧情烂也就算了，男猪脚还丑死了 丑死了
(5星)	不管有多少次机会，我们的结局都是一样，因为你 就是我的命运。
(3星)	小乐太可爱啦啦啦啦
(3星)	我还以为真的会不一样，但是剧情还是如此狗血加熟套，唉！
(4星)	吴建豪身材真好~！
(NA)	跳着看看 嘻嘻 我无聊了
(NA)	F4下一个演爸爸的是谁
(NA)	不算看全了~断断续续 就是典型的台剧  不过没有很吸引人 音乐倒是还好
(3星)	我审美偏差了，安以轩越看越丑，吴建豪越看越帅-_-||
(5星)	又不可自拔地陷入到台湾偶像剧了，熬夜看完。这戏简直就一催泪弹嘛，那感人呀~男猪脚那好呀~小小彬真可爱。没有其他偶像剧那么夸张，很好。
(4星)	以后不要再看安以轩拍的戏了。
(NA)	爸爸很可爱 男女主角有问题
(3星)	哪有那么好看？？？
(3星)	正确来说是四星未满三星以上。头一回觉得吴建豪很帅，白白净净的，深V领，演的很努力，让我看到了他的演技。但是台词功夫实在不敢恭维。整部剧画面干净场面温馨，剧情么，一般般而已。
(4星)	花拓也的配角悲哀……最终也只能是亲人。花田村的乡亲们！～～
(NA)	品冠一唱歌我就没得抵抗力了。
(NA)	又看了一个傻瓜偶像剧。。。
(3星)	每一集看着都能猜到结局 可我还是看完了 囧 
(NA)	不用看就知道导演是女人。。。不然吴健豪干吗那么多裸上半身的戏啊。。。。
(4星)	主要是因为安以轩
(4星)	梁慕橙的轉變有點假
(5星)	很感人..很幸福,,只不过这只是故事而已..
(4星)	爱 它穿着各种各样的外衣 但不管怎样 它还是爱
(5星)	我骗人都是因为不想再在一起了...太惭愧啦~~~不过看完了还真哭得稀里哗啦的，好感人啊好感人，全都是演技派...尤其是阿财叔，搞得我看形容如阿财叔的中年男子都绕道...
(4星)	结局总算是看完了，一个礼拜一集，从年前追到现在，唉。幸福终于等到了，哈
(3星)	原来veneass是单眼皮哦...
(4星)	多加一颗星星给吴建豪的
(3星)	为什么我觉得吴建豪最后一集挤眉弄眼的，很娘－。－
(4星)	如果我是男主角 我会放下六年前的感情 和女配角好好生活~那个六年来一直陪伴你左右的人才是最生动的记忆。
(3星)	我靠我再也不看台湾偶像剧了,太2了.看在吴建豪变帅了的份上给3分.妈也~~
(4星)	烂尾剧
(4星)	模板.
(5星)	近幾年覺得最好看的台灣偶像劇..
(4星)	我也想要个这么乖的儿子~！
(5星)	是我喜欢的大团员结局
(4星)	天使般的孩子～每次的泪点都是你，小乐
(4星)	音乐还是不错～导演真的好小只。我觉得比钮导演拍的好。全局控制力，脚本也不错。借朋友的话就是集绝世言情小说精华之大成&gt;&lt;但是我还是受不了发音。。。那个请个大陆国语老师纠正你的发音吧。
(5星)	我喜欢那句话，慕橙是光烯的良心，就算以茜再好，就算以茜带给了光烯生命，却无法带回他的“良心”。善良勤劳的女主，有各种萌点的男主，善解人意的女二，甘愿付出不求回报的男二，这个剧都没坏人的。吴建豪短发不错看，挺清爽，这么多年了居然还是包子脸，要是abc腔调再少点就更好了。
(1星)	一部又臭又長的網路上說版的偶像劇。。。就是這部。。。
(3星)	吴建豪很帅...这是我快进着看完的理由...果然不是看偶像剧的年龄了
(5星)	还查一集 把你丢了
(3星)	各种偶像剧的杂糅体 跳跃性看完
(3星)	不是不好，只可惜战线太长，到最后我已经有点乏味。
(3星)	土得来，人人爱
(3星)	小乐才是看点.
(NA)	听师太讲了20集，看了最后一集，恩，还挺温暖
(3星)	小眼睛大嘴巴。。。能让哀家如此春心荡漾的大概只有吴建豪了= =
(4星)	其實 我愛的是梁小樂~~~
(NA)	结局~~~~毁了
(5星)	最后杂志上的小天是亮点。。。
(4星)	难得喜欢偶像剧哟！！
(4星)	今日到站。各自流下很多眼泪之后，结局幸福得要化掉；这个故事中，亲情才是真王道
(4星)	演员功不可没，整个色调实在美好。小V居然很会演戏嘛，事实再次证明我对猫男没有抵抗力
(4星)	老套却打动人的亲情爱情...
(5星)	有我最喜欢的偶像剧桥段……
(3星)	太催泪了,熬夜一晚上看了10小时.流泪8小时
(3星)	弃
(4星)	其实去哪一站都没有关系，重要的是，那一站有你，那样我才会幸福。
(3星)	VANNESS!!!!!!!!!!!!!!!!!!母爱横流
(5星)	曾经你被这个人吸引过，爱上了，然后你的记忆不见了，再一次遇到他的时候你仍然被他吸引，爱上了。或许这才能见证真正的爱情，只是生活不是偶像剧，我们没有机会去失忆，也不能幸运到失忆后与旧爱重逢，所以我们只能靠心去感觉这是不是你要找的那个唯一。 
(4星)	蛮温暖的。
(NA)	一个周末全部看完了。唉，还是日剧适合我，比较短小精悍。这种台剧太长了。不过偶像剧，长点打发时间。偶像剧就是偶像剧，不能深抠细节的。吴健豪身材超好啊，流口水呢！
(4星)	幸福正在路上
(5星)	吴建豪的皮肤真好。
(NA)	你演戏喜欢摇头晃脑吼
(5星)	爱上心灵好友陈慧翎。迷上电影演员VAN NESS吴建豪 。有时候。台湾的青春电影总是美得超乎想象。云淡风轻却又异常坚强。下一站 幸福（陈慧翎导演 我爱你。VAN NESS吴建豪 安以轩 当刮目相看。小小彬 你太可爱鸟。） 
(4星)	好好看！好久没有看过这么好看的台剧了。哭得稀里哗啦的~
(4星)	可以结局了伐！！！吴慷仁真的好帅啊好帅啊好帅啊好帅啊
(5星)	看过最好的台剧，有剧情有演技...
(5星)	富家子 + 贫寒女 + 不打不相识 +  绝症 + 装不认识 + 超纠结…… 各种剧情发展俗套 但不妨碍让我很喜欢~
(3星)	轻微烂尾，我就莫名21和20梁慕辰的反差就那么大，太假了……中间部分马马虎虎，温情剧矫情就必须的，好吧……
(3星)	能有空看台剧的人生是美满的人生
(4星)	很感人。
(4星)	吴建豪很性感的说~
(3星)	啊。。。。。。。纯打发时间
(3星)	花田村好漂亮噢~
(NA)	看过后眼泪止不住拼命流下的一部剧.....
(3星)	还ok吧~
(NA)	还不错哦，感动我乐
(5星)	好久没看台剧，感人哟
(3星)	V演技大爆发。。。真入戏
(4星)	只有梁小乐
(3星)	前面两集看得我想吐，中间两集看到我想哭，后面两集看得我好困。
(4星)	★★★☆
(3星)	说真的 它让我对台湾偶像剧的印象变好多了。。
(4星)	越是信任，背叛越深，越是爱，伤害越大～剧集4星，V的演技5星，女主2星。
(4星)	20集 没结束啊..囧
(2星)	情节没什么新奇D 烂透了！
(5星)	V演技算是F4里最好的吧。COOKIE阿姨正。，小乐无敌可爱，米修米修
(NA)	看了两集多一点
(4星)	… 结局好水
(4星)	结局那集。。可以不要看。。让人大跌眼镜的超级大烂尾。。
(3星)	现在都流行带着孩子贪恋爱的戏码，还有台剧里面的人演技真的好烂。
(NA)	男主女主还有那个小P孩，没有一个让我稀罕的
(NA)	算是不错的台剧
(5星)	2010.03.01。over。
(5星)	v轩无敌~
(5星)	大爱任光晞和梁晓乐。
(3星)	近水楼台 未婚先孕 别后重逢 冰释前嫌
(4星)	吴建豪演技不错的嘛。。
(4星)	最后一集放弃
(3星)	从泰剧到台剧=  = 我就需要狗血
(4星)	主要是因为可爱的小盆友~
(3星)	偶像剧的老套剧情全囊括进去了，不容易。
(4星)	囧
(5星)	剧情虽然很俗套，但演绎真挚，很吸引人，绝对值得一看，梁晓乐好可爱，吴建豪演技有很大提高，总之推荐！！
(2星)	实在实在是看不下去~能把安以轩打扮的那么丑，厉害啊~！我还是老老实实的去看命中第二遍吧。。
(5星)	近年来最好看的台湾偶像剧``
(4星)	等到最后没耐心了 小小彬太可爱了
(4星)	剧情老土 好在不过不失三颗星 演员 画面 节奏 四颗星 
(4星)	女二很靓，男二很帅。主角一般。算还可以的台剧。
(3星)	安以轩很漂亮。
(2星)	超級討厭這種片感覺像20年前的臺灣苦情劇
(5星)	小小彬好可爱~ 吴建豪的演技提升很快。
(5星)	吴建豪 安以轩 演得太棒了,剧情太感人,实在是近来偶像剧中的佳作.
(4星)	喜欢里面的梁晓乐~ 这孩子怎么这么可爱~
(2星)	没耐心看，想吐。。。
(4星)	小乐好好好可爱~~这算现在看过的比较好的台湾偶像剧了^_^
(3星)	在剧情发展到“6年之后”更好一些！居然还提到了“观美塘渔村”！
(3星)	典型的台剧嘛，一如片名般不现实的台词。不断萦绕的歌，催泪弹呗！
(4星)	妖孽啊.......
(5星)	纯真的爱情，美好的亲情，只有感动~莫能言表
(NA)	大爱，让我完全颠覆了对V的印象，现在觉得他胡子拉渣的时候也超级有型！
(5星)	非常好看
(4星)	想著所擁有的不去想那些失去的也是一種幸福人生就會有這樣的風景當你把他當成風景你對於它的逝去就不會這麼錐心坐車的時候倒退的風景是怎麼也留不住的留住的只有映在心底的記憶不是嗎
(4星)	牛肉饭到底有多好吃？
(NA)	吴健豪怎么越来越帅了…嗷嗷嗷
(5星)	自认为看了那么多台湾偶像剧之中,比较吸引我的一部.男女主角都不算是很一线的台湾偶像剧主角,不过演技上有很大进步.剧情也抓到了观众的胃口.最喜欢里面的人物,莫过于小乐,真是太可爱的小孩了!演技好,又爱笑,说话大方.剧情在男二号和女二号的处理上有点欠缺.
(NA)	爱爱爱爱爱~情。尽惹声声叹息；吴建豪脱下衣服真性感啊。
(5星)	如果这是真的 就好了
(3星)	阮经天他女朋友真漂亮~~
(4星)	我是冲安以轩想看的。
(4星)	片尾画面美，温馨
(5星)	虽然剧情很老套 但是真的拍的很好 演员也很到位——你的幸福或许不在我这站 但我祝福你~~~~——我的幸福就在你这站！！！
(4星)	不错。近年来难得一见的台剧。。吴建豪在里面很MAN。简直是重生,哥们看来是要翻身了          后面这几集，剧情变得狗血了
(4星)	吴建豪，你帅的更帅了哦！前面太憋屈了，一度想弃看。。。
(NA)	感觉追了好久哦。。后面的情节太拖了。。发现看完这个，好多想生娃儿了的哦。。
(4星)	吴建豪变的有魅力啦~~安以轩很美.剧情很有爱
(5星)	从头到尾一直哭
(4星)	画面好看,音乐好听,有小乐的剧集更又意思,哈哈,还有,吴建豪好帅啊!
(5星)	拯救桥段。
(5星)	说实话，是台剧近几年来难得能吸引我一直看下去的~个人觉得比《命中》好看~！
(4星)	在所有物是人非的景色里，我喜欢你。
(4星)	还是看完了，典型的台湾偶像言情剧。倒是还不错。要是一句话可以说清楚的地方不要含糊不清的早就大结局啦~
(NA)	大结局杂志上面的cookie阿姨旁边的男士是阮经天嘛!
(5星)	梁小乐大好！
(4星)	如果人生像一场大富翁游戏，不管怎么轮转，你就是我的命运！
(5星)	米修米修，达拉星球的外星人爸爸～～听到这个就忍不住鼻子酸诶！
(4星)	符合小女生喜欢浪漫的幻想
(3星)	终于看完了，虎头蛇尾，只能说一般
(5星)	结局太美好了
(4星)	我的泪点怎么这么低……不是泪奔就是眼眶湿润的
(4星)	终于大结局啦，追得很辛苦哇~
(3星)	台剧狗血桥段荟萃，哈哈哈
(5星)	美好的任光烯。美好的音乐
(3星)	好狗血好狗血。
(5星)	吴建豪成熟了
(5星)	结束了。完美的大结局，好开心。只是结束的太快了，有点措手不及。难道幸福就是这样的么~虐了好多集，转身后幸福就突然来了。呵呵~整部剧都是白色和米色的感觉，清新温情，很好看。
(4星)	吴建豪演技大涨，后面剧情略显拖沓
(3星)	日剧看多了 看不下去这么长的东西
(4星)	 
(5星)	~~~~~
(5星)	是一部会哭到痛也还是感到幸福的剧集。而8年演艺圈的摸爬滚打后，台湾终于也多了一个能够称之为“演员”的明星： Vanness！  
(NA)	無聊的結局
(3星)	如果不这么拖拉，我会给4星
(5星)	比起许多偶像剧..这部真的算不错
(4星)	温馨
(3星)	n多偶像剧的杂糅 电视剧青黄不接 看看还是不错的
(5星)	很久没有这么纠结过一部片子了 很没很感动 
(NA)	会选择它，是因为我想温习爱情的感觉，我已经寂寞太久了。梁小乐好会演咧，有小孩子以后才开始好看，之前的剧情也太狗血了。
(3星)	片尾是自己期待的生活。
