http://movie.douban.com/subject/1830528/	三国演义
(4星)	 没看完 最近很多同学看这个，有关三国的东西这段时间很流行            
(3星)	 还挺童年阴影的            
(NA)	 三国演义            
(5星)	 太经典了，到目前为止拍的最好的古装～～～想重温！            
(NA)	 太熟悉鸟太熟悉鸟~歌老子也会唱 连游戏里面每个人的武力值智力值关羽九十八张飞九十九太平要术加五我都记得。。。            
(4星)	 之乎者也 很遥远 很新鲜            
(5星)	 电视剧  中国  经典  历史  三国  连续剧  大陆  名著改编  名著            
(5星)	 喜欢            
(4星)	 关公的胡子            
(NA)	 上课看三国，你还把他演义了！            
(5星)	 这个 不用多说了吧            
(5星)	None
(5星)	None
(5星)	 史诗偶像剧            
(5星)	 很小很小的時候每天準時打開電視看,只爲了聽那首主題曲....            
(NA)	 这部剧我从来没有看完过。。。            
(5星)	 宏达厚重的场景，忠实的历史感，最忠于原著的经典名著改编，最经典的三国人物形象：神级的鲍国安版曹操，多疑而奸诈；神级的唐国强版诸葛亮，完全诠释年少时的潇洒和年老的鞠躬尽瘁死而后已。最后还有那细致的音效和台词“黯淡了刀光剑影，远去了鼓角争鸣，眼前飞扬着一个个，鲜活的面容”成就不朽            
(5星)	 还是喜欢鲍国安扮演的曹操啊            
(NA)	 94年前后，很小的时候，学前班？            
(5星)	 ╮(╯▽╰)╭五星这个还要解释么~            
(5星)	 不爱看电视剧。从小就没童年，长大后大多所谓不可不看的作品也最终没看，可每年寒暑假只要找到了《三国演义》就必看一回。总是想也许扣掉看三国的时间，我可以多看五百部电影…笑            
(5星)	 感人 那个时代的演员实在太棒了            
(5星)	 青山依旧在，几度夕阳红。            
(5星)	 重温84集！            
(5星)	 毫无争议的经典，不可复制，不可超越            
(5星)	 确实就该这么拍才对            
(5星)	 印象里面还是很好的            
(5星)	 95年            
(5星)	 五岁时爷爷带着我天天看。。。            
(5星)	 鲍国安的曹操没治了，再演啥《人大主任》那也是曹主任了...            
(5星)	 补充回来。            
(5星)	 永远记得鲍国安的曹操，太经典了            
(NA)	 小时候看过的             
(NA)	 有段时间迷三国            
(5星)	 武戏很渣，文戏很好。            
(5星)	 遥想当年，主席还是一枚风华绝代的诸葛扇，那时还没有突肚子的唐叔，英俊，狡黠，智慧，妩媚，腹黑…再回不来，往夕如梦啊！            
(5星)	 还原度很高            
(5星)	 一流的选角，一流的演技，一流的改编，一流的历史剧            
(5星)	 心目中的神剧            
(5星)	 郭嘉死得太早了，天意弄人            
(4星)	 影响很深            
(5星)	 星落五丈原TAT            
(4星)	 米有看完。。            
(5星)	 是非成败转头空。青山依旧在，几度夕阳红。            
(4星)	 我喜歡曹操啊！            
(4星)	 爸真是太喜欢这个东西了。            
(4星)	 小时候~~~            
(5星)	 嗷嗷嗷！我才發現王扶林是導演！看來我該去買套碟來重溫了！            
(5星)	 没有神一般的队友，只有屎一般的对手。            
(5星)	 青山依旧在，几度夕阳红            
(5星)	 那个时候的人们看起来多帅啊...一个二个俊的哟。            
(5星)	 童年和爸爸一起度过的那些日子            
(NA)	 滚滚长江东逝氺            
(5星)	 当年觉得好好看，那时我还读小学呢             
(5星)	 滚滚长江东逝水，浪花淘尽英雄啊。真是书经典，剧也经典。            
(5星)	 四星半，如果说有什么瑕疵，1.战争场面有点假，这算是那个年代的通病；2.唐版诸葛不够满意；3.换演员这个问题比较讨厌~~~除此三点之外在我看来近乎完美啊，加上配乐部分也极赞            
(5星)	 以前做的细致多了            
(4星)	 找机会再看一遍            
(5星)	 唐国强的诸葛亮很神~这部各方面都很经典貌似很难超越了。            
(5星)	 能有孔明这样的老公，死了也可以            
(NA)	 2010-11-27            
(5星)	 还是这部好看            
(3星)	 回忆起来算是不错了，还记得看到貂蝉时候惊艳的样子。            
(5星)	 鲍国安最经典。很难喜欢唐国强~            
(5星)	 滚滚长江东逝水，浪花淘尽英雄。 　　是非成败转头空，青山依旧在，几度夕阳红。 　　白发渔樵江渚上，惯看秋月春风。 　　一壶浊酒喜相逢，古今多少事，都付笑谈中。            
(5星)	 这部电视剧尊崇原著，内容上的放缩也较为适度，台词也很有文艺气场            
(4星)	 好看            
(5星)	 断断续续看了四个多月            
(5星)	 配上易老师的讲解和原版的古书，三者结合着看，哇，那意境就是精彩到让人吐血。嘛，这段历史超级有深度。            
(5星)	 为了鲍国安也要打个满分            
(4星)	 难以超越            
(5星)	 我是真记不得什么了，就是觉得那些人说话好拗口啊……            
(5星)	 虽然简陋但是大气典雅的气场怎都遮盖不住 所谓粗服乱头不掩国色是也 很喜欢樊志起先生的姜伯约呀            
(NA)	 不懂            
(5星)	 童年啊童年~            
(5星)	 浪花淘尽英雄            
(4星)	 经典是用来学习的，而不是用来超越的。各大所谓名导，你们能否明白？            
(5星)	 好            
(4星)	 砍头是我童年的阴影之一，于是乎幼小的我认定这部剧太暴力了            
(4星)	 严重左倾            
(5星)	 态度决定一切            
(3星)	 我爱老男人，可我不爱老男人的“三国”。            
(5星)	 小学的时候暑假看的……看完电视剧不过瘾又看书，唉，好怀念……喜欢片头和片尾曲~~~话说真的很喜欢毛阿敏那段时间唱的歌啊！封神榜和三国演义，歌词真好~~~            
(5星)	 诸葛泽东and牛魔羽~            
(5星)	 永恒的经典  看了N遍 每一次都很震撼            
(5星)	 创造很多至今无法超越的经典。            
(5星)	 对待经典一定要孜孜不倦地赞扬。            
(4星)	 有股静            
(5星)	 我永远记得诸葛亮自庐内挑帘而出的那一瞬间,清瘦挺拔,傲然而立,眼神温润,笑容清澈.一眼即是万年.无论岁月如何变迁,他的诸葛亮是我整个少年时代最华丽与灿烂的梦想.            
(5星)	 全世界最好看的            
(NA)	 運籌帷幄好有魅力。            
(5星)	 要投明主！            
(5星)	 看了不下10遍            
(5星)	 就是冲着他们大段被原文，才看的。            
(5星)	 马上就看新版，我必须让老版的在我心中有不灭的记忆，要不然怕会砸墙！            
(4星)	 主题曲很赞！            
(NA)	 温习了一下。没意思没意思没意思。打打杀杀争那把龙椅的故事，我已经厌倦了。            
(5星)	 这就厉害了，小时候天天看的就是这啊。2010.06.01            
(5星)	 经典之作            
(5星)	 老版的战争场景稍微简单些，但是人物刻画很到位，演员明显比新版有底蕴多了            
(5星)	 估计以后的三国电视剧是很难超过这部了。。至少新三国是不可能了。            
(5星)	 不知道比新版好看了多少辈。            
(5星)	 大爱文言文            
(5星)	 比新的好看            
(5星)	 再看一遍            
(5星)	 历史。很写实。            
(4星)	 还是这个好            
(5星)	 伴我长大的电视剧，没什么好说的。老演员实力都很强劲，大爱            
(5星)	 所谓差距。            
(4星)	 关于物质匮乏但精神尚富裕的考验            
(5星)	 这部是经典，任何人都不能替代！特别喜欢唐国强的诸葛孔明            
(5星)	 这部片子就是让我觉得，赵云就该长那样，刘备就该长那样，曹操就该长那样。。。            
(5星)	 这永远也超越不了的经典。            
(5星)	 看到新三国 翻出来怀念一下……            
(4星)	 杨洪基演绎的主题曲忘不掉。唐国强版的诸葛亮印象很深深深！            
(4星)	 當時拍攝條件有限道具場景就不挑剔了，演員演技好的沒話說，就是太忠于書本有點不爽            
(5星)	 现在才发现好看            
(5星)	 神一样的存在。            
(NA)	 经典　很难被超越            
(5星)	 从未被提起 永远不忘记            
(NA)	 近段时间再看一遍            
(5星)	 经典哦！            
(5星)	 为了鲍国安老爷爷的五星            
(5星)	 绝对好看            
(4星)	 光是片头片尾就令人难忘..            
(4星)	 对曹操的刻画不够，对刘备的刻画太多            
(5星)	 经典中的经典            
(4星)	 都忘了！            
(4星)	 很棒的一部三国演义，今天看也不觉得落伍            
(4星)	 史诗巨作。            
(4星)	 子龙！            
(5星)	 好片，三国的风烟。总算又完完整整的看了一遍，总觉得蜀建国后就不那么好看了，再过了诸葛，就更没看头了；不管是天才还是忠士，遇到昏君都只有一个凄凉下场；诸多忠义之士，让人敬佩——10/20/2011            
(NA)	 鲍国安大萌！蒋恺大萌！！基本后来把有郭嘉的都下了，演义版真真太曹郭了太幸福了【捧脸】！！！ 哭典韦那边郭嘉的一个欠身永生难忘啊啊啊 还有第一版的荀彧，顾岚的形象其实挺喜欢，可是徐州那会儿令君大人毕竟也才三十几岁啊，扮相太老了&gt;&lt;【年龄穿越巨大其实是这版三国里颇常见问题==            
(4星)	 小学6年级时看的...那时还用专门的本子记下里面人物字什么 特别崇拜关云长...而小说 总是看到诸葛亮死后就不想再看.            
(3星)	 就是美怎么看，都觉得拍得挺好的。            
(4星)	 小时候看着也蛮有趣            
(5星)	 气势            
(NA)	 其实没什么印象了            
(5星)	 古今多少事，都付笑谈中。            
(5星)	 浪淘尽千古风流人物            
(2星)	 拍成了84个成语故事            
(5星)	 这个更没话说了，每次就听见那个片头曲，诶~~~~小时候真开心            
(5星)	 节奏虽慢，却是经典！            
(3星)	 补录            
(4星)	 四大名著中最喜欢的            
(4星)	 真好看            
(3星)	 兴趣不大            
(5星)	 评价一星的那些人是干嘛的            
(5星)	 怀念1994的每个夜晚            
(5星)	 经典中的经典啊！！！            
(5星)	 是非成败转头空，青山依旧在，几度夕阳红。            
(4星)	 8/10            
(5星)	 那时的确被震撼            
(5星)	 一回家就看CCTV跟那儿放，想不看都不行- -            
(5星)	 原来看是那么经典，现在再看，感觉拍的很糙。。。            
(5星)	 小学二年级时《三国演义》首播。那时我会唱它所有的片头片尾曲，并且以为罗贯中是个编剧。（囧）            
(NA)	 经典            
(5星)	 经典            
(5星)	 我喜欢周瑜。            
(4星)	 是非成敗轉頭空，江上依舊在，幾度夕陽紅，白髮漁樵江渚上，慣看秋月春風，幾壺濁酒喜相逢，古今多少事，都付笑談中            
(5星)	 喜欢看前半部，不喜欢看后半部。喜欢鲍国安和那个时候的唐国强。唐国强现在堕落了啊            
(4星)	 是非成败转头空            
(4星)	 独服司马懿            
(4星)	 虽然受到当时客观条件限制，但总体水平还是很难超越的            
(5星)	 滚滚长江东逝水，浪花淘尽英雄            
(3星)	 1995            
(5星)	 喜欢吕布叫张飞环眼贼，哈            
(5星)	 大爱三国            
(5星)	 看三国落泪 替古人担忧            
(NA)	 望一口气看完这80集...            
(NA)	 OST还成            
(5星)	 丞相.........            
(5星)	 小时候心中的圣经            
(4星)	 童年的美好回忆。            
(5星)	 看了吴宇森的《赤壁》，翻了史料，恍然大悟被俺视此片为经典历史的教科书误导了不少真相，特别是被金城武的诸葛亮颠覆后，不然仍会以为他出山时就已经这么老了……            
(4星)	 是R级            
(5星)	 小时候看的 今天无意看到 为豆瓣凑个数。。。            
(4星)	 应该是看过吧不怎么有印象了            
(5星)	 看过很多遍，啦啦啦            
(3星)	 小时候看完全看不懂，少不看水浒，老不看三国唉...            
(5星)	 英雄之志            
(5星)	 新版的演员和这个比差太远了。。。            
(5星)	 经典！            
(5星)	 唐国强好~            
(5星)	 “每天2集，看完睡觉”            
(5星)	 现在看来那种制作实在让人乍舌            
(5星)	 ……这里面诸葛亮最帅。恩。            
(5星)	 怀旧片+……不我想说其实直到现在我还觉得军师就应该完全是这样的没错！……T T            
(5星)	 不可超越            
(5星)	 滚滚长江东逝水，浪花淘尽英雄。            
(5星)	 怎能不经典！！！！            
(3星)	 片首曲与片尾曲都很棒。            
(4星)	 三国再翻拍也拍不出这样的效果来了。            
(5星)	 因为看了这个，开启了我的历史生涯~            
(5星)	 最喜欢赵云            
(5星)	 名著拍的最好的一部            
(5星)	 这个，不可不看。            
(5星)	 好好看，很搞笑。那些名不经见的跑龙套的眼神，脸部表情，姿势忽然的一个镜头都好有趣！            
(5星)	 经典啊！            
(4星)	 从选角到造型到故事到制作都很棒，不知为啥现在又要翻拍，而且弄一“偶像”阵容－＝            
(4星)	 将智谋、阴谋、奸诈、忠贞演绎到了极致            
(5星)	 标志性的历史名著剧            
(4星)	 大江东去，浪淘尽。等有空的时候，把三国演义挖出来看看。羽扇纶巾，谈笑中，樯橹灰飞烟灭。            
(4星)	 牛            
(4星)	 对不起党和人民，三国的故事看了又忘            
(5星)	 第一印象很重要，此片基本把三国人物形象定型了            
(5星)	 很好看啊。只是那些演員基本上都不見了。            
(5星)	 史剧，更是一部感人肺腑的讲座            
(3星)	 曹操要是再聪明点或者再傻点也不至于输的那么惨，刘备除了有个身份一无用处，还是诸葛亮牛            
(5星)	 四大名著中我的最爱，百看不厌，人家当年拍电视剧是什么认真精神。            
(5星)	 经典            
(4星)	 第N次重看            
(5星)	 经典就是经典            
(4星)	 有点拖沓 但整体看很经典 每次看电视翻到它都有感觉            
(5星)	 经典名著改编，忠于原著            
(5星)	 诸葛亮帅啊~！！            
(NA)	 四大名著 谁没看过？            
(4星)	 期待新版三国~            
(5星)	 牛逼.            
(4星)	 这才是经典            
(5星)	 美好的童年啊。            
(5星)	 极其经典，好看            
(4星)	 这个唐国强版的诸葛亮深入我心。            
(1星)	 表演失败的典型，演员大都用力过猛（如周瑜、吕布），宛如话剧            
(NA)	 伟大的唐国强            
(5星)	 唐国强版的诸葛亮无法超越 无愧为三国第一人物            
(5星)	 已经不知看过几遍了，新版的在拍的三国演义是垃圾            
(4星)	 没人没看过吧。。            
(5星)	 没看过三国的书，看了这个~            
(NA)	 !            
(5星)	 想看很多遍!            
(5星)	 可谓至今最强casting            
(5星)	 角色选择很好……            
(5星)	 至少张飞不会写大字            
(5星)	 三国演义             
(NA)	 历史剧中拍的最好的了。片头片尾曲都是格外的扣人心绪            
(NA)	 还记得当年春节晚会后的试播, 那时是多么的憧憬....            
(5星)	 很好啊            
(NA)	 丑丑的孔明            
(5星)	 值得看的好剧，虽有瑕疵不掩光芒            
(NA)	 细细玩味            
(5星)	 今天刚在Youtube上看到片头片尾曲，又想起当年的无知追捧。孩提只喜好故事情节，现在来看呢？            
(NA)	 忘光了            
(5星)	 经典            
(5星)	 超爱……            
(5星)	 会唱主题歌 其实中国不错的了            
(4星)	 断断续续            
(3星)	 喜欢杨洪基的声音，历史的感觉，喜欢此片的阵容和忠实原著，不错！            
(5星)	 貂蝉小乔——陈红何晴当年最美的时光。            
(4星)	 这个也不错            
(NA)	 滚滚长江昂东~逝~水~浪花淘袄尽~英应雄~            
(5星)	 只有中国能拍的出来            
(5星)	 黄忠出场 我哭之            
(5星)	 绝对的经典！！真希望有时间可以再看一遍            
(5星)	 两个字，悲凉！            
(NA)	 我很爱国~            
(5星)	 没的说            
(4星)	 看唐大叔最顺眼的一部            
(5星)	 看了又想看的东西             
(NA)	 不愧是经典，我认为最好的电视剧            
(5星)	 男人            
(5星)	 经典啊！！！！！！！！！            
(5星)	 过年看老头子们演电视，也很不错啊            
(3星)	 可以当科教片看。            
(4星)	 看了这个才想去看原著            
(5星)	 用现在的角度来看，这个片子的场面还是差不少啊，但是总有历史局限性嘛。            
(NA)	 童年的最爱啊            
(5星)	 看过最多遍的国产电视剧，当然它也是最好的。            
(NA)	 还记得和我姐看完用麻将垒石头阵呢            
(5星)	 看了新的 更知道老版有多好 文戏动人 服装布景有考据 文化感强            
(4星)	 文言对白 很好很强大            
(5星)	 经典！            
(3星)	 本来电视很好，可惜不喜欢这部书。            
(5星)	 我最爱的诸葛孔明！            
(4星)	 家里，初中            
(5星)	 爱三国 自然爱这部《三国演义》。            
(NA)	 非常不错，从小就喜欢看            
(5星)	 一直幻想自己生在那个年代 成为盖世英雄            
(4星)	 女儿家家,看三国            
(5星)	 三国演义            
(3星)	 帅哥们的虐心片。。。            
(4星)	 场面还不够宏大            
(5星)	 四大名著选演员选得都太牛了            
(5星)	 公瑾呀，就是帅            
(4星)	 电视剧比想象的拍得好--其实我没啥评价权，没看几集            
(5星)	 三国，足矣            
(NA)	 w            
(NA)	 迄今为止  无法超越            
(5星)	 最爱最爱的三国            
(NA)	 三国演义            
(5星)	 经典的最佳诠释            
(5星)	 话说天下大势：合久必分，分久必合！            
(4星)	 对于我这个历史盲来说，看电视剧是自我充实的不错选择            
(5星)	 值得收藏            
(5星)	 非常经典的大剧。            
(4星)	 个人觉得四大名著电视剧中拍的最好的            
(5星)	 滚滚长江东逝水，浪花淘尽英雄！            
(4星)	 8.3            
(5星)	 那时候特别迷诸葛亮，觉得他死了，后面的就没啥看头了，事实上最后也确实处理的比较粗糙，不如前面            
(5星)	 真心不错            
(5星)	 经典，不知看了多少遍            
(5星)	 另一部经典的名著改编，只是里面的武打设计的一般点，但演员选的很合适，后来再看新三国里面的演员总让人感觉别扭。            
(5星)	 人物造型太高名，演员选的好。以前的四大名著电视剧都是如此出色            
(5星)	 谁能告诉我，为毛四大名著翻拍之后就都成了Gay片= =...？            
(4星)	 记得那会儿是小学三年级，天天晚上8点半，跟着爷爷一起看三国演义，那会儿的冬天，好冷。            
(4星)	 毕竟是名著            
(5星)	 当年我这毛孩儿还总替古人担忧呢！            
(5星)	 从兴到亡，英雄皆被浪淘尽。顺便感慨一下那时的演员真敬业，基本功扎实，言语、衣着也都不像现在流行的古装戏那样时尚得几乎黑色幽默。            
(3星)	 很推荐没看过书的朋友们看哦 比如我自己经典就是经典 斗智斗勇斗谋 合久必分 分久必合            
(4星)	 少的一星 是为了那些误导我的箭 小时候就想 那些键射出去怎么都软绵绵的掉落了呢            
(5星)	 无论画面再优质多少倍，场面再宏大多少倍，特技再绚丽多少倍，也无法超过这样的经典，因为经典之所以经典是因为人物的经典，只有人物的经典才是永恒的            
(5星)	 还是老片看着有安全感。            
(5星)	 上大学以后才完整的看完。。            
(5星)	 连三国杀里的老丞相都是参考这一版的形象            
(5星)	 经典。三国演义是需要这么被发扬的，而不是被什么三国杀。            
(5星)	 还是说文言顺耳            
(5星)	 小时候，和我爷爷一起看过的。            
(5星)	 陈红的貂蝉！            
(5星)	 不能再经典了！            
(5星)	 鲍国安演的曹操，无人能及            
(5星)	 金庸知道央视要拍《笑傲江湖》时说，只要他们像拍三国那样拍，我就一元钱卖版权，后来版权确实是一元卖的，结果张纪中充分证明自己估计压根都不知道怎么拍电视剧，魂淡啊，金爷爷很悲伤啊。            
(5星)	 小时候的玩具~            
(5星)	 如果国产剧拿出去评奖 我觉得这个三国能拿最大的奖            
(NA)	 至今不爱三国，累累白骨，只为一人之雄心，一人之荣辱。            
(5星)	 已经堪称经典了吧            
(5星)	 经典得无以复加            
(5星)	 这部之后我成了诸葛先生的NC粉！            
(5星)	None
(3星)	 只记得主题曲            
(NA)	 小时候看过            
(NA)	 滚滚长江东逝水，浪花淘净英雄。厚重            
(5星)	 儿时经典。鲍国安的曹操从此奠定了曹操在我心目中的形象。            
(5星)	 好的电视剧取决于好的选角、剧本和导演，它全部做到了            
(5星)	 超爱唐蜀黍！！            
(3星)	 其实不感冒            
(5星)	 百看不厌            
(4星)	 还是老版本好。            
