http://movie.douban.com/subject/6008471/	醉后决定爱上你 醉後決定愛上你
(2星)	本来因为是文创剧而满怀期待，可没想到剧本狗血做作到这步田地！可惜了演技那么好的男女主。
(3星)	还不错的诶，不过就像你说的，如果我喜欢你，你也喜欢我，那不是太假了嘛？！所以偶像剧还是只能当偶像剧看吧。
(5星)	终于有台剧的感觉了 杨丞琳转型不错
(3星)	弃。。。觉得有点儿没劲儿了开始。。。
(3星)	烂尾的好厉害
(4星)	挺搞笑的电视剧，但是后面就一点都不想看下去了
(4星)	又感動到想哭。。。。
(2星)	3
(3星)	前几集还行，后头越来越无趣。“张孝全还是别演偶像剧了”。杨丞琳还是回到小美身边吧！
(4星)	綠葉卡司蠻強...
(2星)	我觉得同期的也是杨丞琳主演的阳光天使更好看 不知道为什么分数反而这个高很多多
(3星)	一开始蛮不错的，后面人物出现的太多，种种意外，就逐渐显露台湾偶像剧的诟病了。。还可以！
(5星)	里面的人都挺养眼的~
(4星)	挺好看的喜剧看完真轻松。张孝全是越看越有型。演员真是一个很特殊的行业，比如张孝全和梁朝伟这种私下沉默个性的人，却能演出让人爆笑的喜剧，反差真的很大。杨丞琳的短发挺好看的。不过确实是鼻孔真大。一种配角真的既温情又搞笑。美秀姐和钟欣凌都成偶像剧专业户了。可惜太拖沓了早点结束就经典了
(1星)	我每天被迫摄入大量有毒连续剧。
(4星)	喜欢片尾。
(3星)	张孝全真是太适合肉搏床戏！他脱就是招人看，真没办法！至于剧情，我真不晓得都演些什么。
(3星)	感觉淡淡的，不浓烈，很多情节也没能记住，只能记得杨丞琳不错的发型= =
(3星)	friend王喜欢的剧，和妈咪傻傻的一起看完。就是在讲“不是我的东西，抢来必遭报应”的道理。杨丞琳演啊演的，也不容易。混血儿真心好看。
(NA)	孝全丞琳两位好戏之人~~~
(3星)	到后面就俗烂了，干嘛不见好就收呢！
(5星)	看過兩遍  很感人  看丞琳演的劇就很容易跟著一起哭  本來就愛丞琳  演技也越來越好了  比起前幾年的惡魔在身邊  笑花之類的偶像劇  台灣的偶像劇現在越來越偏成熟了  我也比較喜歡這種  不知道是不是跟年齡的成長有關  看了這部劇也很喜歡張孝全  他屬於那種兩眼帥哥  越看越有味道
(3星)	压力大就想看偶像剧解压- -
(4星)	杨丞琳总算是正常一回了
(3星)	那些失恋大过天的日子，很傻很天真，但也美好。那些不能陪你走下去的，就把它留在原地就好。然后，大步向前。
(NA)	long time没有被台湾偶像剧洗礼一下了，偶尔的重温表示这种玩意儿真的是种毒毒毒药！！！
(3星)	 张孝全在这里面还有点帅，最后几集越来越雷人。。
(3星)	又是一部看到后来看不下去的剧
(4星)	甜蜜零剧情
(4星)	怎么觉得samantha长的好像金三顺嘞~
(3星)	四颗星星都是给张孝全的。如果演到后来张孝全露点了，立马改成五颗星！！！！
(3星)	花了两天时间看完了。桥段虽然不新，但是在片荒时期，也还算解渴了。其实，才发现杨丞琳已经很努力了，但是演技感觉还是比较生硬呀。以翔的表情不是皱眉，就是耍酷，不得不提一下里面宋太太的妹妹，就是那个钢琴女，她的表演还是很不错的，尤其是如果演坏女人，绝对高水准。PS：张孝全的身材还蛮赞的
(5星)	特好看2012-1-28
(5星)	花了二天时间看完了闺蜜推荐的这部片子，心情很是愉快，好片子往往是可遇不可求的，没有错过又一部让我想要一口气看完的片子真的是要好好谢谢她啦，让我这个新年长假不至于那么无聊。还想说的是又一部杨丞琳的好片子，与张孝全搭戏也很配的。
(4星)	帅的~~
(5星)	不能陪你走下去的人就把他留在原地吧
(5星)	就是后面几集有点小败笔 不过这大笔的制作不是白费的呀 Rainie的转型也宣告成功
(4星)	依然惯有的陈铭章风格
(3星)	张孝全的身材太给力了
(2星)	烂啊，烂啊
(4星)	偶像剧嘛，不怕剧情白痴，欢乐就好！只想说，张孝全太有型了！荷尔蒙扑面而来，顺带着都不那么讨厌杨丞琳了
(4星)	给八分吧，主角配角都不错，没啥不满意的
(3星)	大奶夫人是亮点
(4星)	杨丞琳你hold住姐上身哦
(2星)	對張孝全的印象停留在盛夏光年不過現在意識到這樣的行為是錯誤的/(ㄒoㄒ)/~~
(2星)	这种风格的台剧我都不喜欢
(3星)	多一颗星给张孝全
(4星)	出乎意料的好看。是我到目前为止看得最舒服的偶像剧。就是很舒服很想看下去。剧情有些狗血桥段但是无伤大雅。从昨晚8点看到今早2点算是基本上看完了~
(4星)	我也想去剪个短发，剪断牵挂
(5星)	想要跟你一起走到最后 但我遗失了地图。Lzq
(4星)	杨丞琳最近越来越厉害了！越来越会演了！这片里的张孝全也很不错！
(4星)	难得看到张孝全演如此开朗的角色 早在04年的极速传说里头杨丞琳和张孝全就演一对兄妹 过去这么多年 两人再度合作 杨丞琳成熟了好多 张孝全变得更猛了XD
(4星)	满有爱的电视剧，虽然很泡沫，但不管怎么样，台剧最后的结局大多数都是美好的
(4星)	有时候很乐
(4星)	因为这个 不讨厌她了
(4星)	张孝泉是亮点。。
(3星)	最后大结局那一集。。咳。。非常无聊
(2星)	這尼瑪太拖戲了
(5星)	真的，真是太好看了，孝全太帅了，我爱你
(NA)	- -我怎么这么无聊。花了一天看了一部这个。。。
(5星)	让我对杨丞琳改观 越来越觉得张孝全可爱
(5星)	楊丞琳太會演了。。。。唯一的缺點就是聲音是現場採集的。。。雜音處理的不好，臺劇通病啊。。。其他很完美啊
(NA)	才发现张孝全还挺可爱啊  
(3星)	杨丞琳总算不再装可爱，不过依旧没有演技，张孝全可以再白痴一点！就这种片子也可以称之为大制作么
(NA)	张孝全。
(2星)	剛好近期看完兩個台灣偶像劇, 一個是醉後決定愛上你, 一個是我可能不會愛上你, 醉後是套用了台劇該有的規則與條件, 但說穿了和現實生活太遠, 看戲也只是看戲, 但我可能卻刻劃深入, 貼切真實以外, 完全說到觀眾insight, 戲劇就不只是戲劇, 還引導觀眾更多思考
(5星)	被张孝全秒了！我看了他那么多电影！怎么今天才被秒啊！
(4星)	为嘛就觉得张孝全不适合扮痴情汉
(4星)	笑料还是狠足的。无聊打发时间是绝对够了。
(3星)	尼妈，我是有多无趣，！！！
(3星)	有点抄袭宿醉啊，只是把它拍成了偶像剧。我喜欢那句话“以后不管谁先放开谁的手或是谁留在原地，我们都要不要脸的拉住对方的手，我要以后我们的爱情里没有尊严只有相守一生的执着。”
(3星)	还是有一点过啦
