http://movie.douban.com/subject/3041557/	真情告别
(3星)	 喜欢主题曲 可就是没下载的            
(4星)	 胡美丽真的喜欢过女人么？            
(3星)	 他俩的确很配  可惜一直不红            
(3星)	 爸爸妈妈上班了偷偷看的=..=            
(3星)	 印象中有保剑锋的影子            
(NA)	 4            
(3星)	   还行啊~~就是里面那个女编辑太瞎了~            
(1星)	 恶狠狠的来给差评。            
(3星)	 冲着胡兵和瞿颖去的。两人现实生活中好暧昧~~            
(3星)	 曾经很火的一对荧幕情侣            
(4星)	 挺好            
(2星)	 狗尾续貂...非常恶心了...            
(3星)	 可以看看            
(3星)	 小时候很喜欢看，现在想来原来是N部电视的山寨剧            
(NA)	 老妈看我也跟着看            
(3星)	 效果找当年的《真情告白》差多了，主要没了张世和张本渝让人心痛的爱情故事。            
(3星)	 回想当年，想想胡兵现在的死样，不禁感慨啊            
(4星)	 当时觉得挺好看的            
(3星)	 是有孔林来着吧？            
(3星)	 属于我爱看电视的那个年代。。。。            
(3星)	 告白后就一定要看告别 结果结局好像是都结婚了            
(2星)	 除了加拿大雪山上的景色，这片还真没什么可看的。            
(5星)	 瞿颖太漂亮了里面            
(3星)	 胡兵身材真好            
(4星)	 当时很喜欢看~~            
(3星)	 记得很清楚的那个结尾            
(4星)	 当时真的觉得男女主角真配！            
(5星)	 这两人真是绝配  就是后面有点点小悲            
(4星)	 超喜欢            
(2星)	 只记得瞿颖那蹩脚的英语            
(2星)	 。。。续集不好续- -            
(4星)	 喜欢他们俩，还有那部真情告白。            
(3星)	 还是真情告白好看点            
(4星)	 看过两遍吧，蛮感动的..胡兵好型阿，杭州人么?好样的&gt;&lt;            
(2星)	 没得第一部好看            
(NA)	 两位模特啊~~~~~            
(3星)	 那个时候觉得胡兵会和瞿颖在一起            
(3星)	 明显没有真情告            
(2星)	 呃            
(5星)	 刚刚又看了一遍，很喜欢的一部大陆剧~            
(2星)	 没大差。            
(3星)	 喜欢周年进，虽然他不是什么好人。里面最后有点假，前面还不错的            
(1星)	 貌似是真情告白的续集，很糟，很多余。            
(NA)	 比第一部差远了            
(NA)	 还好啦            
(4星)	 以前觉得瞿颖胡兵很配啊            
(2星)	 依然没有第一部好看。充分印证的电视剧的续集都是为了赚钱一说。            
