http://movie.douban.com/subject/2271718/	通天干探 通天幹探
(NA)	 陈豪似某人            
(NA)	 2片            
(NA)	 越看越不好看            
(3星)	 虎头蛇尾            
(3星)	 陈豪好帅好帅吖            
(NA)	 晶晶噢。            
(3星)	 太不喜欢结局了。。。。            
(3星)	 还不错啊，难得天天追本港台……            
(3星)	 还凑合。。            
(4星)	 从第十集开始看的 本来还不错 却是烂尾剧 搞得我结局都没看完            
(4星)	 因为有喜欢的演员所以去看 一开始太精彩 结尾太不堪            
(3星)	 最近刚看完。。剧情和探案关系不大。。个人比较喜欢晶晶那个角色。。那个虽然长相有缺陷但是单纯善良的女孩子。。对她喜欢的男孩子是一门心思的好。。            
(3星)	 蒙嘉慧好帅~看完以后不喜欢陈豪了~            
(4星)	 挺不错            
(3星)	 中意港剧。            
(4星)	 瘋狂解決的            
(4星)	 刚刚看完....郁闷..没想到最后晶晶居然死了....不过总的来说..也挺好看的            
(3星)	 TVB 新剧，爱情，空即是色，色即是空，无畏奉献            
(NA)	 这个名字讲起来元彪应该是主角吧？&gt;_&lt;            
(3星)	  黎姿 沒看完。            
(2星)	 多么烂的片子啊，我竟然看完了            
(NA)	 靠。这是个什么狗屁结局。            
(3星)	 一半天使，一半魔鬼，亦正亦邪，不愧是视帝            
(3星)	 这部剧真不知道说什么好，最出彩的就是庄文希出场，KC把这个人物演的很到位            
(2星)	 剧情七零八落完全是四不像...主角毫不出彩情侣貌合神离...熬啊熬啊就为了看庄文希这个变态啦......好在变态得好好看...就是死得好惨......            
(2星)	 看完KC的戏份            
(4星)	 全剧唯一出彩的居然是庄文希这个大反派。。。杯了个具的陈豪。。。KC有颜有演技！！            
(4星)	 看完了，电视剧就是人生啊，其实也算HAPPY END，希望我也能如此，相信会的            
(4星)	 郑嘉颖只能演男2.。蒙嘉慧女2，男1女1实在强大            
(2星)	 前半段基本就是警探片的套路，到了什么黄小姐死亡后，剧情的狗血程度就一路飙升咯，一路快进到大结局，居然是用文字表述的。其中佛法的穿插是要让看客们一再感慨世事无常，人生苦短咯。就看个热闹咯。             
(NA)	 我从来都决定只看大舅剪辑版            
(1星)	 奉劝大家不要浪费宝贵时间。            
(3星)	 没等嘉颖出现就不爱了，不过打算有时间补完~为了嘉颖！！            
(NA)	 前十集还有得好看，结局让人很无语            
(3星)	 这部不是侦探片而是港产言情片，没几个案子，仅有的案子也没意思神神叨叨的，不过郑嘉颖的表现确实出彩，我以前是极不喜欢他的，现在很有改观。            
(3星)	 很一般的特异功能。            
(3星)	 其实都不错。。结尾太长太长太长             
(4星)	 我太爱看tvb破案剧了  这部还不错 主要有我喜欢的演员            
(NA)	 该死的不该死的都死了。编剧再狠点，最后那两个也是可以死的。            
(3星)	 黎姿扮丑还那么好看，真没天理            
(NA)	 郑嘉颖的表演可圈可点。            
(4星)	 结局不好            
(3星)	 我居然看完了            
(4星)	 结局令人失望。。。            
(1星)	 失败            
(3星)	 平淡            
(3星)	 剧情一般般反倒显得有些拖拉            
(NA)	 第一个案子很玄,还以为是玄幻片,后面的案子就越来越没意思,有点不知道所谓,有点烂尾,而且这里的黎姿一点出彩的地方都没有,演得非常不好            
(4星)	 不喜欢结局也~恩~喜欢元彪！！            
(3星)	 35            
(2星)	 烂死了，除了第一个案子，后面就跟“通天”这个词一点关系都没有了而且竟然主线是感情戏唯一精彩的是龙，晶晶和文希的夺命三角关系            
(2星)	 说实话，不是很好看，剧情一般...            
(3星)	 看不下去没看完            
(3星)	 （以前看的，纯添加……）            
(2星)	 剧情真不好            
(3星)	 结局挺遗憾的            
(3星)	 三星给的是郑嘉颖。            
(2星)	  不能接受的悲剧。。            
(4星)	 给四星还是给黎姿面子，剧本太烂了，不过演员阵容还不错。将就看了。娱乐一下。居然还是台庆剧。            
(3星)	 港剧的一特色啊，虎头蛇尾            
(NA)	 看完更喜欢陈豪了~            
(3星)	 后面的剧情有点太...黎姿在里面太傻了            
(3星)	 虎头蛇尾的经典之作很失望很失望            
(3星)	 一开始太诡异            
(NA)	 beautiful LZ            
(3星)	 晶晶死了，我就没再看，看完结局就停了。Jonglong的角色陈豪演的挺出彩。黎姿扮丑女没说服力，还是很漂亮。不过不理解为什么那么多人喜欢庄文希。            
(3星)	 前面觉得满老套的，后面陈豪的转变挺让人想不到的，还算ok吧            
(NA)	 只为看尖嘴猴腮的陈豪同学。            
(4星)	 黎姿最后死得好惨            
(3星)	 有点无聊            
(4星)	 很喜欢郑嘉颖，所以成了我无法看完的原因因为在戏中郑嘉颖有逐渐变成反面的趋势突然发现黎孜和陈豪这一对还蛮搭的            
(4星)	 该来的始终会来 预知也没用            
(5星)	 结局不好            
(NA)	 每天一集，闹心~~            
(4星)	 让我难忘的是从头龅牙到尾的黎姿。            
(2星)	 垃圾结局            
(4星)	 和古灵精谈差不多哦~~~ 不过 结局不好。。。：（            
(3星)	 不喜欢最主角，但是还是多好看的            
(4星)	 我就是喜欢郑嘉颖。            
(3星)	 没有看完，不过还是觉得不错            
(4星)	 人性是一面镜子，照别人，照自己。            
(NA)	 开始部分很玄，蛮被吸引的            
(2星)	 這個結局讓我很不能接受啊！            
(3星)	 确实是很帅．．．所以中途抛了片            
(NA)	 好不容易看完了真累~~唉！！            
(3星)	 一边放，一边睡．TVB是消磨时间的最好选择．            
(4星)	 基本看完啦~            
(5星)	 也是不错的TBV剧            
(3星)	 去年看的台庆剧~~一般            
(3星)	 陈豪、黎姿、郑嘉颖是目前最喜欢的TVB演员拉。            
(2星)	 女一居然死了...            
(4星)	 让我意想不到的结局..            
(NA)	 比较无稽的警匪剧，郑嘉颖帅得不行            
(NA)	 演员阵容强大，但是看后感觉一般            
(3星)	 可怜的晶晶啊，心爱的陈豪啊。。            
(4星)	 香港的警匪片就是不错！            
(2星)	 没看完，听说很烂也，美女都想扮丑。。            
(3星)	 刚就一个字            
(2星)	 看不懂黎姿为什么就那样挂了            
(3星)	 主角都要死，尤其是安排黎姿死，实在是想不通啊想不通。            
(3星)	 刚开始满好看，后面越来越不知所谓~            
(3星)	 故事有点拖沓。郑嘉颖好变态，居然系基佬！            
(5星)	 07最好的TVB剧集            
(4星)	 lizi居然死了，太意外了。            
(3星)	 请摆正黎姿的位置            
(3星)	 彪哥老了            
(NA)	 觉得最后几集很烦            
(3星)	 还是有点温度的            
(NA)	 放在你的blog里!简体中文名: 通天干探导演: 王心慰编剧: 王心慰主演: 邵美琪、陳豪、 / 黎姿、元彪、蒙嘉慧、 / 鄭嘉穎、高鈞賢上映年度: 2007集数: 35语言: 粤语制片国家/地区: 香港            
(3星)	 还行……但是看到后来我觉得很郁闷！            
(3星)	 还我晶晶...555            
(NA)	 喜欢虾饺和步姐            
(3星)	 货不对版，唔好看既！            
(NA)	 挂了            
(4星)	 莊！文！希！            
(3星)	 好像看过 没印象了。            
(2星)	 空有一副通灵的皮囊，王心蔚再次失算            
(4星)	 这次打分仅献给嘉颖哒！嘉颖反派角色的演技真无敌了！            
(3星)	 庄文希——郑嘉颖难以复制的巅峰！             
(NA)	 有些拖沓。            
(2星)	 刚开始用闹鬼巫蛊的噱头吸引我入内。结果发现完全是瞎折腾。黎姿到死都维持着蠢钝丑女的形象。我真是没办法接受啊！！！！            
(5星)	 最爱晶晶，没想到黎姿还能演这个类型，太可爱啦！第二喜欢文希，以前一直不喜欢郑嘉颖，就是看了这部剧才喜欢他的，虽然从上法庭开始他就变得很欠！唯一不喜欢陈豪演的角色就是晋龙，太招人烦了。YOYO也很好。还有小狗BaBa也很可爱            
(2星)	 BUG一堆……纯粹为了MO跟YO的插科打诨式冤家对手戏给的，真难以相信还是AMY姐导的台庆剧            
(5星)	 只看KC剪辑版的话，实乃神品，人形罂粟名不虚传。看后易三观不正，慎重慎重。            
(3星)	 有几集真的差点看睡着了             
(3星)	 忘了，重温，豪哥的角色很得意。            
(3星)	 太可怕啦！！这剧情！！            
(3星)	 冲着那个人见人爱车见车载的妖孽去的，不得不说王心慰你真牛。在TVB，香港的法律的确很像戴美斯，大神级的反派往往都是毁于天灾、人祸……例如当年的徐家立、张自力，还有庄文希！！别的不评论，我都没从头看到底，压根不知道谁是男女主剧情讲什么。            
(3星)	 原本以为黎姿在中间会有个华丽的变身，但还是戴着一副傻里傻气的眼睛，不过仍然挡不住美丽啊。。。最后有个因果轮回宗教的感觉呢。郑嘉颖穿着毛衣加衬衫的气质简直迷死人了，坏人都这么有型，死的时候还觉得很可惜呢，坏的太温润优雅了！！            
(3星)	 三颗星给庄二少            
(2星)	 一星给漂亮的黎姿 一星给绝望的庄文希 越是黑暗越是向往光明 如果成为不了光明 就把光明拉进黑暗             
(3星)	 不知所云~~            
(3星)	 只为庄文希而看！食人花魁真美！            
(3星)	 还是一部NC剧（你够了……），跳着看完Aaren的部分。Aaren果断美啊！TOT            
(3星)	 一般            
(4星)	 郑嘉颖的个人秀            
(4星)	 我就是冲郑帅哥去看的！！只看了郑帅哥的那几集 24集开始 欧 郑帅哥原来在剧里演gay。。。还是个坏人！。。。不过郑帅哥还是好帅 真心看不出你已经36了哦~~~╮(╯▽╰)╭            
(4星)	 好吧我们家晶晶shi的太早了TAT            
(2星)	 不要因为有点心灵感应就成通天了啊，好好的一段爱情，非要安排跌宕起伏，最终还是陈豪还是跟着蒙嘉慧了，那一开始何必让黎姿演SB呢，明明是2个类型的女人，陈豪的角色居然还如此深爱她们，像话伐？好好的一个理智的男人，就因为死了个女友变得不可理喻，如果深情，为嘛搞大madam的肚子呢！            
(3星)	 因为郑嘉颖才翻出来看的一部剧，郑嘉颖适合这个角色，可惜剧本没有把这个角色写透            
(2星)	 好吧。。。。亮点只有郑嘉颖演的那个反派，而且只有黑化的时候，有亮点=  =其实也不是那么亮，但是这部戏真是太难看了~！黎姿，我第一次看戏很想黑她。以前都觉得她很漂亮。。。擦            
(3星)	 只看KC的部分            
(3星)	 开头不错，传统的烂尾剧！            
(5星)	 最爱郑嘉颖 嗯 ！！！            
(3星)	 只是为了看黎姿，但看了前面就不想看了。            
(3星)	 前面神叨叨的后面还好            
(3星)	 姥爷爱看警匪片。            
(3星)	 - -这部片最挫的就是晶晶这个角色了。莫名其妙的傻大姐嘛。还有火sir不是有病就是有病了。虎头蛇尾的。（其实很久以前看的了。记住的就这些，咩哈哈哈哈）            
(4星)	 还行吧，有元彪才看得            
(1星)	 垃圾            
(3星)	 帅的坏啊            
(3星)	 蒙嘉慧 唐诗咏！ 黎姿死后 根本没法看 陈豪像疯了一样            
(2星)	 made全是谈情说爱            
(3星)	 不喜欢陈豪 不喜欢黎姿            
(3星)	 还没看到嘉颖的戏份            
(NA)	 1~13            
(4星)	 善恶确实在一念之间，当你意识到一个人是坏人的时候，TA做什么你都觉得是坏的，你的意识支配你的行为，然后你做的也会是坏事。火sir就是片名中的通天干探，从一棵树到炭到土并不断循环，滋润着众生，这样的人也有过心魔作怪，可见人就是一种很复杂的动物。五蕴皆空，一切只在乎你自己的看法。。。            
(2星)	 黎姿的角色死了后 我就没看下去了            
(3星)	 果然，这TM是什么结尾啊！乱七八糟！            
(5星)	 第一次觉得陈豪是很帅的~~~~有的~            
(3星)	 真心萌MO那小碎步……不过此片看的是“自我剪辑版”            
(3星)	 晶晶死得很突然，我还以为是假死呢。。。结果就再也没出来了。            
(3星)	 有点无空            
(3星)	 KC斯文变态的样子有萌到            
(3星)	 为什么晶晶死了，接受不了            
(4星)	 中空了。最后一集最后的话还是不错的 有启发            
(2星)	 果然对女主好的非男主都不是好人...但庄文希果然亮了            
(3星)	 有点虎头蛇尾            
(4星)	 结局挺悲哀            
(3星)	 庄文希和韦晋龙人物都很有戏剧性. 陈豪给KC的一铁棍 这就是人性.            
(3星)	 跟着同学看的，从27集吧，一口气看完，看个半懂吧，不是很吸引人吧。            
(3星)	 韦晋龙：“我知道我之前的确冷落了你，但是我也想你知道，我们当警察的就是这个样子，可能经常我就会突然走了，可能我没太多的时间陪你，所以，你要做我女朋友的话，你就要忍，你能忍哦？”曾经的曾经 我也想要一个警察男朋友            
(3星)	 很强大的阵容，但是并不好看！            
(4星)	 我觉的好不错·······元彪身材不错···你看当年的五小虎···那个洪金宝走样的夸张            
(5星)	 初识蒙嘉慧，哈灵            
(2星)	 絕對的爛尾劇。播一半女主就掛掉，為蒙嘉慧讓位吧…話說前四集絕對精彩，陳豪的表現令人稱讚！            
(3星)	 前半部分其实还不错，就是有点烂尾！            
(4星)	 开始有些画面有点渗人……            
(2星)	 看到第一个案子　还不错   后面的那是什么乱七八糟啊　无语了            
(4星)	 这种破案片很适合打发时间和排解无聊 环环紧扣 步步追跟 一会时间人就投入剧情了 时间也被消磨过去了             
(4星)	 冬阴功的泰语。。少林寺的武僧。。杯具的结局            
(3星)	 很久之前看的了，情节都想不起来了，可见内容是一般的            
(NA)	 当年的小子元彪成熟了            
(NA)	 哎，不懂這部電視劇啊            
(3星)	 郑嘉颖郑嘉颖郑嘉颖~~            
(4星)	 郑嘉颖……            
(4星)	 其实我没有看最后三集~~~~因为郑生挂了~~汗            
(3星)	 大概黎姿上手特丑，导致后面真的很美。从来不会觉得郑嘉颖帅，每次都很有办法雷到我。这次也不例外。该片虎头蛇尾，鉴定完毕。            
(3星)	 大爱陈豪~~~~            
(3星)	 看完很久了，不明白编剧为啥要黎姿死掉，结局真是烂到家！本来蛮好的一部剧，被编剧毁啦！（昨天一口气看了6集。许久不看港剧了，开头还是蛮紧凑的，阿Mo和Gigi的感情戏也看的我纠结万分....也许是有些感同身受吧....而且结局不太好...唉）            
(3星)	 很好看            
(2星)	 这剧一路听到最后，直到庄文希的惊艳出现。天知道我本意是想看陈豪X黎姿的BG戏，最后被晶晶雷到五体投地。整个剧太多槽点，结局更是烂到极致。            
(2星)	 完全偏离TVB惯用套路，结局太狗血了。入狱后的陈豪还谈起了佛理，出狱后他们的故事还成了传奇故事，太雷人了。            
(3星)	 案子很一般啦            
(NA)	 在红勘得这些日子,都会跟老叶肥羊12点观看            
(2星)	 黎姿在里面的角色啊。。。。            
(4星)	 前面还是不错的，后面从晶晶死了之后简直就乱七八糟            
(2星)	 MO最后一次精彩演出            
(4星)	 为了黎姿看，为了黎姿给4星             
(3星)	 钟意陈豪~            
(3星)	 印象不深刻            
(3星)	 佛偈很郁闷~~~            
(3星)	 看。            
(3星)	 一开始还行，到后面完全不用演这么多，越看越没意思            
(4星)	 陈豪穿西装好帅滴~            
(4星)	 除了有几集很拖拉之外没什么不好的            
(3星)	 刚开始挺悬疑的，到最后也没有解释为什么元彪会有特异功能，我很费解，一直期待黎姿在里面变漂亮，结果也没变。。。。            
(3星)	 半路杀出个郑嘉颖，抢了不少风头            
(NA)	 弃剧。            
(NA)	 虎头蛇尾            
(4星)	 我记得我看过            
(2星)	 看到最后看不下去了。。不好看。。            
(4星)	 大坏蛋郑嘉颖真是太帅了            
(NA)	 实在看不下去            
(4星)	 很少见的元彪出现了，不知道为什么，我也很萌他。            
(NA)	 纯恐怖片儿！            
(1星)	 请了个元彪做噱头，里面的情节莫名其妙，现在的TVB破案剧大不如前了，靠灵异鬼怪来做亮点……走到末路了~            
(5星)	 黎姿啊！超爱爱爱黎姿。            
(4星)	 中间有点太平淡，结局很感动，给个推荐吧            
(4星)	 開頭像恐怖片。。。            
(3星)	 陈豪，拼命三郎            
(3星)	 就看了个开头和结局             
(5星)	 为什么给了五星 纯粹是因为momo和Gigi吧 看TVB的探侦剧（ms也不是）很少有哭成这样的 晶晶死的时候 我也和晋龙一起崩溃了 从此恨上了郑嘉颖（也没有啦）为什么 要这么残忍的拆散他们俩！！这部剧真的不够精彩 但我真的好喜欢晶晶和晋龙            
(NA)	 郑嘉颖还没出现~PS:看过一段时间了 现在居然已经忘记了 放什么的，，连郑嘉颖是好人还是坏人都不记得            
(4星)	 人真的不能太执着，会蒙蔽了自己的双眼            
(1星)	 TVB在拍点什么东西。            
(4星)	 蛮好看的！            
(4星)	 黎姿可爱的形象            
(5星)	 陈豪为什么 会火。。            
(NA)	 即使预感到自己会被枪击到，但是阿火还是义无反顾地想要阻止阿龙，境界！            
(3星)	 有点拿阵容骗人            
(3星)	 结局太恶心了额，不然就四星            
(4星)	 我从这部开始爱郑嘉颖            
(4星)	 虽然中间部分有些偏离“通天”的主题，但结尾又找回来了。从整体看还是不错的。            
(3星)	 后面乱来的。。。            
(3星)	 嗯，我喜欢陈豪和元彪不过这个电视剧的编剧实在是太峰回路转了，郑嘉颖的忽然变坏实在是不可思议            
(4星)	 其实还好，johnlong的性格很真实。大概很多人习惯了主角的性格比较完美的剧情了，反而看不惯这种有着真实弱点的主角。陈豪的表演很好，看得出来很用心            
(2星)	 实验室看的            
(2星)	 后面觉得非常非常烂！            
(4星)	 陈豪在剧里的扮相不错，剧情已经没印象了            
(2星)	 虎头蛇尾的警匪片，浪费了那么强大的演员阵容。            
(NA)	 回归TVB 突然亲切起来 可是狗血的编剧狗血的结局 唉…不过陈豪演技依然很棒            
(2星)	 不记得了            
(2星)	 片子内容和片名一点都不搭，就看第一个案子吧，后面全是拖沓纷杂的感情戏，剧情也是东一块西一块的，大结局更是郁闷之极。想找不痛快就看这个片子吧。            
(3星)	 陈豪还是蛮帅的，结尾太佛理了，有点牵强~            
(4星)	 黎姿死的太莫名其妙            
(4星)	 在这部戏里知道了郑嘉颖。。进一步验证了gay的魅力啊   但感觉他后来演的戏没有什么出彩的地方了            
(NA)	 看过却没什么大印象了。。黎姿扮演的女主角最后是不是被杀害了啊？            
(3星)	 狗血狗血狗血！！！            
(3星)	 本来20集的故事非要拍30多集，狗尾续貂            
(2星)	 总感觉前后不是同一个编剧同一个导演  突然转变风格的感觉  前半段真的很赞  后面很冷  我以为黎姿同学是女主的  谁知是蒙嘉慧  不爽            
(4星)	 喜欢黎姿，但是没敢看完，害怕伤心。            
(3星)	 觉得一般吧，因为最后的情节处理的有些过了            
(1星)	 莫名其妙的剧            
(5星)	 纪念剧！庄文希太强大            
(4星)	 没想到郑嘉颖在这个电视剧中是最帅的呢~            
(3星)	 坏人没有全部绳之于法.....不爽！            
(3星)	 虎头蛇尾            
(NA)	 看来之后很失望，本来还以为会有很精彩的破案......            
(3星)	 为了陈豪才看的~~~~~~~~~~~            
(NA)	 记得陈豪 黎姿            
(NA)	 一般            
(4星)	 结局不太好啊。。。还是喜欢俗一点的结局阿~~            
(3星)	 冲着黎姿=^=            
(NA)	 唐诗咏 我喜欢她            
(3星)	 结局太失望            
(NA)	 看的是KC剪辑版&gt;&lt;~~~            
(NA)	 哦哟。。我家小郑帅是帅的嘞~~~~~            
(2星)	 看到一半就被裹脚布的剧情弄得看不下去了案件的剧情太扯，改编日本推理漫画+奇幻            
(5星)	 这部片子在看去年年初的预告片时就非常期待，最后出来的片子还算比较好看，没有让我失望。            
(4星)	 这片一直没看完……            
(3星)	 很奇怪的一部片子            
(4星)	 YoYo！做男人背后的女人很累吧。。。            
(3星)	 开头和结尾都很ORZ，这我都能看完了。。。            
(NA)	 不知所云            
(2星)	 又是那种开篇很正，结尾很烂的港剧            
(4星)	 陈豪和黎姿是绝配~            
(NA)	 开头拍得很不错            
(NA)	 黎姿傻了点 作孽了点            
(3星)	 神神叨叨的片子            
(5星)	 我的陈阿毛~            
(4星)	 精彩的部分在后半部，虽然这个时候已经严重偏题了            
(3星)	 只为了前半部分给了两星，为了黎姿加一颗星            
(3星)	 可怜的黎姿~喜欢郑嘉颖啊~            
(3星)	 mei。。乱七八糟！            
(3星)	 郑嘉颖够奸，加多一颗星            
(5星)	 纠结啊~~觉得法律的漏洞真的让人很无助啊~~            
(4星)	 一直不明白为什么要让黎姿丑着死去..            
(3星)	 虎头蛇尾，陈豪最后和蒙嘉慧好上了不可原谅，编剧硬要让郑嘉颖变成坏人更是罪不可恕            
(NA)	 看不下去了            
(3星)	 本来期望蛮高，可惜这种结局我实在看不下去，没劲了...            
(3星)	 就是冲着GIGI看的，一般吧            
(2星)	 陈豪里面好丑啊，性格也不讨好，毁灭性角色。又很不怎么喜欢元彪和邵美琪，除了蒙嘉慧，好像都不正常            
(2星)	 这本应该是我最喜欢的TVB的警匪片。但是有点让我看不下去。。。有点混乱的感觉。。。            
(4星)	 晶晶死的真惨，喜欢郑演坏人～            
(3星)	 有种虎头蛇尾的感觉~结局比较雷人！但有陈豪必须看啊~            
(4星)	 陳豪的身材啊            
(4星)	 这是什么鬼电视啊！居然 把黎姿给演死了！            
(3星)	 看到15集啦。            
(2星)	 并不好看。            
(NA)	 男主角女儿的名字。。。。。。。            
(3星)	 不知道为什么，特别喜欢看黎姿被陈豪虐的那几集。。始终不能接受最后蒙嘉慧跟陈豪在一起。。            
(4星)	 结局傻逼了，前面还不错 这个还台庆捏 傻逼了。。。            
(3星)	 这部剧，改变了对黎姿的看法。            
(3星)	 后来想想，人物性格变化有点快了。不过总的来说，还好啦~~~            
(3星)	 黎姿和陈豪演情侣。。。但是最后黎姿死了，陈豪变了，有点小郁闷编剧。            
(4星)	 开头部分的陈豪实在太搞笑了，黎姿演得很棒，不过还是郑嘉颖最赞了。            
(NA)	 额    ``结尾我不喜欢            
(3星)	 被通天两字吸引的，到最后竟然案件不是最主要的。。。晶晶怎么就死了捏。。。            
(3星)	 维持            
(3星)	 just ok~            
(NA)	 为什么突然没什么记忆了呢！            
(3星)	 也是看过还可以的一部剧。。。            
(NA)	 郑嘉颖在里面好变态啊。。            
(4星)	 灵异事件有点吓人~~~            
(3星)	 噢 陈豪~            
(NA)	 如果你爱我，把第四集片尾的melody弹给我            
(3星)	 感觉还ok吧，很喜欢里面元彪说的那些佛理，挺有深意的～            
(3星)	 看不下去...            
(3星)	 变态的剧情，郁闷的结尾~            
(NA)	 喜欢mo和yoyo，kc印象深刻            
(3星)	 情节很松散，元彪怎么会突然跑到TVB来的很奇怪，一开始情节还蛮吸引人的，后来和之前的链接不上，到最后陈豪的复仇更是显得有点扭曲和变态，郑嘉颖又演了一个换人...            
(4星)	 喜欢郑嘉颖而已            
(3星)	 剧情一般            
(2星)	 没看下去 觉得不怎么样啊            
(NA)	 没有太大的意思不是很好看            
(3星)	 因为KC看的这部戏，可是觉得他在里面演的一般，而且还不是主角，实在很不喜欢黎姿在里面的角色，跟脸无关，那人我就不待见，反而蒙嘉慧的角色我挺喜欢            
(2星)	 结局太荒谬了！！            
(5星)	 因为黎姿，满心欢喜的看。熟知她的角色让我大汗颜= =#            
(5星)	 颠覆性的演出，还是帅到不行。            
(NA)	 姿姿扮丑都不丑，哈哈，心慈则貌美            
(3星)	 这本剧的开头蛮吸引人的，但是看下去之后，还是跟一般的破案的剧集差不多噢，不过还是看完了。            
(NA)	 破案的还不错的 ，就是里面的感情戏实在不敢恭维            
(3星)	 开头很吸引人            
(3星)	 前半部还好，后半部就不好看了            
(NA)	 结尾曲很不错 《赐我一死》            
(NA)	 很神奇~小黑介绍的            
(NA)	 郑嘉颖原来是个坏人，不过个人感觉，他也最多是误杀，至于这么一错再错吗？            
(3星)	 中间的感情线有点烦躁，想砸电脑--没有宣传说的那么玄啦            
(NA)	 黎姿首次挑战猪扒，不过她的猪扒还是很漂亮，哈哈。陈豪大哥在里面很威风啊，左拥右抱，忽然觉得头发少少的陈豪GG也可以很帅，嘿嘿。            
(4星)	 剛剛開始看有點像科幻片，一點不像tvb的風格。鍾愛的mo同gigi在裏頭終于有了大量的對手戯，gigi將晶晶這個角色詮釋的非常到位，值得一看~            
(NA)	 不喜欢结局            
(4星)	 总是不够精致。            
(3星)	 虎头蛇尾的发展情节            
(3星)	 结局不怎么样，黑白模糊            
(3星)	 剧情不错， 一口气看完了            
(NA)	 不错哦。            
(3星)	 赞黎姿，电视剧本身虎头蛇尾            
(NA)	 不错的片子，只是后面的发展很别扭            
(NA)	 虎头蛇尾            
(3星)	 无畏布施，通宵2天看完了            
(3星)	 开头引人入胜，结局草草，失望啊            
(5星)	 同样好劲，呢演员都好犀利，mo,gigi,yoyo。。。            
(5星)	 第1个案子就那么吸引人            
