http://movie.douban.com/subject/2761775/	真命小和尚
(4星)	 当时觉得很神奇的一部片，不过小男主角越长越恶心了。            
(4星)	 各种可爱~小时候看的            
(5星)	 合拍剧，小时候大爱            
(4星)	 铁桶师叔~~~曹骏现在太帅了吧            
(3星)	 童年记忆            
(NA)	 居然还有这个= =            
(4星)	 小时候还觉得挺好看的            
(3星)	 发现自己就是个电视儿童啊            
(3星)	 后来曹长大又翻拍了续集，真是糟糕。小时候多纯真，还记得一些片段和每集都插播的片断。            
(4星)	 我很喜欢真名小和尚            
(3星)	 我应该是看过的。。。            
(4星)	 小时候看的，那时候特崇拜开心，现在只记得有这么个人了，都忘了            
(3星)	 小时候看的。好喜欢。            
(5星)	 好喜欢    小时候的记忆啊            
(4星)	 小时候觉得不错。。。            
(4星)	 小时候的美好记忆··            
(NA)	 记得这就是我儿时的动画片，唉……            
(5星)	 童年！            
(3星)	 曹俊你小时候怎么这么萌呢            
(NA)	 那时候我才七岁呢……            
(4星)	 小时候的消遣，小和尚可爱的哩            
(4星)	 铁桶师叔~            
(4星)	 我应该是看过的            
(5星)	 我们宁波天一阁拍的            
(4星)	 小时候最喜欢看！！            
(4星)	 哇，这才叫老。还不错，~            
(4星)	 小时候的记忆，哈哈            
(3星)	 当年脚得妖精姐姐很漂亮……= =            
(4星)	 可真早啊。            
(5星)	 曹骏的片子里最喜欢这部            
(3星)	 张学友《微尘》            
(3星)	 咳，依稀记得是小学~~~            
(3星)	 那青蛇让我很长的一段时间有阴影。            
(5星)	 当时迷的不行。。            
(4星)	 还是比较喜欢小曹骏            
(3星)	 很恐怖            
(3星)	 天真活泼天真活泼~            
(5星)	 曹骏小时侯多可爱啊,越长越残啊!!!!!!!!            
(4星)	 只能说，长大的曹骏长残了……╮(╯▽╰)╭            
(2星)	 是新加坡的莫，小时候看着看着突然不喜欢了            
(2星)	 除了小正太曹骏，其余实在平平            
(5星)	 开心开心开心。            
(4星)	 童年。。            
(3星)	 以上种种，都是为了打标签》。            
(3星)	 ！            
(NA)	 超爱的~现在还在看            
(4星)	 好萌的曹俊            
(3星)	 五岁看的。            
(5星)	 这个一定要看滴            
(3星)	 看的有点沉闷、压抑，少年的事情了            
(NA)	 曹骏可帅可帅了~            
(5星)	 那时的曹俊多可爱～            
(5星)	 最后一集睡过头了，然而一直没看            
(4星)	 呵呵  看的时候太小了  只记得叫开心  很可爱            
(3星)	 這都多少年前了 居然還記得些許劇情            
(4星)	 童年的回忆。            
(3星)	 话说可爱的小和尚长大都长残了，哎~            
(4星)	 小时候谁不想要他那样的快乐，和武功。            
(3星)	 对了，这部也看过，我真是看过哈多乱七八糟的~~            
(4星)	 搞死了哈哈~~            
(3星)	 小和尚很俊俏。            
(5星)	 小时候看的电视剧都好看啊，现在都很少出经典的电视剧了            
(5星)	 情节很有意思，学友叔的歌也很不错的说。            
(3星)	 好可爱好可爱            
(NA)	 小时候看过的电视剧            
(5星)	 超喜欢曹骏。。从小就喜欢。。            
(4星)	 小时候暑假我没写作业……            
(NA)	 这个蛮怀念的啦。            
(3星)	 曹俊小时候还是很可爱滴~~~            
(3星)	 两个可爱，天真，很萌的小和尚。            
(4星)	 开心 ^_^            
(5星)	 太小的时候看的了，经典啊，曹俊小时候真可爱！            
(3星)	 不错 ···不知道现在的小和尚干什么去了            
(3星)	 又是一部饱含童年回忆的电视剧，很喜欢这样可爱的小孩，不过已经长大了            
(3星)	 好            
(5星)	 回忆，回忆一下            
(4星)	 小曹俊萌啊            
(4星)	 曹俊 好可爱。。            
(4星)	 儿时的电视剧，经典            
(4星)	 曹俊也长大了            
(3星)	 啊！            
(NA)	 来到河源看的第一部电视剧。经常和表哥一起看的..            
(4星)	 人皮面具假皇后用筷子剔牙 于是被小和尚发现了            
(NA)	 曹俊怎么就没有释小龙火呢            
(NA)	 铁桶师叔～            
(3星)	 无字天书- -            
(3星)	 当时的曹骏真是可爱            
(5星)	 小时候的最爱啊最爱~            
(4星)	 曹骏最可爱的一部戏            
(4星)	 那时的小曹多么美好啊~~            
(3星)	 以前觉得还可以            
(4星)	 好老，一并评了            
(4星)	 童年的记忆，那俩小孩儿可爱到要死~~            
(5星)	 当年的大爱呀，大爱            
(4星)	 当时是有多喜欢曹骏……可惜正太长残了。            
(5星)	 貌美的小曹骏啊~~美丽的回忆。老喜欢开心了~            
(3星)	 太爱这部电视剧的片尾曲了！特别震撼！因该是张学友唱的！            
(5星)	 太好看了，一堆小朋友搬着凳子在奶奶家看的。我想那时候了            
(3星)	 没啥印象了额            
(4星)	 很可爱            
(3星)	 老剧啊老剧，，，            
(5星)	 曹军小时候好可爱啊。            
(5星)	 我的童年            
(5星)	 我最爱的开心啊~！！            
(5星)	 上小学的时候看的，喜欢            
(4星)	 是有无字天书这种东西吧            
(4星)	 小时候就喜欢看这个   小学一放学  就奔回家  一个为了名侦探柯南  一个为了真名小和尚！            
(4星)	 当年觉得还不错            
(4星)	 小时候的曹骏多可爱啊            
(5星)	 小时候好喜欢            
(4星)	 很喜欢曹骏小时候啊            
(5星)	 好可爱~~            
(5星)	 很喜欢小时候的曹骏            
(4星)	 小时候觉得很好看 很曲折            
(3星)	 小学那会儿还挺爱看的。            
(3星)	 记得小和尚都可帅了。            
(3星)	 回忆            
(3星)	 喜欢当年和俺同龄的小和尚 囧            
(4星)	 这个还不错            
(NA)	 最喜欢那时候的曹骏了！~~            
(5星)	 欢乐            
(NA)	 我靠这都有。。我小学看的吧大概 哈哈            
(5星)	 永远记得电视剧里的英姑            
(3星)	 我当年是多么的喜欢这个啊!!            
(4星)	 小和尚很可爱。            
(3星)	 看完这个篇子， 我有心理阴影。以后看到曹骏，连带的那个莲花童子哪咤都让我心有余悸。            
(5星)	 给我带来过不少快乐的一部剧。            
(4星)	 开心~            
(4星)	 片花那几招太帅啦脚踏七星为真天子            
(4星)	 小时候啊。            
(4星)	 那时曹骏还很小            
(5星)	 我好喜欢第一部哦  开心和铁桶师叔的感情让我特别难忘  他们在一起多开心啊  曹俊小时候真是可爱无敌  无敌可爱 后面拍的 我都没那感觉了哎             
(3星)	 不太记得了，给个印象分            
(3星)	 小时候很喜欢            
(5星)	 当时我就觉得，将来曹骏一定会很帅。            
(5星)	 当年我也还小            
(4星)	 我会唱那个歌            
(4星)	 铁桶师叔~            
(3星)	 现在想来曹骏和我差不多大。主题曲很好听，貌似是张学友的《微尘》            
(3星)	 那时的曹骏很可爱            
(4星)	 时光飞逝啊！            
(5星)	 古老的剧啊。            
(4星)	 多出来的一颗星是给小曹俊的…            
(NA)	 老北京四合院里的一个月，永远信号不清的电视。            
(4星)	 小正太！现在？！。。。。。哎            
(4星)	 小时候真的很喜欢看啊没办法            
(4星)	 日本小姑娘很怪- -            
(4星)	 里面有个女的叫光光。            
(3星)	 我当年是看了多少电视剧阿~~            
(5星)	 曹俊那时候太可爱了。。。            
(5星)	 曹俊小时候 开心小和尚 可爱啊            
(3星)	 曹骏红了一把！            
(3星)	 喜欢第一部。            
(3星)	 话说男主角是我学长呢！            
(3星)	 儿时颇为美好的回忆。            
(5星)	 小曹骏~            
(5星)	 很搞的一部，很有爱            
(3星)	 曹骏很好玩的！最后还是放弃了皇位呢@Home            
(4星)	 小时候对着袖珍黑白小电视一集一集熬过来。。            
(5星)	 为啥就想到赔尽光跟赔光光了呢。。还有铁桶            
(3星)	 魏。            
(3星)	 当年看还是蛮有喜感的            
(3星)	 记忆深刻            
(3星)	 介个我小时候也看过~曹骏小时候~也是挺可爱的啊~            
(4星)	 可爱的小和尚 小时候好爱看            
(4星)	 小时候曹俊好可爱            
(4星)	 那时候的曹骏还很可爱。。。            
(4星)	 中国版一休哥。            
(4星)	 很不错            
(5星)	 释小龙！            
(5星)	 小时候那叫一个追啊            
(5星)	 那个好可爱的小太子            
(4星)	 童年的记忆……            
(NA)	 看的时候好小哈哈哈哈            
(NA)	 回忆。            
(4星)	 小时候可爱看了            
(NA)	 那时的曹骏多可爱            
(5星)	 小时候好爱看的            
(3星)	 原来是新加坡滴？我才知道==            
(3星)	 一般搞笑。            
(3星)	 长大的他还那么帅么。            
(5星)	 开心啊开心，儿时的真命天子啊            
(3星)	 让我怀念童年的点滴            
(5星)	 我奶奶最喜欢小和尚组合了            
(5星)	 曹骏小时候粉可爱滴            
(3星)	 小时候还挺喜欢            
(4星)	 喜欢开心            
(NA)	 小和尚好可爱~            
(3星)	 印象不深，反正觉得一般。            
(4星)	 姐看过的电视剧相当之多啊。。。            
(3星)	 小和尚长大了，我们，也老了            
(3星)	 在吉林老姑家看的             
(4星)	 童年啊！            
(3星)	 小时候可喜欢曹竣了~            
(3星)	 童年的记忆            
(NA)	 这个也很好看～            
(4星)	 啊啊啊多好看啊            
(4星)	 曾经，很喜欢！            
(4星)	 话说当时觉得小曹骏简直可爱到不行啊！他演的开心真是太可爱了。            
(3星)	 可爱的两小孩            
(4星)	 当时好想嫁给曹骏。。。。            
(3星)	 曹骏那是相当的可爱~现在也已经开始演感情戏了..岁月不饶人呐..            
(3星)	 好早一起的            
(4星)	 小时候去妹妹家，她说认识里面的演员，从此印象深刻。。。            
(4星)	 那时候一提和尚就是释小龙和曹俊……            
(3星)	 中间插入打拳的画面，啪啪啪的，好像哪儿的骨头都断了            
(5星)	 对曹骏留下了太深刻的印象……CUTE小和尚            
(3星)	 虽然看过但基本忘光了快。。只记得不会武功的小和尚最后很厉害。。。            
(4星)	 凭我小时后的记忆应该还是不错的。。。            
(3星)	 曾经的我们都还年幼……            
(4星)	 很可爱的曹骏            
(NA)	 3.5            
(4星)	 当时就特别喜欢曹俊，，可是怎么和释小龙一个模式~~越来越~            
(4星)	 里面有新加坡演员一度以为是新剧            
(4星)	 早上换台看见当年的小开心~  当时二年级的我真的很喜欢开心和尚啊~~            
(4星)	 当年的小曹俊。。            
(5星)	 额，曹骏 小时候很可爱 哈哈            
(5星)	 开心  开心，，，我一看到他出场心情就倍好倍好的            
(4星)	 回忆啊回忆            
(4星)	 那时候的开心太可爱了            
(3星)	 也。今天在放诶            
(3星)	 裴光光。。。哎            
(4星)	 孩子长大了就长毁了、小时候多好看吖~            
(4星)	 曹骏还是小时候可爱            
(3星)	 小曹俊 可可爱了~            
(3星)	 ｏｋ～            
(4星)	 当年的开心，是怎样的水嫩QQ啊~            
(5星)	 不晓得曹骏现在怎么样，那个时候真是萌翻了一群小尼姑~            
(3星)	 看过吧应该  = =             
(NA)	 好像还蛮搞笑的。可是不记得内容了。            
(4星)	 铁桶师叔。。。            
(4星)	 曹骏的成名作~~            
(3星)	 噢。前段时间还跟F提起曹骏。我的青春啊青春啊。            
(4星)	 很久以前看的  还不错            
(3星)	 tv            
(3星)	 没印象了.................            
(NA)	 刚上初中时候看的~            
(4星)	 哦哦哦  是曹骏 不是释小龙！ 法师鬼魅的风格    我最感兴趣了。            
(4星)	 小时候稀里糊涂看的，当时很是喜欢            
(3星)	 当时很喜欢开心小和尚。。有些剧情很扑朔迷离            
(4星)	 很有爱！            
(4星)	 当时这小孩真是无比可爱的说            
(3星)	 也许我看过。。。。只有名字记得了            
(5星)	 小和尚很帅捏            
(2星)	 喜欢他师傅的            
(3星)	 小时候看滴            
(2星)	 凑合            
(4星)	 可爱啊            
(4星)	 小时候的曹骏真的很可爱hiahia~~            
(5星)	 曹骏好可爱~            
(4星)	 小时候爆爱的            
(NA)	 无字天书~\(≧▽≦)/~啦啦啦            
(3星)	 已经忘记演的是什么了，只记得那个时候我还小，每天跑来跑去，然后在新闻联播后回家从爷爷手中抢走遥控器等着看……回忆            
(NA)	 小时候看的，哈            
(NA)	 具可爱的，曹骏~            
(4星)	 我应该是看过，但是大约不太记得了。            
