http://movie.douban.com/subject/1863941/	天龙八部 天龍八部
(3星)	 梁家仁的萧峰最经典 黄日华还算凑合吧            
(5星)	 我喜欢这个版本的乔峰            
(4星)	 经典。            
(NA)	 初中初二看过，小学还看过一电影            
(5星)	 精典啊！            
(3星)	 他们仨的性格我都不喜欢            
(5星)	 经典！            
(NA)	 赵学而和何美钿，刘锦玲            
(5星)	 这一部版本是我最喜欢看的。            
(5星)	 最好的一部天龙八部，最man的一个乔峰，最可爱的一个段誉，总之是好看~~            
(4星)	 不知道看了多少遍。没一遍看全的。            
(4星)	 曾经是我最心爱的武侠片            
(4星)	 也是目前最好版            
(4星)	 乔峰            
(NA)	 好男儿当然乔峰            
(NA)	 陈小哥挺帅气的 哈 太经典 我就不多说了             
(3星)	 李若彤&gt;&#34;&lt;  还有虚竹那段. 是小时候YY的启蒙啊            
(5星)	 2大经典处都好喜欢！！虚竹虚竹啊            
(3星)	 乱七八糟。            
(4星)	 这版比较好            
(4星)	 演阿朱那个是哪个啊？            
(NA)	 死活看不懂剧情 但是觉得段誉好帅            
(NA)	 虽然制作，美术摄影各方面不能满足现代的需求，但还是过瘾啊            
(NA)	 食堂怎么到处勾人家回忆！！！！！！            
(5星)	 經典            
(5星)	 乔大侠在我情窦初开的时候成了我心目中完美大叔。。。            
(NA)	 萧峰！            
(4星)	 情节紧凑            
(5星)	 小时候最喜欢段誉了            
(4星)	 过。            
(4星)	 陈浩民那个时候好帅的！            
(4星)	 认为最好看的天龙八部，虽然……和原著差了太多太多            
(NA)	 这是我唯一一部书和剧都能看完的金庸作品虽然现在已然全忘掉            
(4星)	 芸芸众生相 最爱的版本            
(4星)	 神仙姐姐就在我身边~~            
(4星)	 段正淳真是奇才啊。里面的女人不是他情人就是他女儿。            
(4星)	 这版是不错的！            
(4星)	 演的那是相当好。            
(5星)	 黄日华很有feel            
(5星)	 多经典的TVB!            
(NA)	 补遗               
(NA)	 好像是深夜放，爸爸说我就爱看这种飘着打的玩意。现在我长大了，我爸爸又痴迷这种老剧            
(NA)	 难念的经            
(5星)	 CCAV版的《天龙八部》赶紧死开！            
(4星)	 凌波微步            
(5星)	 奇书，经典电视版。            
(4星)	 就是阿朱不太漂亮~            
(5星)	 乔帮主！            
(5星)	 那时觉得段誉好帅啊            
(5星)	 英雄乔峰绝顶聪明美丽的阿朱            
(4星)	 解压有故事的人             
(5星)	 爱上黄日华            
(4星)	 为什么大家都针对萧峰            
(4星)	 童年记忆成标尺            
(5星)	 萧峰！！！！阿朱！！！            
(3星)	 一百年前            
(5星)	 NND,央视的么事屎玩意儿。。。。不能比。            
(4星)	 抱手里那毛娃乔峰可是咱哥们演的，现在用来瞟他真爽            
(5星)	 金庸小说中个人最喜欢的一部，电视剧也如此            
(5星)	 全凭当年的感觉            
(5星)	 好片~！            
(5星)	 段玉段玉~~~            
(4星)	 黄日华版本的乔峰英雄气概十足，大义凛然的样子，为了国家，他选择牺牲自己。天龙八部，是分段的故事，看似不相关，其实都是紧密联系的。明星众多，但最出彩当选黄先生，那种正义洒脱无人能及。            
(4星)	 影片内外都能承载我无数的回忆            
(3星)	 比较喜欢的版本就数这个了。            
(5星)	 爱死乔峰了            
(4星)	 塑造了我心目中《天龙八部》的标准，阿朱真丑啊~            
(5星)	 看的最多了。            
(NA)	 李若彤啊~            
(4星)	 还是经典哒~            
(3星)	 有机会还是想看看原著            
(5星)	 最喜欢这个版本            
(4星)	 陈浩民版本的段誉是至今最好的            
(4星)	 最爱乔峰！！！            
(5星)	 天龙八部最经典的版本            
(5星)	 经典            
(5星)	 最早的往往是最经典的，我心目中所有天龙八部中的人物形象都有这一部中的演员担纲~            
(3星)	 儿女情长，弟兄义气            
(4星)	 陈浩民年轻 片尾曲好听 五花八门的武功招数和稀奇古怪的江湖人士更多更赏心悦目。            
(4星)	 还是觉得这个版本最经典            
(NA)	 所谓童年...=w=            
(NA)	 片头曲印象深刻。当年的段誉很萌。            
(4星)	 比较经典的版本。            
(5星)	 最溫馨的一個暑假。            
(4星)	 那时候，李若彤美的惊为天人啊            
(4星)	 黄日华扮演乔峰，值得一赞            
(5星)	 喜欢            
(5星)	 黄日华的天龙八部是我的最爱            
(5星)	 金庸的经典之作。            
(4星)	 经典            
(4星)	 还是太经典            
(5星)	 Q版..            
(5星)	 喜欢的版本。            
(4星)	 爱乔峰，阿紫、王语嫣、段誉都演得不错            
(NA)	 看的七零八落的,我对电视剧一直是这态度= =|||            
(NA)	 黄日华            
(4星)	 就是场面有些小。            
(3星)	 hoho~~~偶最喜欢虚竹的部分咩~~~            
(3星)	 就看黄日华            
(4星)	 拿到小龙女执照则可以扮王语嫣 +1            
(3星)	 其中两星给李若彤的美貌（虽然神色比较呆……）            
(5星)	 慕容复最心酸。            
(5星)	 当时最喜欢段誉了~╮(╯▽╰)╭            
(4星)	 第一次看天龙。非常虐。喜欢阿朱。            
(NA)	 对段誉印象最深…            
(NA)	 小时候因为电视剧播完就再也看不到陈浩民难过好几天，咕叽咕叽            
(4星)	 with papa            
(4星)	 TVB最好的时代！            
(4星)	 我觉得有点恐怖了，叹惋木婉清和段誉也就罢了，阿紫也值得那么多人扼腕？我指这部剧，非原著。这部剧的阿紫再痴情也罢，终究顽劣残忍，和乔峰本不是一路，若非阿朱的嘱托何至拖累乔峰如此。若真像某些人所想回应了阿紫，那这个男人才真正是阿朱有眼无珠错托一生的人。此剧的阿紫的确只让人厌烦厌恶。            
(4星)	 更喜欢赵学而的木婉清，而不是李若彤的王语嫣……98年看的，十三年啦。            
(4星)	 陳浩民的段公子...            
(3星)	 萧峰为什么戴帽子            
(5星)	 最好的天龙八部。            
(5星)	 经典。。。。            
(5星)	 樊少皇暴露狂            
(5星)	 黄日华牛的            
(5星)	 黄日华是最好的萧峰，角色与演员合二为一。陈浩民的段誉当年迷倒多少少女啊。还有樊少皇，简直是史上最可爱最符合原属叙述的虚竹。            
(4星)	 总感觉太短            
(5星)	 最喜欢有段誉的那几段            
(4星)	 经典            
(NA)	 ＾＿＾            
(3星)	 我最爱的就是天山童姥！            
(5星)	 始终觉得97版是最经典的            
(4星)	 最近电视里又重播，挺感慨每个人物的性格特征都那么鲜明，留下的记忆历久弥新。            
(5星)	 我觉得这版最精彩的说~            
(5星)	 段公子額神仙姐姐。。            
(5星)	 理想主义的过程，现实主义的结尾。这部天龙八部太难忘了            
(NA)	 段公子你让我情何以堪。。。赵学而的木婉清好好看~~何美钿的钟灵也好好看~~            
(5星)	 哭死了。。。            
(5星)	 经典            
(5星)	 这个版本实在太好看了            
(4星)	 有原著气质            
(4星)	 金庸所有的小说里最喜欢这部了            
(5星)	 又在看乔峰了~            
(4星)	 陈浩民演的段誉是我最喜欢的            
(5星)	 我的童年啊！还是那时候起的武侠梦。            
(5星)	 诶呀我小时候好喜欢            
(4星)	 我，表哥，姐，凡，黎……            
(5星)	 我只喜欢着一个版本。。。阿朱很丑可是乔峰很温柔。。。= =            
(4星)	 这个一般人都看过吧            
(5星)	 经典啊。看了好几遍了 看不腻            
(5星)	 想想还是应该给五星            
(4星)	 大爱黄日华！            
(3星)	 基本上都忘了            
(3星)	 黄日华和金庸剧，TVB排第二的金庸剧            
(5星)	 修罗刀下死，做鬼也风流            
(4星)	 这个版本好看咩~            
(5星)	 经典。。重播一次看一次！乔峰太man了！~~            
(5星)	 不会再有超越了，极致了            
(5星)	 经典            
(5星)	 ！！！！！！！            
(5星)	 我犹记得为了看这个死不肯去旅游 然后在宾馆里看到在放天龙八部时的那个激动 那集是段誉救下王语嫣= =                 
(4星)	 乔峰耶·····            
(4星)	 难念的经            
(3星)	 高二 每天午饭前看             
(NA)	 经典啊            
(4星)	 段郎啊。            
(3星)	 黄日华版的乔峰比胡军少豪迈和粗旷,还是演郭靖来的好. 虚竹是樊少皇啊, 晕去, 不是个丑丑的小和尚嘛. 王语鄢还是讨厌的很, 但因为是李若彤所以讨厌得有些不爽            
(5星)	 始终觉得是最好的版本。            
(5星)	 经典中的经典，百看不厌            
(4星)	 经典            
(4星)	 小时候和我的一哥们天天在我家电视前面等着，然后一个暑假的晚上都在看这个，真是美好的回忆            
(4星)	 主要是喜欢歌            
(3星)	 黄日华！当时觉得……啊……好男人！            
(4星)	 你就让我大把的飙泪吧            
(4星)	 两个版本的都挺爱的            
(4星)	 小时候很萌陈浩民的啊            
(4星)	 喜欢乔峰  哦也            
(5星)	 大爱啊！满记得段誉和他的神仙姐姐~~呵呵···            
(4星)	 印象中跟着摸爬滚打了好一阵子            
(NA)	 longlongago            
(5星)	 又是一部经典~~~~            
(3星)	 再烂也比内地的强。            
(4星)	 神仙姐姐~            
(5星)	 片子俗到掉渣~但是说没看过明显骗人            
(5星)	 哈哈，神仙姐姐！！段誉！！！            
(5星)	 80后的记忆            
(4星)	 这里面的陈浩民多可爱啊~~            
(5星)	 只有黄日华的乔峰最经典～            
(4星)	 黄日华真深情            
(5星)	 啊哈哈哈哈。。。这又是多么久远的事情。。。            
(5星)	 我靠 我和爸爸看得天昏地暗            
(NA)	 真讨厌这个阿紫，欺负老实人有什么成就感啊，欺负老实人是要遭报应的。剩下人的逻辑就是弱智。            
(5星)	 擦这个好            
(4星)	 三个男子，三种人生            
(4星)	 枯井定情最强            
(4星)	 虚竹和段誉好有爱。            
(NA)	 话说金庸的改编我还是最喜欢TVB的.            
(4星)	 当年每个台都在播的，布景粗陋，但却有一番动人之处。            
(4星)	 喜欢陈浩民            
(4星)	 中小学暑假专看剧。挺经典。            
(4星)	 最强的地方在于久石让的配乐XD            
(5星)	 cast我很满意            
(4星)	 [昔时所看](看过一部分)的确是经典啊……            
(5星)	 每次重播都逮到起看            
(5星)	 恨不得打六星            
(5星)	 小学.            
(NA)	 我的童年果然是在电视剧中度过的。萧峰是个人英雄主义~？            
(5星)	 李若彤才叫一个美哟~~            
(5星)	 突然意识到原来那个就是黄日华 啊。。。。。            
(5星)	 最喜欢的一版《天龙八部》。大爱那首快得听不清词的主题曲。            
(5星)	 啥也不说了 ~经典啊经典~            
(4星)	 王语嫣真是貌美无脑            
(4星)	 可以看            
(5星)	 前阵子毕业前夕，通宵看了一回            
(4星)	 李若彤就是我心中的仙女啊！黄日华也好有型……            
(2星)	 我主要不太喜欢这本书。            
(3星)	 乔峰是我不喜欢的男人形象 神仙姐姐是我不喜欢的女人形象 况且这版选人只爱赵学而            
(NA)	 这个版本还是不错的。。            
(5星)	 段誉啊~~~!!!!!!!            
(4星)	 不知道为什么啊，大陆拍的总是很奇怪            
(5星)	 喜欢黄日华扮演的萧峰            
(4星)	 黄日华演的真不错！            
(5星)	 黄日华那时真红呀！            
(NA)	 喜欢段誉            
(5星)	 还是这部经典。            
(4星)	 最喜欢这个版本的天龙八部            
(4星)	 英雄莫问出处，义薄云天。兄弟之情，贵于天！~~            
(3星)	 段誉乔峰经典。剧情场面改编的过于简陋            
(5星)	 最喜欢的金庸翻拍电视剧的作品~            
(5星)	 这个版段誉萌！            
(4星)	 神仙姐姐~~            
(2星)	 额,段誉个死花痴..他同乔峰相识结拜内段(第5、6集),看得藕内个激动额。..乔峰是真針整正的大英雄 !!            
(5星)	 武侠电视剧 总觉得香港拍得好过大陆            
(3星)	 没胡军、小志那版好，关键是叶二娘和木婉清太丑啦！！            
(4星)	 ！！！            
(5星)	 同样是看了数遍的经典~            
(3星)	 吞风吻雨葬落日未曾彷徨，欺山赶海践雪径也未绝望            
(4星)	 华哥真是演什么像什么啊，不过剧中他那条围巾我实在不能理解            
(5星)	 现在也觉得经典无比            
(NA)	 觉得最好的就是这版了 (*^__^*) 嘻嘻……            
(4星)	 演员选的太棒了 和原著贴切的不得了            
(4星)	 中国香港            
(3星)	 就那样~            
(3星)	 其他还可以，但是女角除了李若彤都太丑了，实在太丑了！            
(4星)	 段誉。            
(NA)	 先入为主            
(5星)	 我喜欢看着一部            
(5星)	 还是觉得这个版本经典  李若彤果然是很赞 刘小姑娘缺了点点气势！            
(5星)	 “我们中国人，讲的是恩爱、情义，爱上有恩，情下有义。”            
(5星)	 很好看~~            
(4星)	 我对六脉神剑很感冒            
(5星)	 阿朱~~你先不要死！            
(3星)	 当年居然感动的哭了。。。我。。。。            
(NA)	 请教我六脉神剑 助我凌波微步！            
(5星)	 太经典了            
(5星)	 黄日华。陈浩民。            
(4星)	 最爱这一部            
(4星)	 黄日华依旧是我心目中的经典之乔峰。            
(5星)	 偶只爱看这个版            
(4星)	 啊~段誉！            
(5星)	 版本比大陆的不知道好多少倍            
(4星)	 其实没原著好看，不过黄日华演的乔峰可是赞一个            
(4星)	 什么叫豪气干云,什么叫义薄云天?看到他,我知道了.            
(4星)	 我家陈大少~~            
(4星)	 還是這一版好看            
(NA)	 同样强大            
(4星)	 雖然有硬傷，也不失爲一部好劇            
(5星)	 还是最喜欢这版            
(4星)	 喜欢箫峰            
(4星)	 段誉的配音员  现在在中央八套            
(4星)	 小时候喜欢段玉.不过喜欢还是喜欢乔峰.真正的男人.大勇者大英雄.虽然其实我也不知道该说我喜欢他的哪点.            
(5星)	 可憐的段譽 每每喜歡上的人 都是你的妹妹 阿彌陀佛 轉眼 原來你才是那個……            
(4星)	 主角无双            
(5星)	 乔峰台太男人了！！！！            
(3星)	 第一部看完的武侠            
(5星)	 伟岸的萧大哥            
(5星)	 经典            
(NA)	 没看完            
(NA)	 比原著好            
(4星)	 不咋看,看了几眼            
(NA)	 段玉...主题曲...            
(3星)	 最大的失败是让刘锦玲来演阿朱，那个阿紫也是史上最丑的，所幸陈浩民的气质十分符合小段。想慕容复堂堂一个浊世翩翩美少年，怎么变成了一个落拓老头？？？            
(5星)	 那一曲难念的经.            
(5星)	 港版的貌似都会比其他的版本好一些~虽然特技之类的比较粗糙~            
(4星)	 我喜欢虚竹，段誉，梦姑……            
(4星)	 还不错～～哈哈            
(5星)	 这个版最好            
(4星)	 这版挺好的。第一遍看的时候我还不大。            
(4星)	 最好的一部            
(NA)	 断断续续 来来回回的看过多次还是喜欢胡军演的那个版本            
(NA)	 迷上萧峰了            
(4星)	 脑海就这个版本            
(NA)	 小司。。哈哈            
(5星)	 歌曲真的很棒，当时选的演员也很到位            
(NA)	 里面的陈浩民版的段誉真是绝了，那种气质难以超越。黄日华的萧峰也很有豪气。            
(4星)	 看过不知道多少遍了啊            
(4星)	 陈浩民演的段誉，赞！            
(3星)	 喜欢这个段誉。喜欢这个兄弟情。            
(NA)	 一群悲剧人物。            
(NA)	 最爱的版本啊~~~            
(4星)	 —我不是你们的帮主—不，乔帮主，你永远是我们的帮主！！            
(3星)	 喜欢慕容复那演员            
(5星)	 原著看了一半。。。金庸笔下本人最喜欢萧峰！！！            
(NA)	 总看不全的            
(NA)	 虚竹            
(4星)	 还是觉得陈浩民这个版本的段誉最像。——这是我在《天龙八部》里最喜欢的角色。            
(3星)	 电视剧  香港  武侠  TVB  金庸  古装  连续剧  港剧 中国              
(3星)	 乔峰 不失望            
(5星)	 喜欢乔峰            
(3星)	 那时咱还小。            
(NA)	 就算第一次每天追着看的金庸作品剧            
(4星)	 阿朱永远是我心目中的好女孩形象。            
(5星)	 待            
(NA)	 居然是大学时补的            
(5星)	 超爱超爱！！！！            
(NA)	 小时候觉得陈浩民演的段誉超cute，现在……            
(4星)	 终于明白段誉为毛苦逼了，每个女孩都是他妹妹。哈哈哈哈哈哈            
(4星)	 这部剧我最喜欢陈浩民...            
(5星)	 脑残粉不解释Q_Q主题曲也太难忘！            
(4星)	 经典。又看了一遍。李若彤太美了。            
(5星)	 吞風吻雨葬落日未曾彷徨，欺山趕海踐雪徑也未絕望，拈花把酒偏折殺世人情狂，憑這兩眼與百臂或千手不能防。            
(5星)	 三天回味了45集，完全就是吃饭睡觉看打斗。依然像小时候一样的对段公子发着花痴，遗忘的情节也都补充完整了。现在的孩子哪儿还有这么让人激动的电视剧来度过寒暑假呢！没了侠义英雄，没了兄弟同当，没了坚贞爱情⋯⋯            
(5星)	 其实我好喜欢这一部的啊~！            
(5星)	 这部演员牛逼。            
(5星)	 这个版本也无法超越了吧。。段誉哥哥和神仙姐姐。。            
(NA)	 【1997-07-28】            
(5星)	 怪大地众生太美丽/悔旧日太执信约誓            
(3星)	 我最爱的金庸武侠改编电视剧噢~木有之一！            
(5星)	 江湖豪情，儿女情长。这里才有最痴情，因你美丽爱你一生，因他英雄倾心不顾。回头现实不过忙着说再见，岌岌躲过魑魅魍魉。只怪众生太美丽，不得时才最撕心。            
(5星)	 TVB拍的金庸小说还是比较靠谱的。我想当年拍这部剧的时候，应该差不多动用了全台的演员了吧。            
(4星)	 儿时的记忆，没有胡军那个版本好看            
(4星)	 舍友最近的爱好-0-            
(5星)	 最经典的一部            
(5星)	 阿朱死的时候乔峰几伤心哦。还是最喜欢这个虚竹了。            
(5星)	 终于看完了 心中无可替代的经典！！剧中老的女人都是段正淳的情人 年轻的女人都是段正淳的女儿 和段誉有点什么的都是他妹妹。。。关系复杂得堪比绯闻女孩。。。总而言之 我爱这部剧！！            
(4星)	 很完美，难超越。            
(4星)	 看了又看            
(4星)	 陈浩民真心适合段誉这个角色啊   真是娃娃脸 现在看还是和以前一样啊             
(5星)	 电视台都播烂了。。就是这部之后广电总局不让黄金时间播港台剧了尼玛。。。            
(4星)	 一个苦逼中年+文艺少年+二逼青年的苦逼故事~私以为此版最经典。。。于是故事在不断地出现其实你是我妹妹呀，原来你是我爹呀的感叹中一路走向高潮。。。。=-=~            
(NA)	 乔峰~~~~~~            
(3星)	 没有忠实于原著。但还是好的戏。这个王语嫣是到极致了。            
(5星)	 看了孔庆东的笑书神侠，突然很想再看一遍天龙八部，于是宅着看了一天，还是最爱黄日华版的乔峰。气概云天的英雄背后，不为人知的悲情与苦楚才成就所谓的英雄本人，阿朱注定是要死的悲情角色，每次看到乔峰葬阿朱这段都要大哭一场。            
(5星)	 最好的萧峰段誉虚竹王语嫣慕容复鸠摩智等等，没有之一            
(3星)	 为什么有人觉着黄日华帅。。。因为他这个片看的索然无味= =。。            
(5星)	 乔大哥 哈哈哈            
(5星)	 我的最爱！！            
(3星)	 李若彤是古装最漂亮的女子，没有之一！！！            
(5星)	 查漏补缺            
(3星)	 对金庸作品向来不感冒，不过小时候这都是我必看的剧啊……            
(3星)	 王姑娘            
(3星)	 段誉尚可            
(5星)	 TVB最爱的剧集，当年很迷这套剧，黄日华绝对是最好的乔峰，各种气场和演技，撑起了整套剧，现在TVB也没有人那样的演员了。            
(5星)	 这个版本的最好看了            
(NA)	 演过小龙女的必须演一把王语嫣，金老爷子的脸谱化真是严重啊……顺便赞陈浩民。            
(3星)	 还是有点印象。李若彤啊啊啊。            
(NA)	 经典，特别喜欢李若彤            
(5星)	 很还原传神的作品            
(4星)	 乔峰乔峰。            
(5星)	 热血沸腾的成人童话，布景简单却深抓人心的绝对经典。段誉脸皮正厚，萧峰真有安全感，虚竹心地真好，仙女好多。            
(NA)	 小时候看过的             
(3星)	 最大的亮點是周華健那首難念的經，很好聽！            
(3星)	 其实这个版本~每个演员都挑得好合适~            
(5星)	 我最讨厌的部分是乔峰被人冤枉，真看不得好人被冤枉的那个惨样。最喜欢的部分是在少林寺前，各方人马打成一团，尤其是乔峰出场的那个音乐。            
(5星)	 天龙八部是我在金庸里的最爱 没有之一 里面有我最爱的男人和最爱的女人             
(5星)	 最喜欢这版的王语嫣~~还有段誉~~~还有虚竹~~~            
(4星)	 演员扮相很符合原作            
(5星)	 配乐很经典            
(5星)	 经典！！！            
(4星)	 小时候就觉得好美妙啊~~            
(5星)	 陈浩民最帅的时候            
(4星)	 在某人的鼓动下，我开始看了……            
(4星)	 段誉段誉            
(4星)	 看得不全。不是特喜欢。            
(NA)	 太经典了，难念的经            
(NA)	 这部也是我心中的经典~~~~~~~~~~~~~            
(5星)	 最好版本的乔峰.             
(5星)	 黄日华啊。喜欢死了。。。            
(4星)	 段誉的形象从此定型了。。。            
(5星)	 看过无数遍啊无数遍            
(5星)	 童年的回忆啊。。。            
(5星)	 老港剧就是有这种魅力，布景道具再简陋，演员一上镜，形象立即鲜活，哪怕只是一个小配角。            
(4星)	 《难念的经》潇洒得很！            
(4星)	 陈浩民的段誉，黄日华的乔峰，还有那个虚竹，这部剧是最好的版本吧。            
(5星)	 最好的一版！            
(4星)	 喜欢这个版本。            
(5星)	 除了阿朱阿紫，选角几乎完美！            
(NA)	 黄日华版总体感觉很好，不足之处是演员阵容不足，美女太少，有实力的武打演员太少。            
(4星)	 王语嫣好美，这版的选角最不靠谱的就是演阿朱的            
(5星)	 虚竹是樊少皇演的 啊呀呀 怎么现在变得这么霸道            
(5星)	 先温故一遍再说、            
(4星)	 木婉清。乔峰。            
(5星)	 最爱看黄日华版的            
(5星)	 最喜欢的一个版本。            
(4星)	 大抵这版本的段誉已经是无法超过            
(4星)	 也是经典 可巧李若彤和刘亦菲都出演了两个相同的角色  小龙女和王语嫣            
(2星)	 李若彤当时的确是红，但她长一张如此有轮廓的脸，的确不适合金庸剧。            
(3星)	 那华丽丽的絮絮叨叨的台词啊~            
(4星)	 哈哈，这是我最喜欢的版本。            
(NA)	 不尊于原著            
(4星)	 最爱阿朱            
(5星)	 神作            
(4星)	 学校里面的闭路电视放的            
(4星)	 李若彤才是最适合演王语嫣的演员。            
(5星)	 不可动摇。            
(4星)	 不喜欢黄版乔峰，因为太喜欢小说里的乔峰了！李版王语嫣也不喜欢，没灵气~            
(5星)	 乔峰好男人！不过我喜欢段誉            
(5星)	 租碟子啊 守着电视啊             
(4星)	 曾经没有美剧的日子靠港剧活着             
(5星)	 为了永远的萧大哥            
(5星)	 啊，这才是我最喜欢的。。。。。            
(4星)	 看来看去 还是这个版本最经典            
(5星)	 萧峰……阿朱……            
(5星)	 塞上牛羊空许约，烛畔鬓云有旧盟            
(NA)	 金庸的故事，最喜欢天龙八部，看完书的时候真是直嘘一声爽！电视剧不错，也只有TVB的版本永远最经典！            
(5星)	 从小看到大 乔峰是还要多man 对段誉是还要多爱            
(NA)	 最喜欢的一个版本            
(4星)	 要是把我的演员换帅一点就给打5个星            
(NA)	 2010-11-27            
(5星)	 段誉 你怎么可以残成这样            
(5星)	 好想再完完整整看一遍            
(NA)	 豆娘是不是抽风啊，阿朱什么时候成了星宿老仙的徒弟了！！！！！我被雷到了            
(5星)	 里面美女好多！！！            
(5星)	 经典无以超越            
(4星)	 当年我比较欣赏，吐蕃护国法师、大明轮王鸠摩志...            
(NA)	 当时几认真滴学周华健的片头曲            
(5星)	 挚爱。            
(5星)	 最喜欢的段誉            
(5星)	 经典。            
(3星)	 片尾曲印象深刻            
(5星)	 那天跟一大学新生从活佛济公聊到天龙。人家第一反应不是陈浩民是林志颖，诶。。。这个版本才是经典啊！            
(5星)	 最喜欢的版本，让我认识两个人，樊少皇和陈浩民，还有段誉无穷的妹妹们            
(5星)	 经典~            
(5星)	 好男儿当为萧峰，但也要略解风情~~            
(5星)	 无与伦比            
(5星)	 选角无敌了            
(4星)	 最有爱の段誉！！！            
(5星)	 经典            
(5星)	 TVB拍的金老爷子的电视剧每一部都是经典！            
(4星)	 唯一完整看完的金庸剧中间几集有些拖沓周华健的歌还是挺不错的            
(3星)	 当初很喜欢黄日华扮演的萧峰，很有英雄气概.            
(5星)	 经典呀TVB的场景没那么壮阔，演员也说不上多好看，可就是把人感动得不行。乔峰啊啊啊啊啊啊啊            
(5星)	 乔峰无敌，段誉无敌。。。电视上播，最近又重复看 -- 20100713            
(5星)	 乔峰乃真英雄是也···            
(5星)	 天龙八部多个版本里的最爱             
(5星)	 看了起码不止三遍            
(NA)	 老歌比新歌好听 老电视比新电视好看            
(4星)	 唯一看完的一版天龙。喜欢虚竹、婉妹、阿朱。没有王语嫣就完美了            
(4星)	 我还是要说。张纪中你这个老棺材翻拍永远都是那么烂那么烂！            
(5星)	 补：乔峰死的时候我哭得那个叫稀里哗啦啊……            
(5星)	 最爱            
(5星)	 最喜欢段誉了！！还有木婉清和钟灵~~~            
(5星)	 最近在看 爱的稀里糊涂             
(4星)	 金庸的劇裡就是喜歡這部。。百看不厭吶~~            
(4星)	 经典~            
(5星)	 我迷得一塌糊涂            
(3星)	 萧峰本就该是值得称颂的主角            
(4星)	 段誉~~~~            
(4星)	 看完李若彤睡觉            
(5星)	 经典啊。            
(4星)	 感谢我遇到过一个如此清新的段誉            
(5星)	 最经典的版本            
(NA)	 最爱这版。我喜欢段誉小白脸。哼。            
(5星)	 恩我有英雄情结~tvb拍得真是没话说~可惜当初居然看得还是央版的~囧！            
(5星)	 乔峰每次闪亮登场必伴有超强配乐            
(NA)	 童年的回忆啊童年回忆            
(5星)	 还是TVB拍的经典            
(NA)	 初中的疯狂时光。。。跟着萧峰纠结，那时候只懂段誉和。。（囧，名字已忘）            
(4星)	 我是喜欢段誉的            
