http://movie.douban.com/subject/2253598/	康熙秘史
(5星)	 烂片除了纳兰            
(4星)	None
(NA)	 我最近真没出息,经常为了钟小哇忍耐剧情...            
(3星)	 是冲着纳兰啊～剧照我都迷死了～            
(3星)	 我的纳兰~            
(4星)	 为了小哇，我给四星！小哇真是将纳兰做了最美的演绎！！！            
(4星)	 这片子虏了多少少女心那，纳兰纳兰，凄美似谪仙。前几日小住清华园，惊叹一姑娘一宿没合眼做秘史的MV，当然是纳兰，当然也是良民了。四星为纳兰和青格尔，夏雨君实在是，唉。            
(NA)	 一部以康熙为名的剧，看完后满脑子却只有纳兰。。            
(NA)	 从这里看来，小哇完胜。。            
(4星)	 就是为了钟汉良！            
(3星)	 纳兰的确太虐了＝ ＝            
(NA)	 钟汉良你是萌神嘛~夏雨剉爆了~            
(1星)	 。。。尤小刚。。。你。。。。            
(3星)	 多情才子是祸害。格格们倒是一个比一个率性坦荡。可惜了~~~都心许了一些不敢爱的男子            
(4星)	 钟汉良不错那。            
(4星)	 只为纳兰···            
(3星)	 要不是纳兰公子打死我都不看这种烂剧，我爱屋及乌的臭毛病真是让我看了不少垃圾啊。            
(NA)	 微微一笑很倾城。            
(3星)	 纯粹冲着钟汉良版的纳兰性德去的。            
(3星)	 又是一个保存了N年的“在看”……            
(3星)	 皇帝太丑啦，贼眉鼠眼的            
(4星)	 叫做康熙秘史不贴切了，还是叫纳兰秘史。很喜欢纳兰性德。            
(3星)	 14            
(4星)	 我承认只对钟汉良的纳兰性德感兴趣。一个温文如玉的男子承受了三百年来多少温情眷顾，满清第一词人的风华绝代将被再次演绎。这一次，我可以给钟汉良打85分。            
(3星)	 清初才子纳兰性德。            
(NA)	 纳兰很不错。讨厌胡静，很腔调~            
(3星)	 只看康熙虐纳兰=。=            
(3星)	 中国美女很多，虽然可以引进韩星，但蔡琳发音的口形始终很别扭            
(3星)	 为了纳兰，一直在忍受            
(3星)	 但是钟汉良好帅~~~~~            
(3星)	 纳兰啊纳兰……            
(3星)	 皇上你对纳兰性德是有多痴迷啊            
(4星)	 冲着纳兰，且是钟汉良演的纳兰而看的，42集啊！不过真是一口气看下来，虽然真真是秘史，与我们原来了解的正史有不一致的地方，但是他的人物设定，情节推进都是环环相扣，编剧能自圆其说的，比现在很多古装后宫剧实在是靠谱得多太多了，很喜欢！            
(4星)	 For SomeOne            
(3星)	 钟汉良真是个美男子啊。            
(3星)	 其實你們都是看小容若精華的吧？為毛評價都是小容若啊？不准跟朕搶啊是朕的啊&gt;&lt;            
(2星)	 tm见过这么不如纳兰的康熙么！！！我是该说钟小哇把纳兰演得太好了么！！！            
(4星)	 皇上总让纳兰做会恨死自己的事，纳兰你是多爱皇上            
(3星)	 尤小刚的秘史系列还是孝庄秘史好啊。。。但是，钟纳兰太完美了！            
(3星)	 陪婆婆看的电视剧。。。当然我是冲着钟纳兰去发花痴的o(&gt;_&lt;)o。。。 此剧除了主题歌和服装比较雷以外，表演尚可。剧情比较出位，但是既然是秘史了胡编就胡编吧，反正清朝有点名气的几位都被拍烂了，来点不一样的也好。            
(3星)	 钟汉良钟汉良钟汉良            
(2星)	 啊！雷！快举避雷针！//承认纳兰公子，翩翩公子。。。突然发现很多剧，我都只看了剪辑版            
(2星)	 胡静真好看            
(4星)	 为纳兰性德四个星，虽然编剧烂，受不了那鳌拜，受不了那康熙，其实我最受不了的是那个孝庄，好吧，邬倩倩怎么能演得了孝庄呢!几次看不下去。但我举得纳兰这个人物编剧真的变得很好。不得不说钟汉良同学真是演什么像什么，在我看到每个他演的角色里我都找不到他自己的影子。顾惜朝更如是            
(4星)	 剪切版~我是去看钟纳兰的，形神兼备            
(NA)	 超爱 最爱 青格儿 纳兰性德            
(4星)	 虽然片子雷人，但念在它给了一个那么好的纳兰！            
(4星)	 想为纳兰看这部剧……            
(3星)	 钟汉良 胡静!下雨！YY寂寞空庭春欲晚。            
(2星)	 和谐的腐剧。。。            
(4星)	 and想拿高清版再看一遍啊！！！@yunyidai ，亲你有莫有！！！            
(3星)	 我是真没觉得钟汉良的纳兰容若有书卷气= =            
(3星)	 纳兰是此剧唯一的看点。            
(4星)	 爱情情节有点烂。只有小哇是亮点。            
(5星)	 小哇你演清装实在是太适合了            
(5星)	 全为了公子纳兰。            
(4星)	 为了小哇和容若看完了整剧，写了满满一页历史性谬误，只能说至少比《烟花三月》靠谱，冲着让人心疼的小哇版容若还是给个四星吧            
(4星)	 夏雨版的康熙，棒子版的皇后都是萌点呐，钟汉良和胡静是有多有爱，看完之后就去翻纳兰词了            
(3星)	 小伙啊小伙帅帅滴亮~！这首歌的片尾曲正说出了我看这剧的心情啊~            
(2星)	 两颗星给钟汉良，给纳兰容若            
(5星)	 小哇~~~~~            
(3星)	 为毛纳兰成了男一得感觉！！咳...很乱编的一戏            
(2星)	 本来是因为小哇去看的，但无奈实在太雷太言情了。PS. 尤小刚是有多喜欢把那些侩子手美化成英雄啊？？满口满口的奴才，听得人恶向胆边生啊            
(3星)	 这部片子除了钟汉良就没有其他可以吸引我的地方了。            
(3星)	 钟汉良纳兰圣德的爱情挺凄美            
(4星)	 大爱钟汉良的纳兰。            
(3星)	 大虐片，虐心兼虐身            
(3星)	 编剧弱爆了！！那样的康熙，夏雨演技再好也没用。╮(╯-╰)╭ 小哇确实是个美人儿...(*^__^*) ....胡静乃干嘛去整容嘛，那鼻子明晃晃的假体太亮了！！～            
(4星)	 钟汉良啊            
(4星)	 四星给钟汉良            
(4星)	 只说剧不说历史。特别不喜欢年轻的康熙，容若那样好却那样的无能为力，还好最终有青格儿在身旁，喜欢这剧中写鳌拜的角度，不喜欢赫舍里            
(NA)	 纳兰            
(NA)	 oh my~~            
(3星)	 剧本还真是有问题。。。            
(4星)	 我们家小哇加星。。。帅翻了。。。            
(NA)	 康熙和纳兰性德 ~            
(4星)	 看的纳兰那个合集，入世的种种..............            
(4星)	 鐘納蘭的受虐史            
(3星)	 没想象的好，纳兰太弱了，更喜欢康熙无疑，千古一帝啊~            
(3星)	 真的觉得夏雨不适合演皇帝。。。            
(4星)	 我爱钟汉良！            
(5星)	 钟汉良诠释的纳兰，非常贴切。他的隐忍，他的才气，他的傲骨、、、            
(4星)	 四颗星，全部给纳兰            
(3星)	 这多出来的一星完全是给小哇的。话说夏雨这个康熙是个神经质加虐人狂么，演的可真是欠扁！！！            
(NA)	 我觉得夏雨的康熙很萌啊~康兰最萌了~            
(4星)	 四星绝对是给了小哇面子哈哈            
(3星)	 编剧一如既往地犯低级、高级历史错误，钟汉良是亮点            
(3星)	 纳兰容若。而后失去了往日的光彩。            
(3星)	 对不起我从头到尾只看了钟纳兰出场的部分！！            
(4星)	 新认识了一个人，纳兰性德。“人生若只是初见，何事西风悲画扇。”重新认识了一个人鳌拜，铮臣？佞臣？谁能分清？            
(NA)	 只是为了纳兰。为了 钟汉良             
(NA)	 纳兰性德，是这个戏的灵魂~~~貌似只要有钟汉良在，其他的男角色都会被人忽略            
(NA)	 把纳兰容若演得入骨三分            
(5星)	 皇帝演技一般，都看你了。。。            
(4星)	 看了导演 吓了一跳            
(4星)	 最是为纳兰最后的吐血而销魂啊~~~~~            
(5星)	 五颗星全部给钟汉良，请把夏雨删掉吧            
(3星)	 喜欢此剧只因一人，钟汉良饰演的纳兰性德。剧本台词有很多不足，但基本上算差强人意，满足自己YY古代才子佳人的故事。            
(3星)	 完全为了钟汉良。。。            
(3星)	 冲着演员给了3个星星。纳兰 康熙 青格儿（不论是真实存在还是虚构）三个人活得太辛苦了。皇帝不容易当 奴才也难当 最后好不容易在一起竟也是。。虽说是缘分但也是惨淡。。。剧情拖沓了些，要不能给个四个星星的            
(5星)	 5星只为钟汉良演的纳兰容若            
(3星)	 大家爱的，到底是纳兰容若还是钟汉良。            
(4星)	 任那皇权至尊，纵有才情旷世，情字关前，皆是虚无。            
(4星)	 四星完全是给容若的，因为此剧开始迷恋容若的词            
(5星)	 为了温润如玉的公子！！！            
(3星)	 只为小哇啊，夏雨演的康熙根本就没有康熙的样啊，没有气场            
(4星)	 暂且不说与历史相不相符，这片名就应该改成纳兰秘史，一部片看下来，只记得了钟汉良。这男人无死角啊            
(NA)	 钟先生后再无纳兰            
(2星)	 夏雨非常适合市井小人物的扮相，撑不起一代帝王的架子            
(3星)	 只看纳兰，只为纳兰。整个剧情真的很狗血            
(4星)	 这个版本的康熙太。。。难看了            
(3星)	 所谓秘史。。。            
(4星)	 要不是纳兰 要不是小哇            
(3星)	 一般了            
(5星)	 纳兰……才情的纳兰……            
(3星)	 感觉是纳兰秘史            
(3星)	 只想說納蘭活了過來。不用說石小群，一般人都會傻傻分不清鐘漢良和納蘭容若。鐘漢良本就有著容若的溫潤，他沉穩內涵。            
(4星)	 这本是一部只能打一颗或两颗星的狗血烂片，可是，由于钟纳兰的存在，一切都不一样了......            
(NA)	 大陆经典大戏之一。            
(2星)	 2星中的一星给小哇            
(5星)	 只为公子来~~            
(4星)	 就冲着哇版纳兰，也值得一看。            
(3星)	 是纳兰秘史喜欢叫他容若             
(4星)	 这四颗星是为纳兰公子打的。            
(4星)	 冲着钟汉良、胡静也要给四星。片尾曲很活泼，推荐一下。            
(4星)	 夏雨演的康熙太无语了，这部剧完全冲小哇去的~            
(4星)	 青格儿~~~秘史里鳌拜是个绝对忠臣。。。            
(4星)	 纯粹为了小哇看的，意外的发觉当年的胡静真是美艳！！            
(5星)	 我只看小哇的精华了，决定读纳兰的书，了解这个温婉如玉的君子            
(3星)	 感谢BM。只看小哇公子。              
(3星)	 纳兰别传            
(2星)	 把我敬爱的康熙演成一个无理取闹的暴君            
(4星)	 夏雨，真丑            
(3星)	 钟汉良个美男            
(4星)	 钟纳兰。。&gt;&lt;...这是我第一次发现他和公子很像，从此就无处不在了            
(4星)	 小哇演的纳兰 帅            
(NA)	 真是有够烂的。。            
(4星)	 不错喔！！纳兰容若            
(4星)	 4分全给钟汉良！！！            
(NA)	 钟汉良啊钟汉良~~            
(4星)	 人生若只如初见            
(NA)	 鸡肋。纯粹为了看纳兰。            
(5星)	 姑且称你为钟纳兰吧。任谁也无法与那个赋出《金缕曲》《画堂春》《青衫湿遍》的男子重合。但他，和你，都是翩翩浊世，佳公子。            
(5星)	 分数都是给公子的            
(3星)	 纳兰真的好正啊T T            
(3星)	 囧里个囧，钟小哇我真是太对得起你了，连这片子都看orz            
(3星)	 关于纳兰性德的野史，没什么好说的了。比起偶像剧，演员和剧情自然要好许多。            
(4星)	 见评论吧            
(3星)	 除了纳兰，什么都没有。            
(5星)	 小哇啊~~~~~迷死我了！！！            
(NA)	 打着康熙名号的纳兰秘史~~            
(5星)	 这种感动无以言表。里面那段对话拿MP3录下来，不知听了多少遍。在里面看到了真正的爱情。只是容若啊，你还是太过懦弱了。            
(4星)	 可以看前十集，虽然跟历史有很大不同，看着也忍不住说历史不是这样的。但是颠覆了鳌拜在我心目中的形象，是个被迫的反贼，是个坚硬的汉子，是个识大体的英雄。邬倩倩的孝庄和《孝庄秘史》相得益彰，时常去密室摸着多尔衮的佩刀和它讲话，身边苏摩尔劝她不要多想。胡静装扮很美，钟汉良一直是我所爱            
(4星)	 虽然和历史史实相差得非常多，但是还是很喜欢看！因为这部电视剧喜欢上钟汉良、喜欢上纳兰性德！尤其喜欢钟汉良演的纳兰性德~~主题曲也很不错！            
(3星)	 花痴钟汉良童鞋            
(5星)	 恩？这个我也看过点儿。里面有钟汉良演的纳兰性德。感觉康熙秘史比较野，康熙王朝比较正！秘史里面儿女情长相对多一点，简直就是在讲康熙、纳兰和青格儿的三角恋。而宫廷只是背景！秘史是讲康熙如何由一个少年变成一个成熟男人的；王朝是讲康熙辛酸的一生。            
(4星)	 只有鐘良人才能是納蘭。亦愛胡靜。            
(4星)	 纳兰啊            
(4星)	 夏雨有范呐 钟汉良帅呐 胡静美呐            
(3星)	 为了看小哇..爱上了我们家容若..            
(4星)	 四颗星给纳兰            
(4星)	 忍受了前面5集之后,已经被锻炼到能很顺溜地看下去了.康熙出来的时候,居然是一个小痞子?!纳兰公子书生气十足,但为啥总是被矛盾折磨得珠泪涟涟,实在是太虐了一点吧            
(4星)	 我美丽的纳兰容若啊            
(4星)	 还行 纳兰性德··            
(2星)	 觉得很狗血            
(3星)	 片名应该改成《纳兰与康熙》，如果嫌太gay，改成《纳兰身边的一票男女》也行。            
(3星)	 如果翻拍琼瑶剧，强烈推荐钟汉良来演，瞧他演纳兰才子那忧冤的眼神，配了音后很琼瑶。            
(5星)	 纯粹为公子评的 受不了这版的康熙            
(NA)	 夏雨。愁死我了            
(NA)	 太雷了！！            
(4星)	 对历史没兴趣 喜欢戏外的故事            
(2星)	 看了孝庄秘史以后看这部剧的。开始不错，但越看越受不了…剧情无聊，不知所然…康熙演员是有看出努力的，但剧本让一代明主康熙也太……失望了。关于爱情也是乱七八糟，没有主题。也许我还是崇拜纯净的爱情吧。（话说最近看的孝庄秘史，大唐芙蓉园，竟都不是纯粹的爱情…也许只是愿望罢了）            
(4星)	 钟汉良演纳兰很好。            
(4星)	 钟汉良的纳兰性德是本剧最大的一个看点。剧情方面和历史相差有些大。            
(2星)	 狗血之最了吧。。。反正本来就不很待见公子嘛╮(╯▽╰)╭            
(5星)	 大爱            
(3星)	 看的是钟汉良片段，活生生的公子啊，总算小哇也有很多女人爱了，不过真是悲伤啊，最后公子说：我们的欢愉也要等别人的恩赐，真是可笑。            
(5星)	 这剧给5分，1分为了尤导，剩下四分为了纳兰。            
(4星)	 啊钟纳兰~            
(4星)	 看了这部剧爱上纳兰容若            
(2星)	 越编越离谱的“秘史”            
(3星)	 虽然都说夏雨的颜不够控，但是说句良心话，虐的气氛绝对演出来了....            
(3星)	 其实是想找康熙和纳兰的JQ的……            
(3星)	 快揍我吧……给这个分单纯是为了小哇……            
(4星)	 忽然发现，我找到鉴明了。青格尔态的胡静似乎也可以海市的。            
(5星)	 荣若。。。为什么不叫康熙秘史！！！            
(NA)	 小哇实在是销魂~~            
(2星)	 I wouldn&#39;t have watched  this TV play without Wallace&#39;performance            
(NA)	 我的纳兰在这部狗血剧中多么出淤泥而不染。            
(5星)	 超喜欢纳兰。            
(NA)	 纳兰性德  完美  钟汉良  完美               
(3星)	 奴性！            
(3星)	 多么隐晦的感情啊。人在谁边，人在谁边，今夜玉清眠不眠？            
(4星)	 小哇超好，是安不错，夏雨还行，杜雨露不愧是老前辈...端敏和曹寅很温暖。但是为什么小哇要演怎么烂的剧本！！！为什么！！！            
(NA)	 很喜欢钟汉良            
(3星)	 !            
(NA)	 我喜欢纳兰容若！            
(3星)	 一个最不让我喜欢的康熙+一个让我最爱的纳兰..纠结岂是简单的两个字而已            
(2星)	 就是看钟汉良，可惜没有演技，只是很帅。            
(NA)	 原来还是挺喜欢胡静的，但在这部剧里，怎么就觉得她那么变扭呢？看来我的潜意识里还是容不下干扰青梅竹马的爱情存在。有印象的，还有就是，看到钟汉良在这部剧里的演绎后，妈妈说的那句“这个男生怎么像女生一样？太秀气了点吧！”            
(3星)	 歌很雷人  这部应该叫纳兰秘史才对，康熙又丑又讨厌脾气又古怪，哪里像个少年天子啊，相当影响康熙在我心中的形象~            
(3星)	 三星给钟汉良            
