http://movie.douban.com/subject/2365068/	卫斯理
(4星)	 这部剧里有几个单元恰好看过原作倪匡的原著小说，改编得挺给力！            
(2星)	 没意思            
(NA)	 小时候看到绿色的血吓到半夜不敢起床尿尿~~            
(3星)	 最帅最忧郁的卫斯理（捞家），最美丽的白素（蒙嘉慧），杨怡的表现很是可爱，案件也都很够味，里面每一段故事的主演们都是演技派的，看的很舒服！就是里面男女主的感情实在让人干着急……觉得白素怎么这么…… 但还是值得一看的！            
(3星)	
(5星)	 看完最后一集，我有种错觉以后再也看不到如此般对味的电视剧。            
(4星)	 已经远远不是科幻的范畴了。。。            
(NA)	 科幻片了，神奇的能力。            
(3星)	 记得当年迷死白素素了            
(NA)	 皓南嫂果然沒有演技╮(╯-╰)╭難道這種長相只能演這種角色？男女主角真是絕配，糾結的要死。            
(3星)	 若干年后知道是倪匡作品。            
(5星)	 当时好喜欢            
(5星)	 那个时候真的很迷这剧···            
(3星)	 刚看完，罗嘉良的混混造型差强人意，蒙嘉慧的小白倒是不错~            
(5星)	 很喜欢，女主角很漂亮            
(3星)	 就是喜欢看些神神化化的            
(4星)	 剧情还可以，香港电视剧一贯的风格，离不了查案，感情，时尚，人员一向都是那些人包括里面打酱油的，不过还是很吸引人，罗嘉良演的很幽默，感情自然，不过漏洞很多            
(4星)	 第一次认识蒙嘉慧            
(4星)	 吓得我魂飞魄散             
(2星)	 捞家扮相不错，精髓缺火候；蒙嘉慧的白素也是这个问题～            
(5星)	 罗嘉良的好片，值得看若干次。            
(5星)	 当年看的时候觉得题材真是新颖            
(3星)	 看过一点点。。。            
(NA)	 蒙嘉慧是个正妹。。。很有趣的剧！杨怡难得的很可爱的角色。。。            
(5星)	 小的时候觉得好吓人啊现在毫无恐感的把它看完 当时的白素简直是仙女 广西好漂亮 卫斯理是个传奇~~            
(NA)	 越匪夷所思的故事我越喜欢。            
(4星)	 就看YOYO 了            
(3星)	 恐怖片来的。吓坏我幼小的心灵            
(4星)	 蒙嘉慧真的很有气质，否则三星            
(5星)	 剧情跟原著有些许出入，不过算是最好的一部了，怎么没人再把卫斯理拍好点呢            
(3星)	 片子有点拖，为了蒙YOYO而看的，没看完。            
(5星)	 哈哈哈！！初中当时的最爱！！            
(3星)	 TVB就是那些人，讨厌那个白素，像神经病样！            
(4星)	 开始我还以为是吴奇隆那版本。其实这个也不错。但 电视上大播的吴奇隆那个...这个结局不错哦~            
(5星)	 再重温~还是在晚上吓了我一大跳~太好的剧集了~            
(3星)	 至少不是那些老套路的片。            
(3星)	 初中吧追这个的时候，看的时候心里毛毛的，怀念以前看tvb，现在港剧越来越没味了。            
(NA)	 捞家来演卫斯理有点别扭哦~蒙嘉慧演白素  和捞家不太般配的感觉            
(4星)	 第一次觉得演员和小说中的角色是这般契合 一直会去想白素到底会长什么样 yoyo一出场就知道这就是了 感谢编剧 加进去的很多感情戏让白素更真实也更让人喜爱了 罗嘉良中规中矩 杨怡的红红倒是不小的惊喜 by the way 希望伊面可以给yoyo幸福~            
(5星)	 这部卫斯理老好看了。。真的好看。。            
(5星)	 小时候最喜欢的电视剧            
(4星)	 从此真正心水罗嘉良            
(3星)	 不错。            
(4星)	 很喜欢扬明和杨怡这一对- -怎么没人8            
(3星)	 一解释5到就赖外星人            
(4星)	 好似睇过哦……有个故事讲落蛊？……            
(NA)	 啥時候再看看            
(5星)	 爱上罗嘉良`            
(4星)	 最好的一部卫斯理。觉得改编的不错~~虽然好几个故事我都刚好看过小说了。。。女主好漂亮又有气质~~白奇伟好帅哪~~没看过瘾。。。            
(3星)	 我记得小时候有被吓到...            
(5星)	 最喜欢这个版本的卫斯理和白素~~里面的插曲好好听哦~~            
(5星)	 我决定再看一遍，看看白素            
(4星)	 还不错啦~~突然想回味一下~~            
(NA)	 跟我想像中的卫斯理有点差距啊。            
(5星)	 虽然改编很多，但很多人物亮点仍不失原色，还不错~            
(4星)	 蒙的白素扮相令我非常喜欢，就是性格太纠结，少了洒脱。            
(4星)	 白素很扣分..并无神力的卫斯理总遇奇事让人饶破头!            
(4星)	 看的第一版的卫斯理，见的第一次的杨怡。扬名帅的无以复加，可是不出名。            
(2星)	 我觉得并不好看，但是我记得里面杨怡和扬明那一对，还记得那个苗家蛊毒，爱情如鸠，呵呵，一定要分个生死输赢            
(3星)	 复古了            
(5星)	 太好看了···可惜是罗嘉良主角····但还是太好看了            
(5星)	 悬疑很不错            
(4星)	 很搞笑            
(4星)	 轮回转世、蛊惑降头，甚至神仙和外星人都轮番上阵，无论你是喜欢神鬼还是科幻题材，都可以从中找到共鸣。而与那些无法用科学解释的奇案相比，剧中所有具备一定戏份的女性角色也全部不是省油的灯，同样无法让人以正常思维揣摩。总体来说是一部比较精致的剧集，罗嘉良和蒙嘉慧的表现中规中矩。            
(4星)	 改编的呢，自然是要稍微差点，不过两个主演都是我喜欢的，就还好            
(3星)	 怪不得在吴奇隆版的卫斯理里面，把白素的性格改掉了。我爸一看到罗嘉良就说，这家伙老了哦！剧本不错，捣鼓出来的影像也差不到哪里去。            
(5星)	 很好看！！            
(4星)	 超级可爱的红红~~~            
(3星)	 間斷地重溫了一次，故事還是挺吸引的，就是白素感覺怪怪的~            
(3星)	 就是因为喜欢卫期理把这烂剧看了两遍，里面的卫斯理和白素实在是太不招人待见了，真想PIA飞……我要是倪匡，绝不让他们这么改……太伤人了            
(3星)	 唯一还行的就是白素,很美的女人            
(4星)	 喜欢~~            
(4星)	 呵呵，我看了港剧差不多十二年了，这些戏就是重要组成部分了            
(5星)	 跟TVB传统的片子不一样，到底是倪匡的作品            
(2星)	 罗嘉良老了。            
(4星)	 捞家不像卫斯理，蒙嘉慧简直就是白素，科幻剧也不错。            
(4星)	 就是因为这部电视喜欢上蒙嘉慧的。            
(2星)	 罗嘉良只有倨傲的气质像卫斯理            
(3星)	 非常汗，非常雷，后面有所改善，结局莫名其妙...            
(5星)	 很好的电视剧，因为很少人看过，显得更好了。哈哈            
(5星)	 我心目中的白素就是这个样子的            
(4星)	 这一个版本算是我最满意的了。            
(3星)	 罗嘉良             
(NA)	 最美的白素            
(4星)	 每个故事都很棒            
(5星)	 卫斯理 都喜欢```            
(NA)	 哈哈。。。很搞笑的卫斯理。。            
(4星)	 挺好看的~!            
(NA)	 推理+悬疑            
(4星)	 卫斯理小说的忠实粉丝，就去看这部剧了。喜欢杨怡。            
(4星)	 不错~~~            
