http://movie.douban.com/subject/3864306/	谈情说案
(3星)	 happy weekend……            
(2星)	 那我认真地回答你，我不会再和你在一起，因为我不能再接受你。            
(4星)	 其实我更喜欢Lo Sir   =..=            
(3星)	 拍得像柯南一样的。。。            
(NA)	 bug太多了            
(2星)	 和神探伽利略不在一个水平上。破案很儿戏，感情更牵强。林峰和杨怡是不是都打了瘦脸针？            
(3星)	 看完这个电影我就想起小学数学老师常说的一句话：学好数理化，走遍天下都不怕            
(NA)	 犀利妹講果段失戀感受 真系悲催            
(3星)	 结局是不是弄的太团圆了 其实很中意那场kings在澳洲的哭戏              
(5星)	 那最后一集搞的我是从头哭到尾。。。好琼瑶额            
(4星)	 好看！結局要不要這麼誇張，全世界幫忙複合麼~哈哈哈            
(4星)	 很多瞬间我还是被感动了。            
(5星)	 只因廖碧儿我力挺到底，这只是我个人意见            
(3星)	 跟老妈一块儿看完了，现代版灰姑娘嫁王子，结尾有点扯大了（…）。倒是马国明那对很有亮点o(*////▽////*)。            
(2星)	 案子太弱智，教授帮警察破解离奇迷案真的不是伽利略么( ﹁ ﹁ )             
(3星)	 雾水一头。            
(4星)	 并不是每个professor king 都能找到犀利妹            
(4星)	 没有讨厌的人物 对物理依旧不感冒 最后的众人出动太假啦             
(4星)	 看TVB的習慣一直是有林峰再看劇情。每個案件都有細節上安排的漏洞，也難怪題目也是談情為主，說案為輔。kingsley的角色真的詮釋得很好，兩個人的感情很現實，只是結局太扯。不是每個人都可以是犀利妹現實里也沒有教授景，但它體現的香港人的精神面貌和討論的東西都很有意義。            
(3星)	 不太有意思            
(3星)	 完全为了林峰在撑。            
(NA)	 林怡在里面怎么都不换鞋。            
(3星)	 粤语比普通话的好听！最不现实的就是麻雀变凤凰的戏码            
(NA)	 天才不应该有感情            
(3星)	 这。。是抄日剧 伽利略的吧- -只是港剧化            
(5星)	 做犀利妹，会遇到幸福爱情哈哈。            
(5星)	 马国明依旧那么警察 依旧那么帅            
(3星)	 TVB的电视剧么，就是消磨时间的。            
(4星)	 就看了情没看案            
(2星)	 。。。             
(4星)	 本来只给3星。最后一集还算精彩，加一星。            
(3星)	 感情戏部分很烂诶！            
(3星)	 談情2.5分/說案0分            
(3星)	 真是懷念TVB原來的警匪劇。要不是有楊怡和林峰我才看不下去。            
(2星)	 山寨三姑六婆伽利略。            
(3星)	 其实就是港版的《神探伽利略》，杨怡就是柴崎幸那个角色。            
(2星)	 情谈的不怎么样，案就说的更不怎么样了            
(3星)	 一开始爱上我，最后你放弃我。            
(3星)	 竟然才出到第九集啊？不过这个片子确实有点小弱，林峰不适合演这种装绅士装淡定的角色啊啊啊啊。还是怀念他演《美味情缘》时黑小子的可爱劲儿～//最后结局有点狗血，犀利妹转变心意太快鸟。            
(4星)	 ~~ 我就知道我的人生已经结束了            
(3星)	 峰怡~马国明倒是从铁马寻桥开始就有进步，现在也不讨厌了。说案的部分很弱，基本都在谈情。            
(4星)	 马国明比林峰帅多了，为什么这么多女的喜欢林峰。林峰演戏实在太装了，杨怡宫心计以后就没拍过好片子，浪费啊。廖碧儿的大脸啊，实在是爱国            
(2星)	 啥也不說了..........            
(3星)	 打定分先。剧情麻麻，但18集分手戏值2星，表演和处理上都不错，这个叫“吴镇宇”的编剧系得既。            
(2星)	 看不下去了            
(2星)	 一颗星给重口味医生 一颗星给黄氏兄弟            
(3星)	 剧情有点寡，但峰少是我最爱。如果我愿做犀利妹，谁是我的Professor 景？Lo sir很帅喔！            
(4星)	 其实太多物理我这种笨学生也只能看个大概啦。每次看TVB都会被副线吸引，这次也是。⊙﹏⊙b到后面倒是更关心Lo sir和廖碧儿啦。马国明撒娇还蛮可爱的。╮(￣▽￣&#34;)╭越看到后面越觉得杨怡看起来比林峰年纪大。            
(2星)	 其实拍得真的很粗糙,亮点绝对是大量的吻戏和床戏,没想到TVB的剧尺度居然去到那么大了~可是男女主角只有亲额头！真是...            
(3星)	 谈情狗血，说案脑残。。。但是TVB的剧再烂再平庸都会让我每天看得好愉快。。。。苯胺基丙酸这词要红。。。            
(3星)	 真的 浪费了好不容易在相聚的林峰和杨怡            
(3星)	 结局转的太快了。。            
(3星)	 世间各有姿态 看你怎么活了              
(4星)	 看到林峰就不爽。。。            
(3星)	 好神探伽利略啊……        好想说那个二哥真的好讨厌好没教养啊啊啊啊=。=       感情方面好狗血……            
(2星)	 日啊！！！终于补完了！！！！你怎么那么多戏份啊！！！！！            
(4星)	 林峰演的这么完美。。。            
(3星)	 TVB新晋小生林峰同学，水汪汪的温柔眼神，演技虽然不给力，但姐姐我看好你！            
(3星)	 苯氨基丙酸……            
(4星)	 真心觉得林峰很难看...马国明还蛮可爱的 另外现在的片子都是宽幅拍然后拉伸过么 怎么人人长手长脚 卡通片身材            
(3星)	 1.杨怡姑娘啊你演戏可不可以不要这么浮夸== 2.马明好帅好帅好帅花心大萝卜神马的最有魅力了 3.结局求婚怎么能不跪下呢 4.结局好狗血。            
(3星)	 扯            
(3星)	 怎么觉得杨怡越看越一般了。            
(NA)	 虽然看了第一集就猜到结局了……还是比公主嫁到好些            
(4星)	 近几年看的唯一TVB            
(4星)	 tvb的剧不能要求演技。。。每次都给林峰演这种集万千优点于一身的角色。。。最后的boss居然让黄浩然来打酱油。。。            
(3星)	 光谈情了，说案一般~            
(NA)	 07+特地看幾集看下到底有幾抄神探伽利略…… 不過呢~洪爺是亮點！！            
(3星)	 一度弃剧            
(3星)	 香港人活得既矫情又辛苦。PS：男二号长得越看越帅 不错。            
(3星)	 三星半。很烂俗的套路。但TVB的剧情有时就仿佛是流水作业。我记得大概10年前，最喜欢做的事情就是每个周末边做作业边看港产警察类职业剧。这部剧无论如何来说，都算是近几年看下来不错的了。            
(NA)	 粤语视听班。(人设、布景都很像伽利略嘛，情节总抖这点倒是很港片)            
(NA)	 求物理男！            
(3星)	 不是所有恋情都有美好结局。            
(3星)	 没什么有印象的案子，谈情多。感觉景博就是万用超级电脑不是物理学家，然后就和福山大叔一样拯救世界鸟，不过林峰太绷着了，幸好国配挽回不少分，相比下马明这个角色就很讨巧，廖碧儿前期还不错，后期就有点用力过猛了，杨怡，我还以为金铃今世被三圣母附身了。发型都囧，马明不错，基本就在追他看了。            
(NA)	 编剧粗糙，情节不仅俗套甚至弱智，低成本港剧的范例。            
(4星)	 我是真的真的喜欢上马国明。哈哈哈            
(3星)	 最后那里也忒夸张了。。。            
(4星)	 挺精彩的，特别是到了后面，让我从新认识马国明            
(3星)	 唯一长处就是让我看到马明是多么的帅气。最后七十亿年的那段告白有点儿击中我，想到七百年后了吧。犀利妹失恋那段的表现总让我想起之前的事情。TVB的剧集一直告诉我们好人有好报，以致于我经常鸡血的想做一个好人。还有，妈的我一直听粤语歌看港剧就好了追个屁霓虹国啊，入戏太深了吧            
(3星)	 快点成长吧，你们现在还不够味，【情是谈了，案说得太扯了，果然鉴证实录法证先锋最高啊~】            
(4星)	 如果这个世界有轮回，生生世世爱，都只能爱她70亿年。有没有人可以告诉我，在我有生之年能不能做出时光机，让我回到过去，再爱她一次            
(1星)	 麻痹，一个像样点的案子都没有，模仿伽利略倒没什么，可你起码弄的像一点啊，香港人总是喜欢把大部分的时间放在感情上面，还要牵扯到家族背景，累不累啊。            
(3星)	 就算俗套還是想往下追....廖碧兒美翻            
(3星)	 马国明你太投入了！！！            
(4星)	 不是很喜欢杨怡和林峰，不过剧情不错，有点美剧的感觉            
(4星)	 峰少很帅，杨怡依旧大气同美，马国明突然不那么男8号，廖碧儿也焕发power。。。好怪的剧。。。如果结尾不是大团圆，会不会更美好？让犀利妹依旧是原先的犀利妹，professor King 还是原先的 professor King。。。            
(3星)	 啥都会，那还是人不了。            
(4星)	 不错咯~~~~ 我都极喜欢里面；林峰饰演的青年天才物理学家一个角色的。我只是中意他一个人在剧集里。不过马国明同廖碧儿的关系以及马国明的挣扎也都很有趣撒。ok咯。看下先。昨晚看到凌晨4点，好困。。。            
(4星)	 俗套剧情可是看得很上瘾 = = 感觉峯仔的脸好僵啊好僵。马明真的变好看了。            
(NA)	 什么时候TVB可以不把人塑造得那么完美,结局也不要全是大完满            
(5星)	 因为杨怡就值满分            
(NA)	 林峰的3、7分啊。。。            
(4星)	 雖然套路跟神探伽利略像..理論也沒伽利略好.但是總體來說還好啦.結局太倉促,,編劇太狗血,從頭到尾都是清水戲啊.連個KISS都沒有..編劇你還好吧..激情戲全給馬國明了.廖碧兒我怎麼看在怎麼丑.            
(3星)	 没说案，情谈的还行。            
(4星)	 最后紧张的几集，有加分~            
(4星)	 林峰不错，以前美味情缘的时候就很喜欢，做梦还梦到过（发癫）            
(3星)	 TVB刑侦剧就此没落            
(5星)	 挺好卡看的~~~            
(4星)	 即使這樣，也只有70億年            
(2星)	 【懂的入】---学好物理的，才是警察中的战斗机！╮(╯▽╰)╭就看了5集，咔嚓掉算了。            
(5星)	 最近最好看的一部片子……            
(3星)	 睇杨怡~看第一集曹教授的实验室就知道接下来的剧情是仿神探伽利略的吧...唉            
(3星)	 只看到谈情没看到说案，以为有精密的物理知识高科技，结果是科普。却是今年第一部我坚持看完的剧。。            
(NA)	 马明和廖B儿~反而出彩            
(3星)	 林峰真不该演这个角色！！            
(4星)	 其实还行 要是把杨怡换掉更好            
(3星)	 犀利妹            
(5星)	 &lt;24 完结&gt;有少爷和马明就够了！！少爷的笑容依旧迷人，马明意外地很型；杨怡在犀利妹和景教授分手后的几集里演的真好，片尾的短发实在是不好看；廖B2忽略。谈情大于说案的剧，就别纠结剧情了XD            
(3星)	 用脚趾头想都知道翻神探伽利略必死            
(NA)	 也不晓得啥时候才能挤出时间看。。。╮(╯▽╰)╭            
(3星)	 三星半，一星给李天翔一星给黄浩然，主演拿半星，主创拿一星辛苦奖。            
(3星)	 阿峰你真的不适合三件套……另外这个角色太没亮点了，花心Loo Sir比教授萌一百倍。            
(4星)	 光看好男人就行了= =            
(3星)	 最近看了这么多tvb的电视剧，一直以为是用来消遣时光的。第一次被tvb里的爱情给感动的唏哩哗啦的。分不高但是杨怡演的足够真实啊。            
(4星)	 “如果有轮回，如果有生生世世，我也只能再爱她七十亿年。”            
(4星)	 我觉得是部好剧            
(3星)	 山寨版汤川学……（……）不过林峰扮演的景教授真心好文弱 囧 感情戏可以期待一下 w||| 呃总觉着杨怡、张可颐和袁洁莹三个人好像…tvb特质……            
(5星)	 完全抓住point咯            
(4星)	 没看过传说中的伽利略，这部剧还算不错，林枫和杨怡在这还挺配得            
(4星)	 宅家火锅边吃边看，一直看到大结局，觉得马国明好像海绵宝宝啊            
(5星)	 马国明喜欢喜欢~~林峰喜欢喜欢~~矮油矮油~            
(3星)	 林峰你演得真娘啊！！！虽然男女主角我都不喜欢但是。。。。有的桥段还可以。。。还比较真实！！非常之有同感！！！            
(4星)	 林峰啊！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！            
(NA)	 怎么马国明那么帅。。~  &gt;　＜   觉得杨怡失恋那样很蠢  可能自己没体验过吧。。= =            
(3星)	 我现在超级讨厌什么深入浅出讲科学抄袭痕迹过重又不如人家精良，剪辑倒是花里胡哨但是也不吸引人眼球，不过刑侦剧也算是tvb一直以来的一个重点项目，还是比一般的情情爱爱大家族情仇什么的好看一些，至少零零落落也能自己成为一体嘛~从一开始就在期待马国明最后变成个大混蛋可居然最后还是个良民啧            
(5星)	 我要拿出学日语的劲头来学白话啊！！林峰和杨怡都是我的菜！            
(4星)	 那个KINGS实在是一个集物理化学生物心理IT各方面学问于一体的富二代帅哥啊！！！             
(2星)	 有点失望，耍朋友的桥段太多了，我宁愿多来点案子。不过最后一个案子还是有点意思。            
(3星)	 TVB总是能把俗死了的剧情拍出亲切感~            
(3星)	 林峰发型好奇怪orz。最后是好假的Happy ending#。#   有句台词不错【我们总高估了自己 以为可以遇到更好的人】            
(4星)	 还行。            
(3星)	 林峰原本多帅一小伙啊干嘛这么跟自己的下颌骨过不去搞得面瘫加畸形；我姑且理解SP和十几年老朋友两种关系并存，但Nichole回来后对有爱的多年SP的若无其事的亲昵态度让人不得不怀疑所谓男友只是伪装来刺激Lo但结果居然不是；廖碧儿的演技真的是不行以至于我看她越来越不顺眼了；编剧仇富哦            
(5星)	 又喜欢上林峰了！            
(5星)	 杨怡好靓~！            
(4星)	 帅哥教授！            
(2星)	 和林保怡的某片一个水平。难兄难弟            
(3星)	 真的好一般。            
(3星)	 案子神马的都是浮云，林峰迷死人。“如果这个世界有轮回，生生世世爱，都只能爱她70亿年。有没有人可以告诉我，在我有生之年能不能做出时光机，让我回到过去，再爱她一次。”多动人。             
(3星)	 林峰你回去减肥！！减肥！！又是一灰姑娘的故事，导演又乐呵呵地看着一群腐女YY中了。            
(4星)	 即使前面看过《神探伽利略》再看这部剧也无影响。看港剧就喜欢里面的人情味，好浓的咯！峰少真是帅！但演风流公子更妙，扮科学家的确有种他随时都会爆笑的感觉。            
(3星)	 翻版伽利略。。很一般            
(3星)	 比較喜歡看破案，那個情啊神馬的是馬和楊的時候亮了。求一次科學物理化學生物男，但是不要變態神經男！！！            
(3星)	   结尾直接让我无法忍受。            
(NA)	 角度不错，我越来越爱物理的。            
(NA)	 和圭吾的预知梦有类似。都讲物理化破案。不过穿插感情。欢乐些            
(4星)	 我喜歡楊怡            
(3星)	 神探伽利略            
(4星)	 男女猪脚很养眼，林峰真的很帅可惜只会穿马甲...剧情实在很一般。            
(3星)	 马国明好帅！            
(NA)	 我又三俗了。。。老想看些不用动脑子的东西            
(3星)	 我主要看馬國明床戲了 加分點就在這裡 劇情神馬的都不好看~~            
(NA)	 大概坚持到。。犀利妹跟男主角勾搭上。。            
(3星)	 女主角怎么有点大傻的感觉。香港电视剧，总觉得爱恨来的太快走的也快。故事情节也来的太快，走的太快。不用动脑筋，没有意外。            
(3星)	 对于马国明那类相当之受不了~自以为自己很帅~不过就是个小丑罢了~人丑还是有自知之明的好~也就林峰和杨怡勉强可以看看~            
(4星)	 LoSir帅死鸟~            
(NA)	 烂            
(5星)	 港版神探伽利略            
(3星)	 bug多到死            
(4星)	 装B男            
(1星)	 标准的TVB格式山寨            
(NA)	 哎，就让这种结局恶心死我吧~            
(4星)	 评价都不太好。我觉得还可以。至少比飞女正传好他吗一百倍！            
(3星)	 主要看谈情。说案的话，真的不如去看伽利略和脑先生~对马国明实在很有爱啊！            
(4星)	 杨怡演的真的蛮好的额 那种失恋的痛真真切切。。。马国明演技上去很多~            
(2星)	 推理弱。阵容没爱。            
(NA)	 花伦同学头，哈哈哈。。。案情很弱。            
(5星)	 为什么我不想的时候给我，给了我又拿走，是不是在耍我？!            
(4星)	 日剧《神探伽利略》的山寨版，爱情部分拍的很天真很理想，属于童话级别的～            
(3星)	 老套的TVB剧情，消磨时间好方法            
(4星)	 情节的确是做作  鉴证科+防爆专家都不抵一个Kings 可是 谁又能说不想身边有一个Kings呢~  这个Kings不一定要有钱 只是他无论何时都会站在你的身边支持你 犯错也会担当不逃避 工科男深情起来 真是让人受不了……            
(4星)	 &gt;_&lt;林峰！            
(3星)	 炒冷饭，早就猜透            
(4星)	 果然谈情是终点啊！            
(4星)	 干脆全部讲英文吧。上流圈那种时不时一句 我很happy，实在渗人啊...            
(4星)	 每次有案子都去求助大学教授..这也太低估警察的办事效率了吧.            
(4星)	 林峰好帅好帅~~~~~原来廖碧儿就是她！我靠！！我的陈豪！！！我的哲男！！！            
(3星)	 抄日剧很多那杨怡很不顺眼，马国明和廖碧儿才有看点            
(3星)	 好在最终都一对对了            
(4星)	 唉。。结局看得人好勉强好无奈好开心啊。。            
(3星)	 最后两集 加了一星            
(3星)	 挺假的            
(4星)	 这部剧败就败在：对于情感，描写的不够深刻。让看惯偶像剧的人觉得，俩主角在一起 分手 又复合没什么FEEL； 对于案件，又太过简单，让看过原版亦或是忠于《法证先锋》此类的人来说，完全不够味。            
(4星)	 破案过程比不过伽利略 谈情还是很好的。            
(3星)	 如果不是TVB，如果不是林峰。這部劇的期待值跟觀看值都會變很低，劇情不免俗套。可是，斷斷續續的看完，竟也不討厭。            
(4星)	 冲着峯少去的 好多人说抄袭神探伽利略 哪止噢 还有MrBrain Boss等等日剧的影子 不过片子不难看啊             
(4星)	 抄不抄《伽利略》的暫且先不論 但昰聰明的劇本總昰可以吸引到我.  還有! 馬國明!! 帥得很不賴!!!            
(4星)	 很好看，但是有些老套。。不同阶层的爱情。            
(3星)	 小儿科了点            
(NA)	 有剧透说和日版的神探伽利略内容很像，因为没看过，也就不发表评论了。还有，林峰真的很帅！！！            
(4星)	 我是真没耐心的一个人 看到14集 后面听我朋友叙述 直接跳最后一集             
(3星)	 峰少绝对整容了!!!此片模仿神探伽利略啊            
(5星)	 主题曲不错~不过……那个gorden怎么那么纠结啊~            
(4星)	 爱情就是苯氨基丙酸的化学反应            
(NA)	 我总是冲着卡斯追剧，，，哎~            
(3星)	 基本都在谈情，案件颇弱智。峰少虽然顶了花轮同学的发式，还是帅得掉渣子，又帅又有钱又聪明又专一，编剧特意弄出来供俺们花痴的吧？！            
(3星)	 还行吧~港剧的老模式了，不过看到煽情的地方感到很头痛，还是更喜欢喜剧片            
(4星)	 看电视剧真的很累人            
(3星)	 神探伽利略+BOSS+MR.BRAIN+TVB传统路线富家子vs贫穷女=谈情说案            
(2星)	 天然不喜欢女角3号：廖碧儿            
(1星)	 柯南的港版 麻痹的            
(NA)	 好中意马小明&gt;&lt;            
(3星)	 那么老套的结局，我却还是哭了……哭点果然太低啊太低！其实类，我觉得GODEN跟NICKON的生活更让人羡慕呢……            
(3星)	 实在看不下去            
(3星)	 节奏快得有点缺人情味鸟            
(3星)	 只是为了看峰少=。=            
(4星)	 后边10集不错            
(3星)	 只有谈情没啥案            
(3星)	 港版神探伽利略。不管什么故事，TVB就是有本事弄得这么“港”。幸好有卢sir撑场。            
(5星)	 重感情的人，心地一定很好的，心地好的人一定会有好报林峰，看好你            
(3星)	 物理学家神马都懂==！            
(NA)	 案件倒没什么吸引人的 和伽利略相比 感情线太明显了 不错 日本的东西都那么不明不白的 但是感觉福山雅治演起来比较有科学家气质            
(2星)	 昨晚等早班火车磨时间看的，真是先“谈情”，再“说案”            
(5星)	 非常喜欢！！！            
(5星)	 好好看~            
(5星)	 喜欢男主角那句表白：就算上天能让我跟她再在一起，就算真的有轮回，就算我们可以生生世世相爱，我也只能够再爱他七十亿年……            
(4星)	 多一颗星给我爱的男人的。。            
(2星)	 tvb不要再拍侦探剧了。。            
(4星)	 其实林峰吧，我觉着长的不帅，偏偏他每次演的都是我的菜            
(2星)	 林峰，你不要这样好不好。            
(5星)	 2天之内，全部看完，我觉得还是不错的，不过有些小问题，也就不计较的，最深刻的是在分手的那场戏，我哭的一塌糊涂，倒不是因为杨怡的表演，只是深有体会，在厕所哭的时候，我也跟着哭的不行，因为被抛弃了，最爱的人不要自己了。不过找个lo sir这样的男人，是真的不错的。浪子回头。            
(4星)	 好少看港剧会流泪。。。。。其实林峰的砖头文image不错。。唉            
(4星)	 好看好看真好看！我就是喜欢卢sir！            
(3星)	 想4星..但你copy了多少部日剧啊..            
(4星)	 犀利妹好幸福！！            
(3星)	 伽利略无法模拟！！杨怡太丑了 剧情太弱了            
(3星)	 就不断地想起神探伽利略啊啊！            
(4星)	 Professor 景&amp; 犀利妹 10/11集演的真的很真啊~ 可是为什么总觉得他们谈情太多了 而说案就少了呢 管他抄袭不抄袭 至少还是不错的 毕竟是TVB典型的风格 爱情最后还是以圆满收尾 而案件呢 也最终水落石出 很喜欢林峰 但是受不了他里面的紧身马甲和紧身裤啊...泪奔！            
(4星)	 在木讷林峰的衬托下~滑头的马国明真是出彩啊~身材又那么赞~那小坏笑~那大长腿儿~真是迷得的我七荤八素的啊！！！！！！            
(4星)	 结局应该弄成悲剧。。            
(4星)	 我果然还是喜欢…LO SIR这样的男人。有些桥段和伽利略、脑先生很像，微妙啊= =反正我也没认真在看“说案”部分。            
(3星)	 林峰在这部戏里样子真是囧到了极点，呆板而故作矜持。剧情硬伤很多。最后几集更是狗血，果然是TVB的套路啊。            
(4星)	 1 感谢林峰姑姑的发型让我想到我还有碗没洗 2 看到靓怡哭我也飙泪 3 不用怎么动脑子我肯定很早就得老年痴呆症因为太懒了4 马国明好帅啊 啊啊啊啊啊啊5 刚看到有人说林峰长得好像植物大战僵尸里的坚果，好像！！！眼泪笑出来了。。。            
(4星)	 如果，人可以爱你七十亿年。            
(2星)	 看得囧囧有神            
(3星)	 有点模仿 神探伽利略            
(4星)	 林峰萌！            
(3星)	 最后那集看哭了。。。            
(4星)	 谈的是情，说的还是情。也就最后一个案子过得去，不过怎么感觉一个物理教授变成了名侦探一样…            
(3星)	 还好，林峰+杨怡。            
(4星)	 杨怡好好戏            
(3星)	 无聊打发时间可以看            
(4星)	 你爱我是因为化学反应，你憎我是因为一道数学题。            
(NA)	 我想说在我好不容易适应了杨怡的长相后，她突然哭了起来，那样子，实在惊悚            
(3星)	 有抄袭神探伽利略的嫌疑啊            
(1星)	 无语            
(3星)	 马国明和廖碧儿太要了。。。。            
(4星)	 好久没看港剧了～这部觉得还不错～            
(4星)	 林峰是不是瘦了～虽然是山寨版神探伽利略，不过看得很欢～            
(4星)	 终于看完了。。比较无语。。            
(3星)	 能不能別大團圓結局啊！            
(4星)	 我主要是看林峰的   看着看着觉得马国明好诱人·····            
(3星)	 粤语真是好听啊。Kinsly最后的那段获奖感言让我感动了，虽然一开始觉得他很混蛋。            
(3星)	 對比神探伽利略看、、、            
(2星)	 赤裸裸的抄襲，可惜TVB就是抄不到人家福山的演技。 只有馬國明，才是亮點。            
(NA)	 不是太喜欢这部里的杨怡。。然后继续TVBL。            
(NA)	 唉            
(NA)	 虽然说还是看哭了，但是都不晓得为啥子哭。。            
(NA)	 峯少型晒！！！！            
(3星)	 2010-6-26，Frog。看完了，我不明白是什么支持着我看完的...感情戏，除了分手那次很强大，其余...不得不说无聊啊~~~无聊死了~~~ 案件也够傻，跟福山没得比~~不用比            
(NA)	 结局有些仓促~            
(3星)	 吐槽的最佳材料。一手拿三叔的黃河翻着，一面看這部電視劇，這大結局令我笑到眼淚都差點飆了出來。            
(NA)	 第一次看，还是看结局……一路吐槽到结尾。实在是抄袭（神探伽利略）也这么狗血是不好的呀= =             
(NA)	 结局。。。            
(4星)	 几好睇啊，不过唔系好中意呢个结尾。            
(3星)	 最后那个“油麻地复合行动”是不是太过了点。。。。            
(4星)	 結局很丑``            
(4星)	 TVB味很浓了 无谓和日版比 马明不错 杨怡从哭戏之后状态都好 编剧不错 情也谈了 案也说了 是很好追的剧            
(4星)	 男猪脚都很帅...            
(3星)	 哎 情以何堪啊 林峰整容难道是整的表情僵硬了么 看完杨怡很腹黑的样子 这么清纯 有点不习惯呀 马国明帅了很多嘛             
(5星)	 好好看啊！！！！！！！！            
(3星)	 其实不算多好看，但就是喜欢香港TVB这种一家人和乐融融的感觉            
(2星)	 这么多年过去了，这堆人依然是无法担纲的感觉~不过真的好久没看TVB新剧，看看仲怀念。其实马国明是一眼就知有前途那种。            
(3星)	 真撒狗血..劇情沒以前那幾部破案的好看,看點就是林峰吧 =w=            
(3星)	 增烂尾...            
(5星)	 杨怡越看越顺眼。无条件花痴峰少。点算，我真系顶唔顺科学男讲情话~            
(4星)	 爱上Kingsley。            
