http://movie.douban.com/subject/5958623/	谁家灶头无烟火 誰家灶頭無煙火
(4星)	除了最后那场印度群舞有点傻兮兮，其他都有爱！
(4星)	其实我挺喜欢情景短剧的。
(3星)	没看完
(5星)	情景剧都好看
(4星)	160集看完了，还有点不习惯，睡前没有它的日子，栋和贝儿，你们好衬！
(3星)	自从天天天晴后我喜欢陈智燊与田蕊妮的搭档。
(3星)	太长了...
(4星)	20110308-20111014 @ office : 不知不覺已看了半年. 雖是expected的大團圓結局, 有時陳腔濫調, 但感覺溫馨. 最喜歡看阿田和馬蹄露的啦:)
(5星)	钟国栋和贝尔这一对，就值得满分！
(4星)	情景剧很好看的好吗！！
(3星)	很可爱的电视剧 。。。
(4星)	渐入佳境
(5星)	男帅女靓，几天感情线也蛮赞的~
(4星)	大爱白玫瑰 大爱玛丽姨 大爱高瞻 大爱厨艺中心 大爱Coffee corner 真希望这部剧集永远播下去
(5星)	五星都给二叔和保龄球~
(3星)	160集 又突破了  
(4星)	无聊没事做可以看一下的家庭剧
(5星)	很有爱的片子，超爱啊。坚决顶了！
(4星)	欧锦堂很突破呀，比同事和毕打里都好。工戈草头右框七蕊妮好可爱~~~白玫瑰也不错。就是编剧很一般，虎头蛇尾的感觉，前面都还好，后面就激进了。
(4星)	好餓！！！
(4星)	短而精悍。这样的港剧每集轻松又内涵。
(5星)	好长……
(4星)	喜欢岑贝儿。
(5星)	蛮搞笑的 过节看不错的
(2星)	当初是为了何傲儿看的 看了20多集 没有一点兴趣了 觉得不是很好看 至少没有想象中的好看
(4星)	有时候看港剧 虽然有些东西看了有点假 但是结局总是圆满的让人欣慰 浮夸的人生百态偶尔看看也不错的 160集终于搞定了 
(3星)	集数太长鸟
(4星)	好长啊，看到80多集没看完，喜欢看tvb这种一集一个故事
(4星)	终于看完了。。。120集之后渐渐都不那么欢乐了，各种之前的苦情伏笔都开始发功了。。。但是都不影响我看完160集Orz杜太的短发好靓^^
(4星)	后半程有点过于狗血，不过还是不失为一部好剧~~
(3星)	20分钟一集的情景喜剧。不过任何电视剧都摆脱不了狗血的剧情，情景剧也不能免俗。刚上演了一段失散姐妹不相认，姐姐恨娘，娘患绝症的戏码，但田蕊妮的表演还不错。那个演玫瑰姐的演员我很喜欢，长得不好看的演员才会在表演上下真功夫，喜剧需要这样豁得出去的表演。这部戏随便看看打发时间还可以啊。
(NA)	这部真的不错。
(4星)	无聊时看的轻松剧，演唐晶晶的有点做作....
(3星)	本来给四星，因为Jessie回来后那三个人的傻逼狗血让我减了一星，哼。。。
(5星)	相当不错的片咯！短短的20分钟，却让你一直念着！
(4星)	人物很个性~追过~
(4星)	无聊时候很好的消遣剧，每一集都短短的不错，就是剧情有点拖沓啊~
(4星)	杜太和陈同学....
(4星)	TVB一贯的港式家庭喜剧
(4星)	传统典型的香港轻喜剧，逗人一笑，乐得轻松
(4星)	一集集地把这部剧追完了，很好看的生活剧~~
(4星)	这两年TVB的情景剧真是比40分钟的黄金档出彩很多~~走温情路线，又用食物来做主题，每次一边吃饭一边看，真是饭都能多吃一碗！所以160集什么的根本不够瞧的啦~~
(5星)	不错，特别有家庭气息的一部剧，轻松搞笑好看，田蕊妮演的角色很喜欢~
(3星)	随便看看蛮好看的，就是长了点要坚持。
(4星)	蕊蕊^ ^
(4星)	第一次看TVB的处境剧，感觉很舒服。By the way，迷上了大叔欧锦棠
(4星)	虽然已经缺失了不少粤味，但那股烟火味生活气我还是很喜欢的。。。TVB，我自细中意。。。
(5星)	我不知道我是絮叨呢还是絮叨呢。太喜欢杜太的小短发了。真的还不错。很开心看的。今年看的最喜欢的吧。
(5星)	温馨有爱~
(3星)	连载的时候每天有时间就看看，居然也看完了，真是服了自己了
(5星)	!!!赞
(5星)	巨好看！！！！每集都！！！！
(4星)	追了好久的。蛮温馨的。向往中的编辑杂志社生活。人间烟火。
(4星)	喜欢贝儿和二叔，不喜欢全定琪那对。。。
(3星)	茶余饭后的消遣，但是为什么剧情介绍和剧情对不上呢，特别是大结局
(4星)	田蕊妮田蕊妮田蕊妮田蕊妮田蕊妮田蕊妮！！！！！！！！
(5星)	温暖
(3星)	汗 要不是田蕊妮~真的看不下去了~太长了~
(5星)	家庭喜剧。很好看。
(4星)	160集！我好厉害
(5星)	这种片子,就是我的style~
(5星)	看着轻松无压力，不错
(3星)	典型肥皂剧
(NA)	擦。。。160集啊！老纸是奔着跟食物有关去的。结果都没怎么提到食物其实
(4星)	我好喜欢田蕊妮大头这个梗啊哈哈哈哈
(NA)	一定要看粤语版的。
(3星)	从来没看过这么长的欢乐扯淡剧
(5星)	很长 可是很好看
(5星)	每集只有20多分钟，每天上下班路途最好的消遣。160集那么长，没有厌倦。每一集，都有小小的感悟。TVB最擅长的家庭啦情感啦生活啦，细腻温情。如果人生中，每个人都可以为理想为深爱而义无反顾，也许世界上的幸福会多很多。
(NA)	160集啊我竟然一天一天的看完了。。
(3星)	这种剧还是适合用电视追…… 
(4星)	很温暖的电视剧
(NA)	睇D唔睇D 主要问题是离开家了就没看 但觉得还不错
(4星)	最大的惊喜就是玫瑰姐！！
(4星)	讨厌钟国栋，所以减掉了一分。话说我昨天看TVB万千星辉投票中，钟国栋居然是男主角，我吐血啊，难道不是华哥么？
(4星)	160集 终于看完了 类似于《搞笑一家人》的家庭情景剧 还不错 每集都有亮点 有几对越看越顺眼
(5星)	贝儿二叔玫瑰海儿家明思翰琪琪思雅田凯欧高荣Susan玛丽高生菁菁大佬钟森姨..一路追完谁家,各个我都好中意!!第一次完整的看处境剧就是谁家,真心值得..期待你们多多合作,有谁家2当然最好了!!
(5星)	很爱这一类的情景剧。有情节，有思想，有内涵，却又不会很沉重~~~
(4星)	好有趣好有趣。。。
(4星)	喜欢里面台词的感觉！
(3星)	感觉是我看过最长的剧集了，看的哈累，还好是变绣绣变看，不至于太无聊
(4星)	160集诶，虽然有些剧情无聊，场景假，但更多的感动温情不可多得
(4星)	好！
(NA)	很不错的一套剧 演员剧情都好
(5星)	很温馨的一部电视剧。从第一集就追着看了.
(4星)	8错! 演员和角色极配，故事小温馨，融洽和谐的家庭关系特别温馨，还时有感悟!
(5星)	家庭主妇的必备电视
(5星)	清新恬淡的生活，充满甜蜜的岁月····
(5星)	繼“畢打自己人”之後每晚必追的TVB處境劇，好看~~幾乎每個角色都是喜歡的。
(NA)	还蛮喜欢的
(5星)	舍不得就这样完结了 轻松又温馨好笑 最重要的是全局木有一个讨厌的演员 恩
(5星)	正！第一部每一集都追着看的情景剧。。。好温情，好好看。
(5星)	本来想给4星的，但是豆瓣打分有些低！最主要的是所有演员都比较喜欢，终于完结了，但是，还在回味玫瑰姐、玛丽姨... 虽然不是最好的，但是，很喜欢！
(4星)	大爱阿田~~同二叔这一pair是不是要接替毛毛姐同黎耀祥捏！！
(4星)	最后几十集的感情戏真是又臭又长
(4星)	温馨的家庭和快乐的工作...继《皆大欢喜时装版》后又一部看完整的处境剧.
(4星)	典型嘅情景劇，溫馨..生活嘅點點滴滴
(4星)	很温馨很温情   好喜欢田蕊妮
(NA)	终于看完了呀~~虽然情景剧一部不如一部~~还是追完了囧~~结局不错啦~~
(4星)	蛮生活的剧，爱，可以化解误会平息怒气包容错误...去爱吧！
(4星)	最后被钟国栋感动到，真是个完美的男人。
(4星)	都几钟意阿sam喔
(4星)	作为一个忠实TVB控，一直看到146集，突然发现还没结局，诶 ~我应该先来豆瓣的，那个二叔长的跟前男友好像，妈的,看喜剧看得心里咯噔一下~
(5星)	很好看，每个人物都个性鲜明，很喜欢2叔的角色
(4星)	轻松剧，我的菜，我的爱。终于看完了。钟思翰--全定琪 钟思雅--田凯 岑海儿--何家明 白玫瑰--裘俊 岑贝儿--钟国栋 孙玛丽--高仁
(5星)	tvb的短剧还是非常出彩的，温馨又搞笑，【玫瑰姐】好得意啊！！！
(4星)	泡沫剧，还行~
(5星)	158集结束了啊...好不舍得啊...
(4星)	挺轻松 演员漂亮
(5星)	力薦力薦啊!!! 超好看!~
(4星)	还不赖 刚开始也觉得没意思，典型地港市家庭剧 喜欢大师兄啊 超级好笑 Sam也不错。
(5星)	推荐给长假闲着人士
(3星)	结局比较仓促。
(5星)	好舍不得
(4星)	用這個學粵語真的還蠻好的,輕鬆小品劇.就是好長啊啊啊啊...快兩百集...我估計看不完了...
(5星)	終於跟完了~每天溫馨精彩的20分鐘~~
(4星)	我愛保齡球二人組，我愛瑪利姨，我愛玫瑰姐，我愛何家明。劇情在後面開始單調起來，還差幾集沒有看完。但是各種人物有各種人物出彩的地方。Sam大帥哥一個，演技有待磨練。
(3星)	有点长，不过老少皆宜的情景剧，浅显的讲明了很多做人生活的道理。
(4星)	一如既往的温馨情景喜剧，看完了就能有正能量
(3星)	轻松甜而不腻的饭后甜点，20分钟一个小故事
(NA)	Sweet
(5星)	温馨的东西看起来，轻松无害。。。
(5星)	暂定120集，总觉得意犹未尽。
(3星)	开始还不错，但是有烂尾的嫌疑……结束的有点仓促
(4星)	都不错哦！钟意田凯
(5星)	被感动到的小剧
(5星)	这就是生活！！谁家灶头无烟火
(4星)	越看后面越生气，到底该说岑贝儿伟大无私，还是懦弱不敢追爱呢？？？
(4星)	很好的家常片
(3星)	挺逗的一部家庭剧~适合吃饭的时候看~今天学了一道菜，下次要自己做~~“橘香猪排”
(5星)	超爱玫瑰姐玛丽姨和家明
(4星)	好好好 可以看
(5星)	每部電視劇總有對戀人讓你心動！
(4星)	从七月看到十一月，不想它完结呢.LY.
(4星)	每一个角色都那么喜欢，大佬钟，钟国栋与岑贝儿，田凯与思雅，阿sam与琪琪，susan欧高荣，还有可爱的玛莉姨
(4星)	情景剧还是怀念皆大欢喜，租碟，田螺~~
(4星)	TVB的小短剧一向讨喜，总能发现几对可爱的小couple。susan高荣，琪琪sam，还有天然呆的何家明，我最爱的名字。
(2星)	想产死晶晶
(5星)	钟思涵原来不是gay
(4星)	神马时候才出完啊，追剧追到100多集了~~~
(5星)	很温情的港剧
(5星)	民以食为天，本剧以吃为桥梁，从小事显处事。由浅入深，深入浅出，九浅一深~
(3星)	后来实在看不下去了~因为我嚼着编剧也实在想不出啥了~演员也实在演不出啥了~
(3星)	因为唐晶晶而弃剧。。。
(1星)	等待中偶尔看一两集，不喜欢啊
(4星)	温馨小剧，看了101集，没有完整的感情线有点遗憾...
(4星)	呃，看杜夫人的~
(4星)	很轻松啊，我喜欢。
(4星)	杂志社~厨艺中心~
(4星)	还蛮好睇的家庭剧，但战线拉的过长了
(2星)	看不下去了。看了10来集以后。。主要可能看的是国语。那个晶晶的感觉简直了。。。
(5星)	看完的时候依依不舍啊。第二部追完的TVB情景剧。
(4星)	其实快乐就这么简单，有你爱的人，你的家人，虽然频率不同，却可以和谐的共舞。TVB看似琐碎无聊家长里短的肥皂剧，却总会给我们一点最简单的启发。
(NA)	瞒搞笑的。
(5星)	TVB继皆大欢喜之后又一出色的情景喜剧 每个角色都有爱！！
(5星)	够真够美好
(5星)	很家庭啊~~喜欢 看到第二季
(4星)	很温情的一部情景剧~沿袭了tvb情景剧一贯的风格，男女主角朦朦胧胧的爱情，大概又要到最后才有个说法~
(3星)	不过在补看了毕打自己人和同事三分亲之后就对这个不怎么追的下去了
(4星)	每集一个小故事，温馨又带些许感悟，结局仓促咗少少
(5星)	喜欢这样的香港家庭
(4星)	哈哈哈 他们爬的那座是断背山吗 
(5星)	田蕊妮太萌了！！我也想有玫瑰那样子的闺蜜！
(3星)	以前真的没看过这种港式单元剧 《天天天晴》只看了一集就pass了 觉得笑点不一样 不像《东北一家人》那样有共鸣 后来看了这片才发现 港式单元剧并不是以搞笑为卖点。。只是讲讲故事 说说道理而已 还蛮好看的 喜欢欧高荣 好帅啊 人又nice~
(5星)	还是喜欢二十几分的多集数港剧。追看下来还是很舒服滴
(4星)	很温暖的一部剧集
(3星)	普通的情景剧
(5星)	短发女人，是要有多魅惑我呀。
(4星)	一共160集啊，终于在我追到116集的时候倒下了
(5星)	比之前的同事三分亲 天天天晴等一系列情景剧好看 看来主创更花心思了
(5星)	很温馨，很快乐。
(4星)	離家庭溫馨好像越來越遠……？不過，還不錯。
(5星)	喜欢田蕊妮的角色，还有那种完美的中产阶层和谐家庭氛围和生活感觉
(3星)	虽然明星不是很多 但是实在不行打发时间还是不错了 看了十几集才知道尼玛的有一百多集诶 是HK政府给钱拍的 就像是家有儿女 我爱我家形式的。。
(4星)	第一次看TVB的情景剧。温馨，就是有点追不下去。不过闲时可拿出来看看。美食+家庭。
(5星)	很喜欢这种香港特色的剧～感觉很真实，放松心情，同时也了解另一种生活，人与事的各种态度～
(NA)	延续了大半年的温馨~~舍不得啊
(3星)	这个不错 又一部 办公室+家庭剧  
(5星)	其实快乐可以很简单，只要不为失去东西而耿耿于怀，放眼留意自己正拥有的，你可以牵着心爱的人，和永远不离不弃你的家人在一起，以不同却协调的步伐起舞，还会有什么遗憾？
(4星)	很好打发时间，而且也不无聊比什么花花姐好看多了
(4星)	看看打发时间的家庭温馨短剧~
(4星)	一开始看，并不喜欢，但时间长了，觉得很亲切，就好像自己的生活。
(4星)	2011-06-16 看到今天……真的把158集看完了OTZ……一开始美食诱惑~然后看习惯剧舍不得弃……ending的舞槽点好多==好吧~结束了……再也不看百集剧了太长…………
(4星)	160集，我居然追完了，每集20分钟，轻松简单的传达一些人生道理。
(NA)	 
(NA)	不是每集都看，但还可以，不难看
(4星)	TVB的短剧 看的第一部！很不错~
(4星)	不能错过每日20分钟的精彩，短小剧集透出人生大道理。
(4星)	
(3星)	啊sam~
(4星)	以前没觉得港剧哪个演员讨厌，看了这个，怎么那么多人那么讨人厌啊
(5星)	是的第一集就吸引我了，然后一直看到现在啊，
(5星)	和天天天晴一样好看耶 最后一段胜过天天天晴
(1星)	剧情很做作 非常做作 真的 其中好几个角色 情节 都让人鸡皮疙瘩受不了..
(4星)	每集一个小故事，依旧很爱这样的家庭情景剧！
(5星)	看了第一集，很有看头那
(5星)	灰常温馨/放了大半年，都成为习惯了~
(3星)	160集。温馨完结。
(4星)	轻松20分钟~ 虽然和男亲女爱有差距 但还是蛮不错的！
(4星)	原来158就是完结篇啦，我还以为160.。还想一直一直看下去。。。。
(4星)	8.5/10，和諧又健康。
(3星)	看着看着就忘记了……
(NA)	喜欢港式情景剧。
(4星)	好温馨 好看的小品
(4星)	生活琐事
(5星)	觉得 会和 同事三分亲一样 300 多集
(NA)	2011.5.17-10.31
(4星)	我悲催了，我看的时候出了37集，我以为完结了，但是。。。。。。。。。。
(5星)	又一處境劇告終。還是歡樂的看著。。但是對下一部確實沒有什麽興趣。。難道要把同事、畢打、天晴翻出來看？
(5星)	这么长的电视剧，我竟然追着看完了。顺便说句，突然好喜欢田蕊妮。
(3星)	好像没有结尾呢？
(4星)	TVB能看的也就只有八点档了
(4星)	106
(5星)	晚餐剧结束了...还挺舍不得的...
(4星)	终于看到一直默默支持的jason有大展拳脚的机会 华哥也很可爱又是一套情景剧的结束，好像回到当时毕打自己人完结时的舞蹈。这样的剧集很好，没有坏人，没有勾心斗角，没有跌宕。只有淡淡的平凡，幸福与爱。剧中每一个演员都很努力地融入角色的生命，而他们也好像变成了一家人。可是，必须得接受它的完
(5星)	happy endingO(∩_∩)O~~
(5星)	160集，32周的光阴，几乎没落下，真很有教义的家庭剧，每个人都有血有肉，正直有原则。家长是报社总编，笔锋犀利的食神；儿子追求个人理想不做ceo做蛋糕师；二弟是大好人，又隐形小富豪本痴恋前妻，最后失明也抱的单身贵女厨神回家。“谁家灶头”竟是最后两集，女厨神的餐馆名而烟火是硝烟也是家家礼花
(5星)	很有意思的短剧，值得一看！
(5星)	为最后那一段话，打5星。家，永远的港湾！
(4星)	温馨的家庭剧~
(NA)	没坚持看下去
(3星)	终于载完了。不容易啊。
(4星)	有情人终成眷属！再见岑贝儿，再见钟思涵 ←其实就想说这句吧...
(4星)	情景剧，还不错
(5星)	结局好无语，不过还是希望有第二部啊！！~
(4星)	田蕊妮真美
(3星)	不错哦。。。每集都很精彩。。。
(5星)	终于看完这160集了~
(3星)	終於完結，居然是阿田跟歐錦棠告白……
(4星)	平平淡淡一个个小故事倒也不错。
(5星)	温暖的家庭剧~
(NA)	编剧还是很TVB，结局都是为了人物而结局……不过小故事说的都很好！
(3星)	剧情较为普通！
(3星)	太长。。。
(4星)	TVB的处境剧拍得比正剧好多了。
(4星)	不错~
(3星)	啱啱开始睇 又一饮食主题剧
(4星)	虽然我的初衷是为了厨房而看而厨房的镜头实在不多，但中间各人的恋情倒也吸引
(5星)	居然160集啊，看了好像接近一年了，这回大结局，想失落死我。
(5星)	曼城，南京，布莱顿，看了大半年确实不错~~~
(4星)	是部温馨的剧集，剧情也挺好的，比之前的依家有喜（望天，这剧我是怎么忍着看完的）好看太多倍了。
(4星)	TVB處境劇 相較同事畢打和天晴較差 
(5星)	好看!!
(4星)	结局有点公式化
(NA)	一般
(NA)	158完结 HE 满意
(4星)	好长的一部家庭所碎。
(5星)	喜欢TVB的这种小短剧，看着轻松开心哈
(3星)	前面有几集还挺搞笑温馨的，为什么感觉越来越没劲了呢，看不下去了，该看70集。实在跟《毕打自己人》不能比，Ben少又出现了
(4星)	一直追的短剧.很生活.
(5星)	大爱大爱，不尽言表~二叔贝儿，大爱大爱！！！
(4星)	终于结束啦，看完决定去看别的肥皂剧了~
(5星)	终于改成了看过。。第一次追处境剧。。各种唔舍得。。尤其后期跟法3对比到了。。太久没看TVB正剧 一下子被法3打击到了。。谁家是很珍贵的。。棠哥瘦了真好看。。这该是四部曲里结束最不仓促的了吧。。哎 只添了一次食也是有好处的。。结局超圆满。。集体舞。。泪。。。十一的香港行 再没有更幸福的了
