http://movie.douban.com/subject/3126164/	溏心风暴Ⅱ之家好月圆 溏心風暴Ⅱ之家好月圓
(4星)	 今天终于看完了~纠结啊~开始很期待的哦~后来么实在和第一部结局差不多~总有坏人会醒悟的            
(3星)	 not my cup of tea.            
(5星)	 无敌好看的~            
(5星)	 管家仔,加油吖!.            
(3星)	 纠结死了。            
(5星)	 是这个年代经典的现代生活写照。。斗争与温情。。真挚与心机算尽。。            
(NA)	 TVB            
(3星)	 我只能说，这不是我的菜。看了一、两集感觉都快喷出来了。*4的快进都不够用。            
(2星)	 粗编烂造. 杨怡演脾气倔的小牛很得我心.            
(5星)	 我差点以为mo真的熄灯了囧            
(4星)	 在近几年里算是很好的。但跟《笑看风云》《创世纪》比，还是漏洞一大堆。            
(4星)	 家庭风暴。            
(NA)	 有的时候真的要争一时之长短，不然，错过时机，时间将会改变一切，指鹿为马。            
(5星)	 近五年的剧，大爱还是《金枝玉孽》。            
(4星)	 2也看完了。。。还看什么啊            
(3星)	 不喜欢第二部。。            
(5星)	 二十集后就没看点了。            
(5星)	 我覺得比1好看            
(4星)	 道理教母一说话，我就得调小音量            
(3星)	 我其实一直不明白港剧里面怎么那么多老老少少远近嫡庶的全住在一起            
(3星)	 一帮牛鬼蛇神            
(NA)	 1.看见黄宗泽和钟嘉欣出场赶紧快进要吐了。。要是鸡皮疙瘩也能卖钱的话我一早发达了！她有没有一场戏出来是没有哭哭啼啼的。。2.祖爸的名字取错了吧？他应该叫——祖败！3.巴掌呼来呼去的好过瘾！4.所以我成功进化成师奶了。。。。吗？！5.终于知道香港人为什么喜欢这部剧了。。。            
(4星)	 贫贱之交不可忘，糟糠之妻不下堂。            
(4星)	 &gt;&lt;            
(5星)	 告诉我们言传身教的力量            
(3星)	 “抛弃糟糠妻的人，没有好下场！”这个说教真是赤裸裸啊～大家还是姑且信之吧            
(4星)	 我突然爱上黄宗泽了！！- -            
(3星)	 只看了结局，不过TVB的节奏还是华语片里最舒服的            
(5星)	 继《金枝欲孽》之后最好看的!!            
(3星)	 【其实一家人呢最重要是开心】句式难看死了。。            
(3星)	 我还是喜欢第一部吧，这部太气人            
(NA)	 林峰 爱爱爱不完(*^__^*) 嘻嘻……            
(5星)	 原本，無心害你···就是愛俗套大團圓~~對鈡嘉欣真是一會嫌惡一會同情~土女人呃            
(4星)	 3星半 吵吵闹闹的 我很想扁钟嘉欣 -皿-            
(4星)	 挺好看的，就是把我看的老哭……            
(4星)	 我是跳着看的~看到结尾觉得一阵神清气爽~于是给了4颗星~            
(NA)	 08            
(3星)	 电视剧永远是电视剧            
(4星)	 后面太假。            
(4星)	 暖            
(4星)	 虽然狗血至极，但就是好看啊，还很动人。            
(2星)	 荷妈真圣母，剧中所有的反面人反面事好像都是为了衬托她的伟大她的无私她的英明。            
(4星)	 我疯了，看起长剧。            
(4星)	 家庭            
(NA)	 林峰呀……            
(4星)	 无心害你            
(5星)	 年轻时你贪她的销魂脸 老了你贪儿女绕膝之欢 你怎么能那么自私            
(5星)	 林峰挺可爱的            
(3星)	 打发时间而已啦。            
(4星)	 比1好很多。            
(5星)	 不能说不知道没有看过            
(5星)	 片子是不错了额。。。只是为什么所有的感情戏都是乱伦的？            
(4星)	 米雪哈灵            
(4星)	 管家公~我爱你~~            
(4星)	 喜欢米雪。            
(NA)	 六葱头 家好月圆。            
(4星)	 我就是很欢喜看TVB。。            
(4星)	 好吧~我也爱看豪门恩怨~哎~我沦为家嫂了~            
(3星)	 家族剧。一般般。            
(4星)	 人在做。天在看。ps.我家峰少帅的很~~~            
(4星)	 TVB的老人新人都有露脸 不错            
(4星)	 最后大团圆．但也赚了我不少泪水            
(3星)	 果然是续集，基本就是第一部的影子。怎样都拼不过溏心风暴了。            
(4星)	 看到小家和佳美分手的时候，我居然觉得小月是个贱人。难道她当初没有想尽办法逼走佳美吗？佳美只是以其人之道还治其人之身而已。她是自作自受啊。佳美做错了要付出被甩的代价，凭什么她一点代价都不用付，最后还哭得那么无辜。荷妈的嘴脸在那一刻也变得恶心起来，一个卫道士的鸟样子。因为小月减一星            
(4星)	 插曲就那么几首，颠过来倒过去……            
(5星)	 虽然很好看不过无法理解香港人对往事真的是连年月日都记得很清楚吗            
(NA)	 快进 一夜搞定···这结局也太完美了··            
(4星)	 看的累死人            
(5星)	 骂人骂的好爽啊 哈哈 我觉得比第一部好看 喜欢管家仔啊 对杨怡的印象比以前好了 好讨厌徐子珊啊            
(4星)	 我喜欢这样热闹的剧            
(3星)	 把內些全家人異口同聲講話唱歌吹口哨的戲都剪掉。            
(5星)	 林峰少爷。            
(NA)	 24            
(5星)	 此钟笑荷女士真乃强人范本咧~~泪点要不要这么多哦，看来我真是水相星座~            
(5星)	 不用怕，荷妈在大厅。            
(4星)	 虽然还可以看看,但是和前一部太雷同了......唯一看好的感觉,就是想吃月饼            
(5星)	 抛弃糟糠妻是要遭报应的啊!熊熊说结婚一辈子就一次的!            
(4星)	 港剧永远都是虎头蛇尾，不过亲情牌实在很强大            
(3星)	 于素秋还真不是一般的讨厌            
(3星)	 每集必有一个小高潮，不煽情不把人弄哭了不甘心。看了整集真是劳心劳力。            
(3星)	 审美疲劳            
(NA)	 真TM长。。看晕了我！            
(2星)	 杨怡啊！！其实就系为咗杨怡先睇！            
(5星)	 因为林峰成了主角...            
(4星)	 那个谁说的像金刚葫芦娃！！！！太形象了。。。嗯，确实狗血了点。            
(5星)	 很纠结，不过到后来，觉得这家发生的事情未免太多了吧。。            
(5星)	 热剧~终于看完了~~还是主要看吵架来推情节~~不过，演员真的很出彩~米雪气场足够大~~杨怡演坏人得学学~~看到管家仔我就纠结~0 0            
(4星)	 插曲插的好听　这世上哪有管家仔这样的好男人啊            
(5星)	 好久没看这么精彩的电视剧了！最爱奶奶、小家和小好。我的奶奶是月亮，初一十五都一样！            
(4星)	 有了你开心D，乜都称心满意，咸鱼白菜都好好味            
(5星)	 我身体比你好，你死得比我早。            
(4星)	 其实最多三星半，只是为了区别众多三星TVB剧～杨怡的角色最出彩。            
(NA)	 看了一点就看不下了，还是珠光宝气更合胃口            
(5星)	 这样子的家庭伦理剧。你不知道里面的亲情有多感人。我还掉了很多眼泪。            
(4星)	 相当受教育~最后半集没看到~            
(4星)	 就是钟嘉欣太2逼了！！            
(3星)	 我的欠债 还没看完 寒假要补！            
(4星)	 没有第一部好看，但还是不错。我喜欢年子勇            
(3星)	 几首英文插曲还比较好听            
(4星)	 有事不用怕，荷妈在大厅            
(4星)	 管家仔真好。            
(3星)	 铃子同学没别的事儿了            
(4星)	 喜欢里面所有的家庭戏，拍得很好。但不太喜欢感情戏，拍得太一般了            
(4星)	 还不错，画皮吹头发的时候有事做了            
(4星)	 唉，美中不足的是尾声，实在有力竭之态，不过这也是人之常情，编剧也是人呀            
(4星)	 为了阿MO看的 可惜他戏份太少了            
(4星)	 喜欢    喜欢            
(5星)	 很8错啦，特地买了粤语原版的碟，很享受~本来bue来自己看，结果老爸根我一齐，还一集不落，囧~            
(4星)	 不喜欢钟嘉欣后半部分很好看            
(3星)	 不用怕，荷妈在大厅。            
(4星)	 折腾，热闹            
(5星)	 一部电视剧里面包含了很多内容。            
(3星)	 烂尾            
(5星)	 比1好看~            
(4星)	 SA姨很抢戏也~            
(NA)	 这种电视剧不好看，看多了没益            
(3星)	 吵架            
(NA)	 看着港剧长大,对港剧有无法割舍的情结            
(5星)	 想一生一起别想得这样美...            
(2星)	 吵死了，为什么那么多人喜欢。。。            
(NA)	 最近很影响我的睡眠..            
(3星)	 故事是好的，只是中间的过程实在太让人心酸了。            
(5星)	 陈豪一如既往的帅，陈法拉，杨怡都变美了。徐子珊那张脸看了就不舒服，钟嘉欣您就是个整天“我很痛苦”+“我不知道”的哭泣小姐~            
(3星)	 今天在番茄台看了一点点。            
(3星)	 好累。。。            
(5星)	 实在是经典，所有的事情都发生了，虽然觉得不可能，但是观众就是愿意看。1～5集我全场爆泪            
(4星)	 傢和万事興            
(5星)	 前面的時候看一集就大哭一次。  - -            
(3星)	 钟意阿月。部分新人演技有进步，总体感觉还可以，但编剧功力相当不扎实，其实可以更好！            
(3星)	 最羡慕的就是小庆夫妻了。。。            
(NA)	 我爱tvb肥皂剧...            
(4星)	 很吵很闹腾，但是很感人啊～看了，突然就想起一个字，家            
(2星)	 太吵了..8集之后除了凌B的部分统统跳过..            
(4星)	 我想说，于素秋这么正面讨好的角色演成这种效果……钟嘉欣你真是厉害……            
(5星)	 好看，无以言表的好看！            
(5星)	 相当好看            
(3星)	 确实很亲情            
(NA)	 蛮好看的            
(3星)	 真的不是很喜欢这种哭哭啼啼的家族戏。。。            
(3星)	 十集开始就烦了。            
(4星)	 结局有点突兀.副线太多.            
(3星)	 确实比不上一            
(3星)	 粗糙 虎头蛇尾            
(3星)	 第二次看，觉得没有当初感觉好，有点罗嗦            
(2星)	 那俩男人怎么就糟蹋在那个于素秋手里了。罪孽啊罪孽啊。            
(4星)	 教你点样做个好妈妈..            
(NA)	 比较典型的TVB剧情，虽然知道如名字一样肯定会大团圆结局，但还和妈妈一样追着看了，因为，还是同样的感人，呵！！            
(NA)	 觉得嘉美才最坏！            
(NA)	 直接看结局            
(5星)	 破镜重圆            
(4星)	 我身体比你好，你死得比我早。说这话的人才是真爱你.            
(4星)	 啊~看上癮了~要大結局了啊~~林峯！|囧……的结局            
(NA)	 结局有点牵强。。。不过总觉大团圆结局～～            
(3星)	 剧情很有问题,陈法拉很好,荷妈讲的道理很突兀,钟夹心演个这么正面的角色都能弄得人神共愤真是无敌了~            
(4星)	 md.....居然一直为了包子哭....不过从心里还是更喜欢杨怡和moses...            
(4星)	 第一部印象OK,想知道这家子还会发生什么...            
(3星)	 剧情超级牵强            
(4星)	 温馨不脑残            
(4星)	 头启得不错,后面越演越拖.不过是最喜欢的TVB片了            
(4星)	 喜欢杨怡^_^            
(5星)	 點解2比1好看幾多？！            
(4星)	 最喜欢家好月圆的荷妈和糖心风暴的大契哈哈！            
(4星)	 林峰             
(5星)	 现在的编剧越来越聪明了            
(5星)	 漏夜看完大结局啊            
(4星)	 剧荒随便看~            
(3星)	 演员很有爱，但剧情太纠结了。讨厌看受气包主角＝。＝            
(5星)	 　比第一部复杂好多            
(4星)	 不及溏心风暴            
(5星)	 完了。我竟然被嘉美吸引了。编剧强大。            
(4星)	 第一亿零一次大喊，我爱我家！！！！！！！！！！！！！！！！！！！！            
(4星)	 追剧是件很累的事情，好歹最后管家仔得到爱人            
(NA)	 好看            
(5星)	 咱们少爷很不错。            
(5星)	 一个字  非常爽            
(4星)	 终于看完，大团圆！            
(3星)	 看到一半就看不下去了 哎。。。 这编剧。。。 太折磨人            
(5星)	 完全是冲着1和强大的演员阵容去看 标准的家庭剧 大团员结局很让人欣慰            
(5星)	 追看得我氣喘···            
(5星)	 哪能一开头就那么纠结呢。陈豪变帅了，林峰依旧那么帅。OVER。            
(5星)	 连自己看了多少都不知道。            
(5星)	 就快有得睇啦！            
(3星)	 说实话看着杨怡不跟林峰站在一起感觉好奇怪。。。。            
(4星)	 那些把生活当做演戏，说谎不打草稿的人，我TM居然也遇到过            
(NA)	 林峰 黄宗泽            
(5星)	 五星全给黄宗泽！            
(5星)	 因为是在期末考试前复习阶段压力巨大时候看的所以觉得特别好看TT            
(3星)	 喜欢凌至信            
(3星)	 我擦 姐也算是看过tvb的、、、            
(4星)	 编剧很强大，很多元素是第一部用过的但设定比第一部顺心  1.反感道理天后这样的角色。2.多年前的真相不断浮现真的是个bug.3.闹崩的时候一边是魂淡们一边是眼睛不好的爹心脏有问题的儿子和奶奶，真的是好衰的安排= = 4.虽然关菊英演坏人真的很头疼但是她变好了我也好不习惯哦……5.            
(NA)	 【2008-07-28】            
(5星)	 每年都得有一部经典的不是            
(5星)	 不知道哭了多少遍            
(3星)	 没第一部好看            
(5星)	 TVB剧集最大的特点就是善于用狗血至极的情节打动男女老少而不会引起半点吐槽，反而会跟随剧情畸形的走向而感慨而唏嘘而落泪。。。比如这部老少咸宜的年度大戏，我自己看了一遍，又陪着老母看了一遍，两度刷新了我的狗血观。。。            
(3星)	 纠结完，总会柳暗花开又一村的。            
(3星)	 听吵架感觉太累了。            
(4星)	 TVB的大结局就是温馨啊            
(3星)	 看到后面都腻了~             
(4星)	 好多波折！！好多真善美！！于素秋的感情戏蛮好看的啊~~            
(2星)	 反角太坏了。放SA姨出来咬你！            
(3星)	 哎，我是有多无聊啊 。。。            
(3星)	 没有一个能让我觉得有爱的角色,我居然也能这么迁就着看下来...            
(4星)	 陈豪 &gt;&lt;            
(3星)	 不喜欢钟嘉欣，一万遍            
(5星)	 很多冲突，很不错            
(5星)	 老套的港剧，确依然爱看。温馨的家庭，让人羡慕不已！            
(4星)	 又看过，我的电视剧阅历真是默默的丰富。。。            
(3星)	 中间是一些小人偶发的良心发现、另一些小人又冒了出来；而大团圆的结局则是大坏蛋改过自新，新的一波还没有出现；雷同的剧情，短些就好了            
(4星)	 阿红那种人，心胸狭窄，做事做得那么绝，又自私自利，恩将仇报，活该她命苦，何必向着她说话？再怎么可怜也她也意识不到自己的错误。            
(3星)	 还是很不错的，很感人啊！好吧。。。真的是催人泪下！只是最后3,4集都是苦情，最后一点团圆还是没能觉得轻松。这么晚看完，表示内心还是很压抑。建议不要看，最后37,38,39跳过好了。太累了。            
(4星)	 部分情节编导在硬掰            
(5星)	 勾魂            
(4星)	 抛弃糟糠之妻会遭报应的！~            
(3星)	 从这部戏开始讨厌李司棋！她有本事不圣母一次呢！！！陈豪戳中我笑点。            
(NA)	 看完这部剧，感慨当年的丘处机和包惜弱都老了啊！！！            
(4星)	 我觉得没溏心风暴好看。管家仔不如alrfed，于素秋不如常在心。            
(4星)	 算是难得我爸妈都喜欢的TVB剧集。。。            
(4星)	 港剧真的都超有心机....            
(5星)	 唔使惊，荷妈系大厅。            
(3星)	 还是比较喜欢第一部。            
(3星)	 替老妈审片看的。气得死人的那种。            
(4星)	 每一个成功的小三背后都有一个意志薄弱的男人。            
(5星)	 妈妈很喜欢。            
(3星)	 觉得第一部比较好，这一部里喜欢里面杨怡演那个角色，钟嘉欣的角色很做作。            
(2星)	 不喜欢这部。一堆JP，尤其男女主加男二            
(5星)	 典型的TVB家庭劇道路，主要是看老人飆戲看得很爽            
(5星)	 林 峰 啊。 忍不住            
(4星)	 亲情做卖点            
(5星)	 虐死我了，小心脏七上八下的            
(2星)	 哎，我一回家就看师奶剧。。。。            
(4星)	 分分钟需要你，你似是阳光空气。            
(4星)	 tvb全明星阵容的剧就是好看，懒得追所以能一天看八集这么了结它，也幸好能连着看，不然遇到那些让人看不下去的窝色剧情都不能high一下当天看到坏人受惩罚了。当然，虽然坏人最后怎么可能说变就变好了呢，但是圆满的大结局是必不可少的，不然枉费了40集下来的纠结情绪～我爱tvb啊～            
(4星)	 最高收视50点？？？？？            
(3星)	 现在的港剧没以前好看了。            
(5星)	 don&#39;t sink before you rise,don&#39;t fade away            
(3星)	 哭点太低了            
(NA)	 还行，近年没有好看的港剧了。《金枝欲孽》《第三类法庭》《我本善良》都多好看啊！！            
(3星)	 陈法拉真好看！            
(5星)	 电视上广告太多            
(5星)	 超赞！            
(4星)	 终于睇嗮啦~            
(5星)	 2010.7 Oaks            
(NA)	 岑借我的碟子。            
(4星)	 值得追~            
(4星)	 连夜看。            
(5星)	 结局有些遗憾，红姨好可怜            
(3星)	 也就如此了，弃。            
(4星)	 看到钟嘉欣就快进。。。很不错的戏啊。感情戏貌似少了点            
(4星)	 赶图就是这样！居然看完了！！哎            
(NA)	 我又看港剧了，一看就是40集            
(5星)	 该剧的编剧，真没话可说，第一部，两姐妹嘛，到了第二部开饼店了，成对敌了，哈哈！真够绝的，太精彩了！关菊英在第二部，真是贪便宜，两面三刀，都做出来，不过，我看了不生气，因为，最终结局看一点后，知道她在里面还算是个好角色！这部戏还算挺团圆的，温馨的，比第一部好！            
(5星)	 月饼的故事！            
(4星)	 补：于素秋那角色太烦了，有一星是给米雪的……            
(4星)	 杨怡表现没有令人失望~依然不DJ钟嘉欣。怡和SA姨骂战尤其精彩            
(3星)	 最爱MOTA            
(NA)	 看得直想吐。。。            
(4星)	 大家庭，超温馨的，林峰在里面很帅很可爱的            
(4星)	 爱上林峰            
(4星)	 这种剧果然纠结死我了T T。            
(NA)	 TVB的家族戏真是越拍越不能看了，想打亲情牌吧，又打得莫名其妙前后矛盾，人物性格转变得也太突然了吧...            
(4星)	 好看~就是有点吵            
(2星)	 Sa姨是亮点啊            
(5星)	 Bosco！            
(1星)	 无聊到我连杨怡部分都没看            
(4星)	 钟嘉欣戏份过多！倒胃口            
(NA)	 想欢欢喜喜 但清楚这道理 风光怎麽会没了期在抱着时候知己知彼 在对立时候争取胜利 无非人生道理            
(5星)	 家好月圆庆中秋。。            
(3星)	 也就随便看看            
(5星)	 陈豪的雅痞，关菊英又好气又好笑，杨怡的倔强，荷妈的母爱，米雪与徐子珊的奸，等等都演得好出色，真是港剧的巅峰。林峰和钟嘉欣演技真是败笔。2008最爱的港剧。            
(5星)	 不错，还蛮能让我入戏的。            
(5星)	 每集 都看得我 笑中有泪啊            
(5星)	 赞             
(3星)	 如果把夹心换了我会考虑再加几颗星的，哇靠            
(4星)	 小三必看            
(5星)	 我就欢喜帅哥和美女搭~ 不怕荷妈在大厅~            
(4星)	 经典片。从中可以学到不少做人的道理。喜欢荷妈这个角色，宽容、乐观，该容忍的时候容忍，该据理力争的时候也绝不退让。做人有这样的心胸和情商，实属不易。            
(4星)	 我的眼泪啊,流了一地又一地,比一好看,彻底爱上林峰了,因为这部戏,追看了好多部林峰的剧啊            
(4星)	 还好            
(5星)	 为什么给五分，理由一是喜欢林峰和钟嘉欣在一起的样子，理由二是好喜欢他们一家人幸福的感觉。            
(5星)	 看一集感动一集            
(4星)	 分分钟需要你很好听~            
(NA)	 家庭很重要.            
(NA)	 林峰帅了。削没削脸不知道。关菊英的声音真赞。一集挑起事端，一集爆发解决，这样的节奏一日两集，观众怎么不爽，收视如何不好？另，钟嘉欣我实在受不了你了。            
(5星)	 tvb电视剧就是能把这种狗血事情让你看啊看啊也不觉得厌烦            
(3星)	 我最喜欢路佳美。            
(3星)	 其实还真是挺无聊的。。。。。            
(5星)	 我想说当中有好多次让我哽咽了            
(5星)	 喜欢，比第一部好看，我觉得            
(3星)	 猪脚姜，烦死了            
(NA)	 只能说纠结！不过还好结局很安慰我~·~            
(4星)	 比原来好看。。。。            
(5星)	 每集都睇到眼濕濕...            
(4星)	 坏人层出不穷，一个接一个排队出场让你骂还不过瘾，揪心揪肺..坏人一个两个被头顶天使环的荷妈感化，玩T爆。最终与恶人BOSS和解~大团圆结局            
(3星)	 溏心风暴之家好月圆            
(4星)	 第一部比较好看            
(5星)	 这是我看过最具峰回路转的香港电视剧，咬牙切齿的讨厌或喜爱剧中的角色，他们的演出都好出色，曾经有人讲过，如果一个好的演员，能够让人咬牙切齿的话，那么，他的确十分入戏，而且演得很好很好。            
(4星)	 和时间作对 和学业作对 看完心里一阵落空            
(4星)	 杨怡同陈豪那段好看            
(4星)	 TVB的月饼一家人啊，亲情的重要。还有，不要当第三者。            
(5星)	 好看得不得了            
(4星)	 原来我还是比较喜欢happy ending的，~~             
(3星)	 唉……一般般，絮絮叨叨的            
(3星)	 03 3min            
(5星)	 太好看啦~！专门找来看~。~宇宙无敌霹雳催泪弹！“无非人生道理”             
(4星)	 太完美的管家公让我喜欢不起来。看《少年四大名捕》的时候曾经喜欢过无情，但看林峰的其他角色，就是喜欢不起来，总觉得少了一点真实自然的感觉，有点缺乏个性。相较而言，这部剧会喜欢小家和小月，一个比较有喜感，另一个就比较性情。            
(4星)	 典型的大家族型港剧，但是看了能让人学到点什么。。。            
(4星)	 很经典            
(4星)	 中间算了，只为那最后的家好月圆            
(4星)	 温馨剧            
(4星)	 OTH第八季更吸引我            
(4星)	 夸张的表现真实            
(2星)	 我想这是一部情景喜剧，谢谢            
(4星)	 我就是俗人!!就是会被这种片给感动1鼻涕1眼泪的~~            
(4星)	 我爱bosco!!!HIAHIA~~            
(5星)	 如题，家好月圆；可为什么有时觉得圆满的让人觉得不真实呢            
(3星)	 其实我觉得还是溏心风暴比较好看。。。            
(NA)	 很热闹啊            
(4星)	 港式大团圆。林峰终于有一次不装酷我反而看他顺眼了。黄宗泽一直觉得不错可惜这次角色太崩坏。还有，钟嘉欣是我绝对的雷区。            
(3星)	 好人不好 坏人不坏~~女人一定要注意身材外表啊~~            
(5星)	 超赞            
(4星)	 最近很容易就被亲情的片子所感动。            
(4星)	 现在TVB怎么那么煽情哪 泪奔~ 开始喜欢杨怡了~            
(4星)	 那个配音呐。。。            
(5星)	 其实就是由一个小三引起的故事。像管家仔这样的男人，现实中是不存在的吧。            
(4星)	 历经大灾大难的家庭剧，消磨时间不错，看得我挺纠结。。。还好仍然是团圆大结局            
(5星)	 比第一部更加温暖。            
(4星)	 上帝是不公平的，也是公平的。            
(4星)	 比起第一部失望了～            
(5星)	 TVB总是一部剧里什么角色都有. 好人坏人男人女人. 形形色色. 眼目缭乱. 五味陈杂.            
(4星)	 为什么我每次看都会哭。我哭点太低了。            
(5星)	 就是结局仓促了点，台词都好经典。            
(3星)	 有了一，二就。。。            
(NA)	 不错，比起第一部剧情更精彩。            
(4星)	 勾心斗角描写得很精彩，但我还是更加喜欢温情剧……            
(4星)	 那个素秋好烦人阿            
(2星)	 关系太复杂，我觉得有乱伦的情感。哈哈            
(3星)	 看得我咬牙切齿的，最受不了这些角色了。            
(4星)	 我想吃月饼了~~            
(3星)	 吵吵吵~吵死了~喉咙也喊破了。。。            
(5星)	 不用怕，荷妈在大厅。            
(4星)	 受不了钟嘉欣  糟糠之妻不可欺  ~~ 主题             
(5星)	 看着看着 我哭了...            
(3星)	 港剧看了很容易上瘾啊，堕落了！以后看港剧要小心！            
