http://movie.douban.com/subject/3032431/	刁蛮公主逍遥王
(3星)	 如果不是很喜欢邵峰，不会看这个电视剧，剧情太无聊了，人不性格不鲜明            
(4星)	 初中看过的。突然想起，那一切都很好。龙飞和秋霜是最幸福的一对。            
(2星)	 装扮诡异            
(4星)	 当时看的时候超喜欢俩主人公            
(5星)	 以前过年的时候半夜抱着棉被守着看。。            
(3星)	 奶奶爱看的电视剧            
(3星)	 这个是得有多低的成本啊？一个堂堂的公主愣是穿的跟个农妇一样。。。            
(5星)	 公主不及身边的丫头可爱~            
(4星)	 我还觉得这算内地的难得佳作了吧，看看近年内地拍的...哎            
(4星)	 这部片子看点还是不少的，天心，邵峰的造型，居然还有童蕾一直弱弱的~            
(4星)	 蛮搞笑的            
(3星)	 里边有很多很强很强的东西，可惜没演~比如那个令人惊叹的烟云十八翻~~貌似是很厉害的哈~~~            
(3星)	 逍遥王、仅对着称号有好感。（那谁也忒老了吧－。－）            
(3星)	 囧得不得了~            
(NA)	 不知道自己当年怎么会喜欢这部电视剧的~纠结            
(4星)	 对于恢复少女心的绝好电视剧=U=  果然还是老男人最萌～～～～            
(1星)	 四个婢女里有一个长的超像我初中同学！            
(3星)	 什么我没看过            
(3星)	 小时候很喜欢…            
(NA)	 囧了。            
(3星)	 我居然看过这么雷的片子。也就天心还挺可爱的~~~王爷的胡子也太雷了吧。            
(NA)	 男主角很有男人魅力  有谋略 胸有大志 却又视功名利禄为粪土  成熟稳重 是值得为了男主的魅力而值得一看的经典之剧……            
(3星)	 我记得这个画面，貌似            
(2星)	 我妈超喜欢的            
(NA)	 ……            
(4星)	 主要是超级喜欢天心嘛            
(4星)	 不错的电视剧，天心很可爱            
