http://movie.douban.com/subject/2303112/	法证先锋II Forensic HeroesII
(4星)	 佘诗曼成了主角，还不错，可是我还是想看蒙嘉慧啦            
(4星)	 港剧这种案件与爱情并进的调调很对味            
(4星)	 和第一步比，感情戏方面成熟好多~快结局的时候很感人。。现在都还在感动着~~            
(5星)	 一直以来，都喜欢这个类型的电影~~~BOBO在上面的感觉还是很好            
(4星)	 也就那么回事吧。            
(3星)	 明显不如第一部。            
(4星)	 从厨房看到客厅，我就看了个大结局。            
(4星)	 看了一就觉得二一般了~            
(3星)	 法证先锋II之马国英传。。。。            
(5星)	 梁小柔 ！~~~~            
(4星)	 没第一部好看            
(4星)	 终于知道佘诗曼是谁了~汗            
(4星)	 如果结局可以更好点。。。            
(NA)	 大仙喜欢听粤语            
(5星)	 第三部快出啊！！！            
(5星)	 刚看过，超喜欢的电视剧！！！赞！！            
(5星)	 是它，我确定要在教堂结婚。            
(5星)	 很长见识。虽然这部有点沦为了上课形式            
(NA)	 对冷面阿佘有好感。            
(5星)	 我爱欧阳震华~            
(5星)	 好看!!            
(4星)	 蛮不错的侦探片，里面的高科技破案手段真让人倘目结舌，里面几对恋人就要结婚却在枪战及意外中阴阳相隔，让这部剧多了些感情元素            
(5星)	 tvb的行业剧到底还是扣人心弦又拍得专业。            
(5星)	 我家小郑~~~~~~~~~~！            
(4星)	 超爱·            
(5星)	 要是再有五顆星我也全都打滿~            
(3星)	 剧情不如第一部            
(3星)	 烂片            
(NA)	 虽然漏洞百出 佘施蔓长得也丑……            
(5星)	 哇！不要太好看哦……            
(4星)	 林文龙！郑嘉颖！            
(4星)	 虽然有的场景看上去很虚 但是却也能够让人惊心动魄。            
(5星)	 最近刚看完特别喜欢ivan            
(3星)	 看了一点不看了            
(2星)	 烂+烂+烂            
(3星)	 不知道怎么样，反正我不喜欢佘诗曼……            
(3星)	 瑕疵很多            
(3星)	 一大堆老男人的片            
(NA)	 难得我能看完一部港剧～            
(NA)	 还不错，就是第2部感情戏太他妈的纠结了。            
(4星)	 咖啡，热巧克力，咖啡…            
(NA)	 我比较喜欢蒙嘉慧的头发，佘诗曼 ，我简直很喜欢你，哈哈，照镜子照镜子            
(2星)	 错漏百出哇  绝对反面教材            
(4星)	 追回下TVB.            
(4星)	 阿Sam和Ivan这样的好男人......令人......哎......            
(3星)	 追着看完了 结局还是那么的落俗套 但就是喜欢看TVB的刑侦剧 俗但就是吸引人            
(NA)	 典型            
(5星)	 经典系列，我的最爱！！            
(4星)	 不如一好看了啊            
(2星)	 也就郑嘉颖看着不赖..             
(4星)	 tvb狠烂俗，但是还是让人欢喜。            
(5星)	 鄭嘉穎在裏面很帥= = 又是一部有JQ的片            
(3星)	 我带着颗公开公平公正的心去看这部剧，完了我发现我最喜欢林文龙的角色～李诗韵也让我有了眼前一亮的感觉～            
(3星)	 若果现实的结局都是这样老土地美好的话,该多好            
(3星)	 TVB的编剧是越来越烂了，剧情编的太不合理了，外加演员无意义的台词。不过我还是看完了，虽然案件都没有什么创新。            
(NA)	 科普电视剧...剧情非常牵强            
(5星)	 大团圆的结局我喜欢~~~            
(5星)	 喜欢这部电视剧的感觉~~            
(4星)	 感情戏的分量很重，不错            
(3星)	 结局太KUSO            
(NA)	 曾经，想找个Tim Sir（欧阳震华 饰）学识广博，够专业够水准的男人。            
(NA)	 最爱震华            
(1星)	 从来没有如此讨厌过佘诗曼，碍眼的家伙，郑嘉颖更不用说了，从来没顺眼过。失败的续集……            
(NA)	 超级想看的            
(5星)	 每晚的精神食粮~            
(4星)	 女人真是矛盾啊。。明明以前喜欢佘诗曼额。。就因为抢了蒙嘉慧额主角开始不怎么喜欢她了一刚。。anyway，阿沈同埋wilson都几可爱~            
(4星)	 好锺意ssm同埋zjy            
(4星)	 6.19-7.12,看完了,喜欢Ivan和Madam Ma这对,最后两集真是煽情啊,嘎嘎~Madam Ma手下那个小帅哥也不错~考虑要不要找郑嘉颖的别的戏看看~~            
(NA)	 很高科技            
(3星)	 很讨厌里面的佘诗曼，话说除了《无名天使3D》我貌似就没fan过他...            
(3星)	 小胖子是旧爱 IVAN是新欢 MR.KOO您真是艳福不浅呐~~~            
(NA)	 林文龙真帅。。。。。            
(5星)	 俺喜欢郑嘉颖~            
(3星)	 一个人的演出。。。            
(4星)	 超好看            
(3星)	 有点小失望.以及又见大三角啊大三角~可恨的编剧可恨的结局！！！古医生太完美了没的说！            
(3星)	 翻的.            
(3星)	 没有1好看            
(5星)	 我只是喜欢佘诗曼和郑嘉颖，所以作为电视剧来说，已经足够了～～            
(3星)	 没CSI好看，但怎么说是中国人的脸，看着亲切            
(NA)	 越发无味            
(NA)	 好看            
(4星)	 我已经正式沦为TVB迷。。还是没有第一部好看            
(3星)	 不如1            
(5星)	 我怎么会这么喜欢这一部呢。            
(3星)	 http://www.douban.com/group/topic/3274083/            
(4星)	 郑嘉颖啊！！！帅~            
(3星)	 成功的男人背后都有一个女人，成功的女人背后都有一道伤痕            
(NA)	 典型港片，佘诗曼很帅气在里面。            
(4星)	 好有笑点的大结局。不过总的来说，还是好喜欢郑嘉颖和阿佘这对，在剧中的确是衬。            
(3星)	 跟1相比实在退步太大 佘诗曼的角色加得不伦不类            
(NA)	 因为佘诗曼我只给两颗星            
(4星)	 S用十集拿到女一号，不同女，望同颖一起为终。            
(4星)	 还是很COOL，同步追看            
(4星)	 大爱大爱。超级喜欢郑嘉颖和佘诗曼。超级希望他们在一起。保佑。收视加油。            
(NA)	 我就是喜欢看类似于CSI的电视剧。其他的就有点扯了。            
(5星)	 定情之作&gt;_&lt;            
(3星)	 为什么最近看的结局总是这么狗血，囧。Cat出现就是为了说一句台词，囧。            
(4星)	 1好2更好3还好，但是3给我看害怕了奶奶个抓的，天眼少女和最后EVA死时候真的瞎完完地了。。            
(4星)	 延续第一部的精彩            
(5星)	 矮油~~为什么第三部换人了呢！！ 我的bell跟ivan呢！！            
(3星)	 编剧啊~ 好好对待郑嘉颖好么……            
(3星)	 天知道我有多讨厌电驴，可是看到最后我都希望她和KC能一起，我真是亲妈粉啊！这里面的KC实在是美貌的巅峰啊！但是还是忍不了2B粗糙的剧情。。。            
(3星)	 别说，佘诗曼和郑嘉颖在这部戏里还真有戏，两个人的镜头真SWEET。            
(4星)	 凶手神马的最好猜了，就是TVB老不红的金牌龙套            
(4星)	 法证先锋成警察先锋了 有没有搞错。。  人物造型明显不如第一部好看 郑嘉颖很帅 另外阿琛和林叮叮那段感情戏 说实话 好假             
(4星)	 为了KC看的片 最后觉得Dr.Koo更好一点 算杯具么= =             
(4星)	 郑嘉颖萌得打滚儿啊哈哈我是不会承认我是花痴的。            
(4星)	 KC年轻时候太帅了..            
(4星)	 没看第三部的时候觉得和第一部相比退步了，和第三部一比较，果断4颗星            
(4星)	 真可惜Yoyo这坑跌的头发。。。            
(3星)	 = = 佘诗曼。。。无力吐槽。。。结局真狗血            
(3星)	 换了CP            
(3星)	 真的还是蛮喜欢这个胖子的，不过案情的逻辑真是有待提高            
(4星)	 郑嘉颖真帅啊~            
(5星)	 每部中都会有一对苦命鸳鸯。差点以为阿佘也要做了苦命鸳鸯。还好~还好~            
(4星)	 比1弱点            
(5星)	 越来越爱郑嘉颖了。            
(5星)	 这个考试季我是看了多少电视剧啊            
(NA)	 可能是自己情绪的问题，总觉得第二部有明显捧了佘诗曼而导致剧情分配不纯粹的地方，所以没看完，弃之。            
(5星)	 好看            
(NA)	 居然一出场丁丁就死了。。            
(4星)	 TVB傻逼剧情，但是看了第一集还是继续看下去，忍不住，艹            
(NA)	 【2009-05-19】            
(4星)	 话说那时候的KC好萌~            
(4星)	 很喜欢那首 you are my angel~            
(3星)	 案件多数都很弱，不过madam ma气场很好，但是和Dr. Koo玩暧昧的部分很讨厌，好在最后没对不起KC。            
(3星)	 额。佘诗曼。。。演这种觉得还是蛮奇怪的。。。 = =            
(5星)	 最后一集 被TVB赚足了眼泪。            
(3星)	 郑嘉颖在林文龙旁边根本被淹没啊。脑残编剧毁了蛮好的一条感情线            
(3星)	 这部剧里嘉仔还蛮有型的*w*            
(4星)	 Lvan是用来表现完美的么。。。            
(4星)	 不知道原来郑嘉颖可以帅成这样            
(5星)	 蒙嘉慧，郑嘉颖，我很喜欢            
(4星)	 不错            
(4星)	 第一集开头非常好，短短几分钟，人物关系性格一览无遗，同时非常自然地进入案件，足见编剧功力，比第三部高出不止一筹。            
(4星)	 我就喜欢看警察抓坏人~~~            
(NA)	 综合看来扫把星明明就是阿sam吧⋯⋯            
(5星)	 最遗憾的就是汀汀死了            
(4星)	 第一部完整看完的TVB剧. 为学广东话也为消遣~ 主角几个都还蛮喜欢的就这样结束也小小不舍 法证3主角全换掉所以不准备看囖........            
(5星)	 郑嘉颖和佘诗曼这对COUPLE真的很爱啊~            
(4星)	 终于把三部追完了，郑嘉颖真帅~            
(2星)	 这是探案剧不是谈情剧啊！是法证探案为主好吗！还有那么多似曾相识的台词和桥段怎么回事？蒙嘉慧比较美有气场，SSM瞪着眼睛和比眼睛更大的鼻孔以为这就是有气场么？弱。爆。了。            
(3星)	 佘诗曼的剧都是这么捧人的吗？三男宠一女，天地人也一样...蒙佳慧和钟嘉欣就无比知趣地一死一残了...            
(4星)	 佘诗曼个人秀……装逼死了……郑嘉颖好帅！！！！！为了他多加一星~            
(4星)	 其实佘诗曼还是很有气场的，虽然一直不太喜欢她。            
(3星)	 紧凑了点，但还是注水严重，尤其讨厌高sir的说教，丫就是一政委啊！            
(4星)	 一二部里面的一些演员算是我们从小看到大的，很喜欢，外加现在很痴迷郑嘉颖            
(3星)	 阿佘是个好演员，可娇可傲可灵可傻，不知为何很多人就是不待见她            
(5星)	 没有欧阳震华的法证不是真正的法证啊~            
(4星)	 好吧 小柔虽然被边缘化，但是好在大团圆，这部还不错的。            
(3星)	 没第一部好看了            
(NA)	 郑嘉颖真是非常非常帅            
(3星)	 到了3就逐渐凸现出了抄袭boss的迹象……            
(5星)	 阿佘同埋KC是最靚的風景。邊有人登對過你啲┭┮﹏┭┮梁小柔你可不可以把眉毛剃細點！= =            
(3星)	 不论阿佘口碑如何，演技真是完爆徐子珊。郑嘉颖是不会老的么？！            
(5星)	 学到挺多东西的吧~            
(3星)	 郑嘉颖！            
(4星)	 经典啊  喜欢逸升和彦博            
(2星)	 纯言情 基本没有案件分析好吗。。。。            
(3星)	 又看了一遍，黎姿真的说不出是为什么啊，现代剧为什么就是越看越像电驴啊~宫心计的时候反而一点没有觉得呢。 港剧大结局天下有情人中诚眷薯其实犯罪推理剧也无法避免啊。            
(5星)	 赞就一个字            
(4星)	 因为八爷，我看的起劲            
(3星)	 顺手把这个补了            
(NA)	 弃了            
(4星)	 明明可以看住罪犯還要靠法證……這樣查案有點兜圈的好嘛？不過看到bobbie我就好開心，雖然tbb的結局總是這麼狗血            
(4星)	 蒙嘉慧短发好看~             
(5星)	 比第一部好看！！！            
(5星)	  = =变态杀人犯好。。。多。。。。 = =。八哥在里面好帅啊比古装的帅╮(￣▽￣&#34;)╭             
(5星)	 喜欢IVAN这个角色···太完美了，感动的我稀里哗啦，和林文龙真是搭档，IVAN浪漫专一阳光才华横溢讲义气沉着····            
(4星)	 20111101            
(3星)	 到底是什么时候怀孕的            
(5星)	 追着在同学家看到很晚            
(4星)	 好彩IVAN最后都醒返            
(5星)	 最近刚看完，很赞            
(3星)	 ZJY在里头相当帅啊。。。我之前真的没怎么看过他主演的剧~            
(4星)	 续集也是不错的，加上了KC            
(3星)	 看不下去了。。。            
(4星)	 真心不喜欢佘诗曼            
(4星)	 郑嘉颖那时候真帅            
(4星)	None
(4星)	 果断弃之。            
(3星)	 都是法证人员身边的案子            
(4星)	 欧阳震华的魅力足以让这部戏多加若干颗星，看到最后虽然案子一开始就猜到凶手，但是佘诗曼看起来都没那么扎眼了。果然她的现代戏比古装戏顺眼多了。            
(4星)	 佘诗曼跟郑嘉颖真的很登对啊            
(4星)	 比第一部逊色一些，小柔在这部戏中不太出彩，有点遗憾。总感觉国瑛跟阿琛更搭。            
(3星)	 看了三没爱就追了二。泥马真看不得自己不喜欢的cp搞暧昧            
(3星)	 没有什么亮眼的案件，但走过必留痕迹，只要是一部能看下去的电视剧，只要有心，就一定会有收获；电视剧就是电视剧，法证里的极品男人太多了，理性，冷静，有头脑，有知识，又细心的男人很难没有致命吸引力；演员选角色真的好重要的，佘诗曼这次没选错，角色不仅讨喜而且亮眼。ps tvb实在太喜欢用昏迷了            
(4星)	 佘诗曼，欣赏无能！本来给三星，看了III之后，我还是决定给四星吧！            
(4星)	 天真脑残妹走了真好。不过yoyo就变成打酱油的了。三男人的戏+差馆伙计的系都好好。阿佘和KC的情侣档真心不错，虽然仍不大喜欢阿佘。另Ivan二十四孝男友。。。            
(3星)	 以前看的。            
(NA)	 当年的郑嘉颖还是很粉嫩的，岁月催人老啊~~~佘诗曼和他两个真的蛮般配的            
(4星)	 花了2天时间全部看完了，不错            
(3星)	 好多case都估到，实在无咩挑战性            
(NA)	 刷完了，老剧果然是紧凑多了，感情戏少。KC那时候的颜真是巅峰啊，可惜演的角色缺乏发挥余地。不过，林文龙和他的基情很亮。            
(2星)	 这部的阿佘好不讨喜==            
(NA)	 看了第三部又回头看第二部 总觉得第三部的案情太简单没意思 第二部呢感情戏太多 还是第一部好看 。            
(4星)	 当时觉得喜欢蒙嘉慧多于佘诗曼~            
(4星)	 其实没有第一部好看，感情戏过多            
(3星)	 大四看的 好像是吧            
(NA)	 没有第一部好看，第二部应该叫做警察先锋了吧…法证在第二部里面完全是第二主角了。            
(4星)	 kc、Tim Sir、古生，你们三个干脆在一起生活吧            
(5星)	 好吧 我是为了郑嘉颖来的 虽然我不喜欢佘诗曼 不过她演这种角色我看着倒还蛮喜欢            
(4星)	 好看好看，3快点出来吧。            
(4星)	 为了KC去看哒~❤整体还算不错的感觉``            
(3星)	 八哥帥死了~等10,10第三部            
(5星)	 其实很想因为死掉的主角们减去一颗星的。但是考虑到还是学到了很多法证知识，而且阿沈他们一对也很可爱，就算了。。。            
(3星)	 阵容是强大了，可原本的主角都成了陪衬。陈旧套路用得多了些，木有突破。看完I才难得真心觉得yoyo美，又幻灭了            
(4星)	 当然是第一部好看，第二部很明显在捧佘和郑嘉颖，所以其他人的戏不多。            
(3星)	 没第一部好看            
(5星)	 靠。。。。丁丁死的时候我还好难过的。。。。。            
(3星)	 三角恋设计的不错            
(3星)	 还是那句话，最不像凶手的就是凶手咯！            
(3星)	 两个帅哥。口水流死了。            
(4星)	 好爱阿琛啊，如果汀汀没有死该有多好啊...PS.佘诗曼的美我真是从来都欣赏不来...            
(5星)	 果然还是受不了这种喜庆温馨的大团圆结局~            
(NA)	 http://v.youku.com/v_show/id_XMjMxMzgzMTQ4.html汀汀死的太蹊蹺了！！！！！！！代替汀汀的太牽強！！！！！！！阿Bel最後的表情真扭曲(￣_￣|||)            
(3星)	 终于看完了。港剧好多都是后劲不足啊~            
(2星)	 tvb剧是越来越没意思了            
(4星)	 林文龙大赞            
(4星)	 最后一个案件。。太没压轴的感觉了呀            
(5星)	 医务剧警务剧什么的最有爱了。            
(3星)	 最后能不一帮人在婚礼上跑吗，每次都来这套。            
(3星)	 越来越喜欢曹永廉了。            
(3星)	 仿美剧风。奇妙的是后十集的配音突变事件，乍一听很不习惯，听久了十足折磨！背景音乐的失格间接导致了我C#考试的杯具 Orz            
(4星)	 郑嘉颖在这里面还挺可爱滴            
(3星)	 案子比第一部的拖，原先的主角们沦为了配角。女主爸爸竟然起名叫马锦涛。。。经过教主批准了么？            
(3星)	 原来我等的叫法证先锋3= =不叫2= =疼。。。            
(5星)	 阿佘好靓 哈~            
(4星)	 还可以吧。男子很帅。            
(4星)	 在英国马的强势下小柔终于显现了傲娇受本性。。在SB郑的烘托下呆文龙显得格外有型。PS别指望我会追叁            
(NA)	 没第一部好看            
(NA)	 希望结局好。看第三季            
(5星)	 赞！            
(4星)	 真想捏捏欧阳震华肥嘟嘟的脸。            
(5星)	 这一部就更惨了……汀汀死了，沛沛死了妹妹不够，老公也死了……广东香港的人都好爱喝汤~馋得我~里面的人个个都是精英啊，难怪他们说一个人要翻身就说你还指望做医生律师~小时候看这类片子没感觉，现在觉得要过上他们那种生活，真是挺难的            
(NA)	 如果没记错，看过的最后一部TVB剧            
(3星)	 我还是挺喜欢tvb的。            
(4星)	 林文龙忒悲剧了 想让你跟小柔在一起 这么草草就分了 想让你跟阿佘在一起 又看着郑嘉颖那么努力傻笑不好意思 最后都炸了 还不行             
(5星)	 看过这个之后才发现原来佘诗曼也有可爱的地方。            
(3星)	 比较喜欢法政推理，所以才找来看的，还马马虎虎吧            
(4星)	 独自求学的生活，陪伴自己的终究还是TVB            
(4星)	 还不错阿，我还是更喜欢TVB            
(2星)	 凸- -凸 英国马ON9三角恋             
(4星)	 我的yoyo啊 舍自己捧别人啊            
(4星)	 港版CSI。。            
(3星)	 Sam还是跟汀汀一起比较好，剧本硬生生拆散他们，还要Sam爱上马帼英感觉非常奇怪。            
(4星)	 哇，这里面女人命怎么都硬成这个样子啊。。。            
(4星)	 欧阳震华戏份少了很多，倒是发现林文龙和郑嘉颖很帅~ 戏明显在捧佘诗曼，角色的确塑造的很不错~ 案情虽然不如一，很多真凶能猜到，但是感情戏加的不错            
(4星)	 我还是觉得应该把椅子扔到海里……            
(3星)	 就是披了层法证的皮，骨子里仍旧是香港破案剧的老一套            
(5星)	 我就是觉得结局傻了点林文龙在里面很帅嘛~最主要是喜欢欧阳震华            
(4星)	 不错。            
(3星)	 我到底是有多喜欢这个类型的片啊…            
(5星)	 曾經有段時間我的ID是Sam/Ivan =v=            
(4星)	 水准就在那了，虽然有些剧情有点老套            
(3星)	 为啥不给郑嘉颖和佘诗曼的激情戏 就怀孕了！！！            
(4星)	 啊，Wilson真帅。Ivan真是好男人。            
(NA)	 现在看港剧随便一个跑龙套的都是熟面孔。。以及 古医生很得我心呐。。            
(NA)	 唯一让我不舍的就是林文龙，但是听说后面要跟佘诗曼三角恋，果断弃！            
(4星)	 喜欢第一部多一些            
(3星)	 案情太弱            
(3星)	 偶讨厌的女人戏份多过偶稀饭的男人！            
(NA)	 好喜欢阿SAM~~~            
(4星)	 高科技~Happy ending~            
(4星)	 MLGB 第五集编剧居然让汀汀死了 不看了。好不容易看一回港剧 真失望            
(3星)	 嗯~还是比较喜欢第一部哦~            
(4星)	 终于是一部正常水准典型的TVB剧            
(5星)	 就系捏套戏令我想做个法证先锋！！！            
(4星)	 整體還好，只是案件不夠有吸引力。            
(5星)	 典型TVB侦探剧啦……            
(4星)	 喜欢的题材~欧阳震华很赞~            
(4星)	 沈雄和淑媛那对很是可爱啊            
