http://movie.douban.com/subject/2193492/	屋顶上的绿宝石
(3星)	 想当年高中时候看的啊，那叫一个坑爹，想抽死编剧，简言之，男猪和女猪因为家庭原因分离了十年，十年后各种虐之后终于在一起，但是还没完呢！！男二为了女主貌似把腿弄残废了，女猪跟男猪说，我爱你，但是他不能没有我，就跟男猪分手了！！尼玛的分手啊！！！我看到最后背道而驰那点真想骂娘啊！！！            
(4星)	 反正07年夏天的记忆都是美好的……包括这个国剧            
(5星)	 周念中是我的爱人            
(NA)	 抽空得重看一遍，讲的啥全忘光了= =            
(5星)	 所有青春里期待的爱情，所能想象到的灼热与哀恸，两个人之间的揪心与回忆都被它呈现~我一直想替佩妤问问念中，这么多年，我是你的谁？你希望我幸福可是你怎们不明白没有你，我的幸福永远是不完整的。            
(NA)	 同龄人的演绎            
(3星)	 我就爱胡宇崴，好多年过去了，依旧没看到结局。。            
(3星)	 结局莫名其妙            
(3星)	 哎。。。小霍啊小霍，为了你我可看了不少雷片啊。。。。。。            
(3星)	 凌佩妤不錯。            
(4星)	 虽然并没有那么好,但毕竟是在人生的最低潮看到...            
(5星)	 一段绿宝石项链注定的无坚不摧的爱情。几年前看过一遍，最近重温了一下。从高中时期萌生爱意的青涩青春爱情剧，可能更容易勾起我对思绪和眼泪。周念中和莫家琦也是一对我觉得很配很配的恋人。            
(3星)	 不喜欢这个结局！~            
(2星)	 霍霍很帅，剧情受不了。。。            
(3星)	 小霍啊小霍            
(NA)	 又一悲剧...            
(4星)	 去掉最后一集就是部好片            
(4星)	 “农历八月初四，是白露——太阳过黄经165度，夜凉，水汽凝结成露。听说，在白露第一道曙光出现的时候，把一颗绿宝石交到恋人的手上，那么，这对恋人，不管遭遇多少的磨难，他们的恋情将永远无坚不摧！”            
(5星)	 霍帅哥。。。            
(5星)	 作为青春偶像剧 是不错的 情节上也不空洞 蛮现实的 霍建华继续磨练演技中             
(NA)	  胡宇崴每次演的都是付出最多却得不到爱~为什么啊~绕那莫大的圈圈也没在一起。。。            
(4星)	 “很多事情是不能强求的，就像海南岛永远都不会下雪一样，很多事情过去了就是过去了，回忆终究是回忆；梦醒了，你还是得回到现实里面去。”　　“农历八月初四，是白露——太阳过黄经165度，夜凉，水汽凝结成露。听说，在白露第一道曙光出现的时候，把一颗绿宝石交到恋人的手上，那么，这对恋人，不管遭遇多少的磨难，他们的恋情将永远无坚不摧！”　　这是女主角莫家绮坚信的绿宝石传说，是延续、是圆梦，当莫家绮父亲为她戴上象徴永恒爱情的绿宝石起，她的爱情，也注定跟随这条绿宝石项链一起摆动、闪烁、翻飞、坠落。　　一段纠结            
(4星)	 结局还是有点意思的。            
(3星)	 要不是霍建华我怎么能忍完30集。结局竟还这么残念 .            
(5星)	None
(3星)	 好像剧情有点苦逼，所以没看下去            
(3星)	 那个时候不论是霍建华还是孙俪都演的很做作，及格分完全是冲着里面的英伦景色和胡宇崴打的            
(3星)	 华哥、孙俪养眼哒，还有郭静的处女唱好听            
(3星)	 哼            
(4星)	 不只是爱情。            
(4星)	None
(5星)	 那时候一放学立刻跑回家看的 ， 接触的比较早的偶像剧了 。            
(5星)	 好听的歌曲，帅气的霍建华            
(3星)	 竟然没有标记过这部，@无炎海馨_莎小仙 这部让我们知道了什么叫为了杯具而悲剧，@刘瑛roro 你现在都没看吧？            
(5星)	 最终莫家绮说，为什么我们这么努力，最后还是不能在一起。            
(3星)	 胡宇崴~            
(4星)	 看前十集就好。。。结局自动忽略！！            
(3星)	 我没有很喜欢看 好像里面还有胡宇崴的~~            
(4星)	 丫的叫我怎么说 花了2天看完 为了了解初中时候未完结的故事 没想到 编剧太坑爹了 我失望透顶知道吗 一会在一起 一会又出事了 您会安排吗 您好歹给人个心里准备啊 我擦 直接倒了 郭静的时光 张韶涵的其实很爱你 林隆璇的那时候 这三首歌没玩没了的放啊 搞的我要睡觉之前脑子里是歌声             
(3星)	 就觉得什么威来着挺帅的            
(4星)	 很喜欢的一部电视剧，喜欢那个画面，喜欢海南，喜欢火车，喜欢周念中，喜欢林佩瑜，喜欢英国，喜欢她们的故事。一直会想起周念中和林佩瑜在一起的样子，喜欢看林佩瑜自拍的样子。            
(3星)	 冲着霍霍的颜看的，但其实剧情很狗血啊，孙俪不适合这种言情剧            
(4星)	 大一看的，看的很纠结            
(5星)	 我怎么什么都看过的吖。。。。。。            
(5星)	 跟我的初恋一样，纯真、美好、没有结果。            
(4星)	 现在听“时光”还会难过。就受不了明明相爱却不能一起的桥段呀！！！            
(NA)	 很一般。我被这个名字忽悠进来的。            
(NA)	 当年的感动            
(3星)	 原声带很好听             
(4星)	 高三时看的，爱呀。            
(4星)	 有点拖            
(5星)	 很阳光的味道            
(5星)	 我是土鳖 我爱霍建华 我爱山炮偶像剧 orz            
(3星)	 孙俪和那些台湾明星不太搭。            
(5星)	 如此漂亮，如此纯真，如此小。。。            
(1星)	 我很厌弃啊～～            
(5星)	 当时被感动的不行……            
(4星)	 最喜欢他们在伦敦的那段时间，异国情调好有风味，孙俪穿妮子大衣和毛衣的时候好漂亮。            
(3星)	 很虐...有点拖沓...还是霍建华...            
(4星)	 内时候觉得 很好看。。。结尾好悲            
(3星)	 总会有人傻傻的付出。            
(4星)	 浪漫的海南风景宜人，加上帅哥靓女，这部剧挺有看头            
(4星)	 首播的时候同学说好看我觉得挺无聊，没看。后来自己看的时候还是有被吸引到。插曲什么的不错。            
(4星)	 觉得孙俪满好看的唉~对台湾偶像剧不解释            
(2星)	 摔！原来我还看过这剧啊。。。            
(5星)	 剧情比较虐，但是真的很喜欢里面的各位演员，尤其是主演霍建华和孙俪            
(3星)	 霍建华是很帅啊 不过这电视剧拍的实在有点罗嗦 各种回想 有凑集数之嫌            
(3星)	 张韶涵唱的那首主题歌我喜欢            
(3星)	 当初为了孙俪看的，不够偶像的偶像剧。            
(4星)	 引发了我对爱情的思考，里面有几段感人的对白，每次看、读，都会让我落泪.神伤…            
(4星)	 演尽一切悲欢离合巧合偶然。            
(3星)	 不记得情节了            
(4星)	 为什么不是男二是男一            
(4星)	 唯美            
(4星)	 那时候第一部看通宵的电视剧，那天早上还为妹妹煮粥~~那时我是中考结束了            
(3星)	 断断续续，也算看完了            
(3星)	 结局有点小雷            
(3星)	 算是看过吧。。当时貌似觉得很好看，对了，电视剧里的插曲超级好听！！！主演都还挺好的，就是没看到结尾。            
(3星)	 就记得歌是张韶涵唱的了            
(3星)	 本剧最大的bug，海南时家琦家算有钱吧，后来念中那么有钱..就舍不得买个电话联系？打公共电话..每次想说句再见，或者告诉在哪都不行..是不是有点太那个了..bugbug            
(3星)	 对海南无限向往了。。。            
(1星)	 孙俪真不好看了            
(3星)	 哈哈，纪念一下，当初那么喜欢这个            
(4星)	 初三中考完后也看完了，所以印象还很深刻，结局不好，他俩都努力了那么久，怎么最后说散就散的。不过倒是一部很好的海南风景宣传片，坚定了我去海南的心，终有一天我会去海南。            
(5星)	 一段回忆，一段遗憾~            
(4星)	 冲着霍建华，本来可以给五星，但是结局太狗血，所以减一星。            
(3星)	 爱来爱去 狗血剧啊a~            
(5星)	 我也在等那么一个女生，愿意放下所有的繁华，苦等那一份真爱            
(2星)	 呵呵呵            
(NA)	 很久前看得了            
(4星)	 还是蛮喜欢的，喜欢男二号，很痴情，也喜欢他们最初的相识，因为美丽的误会，还有男三号贾乃亮，都很不错，女二也痴情，也有气质，这样一比，反而女一弱了点            
(4星)	 伤心……            
(3星)	 对结局我耿耿于怀。            
(4星)	 像白纸的天真，反复被你伤得很深。            
(3星)	 老套的剧情，但是俩人看着还挺有感觉的            
(3星)	 虽然打的招牌是中国偶像剧。。。但是中国偶像剧的致命硬伤就是总是要牵扯各种家庭地位身份金钱然后什么父母伦理之类。。。            
(4星)	 补遗。。。            
(4星)	 那时候，看这样的电视剧都不会觉得辛苦。年轻，多好。            
(4星)	 奔着霍建华去的 剧情很纠结…… 中间一大段直接跳过 结尾更纠结            
(4星)	 相信白露的那个故事.....我也是白露出生的            
(2星)	 有人为这部戏迷上了孙俪。这剧情太太太熟悉了。            
(4星)	 我喜欢            
(5星)	 在看之前已经隐约了解到这是一部没有在一起的爱情故事。但是我没有想到会是这样的一个结局，故事并不完美，却也真实。在这个真实的世界里，这样的故事或许会天天上演，只是我们并不知道。有的人愿意为爱疯狂，有的人愿意为爱欺骗，有的人能够为爱付出，有的人却陷入选择的两难境地。            
(4星)	 孙俪。。。。哭到不行....            
(4星)	 在内地拍的，有点伤感系。            
(3星)	 兜兜转转,命中注定无法在一起,看得好纠结啊~~            
(4星)	 演尽一切悲欢离合巧合偶然，最喜欢那钢琴小提琴的合奏，绿宝石，最后的结局虽然悲情但是，很符合这部剧的调调.            
(5星)	 我喜欢不完整的爱情故事            
(3星)	 結局過於坑爹。            
(3星)	 为了霍建华，忍着看完了。有时候看见孙俪倔驴一样的感觉，真想打她~            
(3星)	 歌好颜也好~~            
(3星)	 这部剧一直在午夜时分播放被我看到            
(3星)	 因为有了绿宝石的传说使得这部剧迷人。。。可一个传说的美好抵不过现实的残酷，相爱的人要在一起，只有从始至终的矢志不渝，否则必定要被现实击垮！            
(3星)	 虽然孙俪演偶像剧不像那么回事，但是通过这剧听到了郭静的好声音，另外觉得男二号像二宫和也！            
(3星)	 接受不了结局，因为孙俪看了这个片，结果喜欢上了霍建华。里面的《时光》很好听。            
(3星)	 很久前看的一部，还残留着一些记忆...关于绿宝石的传说吧...            
(NA)	 http://movie.douban.com/pics/sth.gif            
(NA)	 当时好喜欢霍建华            
(5星)	 挺好看的！            
(3星)	 太偶像剧             
(4星)	 总体来说很好看，制作精良，演员们也很优，就是后10集太拖拉，有种从一部青春爱情片转换到一部狗血韩剧的幻觉            
(4星)	 偶像剧套路啊。@Home            
(2星)	 你妹!            
(5星)	 霍建华的念中：年龄、心理的跨度都是当年的一个挑战.把握的细腻、结局处理的不同于剧本，很赞！            
(2星)	 没意思            
(4星)	 剧情有点长，有点复杂。而结局的悲伤，真不是我所喜欢的。            
(3星)	 还行吧~            
(5星)	 很喜欢这部剧。。虽然结局很惨。。            
(4星)	 很多事情是不能强求的，就像海南岛永远都不会下雪一样..结局是悲,也不是悲..现实中            
(3星)	 3+            
(NA)	 海边的房子,感觉蛮好.            
(2星)	 国产偶像剧，就是各种不给力            
(NA)	 3.5            
(4星)	 高中看的~            
(3星)	 这种悲情真是……            
(2星)	 又土有俗的偶像剧……孙俪不适合！！            
(3星)	 断断续续看的，没啥感觉            
(3星)	 第一次认识胡宇崴，还不错。。。            
(5星)	 喜欢干净的画面，海南的夏天，也喜欢他们的爱情，尽管嘉绮最后和念中不能在一起，他们依然可以和彼此的伴侣相依为命，直到对方过得很好，真的已经足够了            
(3星)	 故事不错            
(3星)	 当年这个电视剧可是大热啊 虽然没看全 但也跟着看了很多 或许只有几集没看吧。。。 还不错 每次音乐响起来的时候都有那种感觉~~            
(4星)	 以前的时候我还觉得霍建华很帅，现在怎么看他怎么不顺眼            
(5星)	 结局很不理想，但是之前都很好            
(NA)	 霍建华去死去死！！ 胡宇崴加油！！            
(3星)	 狗血剧            
(3星)	 一声叹息            
(3星)	 这个时候霍霍的演技毕竟还没有那么炉火纯青，有些地方看得难免会有一些僵硬，但是对比这部剧和他现在拍的剧，可以看出他很大的进步！加油啊霍霍~~~ 剧情方面，比较曲折，我挺喜欢结尾的，虽说有情人终不能成眷属。            
(NA)	 电视上在饭点放了 我能不看么？            
(3星)	 这是个力图拍成电影的电视剧..故事蛮曲折也蛮现实的            
(3星)	 不太喜欢剧情和这电视剧的风格            
(4星)	 很喜欢里面所有的主题曲、配乐、插曲。            
(4星)	 算是挺不错的内地偶像剧~~            
(3星)	 霍建华!            
(NA)	 为何青春不能是不老的童话。            
(3星)	 繁琐的一部偶像剧            
(3星)	 我喜欢女配哎~~            
(NA)	 非常赞同底下同学的评价。要不是霍建华我怎么能忍完30集。结局还那么恶心。同样看在霍建华的面子上不打分了= =            
(NA)	 孙俪            
(4星)	 让我感动了很久~            
(4星)	 还不错啊            
(4星)	 &#34;我曾经以为，只要我们拥有彼此的力量，就可以一直走下去，但其实，连月亮都有阴晴圆缺，我们凭什么这么笃定，所以既然这么巧在这遇到，我们就在这到里道别好不好&#34;这部剧的结局的确震颤到我了。            
(2星)	 我纯是冲着霍建华去的~结果义无反顾的看上男二号了            
(4星)	 令人感动的爱情。            
(4星)	 后面看的难受            
(1星)	 神马啊！大悲剧！            
(5星)	 没有太多的新意，但是在国内拍的青春偶像剧中，这部应属上乘之作了。从主演，音乐，取景，都不错。特别喜欢结尾，不仅仅只有悲伤，还是饶有余味的……            
(3星)	 只是偶像剧            
(5星)	 很好看的悲剧            
(4星)	 很多事情是不能强求的，就像海南岛永远都不会下雪一样，很多事情过去了就是过去了，回忆终究是回忆；梦醒了，你还是得回到现实里面去。”            
(4星)	 里面的音乐还不错            
(4星)	 我喜欢的是 你和健康的佩妤在一起 她才是一直陪伴你的人            
(4星)	 难得能看下去的泡沫剧。前面不错，但是后面还是不得不跳着看。结局尚可。剧情烂俗。音乐可以。            
(3星)	 这部剧好像不红，但是主题曲都很好听。很喜欢前面的学生时代的部分，但是后面越来越惨，导致本来四星的戏下降到三星。。。哎。。。我多希望他们能在一起。            
(4星)	 喜欢他们高中在海南的美好时光            
(NA)	 ·            
(3星)	 断断续续看了一些。            
(4星)	 挺好看的。青春的岁月。仇人见面分外眼红。最后却变成了恋人。折腾到最后。相爱的两个人却无法在一起。07年暑假。            
(NA)	 霍建华            
(3星)	 看得不完整~但是坚决不会爱上这么扭扭捏捏~感情游移不定的男人！            
(4星)	 前面大部分都很好看，后面情节变得拖沓纠结，虎头蛇尾的感觉。看完之后心里真压抑，哭也哭不出来，很难受            
(NA)	 2009年7月            
(4星)	 霍建华很帅么·~~孙俪蛮有味道            
(3星)	 我喷~！啥结局            
(4星)	 最后一集太特么坑爹了！！！            
(4星)	 不喜欢的结局···喜欢的演员们···            
(4星)	 不喜欢那个结局，莫名其妙。            
(3星)	 这片子气死人了...懒得看...            
(4星)	 很喜欢。。一波三折。。最后的结局也很痛心。。唉。。或许这才是人生吧。。。            
(NA)	 为什么这样子            
(4星)	 里面的歌特好听            
(4星)	 霍小华同学~~~嗷嗷嗷~~~~&gt;_&lt;            
(3星)	 霍帅哥那角真的很瓜            
(NA)	 用在心里的爱情，不会终结。            
(3星)	 绿宝石的传说，挺美。            
(5星)	 这可是我最喜欢的一部电视剧。            
(4星)	 喜欢            
(3星)	 之前断断续续看过，这次是来打算回味那些甜美的片段……结果，依旧看得很不爽~~~让我一直以为最后的结局被砍掉了。我承认，我不具有什么鉴赏电视剧的能力，但是我还是单纯地希望完美的结局。不要给我扯淡什么艺术啊，现实啊~既然现实已足够残酷，为啥子不能在艺术中获得满足呢？！？！？！喜欢家琦表白的那种方式……不喜欢那样的结局……可能未完待续吧；-p            
(NA)	 她們家..孙俪            
