http://movie.douban.com/subject/2241057/	帝女花
(3星)	 哭哭啼啼的剧，我有点吃不消            
(4星)	 http://www.imdb.com/title/tt0426363/            
(4星)	 我记得郭少芸和刘家辉说：伸手不打笑面人；我记得佘诗曼在这里面还是很嫩的，就像阿九一样；我记得马浚伟的古装不是一般地帅；我记得唐文龙开始演男二了；我记得陈豪演得是佘诗曼的老爸，若干年后和佘诗曼演情侣；我记得郭羡妮在这里面特别坏；我记得这个时候李子雄还在TVB            
(NA)	 不是很好看            
(2星)	 后面太悲情了……我喜欢看儿时和初识。            
(4星)	 都说我跟佘诗曼长得像诶！            
(2星)	 豆腐渣~            
(NA)	 还好算是个happyending            
(4星)	 SS又演长平...            
(5星)	 好喜欢这部片子噢!那首歌..一直感动着!!            
(NA)	 这部戏没那么讨厌佘            
(5星)	  马浚伟 喜欢！            
(4星)	 小马哥的周世显实在令人难忘            
(3星)	 落花满天蔽月光 借一杯附荐凤台上 帝女花带泪上香 愿丧生回谢爹娘            
(3星)	 除了佘诗曼以外,拍得还不错            
(1星)	 烂啊！            
(NA)	 。            
(5星)	 善良的长平公主，话说邵美琪怎么能演佘诗曼的妈妈呢，太欺负人了吧            
(4星)	 我记得电视剧频道放过一次，就没下文了＝ ＝好像没什么知道这部电视剧，其实还行呀。而且佘诗曼主演的！            
(2星)	 TVB将《帝女花》做的如此之平庸化和偶像化，又为何要拍这样的题材。            
(2星)	 陈豪变老爹了            
(NA)	 看的我着急，国难当头，社稷岌岌可危，可是大家都在干什么啊……急死我了，急死我了。。。。            
(3星)	 佘诗曼最美的时候            
(4星)	 重温一遍  佘诗曼那时候演得真好  主题曲一直都会唱            
(NA)	 那个时候很希望男女主真的是一对~            
(3星)	 当时想的是，马浚伟你好讨厌在《澳门街》里抢走阿佘现在又来！            
(3星)	 郭女王总演那么坏人的角色。。真替她郁闷~自从洛神之后都不太喜欢TVB的古装戏了。。            
(NA)	 那音乐挺好听的，高中时候看的，还跟一群女生讨论过，佘佘和马浚伟在里面不错。            
(3星)	 还不错            
(NA)	 相似的tvb古装剧，永恒的故事主题。 三星。            
(4星)	 粤曲            
(3星)	 郭羡妮演的那个女的坏透了             
(5星)	 想起以前跟奶奶还有堂妹们一起看电视的时光了，那时候多么幸福无忧无虑。。。无关乎看的什么电视。。。            
(4星)	 这剧也是小时候看的，主题曲印象挺深~            
(2星)	 TVB的过度演绎可以去死了，我只想要高贵正直的世显长平与“夫妻死去树也同模样”的正常殉情            
(5星)	 我记得就是看了这部戏之后，做梦梦到马仔了..= =            
(4星)	 好像很早以前看的。。。            
(3星)	 重溫舊港劇就好像回到以前中午放學回家看翡翠台炒舊飯的那些時候            
(3星)	 这版长平公主没被断臂。            
(5星)	 这是对TVB最初的记忆之一             
(2星)	 得首歌好听            
(3星)	 我就只看长平和世显的爱情。            
(3星)	 好喜欢佘诗曼。            
(5星)	 帝女花ktv必点啊  世显，长平~~~            
(3星)	 佘诗曼太他妈丑了 还我的俊伟            
(4星)	 看不下去了。。。            
(NA)	 “世顯永伴長平合葬”            
(3星)	 太虐了            
(4星)	 这俩人。。。好苦情。。。主题曲很好听~            
(5星)	 结局看的我那个泪崩            
(4星)	 就像评论里说的，郭羡妮演的女2真是坏透了，坏到后来都不想看了，但是对我来说，仍是经典，从祝君好就开始喜欢马浚伟，然后是洛神赋，一直都是延续，可惜现在长残了            
(3星)	 开始狗血了。            
(2星)	 没看完……            
(3星)	 其实不太喜欢这种太过勾心斗角的剧            
(4星)	 这里还是喜欢佘诗曼的，还有马浚伟。            
(3星)	 我喜欢阿佘嘛。            
(3星)	 很早前看过的，很多情节都忘了，有些地方还不错。江山劫转希望，唯求盛世胜天堂            
(3星)	 哎            
(4星)	 当时我在老版历史教科书上看到驸马周世显出征的时候多么激动！            
(2星)	 只记得主题曲            
(5星)	 经典啊！            
(4星)	 就这么一直愁下去愁肠百结            
(4星)	 不错的港剧`            
(3星)	 那时候很少看TVB的，也不懂什么TVB，就看了这个            
(3星)	 为嘛我看的时候就这么讨厌佘诗曼演的这位呢！            
(4星)	 那些女孩教我的事            
(5星)	 说实话这部没啥特别的，但是 吾 大爱呀！甚善···            
(3星)	 崇祯皇帝演的非常的好            
(NA)	 世显愿与长平合葬。。。我就记得歌词里有这个。。。            
(5星)	 当时迷得一塌糊涂啊            
(4星)	 记得当初巨讨厌郭羡妮            
(4星)	 记得邯郸树下齐殉情的场景和那首诗            
(3星)	 没见过这么惨的            
(3星)	 太扯太扯了...那时候我还不知道佘诗曼是佘诗曼呢，不过马浚伟是一脸忠厚相啊            
(5星)	 用心看，会多些感动            
(3星)	 最喜欢的是配乐            
(5星)	 我真的很喜欢看…………            
(4星)	 六度离合 .....            
(4星)	 年代写错了吧啊喂！            
(3星)	 看了《宫心计》后，惊忆还有这么一部片子，里面佘诗曼演陈豪的女儿...            
(5星)	 长平公主和周世显 六度离乱的野史佳话~            
(4星)	 昭阳你可以再坏点吗？            
(3星)	 怎么 类型就惊悚了呢？？？？            
(4星)	 太虐了，不过好看            
(3星)	 为什么类型是惊悚啊……            
(3星)	 郭羡妮……黑线            
(5星)	 好看啊，特别是 佘诗曼，陈豪，唐文龙            
(NA)	 哎。            
(5星)	 喜欢！！            
(3星)	 后面哭了            
(3星)	 把家国情仇的所有问题都归结给个别坏人，编剧，是你高估了反面角色的能力还是有点忒不动脑筋了。            
(NA)	 帝女花            
(5星)	 和老妈一起看的时候那个心绞痛啊...哎，可怜啊可怜,,,            
(5星)	 文文啊。。为毛陈豪都演爹了            
(4星)	 初中看的，当时租碟来看，喜欢得不行。            
(4星)	 很喜欢的一对            
(4星)	 不错的一部剧，唯一难为了邵美琪竟然要演佘诗曼和郭羡妮的母后，三人年纪相差没那么大嘛。过份！钦佩邵美琪的敬业表现。            
(3星)	 佘诗曼演技册来了，但是调调就是伐欢喜呀。。。马浚伟其实蛮好，但就是伐能大红大紫，伐晓得为撒。。。            
(4星)	 现在回头看依旧是不错的一部剧，但是阿佘在里边的扮相不太好看。邵美琪第一次演妈了。            
(5星)	 是按那時的心情來打分。那時一聽見“世顯永伴長平合葬”就紅了眼眶。也是這部劇讓我感受到那時候的國仇家恨，戰爭年代的淒涼。            
(3星)	 好像很煽情还怎么样 和妈妈一起看的            
(3星)	 一般            
(4星)	 很感人，不知道是不是历史真有这么一段和那样的结局呢            
(4星)	 最经典的配乐            
(3星)	 看到郭羡妮我想起来这部戏了，太假，太假。            
(4星)	 太久都不记得了……还是马克一个            
(3星)	 内容不大记得了，但是因为这部片子而很喜欢马浚伟            
(3星)	 马仔好靓仔（花痴 = =#            
(4星)	 世显~~            
(4星)	 马仔百看不厌~            
(3星)	 整部剧里面我关注最多的不单只是主角 对于昭仁这个角色 一直很郁闷 觉得没有给观者留下个好的结局 感觉她做了那么多 最后就只是这么结尾 有点不平            
(4星)	 剧情无感，演员有爱            
(NA)	 無線不斷炒冷飯            
(5星)	 被感动了，主题曲很好听            
(4星)	 第一集和最后一集太煽情了····还是我泪点太低了？····佘诗曼当年好美，马仔！····            
(4星)	 向海岚并没有很好看……            
(5星)	 其实我觉得好看            
(4星)	 这剧很虐啊很虐啊很虐啊……            
(3星)	 除了MO 简直部经典烂片            
(4星)	 期末考试期间跟舍友一起看的            
(3星)	 真是杯具···不过俩主角都不喜欢            
(3星)	 看到佘姐蛋都碎了好嘛            
(3星)	 很悲的            
(3星)	 阿佘的好人角色太多了。            
(3星)	 看。            
(4星)	 凄凄惨惨。。惨惨戚戚。。            
(3星)	 好吧。那时候我还没厌倦佘诗曼的脸。            
(5星)	 TVB拍宫廷这种斗争戏很不错            
(5星)	 世显和长平，呜呜~~~            
(3星)	 那个苦大仇深，波折起伏啊！~一开始就知道结局了            
(5星)	 结局确实很凄惨~~~            
(5星)	 又一段被人世代传颂的爱情故事            
(5星)	 结局很狗血            
(3星)	 后面就是个shi...老是记得小时候，记个妹啊            
(4星)	 对他们两惊天动地的爱情感动！            
(NA)	 长平，额，只记得他俩奔跑的那一幕            
(4星)	 佘佘和马浚伟的搭配还是比较解馋的。好过现在老看她和陈豪。            
(4星)	 有些虐...            
(3星)	 为什么没死？？            
(3星)	 为什么不是张智霖来演呢~~~            
(4星)	 最打动的是他们之间的信任，任人如何挑拨都无丝毫动摇无丝毫怀疑的信任            
(3星)	 前面拖沓 坏人一刀解决死的太舒服 总之看着气不顺            
(4星)	 有些人是天生的狠，有些人是经历一番风雨才狠，但有些人，一辈子，都是那么善良。            
(3星)	 为嘛每次都要佘诗曼演女主？我还是很喜欢马浚伟的，当年和小春一起演的康熙皇帝已经成了我心中的经典了~            
(4星)	 稍微没有那么杯具的洛神@@            
(3星)	 他們兩個也太背時了點。            
(NA)	 歌就是这学的            
(3星)	 余诗曼好漂亮呀            
(4星)	 唉。。。悲劇の說            
(4星)	 离开了，还是会回来，我一直在等待~~            
(3星)	 苍天，有哪部我没看过？            
(5星)	 觉得大家都应当看看这部剧，学习一下周世显同埋长平公主。            
(4星)	 昭仁真是坏得我想打死她！            
(4星)	 悲情的故事            
(5星)	 经典            
(1星)	 如此之烂，实在无从多说之处。            
(4星)	 佘诗曼！！！！！！！my love啊~~~~~            
(4星)	 伟大凄美的爱情            
(3星)	 悲剧啊。。。。唉。。。。感觉佘诗曼慢慢出道了。。。。            
(4星)	 最终还是有情人终成眷属了。            
(3星)	 小马哥好帅啊！！！！剧情烂了些。。。。            
(4星)	 她手断了吗？没有吧!            
(4星)	 我靠，那个悲啊，当年看的时候还因为太悲了，被电视台停播了，导致我们家去租碟子来看完。。。            
(3星)	 郭羡妮老演不讨人喜爱的角色，于是我就渐渐不喜爱她了。。。            
(3星)	 有点囧            
(2星)	 假。。            
(3星)	 老娘当年看的可有滋有味了            
(2星)	 只看过不多一点，大概应该比较狗血吧···            
(5星)	 很感人的爱情故事，郭羡妮在里面坏死了            
(5星)	 很早看的~~~强力推荐~~~里面的郭吖~~~~唉。。从帝女到洛神~~坏水一肚子~~严重怀疑她是本色出演了。。。我觉得男二太不值得了~恁帅个小伙儿就毁了~~            
(4星)	 当年的那个小生马浚伟 和当年的纯情长平公主 好怀念            
(4星)	 蛮感人的。。。最起码我有几次被感动了~            
(4星)	 郭羡妮里面这个角色可以说是看过电视剧里最坏的女人了,,从头到尾不知悔改还把亲娘给杀了,,            
(3星)	 哎，郭MM又是反角            
(5星)	 主题曲也哈听            
(4星)	 个人觉得还是蛮经典的            
(4星)	 真想看小马哥演次坏蛋            
(5星)	 双树含樟倚玉楼 千年合抱未曾休 但愿连理青葱在 不向人间露白头 合抱连枝倚凤楼 人间风雨几时休 在生愿做鸳鸯鸟 到死如花也并头              
(4星)	 就是这种到最后才解决误会的看着郁闷 还是喜欢看happy点的~~            
(4星)	 虐剧中の经典。邵美琪内张脸一出现就够惨了            
(4星)	 好吧.起码那时候我还是比较喜欢的..            
(3星)	 感觉每个版本的历史都很有意思~写手背后的正主呼之欲出            
(3星)	 我为什么会喜欢这部剧？我不知道哎！            
(3星)	 呃~这部本人不太爱...不过我喜欢马浚伟~不喜欢佘            
(5星)	 郭羡妮演的角色有够坏的。            
(5星)	 当年好爱世显和长平啊！！！！我奶奶的最爱。。。            
(4星)	 当年看的时候揪心的我……            
(3星)	 有点拖拉。。            
(NA)	 看完后。。就忘不了。。只是当时已惘然            
(4星)	 唯一一部喜欢佘诗曼的。从头哭到尾啊。帝女花这歌也很赞。世显永伴长平合葬。            
(4星)	 TVB很爱            
(3星)	 世显愿陪长平葬~片头曲的一句话堪称点题之笔，这也是我喜欢这部电视剧的原因            
(4星)	 佘诗曼呐~            
(3星)	 有点长。。。            
(3星)	 两个女人之间的战争郭羡妮比佘诗曼漂亮很多，可是演反角就从气质上被佘比下去了            
(NA)	 昭仁啊真是美死了。比长平好太多，但是这么的坏T T            
(3星)	 世显永伴长平合葬            
(2星)	 漫漫长距，备受ss虐！            
(4星)	 马浚伟为什么一直演这样的角色呢，知书达理文质彬彬又是万人迷            
(5星)	 不看你还算是超级TVB迷吗            
(4星)	 古装　亡国小儿女            
(3星)	 一本经典的港剧            
(NA)	 世显在城墙上吹笛子            
(4星)	 悲悲戚戚~郭演了一個大反派~            
(2星)	 太慘的東西接受不到            
(5星)	 男女主角都喜欢            
(3星)	 算是让我对长平有新的认识。真善良的有点假。青梅竹马，小将军的图。最后还是脱身眷属。            
(4星)	 长平太可怜了            
(NA)	 佘诗曼也是个美人            
(NA)	 阿佘好灵啊！            
(3星)	 太曲折            
(4星)	 非常喜欢的恋情，少了一颗星是因为30集的剧情太拖沓了。            
(NA)	 嫩嫩的佘佘。。演技还没到家。。            
(2星)	 不喜欢郭羡妮从帝女花开始。            
(NA)	 陈豪是佘诗曼和郭羡妮的爸。。。            
(3星)	 电视上瞄了几眼。佘诗曼演的角色永远都没有死过。。。            
(3星)	 还是因为马同学，那个佘大妈，额滴神啊            
(NA)	 经典啊。。有2部。。我看了好多遍了，不腻~顶~            
(4星)	 佘诗曼 马浚伟   呵呵            
(NA)	 没看完            
(3星)	 上上个假期看的吧            
(NA)	 至死不渝的感动爱情            
(4星)	 世显和长平，还有小黄毛~~~想艳艳了……            
(4星)	 喜欢主题曲啊            
(NA)	 高考前让我陷进去了...如果不看，是不是我的命运就不同呢，但我不后悔，女人真美            
(2星)	 挺无聊的。不过刘锦玲的演技很出彩倒是真的。            
(5星)	 主题曲超级好听            
(5星)	 嘿咻            
(NA)	 独臂神尼年轻时代的故事·～            
(4星)	 结局感觉有点扭曲历史    8过过程还是好看的   关键是有我喜欢的马仔~            
(4星)	 马浚伟真是帅啊真是帅            
(NA)	 两个人的感情戏拖沓得实在看不下去，最重要的是佘诗曼难看造作演得又烂,就算是演奸角我也要说郭羡妮比佘诗曼美丽一万倍。            
(NA)	 周后很可怜~            
(3星)	 麻麻地            
(4星)	 在天愿做比翼鸟,在地愿为连理枝            
