http://movie.douban.com/subject/4236823/	偷心大圣P.S.男
(NA)	 到后面就看不下去了  觉得男二挺好的            
(4星)	 美女帥男。            
(4星)	 剧情设置给三星，但因为亲爱的隋小姐和蓝先生，我不得不再给一颗。歌曲很好听，也蛮符合剧情的需要，这样一种结合的模式是目前台湾偶像剧尝试的成果之一。马小茜的龟毛性格导致剧情的拖沓，但却是现下的一种反映，且抛弃了以前固有的模式，只是，现实中的理想主义者无论在事业还是爱情未必有这么好彩。            
(1星)	 蓝正龙真衰 三立2部偶像剧全摊上烂编剧...台剧真的只有《痞子英雄》可以看看啊╮(￣▽￣&#34;)╭            
(2星)	 属于看完都不知道在演什么            
(4星)	 可以抽小腹的偶像劇都可以打四星            
(4星)	 最后，花心的王子和单纯的公主永远幸福的生活在一起。圆满。            
(NA)	 总算看掉了，不是太脑残。温升豪的角色很讨喜            
(NA)	 基本上除了演员我喜欢~主题曲喜欢之外~就没什么了~            
(2星)	 结局实在是很无聊            
(3星)	 实际上没有看完，实在是看不完了。。。。弃            
(3星)	 还是很好看的            
(NA)	 几集后弃            
(4星)	 后面实在太折腾。。。            
(1星)	 算了，看了两集放弃            
(3星)	 蓝正龙喜欢上马小倩后就越来越不帅了。。。不喜欢这类偶像剧。。。哪里假假的 阿曼达很靓 小冰冰继续口爱             
(NA)	 没张力没演技没剧情没互动。            
(3星)	 学长不是原来那个学长了T T              
(2星)	 白歆惠很正 龙龙很帅。OK~            
(4星)	 一开始觉得很好看，后来有点儿看不下去了。。。一颗星给感同身受的片尾曲^_^            
(2星)	 老太太缠脚。。。            
(2星)	 我觉得我再对着马小茜的脸下去快要连同吴尊一起anti了！真是我见过最圣母的圣母，重点是，个演技可以再白烂点吗？抖~            
(3星)	 看这部剧，完全是冲着蓝正龙去的，虽然之前从未看过他主演的任何剧集，第二主角温升豪也还不错，说真的，两位女主角真的不怎么样，感觉开头几集和最后几集还不错，中间真的是有点看不下去，但是还是耐着性子看完了整部剧，只能说还行。            
(NA)	 角色都是帅哥美女~            
(3星)	 尼玛蓝正龙越老越帅了-3-            
(NA)	 泡沫偶像剧            
(5星)	 很少人知道 但是其实还蛮好看的            
(3星)	 长途跋涉我又看完了一部偶像剧。。            
(4星)	 GOOD!            
(2星)	 傻的可以            
(2星)	 我看这部片只是为了隋唐            
(3星)	 蓝正龙造型不行，隋棠眼睛原来轮廓不很立体。故事，一切在预期之内。            
(3星)	 还可以。。            
(NA)	 10集            
(1星)	 赤裸裸的抄袭德国电影Keinohrhasen的剧情. 连镜头都抄.             
(3星)	 。。。不记得为毛当初看前几集的时候迷到要死，不过还是觉得隋棠很美~            
(3星)	 为了看白歆惠挑了几集看看。一直觉得蓝正龙长的很丑，但是里面居然一点不丑还有点帅，难道是发型的关系。。。。女主角叫什么隋唐，真心不好看，她出现就快进~~~            
(NA)	 怎么也看不下去了            
(NA)	 看个下集预告就够            
(2星)	 想当年漫天的粤语频道里浮出的普通话星空卫视真是用狗血台剧扼杀了我不少时间……            
(3星)	 蓝正龙很帅，女主角不喜欢            
(4星)	 歌不错            
(2星)	 看完醉后再看这部就觉得即使有blue也无法加星。真的是太无聊了,只有最后的那段告白不错            
(5星)	 出乎意料地好看诶！！！蓝正龙此刻和角色融为一体！！！男主男二呛声的时候火花四射！！！童年时的相爱想杀超带感！！！老子华丽丽的少女心就这样被治愈了！！！            
(4星)	 我承认，我看主角的。            
(5星)	 本来觉得蓝正龙一点也不好看 这部是发型乖巧的关系么觉得还挺顺眼的 女1女2都有点不讨人喜欢 女2怎么看都是坏人感。。？            
(3星)	 前半部分比较好笑~后半部分就有点散漫了的剧情~            
(3星)	 前面还不错，后面肿么越来越雷了？！！圣母女猪真心受不鸟啊！！！            
(NA)	 浪子終究是會遇到個人給收服的            
(3星)	 因为蓝正龙看的老瓦..也是前面很好笑 后面就马马虎虎看一看的.!            
(3星)	 蓝正龙的汉子气质瞬间迷倒。顺便冲隋棠去的。            
(3星)	 造型不济，使隋棠和蓝正龙的轮廓都不美            
(NA)	 好喜欢温升豪，拿双鱼男没办法！            
(3星)	 一直不是很能理解，为什么女主那么的纠结，从头到尾都只喜欢夏和杰一个，还从头到尾都那么纠结。。。何必呢- -            
(3星)	 其实无聊的时候看看还算有趣啦，突然发现白歆惠很养眼啊~侧坐的片头很有气势~虽然最后蓝正龙选隋棠比较狗血            
(NA)	 我们没有在一起 至少还像情侣一样             
(4星)	 看到十二集放弃了 不过还是想知道夏和杰的后来 对白不错。            
(3星)	 我想说女主和杨谨华是神马关系。。怎么那么像。。            
(4星)	 看到三点，终于看到大结局。好看不是因为花痴蓝正龙或温升豪，而是目睹正义的化身最终使两个世纪贱人消失            
(4星)	 男女主太慢热了。孟成恩多好的男人不要，非要投向那个花心大少的怀抱。马小茜的脑袋是不是锈了的？            
(3星)	 主题曲不错，做自己最好            
(3星)	 原本喜欢毒舌男PS男，那种抓狂又幼稚的价值观可以贯穿整个戏。但为什么后来变成了痴情男呢。于是到了第10集不得不作个了结！好吧！为了Blue。我不忍心只放两颗星星。毕竟cast是找对了。匆匆补了结局，其实不忍心这样就弃戏。还是放不下。。。BLUE            
(3星)	 小小彬比较可爱。            
(NA)	 当台湾帅哥渐渐残完之后。。还有这么一个啊。蓝正龙完全帅气！！            
(3星)	 剧情到了后面就变得拖沓了，实在没耐心了，拖了一年才看完            
(NA)	 最没办法讨厌的是小陀螺的妈妈            
(5星)	 很好的结局. 我喜欢~ blue.            
(NA)	 蓝先生真心帅！            
(5星)	None
(4星)	 终于看完了。            
(4星)	 那双眼睛啊。            
(3星)	 开头挺吸引，后面比较普通            
(NA)	 太长了，不够精彩，追不动，弃            
(3星)	 桑心的打发时间剧情。            
(4星)	 大赞蓝正龙的演技，片尾曲是奶茶的，特别有味道。其中两大男主角相争的片段通常是最精彩的。推荐前半部分，还有很有玩味的            
(3星)	 星空卫视不啃爹的哟，隋棠脸蛋精致却是平胸呀。哎            
(NA)	 当时是高三后的暑假吧，我和F都在追这个剧。            
(4星)	 隋棠是真的美的            
(4星)	 冲着蓝正龙！！！大帅哥！            
(3星)	 完全是看蓝正龙！！            
(3星)	 蓝正龙的三颗※            
(3星)	   嗯，演員整容不可謂不強大，還有我愛的温升豪，可惜這劇情實在是…………沒有看完，不過還是要說温升豪里面演得不錯，隋棠就差了點，演得好做作啊   還有，我要說一下，那個，女主角這么缺錢，每頓吃泡菜的人為什么還用Iphone和小白啊，真是吐血    忘了說，還有無敵小正太小小彬            
(4星)	 从这部戏开始知道隋棠，并开始疯狂的喜欢她的~~尽管开始我是为了看温昇豪吧，呵呵呵呵            
(4星)	 美丽的隋棠和帅气的蓝正龙 ，美好的剧情。            
(3星)	 隋棠很正啊!!!!!喜欢blue短发!!!!            
(1星)	 傻逼            
(3星)	 我其实挺喜欢隋棠的，但是这里她的气质大打折扣            
(4星)	 好吧我是冲着北极熊去的。。。            
(3星)	 主题曲很好听~~            
(3星)	 一般            
(4星)	 不知道是哪范范儿的让我很喜欢！            
(3星)	 追了一半。。。小蓝还是很帅的嘛。            
(3星)	 没什么出色的。。。白白真漂亮~隋棠身材真好~            
(3星)	 编剧太恶心人，不是因为蓝正龙不会看！            
(4星)	 邪恶的坏坏的 男生。。。。。伪装脆弱的内心            
(3星)	 看了一半就弃了。。。虽然隋棠我难得很喜欢，但是太受不了里面的蓝正龙了。。。剧情也略无新意了。。。            
(3星)	 歌不错，我们没有在一起            
(3星)	 把拖了大半年的剩下三集半看掉了，结局好无趣，不过温昇豪好帅的！            
(4星)	 蓝正龙太帅了            
(4星)	 蓝正龙好帅！            
(NA)	 冲着蓝正龙和隋唐看的，不过也还行            
(4星)	 稍微有点不一样的点，年龄大了，连看偶像剧的时候都觉得男女主应该比自己大些看着心态平衡些……            
(4星)	 爱死棠棠了            
(3星)	 我表示时代真的进步了，2年前的富人还用的是日系（sony sharp），现在都是apple了！            
(2星)	 看了5集，弃剧！~            
(3星)	 隋唐还不错            
(3星)	 小陀螺可爱捏 觉得蓝正龙好适合演坏人 绝情 不喜欢隋棠平凡的样子 她就应该绽放嘛            
(NA)	 疯子！疯子！！疯子！！！把我搞得也疯了~            
(5星)	 温升豪！            
(3星)	 我就是爱蓝正龙啊！            
(2星)	 演得不错，但是太过偶像剧套路。在电视剧堆里显得多余。@Home 快进with阿呆            
(3星)	 台剧一贯作风拖沓...            
(2星)	 其实隋棠不错的            
(3星)	 蓝正龙变帅了……            
(3星)	 2010-08-02             
(2星)	 为了小楠姐的剧评和她的最爱才看的，但是抱歉，真的坚持不到结局啊            
(3星)	 很欢馨~对蓝正龙改观了！            
(4星)	 很不错哦~~ 会跟着它的情节有哭有笑的，而且还让我发现了幼教事业的伟大，以及在真爱面前人人平等的哲理~~            
(2星)	 这些个矫情偶像剧，还有去你大爷的马小茜            
(2星)	 隋唐很不适合这个风格。            
(4星)	 4个帅锅美女，陪伴了两个月的月初加班时间，开头是吸引的，结局是比较烂俗，不影响提升加班时期的好心情，ＢＬＵＥ很帅很帅            
(NA)	 隋棠真漂亮            
(3星)	 蓝正龙扮演的作家有许多经典台词            
(5星)	 男主角都很帅……女主角也不错            
(NA)	 不期待台剧了。。。            
(NA)	 blue~小小彬~            
(1星)	 拖沓的要死，是个人都会选孟承恩 唧唧歪歪一堆。.            
(4星)	 痞子小藍~你還是這麼迷人吶            
(3星)	 看看帅哥美女吧            
(3星)	 看偶像剧还扯演技 就是扯淡            
(3星)	 开始有点无聊，感觉蓝同学贱嘴的很可爱，哈，小小彬的脸真肉T T想捏            
(4星)	 不过真的很拖拉            
(2星)	 除了前几集男猪脚的台词有些些看点以外剩下的都垃圾啊啊啊啊啊啊，追到最后一集觉得浪费了我半年时间！！！            
(3星)	 没有能坚持看完            
(NA)	 我想要個孟成恩~~~            
(4星)	 小小彬的米修米修毒的延续。蓝正龙还是很不错的。WO LI 可爱的小小彬啊。            
(3星)	 只为奶茶的片尾曲            
(3星)	 台剧的价值观是，善良至上。这是一个多么大的象牙塔。            
(3星)	 看着玩还可以。。            
(2星)	 我只看了第一集和最后一集~~~            
(3星)	 我比较喜欢男二号，剧情非常拖沓。            
(4星)	 第一次觉得蓝正龙帅~            
(2星)	 不喜欢隋棠在这个剧里的演技            
(NA)	 金马之夜，从阮经天——陈乔恩——蓝正龙。            
(3星)	 名字真的很雷，，奔着蓝正龙去的，，，            
(NA)	 温升豪            
(2星)	 很老套，不是一般的慢进度            
(3星)	 人站的高度不一样，看东西的角度也不一样。            
(NA)	 超喜欢看部戏的那种感觉···里面有很多爱情经典            
(2星)	 无内涵 白歆惠好美好气质　            
(4星)	 兰兰吕吕都很美~~            
(4星)	 挺搞笑的，隋唐的样子我喜欢……blue还是一如既往的像狐狸            
(3星)	 哈哈~~又是小小彬~            
(3星)	 我喜欢那个男配。。。            
(4星)	 除了隋棠和小小彬其他人都喜欢            
(NA)	 寻找自我 是要另一个人的出现吗            
(3星)	 我很喜欢马小茜的性格，我觉得这部台湾偶像剧比之前的进步了！！继续褒..                             [[[[[[[[[后面无味了...偶像剧还是偶像剧啊！            
(4星)	 人长得漂亮就是无敌啊.有我喜欢的鸟窝头男一,男二是台湾版陈豪,说起话来特别像.最重要是,片尾曲拍的漂亮,一看就喜欢上隋棠姐姐啦.原名是隋唐,她爸妈真牛            
(3星)	 还行,有些对爱情经典的看法,值得细细回味            
(5星)	 当初是因为蓝正龙才追的这部剧 小蓝同学演的很棒白歆惠真的很漂亮女主个人不喜欢            
(3星)	 三颗星全是给blue的- -不过发型有点OOXX            
(3星)	 弃之。对于女主角老是把自己弄得很纯情很有爱心的样子实在无语。            
(4星)	 蓝正龙啊~~~`            
(5星)	 因为ps男，然后最近又迷上蓝正龙。哈哈。            
(4星)	 俗烂的剧情，但我竟然看完了，最初是为了看隋棠，最后是为了看马小茜，理智啊。。。理智            
(4星)	 主要太爱隋棠了。            
(3星)	 其实我觉得这部片子的企划做得不错，看的时候也有很多感动我的地方，可能就是编剧的部分还差了点吧，至少男二的部分弱了点。本来是冲着温升豪看这部片的，但是他把这个人物诠释得不咋地，让我失望。            
(4星)	 说是偶像剧，是吧。说是没什么演技，是吧。说感情表达不深，是吧。说的点作做，是吧。但就觉得剧名的点为大众口味设计。感情线写的很细腻。起码我有追完了。我喜欢的。            
(4星)	 隋棠隋棠~~            
(4星)	 拍的很精致            
(4星)	 我好厉害,放个中秋看掉了21集的肥皂剧. 我全神贯注地忘记手机忘记QQ地倾情肥皂剧,.....            
(3星)	 還不錯。            
(2星)	 木有办法接受隋棠的傻大姐的形象，呃。。。            
(2星)	 12集直接跳到21集~实在没有耐心看下去了~            
(NA)	 01.白歆惠。            
(3星)	 前头还追了好几集，后面快进完了。            
(2星)	 因为败犬和下一站的关系，刚表扬这两年三立的戏有进步，就给我出个这么拖的戏，真是不懂在拖神马，边写作业边看都嫌拖。片头做的是真正漂亮啦，蓝正龙装嘴贱痞子倒是挺有模样，隋棠的演技怎么退化这么多，痞子英雄里不是还不错嘛。白歆惠一如既往的大只。温升豪怎么口条问题越来越明显，气场削弱很多~            
(4星)	 不错喔            
(3星)	 因为温升豪来看的，但是，哎，还是托吧。。。剧情没啥，女主和女二也不咋地。。。实在看不下去。。。            
(3星)	 还是看偶像剧心情会好 只是每到结尾都觉得很失望 无论是小说还是偶像剧 总是仓促的无话可说            
(4星)	 喜歡主題曲我是誰我是誰我是誰            
(5星)	 这部剧是让我对台湾偶像剧有大改观的良作。自大学伊始，印象中的台湾剧男的就如同女人一样阴柔，反而女的倒是大大咧咧神经大条，这种组合让人感觉不舒服。传统的观念和世俗的看法可能对我还是有很深的影响。同时，以往的台湾剧制作也不精良，人物的相貌也很差强人意，而且非常让人受不了的是台湾国语。            
(3星)	 开头还是不错的 越看越无聊             
(3星)	 N角恋的故事，累死，看了一半转台了            
(3星)	 蓝正龙变帅了，神奇            
(NA)	 4            
(2星)	 台视、三立周日新偶像剧《偷心大圣P.S.男》卡司出炉，三立执行副总苏丽媚５日松口证实，凯渥双姝隋棠、白歆惠将搭蓝正龙、温升豪，两对「都是」男女主角；其实故事走向主要绕著蓝正龙饰演的P.S.男及隋棠的「马小茜」身上，明显可见角色孰重孰轻。            
(3星)	 各种有点儿假假的感觉。但是蓝正龙的演技真的不错！            
(3星)	 剧情越看越不灵。。            
