http://movie.douban.com/subject/4016485/	杜拉拉升职记
(4星)	 我记住的是林宥嘉的这首《说谎》歌曲链接http://www.91kge.com/song/detail.do?sid=710是有过几个不错对象说起来并不寂寞孤单可能我浪荡 让人家不安才会 结果都阵亡王络丹已经瘦到让我忽略了其他，只看到细腿细胳膊的，画面上是在没有什美感            
(4星)	 李光洁够man。王罗丹够傻气。总之还OK。主题曲更好听            
(5星)	 完全跟着又哭又笑 说不清楚怎么了            
(5星)	 看这部剧总能在其中找到一些自己相似的经历，在自己最适合的年龄看了一部合适的电视剧。喜欢王珞丹与李光洁塑造的“杜拉拉”和“王伟”~~~            
(5星)	 这是一个平凡的人的成功路            
(4星)	 有很多的职场生存守则            
(4星)	 王伟这男人性格挺喜欢的 杜拉拉的成长也是在剧情中一步一步发展 只是很讨厌找个坏女人耍心机陷害主角的桥段 结局挺圆满 另外看到两张当年星梦缘里的熟面孔OTL            
(5星)	 很多人会说这个版本的杜拉拉有点土  的确 她没有徐静蕾版那么光鲜、靓丽，穿着高档的时装  但是  这个才是真正贴近生活的杜拉拉 而且王珞丹把杜拉拉的变化演得很好 而李光洁版的王伟也更符合这个角色的定位            
(4星)	 前两集很恶的 但是我很喜欢后面的剧情安排 在自己身上找到了曾经不理解的影子 最后一切都是自然的 没有刻意            
(3星)	 总有一种高中生谈恋爱的感觉，不过也慢慢的喜欢李光洁这类糙北京老爷们儿了。            
(2星)	 无限ANTI王珞丹            
(3星)	 越往后越恶心...杜拉拉有这么2B吗            
(NA)	 我妈天天看我每天早上在客厅都是伴着他们的声音睡醒的。。。呕            
(2星)	 一个人的荒岛 好蛋疼            
(1星)	 TV版＜杜拉拉升职记＞昨日登陆京沪卫视。你被吸引是因为王珞丹版杜拉拉被甩时的配乐—林宥嘉的＜说谎＞。其实，当你的闺蜜跟你的男友好了，你能怎样呢？是豁达地手拉手大家坐下玩斗地主呢？是一把鼻涕一把泪地痛说革命革命家史？还是毫不留情地如站街泼妇大骂奸夫淫妇？            
(1星)	 无语了，怎么有人看的进去。。。。            
(3星)	 王珞丹的气质还是比较像的            
(4星)	 国产剧中看的很舒服的！            
(NA)	 没电影好看            
(3星)	 什么剧本拍成电视剧就显得冗长了。。。            
(2星)	 神马玩意儿！！            
(2星)	 好吧。我个人不喜欢把职场勾心斗角作为理所当然的题材。看在有王珞丹，给两星吧。。。            
(3星)	 莫名的喜欢俩主角~            
(3星)	 在电视剧的面前，徐老师的那部电影就是尘埃！             
(2星)	 我不喜欢这个女人啊            
(3星)	 王珞丹根本就不是白领的感觉嘛。每次看她一撒娇就立刻反应“米莱！”而且男主也忒老忒沧桑了……诱拐吗⊙﹏⊙b汗            
(4星)	 不因杜拉拉觉得这片好 只因米莱才觉得这片好            
(NA)	 剧情不错。李光洁演的很好。王珞丹演的也不错。            
(4星)	 看来导演领会到了原著的意思了，加上精良的制作，演员的出色发挥，这差不多拍出了我心中的杜拉拉升职记，称得上是优秀了，灰常喜欢            
(5星)	 超感人，看得我泪水奔腾            
(5星)	 很久没看电视剧了。这部剧着实是不错的说。拉拉。。。。            
(4星)	 不错的片子·~~比电影好太多了~~            
(4星)	 李光洁版的王伟演得很靓，比黄立行强百倍。王珞丹演技成熟多了，演绎后期的杜拉拉，分寸把握得很好。（相比之下，徐静蕾版太恶俗了，激情戏和着装都令人倒胃口。）不给五颗星，是因为配角扣分。不喜欢李彩桦－－俗。不喜欢杜拉拉的妈－－小市民。            
(4星)	 好喜欢王伟，好讨厌杜拉拉，等讨厌王珞丹！!但剧情确实还可以！！            
(NA)	 李光洁.....对他没好感             
(4星)	 简单 奋进！            
(NA)	 北京台删了好多的样子，如今看的第十五集在北京台的时候已经地球一小时了。第一导视第一导视。            
(NA)	 改得面目全非！            
(5星)	 “不怕被利用，只怕没人用” &amp; responsibility            
(5星)	 我觉得比电影版强~            
(5星)	 看着由钱小样版的王拉拉慢慢变成真正的杜拉拉，职场如战场，恩，提前领悟了。。。不过杜拉拉能遇到那么多能帮助她的人，不管是上司还是下属，还有那么爱她的王伟，真幸运。李光洁演得不错，挺喜欢的，既贫又不失精练，尤其磁性的声音，不错，哈哈！！！            
(4星)	 周口店人，啊哈哈哈哈。拉拉和王伟都跟原型非常不像，原型拉拉EQ很高，电视剧版正好相反。/哪有那么完美的人，还影响了周围不老少人？后半段抒情滑边了            
(4星)	 用时三天 看完了这部剧 比电影拍的好看多的 “杜超人” 的确很励志            
(4星)	 居然比我想象的好，还挺不错的。            
(4星)	 受益匪浅            
(4星)	 因为是王珞丹我才看。看好觉得跟原著基本符合，比徐静蕾的不知道好多少。其次，王伟扮演者李光洁不错，很成熟！            
(5星)	 符合原著，比电影强的不是一点半点儿...王珞丹 稍显稚嫩，不过总体来看还不错啦~            
(5星)	 王珞丹演演电视剧都励志的！这部对于初步职场的学生是不很好的教育片让我看到外企的工作环境要诚实，踏实的对待工作没往上升职都有可能要踩在别人的肩膀上每个女人的选择不一样成功的事业女人，或者是居家小女人像拉拉这种爱情 事业双丰收的人也很少的喜欢像王伟这种很男人的男人            
(4星)	 唔捂，看的时候又没歇气            
(4星)	 感情戏总是电视剧的亮点            
(NA)	     刚看完这部职场电视剧,对比电影版电视剧更接近原著,主演王珞丹,李光洁都非常不错,将这部戏演的十分真实,本人看了也非常有启发,对于即将要走入职场的我和我的同龄人来说都是很有教育意义的.也许我们的职场生活没有杜拉拉那样的顺风顺水,但是我们要学习那种坚定的信念和敬业爱岗的精神.            
(4星)	 觉得比电影版的好多了            
(4星)	 这种默然的成长，才是打动我的那杯茶。             
(3星)	 感觉。。不时尚。。穿的好厚 = = 没有电影的时尚吧。            
(5星)	 终于等到卫视播拉拉了，可惜被剪得一塌糊涂。幸好我早就看了完整版，跟朋友再看一遍，对细节津津乐道。李王伟就是演得好！            
(4星)	 不要惹女人，上海女人很可怕。            
(4星)	 和电影比起要好的多啊            
(5星)	 李光洁版的王伟真的很不错，感觉更真实，喜欢！！！            
(5星)	 一个多月前就已经看完了，很喜欢王珞丹，她演的角色总是那么可爱，现实生活中的她应该也是那样性格的女孩吧！就是觉得拉拉和王伟之间太坎坷了，看得人心疼，还好最后还是在一起了。            
(4星)	 电视剧版的杜拉拉果然没有让我失望,看了三天啃完了32集..剧情比较贴合原著..王珞丹让我看到了从米莱到杜拉拉的蜕变.李光洁的王伟太帅了,很符合书上写的感觉..里面喜欢的角色还蛮多的,陈彦妃的Helen.叶童的Vivian.可惜我的33的Rose由于这个角色的设定,不咋的讨喜,            
(5星)	 徐静蕾算什么东西 好好看看检讨一下请您咯！            
(5星)	 王伟好帅，杜拉拉也很自然，感情戏好甜蜜。            
(5星)	 比电影真实，比原著方便！植入广告就不说了……            
(5星)	 塑造的很成功的电视剧，从里面可以学到好多，领悟好多，职场生涯很真实的写照。很值得去看一看！            
(5星)	 果然电视剧比电影好看，更贴近生活，更为细节，也更为曲折。不错！            
(NA)	 挺喜欢王珞丹的，演的也不错，职场很残酷，看杜拉拉一路走来，确实有很多感觉。编剧显然只是借用了书的套，把情感的戏份加大，职场反而减少了很多。            
(5星)	 刚刚看完 很不错            
(4星)	 比电影好一百倍!!! 除男女主角外其他演员都比一般台湾偶像剧的演员实力要强，情节部分比台湾偶像剧也处理的细致很多。这是我第一次看完的大陆连续剧，印象很好～另外，李光洁很像年轻没那么沧桑版张涵予，有没有？            
(3星)	 故事较差，女主演技稍逊。            
(5星)	   太好看了，看完后真的理解了男人四十一枝花，哈哈。            
(5星)	 今年看到的精品剧。没看过原著，但是电视剧版的剧情和人物表演都很丰满出彩，植入的广告也算是成功可以接受。王珞丹把一个职场女性从菜鸟到成功，其间面临的各种压力挑战斗争和选择的心路历程诠释的很到位，李光洁和配角们也很赞，只是黛西太港剧了点。现实的职场生存斗争和选择，会让人思考很多东西。            
(4星)	 台湾导演陈铭章导的还不错，王珞丹和李光洁演得也挺好，推荐都市白领们看看，餐后甜点。别太扣细节还是一部不错的电视剧。            
(3星)	 我是一直喜欢李光洁的啦，和某人很像~            
(3星)	 本该拍得比电影版更好的，却还是糊掉了；总归后半部的气场明显很虚弱，而前半部中林宥嘉的《说谎》总是出现得太不合时宜。PS：所幸的是，王珞丹的演技不负众望。            
(3星)	 开始觉得李光洁还挺萌的，到最后坚持不下去了~            
(NA)	 喜欢男主角            
(NA)	 改编的不错            
(3星)	 唉。。还是原著最好了            
(4星)	 一晚上没睡,看了十五集....            
(4星)	 李光洁演的好棒            
(4星)	 王伟蛮帅~当然李鸿明更帅...可惜角色不讨好。王珞丹这衣服能不能多换俩套啊，DB又没穷着你...结局太土了，非要如此和谐坏人认罪好人升天帅哥连人带车当礼物出现在圣诞夜么？斗Rose及葱白Vivian那些日子拍得最赞。            
(4星)	 王珞丹真的很不错了 她就是我眼里的杜拉拉            
(4星)	 跟电视版相比，徐静蕾的就是坨shi...            
(3星)	 木头穿上再华丽，再多种多样的外衣，还是木头！活不起来，真不明白王洛丹这块木头好久才变成木头精....一颗星确实过分了。。毕竟还有陈慧珊~~            
(3星)	 广告植入是难免的，植入的成功是可喜的。 追看到了28集。 从职场到爱情，杜拉拉勇敢的走过来了。 29岁生日时的一席话，暴露了她的软弱不安和不甘。后来她的偶像Vivian告诉她，“事业永远比爱情来的公平。”成功的女人和走在成功路上的女人。            
(3星)	 那个小丸子的车钥匙不错            
(3星)	 放弃了            
(4星)	 失恋的寒假，妈妈推荐我看的。            
(4星)	 比电影好看。            
(NA)	 ING。熬过去就是胜利。            
(1星)	 您上過台詞課麼？            
(3星)	 本剧唯一的亮点也就是王珞丹，可惜眼镜妹造型实在狗血，直接把仅有的出彩点也给毁掉了            
(3星)	 没劲 烦这个大脑门            
(3星)	 电视上陆陆续续看了几集，感觉还可以，挺符合原著的～            
(3星)	 感觉比电影版演员更靠谱，看着熟悉的环境也更亲切            
(4星)	 李光洁太帅了~            
(3星)	 我实在无法喜欢王珞丹            
(4星)	 给李光洁的            
(3星)	 邊打寶石邊看邊玩手機邊看邊打電話邊看還是看吐了！！三十集啊 = =++            
(NA)	 撒子东东哦。。。都是些            
(4星)	 我觉得这小说最好的改编版本。            
(4星)	 比较忠于原著            
(NA)	 为什么杜拉拉每次越级上告都能成功            
(NA)	 尽管剧情各种狗血。但我还是为了王伟看完了。            
(NA)	 喜欢里面那个一点也不算帅的男主角，反正觉得他挺男人的            
(1星)	 太可怕了            
(3星)	 我喜欢那个插曲~~~            
(3星)	 中秋节看王珞丹！据说王珞丹要演山楂树了，希望这次剧本好一点。            
(3星)	 这情节慢悠的！            
(3星)	 那老外总经理太装逼了 能只说一种语言不            
(3星)	 比电影版好看            
(4星)	 终于有人关心白领的生存状态，不仅是恋爱、生活、买房、婚姻，也包括工作。作为第一部反映此题材的电视剧，它已经足够好，可以看看别的故事，找找自己的影子。            
(3星)	 瞧这大傻妞。。。王珞丹比徐静蕾嫩倒是无可否认的，小脸是多么水灵啊            
(NA)	 这个拉拉，只晓得哭闹和蛮横。不晓得什么叫内在的睿智。            
(3星)	 王珞丹哭起来好可爱啊哈哈哈哈            
(4星)	 结局狗血了点            
(3星)	 我说，后期剪辑能不能较较色。好好一时尚片。闹得和家庭伦理剧似的。所有狗血剧情全在一块            
(4星)	 最近看电视剧看的很开心= =。王珞丹很好～            
(NA)	 一个女工作狂的故事            
(3星)	 唯一的评价就是：比电影好看那么一点儿~            
(3星)	 冲王珞丹去看的 不过..还是看书比较好吧？P.S.：插曲什么的还是很好听的..            
(2星)	 和书没的比。烂。看到王络丹这张脸开始心生厌倦。演戏都是一个路子的。            
(3星)	 王珞丹把杜拉拉的情商演得好低，果然演员的性格对人物影响好大            
(2星)	 突然覺得起始電影還不錯……真的|||||比較什麽的才是最可怕的。            
(1星)	 难看得一逼。半颗星。            
(1星)	 其实我是想打负分的            
(1星)	 烂就一个字            
(2星)	 那个李光洁土死了 穿个高领毛衣            
(5星)	 做行政不容易啊。。。            
(1星)	 书&gt;电影&gt;电视剧            
(4星)	 还是喜欢北京爷们儿啊。。            
(NA)	 我喜欢里面的冬装。            
(4星)	 哪有这么命好的女人。            
(4星)	 她长大了,她升职了,她得到美满的爱情了~就当是个童话看,又如何.            
(4星)	 Daisy丧心病狂让我很不能忍，lala上进的那段还是挺好的            
(4星)	 看过杜拉拉的小说。电影。电视剧。觉得这应该是最贴近原著的。这并不是说改编非要和原著一模一样，只是电影完全改编了原著的描写重心。但电视剧版虽然没有改变重心但是不得不说里边的爱情实在是太理想化了。当然我认为这是从原著开始就有的弊病，当然也是吸引观众的一道菜。毕竟人总是要有点念想的。            
(4星)	 败笔: 王家小妹的发型及形象亮点: 男女主角逗贫的片段            
(3星)	 大鼻孔一抽一抽的、、、、各种降格处理陪上唰~~唰~~唰唰唰~~~的音效。。。。。。            
(4星)	 不错。比电影版好多了。            
(2星)	 王珞丹小朋友，你是面瘫吧。三部电视剧没见过你有别的表情……            
(2星)	 好一个乳臭未干的杜拉拉。            
(3星)	 李光洁你会红            
(5星)	 虽然没有原著描写那么多拉拉的职场经验，而过多的描写了感情，但是这个还是值得一看的。有用的！            
(2星)	 就看过几集 现在的电视剧就没几个靠谱的 所以我的口味越来越趋近中老年            
(NA)	 其实没看完 非常极度特别扯 男女主角演技差 剧本改编还不如徐静蕾呢 杜拉拉那智商哪像是工作过2、3年的样子 我就奇怪了 王珞丹怎么演什么都是一个德行 不想再言语了            
(3星)	 王伟表现还不错，杜拉拉就实在没有原著的机灵劲儿，编剧还是比较遵循原著的，几处改动也能接受。叶童很赞。            
(2星)	 我只喜欢米莱            
(NA)	 誰管的服裝？這又不是《我的青春誰做主》~~~我普通話不好，邊上樓梯邊說，變成《肚拉拉生殖器》            
(3星)	 我真是觉得看王珞丹在那里叽叽喳喳就很头疼。。没一点气质。蹦跶个啥劲？看着就烦。。。            
(4星)	 我在里面看到了我的那个麦当劳小丸子玩具~~ 还是囧脸那一面的~            
(2星)	 衣服也丑，为什么所有衣服都要加个腰带啊~编剧也不用功，王珞丹的演技真恶心我            
(4星)	 呵呵，还是挺喜欢王珞丹的~            
(3星)	 前半的王伟着实挺帅的嘿，后半就各种二逼了            
(3星)	 1.这好歹不是一部粗制滥造的超长广告片 2.李光洁，这货不错 3.那首插曲“崩溃成一座孤岛”那个，挺好   BUT 1.王珞丹真的不是实力派，她只会演米莱 2.来回放[说谎]是怎么回事！是有多不搭啊！！            
(3星)	 看了四集不想再浪费时间。。。拉拉这个傻妞再见吧我还是去看我的美攻比较对得起自己的心情和一分一秒的光阴（坏人脸            
(NA)	 王珞丹好像年轻一点的徐静蕾，这孩子，红的刚刚好。            
(2星)	 我忽然觉得徐静蕾挺好的            
(3星)	 这部剧的精华在于因为杜拉拉的到来直接或间接逼走了所有的人？            
(4星)	 拉拉是个好员工，王伟是个好男人            
(3星)	 很土很山寨            
(NA)	 其实挺扯的。            
(3星)	 全剧下载，一集未看。我这是何苦。            
(3星)	 我娘可爱看了，首播看完看重播。            
(3星)	 真他妈是电视剧，净扯淡            
(3星)	 挑着李光洁的看两眼            
(4星)	 比电影版好 可还是不现实 开头杜拉拉太傻了 和王伟的感情比书里写的更感人             
(3星)	 樱桃小丸子~让我想起某人。            
(3星)	 演helen的那个妹子很美。王珞丹的演技啊，真是。。。            
(NA)	 电影剧情够垃圾起码服装给力，电视剧不知所云，王骆丹演得哪像个职场OL女强人…分明是个校园纯真小清新…            
(4星)	 我喜欢李光洁            
(3星)	 总算给啃完了            
(NA)	 王伟太磨叽 看着干着急            
(NA)	 陪妈妈看的。            
(3星)	 不好看            
(NA)	 我只是想看恋爱线啦～            
(4星)	 就这样吧            
(3星)	 比电影好看，感情戏份太多，没有书吸引人            
(1星)	 编剧你脑袋被P崩了吗？1星给叶童            
(1星)	 乡村版            
(4星)	 挺逗的，看看很轻松            
(4星)	 比电影好看~我爱李光洁            
(3星)	 看到后面看不下去了。。。咋个看连续剧都是这个毛病喃。。            
(2星)	 DB公司布局太局促，一点都不像大公司。杜拉拉后期时尚装扮不时尚，导演真是笨，《奋斗》里的米莱就很时尚了，照抄都不会。还有王珞丹装傻过了，导演应该提醒让她收收，这不是杜拉拉，而是剪了头发的钱小样。            
(4星)	 魔羯好样的！！比电影版好看多了！！            
(4星)	 好喜欢最后在静冈那一段。            
(3星)	 小说是一说明书，电视剧就一童话。把王伟捧得那么完美，干嘛对一不可能正常存活的傻姑娘那么有爱啊～脑袋被门夹了            
(2星)	 王珞丹演的太过 不喜欢            
(3星)	 前半不错  后半有点拖  结局比较烂            
(2星)	
(3星)	 感觉时常气氛会忽然冷下来........还有王珞丹大姐你可以去增个CUP了穿晚礼服跟偷来一样一样的,            
(4星)	 有没有可能拍一部 男性版杜拉拉升职记？此版，不适用男性使用。            
(3星)	 完全为了看李光洁            
(4星)	 除小广告太多及音乐有些粗糙外 还是可以看看的            
(3星)	 硬件上很土，李光洁很北京            
(2星)	 什么啊~~~现在耳边吵着这部电视剧，真没意思！杜拉拉到底是HR还是PR啊~~~~造型好土、画面好差一看就不是高清拍的，王珞丹接这戏真失败！            
(4星)	 男主角靠谱~北京爷儿们            
(4星)	 冲着王珞丹来的，一开始不喜欢王伟，但是越看越喜欢王伟了，~\(≧▽≦)/~            
(3星)	 不要太言情噢，王伟太帅啦！= =天骄也不错，虽然名字有点OX。各种老外不要太可爱。            
(3星)	 看多了也一般。            
(1星)	 很失望~这种办公室生态应该让香港导演来拿捏~怎么弄了一个陈明章呢？            
(4星)	 王珞丹比徐静蕾招人喜欢多了……            
(2星)	 还是和书不能比, 倒是比电影强多了另, 前台不是个美女么... 美在哪里            
(5星)	 情节紧凑毫不拖沓，重要的是绝对的励志好剧！            
(4星)	 lala lala lalala~            
(2星)	 amazing~我居然看完了..            
(5星)	 虽然菜鸟一点，但是我觉得我真不喜欢徐静蕾。            
(3星)	 比徐某人的好            
(2星)	 对待这样的电视剧，认真你就输了……            
(4星)	 不错的消遣            
(3星)	 比电影版还是好很多的，不过某同学演技貌似有点呆= = 另外惊现两大本土呕像神剧女猪！            
(2星)	 老气，矫情。            
(3星)	 真的比电影版好太多了···其中拉拉前男友和妻子有矛盾的一次晚饭俩人一起吃饭的场景用俩人的映照在墙上的背影来表现他们的尴尬着实很有电影的感觉，很让我惊喜，我喜欢电视剧版里王伟那样的男人，这部戏，继续看着，观望中吧            
(4星)	 北京爷们不错            
(4星)	 比电影版强多了,王伟就该这个样子嘛,黄立行那是什么玩意儿?哥们你上过班么?            
(NA)	 两集弃。都怪豆瓣没有“看不下去”的分类。别把杜拉拉拍成另一部“丑女无敌”~            
(1星)	 哎，毁了~            
