http://movie.douban.com/subject/1476422/	新成长的烦恼 第一季 Lizzie McGuire
(4星)	没时间就看看第17集就OK了 
(NA)	垃圾,无聊片!
(5星)	我喜欢 热热闹闹
(5星)	就是很好看!!!
(NA)	很甜美~~
(4星)	一个开始
(5星)	谁和我一样喜欢jake thomas????
(5星)	这是我看的第一部美剧 不过是在CCTV看的 中文配音也OK 很轻松的休闲剧
(NA)	忘了很多
(NA)	Hilary Duff。我很喜欢。
(NA)	感谢八套，达芙的肩膀太宽了
(5星)	电视里播了2遍我就看了2遍= =|
(3星)	轻松喜剧片
(4星)	希拉里·达芙有点婴儿肥，很可爱情节让人很放松
(3星)	如果有一天我也能拥有那样的自信，在舞台上，在许多人的面前快乐的唱歌。
(NA)	废…………　难看
(NA)	不同文化背景下成长的孩子在某种意义上也存在着相同点
(5星)	Lizzie McGuire 喜欢~!!
(4星)	没看过经典版的成长烦恼……
(3星)	Just great!
(5星)	喜欢这个风格， 很诙谐
(NA)	暑假CCAV8吧 只记得这么多 小的时候算喜欢看的  
(5星)	现在看不知道有没有那么喜欢，不过中学时期绝对是最爱！
(NA)	劳资居然看过这个
(3星)	2001
(4星)	弟弟很可爱
(3星)	好吧 这就是某个暑假的一个个下午吧
(4星)	某个暑假追着看的  当时很迷
(5星)	我的童年再啦啦啦，需要回顾的。
(4星)	小時候好喜歡看.
(5星)	小时候放暑假就看啊啊啊啊！！！觉得特别好啊啊啊啊！！！！里面的弟弟好像特别搞笑啊啊啊啊啊啊啊啊！！！！！！！！！！！
(5星)	暑假天天等着看- -、
(NA)	我学习英语的路上又倒下一部美剧，我现在口音很美国化了。
(5星)	很欢乐很有爱，我原是喜欢这样的片子
(5星)	看过三遍的最爱啊
(4星)	现在的duff，由女孩变女人，脂肪是减下去了，可是我对她的喜欢好像也随着她的脂肪一起走了
(4星)	我想你们我的朋友！
(4星)	不错 就是太老了
(3星)	高中记忆，还是挺甜美的。
(5星)	我给我的彼时时光五星。
(4星)	第一季重新追完 S2ING
(5星)	我也要个戈多~
(4星)	剧情太假···
(4星)	戈多！！！！！
(3星)	初中的时候最喜欢看了
(3星)	娱乐片
(5星)	当时我就花痴了
(5星)	看过这部片以后。我就被Hilary萌到了。。
(5星)	小时候最爱的电视剧了~~~~
(5星)	高一的假期天天等着看这个，真是个美好的回忆。
(NA)	我喜欢HILARY！
(4星)	在上初中之前一个寒假一个暑假地看了两遍。戈多眼睛很好看。
(4星)	不过几年，一切改变。
(2星)	上初中时看的。那时觉得很搞笑
(4星)	我喜欢弟弟~~~
(4星)	轻松 肥皂 高校~
(5星)	再看一遍。
(NA)	还是喜欢旧版的~
(NA)	里面他弟弟超可爱
(4星)	喜欢lizzie，长得好看, 又很可爱。
(4星)	心情简单的时候，这还是本挺不错的剧集。
(4星)	剧情不错
(NA)	某个暑假的8套播放过，那时的HD还是个小女孩，现在有点太太婴儿肥了吧，体重严重不符合一个偶像明星的标准了。
(3星)	希拉里达芙那个时候好壮哦
(NA)	希拉里-达芙还是个小美女的时候
(3星)	Just so so 。把原版改的一塌糊涂。
(4星)	cctv8的常客
(4星)	我家希拉蕊！美妞！~
(4星)	有年暑假突然看到中央台在放，很好看，其实和《成长的烦恼》是两种类型
(4星)	可爱动人
(4星)	下了无字幕版的纯粹用来练听力，特好~
(5星)	初识 HilaryDuff 
(5星)	最放松新年剧集
(4星)	第一部青春剧？好像是。
(4星)	说实话 曾经看的时候真的觉得很好看
(3星)	HilaryDuff又一部的青春剧。视觉疲劳了。
(4星)	喜欢她调皮的弟弟 呵呵
(3星)	陪伴我 高中宅在家的几多假期
(3星)	加了动画，很好
(3星)	弟弟很搞。
(3星)	当初电视台在放这个，然后就挺喜欢达芙的。然后一股脑的看了她很多青春电影，那个时候多纯呀。整天看2B青春校园片，YY着帅气的男主角。。。。
(NA)	lizzie mcguire
(3星)	DUFF很可爱！她那个弟弟也很可爱！~
(5星)	出国前的那一年夏天。
(4星)	Hilary Duff表演很不错。喜欢的片子
(4星)	Hilary Duff竟然蜕变成了现在美丽的样子，啧啧~~~~~很轻松的剧情，弟弟和好朋友超有爱
(5星)	很好看的青少年校园电视剧。
(4星)	现在才觉得aaron配不上hilary
(NA)	美国家庭文化，超搞笑，被称为新成长的烦恼...
(4星)	爱那时的hilary duff,更加爱你弟弟!
(4星)	LIZZIE太胖了
(4星)	挺可爱的
(5星)	励志
(5星)	KIKA
(5星)	等待戈多~~
(5星)	初中一直在看明珠台播的.没有字幕.
(NA)	是中央台的午间剧场。
(4星)	喜欢戈多...
(3星)	C8放得吧 好像是 还是喜欢老的
(NA)	貌似是中央八
(4星)	这是电影吧？ 歌挺好听的~ 咔咔~
(4星)	她家的弟弟很可爱~
(4星)	cool
(4星)	偶很想再看遍。。泪奔
(3星)	当时第一反应就是希拉里达夫长的磕碜。
(NA)	没有旧版成长烦恼好看。但是孩子们的天真和成长趣事总是吸引的。正如《家有儿女》，虽然不是特别优，但还是喜欢。
(NA)	看得我累死。。。
(4星)	大小朋友了感慨啊
(5星)	自此喜欢上这个小女孩，马特我也很喜欢
(NA)	喜欢戈多 喜欢利齐 喜欢米兰达不知道有没有机会再看到他们 真的希望！
(NA)	烦恼的成长
(3星)	哦也，青春那个飞扬
(5星)	我喜欢戈多~~
(4星)	美剧启蒙。
(3星)	当时迷恋的 一下午三集的连播~~看上了里面的litte boy~其实我是很不喜欢Duff的
(5星)	印象最深的是马特这个觉得，长得好可爱，而且鬼灵精怪的，可能因为自己有个弟弟吧，有些感觉特真切。
(5星)	戈多~
(NA)	哈哈哈
(5星)	我很喜欢的片子。。每集都有看。。
(5星)	那个时候的hilary是非常可爱的.美国小孩的生活挺丰富多采
(4星)	wow在电影频道看的。
(5星)	超喜欢 剧情很棒 也很喜欢这几个可爱的小孩子 青春的感觉真浓郁~
(5星)	forever Lizzie
(5星)	初中时的最爱
(4星)	很真实的，让人向往的~
(NA)	超爱达芙
(NA)	我记得戈多是很帅的……初一时候看的
(NA)	消磨时间很不错
(4星)	迈入青春的门槛~
(5星)	好看
(NA)	喜欢
(4星)	跟老版的相比~看得出时代的变迁
(4星)	CCTV8
(3星)	看过看过
(5星)	成长的点点滴滴
(5星)	强烈要求央视重播！！！
(NA)	记得是寒假的时候每天下午三集,看完了以后关掉电视机等妈妈下班假装么看过电视的样子再把电视机开开..
(5星)	喜欢！
(4星)	马特我爱你
(5星)	因为这部电视剧，我认识了hil，很搞笑，我梦中的童年
(4星)	还不错 还结合了真人和动画技术 最后利齐好像也喜欢戈多了 哈哈
(NA)	喜欢~`
(4星)	高二那年暑假一直在看。
(4星)	06年的夏天~~
(1星)	Hilary Duff必死
(5星)	平民天后
(5星)	啊 终于找到了 很喜欢
(NA)	  超级喜欢~~~~`   很快乐。很感人
(NA)	和你一起看的电影
(NA)	好看~~~
(3星)	看了一集不想看了
(NA)	HilaryDuff 
(5星)	2001 很可爱的片子
(4星)	小HILARY胖胖的...很可爱...
(4星)	陪了我一个假期~
(3星)	感觉当然没有从小看的西佛一家的那个成长的烦恼好看喽~~~~！不过里面演Hilary弟弟的那个小男孩还是蛮可爱的，鬼精灵一个！！！
(4星)	很喜欢的青春校园美剧。好喜欢年轻的Hilary,还喜欢剧中的Gordon，多好啊，有永远陪在身边的好朋友。那之后迷了Hilary好一段时间
(4星)	罗马
(4星)	听力课上看的
(NA)	声音很好听，人也长的不错。情节……不说啥了
(NA)	快乐
(4星)	很有意思~
(NA)	想到我们的青春期，只是duff演这部剧的时候好象有点太大了。。
(3星)	我们都很酷，永远不要改变
(3星)	每原来得成长的烦恼好看
(3星)	可爱的青春闹剧，或许真的可以换取某些人的梦想吧。
(5星)	我喜欢
(NA)	喜欢David
(5星)	好看``
(NA)	人总要学着自己长大
(5星)	喜欢美国人的幽默
(4星)	littel Matt跟那不讲话的黑人小朋友...
(4星)	想要一个David那样的两小无猜
(4星)	很搞笑啊，羡慕他们
(3星)	从此以后Duff就不好看了....
(4星)	断断续续在中央台看过些
(5星)	迪斯尼套路。小童星的诞生。音乐不错。
(5星)	好看好看!!Hilary好可爱,当时,呵呵~~
(5星)	萌!萌!萌!
(4星)	我记的八套放的那个暑假每个下午我都笑得很厉害。
(4星)	汗！保罗竟然是。。。
(NA)	从这部片开始喜欢她
(NA)	    期待这样的奇遇
(3星)	也许是我太媚俗？不知为何我还真是喜欢
(5星)	很喜欢阿,一直都非常喜欢美国的学生生活.!
(NA)	讨厌hilary duff，从这里开始
(NA)	有趣/简单/美好
(NA)	。。。对我也看了。。。。当时的她胖到我
(NA)	有时候看看这种风格的片子也挺不错
(3星)	符合我的心意..呵呵
(5星)	我爱它
(5星)	人生中第一部美剧-0-又在看了
(5星)	超好看！
(NA)	原来小神龙俱乐部里看的。小时候
(5星)	曾陪伴我和我的室友，我的高中生活。
(5星)	偶就是喜欢幼稚的东西
(3星)	她胖多了吧？
(5星)	从小学到大学，一直的陪伴，我希望我一直是个幸福的小姑娘。
(5星)	迪斯尼最温情的家庭美剧
(NA)	初中看的吧
(5星)	里面所有内容几乎都记不清了，只记得很好看。
(4星)	女主的弟弟和他的那个冤家女同学，超可爱的一对~
(5星)	青春期的最爱
(5星)	很早以前CCAV放的。我和我姐每天下午就守在电视前啊
(4星)	电视里播过诶
(5星)	“你很酷，永远不要改变！”突然看到了这个，儿时的超级经典啊。you rock and don&#39;t ever change.
(3星)	虽然叫“新成长的烦恼”，其实和老版的差别还是很大的。
(4星)	喜剧。
(NA)	很喜欢里面她唱的一首歌
(5星)	我在重拾当年暑假每天中午中央8台的欢乐。。。
(4星)	我特别喜欢马特！！！很可爱有木有！！！哈哈 又重新看了看
(4星)	无比爱matt
(4星)	别把眼睛看坏了。。
(3星)	央视是不是有引进啊 当时看的蛮欢乐的
(4星)	童年记忆
(5星)	超喜欢的！
(5星)	希拉里达芙真漂亮~初中的时候朝廷台在播，看过好多次了~
(5星)	不喜欢听Hilary duff的歌.只爱她的这部剧.
(NA)	超想看！！！！超想再看！！！！！在哪里有！！！！
(5星)	就在那个时候喜欢上了还有baby fat的duff，如今这妞都怀第二胎了。。⊙﹏⊙b汗
(5星)	高中时超爱看❤ 灰常喜欢adam lamberg 演的戈多睿智的样子，很遗憾很久没看到他演的片子了....希拉里达芙风头犹在~
(4星)	小时候的回忆
(5星)	初中的时候最喜欢的电视剧
(5星)	我的戈多……某个夏天和表妹一起在央视看，真美好
(5星)	很稀饭~音乐和人物都稀饭~~~
(5星)	少儿频道。
(3星)	初中的时候因为CCTV每到暑假都要放 我就有了每到暑假就要看一遍的习惯 那时候很羡慕她的弟弟 和她的两个朋友 
(4星)	以前假期最爱……
(5星)	充满儿时的回忆，那时候喜欢戈多，现在还是喜欢。
(5星)	喜欢这个姑娘。2008夏
(5星)	高中时期看的，原来我那会就爱看美剧了。
(3星)	最记得的是胸衣那集~哈哈
(5星)	喜欢hilary
(3星)	我因此爱上HD！～
(4星)	很不错的喜剧，不过总感觉讲的故事太简单了，没深度。
(5星)	貌似是初中看的，，然后就每天守在电视机前看了~
(NA)	尼玛这个女胖子原来不是这样的啊我去。@stella @selina。。发现初中混的比较熟的都是妹纸。不开心。
(4星)	喜欢最后利齐对戈多的脸颊一吻
(5星)	好爱好爱，初中的时候
(5星)	爱死这个电影了
(5星)	怀念啊！！
(4星)	在CCAV看了很久。
(4星)	依旧CCTV8。。。
(NA)	现在达芙已经从那个胖嘟嘟的小女孩长成女人了~
(5星)	希拉里，我爱你
(5星)	love it~
(3星)	我给三颗星就算高的了，这女的怎么就可以演偶像剧呢？不喜欢她演的电影，问题是我还看了不少，看样子我也有问题~~~
(4星)	比老版成长的烦恼更适合少女看
(4星)	纯真有爱
(4星)	我的美剧启蒙  小学看的
(5星)	找不到清晰版的。。。
(5星)	初中生都应该看的
(4星)	美国的青春渣渣片的女猪还是等下辈子东山再起吧
(5星)	我爱戈多
(5星)	希拉里达夫的代表作。非常值得一看。很有趣。
(NA)	真心萌、
(4星)	小学时超级爱看的啊！虽然全英听不懂…
(5星)	CCTV8。小时候陪伴自己的好伙伴。每集只有20多分钟、那时候不懂为什么这么喜欢它。几个忠守一生的朋友、没有worries的家庭、还有脑袋里那个天真幼稚的自己。那是当初的自己能想到的、最美的事。
(3星)	= =算了，至少当时国内也没什么好看的电视剧，属于被逼着看了的
(5星)	哎哟喂
(3星)	【2011,10,26--2011,11,03】还可以，但是跟老的没法比~喜欢希拉里~
(3星)	歌儿不错~
(4星)	小时候很喜欢
(4星)	只记当时还年少啊。
(5星)	当年看的
(5星)	最喜欢一脸无辜的戈多和马特不说话的黑人小朋友。。
(5星)	超爱超爱啊~~
(5星)	青春神马的
(4星)	当时好喜欢！
(4星)	哎呀~那年暑假……（嗤XD
(3星)	没老的好看
(4星)	呵呵 当时还挺喜欢得
(3星)	音乐很棒
(4星)	小时候觉得Aaron帅爆了
(5星)	喜欢喜欢超喜欢！！！！
(4星)	那年的初中暑假，每天下午等着CCAV8，好怀念啊
(4星)	中央八台 囧
(3星)	这篇居然能给到8分，豆瓣疯了吧~其实就是消遣的片子吗，一切都是美国梦式的
(4星)	←_← 那时候的Duff真清纯
(4星)	前几年看的，觉得挺好看的
(5星)	初中的回忆
(4星)	美好的童年记忆~
(4星)	希拉里达夫真漂亮。
(5星)	最喜欢的
(4星)	每天下午苦等中央八套呀（很喜欢Adam的角色 但他长残了……）
(5星)	初中毕业时看的，超爱
(4星)	童年记忆啊 喜欢戈多和她弟   她小时候是美国大妞身材   大了瘦到奇怪   然后里面的金发拉拉队长妞现在不知怎样了  够高  但是青春期有一阵子很胖啊 
(4星)	恩
(5星)	里面的每个人物都有鲜明的特点，女主角的弟弟很可爱啊，还有卷卷毛的男主角~
(4星)	看过的第一部美剧~~以前一直以为美国不拍连续剧的~~呃呃~~
(4星)	成长的记忆
(NA)	小时候的最爱。。啊
(5星)	强推。
(5星)	童年回忆
(5星)	当时是CCTV-8播的 要是原声的就好了 ~
(5星)	中央八套，那个暑假，每天下午连续四集，无任何插播广告哦！从此以后爱上了希拉里达芙，当时觉得很像我一同学，但我同学比她瘦~喜欢那个国产配音版。米国小孩蒸幸福，有这么多寓教于乐的好片，大人孩纸皆得益
(5星)	超级好看啊！！自此剧之后喜欢HD一发不可收拾
(5星)	初一那个暑假看的
(NA)	那时候好爱看好爱看，什么时候重温一遍、。。
(5星)	初中暑假不可缺少的一部分
(5星)	戈多对你那么好~
(4星)	无限美好的 &lt;美国纯洁校园生活&gt;电视剧 年代，看看现在的GOSSIP GIRL 啧啧啧……
(4星)	O(∩_∩)O哈哈~
(4星)	高一暑假  好爱男主 
(5星)	曾经真的好爱，无奈CCTV放的时候我还小
(5星)	很好，可惜少了些
(4星)	这才是我看的成长的烦恼
(NA)	a normal girl, but special
(5星)	第一步迪士尼电视剧
(5星)	初中时的最爱，记得那时CCTV8每次放都守着，LIZZIE的弟弟太可爱了！
(5星)	因为这个认识的小美女~~
(4星)	old love, old envy
(3星)	但当娱乐
(5星)	C8，环球影院
(5星)	回忆啊～～～HLL的回忆啊！！！
(5星)	成长轻喜剧
(5星)	好吧，这很大一部分代表了俺童年是的幻想……
(5星)	sweet
(4星)	很纯粹的迪斯尼风格 少女的生活表现得淋漓尽致 依稀可见 当年的hilary duff 原来是个可爱女生
(5星)	初中时候啊，狂爱拉莱恩演的米兰达啊，第一次接触hilary duff，那时的她老可爱的，哎好怀念啊..最近重温中...
(5星)	练英语的同学们可以多看看～很幽默
(5星)	看的第一部disney channel剧
(NA)	我们青春里大同小异的烦恼
(5星)	我印象和影响最深的美剧，，
(5星)	初一时的最爱
(3星)	看于CCTV8.
(5星)	重温了一遍,给了自己无限感动..特别是利齐未读完的年鉴部分
(2星)	完全不喜欢。根本没有老版成长的烦恼那种幽默和搞笑。
(5星)	暑假播的时候天天看啊！！！太喜欢了~~~
(NA)	小女孩的烦恼
(4星)	有些东西看着就是幸福
(5星)	小学爱到天天追。。。
(4星)	她老弟太逗了
(5星)	超q~
(5星)	really really like u -3-从小时候到现在一直都很喜欢~
(5星)	超好看  通过朝廷台看的最好看的电视剧之一
(4星)	Jake Thomas这个可爱的小家伙。&lt;完结&gt;
(3星)	凑合看还是不错。后来才知道那女生是Hilary Duff
(5星)	只有搞笑外加温馨
(5星)	最喜欢的美剧 也是唯一完整看的美剧 Lizzie Gordo Miranda 
(NA)	童年，，我的童年，，，和你一起度过
(4星)	小的时候特别喜欢看~
(4星)	小学的时候天天守着八套，然后认识了Hilary Duff
(4星)	伴随一代人的成长
(5星)	最早喜欢上的美剧~
(NA)	小时候看的
(4星)	青春期的感动
(5星)	不知道为啥会喜欢
(5星)	很搞笑的片片
(5星)	其实 我还真是蛮爱这部戏的 我喜欢戈多。。。
(4星)	青春期的烦恼，以一个青春期女生的视角为我们讲述了青春期的种种，友谊、矛盾、挫折，轻松而又诙谐
(5星)	不错不错~
(4星)	欢乐
(5星)	个人觉得超好看！！！！！！！！老版也很好！！！！！！！！！
(3星)	一般吧，小朋友看看还蛮好
(4星)	超爱atomic kitten的歌儿啊
(5星)	丽兹就该和戈多在一起。
(4星)	希拉里达芙 太让人喜欢了
(5星)	真的好看
(5星)	我想给七星 要么八星吧 我唯一看的美剧 初二暑假 世界杯结束 超级大爱 戈多片头曲那个垂眼 心真的被震到了 
(5星)	好看！！
(NA)	噗。。那个时候真是天天锁定电视看
(5星)	当年趴电视前面看。。很怨念的cctv8放的那两次。。我都没看见aaron carter那集！！
(5星)	最好看了！
(4星)	小时候的快乐记忆
(3星)	没看过以前的.,但觉得这个还不错
(5星)	那是我是多么喜欢里面的正太，是多么想有两个贴心的闺蜜。
(5星)	发现我整天都看喜剧啊
(4星)	小时候可喜欢了~
(NA)	Lizzie~
(4星)	中央8套放过两遍，初一初二的暑假，那个时候校园生活的教科书
(5星)	那年夏天超喜欢戈多
(5星)	初中时超爱看，大学下了全集，一集都看不下去= =
(5星)	非常喜欢啊小时候
(5星)	以前哪个频道放来着
(5星)	笑点非常多
(5星)	当时央视在放的时候，喜欢得不得了呢~~
(5星)	三个好伙伴的故事~
(4星)	我爱Gordo
(5星)	没有看过旧版的。只看过这个。挺好玩的。哈哈
(5星)	我还没看完你已经长大和结婚了。
(4星)	挺搞笑的
(5星)	我很喜欢！！！
(5星)	HilaryDuff ，还是小时候胖乎乎的小圆脸好看~喜欢美剧里演她弟弟的那个…
(4星)	好怀念
(5星)	我当年可爱看了。~
(NA)	不错
(5星)	过了看片年纪，还是喜欢看。
(5星)	从初中以来就一直很喜欢啊
(5星)	好温馨
(4星)	伴我年少午休时~~~~~~~~~~~~~~~~~~~❤
(5星)	央六。
(5星)	我喜欢这部剧，时隔多年再去看，还是觉得没有代沟。
(5星)	以前暑假中央八台看的。
(NA)	童年幸福快乐的记忆！ 
(4星)	当时点到
(5星)	我当时居然很喜欢那男主角？！我当时肿么了？？！！
(5星)	高中的最爱。= =
(4星)	我是在CCAV8台看的中文版.。。。。。
(5星)	初中最喜欢看了~哈哈
(5星)	永远的Lizzie McGuire
(5星)	蛮轻松地喜剧
(5星)	戈多戈多戈多 还有她捣蛋的弟弟马特！~
(5星)	小时候最喜欢的美剧 呃  一度迷恋戈多
(3星)	中央8看得，不是很喜欢这女主演
(4星)	我很喜欢，小的时候总看！
(4星)	看一看有益身心~~
(4星)	还蛮喜欢的~
(5星)	我直到最后一集才知道三人组里有个男孩儿。。。
(5星)	这个这个！！！最爱了！！！！！！！！！！
(5星)	小时候看的，现在大了再重温下
(4星)	好久以前看过  现在才知道片名
(4星)	不比老版的话还算好看，尤其是马特~太灵了这小子~~
(3星)	我居然在电视上看过= =
(4星)	初中时候某个暑假锁定央八
(5星)	 HilaryDuff 
(4星)	这也算是经典的儿童美剧的说，那时候还不知道下载神马的，放假天天蹲在CCTV8前等着看=w=
(5星)	年轻时的希拉里达芙真的好美好
(4星)	小学的时候看的央视配音版~~当时特别特别爱...天天看..打点滴的时候都看。
(NA)	就是因为这部剧才喜欢上当时的hilary duff的
(3星)	有Duff
(3星)	当年是ccav8引进的吧，还不认识达芙的时候，觉得她长得挺可爱
(5星)	爆笑~~ 又不低俗 ！
(4星)	那时候好希拉里杜夫
(5星)	我喜欢这样的
(3星)	希拉里达芙那时候真是。。。。囧
(4星)	我看的时候一直觉得duff没有脖子.......
(4星)	cute
(4星)	纯真年代啊
(5星)	初中时很迷
(5星)	和第一部一样经典啊
(4星)	很开心育人、、
(4星)	good good good
(3星)	和老的比差太多 只有mark还算可爱~
(5星)	初中暑假看的片子 直到现在还执迷于戈多和利兹的恋情里 由此喜欢adam并且发现自己喜欢的type是粗眉卷毛犹太人 只是为什么adam变成爆炸头了呢= =
(5星)	like hillary duffwanna be the one like lizzie ：D
(4星)	听说里面的gaden死了?..
(4星)	也很好看！
(4星)	初中最爱，真是美好时光啊。
(4星)	beautiful Roma
(3星)	12岁看过的家庭片，国产《家有儿女》的前身·
(5星)	很多年前看的了，始终没忘记他们的三线电话，令人羡慕的友谊
(5星)	超级搞笑的。。。不知为什么只出了两季
(4星)	早好几年前喜欢过~现在回过头看，觉得幼稚了~
(4星)	回忆呀  何况里面还有aaron ~
(5星)	那个暑假小小的我真开心
(4星)	小学最爱看这个
(4星)	想当年还是很迷Gordon的……
(4星)	小时候看的，很喜欢
(5星)	最棒的童年回忆！！没有之一。。
(4星)	当年先接触的这个，然后才是成长的烦恼
(4星)	那个美国女孩很阳光。为什么中国没有三线同时通话？
(NA)	利齐要是和戈多在一起就好了！
(5星)	很喜欢啊  喜欢她的纯真和勇气  还有她可爱的弟弟
(5星)	好看~~~~
(4星)	小男孩真帅
(4星)	喜欢戈多，恩~
(4星)	很喜欢呢，跟老版比别有一番风味~
(5星)	看这个之前并不知道过去就有个《成长的烦恼》，那时还小，现在看这部剧时间刚好。剧情蛮有笑点，但Hilary的衣服太花哨了！好喜欢Adam！！！
(5星)	我的偶像。。。
(4星)	小时候觉得挺好看
(5星)	好喜欢戈多~
(5星)	跟好朋友的回忆！！那会儿每天看！
(4星)	有的还挺逗的
(5星)	love it~好看 八零后感觉的小片子~
(5星)	多有爱~~
(4星)	当年没字幕的痛苦...
(5星)	大概是在初中某个暑假吧，每天中午和弟弟一起看的，是特别的记忆~
(4星)	好吧，我承认我是美剧小白~~
(5星)	漫画是用的最精巧的部分 两个配角演员异常出色
(NA)	大爱
(5星)	想起小学的时候每个星期六的早上看这部片子的时光就觉得我看的不是希拉里而是自己 
(5星)	我喜欢mark!!!
(4星)	大家都長大了，妳，我，他。
(5星)	AC
(3星)	达芙。
(5星)	成长的烦恼是我们慢慢长大的历史见证，很多年以后想起是多么的值得怀念啊!
(5星)	很不错的片子  相对于之前老版的 成长的烦恼 没有觉得拍的不好 相反还是依旧很喜欢这个题材的片子  新成长的烦恼  有他独特的味道。
(5星)	特别特别喜欢看
(5星)	年少时的美好回忆，编剧一点也不俗套
(3星)	初中时超级喜欢看，前段时间重温下，也不过如此。。。
(5星)	陪我长大~
(5星)	和希拉里达芙邂逅之剧~
(NA)	那时的她好可爱 
(4星)	怎么能不四星呢。高中的时候好喜欢。= =
(4星)	就是这部电视让我认识了Aaron Carter 然后开始了一段无可救药的花痴时代 应该说都是由Hilary“牵线”造成的   回到正题上来 这部电视真的挺好的 至少我当初那个年龄看这部电视很有feel  超想要过美式的校园生活
(5星)	很喜欢这部片子咧!!!以前天天候着时间看的咧!!!下午三点！！！很幽默很幽默...看了心情大好~~~
(5星)	貌似是我看过的第一部美剧，呃……
(NA)	难道是我接触的第一部美剧！！！！！！
(5星)	现在看来，只是深深的嫉妒啊
(5星)	很爱很爱~~
(4星)	有什麽夢想就去追求吧~哪怕最後失敗，也要再次懷著堅定的心去尋找，去爭取。
(4星)	我其实就是喜欢Gordo
(5星)	初中的时候通过这部剧认识了希拉里达夫 也是她的成名作
(4星)	小学很喜欢看..
(4星)	我好像给四颗半呀
(5星)	超爱
(5星)	小时候非常喜欢
(5星)	全(2) Disney
(5星)	小时候那是相当的爱看啊.......
(3星)	暑假的回忆
(5星)	戈多戈多。。。你很酷 希望不要改变
