http://movie.douban.com/subject/3145159/	孙子兵法与三十六计
(5星)	 就是因为这部电视剧才记得住三十六计都是什么，也因为三十六计才了解孙膑。            
(4星)	 小时候就看过 现在校园网上居然传了 于是又看了一遍 仇叔演的太好了 那个战国什么的 我拒绝承认那是孙膑……            
(5星)	 表示我曾经真的看得超级high啊。。            
(5星)	 楚国惧鬼神，齐国敬祖先            
(5星)	 2004年暑假            
(4星)	 小时候看的时候总觉得演公孙阅的人眼熟，结果居然是尹剑平尹哥哥啊。。。            
(4星)	 战争即争，争即人斗，斗则有法。一切皆为虚空，不争即争，争即是不争。            
(4星)	 还是以前拍的电影好啊，没什么大牌明星，就是用心演剧本好剧！绝对的            
(4星)	 我爺爺當初很愛看 我也就跟著看完了 關於劇情記憶模糊            
(3星)	 蛮有感觉的            
(3星)	 三十六计更多的需要在生活中感悟，因为人的悟性本来就存在很大的差别            
(5星)	 全长36集*40分钟/集=1440分钟，我敢言其中没有任何一句废话（最高评价和赞美了吧），众多大夫对君王的谏言与反驳充分体现出思辨的逻辑性，有理有据，非常精彩。完美，5星推荐。            
(5星)	 最喜欢的孙膑版本，除了孙膑能走路有点不太现实，剩下基本上都符合史实，非常喜欢，这是在上初中的时候看的            
(5星)	 这些演员们除了张子健都没影了            
(5星)	 小时候看了千百遍 最后把眼睛看近视了的剧  哈哈  太难忘了~            
(4星)	 其实这个孙膑很萌            
(5星)	 嗷 我爱这个孙膑            
(4星)	 童年时美好的回忆            
(5星)	 趁着《战国》上映之际也就把这部十年前的戏翻了出来，所幸豆瓣上还能找到，还记得小的时候天天守着电视看还是差了那么几集没看过，恰恰又是36计每集一计，那个遗憾的心情啊···anyway仇永力老帅哥算是把孙膑演得很好了，一看《战国》里孙红雷那造型，真想喷饭；现在的电影就不能好看点吗？            
(5星)	 小时候看的，觉得非常精彩，最喜欢孙膑和庞涓智斗的故事了。跟真正的历史肯定是有出具的，但是真的不错。真是精品。            
(5星)	 这才是我心目中的孙膑            
(4星)	 小时候的诡异爱好，因为战国又再次翻出来看，还是这个孙先生比较帅。            
(4星)	 孙子兵法 拍得最靠谱的了~            
(5星)	 初中看的，细致演绎的典籍故事、精彩紧张的孙庞斗法，若有似无的爱情缠绵，主题曲印象颇深。我好想回到过去，我现在很痛苦······            
(5星)	 牛b，所有侦探片基本骨架的鼻祖，其实我们的老祖宗早都设计好了            
(4星)	 少儿剧苑。            
(5星)	 诚意之作            
(5星)	 初中电视台放映那会儿每天下晚自习回家都会看一集            
(4星)	 我小时候看过的剧竟然找到了！撒花~            
(4星)	 初中时候的大爱啊，现在看不出当时的情节了。长大以后看很多小时候喜欢的东东都觉得不是那么回事了。还记得当我岁数略大知道《戏说乾隆》演的内容都是杜撰的时候，是多么不愿意接受啊。。。            
(5星)	 一集一计的连贯演义，真是出色的编剧            
(4星)	 一集是一计虽然拍的不怎么样 但每一计都讲述的比较完整··            
(5星)	 重温，依然喜欢孙膑            
(4星)	 场景，画面处理，音乐都很差，但是就是觉得好看            
(4星)	 庞涓的声音好听。。。。。            
(4星)	 虽然剧情是编的，但是编的还不错            
(5星)	 帅！            
(4星)	 作为少儿片还是不错的            
(5星)	 很长知识。。= =  片尾曲很赞。七八年过去了，每每想起还依然觉得是经典。            
(5星)	 喜欢片尾曲。            
(4星)	 那时三更半夜的守着电视“偷看”。。。            
(5星)	 天阔苍茫 孙膑走了 钟离姐妹走了 历史改变了人生 人生铸就了历史 斯人已去 心还在            
(5星)	 孙庞之争              
(5星)	 JQ累累            
(4星)	 以前爱看得不得了，现在看觉得也还好。~            
(5星)	 仇叔塑造的孙先生会一直一直刻在我心里的~！            
(4星)	 虽然是被同学拉着一起看的，但是剧情真不错～而且还有张子健……            
(5星)	 非常棒，超过很多所谓的大制作，音乐，剧情，表现上都非常不错~嗯以后有空了再重温            
(4星)	 无聊的初中时代            
(4星)	 是大二暑假看的吧            
(5星)	 好东西。终生受用            
(4星)	 感觉看了有些许启示，但是很多道理只有该用的时候用了可能才算真的理解了            
(5星)	 初中某个假期看的，后来好像又看过一遍。现在想来，和geek的故事有异曲同工之妙，相当精彩。            
(3星)	 小学看过的一部比较有趣的电视剧            
(NA)	 小时候可喜欢的片子            
(5星)	 片尾曲，很喜欢。            
(4星)	 哎呀呀呀我就是从小就喜欢那个春秋和战国呐哟喂~            
(NA)	 走为上计            
(3星)	 不走火入魔就好。            
(5星)	 唏嘘的结局            
(5星)	 绝对经典，难以忘怀！            
(4星)	 孙先生是美好的男主啊            
(5星)	 有人说,女人不宜看兵法,我觉着挺好的呀.            
(4星)	 赞！            
(4星)	 不是电视剧咩？            
(NA)	 哥们真帅            
