http://movie.douban.com/subject/2983271/	微笑Pasta 微笑PASTA
(3星)	 李响。sean li。prince charming。forever。            
(NA)	 因为这样，喜欢张栋梁            
(NA)	 天呐,我居然擂到看完鸟.浪费了我一天的时间啊.            
(5星)	 我親愛的微笑王子^^            
(4星)	 男主角像韩国的那个谁            
(2星)	 ╮(╯▽╰)╭            
(NA)	 【2006-07-16】            
(NA)	 童年..            
(2星)	 非常不喜欢的组合 完全找不到红的理由！            
(2星)	 最装比的男女。。里面有首王心凌唱的歌还蛮好听的，黄昏晓。            
(4星)	 继续当年觉得很好看- -            
(3星)	 狄志杰狄志杰！            
(NA)	 湖南台总播这剧！            
(2星)	 小时候看的            
(2星)	 男女主都是傻逼傻逼傻逼            
(1星)	 醜男醜女組合之最了吧            
(NA)	 每年都放我都厌烦了 今年居然没放 我很欣慰            
(2星)	 微笑拍死他            
(3星)	 小时候看的什么的             
(NA)	 是有多无聊 = =            
(1星)	 两个大嘴弱智            
(1星)	 丑到一起乐            
(2星)	 尼玛老娘当年是有多无聊！！！！！！！居然把这种片子给追完了！！！！！真是耻辱啊内牛！！！！！！！！！！            
(NA)	 我表示我不知道为毛要看这个。。难道是芒果攻势太强大了还是我太无聊了 看完居然还对KONE那个家伙产生了一阵子的好感            
(3星)	 演员实在是不讨喜，- -            
(NA)	 我靠 老王曾经疯迷的电视剧 整天唱小乌龟~            
(1星)	 都丑啊~            
(1星)	 我这种剧从来不看完的            
(1星)	 张栋梁你的胡子能刮干净不            
(1星)	 哇哈哈哈            
(2星)	 哎            
(3星)	 男主只适合唱歌。            
(3星)	 当年爱            
(NA)	 “可恶的何群，扫把星”.....................................................................            
(1星)	  胃十分非常极其的不舒服            
(NA)	 又是在我们班看的            
(NA)	 最爱            
(4星)	 “只要笑一笑，没有什么大不了”鼓励了我很久。            
(2星)	 =A=            
(NA)	 年幼无知年幼无知。。。            
(NA)	 剧情很弱智，我竟然看完了.........            
(3星)	 实在对台湾偶像剧无感。。            
(1星)	 太弱智了！            
(NA)	 我喜欢张栋梁！            
(1星)	 都是湖南卫视逼的。            
(1星)	 好吧，只要笑一笑，没什么大不了。            
(2星)	 我也看了。。我又无聊了。。            
(5星)	 成晓诗~~~~超级可爱            
(1星)	 男女都很丑哇=。=            
(3星)	 芒果台很爱播 无聊的时候迫不得已看了几集 就是很受不了王心凌            
(3星)	 栋梁很帅啊~就是剧情很狗血。。            
(1星)	 呕吐            
(NA)	 蛮喜欢里面的音乐~剧情么，高仿浪漫满屋。。。。            
(2星)	 大学里看了多少弱智片= =            
(1星)	 男的真丑。            
(3星)	 狗血...王心凌的嘴部是一般的歪            
(3星)	 好玩。。喜欢看男女猪脚吵嘴嘛~            
(2星)	 看到一半就崩溃了，，受不了张栋梁- -            
(3星)	 呃……看过的为数不多的台剧之一。个人认为台剧是无聊时消磨时光的好东西。可，有多少时光经得起台剧消磨啊……            
(2星)	 懒得说了            
(2星)	 剧情差。。。奇怪的是我竟然在柬埔寨看的这个电视剧。。。。妈呀            
(2星)	 微笑拍死他...哈哈哈哈~            
(1星)	 2次。            
(NA)	 我真的是想不明白蠢成这样的女人究竟是为什么要存在在这个世界上。            
(5星)	 多年前看。从来不看台剧的某，突然发现这个剧制作还不错，由于没有语言障碍，我妈也一起看。当年还是很爱的。现在真是越来越不待见言情。            
(3星)	 哇噻 我都看过~            
(4星)	 我只是觉得张栋梁笑起来很温暖....            
(3星)	 记得当时看的时候觉得很舒服。             
(4星)	 看的时候挺幸福的。虽然剧情很假            
(3星)	 打发时间的片儿~            
(1星)	 脑残            
(2星)	 张栋梁怎么可以演电视~            
(1星)	 恐怖啊。现在回想起来。            
(NA)	 完全是在数字电视的宣传上看完的..            
(2星)	 很王心凌的片子……            
(3星)	 挽救该剧的 是张栋梁的声音            
(4星)	 看完觉得张栋梁笑起来很可爱呐呐            
(4星)	 我这个也看orz....张栋梁还不错，明明就是在模仿浪漫满屋嘛            
(2星)	 明明很弱智的剧在青春年代还是能看完，有时候需要简单的剧放松一下神经。            
(3星)	 看偶像剧干什么要那么严格的要求，喜欢就看，不喜欢就不看，没有人逼你，什么有没有内涵剧本恶俗之类的，需要么？看得开心看的舒服就很好，我没有那么高档次，只要电视电影能让我笑，能让我明白导演在说什么就是好的作品！            
(2星)	 我给两个心的原因 纯属主角太丑··            
(NA)	 c&#39;est ma nulle vie            
(2星)	 有点幼稚            
(NA)	 无语            
(4星)	 o(∩_∩)o...            
(5星)	 它让我认识了情歌王子``            
(1星)	 我被逼着看啊！！太痛苦了！！！            
(5星)	 绝对喜欢            
(3星)	 音乐还好吧            
(2星)	 腦殘劇。可還是每次都會看==            
(2星)	 整一做作            
(NA)	 其实她自有可爱之处            
(NA)	 ……造型师是死了末            
(3星)	 很傻，但是蛮搞笑的            
(1星)	 很恶心            
(4星)	 因為這套劇我喜歡張棟樑，也對王心凌改觀            
(2星)	 我现在都不理解我怎么会一直追着看完滴。。            
(2星)	 太假            
(NA)	 说真的我是真不喜欢王心凌 一点都不好看 真不知道某人怎么会喜欢她            
(1星)	 如果上天能给我一个杀人不犯罪的机会，那我一定会选择剁了王心凌。。。            
(4星)	 栋梁的不能给太少，虽然真的很烂的一部剧。            
(1星)	 不知道能不能评上最难看的台湾偶像剧。。            
(1星)	 最恶烂            
(5星)	 笑一笑没有什么大不了~~~就像大多数的偶像剧一样，第一遍的感觉很好，这部是超好，超级好，第二遍就。。。。。。。。不过故事还是不错的            
(4星)	 可爱没什么不好            
(2星)	 cindy演习太烂了            
(2星)	 狗血吖~            
(4星)	 张栋梁的确是微笑王子            
(3星)	 张栋梁 看多了 还算顺眼..            
(3星)	 挺幼稚得。。。            
(2星)	 原来我看过这么多偶像剧……            
(3星)	 天，我居然都看了            
(NA)	 异形降世，男男女三位大神            
(2星)	 歌还成            
(3星)	 湖南卫视到底要播多少遍啊            
(2星)	 挺无聊的。            
(1星)	 男的丑女的装 每看必吐            
(3星)	 平均每一集都有跌倒镜头。。。这实在太傻x了。。。            
(4星)	 失恋时的好东东...            
(3星)	 蛮白目。            
(NA)	 主角可以這么丑。單純論來講。            
(2星)	 真的很无聊。。。            
(1星)	 一群人在里面疯。对湖南卫视把它翻成《微笑百事达》很无语。            
(4星)	 不是Cindy的FAN不过我一直觉得她挺会挑剧本的 这剧让我萌上了张栋梁 温柔男最高            
(2星)	 呵呵呵呵呵呵呵呵………………我看这个真的喜欢过张栋梁………………呵呵呵呵呵呵呵呵呵            
(3星)	 “只要笑一笑 没有什么过不了”&amp;“只跟自己比”            
(NA)	 ^^ ……            
(4星)	 因为“小乌龟”。            
(3星)	 [微笑pasta]2006台剧            
(2星)	 劇情很俗~王心凌演技永遠一模一樣沒意思~            
(NA)	 偶像剧——靓女帅哥.没什么好说的,都是些老套路.不过里那面那首&#34;小乌龟&#34;确实不错,音乐节奏中透露出恋爱中女性的俏皮可爱,还有点笨笨的.有了这首歌让原本老套路的电视剧还有点看头...            
(2星)	 !!!            
(2星)	 在家的时候看看娱乐一下，看了十集开始厌烦。            
(NA)	 她好丑            
(2星)	 全剧没一个美型...            
(3星)	 看过一点片段，扯是扯了点，造型还可以            
(2星)	 没营养            
(NA)	 为什么王心凌老是演很笨的角色呢？            
(3星)	 看过之后莫名其妙喜欢过王心凌一段时间= =            
(5星)	 調皮搗蛋 可愛 笨手笨腳滴 喜歡耨            
(NA)	 里面的人一一本正经 我就晕。            
(4星)	 2008            
(3星)	 张栋梁的笑容还算亲切，王心凌就……太吓人了！            
(4星)	 偶尔看台湾偶像剧，其实也不错。。。            
(NA)	 初三忍着爸妈的口水坚强看完的            
(3星)	 太假也不好            
(NA)	 回鄉下迫於無奈才看的。            
(2星)	 女主也不需要傻得那么过分吧            
(3星)	 笑一笑没什么过不了的...            
(3星)	 觉得有点幼稚。。。            
(3星)	 一般般，男主角很温柔            
(1星)	 脑残台剧            
(3星)	 微笑PASTA             
(3星)	 很韩国的一部。            
(NA)	 成晓诗，让我们拥吻吧！哈哈哈            
(3星)	 现在想想 很幼稚  我当时怎么会看   丢脸            
(3星)	 狠幼稚狠简单狠轻松。。            
(1星)	 很恐怖的             
(2星)	 太不好看了            
(2星)	 实在是……拖沓            
(2星)	 弱智啊弱智。。但某年夏天我还就给看完了            
(NA)	 喜欢里面的YY            
(NA)	 姐姐我一颗星都不想给            
(1星)	 实在是受不了。            
(2星)	 又是部小白偶像剧，我居然看了！            
(4星)	 无聊的时候看蛮可爱的            
(3星)	 一般....            
(NA)	 笑一笑，没有什么过不了。            
(3星)	 我居然把它看完了..            
(NA)	 心凌最ugly的hero~            
(4星)	 莫名的令人开心的偶像剧            
(3星)	 王心凌一贯风格            
(3星)	 比较花痴~            
(NA)	 本来吧想看mvp情人的 不小心下载错了 发现还满搞笑的 于是就看完了 感想就是为什么声音好听的人就不能顺便长的好看点呢。。。艾             
(4星)	 一部戏真的能改变我对某人的印象，这次一下改变了两位，我春了！还有这男的声也太太太，我的妈呀！            
(4星)	 好久没看童话了……满足一下小女生的心理~人实在太容易变老            
(3星)	 幼稚而可爱。            
(3星)	 不能再偶像的偶像剧……陪我在家过&#34;五一&#34;            
(4星)	 很温暖的感觉！            
(4星)	 我的第一部台湾偶像剧~汗品味。            
(NA)	 差到境界。。。千万别看，有辱智商！！            
(3星)	 蛮好笑的也……            
(3星)	 大一的时候每天晚上的期待就是看星空台播的连续剧，因为喜欢何群被宿舍看成异类，哈            
(3星)	 看了过后有点喜欢张栋梁的歌            
(4星)	 很可爱的啊!超希望他们俩真的在一起            
(4星)	     大爱王心凌，可还是喜欢她于《天国的嫁衣》里的演技。            
(NA)	 成晓诗怎么可以那么做作那么傻...            
(5星)	 让情节再白痴一点吧~哈哈哈！！！            
(4星)	 事過情遷了。。还是很可爱的            
(3星)	 看了三集。男主角像哥哥。             
(2星)	 很奇怪吧。我不太喜欢这部电视剧，觉得张栋梁不帅，可是还在装帅；王心凌不美，演技很差。但是在这里面演他们家人的那些演员都演的好好啊。我看这部电视剧，因为我喜欢王心凌在剧中那些衣衣啊，呵呵不知道在哪里有卖的。            
(NA)	 微笑PASTA             
(3星)	 男主角好帅 萌~~~~~~~~            
(NA)	 张栋梁.            
(4星)	 只要笑一笑，没什么事情过不了 ~~            
(3星)	 实在闲到无聊了看着还是蛮有趣的，只要不当真就好。            
(4星)	 挺标准的偶像剧。。。预料中的情节设置。。。但看看还是蛮温暖的            
(4星)	 我也不知道我为什么会看完它.            
(NA)	 是有点白痴，可是我很无聊啊~~~            
(NA)	 张栋梁好温柔            
(3星)	 有点生硬的表演，有点拖沓的剧情            
(NA)	 张栋梁给我的感觉很好，虽说名字土气了些            
(2星)	 王心凌那个龅牙……该剧帅哥不帅美女不美，强烈不推荐            
(3星)	 基本上是張棟樑笑一下我就不行了。            
(2星)	 台剧长久以来除了穷摇，就是稳定地徘徊在这个标准上下。            
(2星)	 自带避雷针，或者你雷着雷着就习惯了，反正我是看完了。            
(2星)	 男女主都不喜欢            
(3星)	 张栋梁演巨星 那范儿实在次了点            
(1星)	 补遗            
(4星)	 高一的我是那么喜欢这部剧来着~~给四分吧！！囧。。            
(2星)	 奇葩一样的男女主            
(1星)	 王心凌的片子都是浪费时间            
(3星)	 = =我就不说什么了            
(2星)	 一分钟也没觉得这两人成熟。            
(NA)	 谁叫他一暑假就播…………我妈还跟我一起看……            
(1星)	 丑男丑女大联盟            
(1星)	 脑残加白痴啊`~            
(2星)	 哎。。。一部傻逼台剧。。我现在想不通为什么那个时候会看这些。            
(1星)	 我就不笑。            
(3星)	 想当年初二时竟然每晚蹲守星空卫视追完全部?!- -            
(2星)	 王心凌恶心人啊  做作            
(2星)	 现在看起来 太傻了 当初追着点播台 太可笑            
(2星)	 王心淩實在不敢恭維，，            
(2星)	 湖南卫视天天播的我快吐了 - -            
(NA)	 好像看了很多遍 芒果台天天放            
(4星)	 看在当年很喜欢的份上。。够2了            
(2星)	 我的无聊青春呦。。            
(5星)	 记得当时是很喜欢的，几乎不看偶像剧却看完了这部            
(4星)	 记忆非常深刻的一部台湾偶像剧。。。。            
(2星)	 男主太丑！！！！女主太二！！！！            
(3星)	 剧情无力吐槽，最后一集弃了。不过还是很喜欢心凌演绎的乌龟妹。            
(2星)	 托芒果台的福断断续续的也看了个差不多。括号 里边有陈意涵诶？没印象了。。。            
(1星)	 喜欢男二女二            
(2星)	 王心凌睫毛不错            
(2星)	 不是我眼拙~            
(4星)	 笑一笑没什么大不了~            
(3星)	 以前是一个晚上搞定，这位女主的戏都很。。。。。。            
(1星)	 此乃一大雷，來自王心凌和張棟樑的搭檔~            
(1星)	 哈哈哈哈哈俩傻逼            
(2星)	 我竟然看过两遍！！！！！矮油            
(3星)	 可以啊            
(3星)	 张栋梁不适合拍偶像剧。            
(2星)	 讨厌男主= =            
(1星)	 有时候我会想，拍这种剧的人应该是在学生时代就被人鄙视的人吧。是那种抱着38小说每天沉溺自己意淫的世界里的人。            
(3星)	 还行啦，芒果台播的时候看看            
(2星)	 呃。。。            
(1星)	 讨厌女猪脚 男猪脚也很那什么            
(1星)	 演技太差            
(2星)	 通过这部剧，我将《小乌龟》深深地印在了脑子里面……            
(5星)	 高三那年看了好多遍！好喜欢张栋梁哦~~            
(4星)	 好吧，小时候中毒了一段时间的剧，完全也是给小女生发白日梦看的...台剧总是那么多巧合...            
(2星)	 王心凌和张栋梁真是绝配o(╯□╰)o            
(2星)	 做作得很            
(1星)	 .....什么都不说了            
(NA)	 唱歌时候想起来，我还看过这剧            
(2星)	 真的太矯情了這個電視劇。。            
(4星)	 蛮好看的。挺搞笑的。看了两遍吧。貌似。            
(2星)	 真是愁死了 这么丑的偶像剧            
(5星)	 很喜欢。。很棒。。很感人。。很贴切。。。            
(1星)	 张栋梁唱唱歌也就算了 还出来吓人            
(3星)	 播了太多遍的总觉得有点俗气了……            
(3星)	 我喜欢主题曲……            
(NA)	 我看过了多少偶像剧。。。哎            
(4星)	 我是为看RITA那一对的~~            
(3星)	 以前看这部剧的时候。。超喜欢张栋梁==！            
(3星)	 ……            
(2星)	 男女主角实在算不上是在拍偶像剧.....            
(4星)	 我喜欢校园的            
(1星)	 真的很囧            
(1星)	 靠！！不小心看了一集。            
(NA)	 我充分发扬了什么都看看的专业精神······            
(1星)	 傻逼不解释            
(4星)	 乐观。            
(2星)	 什么小乌龟= =我好囧 芒果台播了多少遍啊谁数得清吗            
(1星)	 呕！            
(NA)	 让人无语的片子            
(5星)	 高中时光的最后一部剧            
(NA)	 我看过。。。            
(3星)	 有那么一段时间。狂看各种台湾偶像剧。            
(3星)	 打发时间            
(1星)	 除了王心凌越来越2b 没什么好说的 张栋梁还好吧 我觉得还好啦。。            
(NA)	 2粒米坏了一锅老鼠屎            
(3星)	 装逼的何群不解释。。。            
(NA)	 小妹拉着看的……无语            
(NA)	 真不喜歡王心凌。            
(1星)	 好嘛 也恶心死了            
(2星)	 大学寝室看的囧剧，星空卫视            
(NA)	 我真心真心觉得这部片子弱智到爆，主要是有段时间芒果台老放，我一看就想崩溃的状态！！！            
(NA)	 额外居然看了。。。            
(3星)	 不太喜欢这部，但一直在电视上放，张栋梁好像金载沅哦，不过这脸。。一直感觉王心凌演戏很做作的，不太喜欢。            
(3星)	 好吧我喜欢小乌龟那首歌            
(NA)	 最脑残的台湾电视剧            
(3星)	 偶像剧，我没打标签……            
(1星)	 王心凌的演技。。。。。。。。。。            
(3星)	 好吧……我还买过原声带……那不堪回首的时代啊……            
(1星)	 么都不说了，王心凌太丑了。。。            
(2星)	 幼稚            
(2星)	 王心凌的片子也就那样儿了··            
(2星)	 无聊看            
(3星)	 还不错 都是别人推荐看的            
(3星)	 虽然是白痴剧情，但当时也迷            
(3星)	 一般般啦..!芒果台播了好多次了            
(3星)	None
(4星)	 假期实在无聊看的湖南卫视            
(1星)	 弱智的台剧。某年暑假午后无聊在芒果台看的。没逻辑，没技术，剧情幼稚，硬件不行，软件更差。王心凌整一个歪嘴的。            
(2星)	 同样，女主很丑很做作。            
(2星)	 这个搭配不知道怎么想出来的- -感觉上电视那一段也很无厘头，基本没印象深刻的点，缅怀一下cindy wong .            
(3星)	 张栋梁挺可爱的啊~            
(2星)	 笑一笑，没有什么大不了。            
(3星)	 其实还可以，可能主要是因为那个年龄段就是喜欢看这类泡沫偶像剧。            
(3星)	 ost还蛮好听的            
(4星)	 额 当年看得时候 还是觉得蛮好看的~张栋梁和金在元真的好像啊！&gt;&lt;            
(3星)	 杀时间=-=            
(4星)	 想当年追这部连续剧的时候，真是辛苦啊，一个星期出一集，等死了。。。就是因为这部连续剧，所以喜欢上了张栋梁，虽然难看，但是人很好哦，(*^__^*) 嘻嘻……            
(1星)	 脑残偶像剧            
(3星)	 哎            
(1星)	 矫情            
(3星)	 我喜欢的是一种心情，与剧无关，也仅此而已。            
(NA)	 当时看的时候一直在想，要有怎样的能力才能生出如此不同的兄弟俩啊！            
(3星)	 很拖            
(1星)	 狗血            
(NA)	 大一的时候，可儿买的片子，全寝室用DVD看着玩的~一点情节也记不得了。            
(NA)	 囧            
(3星)	 背着龟壳跑圈。台湾真有这种学校吗            
(2星)	 尼瑪好醜...            
(1星)	 每个人物都是那么丑，尤其什么阿哲学长            
(3星)	 一边说脑残一边看 没帅哥            
(3星)	 张栋梁            
(2星)	 王心凌真心想惹人厌！            
(3星)	 请告诉我..到底哪儿好看了...             
(1星)	 傻B剧情。。。            
(1星)	 偶像剧不以卖相为障碍= =            
(3星)	 很磨时间的片子，绕来绕去，张栋梁还蛮帅的，如果一个明星真的愿意这样还是人让人感动的吧。            
(4星)	 看著覺得挺開心的咯。。。雖然真的很幼稚很沒營養。。。            
(3星)	 不解释。男二号更帅气一点点。            
(2星)	 芒果台专属            
(1星)	 为什么那时候我居然看的很来劲。主演好难看。。。。。            
(3星)	 想当初小学的痴迷地爱呀。            
(2星)	 囧片            
(1星)	 王心凌依旧很傻很天真 呕            
(1星)	 典型的傻子在演，瓜子在看……            
(2星)	 唉，真的幼稚到爆偏偏湖南台还不厌其烦地一遍又一遍地放，完全忽视剧情为搞笑而搞笑吧，打发时间时看。王心凌天国的嫁衣后只退不进呐。            
(NA)	 低智商的傻叉            
(4星)	 满好的啊。。怎么给分那么低。大家都装成熟是不是            
(NA)	 这个真心难看啊TAT            
(2星)	 看着他们可以让我产生一种老子可以在智商上瞬间秒杀台巴子的快感！            
(3星)	 记得看完了哦            
(2星)	 里面人物都丑的没边了~~            
(NA)	 你妹的 芒果台总是放 太雷人了            
(1星)	 烂透了~~~            
(1星)	 太丑了            
(NA)	 这个。。。。。。            
(4星)	 蛮好看的，断断续续看了有三遍。            
(2星)	 没想法            
(3星)	 那時候不懂事啊覺得不錯。 估計現在要我再看也就剩2了。            
(3星)	 去井冈山的时候，那里的小学生说超喜欢看这个…我被囧到了            
(NA)	 托芒果的福，看了不少浪费生命的电视            
(NA)	 很二            
(2星)	 很二，还看了好几遍。            
(1星)	 微笑拍死他。            
(5星)	 最近实在太无聊了            
(4星)	 北极星的眼泪~~            
(2星)	 丑男丑女集中营。            
(2星)	 这俩主演..........很配...........真的            
(NA)	 看过几个片段 猪脚们演技真是差的可以 做死了            
(4星)	 暑假档从头到尾看完了。虽说幼稚了点，开心还是有的。            
(2星)	 芒果台老是放，我就是看不下去。。。            
(NA)	 NC的童年            
(1星)	 芒果台重播巨多的一剧。为么王心凌能一部一部的接着拍剧，为么！            
(4星)	 王心凌在里面漂亮！！！            
(5星)	 很喜感嘻嘻            
(3星)	 虽然偶像剧一般都没有太多深意，但是一个朋友的话提醒了我，生活要那么沉重干什么，轻松一点、欢快一下，帮人们打发无聊的时光，难道不也是一种意义。            
(3星)	 就……肥皂剧呗。大学时代烧……            
(3星)	 明明很白痴，但是还是看完了~不能不说，这是境界            
(2星)	 我不想看的，芒果台天天天天天放。。。。            
(1星)	 练耐力            
(3星)	 高考完通宵看完的，第二天眯着眼去报志愿            
(4星)	 昨天晚上看了7集，今天下午加晚上看了10集，现在是第三天早上快1点。我是真的被感染到了。具体明天再说，明天早上考西语听力。。。。。            
(NA)	 大学时女生他们宿舍的女生都在看            
(1星)	 这就是下限。。希望我的人生中不要出现新的下限可以么。。            
(5星)	 还是蛮好看的。            
(5星)	 我居然给了满分！没错就是满分~~推荐一下，我自己看了2遍多，百看不厌的那种耶~~            
(4星)	 哈哈 剧情很狗血··            
(1星)	 恶心无比……            
(NA)	 真的很恶心            
(2星)	 现在觉得很烂诶            
(2星)	 张栋梁居然也能演偶像剧……王心凌更是啥也不说了 .            
(3星)	 也是偶像剧，同样的说话方式，差不多的剧情走向，灰姑娘的梦想。但我喜欢里面的音乐胜过整剧~~　            
(2星)	 纯属白痴青春剧，男主超丑，哎，打发时间吧            
(3星)	 湖南台，你太过分了……总重播……            
(3星)	   嗯，給三顆星是給張棟梁的   王心凌一直演得很做作，就不說了   可是張棟梁，雖然長得不算帥，但是還算可愛啊，笑起來的樣子很和煦，有點治愈系的感覺，我還蠻喜歡的~            
(3星)	 哈哈哈...当年的烂片啊~~~            
(3星)	 我竟然看了，一集不落。            
(1星)	 想模仿rain么你……早几百年了吧            
(5星)	 虽然不喜欢王心凌，但是这个剧情很讨巧不错的            
(3星)	 只有主题曲还勉强过得去            
(4星)	 当时还挺迷的~~~乌龟妹~~            
(1星)	 X男女的神奇组合 = =             
(3星)	 张栋梁真是...其实还蛮好笑的            
(2星)	 微笑拍死你            
(3星)	 典型王心凌的style。。。            
(3星)	 张栋梁多像金晨啊....T______T...我大学三年的精神支柱啊金晨...            
(1星)	 敢换个没有高原红的男一吗 啊            
