http://movie.douban.com/subject/2294179/	情牵日月星
(3星)	 记忆很深。还有那三条项链            
(NA)	 瞄过            
(5星)	 从此迷上方中信            
(3星)	 还是旧时情节 超长金饰广告            
(3星)	 当时超级想买那个日月星的            
(3星)	 因为有了吴倩莲。。。那么多年了 始终不喜欢她            
(4星)	 喜欢吴倩莲和方中信            
(5星)	 我在土豆上竟然发现有这个豆单。大喜。            
(5星)	 人生中最初的几部偶像剧            
(3星)	 方中信啊...有味道...            
(4星)	 吴倩莲             
(5星)	 最近真的很怀旧。。小时候暑假里放的片子~一直都有在看。。            
(3星)	 当年觉得方中信好男人啊。记得里面的项链。            
(3星)	 好老的片子啊，那时好像是十七八岁看的            
(3星)	 我就对里面内3项链有记忆            
(NA)	 那时候觉得方中信帅啊。。。            
(NA)	 跟方明很像的角色            
(5星)	 项链很漂亮            
(NA)	 方中信也太...            
(NA)	 好喜欢里面吴倩莲开吉普的感觉            
(3星)	 情牵日月星            
(5星)	 方中信~~~~~~~~~~~~            
(5星)	 记忆中挺喜欢的一部电视剧，各种青涩啊大家~            
(4星)	 其实我没印象，那少掉得一星给我的遗忘~可我就是觉得我很爱它，方大叔超级帅            
(3星)	 我还觉得蛮好看的类。。。            
(4星)	 诶哟，对这个的印象还蛮深的。方中信现在还是那么帅啊。            
(3星)	None
(4星)	 詹小楠妆太浓了。没见过她素颜的嘴唇。            
(4星)	 那是很喜欢方中信            
(NA)	 小时候很欢喜杨恭如的啊            
(3星)	 又是小学里躲着偷偷看滴~~            
(4星)	 当年看了好几遍。            
(4星)	 项链都好棒啊！！！从此开始了爱大叔的路啊！！方中信啊！            
(3星)	 吴倩莲不太适合演偶像剧。            
(4星)	 觉得很好看啊            
(4星)	 记忆总是美好的。            
(NA)	 记得杨恭如，三姐妹什么的~            
(4星)	 算是我年少时看过的印象最深刻的片子之一了，各种狗血的剧情，什么私生女千里找爹啦，金饰设计大赛一不小心就拿了第一名啦，还有莫名其妙赖上钻石王老五，钱债肉偿最后还真的产生感情。。。雷是雷了点，不过看的时候还是会让人很喜欢的，算是中国大陆最早的偶像剧，和将爱情进行到底差不多，可是却没有            
(5星)	 本着对当年程天佑无语伦比的大爱，回忆那一年若兰的幸福            
(3星)	 原来我看了那么多有李亚鹏的戏啊。。。鸭梨好大            
(3星)	 小时候~            
(NA)	 突然想起来了            
(4星)	 还记得主题曲呢T T            
(5星)	 最近老想起这部电视剧 名字都差点不记得了。            
(5星)	 好看~难忘~方sir的经典            
(5星)	 n多年前看的 今天忽然想起来了。。十年一瞬啊&gt;&lt;            
(5星)	 和撒尼谈起方中信后，发现启蒙原来都是这个片子……为了儿时的记忆给它多点星……            
(5星)	 小的时候找疯了的一部电视剧~不知道现在再看会怎样~            
(NA)	 童年的回忆啊~~~            
(3星)	 连剧情都忘了！我只记得有3条项链            
(NA)	 本来戏里姑姑发型就不怎么好看 这海报上更不好。若兰性格太中意。            
(5星)	 小时候超爱~            
(4星)	 我有多喜欢杨恭如，多讨厌吴倩莲啊            
(3星)	 还是喜欢杨恭如 不管别人怎么说            
(5星)	 相当经典!!怎么不重播..?            
(4星)	 我还记得配套的黄金链子            
(4星)	 终于想起这片名了            
(4星)	 好遥远的回忆~~最喜欢吴倩莲和方中信的角色了！            
(3星)	 方中信那是相当地帅啊！            
(3星)	 话说那天突然想起来小时候的我还看过这么一部电视剧……而且还是天天风雨无阻的准点守候……            
(3星)	 方中信方中信！！！            
(5星)	 那年夏天 去看望在部队当兵的舅舅 和远房姐姐一起看 她那时喜欢方中信 更爱谢霆锋 我后来才发觉她看男人眼光真好            
(5星)	 不错~~            
(3星)	 这三根项链现在又红起来了            
(5星)	 和将爱情进行到底一个时期的电视剧，从那个时候开始喜欢杨恭如            
(NA)	 没看完 有机会再看一遍 很好看            
(4星)	 特喜欢吴倩莲跟方中信那部分            
(3星)	 小时候看的，剧情已经全部记不得了。只记得三个女生和日月星的项链。还有吴倩莲和方中信在里面是一对。当年的方中信就很有魅力了。            
(5星)	 方中信简直帅翻了            
(4星)	 对李琳和杨恭如这对姐妹印象特别深。            
(2星)	 挺雷的其实。初中时和女同学激烈讨论过到底是情牵日月星里的成熟方中信更好还是火枪柔情里的花花公子更好。我当然是选kelven，w            
(3星)	 星星月亮，方中信蛮MAN的            
(3星)	 “我看着傻傻的落叶 在无声无息地蔓延 一片一片 沉入心田.”             
(4星)	 那个时候觉得她们三个好开心。。最喜欢里面三条代表日月星的项链~            
(4星)	 那时我多么地青葱...            
(3星)	 大爱片尾曲            
(4星)	 三个女人一台戏，，恩            
(4星)	 初中时，很爱看，以当年喜爱给4星            
(4星)	 很美好的一部爱情戏~现在已经很难找到            
(4星)	 好早的电视了            
(4星)	 小时候看的了。印象最深的是3个主角的日、月、星项链            
(4星)	 当年花痴            
(5星)	 记住了詹小楠！当时太喜欢看了，后来见见女生们的脖子上开始看见了黄金“太阳、月亮、星星”吊坠。我也好想有一个啊！            
(4星)	 当年的方中信真是帅啊，角色相当的讨喜。。。            
(3星)	 就记得那项链了            
(3星)	 其实还蛮细腻的~            
(3星)	 借着电视剧卖项链            
(3星)	 小时候看的            
(3星)	 剧情有点忘了，只记得当时很喜欢那里面的项链，觉得好美。            
(5星)	 对她们三个的日月星首饰念念不忘  小时候觉得设计的好漂亮            
(4星)	 当时可爱看了~            
(4星)	 因为这部剧  知道方中信  但是后来就其他的戏再没什么感觉 特别喜欢 吴倩莲的短发造型 还有一身的打扮  只记得他们在一起 含蓄而内敛  还有三颗吊坠            
(5星)	 还能记得方中信对吴倩莲说“不要抱我太久，我害怕我会舍不得放你走”，是不是太肉麻了。又是一部暑假跟外婆一起看的电视剧啊            
(4星)	 是在这里第一次听到《爱之初体验》么            
(5星)	 当时超级喜欢的一部电视剧~喜欢吴倩莲扮演的角色,一直觉得方中信很帅            
(3星)	 记忆中的。。。            
(2星)	 为了它买了根链子//////            
(3星)	 小学没转学之前看的，很久远了貌似。之记得方中信这大叔太稀罕人儿了。            
(4星)	 一直记得里面那个笑话            
(4星)	 儿时的回忆&lt;二&gt;            
(3星)	 小时候看的            
(4星)	 ——看不出来你还是蛮心疼这辆车的嘛！——不是蛮！是非常！！            
(3星)	 现在想想好言情~~~~            
(4星)	 小时候看的，还记得方中信很帅            
(4星)	 又小时候，加一颗            
(3星)	 项链~            
(5星)	 那首彭妮唱的歌特别好听。只是再也没有找到。我看见沙沙落叶 在无声无息地蔓延 一片一片            
(5星)	 谁说吴倩莲丑，她的角色里最爱的就是这个倔强有个性的桑若兰。记得当时看这戏纯粹就是为了看她和方中信两人的戏了。很般配很有感觉，有小火花四溅。杨恭如很美，无人有异议，但是和李亚鹏在一起怎么看怎么不像那回事。詹小楠就不说了。            
(3星)	 就是这部戏让我觉得放中信一个长相普通的男人居然会越看越帅，实在太奇怪了            
(4星)	 是的是的。突然想起来了这部片子。什么都不记得。就记得太阳月亮星星的。            
(NA)	 方中信诶方中信～            
(4星)	 话说。曾经我很喜欢这部片子呢。三个女生。星星。月亮。太阳。依稀记得杨恭如是月亮。我也是从这部片子记住杨恭如的。当然。印象深刻的是三条链子。觉得很好看的。            
(NA)	 方中信啊方中信~~            
(2星)	 这部片子让我认识了方中信            
(4星)	 从这里开始喜欢吴倩莲  方中信好帅            
(NA)	 里面简直就是做珠宝广告的            
(4星)	 不错的金饰广告剧            
(3星)	 歌好听            
(NA)	 没人觉得詹小楠也挺PL的么            
(3星)	 美好的回忆            
(4星)	 爱上方中信            
(3星)	 以前的片子看过都跟没看过一样......            
(3星)	 主题曲很好听            
(3星)	 当时老庙黄金的情牵日月星很红啊，喜欢sky            
(5星)	 方中信和吴倩莲啊！！！            
(3星)	 14岁的时候晚饭后和她一起看，被问到你像太阳，月亮还是星星呢？            
(4星)	 女人们都很美            
(3星)	 童年回忆，方中信其实蛮帅的            
(5星)	 因此喜欢上方中信            
