http://movie.douban.com/subject/3546595/	圆月弯刀 圓月彎刀
(3星)	 不错            
(3星)	 还是早期的古天乐帅            
(NA)	 恩，不错。就是很哀伤            
(3星)	 这不是那啥剑侠情缘的月影传说的剧情么            
(1星)	 江湖上每天都在重复着以前发生的故事，争斗、仇杀、正邪对立。。越往后看，越觉得很狗血。古龙的作品就是不大气。唯有里面的渡边宙明插曲很好。我给这一分完全是给在插曲上。            
(4星)	 冷豔            
(4星)	 黄花树下，不见不散…  为了古天乐和梁小冰的四星            
(5星)	 大爱的港剧，深情加忧伤，歌儿也好听。            
(5星)	 当时很爱看的            
(3星)	 后来古仔就黑了吧            
(5星)	 十年，看一遍哭一遍            
(4星)	 看过好几遍。。。。            
(4星)	 这段时间在重温的老片 ~ 哎呀 古天乐白白的时候也帅死了            
(3星)	  书比电视剧更好看啊            
(NA)	 小印象            
(4星)	 伍咏薇的片尾曲真是很棒！            
(4星)	 笑，当年记不记得偶也有一把圆月弯刀?            
(5星)	 我看过最美的武侠片。有一种诡异的气氛。含糊的氛围。真的很美。画面感很压抑很阴暗，连主题歌都那么好听。。。            
(4星)	 好像第一次看到改编胜过原著的剧            
(3星)	 古天乐好白 啊~~            
(3星)	 剧情有点诡异 反正和原著不搭            
(4星)	 满阴暗的故事 古仔帅呀            
(4星)	 “小楼一夜听春雨。”“黄花树下，不见不散。”            
(3星)	 好像一般，梁小冰真好看            
(4星)	 忘记结局了            
(4星)	 黄花树下，不见不散。            
(3星)	 爱就是付出和容忍、、            
(4星)	 古仔的古装扮相也很帅            
(NA)	 看过但没看完            
(4星)	 影响我很久。。。。呃。。            
(4星)	 那时超煞古天乐的丁鹏！主题曲忒喜欢了！            
(4星)	 那时候的古先生白得不可开交...            
(4星)	 好看            
(4星)	 儿时半夜里看的回忆~            
(5星)	 這算是演員搭配最nice的一部了，這裡面的古仔才真正的帥斃了            
(5星)	 经典武侠剧，小时候的回忆。            
(4星)	 很有意境~            
(4星)	 难得古龙的东西能拍出点古龙味来            
(NA)	 剧情不咋，有古就行            
(4星)	 青青真是美极了            
(NA)	 喜欢古天乐因为他一生一邪。眉宇间很让人难忘。            
(NA)	 鼎盛一时            
(4星)	 伍咏薇的主题歌很好听            
(4星)	 遙遠的記憶，只記得復仇的古天樂，感覺到了徐飛的影子            
(5星)	 少时最爱的电视最喜欢的丁鹏            
(NA)	 不好看            
(5星)	None
(3星)	 这是我最后看的一部温碧霞的电视剧吧            
(3星)	 我喜欢的是梁小冰哎            
(3星)	 编剧跟脑残一样，一星给白古的颜，一星给青青的温柔，还有一星是凑数的            
(NA)	 跟原作比改动好大……            
(4星)	 那时候的古天乐真是帅得天昏地暗，日月无光吖！（符号号号号号语：玉树临风 英俊潇洒 颜如宋玉 貌比潘安 玉树临风 风度翩翩 面如冠玉 目如朗星 鼻若悬胆 唇若涂脂 长身玉立 风流倜傥 剑眉星目 神明爽俊 雅量非凡…这些在小说中存活了多年的词语可以在脱离小说之后依然存在，古天乐做出了巨大的贡献）            
(4星)	 基本上有古天乐的 都看过  还是小白脸时代  超帅             
(4星)	 丁鹏帅到惨绝人寰            
(3星)	 看着你现在的样子都快忘了你当年是如此的玉树临风，帅的天昏地暗，日月无光~            
(NA)	 就是冷冰冰            
(NA)	 那时候的古天乐啊！！！            
(4星)	 梁小冰还是很美的。。那个黄花树下我现在都记得啊。。            
(4星)	 十点钟放到十二点            
(3星)	 十年生死两茫茫，我还记得最后一集引用苏轼的《江城子》            
(NA)	 真心喜欢白皮的古仔，尼玛真是翩翩美少年不解释啊不解释……两个女猪一个小康型一个贤妻型，不知道为毛还是喜欢小康型……            
(4星)	 古天乐古装无敌 到现在还记得黄花树下不见不散 温碧霞美艳无敌            
(3星)	 哈哈 这个 真的是有够久远的了 久远到 我差不多 6 7岁把 哈哈            
(4星)	 我记得小时候租这套叠碟 舍不得还             
(4星)	 年份太早了  演员我都蛮喜欢的。就是离小说改编的太远了。。最讨厌天涯老是那这个说帅，晕            
(4星)	 这部剧是古天乐帅的巅峰……            
(5星)	 其实只能打四星。。但是但是。。那个时候的古天乐啊。。。各种好萌。。。好多画面都养眼得让人忍不住说啊啊啊。。。于是色色的多给了一星。所谓颜控真的是没有道理啊没有道理。顺便梁小冰的气质大爱啊大爱。败笔。。。温碧霞和古天乐对戏的时候。。我总觉得他们的关系是母子啊母子= =|||            
(4星)	 古仔的颜~            
(4星)	 很有古龙意境的一部,特别是黄花树下的场景很唯美,主题歌也很好听,不能理解的是丁鹏,知道弯刀的秘密后有必要那么纠结吗?正邪只在一念间,当年是正派的伪君子害他走投无路,是魔教的真小人救他一命,这么快就忘了,所谓正邪是根本分不清楚的吗?            
(NA)	 怎么又去看了            
(4星)	 都是美人            
(NA)	 女主角不好看！！！古龙的小说真是不适合拍电视剧            
(4星)	 大多人喜欢秦可情，我却自始至终最爱青青。犹记得她瞎了眼找到丁鹏却被赶出，黑暗的街道上，丁鹏看着瞎眼不便的她满眼的痛苦却还是选择离去。她就像是小河流水，翻不起风浪，却让人平静。所以最后的最后，也只有她才是丁鹏的归宿。            
(3星)	 梁小冰很好看            
(3星)	 那时候真嫩            
(3星)	 这部小说是我看的古龙的第一部，所以印象一直超好。。但是看到电影以后不得不说和小说差距蛮大的。。就像一千个人心中有一千个哈姆雷特一样，每个人心中的圆月弯刀都不一样吧。。            
(NA)	 2010-11-27            
(4星)	 记得最清楚的反而是伍咏薇唱的片尾曲。            
(4星)	  古天乐 TVB 梁小冰             
(5星)	 小时候啊！！！印象非常深的一段是温碧霞一只手抓在悬崖上，只要古天乐不去拽她，肯定嗝屁！记得温碧霞好像一直在陷害古天乐，看到这段，我就想，赶紧踹她一脚。让她死！让她死！结果~古天乐把温碧霞拉上来了！ORZ！我恨啊~~~~~~~~~~            
(NA)	 未看完, 因而惦记过.            
(4星)	 不错的武侠剧            
(3星)	 丁鹏的确不太招人喜欢，但是古天乐帅得惨绝人寰的颜弥补了一切。            
(3星)	 为何三位女角的性格都变了            
(2星)	 古天乐和梁小冰真水灵呀么真水灵！！！            
(4星)	 说真的记不清具体，但是记得很好看。            
(4星)	 当时很喜欢。            
(3星)	 温碧霞也是小肉脸嘛 真美            
(5星)	 武器太搞笑了。。。片头的字帅，女猪不给力。。。结尾烂。。。不过就是挺好看的。。。            
(5星)	 时间真是把杀猪刀，刀刀催人老。            
(3星)	 星星们全部全部打给丁鹏的颜！            
(4星)	 更喜欢白版的古天乐，粱小冰虽然塌鼻子，但真的很清新，温碧霞身上总有股自然散发的妩媚            
(4星)	 流光里面仰天卧 。古龙            
(NA)	 有点差，但是有帅哥可看            
(4星)	 电影拍的比原著还好            
(4星)	 小时候看的可来劲！            
(4星)	 后面有点像亡命客栈啊            
(5星)	 再也没有更加曲折复杂揪心的电视剧了。原著显得糟糕了。因为这个学的古筝。            
(4星)	 看了两遍的剧。古天乐最美的剧，但我真的是爱极了青青            
(4星)	 偶然提及此剧，小时候喜欢温碧霞，叭叭的看，看了又看原著，开启了古龙之门，古龙的武侠真不好拍啊。            
(4星)	 唯一看点就是古天乐的脸，（低头抹鼻血）...~但这唯一看点也够了（再次低头抹鼻血）~            
(5星)	 每个人都在自己的世界独白，人是个体人            
(3星)	 好不搭的男女组合            
(3星)	 都是月亮惹的祸。。。            
(NA)	 木看完            
(NA)	 我靠。。小时候最喜欢的            
(3星)	 半夜看的，古天乐好白            
(NA)	 丁鹏最帅！            
(4星)	 从开始的不知所谓到后来的波澜起伏然后又另一种不知所谓，前面为后面铺垫，后面变化诡异，心理素质不好真是扛不住···太阴暗了            
(5星)	 感觉比原著好看，古龙的原著，他的风格太多            
(4星)	 就为了古天乐那扮相也值这点星了!            
(4星)	 这么多年，终于看到了结局......            
(3星)	 在《神雕侠侣》大获成功之后，古天乐趁热打铁，推出了这部《圆月弯刀》，但可惜，令大多数观众失望了！            
(NA)	 其实我小时候挺喜欢看这个的            
(5星)	 片头曲超爱－－            
(NA)	 虽然看完了,就是不喜欢古天乐的电视剧,为什么呢,            
(5星)	 这片看的我压抑得很            
(3星)	 丁鹏这种男人，生来就该被为他心碎的女人诛杀尔后痛哭自尽的。            
(4星)	 只记得温碧霞好美            
(NA)	 古龙             
(4星)	 当年他还是个清秀锐利的小白脸&gt;&lt;            
(4星)	 梁小冰~~            
(4星)	 从此看古龙            
(5星)	 古天乐，我挺喜欢的  TVB的男明星            
(3星)	 黄花树下，不见不散            
(3星)	 印象有点模糊了            
(5星)	 小时候的回忆。             
(4星)	 初中的时候追着看过，当时觉得温真的很漂亮；个人是更喜欢古仔白的时候的扮相；这样的丁鹏让人又爱又恨            
(NA)	 其实该吧梁小冰和温碧霞换换～！            
(4星)	 很囧的剧 不过白古的颜实在是。。。            
(4星)	 哎，那时的古天乐真是帅的惊艳！            
(NA)	 很久以前..             
(4星)	 感觉这个上面的古天乐要比《神雕侠侣》里面的演得好            
(4星)	 话说以前觉得很好看            
(5星)	 二遍了，每次觉得视觉需要净化的时候，就得看白古。。但是弯刀明明是扔到海里了！最后在树林里捡着了。我觉得结尾巨仓促，从开了一个类似和平饭店的东西，到误杀媳妇这种俗桥段。梁小冰是我很难得无法讨厌的女主角，特怕她死，结果还是死了。╮(╯▽╰)╭！又入了呗            
(5星)	 还是那句话,古天乐超帅...就该活在古代...噢...温碧霞的秦可情也还是不错的            
(5星)	 古龙的剧很难改得好，这部算一个。            
(3星)	 小时候看了觉得复杂             
(4星)	 古龙            
(NA)	 这个！我真的看过！！            
(4星)	 黄花树下，错爱今生……就算结局狗血了我还是要说：TVB是神！            
(NA)	 小樓一夜聽春雨　　黃花樹下 不見不散            
(4星)	 小楼一夜听春雨            
(3星)	 温碧霞很美的...            
(3星)	 梁小冰的戏啊！！！即使我不喜欢这个剧情吧。。。            
(3星)	 印象已经不太深了 只觉得梁小冰挺美丽的            
(3星)	 为什么不能选择在看呢。            
(4星)	 不确定是这部伐&#34;薄如蝉翼一把刀...&#34; ?            
(4星)	 http://www.imdb.com/title/tt0426451/            
(4星)	 很诡异的武侠风格            
(NA)	 告别昨夜，很爱的风波。            
(4星)	 不错的电视剧            
(3星)	 为什么以前觉得那个梁小冰很漂亮？？？秀逗            
(5星)	 最喜欢的一部，古天乐和梁小冰            
(NA)	 好久没看过中文影片了,好久没看过古龙了...            
(4星)	 古天乐            
(5星)	 哇,,好久以前噢.好怀念那个时候说..            
(4星)	 超萌啊~“黄花羞作无情死”~            
(3星)	 就记住名儿了吧            
(4星)	 情节一般，8古给人迷离的感觉还好了            
(5星)	 情感描写很细腻 第一次看的主角是反派的电视剧            
(3星)	 还不错，能看看            
(5星)	 最爱的武侠剧系列            
(3星)	 那会的古天乐　演的古装剧都很热            
(4星)	 TT..过份，每次都看不到结局            
(4星)	 梁小冰            
(3星)	 圆月弯刀            
(4星)	 不错的演员            
(4星)	 黄花树下=0=            
(5星)	 丁鹏            
(4星)	 幽清小岛 忘忧你我            
(4星)	 觉得这是古仔演坏蛋最成功的一个。而且里面的梁小冰也很漂亮，俊男美女。            
(3星)	 哎            
(5星)	 一向不喜欢把原著改得面目全非的电视剧 但是这部的演员实在是大爱 演技太带感了 适合重温的经典            
(4星)	 当年的梁小冰真美            
(NA)	 帅的一逼！！！！！！！！！            
(5星)	 丁鹏，确实惊艳到我了            
(3星)	 温碧霞好美            
(3星)	 那时电视机里都是他            
(5星)	 最俊美的古天乐。最喜欢的梁小冰。            
(4星)	 古天乐当年帅的人神共愤             
(5星)	 从个人复仇到教派复兴，每一集都很精彩，这才是武侠片的经典之作            
(3星)	 以前的了，作补充。            
(5星)	 爱死梁小冰演得青青了，比温碧霞漂亮            
(3星)	 没法形容的一部剧。。。            
(3星)	 当时的古天乐哦~            
(4星)	 我更喜欢这部里的古仔            
(4星)	 捉摸不透秦可卿            
(3星)	 温碧霞真是美啊            
(3星)	 古天乐帅！            
(5星)	 古天乐的巅峰时期            
(5星)	 美貌无比的古天乐！！！！！！这部剧对我来说就意味着三个字==古天乐。。。【当时看温碧霞也觉得挺美貌的。。现在重看，在古天乐面前这算个鸟美貌啊~~~~   什么叫剑眉星目啊！！！！跟画出来的一样。。。 【唉。。那些年，我们一起追过的白天乐。。            
(3星)	 古仔演的坏人角色，喜新厌旧利用爱人，突破~~            
(NA)	 丁鹏！ 三星。            
(4星)	 古天乐真的是很帅唉。这剧和金庸的很不同，重人物心理的刻画，剧情什么的不是很经得起推敲。哥特式的音乐真的么的必要吧。亮点是古仔的颜。。。。。可情的脸太大了，不秀气            
(5星)	 小时候看过的都是经典好嘛            
(5星)	 古天乐在里面太帅了 可是为什么是丁鹏这样的角色 里面的秦可情 真的很打动人 真的是遗憾。。            
(NA)	 小時候的記憶啊。。             
(4星)	 古天乐年轻的时候真的帅了shi了好嘛！！！！            
(4星)	 当年古天乐还是个小白脸啊            
(3星)	 初中打架招式还以此为名。            
(4星)	 好像烂尾了            
(NA)	 梁小冰啊梁小冰             
(NA)	 一直认为丁鹏是白古颜的巅峰            
(4星)	 温碧霞啊温碧霞，太美了。从头到尾就是为了看她，可惜出场不是很多啊！！！            
(5星)	 童年            
(1星)	 这故事太虐了吧 都不符合正常人的思维了 每个人都太变态 真是恶心            
(5星)	 记不清了，好像是个悲剧            
(3星)	 原来古天乐出演的角色还真不少。。            
(4星)	 白古啊~~~            
(5星)	 油小时候看这个想嫁给古天乐            
(4星)	 记忆中很好看            
(NA)	 打豆豆            
(5星)	 青青太赚我眼泪了。。。            
(NA)	 以前觉得梁小冰好漂亮。            
(2星)	 剧情太拖沓了，不明白那个是怎么变成双刀的，不看了。。。引用个评论：丁鵬同學雖然非常不可愛，但是擁有至高無上將人瞬間轟殺至渣的顏！            
(4星)	 太爱古天乐了呱呱~            
(3星)	 蛮荒谬的剧情 没看完。梁小冰真美啊！！！            
(5星)	 当年超喜欢的剧，丁鹏和青青都超萌的，从这部剧里，第一次见识了古天乐，感觉超帅啊！剧中有残酷的欺骗，也有纯真无私的爱恋，当时看得心潮澎湃的，久久难忘。            
(NA)	 跟丁鹏比起来现在那些偶像剧男主角都是 shǐ 啊！！！ TAT            
(4星)	 可惜最后的自己补的没有编好            
(5星)	 冲着当年的古仔给五分            
(3星)	 温碧霞媚的叻            
(4星)	 厉害的兵器，薄情的女人            
(5星)	 武侠片是幼年大爱            
(5星)	 除了那十年，一直都在重复着悲剧...            
(5星)	 故事很精彩，人物饱满，大爱古古，剑眉星目呀            
(4星)	 结局减一星            
(5星)	 名利与真爱，只有在最后什么都经历过你才知道你想要什么，白白的古天乐俊美无敌，青青的纯洁哀伤，秦可情的痴缠与背叛            
(4星)	 擦，丁鹏啊。            
(5星)	 98年，这辈子第一个喜欢的男人——古天乐。          台词烂，剧情狗血，但是古天乐饰演的丁鹏已经弥补了一切……………………………………            
(5星)	 两周前看了第二遍。有新的感触。经典的TVB武侠片。            
(5星)	 个人认为这是古仔最帅的扮相！            
(3星)	 剧情早忘了，但是真真还记得古仔那时候的美貌。            
(5星)	 还是稀饭白皙的古仔！            
(NA)	 秦可情真是有病 自己先背叛他还怪他！神经病！！            
(4星)	 古天乐的表演太到位+温碧霞女神出场..            
(4星)	 算是改编的不错的古龙小说剧了。            
(4星)	 剑眉星目！            
(NA)	 早期的回忆            
(3星)	 那时年少各种剧~            
(NA)	 梁小冰当年清纯啊，温碧霞风情啊            
(4星)	 最后一集不喜欢，多余 我不想看着青青死            
(4星)	 温碧霞，梁小冰，古天乐。。三个都是悲情的不行的人，一个为爱扭曲的美艳女子，一个温润如玉的温柔女人，一个为名利着迷的男人。。最后只是一声叹息。。            
(3星)	 怎一个虐字了得            
(3星)	 黄花树下，不见不散。这个还是很美的，但是，但是，但是，丁鹏也改的忒无耻了些，配上古天乐最好的颜，真是看着来气。            
(4星)	 最后一集我当时没看到！！！遗憾啊！！            
(NA)	 印象多好的一部剧            
(4星)	 那时候古天乐拍了好多港剧，还是觉得那时侯的他比较帅。            
(2星)	 记得那个时候还蛮喜欢梁小冰的            
(5星)	 最帅版本的古仔，小楼一夜听春雨            
(3星)	 秦可情。            
(4星)	 其实印象还蛮深刻的！古天乐帅、温碧霞好娇媚啊~当初看的蛮吸引的            
(3星)	 被温碧霞秒到 黄花树下 不见不散~~~            
(3星)	 古天樂你好白            
(3星)	 记不清了            
(5星)	 真实男人的写照~            
(4星)	 哎呀。。。            
(NA)	 剧情啊！！！！            
(5星)	 我的最爱，百看不厌            
(4星)	 古天乐的戏我最爱这部，个人感觉扮相帅过杨过            
(3星)	 白白的古仔~            
(4星)	 那时候的古天乐让帅得还是小萝莉的我惊叹 哈哈            
(4星)	 纺织忙~            
(4星)	 很邪典的武侠啊..古龙真是剑走偏锋            
(3星)	 小时候还视圆月弯刀为神奇，囧~            
(5星)	 小白脸古天乐的经典之一~            
(2星)	 丁鹏真是坏的可以。太虐心了。            
(5星)	 梁小冰！            
(4星)	 古天乐你那时多帅！！！！！尼玛怎么现在残成这样！！！！            
(4星)	 白古的颜真是美好的前无古人后无来者啊~ 我还是不能把黑的和白的想成是同一个人 梁小冰很美的 这个结局实在太坑了            
(NA)	 美丽的青青，善良的青青            
(4星)	 不说什么了 很好看 经典。。。            
(5星)	 秒杀一切的古天乐，即使后来我已不记得他的名字叫丁鹏。            
(3星)	 古天乐、梁小冰、张兆辉都演过我最喜欢的角色（项少龙、阿珂、杨逍...）只是这部里都不怎么样~（虽然丁鹏很帅，有一点杨过的感觉，）节奏很慢，有些地方莫名其妙            
(5星)	 好美！里面的主演我个个喜欢~            
(4星)	 古天乐帅死了            
(5星)	 老的tvb武侠片就是经典，我又开始怀旧了。            
(3星)	 那时候只是单纯的觉得丁鹏是个薄情寡幸的人            
(4星)	 玉树临风 英俊潇洒 颜如宋玉 貌比潘安 玉树临风 风度翩翩 面如冠玉 目如朗星 鼻若悬胆 唇若涂脂 长身玉立 风流倜傥 剑眉星目 温文尔雅 剑眉入鬓 眉目疏朗 丰采高雅 神明爽俊 雅量非凡……            
(3星)	 冲着古仔看下去的。            
(4星)	 小时候觉得老好看了            
(4星)	 前面十集  很好看    后面很不好看            
(5星)	 白白的他真的是无敌了，温碧霞和梁小冰都好美            
(5星)	 对于古龙的，我总是感觉味道很重            
(2星)	 看过原著 才知道改编有多悲剧            
(4星)	 其实我喜欢白色的古天乐            
(3星)	 都无感            
(3星)	 把丁鹏编成了一个混蛋，开头一直到逃出忘忧岛部分都很精彩，后面却越来越没诚意。会是收视率的关系导致这个故事草草结尾吗？            
(5星)	 四星半，丁鹏一开始的“天外流星”，然后得到圆月弯刀称霸武林，继而发现阴谋隐姓埋名，最终与岳父同归于尽，比小说精彩多了            
(5星)	 黄花树下，不见不善。            
(NA)	 这里面有东北一家人里的那个母老虎            
(3星)	 这部和神雕里的古天乐，个人认为是他最帅的时期，真是风流倜傥，赛过潘安，不过剧情已记不清了，虽然当时似乎每日必看。            
(4星)	 喜欢青青            
(3星)	 看过一集~            
(4星)	 真的是清新系列的美女帅哥，以前的人哪，怎么都那么好看，是那种真诚的演绎。            
(4星)	 古古~~~            
(3星)	 每次我喜欢的2个人都不会在一起            
(4星)	 好            
(3星)	 演了啥？            
(5星)	 经典            
(5星)	 其实...我还是喜欢白白的古天乐~这部剧整个调调貌似很悲情，记得当时看还被感动到不行~            
(5星)	 温碧霞            
(5星)	 世上没有忘忧岛 没有无命客栈 有的是故事  有的是那句 小楼一夜听春雨            
(4星)	 古天乐太俊美了！            
(4星)	 小楼一夜听春雨。古龙的结局总是那么伤悲。            
(2星)	 白古和梁小冰。            
(5星)	 小时候的偶像啊！最爱古天乐的一部戏就是圆月弯刀，大爱丁鹏这个角色            
(5星)	 青青！我的青青！            
(4星)	 就算丁鹏很渣他还是很帅。            
(3星)	 古天乐那叫一个帅。            
(4星)	 古天乐你要不要再有型点            
(NA)	 应该重看一次的            
(4星)	 如果复仇其实没有快感可言 那要怎么才能化解            
(4星)	 古天乐在里面帅的像雕像            
(NA)	 年轻的古天乐  好嫩啊啊啊啊啊            
(5星)	 配乐 对白 色彩 人物塑造都很经典。。。后来的月影传说就是借鉴了这里的剧情吧             
(NA)	 多年前不知所云，多年后才知是古龙作品。            
(NA)	 人最喜欢梁小冰了~…            
(4星)	 过儿阶段的作品啊，当年真是帅啊            
(4星)	 都不太记得剧情了            
(5星)	 玉树临风 英俊潇洒 颜如宋玉 貌比潘安 玉树临风 风度翩翩 面如冠玉 目如朗星 鼻若悬胆 唇若涂脂 长身玉立 风流倜傥 剑眉星目 温文尔雅 剑眉入鬓 眉目疏朗 丰采高雅 神明爽俊 雅量非凡……+0612            
(3星)	 梁小冰饰演的青青让我耿耿于怀            
(5星)	 古天乐太帅了            
(4星)	 操！太帅了！            
(4星)	 白古最帅的片子             
(5星)	 古龙这部真的好深刻            
(5星)	 “小楼一夜听春雨”难忘            
(2星)	 又是为了古仔而看滴...            
(4星)	 就是后面有点莫名            
(3星)	 当初纯粹是看古天乐，才看了这部烂剧啊烂剧~            
(5星)	 突然想起你            
(3星)	 毕设完 寝室 ftp 2011.6.11-6.13又 爱青青。负谁不能负青青。感谢导演让丁鹏和青青一起走过了那十年，这也是唯一的亮点。            
(4星)	 其实我是冲着古天乐去看的            
(4星)	 我一直很喜欢古大帅哥            
(3星)	 把原著那点精神都改没了，本来想两星的。奈何古仔帅得石破天惊……            
(4星)	 梁小冰美死了啊            
(4星)	 青青啊青青。白古颜最好的时候。            
(4星)	 白白的古天乐啊！            
(5星)	 面如冠玉。丁鹏。经典的回忆。还有梁小冰、温碧霞。都爱            
(5星)	 古天乐太帅了            
(5星)	 tvb少见的制作精致的作品，唯美而深刻            
(3星)	 好纠结的男性心理。此剧的女子都格外美好，男的都格外无耻。幸好有最后美好的十年稍微宽慰，却最终仍是悲剧结尾。。。            
(5星)	 哎~~我愿再看！            
(4星)	 印象很深，片尾曲好听            
(4星)	 虽然觉得剧情很狗血可是感觉这部剧是古天乐帅到巅峰的时候！            
(2星)	 1            
(3星)	 看得我一头雾水啊小时候。。            
(2星)	 ……就记得温碧霞和那把我怎么看都会砍到自己的刀了= =            
(4星)	 小学一年级看的，当时总是YY自己是丁鹏，然后自己的同桌是....            
(4星)	 我挺喜歡的。我就喜歡他白的時候。那時候梁小冰我們都挺喜歡的。莫名其妙就看她舒服....還喜歡伍詠薇那首意難平。我就記得謝曉峰見到他娘子的那一幕...哎，多美好            
(3星)	 故事剧情一般，人物性格也不讨喜，权当欣赏小古了。            
(4星)	 古天乐白的时候好帅            
(2星)	 依稀记得是小学的时候~~~            
(4星)	 帅的巅峰时期            
(5星)	 这么多年了还是记得那句“黄花树下，不见不散”            
(4星)	 古天乐你还是回TVB拍电视剧吧...不要再拍电影害人了...            
(3星)	 不喜古龙。古天乐咋看咋帅～            
(3星)	 其实我当年觉得很好看的 看来是年少不懂事            
(5星)	 改编非常成功，主演选的很好            
(5星)	 结局看得我好伤心啊            
(3星)	 秦可情比原著戏多多啦            
(5星)	 这绝对不只是武侠而已。            
