http://movie.douban.com/subject/1763607/	巴厘岛的日子 발리에서 생긴 일
(5星)	 纠结            
(4星)	 不管结局多雷这部剧让我发现了可爱的寅成            
(4星)	 一定要死光光么            
(4星)	 我是很喜欢那两个男猪啦……            
(3星)	 死光            
(3星)	 为了苏志燮去看的，看得时候挺悲            
(4星)	 赵寅成的表演太赞了！            
(NA)	 完美            
(3星)	 悲剧            
(5星)	 短篇韩剧中我的最爱！            
(4星)	 05年？星空卫视播的。。。刨去韩剧节奏过慢的通病，其实满好看的。。。辛苦度日的人都能找到各自的共鸣点吧，里面的音乐也在我mp3里放了好久。。。            
(NA)	 对剧情的记忆已经模糊了，但是看到这个名字心里还是惊了一下，如果没记错的话，自从看完他，再也不敢看结局不好的剧了：（            
(5星)	 仁旭是水晶一直想爱上却最终没有爱上的男人；在民是水晶一直不想爱上却最终爱上的男人            
(4星)	 音乐用的滥死了，结局给力            
(2星)	 几个演员还真会哭~~剧情我实在不能理解~~为了看河智苑            
(3星)	 我没看，看片段就不太喜欢赵同学的哭样。。。            
(4星)	 又悲情了……话说赵仁成看到最后还挺帅的……            
(4星)	 赵仁成帅啊帅啊帅啊帅            
(4星)	 这个结局太狗血了，编剧很前卫            
(4星)	 哦，我想给零分。因为你们都死光了，害我又空落又愤懑。            
(5星)	 赵仁成怎么能这么帅呢            
(4星)	 纠结的悲哀！人生何必如此？            
(4星)	 结局不好小赵每次像孔雀一样的出场小赵的脾气正如翻脸比翻书还要快            
(3星)	 三颗星是给赵仁成的，苏志燮越来越不行了。            
(NA)	 被人家说像XXX才去坚持看了这出韩剧，结局啊结局啊。。。            
(5星)	 给在民的单纯。            
(5星)	 啊啊啊啊  爱上赵寅成了成成昂呜呜呜呜 最后那段 我看几次那表情 我都哭的歇斯底里            
(NA)	 MD纠结死人了，赵仁成            
(4星)	 一路看来都搞不清楚女主角究竟爱谁 什么烂结局= =+ （赵仁成真惹人爱）            
(3星)	 有人见过比这还扯的电视剧吗 完全为虐而虐 期间没有一次看明白过女主喜欢谁 一会为这个笑 一会为那个哭 到最后才说出来 扯完了 编剧是不是后期自己也抽了            
(4星)	 只是推荐大家看看搞笑的美秀和帅哥们。。剧情真是二到家了。。害得我还熬夜看了20集！！！呀！！！小背包造型真是经典~            
(5星)	 看了第二遍了赵仁成 帅。居然又HC了 汗！！！            
(NA)	 由于对本片理解偏差，导致对男一一角确定的偏差。            
(4星)	 那时候纠结与两个男主之间...            
(4星)	 通宵看了一遍.....一个冷一个热 都是好男人啊......T^T            
(3星)	 第一次被背双肩包的男人打动            
(4星)	 赵仁成的演技一流，4星是给他的。            
(5星)	 他们都是爱死的！！！            
(5星)	 我最最最最喜欢的韩剧。很早了，很经典。我觉得是我看的韩剧里面最悲的一部剧。也因为这部剧发现了超级可爱的赵仁成。西装外套+喇叭裤+双肩包+运动鞋 超cute的搭配            
(3星)	 2009.5 从南方回来 剧里竟然提到葛兰西            
(2星)	 很烂的剧情，两星全给赵仁成！！其实他的外貌我觉得应该给五星的。。。            
(3星)	 太虐。。。我只是为了花痴帅哥            
(5星)	 好看，经典，赵仁成还不错啦            
(5星)	 现实悲剧！            
(4星)	 看了之后，不可自拔的爱上了赵仁成歇斯底里的演技啊！            
(4星)	 唯一看过的韩剧。就喜欢那姑娘的小贪心又小矜持，乐死了。……最后爱上赵仁成！我就喜欢衣服架子啊啊啊！            
(4星)	 结局.太意外了...            
(5星)	 仍然是灰姑娘的故事。但这里的王子除了一副皮囊和一颗真心外一无是处，灰姑娘虽然是一如既往的倔强，中途却放弃过尊严。这个角色很复杂，很难看出真心，直到最后的最后。总之王子被虐的相当的惨。结局是全灭。王子亲自动手，杀掉了床上的女主和男二，然后在美丽的巴厘岛自杀了。首尾呼应，凄惨的很。            
(2星)	 不是我喜欢的类型。            
(NA)	 压抑，但我喜欢。            
(5星)	 看过最多遍的韩剧            
(5星)	 赵仁成啊!!!!!!!!            
(NA)	 经典韩剧，每看必哭。            
(5星)	 2个帅男人。。。            
(5星)	 喜欢赵仁成才看的呢!!呵呵...            
(NA)	 从此爱上成、、倾国倾城。            
(5星)	 很现实。很残忍。很无奈。            
(5星)	 第一部喜欢的韩剧            
(3星)	 不愿看到的悲剧            
(5星)	 这是最后的城墙            
(NA)	 让人相当莫名其妙的韩剧。帅气的小开，苦命的大叔，一个让人永远不知怎么想的女主角；一段莫名其妙的三角恋；一个悲剧的结局。看完之后，只有二个字：郁闷！（直到看完3年后才知道，女主角是情色片《色即是空》的女主角。）            
(4星)	 爱到死，还有什么意义            
(5星)	 除了结局，一切都是很赞的！            
(4星)	 残忍的爱情            
(NA)	 飘忽的结局...            
(5星)	 星空卫视看的            
(NA)	 看这部剧集的收获就是认识了赵寅成，但之后他一直没有出色的作品，令人惋惜。            
(NA)	 【2004-01-03】            
(5星)	 神秘的岛，最后的天堂。            
(5星)	 这么些年了再看还是会内牛满面啊。。。我心中最好的韩剧。            
(5星)	 拉风推荐看的 对于一个讨厌韩剧的人来说 这个也可以有            
(4星)	 5系好记的剧情，好耐之前噶剧集，净系记得赵仁成好正，最后悲剧收场            
(4星)	 看第一集的时候 觉得很揪心 没想到后面的每一集都比前一集要纠结揪心 整整看了一星期才看完 最后三人自杀才得到解脱 编剧写的时候估计痛苦死了            
(4星)	 我从苏志燮刚出道时就对他有种近乎爱惜的好感，却因为一直抵触赵寅成而迟迟没有看这部戏，偶然机会看了这戏才恍然明白原来是因为他有些像某人。爱情的自尊啊。何智苑那时就演了这灰色版的秘密花园。            
(4星)	 另类韩剧，再没有韩剧悲过此片            
(3星)	 虐死。孩子气的爱情。无数次想抽女主，当年的河智苑还真丑，结局真恶心。            
(3星)	 太虐了。。。            
(5星)	 那个时候他还叫赵仁成，至仁至成            
(NA)	 小时候看到结局云里雾里的 这三人怎么就全死了~现在明白了            
(4星)	 我喜欢苏志燮，河智苑，朴艺珍，刚好这部剧有他们，我就来看了。。。无比纠结的一部电视剧，我虽然喜欢这四个演员，却无法喜欢其中的任何一个角色。            
(4星)	 河智苑 苏志燮 赵寅成 巴厘岛的日子             
(NA)	 只是觉得很恶心。            
(4星)	 一部彻头彻尾的悲剧。这样的结局太惨不忍睹了....            
(4星)	 结局。。。。            
(4星)	 太现实。太残酷。一点希望都不留。这是不道德的。            
(4星)	 哇多久前的事了 我媽自此劇後就一直記著趙寅成了 哈哈哈            
(5星)	 虽然是老片但还是很入戏的            
(5星)	 韩国爱情剧拍成这样真是大突破啊！编剧继续后妈下去吧，不然韩剧没救了。            
(2星)	 也只能在那个04年。            
(3星)	 没看下去            
(3星)	 虐剧？反正忘光了            
(4星)	 编剧有点过了= =|| 不知道为什么我就是看河智苑这张脸不顺眼..囧...大概审美差异            
(4星)	 搞这么悲催有意思么。            
(4星)	 心脏承受能力差者勿看我活该先看结局太失望了不过赵仁成是个好演员发自内心的            
(NA)	 河智苑你怎么什么都能演。。            
(5星)	 这部电视剧被我下载下来存在移动硬盘里已经有3.4年了，因为耳闻他的残忍，几年前看了几集便停了，但是对赵仁成印象很深，由此成为他的影迷。现在刚刚拿起来，准备看完，毕竟白夜行也很残忍我都能咬着牙看完，相信这部戏也可以，而且看过绝对不会后悔。现在看完了，可以肯定地说，这是我最爱的韩剧了            
(4星)	 成成演得不错呢到是苑苑没有现在演技成熟呢            
(5星)	 秘密花园更新太慢。。。我只得重温一下苏大叔，希望可以缓解一下被玄彬电的死去活来之苦！！            
(5星)	 成成每次捂着嘴痛哭的时候我的心都碎了            
(3星)	 ····我当时真的迷恋过赵寅成~（掩面~）            
(5星)	 我喜欢的纠结到死的题材            
(5星)	 想起以前了，哭死我了!!!!!            
(4星)	 赵仁成也是招人爱的男人哪。。那高度，还是在有气质的男人身上才能表现出来。当年的河智苑只是一个不精雕琢的小丫头而已。剧集里面打破“灰姑娘”梦想的语气很鞭辟入里。            
(5星)	 “在民的玲珑心”……哎哟，短期内没法再看第二遍了，实在不忍……唉……赵寅成同学，你的演技让我深深拜倒            
(5星)	 TAT很喜欢很喜欢            
(4星)	 虐死我的小心脏鸟~~~~~~赵仁成帅的没天理鸟啊~~~~~~~            
(5星)	 如果他成熟点，是不是结局就不一样了？            
(4星)	 太帅了！！！我晕            
(3星)	 5/6年前看也许会很感动            
(3星)	 有人强烈推荐。。看了之后不是很感冒。。但是赵仁成真的是太有型太帅气了。。            
(2星)	 又开始看韩剧了，因为苏志燮对朋友的那份友谊让我继续NC吧            
(4星)	 女主演技太烂，四星是打给赵仁成            
(5星)	 看了剧透 虽然知道很虐 但还是看了 这就叫自作孽            
(3星)	 休闲            
(2星)	 如果不是为了看赵仁成，都只想给一星。天哪，这什么狗血剧情，莫名其妙的四角关系，两男主为了一个女人要死要活的，最后还三人同归于尽。唉，只能看在赵仁成演技加脸蛋身材的份上勉强给两星。当年还很期待的说，幸亏没看。真搞不懂怎么这么多人给五星。            
(4星)	 喜欢上赵寅成，结局有些雷人            
(3星)	 没感觉 男女猪脚都不喜欢            
(NA)	 感觉还不错，赵仁成挺拽的……            
(5星)	 下载收藏ing            
(5星)	 要我如何不为你落泪，赵寅成            
(NA)	 伤了            
(3星)	 越来越看不懂此类片子~~            
(4星)	 去巴厘岛前看的，其实跟巴厘岛真没太大关系。猴子那段确实是那样，巴厘岛的猴子都是流氓~~~            
(5星)	 我心目中完美的成成～～～            
(5星)	 我一直不知道我为什么这么喜欢河智苑            
(4星)	 原来是这样            
(4星)	 看完结局难受死我了            
(4星)	 赵寅成，绝对的实力偶像派啊。            
(5星)	 韩剧虐恋第一名，赵寅成永远是我心中韩国第一帅哥。。。            
(4星)	 女人的眼泪是最温柔的杀手            
(NA)	 老套的三角关系，宏大的剧情，扯淡的结尾。            
(4星)	  因为无限hc赵童鞋翻出来看的            
(4星)	 会让我想起陈智炜。            
(4星)	 赵寅成绝对美男的一部片子，可惜不喜欢女主角，所以没有看完。。。            
(NA)	 冲着赵帅哥而来，这是唯一看完的韩剧。不得不说，韩剧真是拖拉啊，剧情真是无聊啊，苏那个什么长的太恶心了，枉一群女人还得昧着良心说好帅啊好帅啊。媳妇和我意见一致，赵寅成太TMD得帅了，那个女主是TMD的脑子烧坏了。另一个无视。            
(4星)	 实在是太悲了呀 胸闷的            
(5星)	 看这部剧的人应该没人会不喜欢赵寅成了吧o(∩_∩)o...            
(5星)	 我很喜歡的一本韓劇吧，有點糾結            
(5星)	 赵寅成的帅   结局好那个哦            
(3星)	 太虐人了。。。不想再看第二遍。。。。            
(5星)	 很久之前看过的。最近三天跳跃式温习了下。            
(5星)	 哭死            
(NA)	 赵仁成很帅。其实我一直认为秀贞心底爱的是在民。却直到最后一刻才肯表露。            
(4星)	 很狗血的结局至今让我都难以忘怀。。。尤其是去过巴厘岛后= =            
(5星)	 已看4遍，喜欢每一位            
(NA)	 前几集我也看的有点莫名其妙            
(4星)	 看得我心里好闷好闷啊！！！很喜欢赵大叔的演出            
(5星)	 当年这部.....爱到死！            
(5星)	 还记得剧情。            
(5星)	  赵寅成很帅很帅，但是说实话河智苑在里面的脸好像被水泡涨了，演金三顺都可以了.......            
(5星)	 我是那么讨厌金鱼眼男人            
(5星)	 嗨呀。。。赵仁成，苏志燮。可以再经典一点。            
(3星)	 冲着成成来看di……太扑街那个剧情ps：不喜欢河智苑            
(NA)	  赵仁成             
(2星)	 因为喜欢男二号女二号可是他们又不喜欢彼此所以实在看不下去这个剧,用快进大概走了走...女主角太蠢了...            
(4星)	 看过这么久，只记得一句话：“穷人在富人眼里就像小丑一样可笑”            
(5星)	 最愛……            
(5星)	 最爱赵寅成            
(5星)	 最爱的韩国悲剧。            
(4星)	 没好好看过。太激烈的爱            
(4星)	 很正常的一部            
(4星)	 不应该先知道结局             
(5星)	 难得喜欢一部剧。            
(2星)	 真的很讨厌女主角！            
(4星)	 看的糾結的不行 愛因為不坦誠 軟弱 或者其他而殘酷的令人心疼 喜歡在民~            
(4星)	 这里面赵仁成的打扮很帅  故事很悲            
(4星)	 是老姐提到过的，从没想到的结局，可能都是作茧自缚？是悲是喜？巴厘岛，最后的天堂...            
(5星)	 完美的毁灭爱情的最佳归宿我的大爱，韩剧不都是肤浅的。            
(3星)	 http://www.imdb.com/title/tt0482854/            
(5星)	 苏志燮            
(4星)	 男主角很帅            
(4星)	 初中狂追            
(5星)	 祭奠花季时代的疯狂 倾【成】之恋            
(4星)	 豆瓣给的海报很难看            
(5星)	 感觉风格和对不起我爱你很像，结局都很惨，不过很好看            
(3星)	 俗,但是赵寅成很耐看            
(NA)	  赵仁成             
(4星)	 残酷的有点不敢看            
(NA)	 喜欢你没得说            
(3星)	 唉，看完了想杀人的剧，太恨河智苑了，怎么活的如此现实？？            
(5星)	 最愛的韓劇!            
(4星)	 某寅一哭俺就趟不牢了!!还有,结局很...某寅在最后时刻HLL升为男一~为啥河MM总能和所有我喜欢的男演员演一对??!!            
(5星)	 不要这样的结局            
(4星)	 赵仁成在里面简直无法形容，很难说清楚他给我的感触～～            
(2星)	 不太喜欢。女主角在干嘛呢。            
(5星)	 从这里开始喜欢你。            
(5星)	 心中最好的韩剧之一，最爱In-seong Jo&amp;Ji-seo So。            
(5星)	 最爱最爱最爱            
(3星)	 还好有情杀            
(NA)	 因为有苏志燮和赵仁成，所以看了。            
(5星)	 隔了6年又重新看这部剧，还是觉得很好看。水晶和在民感觉性格很像，英珠和仁旭更像一类人，所以，觉得能相互吸引的是性格相似的。在民的爱是毁灭性的，一般人要不起。            
(5星)	 超好看　超悲            
(5星)	 纠结之最 爱死他们俩            
(5星)	 这个片子太苦了 河智苑还是很好看- -            
(5星)	 一定要亲自看到结尾的 那种电视，即使知道结果会让人 伤感            
(NA)	 穷途末路.            
(NA)	 想看了很久，但看了一半就看不下去了。。            
(2星)	 中间一部分没看，直接跳到最后一集，没想到结局是这样的……寒            
(5星)	 一个内心徘徊的女人            
(NA)	 看着难受            
(5星)	 寅成最最出色的表演 诠释了一个不完美男人的爱情哲学，生死间，心灵的颤抖，成全了三个人的结束            
(5星)	 你哪里都不要去……你一定要等我……            
(3星)	 结局..哎..            
(3星)	 没有传言的那么现实主义啊残酷啊...还都是很理想化的东西。比如两个都可以算是出色的男人喜欢上这样一个生活在底层的女子。比如没什么副线，尽在谈爱情和金钱...但4个主角表现都不错。赵寅成虽然哭相不好看，但是也只有那种哭相才表现得出痛苦。苏志燮的隐忍应该是本色演出吧，也很赞。朴艺珍在里面的角色着实不讨巧，心情又很复杂，很难表现。河mm嘛，自从看了黄真伊，就一直觉得她是一个很有野心的演员。所以她还是适合演这种不纯情的角色。没贬她，因为确实演得不错。只是一副很有心计的模样....--b            
(5星)	 非常好的一部片子            
(NA)	 没有想到结局完全不出预料，唉            
(4星)	 再一次爱上了苏志燮~            
(2星)	 比较烂的韩剧            
(4星)	 悲剧- -            
(5星)	 多年以后复习一遍。最好的韩剧，没有之一。            
(5星)	 自尊心是最最肮脏的东西。水晶吖，你看轻了自己，更看轻了在民对你的爱。            
(NA)	 真心喜欢男主那1米8的大个儿！用情太专了。。。。剧情太虐了。。。。结尾太蛋碎了！            
(5星)	 最近每每想到这部剧，恐怖的感觉就绕上心头。呵，其实结局这样是最好的，无论这三人谁活着都将一辈子痛苦，即使在民早一点知道水晶爱的是他，只要是活着他们俩还是不可能在一起的，唯有天堂，在那个没有身份，没有阶级，没有贫富的地方，好好地相爱吧。时隔八年，幸好没有错过，收获了仁成，很好很好。            
(NA)	 。。。            
(5星)	 越来越喜欢河智苑了 赵寅成帅的人神共愤啊...手很好看 本来是去花痴的...结果差点被虐死 还起个如此小情小调的名字不坑爹么！？            
(2星)	 结局是想笑死人么            
(4星)	 因为男主加一星！结局实在太无语了！！            
(NA)	 是经典韩剧 但是却和其他传统韩剧套路不一样太好看了 推荐推荐大推荐！！            
(4星)	 果断团灭结局。。。唔。。。            
(NA)	 感觉上很“普通”的故事 但是让人刻骨铭心            
(5星)	 苏志燮在赵寅成面前弱爆了            
(3星)	None
(5星)	 每年都会重温一遍巴厘岛的故事，每次看感触都不同，真是一部神奇的作品！            
(5星)	 让我想起了小时候迷韩剧的时光了。            
(5星)	 绝对的悲剧TOP1！            
(4星)	 喜欢苏志燮 不错的韩剧            
(2星)	 好像没看完。。。            
(2星)	 脑残剧好么！女主不知道自己爱男一还是男二，男主也在女一女二中动摇，可怕的是女二也在男一男二中纠缠不清，男二也在女一女二中纠结！！特马脑残了！！            
(5星)	 没看一次都是那么的虐心。。            
(1星)	 真是悲情布鲁斯。。。除了结局跳出韩剧的习惯结局，其他越拍越懒，各种理由太牵强。PS.就这谁有银子跟谁走的女主角，她的爱情根本没价值。            
(5星)	 有些庆幸是这样的结局~            
(5星)	 爱到一定程度就会变得疯狂            
(3星)	 赵寅成咬着拳头哭的那段儿记忆犹新            
(5星)	 不爱我的就得死，情虐片中的经典，每年一遍            
(5星)	 看了第一遍不敢看第二遍 太孽心了            
(5星)	 非常有深度的一部韩剧            
(4星)	 很喜欢男主穿着酷酷的西装，背着个可爱的公文包造型。            
(3星)	 还是去年过年时在家看的。各种角色揍是一个哭啊，唉            
(4星)	 不喜欢里面河智苑的角色、、            
(5星)	 这是第三次看这部电视剧，仍有那么多的感触和眼泪。。。似曾相识的无奈、诱惑、挣扎和坚持！那个小小的我，那个傻傻的我，那个幸运的我从低谷中倔强的走到无所畏惧的现在～！             
(3星)	 经典虐剧！            
(5星)	 至今为止我最欣赏的连续剧，它在我心中的高山已无法被超越了            
(3星)	 从头到尾都都不太能够理解，既然大家都过得别别扭扭的，为什么就没有一个人肯放手呢？最后竟然都死了。。。            
(5星)	 虽然超虐的，，但是大爱啊啊啊啊啊！！！            
(3星)	 结局太惊悚= =            
(5星)	 不可多得的韩剧~~~            
(4星)	 多年前看的。演员都很喜欢。情节也不错。就是结尾狗血了点。。。            
(5星)	 最喜欢的电视剧             
(5星)	 结局很悲            
(4星)	 另类的韩剧，看完之后心情很复杂，难以言喻。            
(3星)	 怎么说呢，这片子很压抑，硬要搞个另类的结局，好像忽视了对人物性格的深入刻画。本来是冲着苏志燮看得，没想到收获了赵寅成，哈哈            
(NA)	 爱情的卑微            
(3星)	 这结局太坑爹了伐 看了半天到最后才搞清楚女主喜欢谁啊 看来我情商不够啊            
(5星)	 最喜欢的韩剧！赵寅成演的很赞，迷上他了            
(5星)	 戏剧冲突很集中            
(4星)	 都说这部很好看...但是觉得好纠结啊...纯粹为了苏大叔看的...河智苑很漂亮~            
(4星)	 那時候趙仁成還唇紅齒白，我的愛河智苑和蘇志燮都還深得我心。虐就一個字。            
(4星)	 悲剧总是记忆深刻，这个，也不脑残。            
(3星)	 太悲剧~~太悲伤~~            
(3星)	 结局要不要这么无厘头，崩溃的结局。            
(4星)	 记得看过一个本剧的电视评论，说“家里有钱的他一无是处，但唯一会的事就是爱她。”看完这个，正好播到电视台在播大结局，看见赵仁成开枪打死了苏和河，河用最后一口气说“我爱你”，赵吓傻的脸。。。我顿时就两行泪了，但是，后来我从没有看过这部，因为知道结局的电影电视剧我从来不看。            
(4星)	 那个年代拍的韩剧都是以悲剧收场的。。。            
(3星)	 我老爸觉得好看，我能这么说么= =            
(NA)	 兩個男主都超帥            
(4星)	 我第一部韩剧 当时立刻就迷上两位男主 果然我喜欢的男人基本上都长这款            
(5星)	 妒忌到爱，爱到妒忌。致命的爱情，埋葬你，我，他。            
(4星)	 那时候大叔还很青涩，赵帅哥很帅 好片，当然那时候我也很幼齿            
(3星)	 太虐了，可是男主太迷人了            
(5星)	 一口气看了全集。韩剧经典。            
(4星)	 真没必要这么悲催            
(4星)	 因为是悲剧一直没看完，挑个开心的时候把它给看完了            
(5星)	 好出乎意料的结局。好悲呀            
(NA)	 两个不会爱、不懂人生的人，又各自怀了这样挚烈的一份感情，结局只能是这样吧。稍微多一点理智，结局都会不同了。            
(NA)	 河智苑年青的时候还真有股惊艳的美丽呢，到秘密花园的时候就确实不如当年的锐气的劲了            
(4星)	 由爱生恨啊            
(5星)	 看完之后感触很多            
(3星)	 有些黑色现实社会的味道，画面处理上有些直露            
(4星)	 说实话不喜欢赵寅成  尤其是看过霜花店之后  河智苑造型不给力  但他们演技真是没得挑            
(4星)	 只喜欢河智苑            
(NA)	 匆匆看过最后一集，感觉会是喜欢的，不过还是搁置吧。。。            
(5星)	 喜欢河智苑 从这里开始            
(4星)	 太深刻，太虐了！            
(5星)	 真纠结啊，结局出乎预料！不过这也是痴情的一种表现。哎，你说说，编剧大人，多一些沟通不就避免了三条人命了嘛，怎么那么吝啬语言呢？不过也许这就是现实，这样才更吸引人！真心接受不了，都不敢去巴厘岛了。。。            
(NA)	 演得不错，结局处理比较意外，也有些仓促，但值得看。            
(5星)	 经典。            
(5星)	 经典得不像一部韩剧~            
(NA)	 难受            
(4星)	 看了好多遍，这是为什么为什么。难道我受虐？            
(4星)	 由此开始认识并喜欢上赵仁成            
(5星)	 绝对五星级的韩剧！记得以前借碟回来看过，但貌似后来都快进了，去年又认认真真下载下来看，结果爱的不得了呀，爱死赵寅成了，典型的B型狮子座男生，占有欲相当得强！不知道为什么在内地不是特别红，明明很好看，应该引进的，而且感觉这部剧也是比较符合现实的，不夸张，只是恨死那纠结的结局了。。            
(5星)	 河智苑和赵寅成都是演技派啊~拍得很现实 结局难以接受 但是很经典！            
(5星)	 严重严重喜欢！！！虽然这个故事里没有童话，没有幸福；虽然郑在民唯一的成就，只不过是用全部生命爱了一个女人；虽然没有happyending，但是这个故事真实、悲伤、纠结却是很难忘怀的。再加上有成成这么闪亮，有什么理由不爱呢？！PS：评论里有很多人不明白剧情，可能是因为我也一直不顺，我懂，很懂得            
(NA)	 又看到河智苑自然又想起《巴厘岛的故事》，回想起来还是很揪心。故事的结局是我看过的韩剧里最撕心裂肺的，其次是《天桥风云》。不知道为什么往往很虐的结局才会让我欣赏不已。巴厘岛三人的纠缠，三人的覆灭，黑暗的人生，辛悲无限的现实，爱情与金钱的种种，让人窒息。现实中，根本没有帅气多金的王子            
(5星)	 纠结啊，那样纠结的结局，为了赵寅成，给5星了……            
(NA)	 看一次哭一次            
(5星)	 用心看，很好看            
(5星)	 看了不下十遍的经典            
(4星)	 那时觉得东南亚风情满有趣。。。现在。。。呵呵= =            
(3星)	 纠结不虐人~            
(4星)	 突然想从头到尾再看一遍...            
(5星)	 超虐片，尤其结局，哭死。            
(5星)	 高中时因为此剧喜欢上赵寅成 ,好怀念当时略有婴儿肥的成成呢~            
(4星)	 赵寅成 河智苑 我的爱~            
(5星)	 韩国的男人真是。。。。            
(NA)	 跟我妈看的 没看几集 结局印象好像挺不好的            
(4星)	 在民太幼稚，太混乱，他爱的歇斯底里，却彻底的把水晶推开，大爱河智苑和赵寅成            
(NA)	 为什么第二遍看到了这么多基情- -            
(3星)	 从头到尾的压抑，注定是悲剧故事。            
(5星)	 赵仁成摔死了            
(3星)	 河智苑扣两分！            
(5星)	 大悲剧啊，大悲剧~！最爱郑在民了~！            
(5星)	 最爱的韩剧~~            
(4星)	 这个故事的结尾太让人意外了            
(3星)	 结局太潦草了            
(5星)	 喜欢三位主演            
(5星)	 真的是一部很令人印象深刻的电视剧 少有的题材出众的韩剧 值得我们慢慢品味            
(4星)	 赵仁成在里面很帅，演技也好几场哭戏都打动了我，这是唯一一部到最后几分钟我才知道女主到底爱的是谁，结尾很狗血很震撼，OST也很好！            
(5星)	 每年都会看一遍的剧            
