http://movie.douban.com/subject/1906453/	天地男儿
(5星)	 经典            
(5星)	 初中时很喜欢看的电视剧，印象中很长很长，有3部之多。但是看得一点也不疲倦。            
(4星)	 经典港剧            
(5星)	 儿时的大爱呀            
(4星)	 这部也很经典            
(4星)	 为毛小学的时候电视上充满了港片，而现在的电视机~于我就像陌生人            
(4星)	 当时的古天乐很小白。。            
(5星)	 又一部经典，当时古天乐还是白白的            
(5星)	 港剧和韩剧，竟然是我的青春。            
(5星)	 我一直希望子健跟雪凝在一起            
(NA)	 终于看完了。。。。。。当年的罗嘉良好帅~ 原来嫩嫩的张智霖我也喜欢&gt; &lt;            
(5星)	 我靠，这剧还用说么。当古天乐还是小白脸滴时候。最稀饭张智霖跟宣萱好滴那段            
(4星)	 经典，每个人物角色细腻，演员恰到好处。  也看出不同道理。            
(5星)	 陈松伶好美            
(NA)	 好像是小时候看的？            
(5星)	 比经典还经典！！            
(4星)	 古仔不是主角，但很帅。那个子键啊，可不可以别这么帅！！！            
(2星)	 真是无比拖沓 65集 我看完了 我是猪            
(5星)	 很喜欢里面的子键宝宝 徐家立虽坏 但总是讨厌不起来             
(5星)	 经典不解释！            
(2星)	 为了张雪凝这个贱女人 两星 陈松伶这次倒是很招人喜欢~            
(5星)	 65集啊，我都看完了，太佩服自己了。罗嘉良演的太好了。让我恨得咬牙切齿。现在的BTV，真的不能和十几年前比了            
(5星)	 捞家演技真不虚，光芒盖过三个正派~欲望像是深渊，可再坏的人也相信爱情。            
(4星)	 好多好喜欢的演员啊！            
(4星)	 重温经典、65集、真够长的！不能不说、罗嘉良真的实力派！            
(4星)	 老片就是经典····配音阵容强悍···            
(4星)	 经典。。太太太经典            
(5星)	 张可颐？是伍咏薇。全剧唯有不足是最后5集开始走一边倒风格，大结局草草收场。子建和蓉蓉感情复合一笔带过，不过回过头，看现在的连续剧，当时的这部不堪为经典。            
(4星)	 现在再看，发现原来我最喜欢的角色是叶晓冰 ==            
(4星)	 小时候的港剧好看            
(4星)	 三次            
(4星)	 结局还是圆满的。。徐家立最经典的话就是：我比你们每一个人都清醒            
(4星)	 对TVB的喜爱是从小从电视剧前开始培养的~            
(4星)	 发烧养病，躺在床上边休息边看此剧，很喜欢92年至97年香港拍的电视剧，很经典，有时很复古的我，很喜欢冷不丁的重温一下。另，插曲《怎会如此》曾让我连轴转的听了好久好久......            
(5星)	 记得最后宣萱跳楼。            
(5星)	 大爱罗子健啊~~~~看了三遍之后依然有浓郁港式味道            
(4星)	 当时超级喜欢罗子健啊，哈哈            
(4星)	 张智霖尼玛怎么就不老呢。陈松伶那时真美。            
(5星)	 红粉少年叶成康            
(4星)	 可颐年轻时好漂亮，古仔还是白的呢，关键是戚其义导演，他的剧反应了人性的各丑陋，当然还有真善美，生活本来如此，何不真善下去呢，过得舒坦就好了！            
(5星)	 TVB的黄金时代代表作。            
(4星)	 郑少秋演的真的是…好可以好到爆，坏可以坏到想抽他            
(5星)	 后半部分编剧弱了...狗血够足...            
(5星)	 靠情节拼接自己小时候的记忆 熟悉的片头曲 和姐姐在床上看一整天 15年了！！            
(5星)	 小时候真的很喜欢这个片。跟默默一起在床上看很温暖，喜欢张智霖！            
(5星)	 难忘当年的宣萱，永恒的雪凝            
(4星)	 挺不错，大时代、创世纪、天地男儿、笑看风云是真正的经典。其中大时代是心目中独一无二的神剧，前无古人，后未见来者。郑少秋那个让人崩溃的角色是大时代经典的很重要原因，实际上我们都是丁蟹，剧本无敌，电视剧的篇幅，稍啰嗦点，韦家辉不是盖的。            
(4星)	 还是我跟堂弟租碟回来看的，两个人激烈的讨论剧情。            
(NA)	 good            
(4星)	 终于追完了…＠黄大上人 ＠巴萨虎王             
(5星)	 经典啊经典，看多少遍都不会厌！            
(5星)	 tvb给我 影响最深的一部剧，当年帅哥太多了。            
(4星)	 几个老演员，貌似古天乐一直和宣萱一起对戏嘛。            
(4星)	 过去的长剧再差似乎都差不到哪里去，现在的就无语了            
(5星)	 十几年前看这部剧的时候我没有太多的感触，直到最近因为有了网络电视我重新再看一遍的时候，却发现许多东西可能失去了就再也回不来了。所以心情，真的很难诉说。            
(5星)	 我一想到张智霖就激动的呼吸也困难了。。。            
(4星)	 TVB当年的片子最经典            
(5星)	 看过无数遍！            
(5星)	 其实家立是爱雪凝的            
(5星)	 私以为TVB最经典的家族剧。            
(5星)	 经典，没话港。            
(5星)	 暴帅的子键啊。。            
(4星)	 这是我最早的一部TVB吧！            
(NA)	 俊男靓女，感情戏错综复杂，喜欢古天乐，纯            
(4星)	 演员空前强大。也超级好看。罗嘉良坏的好嗨。            
(NA)	 已忘的剧情，难忘的回忆            
(5星)	 张智霖好帅啊！            
(4星)	 当年和我妈一起看~~            
(4星)	 豪门恩怨，儿女情仇，煞是热闹~            
(4星)	 TVB電視劇還是90年代的最經典啊！！！            
(5星)	 古仔还没变黑的年代~~~ 还是最喜欢陈松伶的            
(5星)	 第一部港剧，地位无可取代，里面有太多经典的人物，而我记住了捞家            
(4星)	 子建宝宝太萌了~            
(5星)	 小时侯好喜欢哟  ，后来还专门去翻出来看            
(NA)	 那时候的港剧真好看啊            
(4星)	 这片子100多集吧。当时真是痴迷呀。            
(5星)	 张智霖帅啊 二小姐美啊 郑少秋好啊            
(5星)	 小时候超级爱看的剧，近儿怀旧不断            
(4星)	 白白嫩嫩的古天乐啊            
(5星)	 65集真长啊....十几天来与老妈跟着剧中人物一同悲喜，一起看到罗嘉良就要呕册来，一起看到宣萱就无语凝噎，一起看到张智霖就赞叹帅，一起看到张可颐就觉得好靓...即使真特么纠结狗血又奈何，一边骂编剧脑残一边乐此不疲，明明剧透了知道结局了却还想看下去...            
(3星)	 白脸古天乐。。。            
(4星)	 一直认为这是宣萱最不讨喜的一个角色，也许仅仅是因为她辜负了子健！            
(5星)	 凡是不放弃。            
(4星)	 多舛的人生。            
(5星)	 复杂不了的一个时代的记忆 徐家立心狠手辣 最傻的是晓枫 最佩服的是晓冰 最让人心疼的是雪凝 。。罗老师 欧阳老师 3条4 每个人物都刻画的栩栩如生 唯一不现实的就是徐沙展了 太老好人了吧。。            
(NA)	 当时就想咋还有个比大仙更加水嫩的男人呀            
(4星)	 徐家立是个彻头彻尾的大坏蛋，但是雪凝还是最爱还是他！            
(5星)	 曾经最爱的港剧            
(4星)	 虎头蛇尾。。。            
(3星)	 记得当年叶承康的惊艳            
(5星)	 不能不看的港剧 四五角的恋爱留下无限经典话题            
(4星)	 看了20集，有点看不下去。太虐了..徐嘉立太坏了！虽然阵容很强大、很精彩。还是喜欢看难兄难弟，很轻松、欢乐..            
(4星)	 小时候跟着我妈看了这么多TVB剧            
(5星)	 子键和蓉蓉~~            
(NA)	 小酒窝呀小酒窝            
(5星)	 大爱，我7岁那年看的，对港剧一直怀有一份情节就是从那时开始的吧            
(5星)	 经典港剧，大爱很多角色，大飞 三条四着实喜欢，哈哈            
(5星)	 我觉得那个时期的电视剧都好无敌..            
(5星)	 记忆中看的第一部TVB。            
(3星)	 张智霖着实很帅            
(5星)	 天地三部曲的第一部 云集了全台的精英 很喜欢家立 他的御用配音也是很喜欢的            
(5星)	 TVB家族戏辉煌的顶点 一部值得回味的经典电视剧，多年后再看还是让人唏嘘不已 剧中的那些人物都会在现实中出现，只不过会换成你，我，他。            
(5星)	 天地三部曲最喜欢的一部~~            
(5星)	 郑少秋多少年了还是这么有魅力            
(5星)	 TVB前期的剧集都比较虐心，现在的戏之所以没人看，有一部分原因是因为剧本不够虐。。。。。罗子建实在是太帅了！！！古天乐的发型接受不了。。。            
(4星)	 到現在我關於這劇最深的記憶是 張雪凝為了徐家立實在糾結的不行了最後跳樓的那個場景 其實。。我一點都不喜歡張雪凝這個角色！ 傻女人。。 我好想鄙視你啊！ (┬＿┬)            
(4星)	 我是一个好有耐心的人啊，65集的TVB港剧。不能自拔的初恋，牵伴一生的至爱，索然无爱的婚姻。            
(4星)	 当年的古天乐多帅啊            
(5星)	 吐血好看，经典TVB代表作，秉承TVB一贯传统主题。TVB群星啊！            
(5星)	 这些经典老片要回味一下了，不记得讲什么了            
(3星)	 小时候看的 记不清了 只记得陈松伶很美 张智霖很Q            
(NA)	 豪华阵容啊～            
(5星)	 最怕因同病相怜而相惜            
(5星)	 我给这部以最高评价            
(4星)	 TVB的 经典剧情之一！            
(3星)	 张智霖年轻的时候好粉嫩好帅啊。            
(5星)	 怀念当时50集的长剧，伴着高中的记忆            
(NA)	 凡事不放弃。            
(4星)	 我承认罗嘉良把奸角演得风流倜傥  但是还是喜欢可爱的子键            
(5星)	 重看了一次天地男儿,发现原来好多事和记忆中的不一样，原来子键并不想记忆中那么完美，原来家立不是雪凝杀死的。我喜欢单纯的人，但是子键冲动易怒太不冷静还只会对蓉蓉发火不考虑她的感受。他最爱的是谁我不知道，但是他从来不会对雪凝发火并在乎她的感受。原来。。。原来已经过了十五年~             
(3星)	 bug多了点儿            
(3星)	 还记得剧的结尾是2000年 跨世纪的时候莫名想到了罗嘉良 我妈喜欢那个剧里的小白脸 也就是后来变成大黑脸的那位            
(4星)	 那时沈美老师还不是包青天            
(4星)	 当时看了这部剧然后爱张智霖爱的是死去活来啊……            
(5星)	 复习一遍， 儿时永恒的经典啊！！            
(4星)	 小时候看的            
(5星)	 喜欢里面的张可颐！晓冰！            
(NA)	 最开始看的TVB剧~            
(NA)	 喜欢张智琳            
(NA)	 最爱的一部港剧，从此爱上chilam和松松            
(NA)	 怀旧            
(4星)	 剧中的陈松伶有一件和妈妈一样的衣服。小时候的我最喜欢妈妈穿那件，棕色的。依稀记得那件衣服的牌子叫做什么麗人的            
(4星)	 何愁面前踏破浪涌个无限期，何愁落魄我只要一口气~主题曲带着那年代港剧特有的厚重~~~这剧帅哥真多还都风华正茂~都说这部的感情戏很干净纯洁我却偏爱天地豪情多角恋的偏执歇斯底里仲么办？罗嘉良的徐家立是经典，眼神也很有内涵很有层次，总之这剧经典归经典，但没太多打动我心的点~            
(5星)	 罗嘉良 帅哥啊！！            
(4星)	 多年后才明白 子建承康和蓉蓉之间的感情            
(5星)	 很悲情            
(4星)	 压箱底的TVB 矮油我的矮油            
(4星)	 白古时代            
(4星)	 前几天重温完了，还是比较经典的，喜欢方巧容和罗子健的那段爱情            
(NA)	 郑少秋好帅气~             
(4星)	 好小好小时候的TVB            
(5星)	 看了不下两遍！萱萱、张智霖、古天乐等等等等啊~~ 么么            
(5星)	 那个旋律最是小学的回忆！子健宝宝，记忆里最棒的男人！            
