http://movie.douban.com/subject/2303811/	烟锁重楼
(4星)	 叔嫂恋~偶那时觉得钟镇涛演的江宇航实在是帅翻了~^_^人品又好又有责任心~对梦寒又好huohuo~~            
(3星)	 天上有新月如鉤 地上有煙鎖重樓            
(4星)	 江雨杭是琼瑶剧里面最完美的男人，他身上汇聚了东西方一切所有的美德，不得不说，B哥的形象也很符合~~~这部琼瑶剧，算是我最喜欢的一部了！好想去安徽看看那些牌坊            
(4星)	 上学时琼瑶小说看了好几本，但改编成的影视剧基本上没多大兴趣。但这片例外，这是我唯一一部每集看全了的琼瑶剧。也是我唯一一部喜欢的琼瑶剧。我高中时蛮喜欢这片的，集集追看，主题歌现在都会唱。记忆重深的是第一集刘雪华出嫁时盖头被风吹起，与男主角对望第一次相见的镜头。当时觉得好浪漫好美！            
(NA)	 琼瑶剧里很独特的题材，小时候看的，过牌坊的画面印象深刻，长大以后才知道原来这个也是琼瑶剧。            
(3星)	 悲情无极限            
(3星)	 王艳是亮点            
(NA)	 童年一个闷热的五月 我妈和婶们挤在我妈大床上的凉席上看得津津有味 我不喜欢大人的电视剧 凉席被我睡热了又无法翻身 大汗中醒来就记得剧中有个女人很悲剧地被一大群人追打着爬过一道道的石门 第一次对牌坊这东西有个确定的认识 以至于后来那么多年 不敢随便接收男人的示好 不成是怕了这缛节            
(4星)	 特别惦记那串牌坊~~~靖萱和秋阳超有爱~~~            
(4星)	 潘越云《七重门》：锁住了七千个梦，锁住了七万个情，锁住无数无数孤独的灵魂……            
(2星)	 汗，就记得开头一个女人在牌坊下爬啊爬啊爬了半集－－            
(4星)	 刘雪华当时眼泪汪汪的 楚楚可怜 真美            
(NA)	 有七重古老的门。。。贞节牌坊            
(4星)	 小时候特憧憬贞洁牌坊            
(NA)	 比较虐~~那时雪华姐已经老了            
(NA)	 七重门            
(3星)	 雨航是我喜欢的为数不多的琼瑶笔下的男子            
(3星)	 湖南那个卫视。。。            
(3星)	 觉得没有小说写得好呀！            
(3星)	 都不太记得内容了。结局好像不悲情。            
(NA)	 啥？原来是钟镇涛主演的？！            
(NA)	 有七重古老的门，关住了七百年的青春            
(3星)	 觉得钟镇涛帅得来            
(4星)	 总是把这部电视剧和那首“救姻缘”联系起来            
(4星)	 王艳，还有棠樾的古牌坊            
(3星)	 早就知道，梦寒会好的。            
(3星)	 我鼓励所有 男生 都追求贞节牌坊！            
(3星)	 曾经我对小说里男主角吹笛子，被电视剧改成吹萨克斯耿耿于怀，直到前段时间看钟镇涛的访谈，原来他自己萨克斯吹得很好，改得好，改得好！！！            
(3星)	 天上有新月如钩 地上有烟锁重楼            
(3星)	 当年很爱，广东卫视播的时候追着看，还专门去看了那七道牌坊。至今仍记得那首主题曲。觉得小说更好看            
(4星)	 两个永恒之一，过贞节牌坊那里真让人触目惊心            
(5星)	 棠樾！            
(3星)	 两个永恒里我明显偏心新月多了……不过烟锁重楼确实更有深度一些OTZ            
(4星)	 怀旧            
(NA)	 王艳好惊艳。            
(NA)	 哭吧哭吧。。琼瑶戏            
(4星)	 悲喜            
(4星)	 奇怪的组合~ 不过我喜欢阿B哒~ 萨克斯~            
