http://movie.douban.com/subject/3328794/	欢乐合唱团 第一季 Glee
(4星)	 剧情很狗血，但音乐歌舞完全没的说。而且的确有那么几个点会很轻易的打动人。Kurt!Kurt!Kurt!Kurt!Kurt!Kurt!            
(5星)	 kurt好像marc！！！我爱glee! 最爱20集，小kurt穿的可是mcqueen！还有经典的glam rock！            
(4星)	 養成了一個習慣，每天看一集Glee，輕鬆享受音樂的同時，還有一隻正宗的gay可以腐，讚！（你們知道我說的是誰吧？Kurt絕對是Glee的頂樑柱啊！）            
(4星)	 男主角！！！            
(4星)	 欢乐惨咯，但是看多了觉得很无聊！            
(4星)	 看到后来我就累得不行了。。。            
(5星)	 12            
(4星)	 Don&#39;t Stop Believin&#39;和Bohemian Rhapsody那段太催泪了！            
(4星)	 Jesse离开后开始显出颓势（虽然这跟他没有必然联系），不过最后一集多少又拔高了些。听到Don&#39;t stop believing再次响起的时候浑身激灵了一下，毕竟最一开始就是这首歌吸引我开始看这部剧。            
(5星)	 太爱这部剧了，最喜欢的是Kurt啦。第一季看了很久了，回忆起来最深刻的是Jessie唱的Bohemia Rhapsody，还有April的Maybe This Time，等等。            
(4星)	 唱歌跳舞果然最欢乐。好想去KTV唱glee的专场            
(5星)	 终于看完了！火速下第二季去！我好爱kurt宝宝和sue啊！sue讲的每一句话都是艺术啊！            
(5星)	 好看好听，每个人的层次都是那么丰富……            
(3星)	 1.这剧情总结起来就七个字——美式青春大俗片。不过经不住音乐改编的好，特别是听着各路欧美乐长大的小青年，几乎首首耳熟能详。阿宝说的对，就当大型MV看！2.小舒和苏真是绝配，你们CP去吧啊哈哈。Kurt瓷娃娃般成为了本剧看下去的动力。Q头发披下来很美有没有！            
(4星)	 剧情不拖沓，音乐很不错，青少年不drama。对青春歌舞剧不能要求更多了。            
(5星)	 勾人回憶往昔歲月的片兒            
(3星)	 歌靓人残            
(5星)	 RACHEL好烦，ERMA好烦，finn的动作好生硬哦。。。Jane Lynch我爱你！！！！！！！！！！！！！！！！！！！歌大部分都超好听T-T            
(3星)	 过于戏剧性，矛盾太集中。            
(4星)	 看到后面难免觉得疲软 坚持到最后的大概都是真心痴迷于欧美音乐的孩子们吧            
(4星)	 fun            
(5星)	 音乐部分太给力了！！！完全可以忽略比较残的剧情！！！            
(4星)	 音乐赞到不行！            
(4星)	 Matthew Morrison和Cory Monteith都很可爱！            
(3星)	 i hate Rachel            
(5星)	 浅薄的心机，热闹的歌舞，GLEE有别于一般电视剧的嬉闹却是令人打从心底喜欢的            
(4星)	 好吧。。。你们排练时候的做作可以理解为真的是那么开心。            
(4星)	 电视剧版《歌舞青春》。下半部继续！            
(4星)	 剧情一般，音乐不错，很多跟原唱比起来毫不逊色            
(4星)	 one star for songs            
(5星)	 为了里面的歌曲就值得打五星!            
(5星)	 Are you Glee?            
(4星)	 剧情实在二到不行，season finale还是看湿了            
(5星)	 PRETTY NICE            
(4星)	 为了音乐多打一星，不管剧情多狗血，角色多讨厌，只要音乐一起我都可以原谅。有人说这剧演员都比角色可爱，一点不假。最喜欢Chris Colfer的声音，美死了，话说他好像也是cast里面最小的，但演技很好啊，看剧时候看到条吐槽说Glee是“the Finn &amp; Kurt Show”，想想好像还真是Kurt部分的剧情最打动人。            
(3星)	 我觉得我还是喜欢不了离生活质感太遥远的喜剧。            
(3星)	 之前看的时候一直觉得男主有点像囧瑟夫，就是比囧瑟夫更有基佬特质……            
(5星)	 好想去Broadway~！            
(4星)	 第十二集看见亚当桑德勒哈哈哈= =。。。。            
(4星)	 不关注欧美音乐 所以看了几集就没再看了。。。不过做的是还不错啦            
(5星)	 后半部分好多泪点啊，尤其是最后一集，几乎从头哭到尾 T ω T             
(5星)	 为什么我拖到现在才开始看。。。爱死啦！            
(NA)	 瑞秋的Solo和RF的Duet后来基本全部跳过，摊手，R的声音既不是我的类，而且她唱歌都是一个腔调，Finn那完全是破锣嗓子花瓶娃，Kurt是萌之上品好么，想打包带回家一个好么，我已经疯了好么。。。嗷~            
(2星)	 真难看，值得看的美剧越来越少了            
(4星)	 高校喜剧。            
(5星)	 看了第一集就无可救药地着迷了。一天之内连着看了十六集。绝对Broadway，绝对。无可救药，太帅气了。每一段音乐和舞蹈都有魔力。另外，Quinn太美了！            
(5星)	 男主角帅的一塌糊涂，我花痴的不行。。            
(5星)	 .....第一季是萌kurt和finn的            
(4星)	 除了Kurt其他都是浮云            
(4星)	 嗯。。就是为音乐才加星的。看到本季最后一集时突然间反应过来，其实这就是一出电视剧长度的MV啊。 最爱的歌——主题曲&amp;hello            
(5星)	 刚开始觉得Rachel好丑，后来也看习惯了，每个演员都好喜欢~            
(4星)	 好看，不腻。可是女主角太TM难看了，受不了她那张香肠嘴和凹形脸。            
(5星)	 glee合唱团很给力，剧情弱智就不说了，歌舞什么的还是很不错的。四星半。            
(4星)	 每集的翻唱不要太好聽啊啊!!!            
(NA)	None
(5星)	 给力合唱团很给力            
(4星)	 歌舞很好看，应该降低剧情的比重，因为实在是太无趣了。。。。            
(4星)	 那个blues版本的扑克脸啊            
(NA)	 其实我挺想说生孩子真疼。。。            
(4星)	 明明是狗血劇哪能看得這麼歡            
(4星)	 狂推荐！！！巨搞笑！！！！            
(4星)	 这是一部长达近二十小时的High School Musical！！！剧情老套歌曲老套但是我就好爱看！！我爱基佬！！！            
(4星)	 歌好听呀。            
(4星)	 josh groban在最后一集SB了一把。唉。。。            
(5星)	 欢乐就好            
(4星)	 第一季还好吧,第二季真心的追不下的感觉了            
(4星)	 Sue老师好可爱啊...            
(5星)	 又入戏了!            
(5星)	 我想念我在合唱团的日子了 :&#39;(            
(3星)	 over the rainbow也挽救不了啊~不过我喜欢轮椅男=▽=            
(4星)	 虽然女一号很丑, 剧情经常不合理, 不过歌好听就大过天了..            
(4星)	 现代，生活，幽默的青春励志剧。现代是指该剧不讲过去老套的道理和模式；生活指该剧给人的亲切感；幽默不必提了。可见该剧的编剧是音乐奇才。            
(4星)	 四星纯给音乐            
(3星)	 音乐确实很多很好听的，但是剧情够乱够无聊……第二季有布兰妮上演，我去的，一定看！！            
(3星)	 其实歌儿都很棒。            
(4星)	 剧情很狗血，但是确实搞笑，而且，hey! it&#39;s all about music!            
(3星)	 很一般的嘛！！！！！为啥子这么多好评喃            
(3星)	 当音乐剧小品来看还行            
(2星)	 怎么现在出了这么多无法忍的肥皂剧……            
(5星)	 我爱这型的～～～            
(3星)	 supernatural里的大天使啊~但是实在是很sorry，剧情太糟了。            
(4星)	 欢乐的音乐剧~~~            
(5星)	 歌曲太赞了!            
(4星)	 里面的歌绝对好听。就是人物不够好看。            
(5星)	 EP 22            
(5星)	 The music is amazing！！            
(5星)	 好看好看～            
(2星)	 弃            
(5星)	 电视剧版《歌舞青春》，还很搞笑            
(4星)	 我是为JANE看的 女主角丑的不行 那嘴一张我就没法专注那声音            
(NA)	 劇情太無聊，表示追不下去……            
(3星)	 2集后砍掉。lame lame lame...            
(4星)	 渐入佳境            
(2星)	 美剧版《交响情人梦》。要不是每集末尾那段歌舞我是坚持不下来的吧。10            
(4星)	 出乎意料的有趣            
(5星)	 恭喜glee第一季获得金球奖。。很棒的歌啊。。经典歌曲。。            
(5星)	 Don&#39;t stop believing...            
(5星)	 我承认剧情很狗血，但是选曲实在太他妈赞了！            
(5星)	 欢乐多~            
(NA)	 太gay了            
(3星)	 歌好听            
(4星)	 主题励志，歌舞精彩，有点肥皂但不至于腻歪。尤其有几场歌舞的重新编曲都好赞啊完全颠覆了原曲的印象！虽然日常所有情绪都用歌舞来表达这一点总让我想到新白娘子传奇（？）……但也看得很开心！            
(1星)	 去他妈的 人性太冷漠了            
(NA)	 其實歌舞還ok            
(4星)	 很讨厌男主Will，和鹿眼老师的暧昧真是让人不舒服。最爱的是Sue！女王！Q很美。Kurt灰常可爱。里面的歌演绎得都不错~            
(4星)	 够欢乐，很青春            
(2星)	 图个热闹的就看看吧            
(NA)	 再溅            
(5星)	 挺欢乐的片子 每一集的斗歌我都很喜欢            
(4星)	 算是看过美剧里很赞的青春剧~            
(4星)	 这是囧瑟夫失散多年的兄弟么   看了GLEE真的是觉得有梦想太欢乐了            
(NA)	 很欢乐啊~~而且那个惹人烦的sue，最后在1st place上写new direction啊~~~~~里面黑人姑娘唱歌好棒感觉像是dreamgirl里面那个husdon（好像是这么拼来的）            
(4星)	 每当犹太女主开唱，我必须把目光从她便秘的飙高音表情上挪开；剧情乏善可陈，但是歌舞真的不错。            
(3星)	 看了几集，没有传说中的那么好看，高中生的生活故事，比较无聊。            
(3星)	 十分的不待见will 所以sue一点都不讨厌 理直气壮的攻击力最性感了            
(5星)	 好看，补歌中~Finn我暗恋你啊~~~              
(NA)	 没有一张脸让我可以看下去的            
(3星)	 this is how Sue sees it            
(4星)	 我希望编剧在以后的某集里能让Arty唱着红歌然后重新站起来。FYI这是一部drama，所以里面所有的人都有着高度的墙头草精神，看此剧必须做好接受上一秒要东风下一秒就八面来风的蛋疼剧情的心理准备。如果你是女生，剧情上你会看得长出蛋来疼的。            
(3星)	 加长版迪士尼青春校园剧，只有歌舞能打动我，故事一般            
(5星)	 歌很好听，就是女猪脚太丑了，让我想到非诚的傻逼3号。剧情越到后面越弱智，没办法，格局太小，再编下去很难维系。            
(3星)	 很讨厌女主角啊！！            
(5星)	 每次开始唱歌我都想哭啊！无论歌的内容是什么啊！！！！！            
(4星)	 Quinn太美了..  一天看超过3集以上绝对耳朵疼...有几首歌的remax太无敌了!            
(4星)	 花了三天，终于看完了。等下继续第二季。。。            
(5星)	 不看不知道，一看喜欢了            
(4星)	 歌舞音乐四星 剧情负星            
(4星)	 推荐！！            
(5星)	 一唱歌整个人都酥了。。。            
(5星)	 音乐。            
(3星)	 剧情是糊云热血励志漫画抖这样= =b 歌好好听啊尼玛的！！！            
(NA)	 这帮人唱歌也太强了点……            
(3星)	 不是特别适应这种演着演着就开始唱歌的戏，总让我想起印度电影、京剧或者新百娘子传奇。但是看看又很有意思 ~小孩子们唱得不错~歌声让人很愉悦            
(NA)	 finished season 1.            
(4星)	 这剧太贱了，剧情混乱，但是歌舞又那么棒            
(5星)	 剧情其实很卡通，可是和音乐配合的太好            
(5星)	 苏好欢乐。            
(5星)	 第一季基本讲的是少女怀孕是如何毁掉这个少女的            
(3星)	 歌舞类是在不是我的菜            
(5星)	 太好看了！！！歌舞满分，剧情稍微白痴一点，可是笑点很多很多，人物都很可爱，那个莫西干头男孩性感得让我难以自持&gt;&lt;!!!!!!!!!!            
(5星)	 简简单单的多好。            
(4星)	 实在太喜欢那只小受了啊啊啊            
(5星)	 我终于看完了glee的第一季，大结局忽然变得很感人，没错我看哭了。我爱glee club的每一个成员，Qinn你是个伟大的女孩，你的女儿Beth会很好的在Rachel的妈妈那里长大；Sue你是一个可爱的教练，你最后的那一票让我很感动；Shoe老师我很喜欢你，你让我明白了努力虽然不会有收获但是有快乐；Cory，我爱你。            
(3星)	 讨厌女猪脚 十分讨厌她！！！            
(3星)	 男女豬腳都無愛，有些翻唱的不咋地            
(3星)	 很欢乐。不过很快就疲软了。。。主角无爱的片不能长久啊。配角各种萌            
(4星)	 最喜欢的是sue和kurt  一个les一个gay            
(NA)	 总算看完第一季了...            
(3星)	 里面的BGM都很好听，跳舞都很有感染力，但是感情线方面真真是无聊透顶加墨迹。不是我的菜！但是有一点很感动，合唱团里面无论美丑胖瘦大家都很团结友爱，有争吵有误会最后都化解了。            
(5星)	 2011.1.20有音乐的世界才是我的世界你的有没有我管不着            
(5星)	 听到不少好歌，长了不少见识，对自己多了一份认识。            
(2星)	 我的人生不适合喜剧大概……            
(5星)	 爱音乐的一定要看。            
(4星)	 奔驰姐歌喉美，我爱Quinn            
(4星)	 当超长版的MV来看的。。。剧情发展什么的都是浮云。。。            
(3星)	 我老了            
(5星)	 清新不简单的好片～            
(5星)	 哭点太多，我不承认这是喜剧啊啊啊。但是真的好好看TVT            
(4星)	 wow new version rocks            
(NA)	 现在发现，在飞机上看电视剧才是最好的KILL TIME办法            
(4星)	 剧情无感但是歌舞精彩            
(5星)	 8错8错 男猪长的很像奥兰多 女猪有点丑 歌儿太牛了！！！            
(3星)	 当歌舞片看吧。剧情可以完全忽略，太狗血。            
(3星)	 一边看一边烦但是还会看下去的剧            
(4星)	 热血呀。            
(3星)	 太好看了！！！内牛满面！            
(4星)	 美帝少年载歌载舞的高中生涯啊啊啊啊！            
(NA)	 singing and dancing is cooooooool..... rekindle so many old songs~~            
(5星)	 不足之处是人物关系显得复杂又很浅显和散漫，但是因为有太多的太棒的太闪亮的歌舞表演，让人忘记那些瑕疵。充满激情的青春实在是太美好，太欢乐，太让人心动了。            
(4星)	 果然很欢乐            
(4星)	 节奏快，可以看下去            
(4星)	 编剧顾此失彼。不过无所谓，反正是听音乐            
(2星)	 强迫自己把一季看完了。。。剧情很弱~主角无魅力~一星给一些翻的不错的歌曲~一星给自己的坚持~完全无法理解为什么有人会喜欢看啊~总之不是我的菜~不会开下一季了~            
(4星)	 看了一个月终于再次看完一部剧。剧情一般。但是歌儿awesome！！！GJ GUYS。            
(2星)	 真的是歌在加分，没有一个角色能戳中萌点，女猪就像Betty一样讨人嫌，剧情狗血死，就是歌舞青春跟那啥的mix版，那啥，一下想不起来，看第一集很深很深的印象，shit！            
(3星)	 喜欢lady gaga的男人都是gay这一点，大概已经是共识了吧            
(4星)	 越看到后面觉得剧情越扯....但是唱歌的部分还是很带感的呵...            
(4星)	 三流剧情，二流演员，一流音乐            
(4星)	 命运多舛的合唱团！那个老师长了一副鞋拔子脸            
(2星)	 看不下去了- -            
(4星)	 有百老汇基础的果然不一样            
(NA)	 挺好听的            
(4星)	 看个大概，歌曲和剧情配合的相得益彰，但完全不是我的菜。            
(5星)	 太好看了！！！            
(5星)	 Everyone need Glee            
(4星)	 Finn！！！            
(3星)	 剧情实在是……但里面有些改编歌曲还是值得一听的。            
(4星)	 最后一集我都哭了             
(4星)	 作为歌舞剧 出现各种明星客串和金曲翻唱 再加上演员全是实打实的百老汇出身 不得不说从质量上看这部剧集含金量极高            
(5星)	 青春热血音乐我的菜～            
(4星)	 Finn            
(4星)	 人见人爱的舒老师和人见人畏的苏老师太完美了。不给五星是因为嘴唇其丑的rachel和舒老师那个僵尸老婆，太恶心我了。另外，向Madonna致敬那集太棒了。            
(4星)	 http://movie.douban.com/review/2398523/原声http://tieba.baidu.com/f?kz=768943974致敬麦当娜15Vogue~sue才是推推动glee club不断进步的主~~故事很烂，音乐很棒~            
(5星)	 Matthew MorrisonDianna AgronLea Michele            
(3星)	 一季看完了.剧情太狗血.也不喜欢里面给个合唱团安上梦想，团结等概念，又不是idol,假，音乐是不错，可是我欣赏不来边唱边演这种.            
(3星)	 好吧，我真的要弃片了。看到10多集我的点都在Sue Sylvester老师身上。。。            
(4星)	 以J2進度終於看完            
(5星)	 萌点大大的有 WILL就是俺滴TYPE            
(4星)	 电视剧版的bring it on!果然很欢乐！            
(3星)	 剧情太一般甚至很狗血，但是胜在歌舞真是选编的又经典又涉猎广泛，演员也实在多才多艺，拿来当做乐坛回顾是个不错的选择。最后quinn在歌声中生宝宝的场景，其实蛮动人的……            
(4星)	 对这类有点傻气的可爱的片子就是没有抵抗力            
(5星)	 终于能一直看那么久时间了            
(5星)	 要是剧情不这么弱智，更多一点向音乐看齐就好了。            
(4星)	 Emma居然是我最喜欢的人物囧死了！不过我可能真是老了，看了一半就没精神继续看了。还是看完了。闹哄哄的。哎。            
(5星)	 这才是梦寐以求的高中啊            
(NA)	 不好看 亮点只在唱歌            
(3星)	 只有歌是不错的。            
(4星)	 总是能在日剧和美剧中获得力量.             
(5星)	 大爱            
(3星)	 josh groban为虾米出现了两次？？？我觉得这个片子还是有点弱的。。。            
(3星)	 弃。            
(4星)	 音乐不错，几个配角很不错~            
(3星)	 越看小苏越觉得像本山大叔 女猪脚可不可以表情不那么夸张啊= =爱苏！！            
(NA)	 看的不是歌舞，是卢瑟            
(3星)	 看到大概一半的时候已经被剧情雷得不轻，而且越到后面越没有最开始看他们歌舞编排的时候那种惊喜的感觉，最后一集里德new direction跟夺冠组唱的波西米亚狂想曲相比简直乱成一锅粥，再加上一个唱歌时像要吃人看了我就想掐死她的装逼圣母女主角，我绝不会看此剧第二季。            
(5星)	 Emmy一來 就開始陷入電視劇的深淵 這是不對的！！            
(4星)	 如果有4星半就好了。。            
(5星)	 看第一集时我莫名其妙的哭了            
(5星)	 怎么会这么好！！！！            
(3星)	 前几集还不错，后来美式剧集边拍边编的弊端就暴露出来了，没有统一的规划，线索太多但缺乏主线，重点散乱，人物越来越没有性格，歌舞也越来越没有吸引力。感觉是一部有潜力的好剧没有做出来，有点儿遗憾。            
(NA)	 音乐好听。剧情是按照最大众的励志套路——一个濒临解散的高中合唱团在新任带领老师的努力下重振雄风的标准美国式成功风格。有爱，但是，生活并非如此简单。so 只追了一集。应该不会再看了。还是去看火线去了～～            
(4星)	 狗血，太狗血了，实在太他娘的狗血了……狗血到欲罢不能……            
(4星)	 希望Maxxie可以参演第二季咯~~~            
(NA)	 S01E01 对美国高中生合唱团啊拉拉队的故事完全不感兴趣            
(2星)	 剧情基本上就是shit。当歌单收着。            
(4星)	 这不是电影版歌舞青春么……            
(4星)	 我觉得很好看~~~~ 除了女主角的大嘴以外，都很好~~            
(5星)	 结局好没好！            
(5星)	 虽然剧情很弱智，但是很好听。sue is the point！15集吓到我了！            
(5星)	 静候第二季，还有National~！            
(4星)	 好看!五星!『从EP13断了之后竟然完全提不起兴趣了。当初的crush呀』            
(NA)	 glee!            
(4星)	 虽然情节方面比较简单无大脑，人物性格以及前后关系处理有些时候也很突兀，但是这却是让人感动的欢乐与泪水的剧集，告诉我们许多最简单的道理。我爱每个角色，而且还有许多反传统的比如QUINN这样的CHEERLEADER，很喜欢她。唉，都唱得那么好，我也想学。            
(5星)	 rachel加把劲啊finn要被kurt掰弯了~Dianna Agron大爱~            
(4星)	 歌舞青春的电视剧版 剧情弱 音乐赞 二合为一好省时间            
(3星)	 好喜欢恶女sue            
(3星)	 没有传说中那么神嘛            
(5星)	 好搞笑……我也喜欢MR.SCHUESTER            
(5星)	 还有点欢乐。            
(4星)	 唱得好呀            
(4星)	 每次新一集的Glee出来，俺都快进把唱歌的地方过完，直接无视那讨人厌的女主角，我连那娃娃叫啥都不记得，然后瞟两眼男老师和Q~就直接扔回收站了。            
(4星)	 Just sing till the whole can be shaked.Bravo!            
(5星)	 我爱青春洋溢            
(4星)	 又gay又欢乐~~            
(4星)	 I like Sue &amp; Kurt~            
(3星)	 突然觉得自己变成了那个自私的老婆，如果真是这样，那我诅咒你一辈子组织不了那个乐队，我是很阴暗            
(4星)	 像高压阴霾中的一瓶气泡矿泉水，咕咕咚咚大喝几口，不用脑子，清爽无负担。            
(4星)	 TLW时一点也不喜欢Jane Lynch，不过这里的Sue真是有魅力~（冷血无人性的女王总是喜剧里最出彩的那个，就像BoT的Portia~）Rachel唱歌时候的表情好怪...剧情没什么意思，但是numbers还是值得一看的。And,can it get any gayer!            
(5星)	 Don&#39;t Stop Believing!!!最喜欢的一首!!!!&gt;&gt;&gt;tell me right from wrong,and weak from strong,that&#39;s a lot to learn.&gt;&gt;&gt;Oh,somewhere,over the rainbow.            
(5星)	 等待你们的再一年！            
(4星)	 轻松的剧~            
(4星)	 Will是奥兰多和Jake的合体            
(3星)	 故事不喜欢。歌曲确实不错，但还是无法吸引我。            
(4星)	 歌好听！故事就是一般的校园剧，男男女女的纠缠            
(4星)	 挺欢乐````吭？有点幼稚……            
(4星)	 小情歌，小情调。            
(5星)	 可爱可爱可爱！！我又上瘾了。。。            
(3星)	 看到一半看不下去。            
(5星)	 SO CUTE= =!!            
(3星)	 真歡樂~不過美劇總要讓演員們，不管男男女女男女，統統都產生感情的作法，真讓人齒寒~            
(5星)	 最后一集很感人呐            
(3星)	 not my cup of tea            
(5星)	 I love it!!            
(4星)	 不知不觉就看完了T T别发展到GG里的乱交就好T T谁不爱励志音乐剧呢。还有个凶悍的反面教练T T气场强大啊。运动服可以穿的这么帅气T T我爱glee~~~~歌曲太好听了&gt;&lt;            
(3星)	 剧情弱，唱得还不错。以及……主角不够养眼            
(5星)	 GoldenGlobe不是盖的阿            
(4星)	 歌舞类美剧            
(5星)	 我喜欢hurt~可惜里面的女人没一个可爱的，尤其是schuester的老婆，恶俗至极！！还有那个大眼睛的女老师，我看了就想吐……丫的，真J！~            
(5星)	 从来没有一部电视剧让我这么着迷,特别是十三集和最后一集,完全是哭着看完的            
(4星)	 五集以后就疲态尽露了，只能靠误会吃醋来推动剧情了。不过人家唱的真好听。            
(NA)	 唱的一听就很不现场啊，这让我怎么起鸡皮疙瘩。            
(4星)	 歌都好好听！            
(3星)	 - - 有点青春过头了            
(4星)	 剧三星.一星给音乐            
(5星)	 finale看得内牛满面 如果去荒岛只能带一部美剧 只能是这一部！！！            
(4星)	 最后一集看了rmvb后下了720P~~峰回路转自然是cliche~~~ 但是宽脸妹的歌声太动人~~老子的游行不下雨~~            
(5星)	 tv show of the year...            
(4星)	 個人覺得雖然也狗血，但是比high school musical好多了~對於高中生的那些小糾結心思的描寫還是很真實            
(5星)	 海报~音乐~·MINORITIES~狗血老师~都比较对我胃口~~最后一集深深TOUCH ME~~            
(5星)	 谢谢你让我在最迷茫无助孤独的时候帮我找到方向。            
(3星)	 剧集质量随着集数增长逐步下滑直至惨不忍睹            
(4星)	 实在没时间追了，虽然挺舍不得里面好听的原声~            
(3星)	 哦 这就完啦 很肥皂~~~            
(5星)	 期待下一季            
(4星)	 歌好听            
(5星)	 每首歌都好听！            
(4星)	 一开始以为是电视剧版high school musical，然后发现剧情开始变弱智，然后发现听歌总是很开心，男男女女也越看越顺眼            
(4星)	 真人版KTV大乱斗            
(5星)	 MUSIC IS LIFE.YOU FINALLY GET WHAT YOU WANT.            
(4星)	 挺欢乐的            
(4星)	 不知道為什么突然喜歡看音樂片~~很棒的音樂,比較狗血和胡亂的劇情~~不過WHATEVER,歌好聽,唱得贊就對了,不是嗎?            
(2星)	 演员选的太差了 尤其那个男老师一点魅力也没有还要跳蹩脚的舞 男一傻大个 女主是个大嘴花痴 还是女教练有爱            
(5星)	 GLEE赢在有感情又多样性，但盖世群音真的好棒！            
(2星)	 傻逼            
(3星)	 终于把第一季搞定了，歌舞很好，剧情白痴。            
(5星)	 我真是热爱歌舞片……            
(4星)	 ╮(╯▽╰)╭两位老师，行行好，谢谢你们！该离婚的离婚，该分手的分手，早日在一起吧！音樂真是配得太完美了            
(4星)	 说实话，剧情真的很弱智。但是歌曲炫彩！而且怎么说呢，尽管剧情弱，可是，I can help myself to love it。            
(5星)	 太喜欢Sue了～～音乐，Emma的着装，Quin，Sue都是这部里面可圈可点的成分            
(4星)	 106            
(4星)	 音乐好听，剧情warm，看探案剧看太多，穿插着看这个放送一下紧张的神经，效果相当不错。            
(2星)	 连续三周懒得点开 放弃            
(4星)	 劇情較俗，但當音樂響起骨頭就酥了！            
(2星)	 抱歉，题材不大感兴趣。            
(5星)	 下个季再见！！            
(4星)	 热热闹闹的第一季啊~            
(NA)	 113            
(5星)	 这剧太爱了!即使要中考了,却还是忍不住看完最后一集,结果哭得不行            
(3星)	 glee真是我最讨厌的几部剧之一了。            
(2星)	 除开音乐 什么都不是            
(3星)	 好青春好励志，远目            
(3星)	 我恨歌舞剧= =            
(5星)	 关于音乐。关于梦想。男主长得很All American。            
(5星)	 帅哥美女+搞笑+好听的歌们            
(3星)	 哎 么劲到不想看了            
(4星)	 欢乐，客串大牌花多眼乱，对得起音乐喜剧的名头。剧情有点日剧风，励志正直的老师，带着一群无厘头学生实现称霸全国的理想。cosplay霍金的坐轮椅的弟弟其实很帅，喜欢小gay，Will太性感。PS：这剧“英雄”里熟面孔很多，是不是“英雄”里死了以后，都可以来这剧客串下？翻唱水准不一。            
(3星)	 作为音乐剧的确是很不错的。但是这个剧情就不怎么样了...            
(5星)	 09-10季 难得的好片            
(5星)	 Rachel is amazing! love her courage and perfect acting.            
(5星)	 活力四射的青春剧！好想找个Kurt这种Gay man当闺蜜啊~好喜欢April唱歌的声音…有趣的女人！那首Fire真好听。Quinn真心美啊！            
(NA)	 轻喜剧求推荐！！！！！            
(2星)	 忍……不……了女主泰国人妖一般的长相咋办啊！！！            
(3星)	 某些歌就是拿来哼唧的 情节剧情一塌糊涂            
(3星)	 芬恩OK，kurt他爹OK，女一声音真的很好，其实无所谓，我终于看完了            
(5星)	 标记~~~            
(5星)	 我爱sue和kurt!!!!!            
(3星)	 一星给歌舞，那老师的菲林我喜欢，剧情什么的太狗血了            
(4星)	 希望坚持第一季的风格，多多remake经典歌曲            
(5星)	 看笑了 看哭了 看热血了             
(5星)	 怀着崇敬的心情打五星            
(5星)	 先看第二季再看第一季，感觉没有第二季好：除了部分剧情狗血又夸张，故事主题和人物塑造没有第二季般深入。不过依然是非常精彩的青春励志型音乐剧，笑料也相当给力，好几集都笑得肚子疼。Kurt这条线在质量和个人情感上都是最好最喜欢的，父子俩情感依旧感人~只是Kurt独唱有些少★★★★☆             
(4星)	 三星全给音乐，剧情扣两星            
(NA)	 生命中需要简单的快乐。看到青春岁月，依然能找到自己想要的东西。            
