http://movie.douban.com/subject/2294255/	笑傲江湖
(5星)	 李亚鹏算个屁啊在吕颂贤面前            
(5星)	 吕哥            
(5星)	 好不舍得啊啊啊啊！！！自封个长白山派侯掌门好了=v=            
(4星)	 吕颂贤不好看，但是这一版的令狐冲我很喜欢~            
(4星)	 即使排场不足，TVB选角的功夫还是很深的，看了这部戏之后倒是挺喜欢吕颂贤，也觉得岳灵珊演得入戏，关键还是一堆老面孔讨巧啊╮(╯▽╰)╭            
(3星)	 盈盈，血盆大口，有木有？！吕颂贤，长得一点不风流，但是演绎尽显风流，TVB就厉害在这里            
(5星)	  这始终是我看过最好的令狐冲。            
(5星)	 最爱令狐冲            
(5星)	 ~V~            
(5星)	 盈盈！            
(4星)	 小时候看的，印象深刻啊            
(NA)	 经典！            
(5星)	 台词不错，演员也很好；神韵在，居然让我悟出些哲理；金庸笔下的人物我最推崇令狐冲            
(NA)	 配角出彩。            
(4星)	 任盈盈太丑。            
(3星)	 俩主角挺囧的。。。            
(NA)	 吕颂贤！            
(4星)	 大家都看过吧            
(1星)	 这一部除了占了“初恋情结”的便宜  哪一点比央视版的强 谁能告诉我？！            
(NA)	 小时候看过的             
(5星)	 最喜欢这版了            
(NA)	 印象深刻            
(5星)	 主要角色的演技真是太好了            
(3星)	 当时真的觉得任盈盈好丑~            
(5星)	 最爱的电视剧            
(4星)	 吕颂贤版的太经典啊。            
(3星)	 桃谷四仙            
(5星)	 最爱的令狐冲！            
(4星)	 经典都是港版＝＝。            
(5星)	 潇洒 爱恨情仇            
(4星)	 任盈盈特丑            
(4星)	 当年的吕颂贤            
(5星)	 一开始喜欢小师妹，后来超级喜欢任盈盈~怀旧一把系列~相当的怀念！            
(5星)	 小时候痴迷的，现在拿出来重看别有一番风趣，还是以前的古装剧好，现在的都是神马啊。。。一个通宵加一个早上，搞定了。好看啊            
(NA)	 最不喜欢的任盈盈与最顺眼的林平之以及最喜欢的仪琳……            
(3星)	 《笑傲江湖》的几个版本都不是很喜欢，可能是对令狐冲和任盈盈无爱吧。            
(5星)	 梁佩玲稍微弱了一点            
(4星)	 音乐！            
(5星)	 重温了一遍，吕颂贤好好看好好看丫❤❤❤            
(NA)	 先入为主 在我这儿令狐冲就长吕颂贤那样了。。。            
(5星)	 挚爱令狐冲~            
(4星)	 爸爸说这部拍得比较遵循原著，我觉得就是美女少了点。            
(4星)	 为了它，逃过课            
(4星)	 这个难得，它是金庸剧里我少数看完了的。其实该剧演员都一般，除了演岳不群的那位。但要论原著改编剧本，这剧算是有比较好的一个。原著实在是太好，所以就算知道了剧情也还是可以看下去。推荐，但这剧的年代实在也是有一些了。            
(4星)	 其实我喜欢这一版的~            
(4星)	 这个版本哪里都好 就是盈盈不够美！！！            
(5星)	 令狐冲你是我这辈子爱上的第一个人            
(4星)	 血雨腥风终成往事，笑傲江湖，云淡风轻。             
(NA)	 吕颂贤的脸越来越长了！            
(NA)	 不错啊            
(4星)	 侠义气节，淋漓尽致。            
(5星)	 吕颂贤真的很潇洒啊            
(5星)	 笑傲江湖电视剧版的话，这版绝对是最好的，后面再无超越。            
(5星)	 最喜欢令狐冲和逍遥哥哥这类型的            
(5星)	 最爱这一版的 主角跟撒贝宁一样            
(NA)	 重新看的时候，发现开篇的时候很多悲伤基调            
(5星)	 吕颂贤~~令狐冲~~            
(4星)	 喜欢这版的令狐冲            
(4星)	 一度很想去学冲林剑法            
(5星)	 经典。            
(4星)	 那时候觉得梁佩玲真是超凡脱俗。            
(NA)	 突然想起这个来            
(NA)	 吕颂贤版令狐冲    接楼下：听说后来几部里，那个医生有了斯德哥尔摩综合症？听上去好玩，但是不想看了。也许是我偏激了！            
(4星)	 还是喜欢吕颂贤的令狐冲。            
(5星)	 那時的吕颂贤瀟灑了不是一點點了。            
(4星)	 半            
(5星)	 不管後來如何翻拍，這一部永遠是心目中的經典            
(5星)	 曾经多想令狐一下            
(4星)	 小學時每天中午沖回家看這個...            
(5星)	 童年的记忆啊，当年爱死那个令狐冲和任盈盈了。现在看来还是这版的最好看。            
(4星)	 音乐极好            
(3星)	 笑傲江湖算是最喜欢的金庸书了。吕颂贤的令狐冲大赞。            
(5星)	 想到娜塔莎对万尼亚说：“我们原本是可以幸福的生活在一起呀！”            
(5星)	 看了很多遍，还买了碟~            
(3星)	 全是因为丸子，算是两个版本都看完了。。            
(NA)	 补：这版的任盈盈太惨不忍睹了……            
(5星)	 五年级的时候喜欢的要死             
(5星)	 最好最爱的令狐冲啊            
(5星)	 现在又在看~武侠的启蒙作=v=            
(5星)	 最好的笑傲江湖            
(5星)	 一切因为吕颂贤！！！！！！！！！！！1梁佩玲！！！！！！！！！！！！！！！！！还有演小师妹那个美人！！！！！！！！！！！！！！！！！！！！！还有何宝生！！！！！！！！！！！！！！！！！！！！！！！还有！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！            
(5星)	 玉面薄唇，剑眉星目            
(5星)	 最爱这版            
(4星)	 吕颂贤太帅~演活了令狐冲~小师妹是我心里永远的痛            
(NA)	  吕颂贤 当时很对胃口            
(3星)	 虽然好多演员丑了点，但着实有范            
(NA)	 捂脸，曲洋和刘正风.....叹气，小林子曾经也是大好青年...只可惜终究还是误入了歧途。            
(4星)	 到现在居然还有通宵看的欲望哎呀呀            
(3星)	 谁都不许演冲哥            
(3星)	 好像没有能把笑傲江湖给拍好的。            
(5星)	 毫不犹豫，五颗星。            
(4星)	 曲洋和刘正风合奏一曲让我至今难忘            
(4星)	 今天才知道里面的 琴箫合奏曲 作者是胡伟立~~高中时候跟同学一起看得很起劲，很多角色都不错，连林平之岳不群之流也不那么令人讨厌了，连任盈盈也觉得挺好看的。            
(4星)	 盈盈应该让黎姿演            
(5星)	 沦陷——            
(4星)	 一直对女猪念念不忘            
(4星)	 吕颂贤演得好啊            
(4星)	 音乐出彩，吕颂贤传神            
(NA)	 还是这个版本的好看~            
(4星)	 但从造型上来看，我最喜欢这版的令狐冲            
(5星)	 一直没看全却最有感觉的一部            
(5星)	 令狐冲是我最喜欢的男人。。。            
(4星)	 这版本还是不错就是没钱老是内景            
(4星)	 一直认为这版的令狐冲是最好的            
(5星)	 又是经典版            
(NA)	 最喜欢这个版本  大爱吕颂贤            
(4星)	  我也觉得山下智久和吕颂贤长得像哟~            
(3星)	 觉得这一版本的任盈盈最漂亮。            
(5星)	 就是女主角挫了，其他都完美。            
(5星)	 笑傲江湖个人偏爱的版本            
(5星)	 还是喜欢吕颂贤的令狐冲            
(5星)	 吕颂贤太适合令狐冲这个角色了！！            
(4星)	 吕颂贤和梁佩玲的演出，令人刮目相看！            
(NA)	 主要人物死的都有点儿雷人……但是令狐冲和任盈盈没的说            
(4星)	 7/10            
(4星)	 经典啊~            
(5星)	 啊~吕颂贤~啊~令狐冲~            
(NA)	 最喜欢的一个版本,喜欢吕颂贤,不知道后来干么去了            
(NA)	 评价一般            
(5星)	 喜欢的版本            
(4星)	 全都是小时候看的吧~            
(5星)	 令狐从总让我感动。            
(4星)	 令狐冲是我的金书第一爱。这个男人放浪形骸，却十足十是个情痴。人生在世遇到一个两个求而不得的小师妹并不奇怪，然而曾经沧海之后还能有任盈盈相伴，他也算幸运儿了。另，看来看去，还是吕颂贤版最得令狐公子神韵。            
(3星)	 只记得盈盈在纱帐后面弹一曲笑傲江湖，琴声中珠泪滚落，相当动人。谁告诉我笑傲江湖哪一版最好看？？            
(4星)	 吕颂贤挺好            
(NA)	 其实我觉得吕颂贤气质还是挺符合的，就是被任盈盈的妆差点吓死。            
(2星)	 任盈盈太丑了            
(4星)	 几乎情节都是照搬原著 还是很好看            
(NA)	 金庸            
(5星)	 能给120分吗？            
(4星)	 吕颂贤~~~            
(5星)	 吕颂贤哈灵            
(4星)	 尽管梁不够漂亮 但她演的盈盈最是有感觉的   吕演的令狐冲也很喜欢            
(4星)	 第一次专心看武侠！            
(3星)	 这个版本的任盈盈是我最喜欢的。            
(3星)	 当时就被令狐冲迷倒了            
(3星)	 唉，太丑了，演技再好也看不下去啊。            
(4星)	 嗯，喜欢这版笑傲。虽然不及许版令狐冲，吕的也算不错了。            
(4星)	 很好很喜欢。            
(4星)	 我爱令狐大哥。            
(5星)	 喜欢~~            
(5星)	 我真的会背            
(4星)	 算了，女主扣一颗。你还是演冯蘅的时候好看。但小师妹软。仪琳亦然。            
(4星)	 主要讚呂頌賢的風韵一個。另外何寶生、何美鈿的配角都非常够味。            
(3星)	 这个版才是经典            
(3星)	 一般，很一般。无论质量，还是影响力，都是这么多个版本里最一般的。            
(NA)	 我最喜欢的一个版            
(4星)	 这是笑傲江湖里我最喜欢的一个版本了            
(5星)	 吕颂贤还是演出了令狐冲的味道的            
(4星)	 最喜欢的一版笑傲江湖。最喜欢的一版令狐冲和任盈盈。            
(5星)	 令狐冲就是无敌的            
(4星)	 至今没看过最后一集            
(5星)	 就一个字，赞~~            
(3星)	 对这版的令狐冲和任盈盈都不是很感冒……            
(5星)	 大师兄小师妹太经典了~            
(5星)	 大师兄。            
(4星)	 配乐经典！            
(3星)	 还是书比较好看～            
(4星)	 这个版本好呀            
(4星)	 大师兄，大师兄            
(4星)	 其实金庸的作品我一本都没看过，不过对他笔下的人物还是略知一二……嗯，不知道女生是不是都跟我一样喜欢令狐冲……不过这个版本的任盈盈未免也太让人失望了            
(5星)	 最经典的笑傲江湖~~            
(5星)	 经典中的经典，哇哈哈哈!!!            
(4星)	 不错...            
(5星)	 喜欢吕颂贤的令狐冲。令狐冲是我最爱的金庸人物哦。            
(5星)	 一辈子都会喜欢            
(4星)	 最好的版本，吕颂贤传神的表演            
(4星)	 最爱这个令狐冲~            
(5星)	 哇靠，曲子太赞了            
(4星)	 虽然偶不喜欢里面众多面向。可是不能否认这是笑傲江湖里面最经典的改编剧。很喜欢里面的小师妹。。可惜现在很少见她了。唯一最最不能接受的就是任盈盈扮演者那艳俗的长相。。            
(5星)	 吕颂贤版的绝对地好！            
(4星)	 追圈怀旧片+3……            
(4星)	 反正不喜欢最新翻拍的那些金庸作品。            
(3星)	 主角总是不断负伤的，女人们都是爱主角的。女主角出现的真晚。            
(4星)	 吕颂贤演的令狐冲真有书生气。            
(5星)	 很喜欢。            
(2星)	 任盈盈好丑            
(5星)	 最爱的一版令狐冲和任盈盈！            
(3星)	 第一次认识令狐冲            
(5星)	 最好看的版本            
(3星)	 还是用老爸以前买的神奇充电小电视看的            
(4星)	 拍的最贴近原著            
(NA)	 我喜欢这个冲哥和这个盈盈            
(4星)	 好赞啊~我要再看一遍~            
(3星)	 挺喜欢这版本的            
(5星)	 所有金庸人物中最爱令狐冲            
(NA)	 这个版本最好看            
(NA)	 这一版 我喜欢            
(5星)	 我觉得最经典的一版笑傲            
(4星)	 我们这代人心目中的金庸经典            
(NA)	 百看不厌            
(5星)	 最爱这一部的笑傲江湖            
(4星)	 我心目中的经典版本. 冲哥, 盈盈, 蓝凤凰. 喜欢.            
(3星)	 咋就喜欢这个版的呢            
(4星)	 喜欢这一版的。            
(4星)	 欣赏潇洒的令狐冲，若这一生能活得像他这样豁达畅快也就无憾了。没有什么因循守旧的大道理，没有什么黑道白道的假仁假义，他随遇而安，活得坦坦荡荡。一壶酒，一把琴，一个懂他的任盈盈，他的一生就圆满了。想到他，脑中就会浮现出竹林的样子，同样的苍劲，同样的神隐。我最喜欢的金庸笔下的男主角。            
(3星)	 有难看到一种地步....,算了,给点面子...            
(NA)	 喜欢林平之的演员            
(3星)	 盈盈太难看了~            
(3星)	 1996            
(5星)	 印象特别深的，我喜欢            
(3星)	 到现在还记得那首练功的诗            
(3星)	 汗，我是真喜欢吕版令狐冲，那味道太神似了。。            
(3星)	 女主角都太丑            
(3星)	 比大陆版好看            
(5星)	 港版虽然布景简陋，但演员确实选的太好了。            
(5星)	 已经变成情结了            
(5星)	 最好的版本            
(3星)	 我就记得吕颂贤了，完全是因为勾起回忆，给点感情分。            
(4星)	 最爱金庸的这部！            
(5星)	 虽然男女主角不太漂亮，但是胜在有演技，比内地拍的要好看多了            
(3星)	 我也就看过这个版本 还可以            
(4星)	 我最喜欢这个版本的            
(4星)	 我最喜欢这个版本            
(5星)	 我觉得挺好，反正比央视的好            
(4星)	 除了演员选角有点囧            
(5星)	 好喜欢吕颂贤~            
(3星)	 改得有点离谱。。            
(4星)	 吕式令狐真的很有神韵,可惜这部里的女性都不出彩!            
(NA)	 这个很经典啊。吕版令狐冲跟我想象中的最相似。书我看了三遍，电视剧却只有这个版本看完了...            
(NA)	 就是喜欢吕颂贤             
(5星)	 颂贤啊~~~~~            
(5星)	 笑傲江湖曲            
(4星)	 令狐冲是极好的。            
(5星)	 吕颂贤就是我心里的令狐冲            
(4星)	 傲视在俗世上活得精彩            
(4星)	 总感觉令狐冲喜欢的还是小师妹，不爽。            
(4星)	 这版的任盈盈其实很符合原著            
(4星)	 这一版的小师妹是最爱            
(NA)	 吕颂贤居然是半个出家人。。。            
(4星)	 清心善恶咒            
(4星)	 比较喜欢这个版本            
(NA)	 喜欢梁佩玲            
(3星)	 任盈盈扮相太恐怖了，她每次出现都切台            
(NA)	 这个版本很一般            
(5星)	 我最喜欢的版本            
(4星)	 那首笑傲江湖曲很逍遥的感觉            
(4星)	 看的所有版本中最好的了。。。            
(3星)	 个任盈盈唔岩FEEL。。。令狐冲就唔错，够晒潇洒。            
(5星)	 爱上令狐冲            
(3星)	 何宝生是如此信佛的人可以演绎出这样的狠辣，演技好过吕颂贤了            
(NA)	 “抛开争斗挽起衣袖”，主题曲和插曲很好。更喜欢小说。            
(5星)	 其实觉得蛮好看的            
(5星)	 我最爱的令狐冲~            
(4星)	 葵花宝典要自宫先            
(5星)	 金庸片子香港拍的演员都选的好            
(4星)	 最喜欢这个版本了！！            
(4星)	 喜欢这一版的。            
(2星)	 生平看过的最难看的任盈盈，金鱼眼，四方脸，血盆大口……            
(5星)	 这个版本赞            
(4星)	 令狐冲！            
(NA)	 初识金庸            
(4星)	 这就是令狐冲...            
(NA)	 哈哈 喜欢吕的扮相            
(3星)	 比张导那个强--            
(NA)	 经典令狐冲            
(3星)	 一直想看来着，一直也没机会看。可能是期望的太高，想象中总以为这是一部气壮山河，荡气回肠的电视，可在我看起来跟其他的武侠也差不远。可能仔细体会会有不同吧。还是喜欢看天龙八部，神雕侠侣一些。嘿嘿            
(4星)	 大陆那个就还是不要看了。。            
(4星)	 我永远不能是你的令狐冲了            
(NA)	 多少人为之倾倒。。。            
(5星)	 冲灵剑法。在我心中，你是一位德高望重，连回头看一眼都不可以的老婆婆。。。            
(3星)	 盈盈也太丑了……            
(1星)	 女的太老啦             
(5星)	 很多版令狐冲，还是最喜欢吕颂贤这一版。            
(3星)	 任盈盈太丑            
