http://movie.douban.com/subject/3062731/	篮球火
(5星)	看篮球那些片段很热血沸腾！
(1星)	别玷污篮球了，叫装13火吧。。。。
(4星)	打球真能这样就无敌了吧
(2星)	虽然有罗祥可不知道为什么看不下去。。。
(4星)	就是奔着帅哥们去看的
(4星)	我说你们要求不要太高了吧，篮球题材能拍成这样儿已经不容易了好伐。还有你们难道不是纯为看脸的吗！？
(5星)	爱酷酷的言承旭，更爱重兄弟情义的言承旭。。
(3星)	假。太假了。
(4星)	超爱像樱木的大鹰啊!!但是一直没看过结局啊我晕&amp;………………
(3星)	偶像剧里还算坚持着看完了的。因为言承旭，因为F4。
(3星)	第二部快点换女人啊 W不错的
(1星)	让罗志祥演类似樱木的角色，不可忍受
(3星)	。。。。别看。。。
(4星)	大一寒假，释放自己的力量
(NA)	一点吧
(5星)	我的大鹰 啊
(5星)	过年买的碟子看的，想来还是会唤起某种情感的。曾今向喜欢的女孩子聊过，木讷而单纯的要作为某种意思赠送给她来着。而以后，重看篮球火时。虽然不在身边，明明还会想起。。
(2星)	为了酷而酷，为了酷而篮球。这是耍宝还是骗小女孩？
(5星)	好看
(3星)	刚开始很吸引人~后来就还好了！
(3星)	阵容超强，剧情挺烂的，唉。。。浪费伐。。。
(3星)	以前看过一点 假期里发现表弟也在看 还对我说他看过好多遍几乎能背下来了 我才知道如今青少年儿童分不清少年和大叔 他们要的是肌肉肌肉是自己练成肌肉阿喂
(2星)	这个剧情真的蛮无聊的 女主角到底哪里吸引人了
(1星)	接受不了特技扣篮。。
(2星)	冲着言承旭去看的。
(3星)	3大帅哥，2个很不同的美女。 虽然感情戏份没有特别交代清楚，剧情也稍微有点扯，但是那3大帅哥绝对会让你想看的。
(2星)	一点也不好看，而且特技也太假了吧。。
(4星)	夸张，绝对的夸张，对于娱乐来说还是不错的选择
(4星)	言承旭那个帅！
(NA)	不错的偶像剧
(3星)	看这卡司也没能多火 就可想而知了 不过还是可以看看 毕竟我不冲着任何一个人也坚持看下来了。辛苦看了很久竟忘记标 刚才听到有人用篮球火的铃声才想到 OST都好听 但我还是默默嘲笑了他一下 怂
(3星)	为了男主而看
(1星)	里面的女主让人受不了 对罗志祥也无感
(2星)	最佳的偶像全明星阵容，最烂套的编剧和最夸张的特技。1星给言承旭，虽然这戏里几乎没有给你发挥演技的余地但爱你的心依旧不可变更，1星给其他小亮点：霹雳队三龙套各具特色清新可爱+风情万种的大美女教练蒋怡+跑来摆酷耍帅抢镜头的无极兄弟俩。吴小尊真是帅翻天啊，后浪推前浪，阿旭你会不会压力很
(1星)	年龄啊~~
(5星)	因为小猪，只是现在看，不知道还能不能找到当初纯纯的喜欢与感动。
(4星)	我是个俗人，只是冲着这三大帅哥才去看这部片子的。。。W真的好了不起，为了梦想这样的努力，直到生命的尽头。
(5星)	对于篮球的热爱、
(2星)	我要断气了。。。。= =
(1星)	拜托，科幻片也不带这么拍的
(5星)	老吴你还敢再帅一点吗？？？？这部片子一直都没舍得看完……
(NA)	好吧，我觉得还算一般雷人吧……抄袭明显也就，没啥太大缺点
(NA)	囧
(3星)	诶！原来言承旭才是男一！。。。
(3星)	还不错的茶余甜点。对于情节安排上在继续较真就没意思了。ORZ。其实我喜欢的是球魁啊。罗志祥的角色虽然有花道的影子不少，但还是全剧中伸缩性最强的角色，加上他自然纯熟的演技，非常有亲近感。相对来说，东方翔这个角色本来就略显苍白。最后实在不得不提的是，吴尊就是个实实在在的炮灰。
(NA)	兄弟。
(4星)	201108...没工作无聊时，湖南卫视...
(NA)	脑残之作~
(1星)	装逼罗志祥啊，太傻了
(3星)	+半颗
(5星)	三星给这部剧本身。 一星给superman。 一星给罗志祥。
(3星)	看完爱上jerry 
(3星)	W&amp;言承旭哈 比想象好很多哦！
(4星)	我就是喜欢旭旭啊！！
(5星)	为他而看
(3星)	╮(╯▽╰)╭
(3星)	国内的篮球作品基本上都这样，扣篮的时候脚飞得比篮筐还高。这片更甚，空中还能练个降龙十八掌.....实在是毫无篮球的美感，让我们这些会打球的看着是一阵阵别扭啊。。。。好吧，从偶像剧的角度它又是能得高分的，而且从喜剧的角度评价，小猪的演技我是非常认可的。所以折中一下三星吧。
(4星)	忘登记了 哈哈
(5星)	喜欢他啊种不服输的傻劲、
(3星)	明明阵容养眼是我的菜，但不知怎的我就是看不下去
(5星)	因为这部剧~~更喜欢他~~
(3星)	篮球题材~但花样实在是……太扯了！！！
(5星)	一部热血，感动，又励志的青春偶像剧。
(3星)	技术太假了。。。
(1星)	真的很偶像剧~
(4星)	挺有趣的埃
(5星)	看到言承旭跳舞那里 我是真心笑死了····
(3星)	打球的场面好假啊
(1星)	不小心看到了，吐了几天没吃饭！！
(5星)	只因为 有吴尊。
(4星)	既然是偶像剧 那我就不说多到令人发指的威压和反物理镜头了 作为偶像剧打发时间还是很不错的啊
(3星)	要不是羅志祥在 打死都不看。
(3星)	怎么不挑个好点的女主？
(3星)	台剧 
(NA)	就是看帅哥来的
(3星)	看過那麼一丟丟
(1星)	蛋疼啊。堪比大灌篮了。
(4星)	帅哥比较多。。。虽然剧情雷了点
(4星)	我觉得蛮好看的~
(2星)	天武人？我看还是超级赛亚人吧..
(4星)	体育类是我的死穴
(5星)	虽然球技很假，但那口号还是很热血！喜欢言承旭！
(4星)	重温了一遍。
(2星)	看完更喜欢言承旭更讨厌罗志祥了。。。还有蒋怡好好看。
(4星)	女主很难看！！！！
(3星)	光看男卡司就还行
(3星)	帅哥团体
(4星)	是为了看帅锅去的。。
(3星)	打篮球还是玩特技。
(NA)	纯消遣
(3星)	女主角无感。
(2星)	本想看看养养眼的，无奈剧情太弱了，眼我也不养了，实在是看不下去啊
(5星)	小猪和阿旭，那是绝对精彩的！
(4星)	不错
(3星)	当年是冲着吴尊去看的= =。
(5星)	好看死了。。
(1星)	台湾版篮球部落，电视剧版大灌篮……不解释…………——其实，我tm想解释！不给机会啊！篮球火，谁看谁上火！你妹的……
(2星)	是山寨的灌篮高手么
(4星)	有灌篮高手的感觉。。。。 不错的主题
(3星)	实在是无论仿灌篮高手还是别的什么都学得没边了。。。大概只有偏偏我表弟表妹那个年纪吧。。。想想我这一把年纪被他们拽着看这么扯的片子。。。无限怀念灌篮高手啊。。。
(4星)	耶 我是superman~
(5星)	纯π某人. = =
(5星)	喜欢看，喜欢里面不服输的精神和拼到底的劲头
(3星)	虽然都是帅哥，但是剧情和拍摄的场景表达实在是。。。。
(2星)	不知道在拍点什么，不就是打个篮球吗？！@Home 
(3星)	没看完，表示什么时候口水帅哥了可以再看点
(3星)	小猪在里面比较可爱，但不喜欢那个女主角
(2星)	这特技做的。。。
(2星)	对篮球不感兴趣
(3星)	罗志祥在里面超搞笑的^_^
(5星)	很好看
(1星)	唯一的一星给言承旭。
(5星)	酷
(5星)	~
(3星)	在北京看的一刚。。
(2星)	这剧情只能打两分...
(3星)	各种夸张各种扯 但还是蛮搞笑的
(NA)	太假了   第一集就巨假  看不下去了
(3星)	又一部瞎扯片
(4星)	沒事兒看著樂
(3星)	就是偶像剧
(2星)	寒假在家一边看NBA一边看篮球火。我是肿莫了？
(5星)	周采诗。
(2星)	老套又XX，看了两集，摔。
(3星)	意淫之作。
(2星)	无语凝咽了
(4星)	台版灌篮嘛~~很劲
(4星)	Team的力量不穷大。一次次被感动的。是真情。
(3星)	大腐剧
(3星)	太浮夸
(1星)	太夸张，太弱智。
(3星)	好玩
(4星)	很养眼的一部偶像剧，球场的对决还是很high的
(3星)	喜欢上W。
(4星)	喜欢言承旭的表演，喜欢球场那给气势的兄弟宣言，以及很搞笑的舞蹈动作
(NA)	zan 
(4星)	感觉有点灌篮高手的意思
(4星)	很中意W..好销魂。。。。
(1星)	垃圾
(3星)	剧情没意思，最主要是明星
(3星)	假……
(NA)	就看多一些些，没看完
(NA)	etv,天天就是这个，你还是天天在我家看
(4星)	好好看呀
(3星)	还行吧
(5星)	很励志的偶像剧，开始时觉得有些MVP情人的影子，在看看真的是眼前一亮啊，每一集都是看了又看，幽默而搞笑的气氛，没有一般励志片的沉闷，上乘之作啊
(4星)	第四颗星纯粹是给帅锅的。
(3星)	一般般，小猪挺搞笑的。
(3星)	为了吴尊，为了言承旭，我看过，但是，没有坚持到最后，不是我喜欢的风格~~
(4星)	学到很多，虽不持久
(3星)	只为言承旭
(3星)	打篮球，太夸张
(3星)	这部剧纯粹用来放松心情的
(5星)	宝贝第二次入围金钟
(2星)	幼稚
(3星)	太夸张了……
(5星)	很有校园风采的偶像剧，好有灌篮高手的风采，更何况还是三大帅哥同台飙戏不容错过哦！不错哦！
(NA)	元大鹰的搞笑太假了，但还是着实让我笑了很久，jerry和吴尊就是大鹰的陪衬，那个球魁是谁不好非得是洁儿，编剧真是抽风抽过去了。大鹰的奶奶挂的是不是太早了。
(3星)	本来以为会变得像网球王子一样出神入化超脱到网球以外的境界了，或者像灌篮高手一样吸引人。却没想到是这种高不成低不就的综合体。好吧我承认我是来看帅哥的。
(3星)	照旧没有看到最后就放弃了。。。言承旭同学怎么演的性格都是那么闷骚呢。。
(3星)	三大帅哥闪光光~~
(3星)	言承旭是真不错
(NA)	这结局来得太突然、太莫名、太。。艺术
(4星)	结尾真无奈阿= =
(2星)	不想看下去了
(3星)	搞得挺狠的乱拼盘的偶像剧
(NA)	from 芒果
(3星)	无聊打发时间，难道真塑造灌篮高手？
(4星)	很好看。帅哥很养眼
(3星)	三帅小伙
(5星)	废话不多说 看了四遍 还是觉得好看 尤其喜欢比赛时的场面 虽然知道很假 但是他们的运动精神和兄弟情义 绝对不比《古惑仔》差!
(4星)	可愛的主任~
(3星)	这轻功一般的跳跃，囧
(1星)	浪费三大帅的资源啊
(2星)	你们的球技真棒………………==
(3星)	暴龙不错~~吴尊大龙套啊！
(4星)	超喜欢里面的插曲《superman》，嘿嘿~~我想里面的兄弟情结是当代都市中所缺少的，篮球火能融化你内心的冷漠坚冰，我看到的是这部剧中的这一面，不知道你看到的是哪一面
(3星)	还行吧。。有点灌篮高手感觉。。要是吴尊戏份多点就好咯。。很想看吴尊演灌篮高手真人版。。哈哈。。
(4星)	弟弟很迷恋
(1星)	寒假和弟弟一起看电视，瞄了一会，罗志祥一秒不臭屁会死啊，言承旭还可以，一直不知道里面那个W是谁，长的很有味道~
(3星)	虽然篮球打得匪夷所思的夸张和不可能，但是喜欢元大鹰的笑容和让人无语的自恋，里面的歌曲不错，比如绝对无敌，无限循环中...
(3星)	《dunk slam》
(5星)	不错，希望有下一部
(3星)	看在养眼的帅哥份上给的三星..受不了太夸张的篮球动作..Jordan都做不了......没小猪我就不看了..
(1星)	太假
(3星)	冲着言承旭和吴尊去看的，言大帅哥果然厉害，十年过去了魅力不减当年，无论是阿迪的运动装还是公子哥派头的休闲装，都超有范儿。有一段跳舞的戏很赞，不过言表现得一如既往的羞涩和低调啊~~
(3星)	一到假期就开始看白痴偶像剧...
(NA)	我喜欢小猪
(NA)	还是喜欢运动系
(1星)	剧情雷人，演员雷人，台词雷人，特效雷人。如果是动画的话，还可以容忍这种离谱式的夸张。电视剧拍成这样简直侮辱篮球。
(3星)	音乐还不错
(4星)	很有热血漫的风格
(2星)	芒果台看了一点，就看完好了~~剧情扯了  =    =
(5星)	因为有小猪才看，剧情不评价
(3星)	跟周杰伦的『大灌篮』有区别么？那首歌倒真不错、搓搓也很喜欢的。•谁叫你还搞不清楚我和你的差别！yeah 我是superman！yeah你是loser！
(3星)	湖南台……
(3星)	看了几集就看不下去了。我实在没有看这类偶像剧的气质
(2星)	有了兄弟，绝对无敌。。。。
(NA)	应该改名为《魔幻篮球》才是
(5星)	 因为这部剧 我喜欢上了 言承旭，  不过 真的是太无厘头了``
(2星)	有点假 大家用来看帅锅好了
(2星)	当年是hc了&gt;&lt;
(4星)	三大帅哥，怎么能不看看~
(4星)	只能说 是挺帅的……
(3星)	只是冲着言承旭去的
(3星)	开始可期待了呢  后来 发现真tm无聊  爱上w
(NA)	没有0星吗 
(NA)	哈哈。也是罗祥演的~
(5星)	结局好虐啊。。。
(1星)	老妈超爱看的帅锅杂烩剧，陪看的我感觉巨囧无比。
(4星)	其实这部跟其他推荐根本比不了，但是我太喜欢篮球，还有，罗志祥那der的样子，我实在喜欢，你们知道的。。。
(4星)	篮球打得最好的是女生
(NA)	无厘头偶像剧之一...
(2星)	一部众星云集的烂戏，特技也很假
(4星)	篮球就是这样迷倒众多少男少女的
(5星)	只能说演喜剧更困难..让观众笑比让观众掉眼泪更难..
(4星)	与篮球有关都必须支持，爱屋及乌，可这电视的特技夸张了许多。
(4星)	台湾偶像剧的突破 J同学我慢慢开始欢喜你了
(1星)	ei ei ei
(3星)	帅哥，帅哥，都是帅哥！就是没什么美女！
(5星)	大鹰~~~你是Superman！！！
(3星)	雷就一个字
