http://movie.douban.com/subject/2156704/	包青天
(4星)	 很喜欢黑脸包~~很多单元剧也很好看。不过当年看还真没注意有这么多集。            
(NA)	 黑寡妇。。。记忆深刻            
(NA)	 我小时候觉得展昭好帅啊            
(4星)	 呃。。。儿时跟婆婆一起看的~~            
(3星)	 王朝马汉张龙赵虎……            
(5星)	 金超群的颜让我YY小包子和皇上时每每都有罪恶感……当然主CP还是鼠猫~            
(NA)	 补遗               
(NA)	 小时候觉得何家劲版展超巨帅的！            
(NA)	 狗头铡！后面看的包青天都没人家这个威风            
(4星)	 家劲很劲~~            
(4星)	 那個時候看得之扎勁！            
(5星)	 曾经在鲁迅的额头 做过同样的标记。            
(3星)	 导演居然是孙树培，才知道。。            
(4星)	 多小的时候看的呀。就记得好像展昭挺帅的说            
(NA)	 童年回忆            
(4星)	 很小的时候很喜欢的电视剧。            
(3星)	 录下了一周的。等周末回家看一天            
(5星)	 这个包拯太正义了            
(5星)	 展昭帅的一塌糊涂            
(1星)	 真是他妈初期的烂啊！感谢小左给我这次发泄的机会！            
(4星)	 现在就知道展昭很帅了            
(4星)	 童年美好回忆。全家一起看。最记得的是片头曲和片尾曲，好听啊，反复吟唱啊。还有那个什么鼠和那个女孩子的爱情故事。            
(5星)	 全凭当年的感觉 五鼠闹东京            
(4星)	 只记得展昭好帅啊            
(3星)	 想当年何家劲真是帅极了！！            
(5星)	 就记得小时候觉得展昭帅死了，然后成天唱那新鸳鸯蝴蝶梦            
(4星)	 这个超爱的，展昭是小时候的梦中情人啊            
(5星)	 小时候可爱看啦！！！！            
(4星)	 吃着地瓜干，看着包青天~~            
(NA)	 ！            
(NA)	 那时是冲何家劲去地唉从小就花痴            
(4星)	 童年影像。可为啥我那时喜欢师爷而不喜欢展昭??? 裂……我的爱好异于常人。            
(4星)	 悬疑片啊，当年可是爱看呐~            
(5星)	 开封有个包青天            
(3星)	 剧情记住的不多，主题歌却很熟悉。金先生的演技炉火纯青，是个难以逾越的境界。何版的展昭也是经典，很独特的版本。            
(3星)	 小时候觉得这部片子很恐怖            
(3星)	 展昭帅气            
(3星)	 展昭，粉帅呀            
(4星)	 这真的有236集？            
(3星)	 95 年我钟爱的，那是我就3.4岁            
(3星)	 嗯，还是被雷得焦焦的            
(4星)	 硬正!!            
(5星)	 公孙策是个人物，重温了一遍，觉得那种慢条斯理的节奏，古腔古调的念白，剧中人物端庄稳重的行姿坐势，是现在古装电视剧再也不会有的了，现在的古装戏就是胡编乱造，再难给人合理不荒谬之感            
(NA)	 姥姥告诉我 包青天的故事是真的 结果里面狸猫换太子的丫头变成鬼回来上堂 我被吓了个半死 -______--&#39;&#39;            
(5星)	 那时觉得展昭好帅            
(5星)	 开封有个包青天            
(3星)	 展昭没人能第，(*^__^*)...嘻嘻            
(4星)	 一代传奇。            
(4星)	 话说前几天还把黄安的《包青天》下载来听。。。-，=            
(5星)	 还是这个版本的印象深刻.             
(4星)	 展昭还是锦毛鼠&gt;&#34;&lt; 好为难            
(3星)	 “开封有个包青天，铁面无私便种田...”！！！            
(5星)	 包公真黑,展昭真帅,那主题歌真有意思            
(5星)	 好小的时候看的啊            
(5星)	 经典            
(5星)	 我爱展昭~~~ 哈哈            
(4星)	 当年迷死我的展昭绝对不是何家劲演的！！！貌似是焦恩俊？？不会吧 印象最深是蔡灿得和宋逸民那集 宋逸民在雨里面一直跪看得小时候的我很震撼            
(NA)	 修电脑时重温了一集,里面的大太监竟是邰智源演的,豆子倒是记得的            
(5星)	 新鸳鸯蝴蝶梦            
(4星)	 不错，也算经典，何家劲靠这本片子也算红了把            
(NA)	 当然看过，展昭兄～            
(4星)	 以前看过的            
(3星)	 ms有灵异和鬼神成分……俺当年觉得何家劲很精神咩~~            
(NA)	 当年我多想嫁给展昭啊！！！！= =！            
(5星)	 以前好爱展昭啊            
(NA)	 就歌儿有印象            
(4星)	 开封有个包青天            
(NA)	 啦啦啦            
(NA)	 这个版本当年真的很红...            
(4星)	 我4岁就会唱主题曲 哈哈            
(NA)	 当年姥姥家大院里的一个玩伴经常做梦串进包青天的剧情            
(NA)	 啧啧……            
(5星)	 擦 当年展昭简直就是梦中情人啊！！！            
(5星)	 小学啊！正义啊！            
(4星)	 小时候听包公说话的调调很害怕            
(4星)	 童年。            
(5星)	 何家劲可是男明星里的我的初恋吖！            
(5星)	 经典中的经典            
(4星)	 经典无法超越。只是古代社会观无法认同导致回顾一番回得很纠结            
(NA)	 那会刚认字不就，哈哈            
(5星)	 我小时候超级爱的~~~~~~~~~~~            
(5星)	 经典            
(5星)	 展昭！没的说的            
(4星)	 何家劲同学·帅啊··小的时候··            
(4星)	 我应该没看完吧            
(NA)	 当年多喜欢何家劲啊。            
(4星)	 展昭是各种人儿时的白马王子啊 包包大人说话好慢啊~~            
(NA)	 从小就爱看这部剧集，熟悉的曲调，熟悉的身影。最喜展昭的温情，虽着墨很少，却足以将展昭印如心底。            
(3星)	 前段时间又重新把“鱼美人”这个单元整个找来重温了一遍，因为当时电视里播的时候，最爱看，最怕看的就是这一单元。这是很传奇的一个神话单元，也为我幼小的心灵埋下了热爱恐怖片的种子（冥河姥姥的那两个纸人真的很有阴影啊），只是现在再看时，发现剧情真的蛮狗血的，呵呵            
(4星)	 每次看到包青天的电视都想到这个人~~            
(4星)	 展昭帅气！            
(NA)	 何家劲版御猫~童年最萌的回忆之一。。。。            
(3星)	 小时候当恐怖片看，展昭总是很帅的。            
(NA)	 很小很小很小的时候。。。。            
(4星)	 经典啊。            
(NA)	 何家劲。。。            
(NA)	 这个海报整么这么好看！！            
(5星)	 小学六年级前一直在琢磨包大人和月野兔的关系…六年级后一直在琢磨包大人和月野兔和哈利波特的关系…小学时班上还一度举办“用手掐月牙”大赛呢！还有话说展昭一直是我小学时期性幻想对象…我从小就喜欢保安就喜欢长大能带领人民保卫祖国的鬓角男怎么着了吧！            
(3星)	 大人  大人。。。            
(NA)	 昨天下午看了鸳鸯蝴蝶梦，好唏嘘，离垢好惨。            
(4星)	 展昭是那个年代所有女人的梦中情人            
(4星)	 难道不认为这一版的才是最好看的吗？            
(4星)	 实话说，我当年看包青天都当恐怖片看，看了案子心里可堵的，哪像现在都麻木了。            
(3星)	 何家劲那个帅啊            
(NA)	 小时候的记忆            
(4星)	 陈世美的那部分记得最清楚了....            
(NA)	 台剧的经典            
(4星)	 幼儿园时候是那么得迷恋展昭~~            
(5星)	 展昭好帅            
(4星)	 小时候爱看，妈妈也爱看            
(4星)	 开封。。。            
(4星)	 那时的展昭 哇塞            
(5星)	 小時候的記憶。。。            
(5星)	 让我觉得我是杨家将的后代~            
(4星)	 小时候看过的定好的电视剧            
(NA)	 小学低年级···我 哥 妈            
(4星)	 新鸳鸯蝴蝶梦            
(5星)	 即使有新的版本出来 依然无法超越的旧作            
(5星)	 这个拍的还蛮恐怖的。记得是小时候跟奶奶躺在床上一起看的。经常有书生和妓女的纠葛。            
(3星)	 一年级的时候好像是。。            
(5星)	 铁三角无法逾越            
(4星)	 开封有个包青天            
(4星)	 小学暑假里看的，挺好玩的。            
(5星)	 无法磨灭的经典纪念!至今记得当年何家劲版的展昭是我小时候第一任梦中情人呀~~            
(4星)	 所以说，展昭才是主角            
(4星)	 抽刀断水水更流，举杯消愁愁更愁，明朝清风四飘流，由来只有新人笑，有谁听到旧人哭，是要问一个明白，还是要装作糊涂，知多知少难知足，看似个鸳鸯蝴蝶，不应该的年代，可是谁又能摆脱人世间的悲哀            
(4星)	 小学的时候我只崇拜包青天。            
(4星)	 当年多迷展昭啊……多帅的小伙子啊~            
(5星)	 月亮。            
(NA)	 小时候看过都忘掉了             
(4星)	 有一集展昭被恶人束缚搞得很惨，幼小的我狼血沸腾了！            
(4星)	 那时候一直追~~~            
(4星)	 小时候小时候  我最萌的何家劲            
(NA)	 曾经的经典啊~~            
(5星)	 小时候觉得展昭真他娘的帅啊。            
(4星)	 几千年前看过            
(4星)	 那个时候好看～            
(3星)	 还可以            
(5星)	 小时候断断续续的看了些吧，肯定不全            
(4星)	 不知道还有没有勇气再看一遍，那个帅气的展昭，那个正直的包大人，那个智慧的公孙策。。。            
(3星)	 哪一年的啊？不太记得了~但是还记得包拯说话的腔调            
(4星)	 小时候好喜欢看··看包青天头上的月牙~~哈哈···            
(5星)	 想起我姐姐对展昭的崇拜了~            
(3星)	 只剩下记忆了。            
(3星)	 啥都不记得了，就会唱主题曲。。。            
(4星)	 金超群的包青天，气质无人能敌            
(5星)	 看过很多版本但这个版本最好最经典～            
(4星)	 展昭是嫂幼儿园时期的梦中情人！            
(4星)	 展昭太帅了。童年梦中情人            
(NA)	 展昭！梦中情人！！            
(5星)	 有200多集吗？汗一个先            
(4星)	 当时我总模仿展昭~~            
(4星)	 好像包青天是这部拍得最好？忘了            
(5星)	 月亮弯的包青天            
(4星)	 你说，我们是怎么长大的?            
(5星)	 小时候可爱唱主题曲了            
(NA)	 那歌曲是现在都会唱            
(NA)	 美人鱼！！！！！我小时候爱何家劲爱得无以复加！！！！！！！！！！！            
(3星)	 一共有几部啊，俺想知道全集            
(NA)	 屠龙记是我从小到大的噩梦~            
(5星)	 包青天，我偶像啊            
(5星)	 那是还好喜欢何家劲。。：）            
(4星)	 情节全都不记得了。四颗星全都给宇宙超级无敌霹雳帅的展昭。            
(5星)	 我的童年最爱！展昭啊！！！            
(3星)	 这个~超人快来！！            
(NA)	 昨日像那东流水            
(NA)	 主题曲 很有男子气概            
(4星)	 无法忘怀的记忆。            
(4星)	 包青天那个样子看了就让人忘不了            
(4星)	 童年时候看的.....            
(NA)	 小时候我觉得展超特帅。            
(5星)	 当时觉得好帅，特别是展昭。。            
(NA)	 这究竟是台湾的还是内地的            
(5星)	 我很喜欢那个肥嘟嘟的包青天！            
(4星)	 当年觉得展昭好帅噢。。。囧            
(4星)	 那个时候会和外公一块看~`HOHO```            
(5星)	 记忆啊记忆“开封有个包青天...”            
(3星)	 当年杠杠迷恋何家劲            
(NA)	 除了印象和感觉，真的已经记不起太多了，找时间重温下            
(4星)	 开封有个包青天...            
(4星)	 展昭            
(NA)	 陪奶奶看的            
(5星)	 展昭……            
(4星)	 喂~唔~            
(3星)	 还是这个版本最好。包拯长得有够丑！那时候觉得何家劲实在是帅翻了！            
(3星)	 一直觉得此版的包青天才是正版！            
(4星)	 记得当时还是挺喜欢看的。三星半吧            
(NA)	 小时候看的时候直纳闷他那月亮是怎么长上去的.            
(4星)	 太经典了。            
(4星)	 最爱这个版本            
(5星)	 我觉得我必须得给它写篇长评，饱含童年回忆的。若是用一句话评论，那就是——铮铮铁骨，一身正气！            
(4星)	 何家劲的展昭 经典形象了            
(5星)	 我会双手按着课桌学展昭在天上跑...&#34;昨日开封发大水冲断展昭两条腿,展昭没有腿怎么飞?&#34;...其实展大侠是我心目中的硬汉            
(4星)	 哇~~这么经典的，记得印象最深的是小时候去姥爷家别人家在看这片~            
(NA)	 那时最好的朋友的外号            
(NA)	 我以为它是港剧以为了很久。。。。明明是在翡翠台看的啊 = =            
(NA)	 经典啊经典            
(3星)	 就记得里面貌似展昭和庞太妃有JQ……            
(4星)	 完全记不清了 就知道主题曲 还有什么狗头斩啊 猫头斩之类的~            
(NA)	 很小的时候看过，但是忘得差不多了。。            
(NA)	 神明            
(4星)	 第一次看的版本,总认定是最经典的吧~            
(5星)	 小时候也觉得这个很NB。            
(4星)	 展昭帅~印象里就是这样啦~            
(NA)	 展昭，绝了，我初恋啊！            
(4星)	 包青天长得真正义！展昭真帅！主题歌真提气！            
(NA)	 小时候            
(4星)	 话说我还记得那个音乐：开封有个包青天~~            
(5星)	 也算是一部经典了！            
(3星)	 [昔日所看]            
(4星)	 经典！            
(5星)	 至今还记得主题曲……            
(3星)	 忘，忘了。            
(5星)	 幼兒園時代的了！            
(3星)	 一群吃飽了撐的            
(3星)	 很早很早以前的回忆。            
(4星)	 属于小时候 怀旧到底吧            
(NA)	 又是当年热爱的扬我百姓愿望的实现幻想剧作。            
(NA)	 小时候热播的电视剧之一            
(4星)	 难以言说的美好回忆，和爸爸妈妈一起看，很少有这样的温馨时光。            
(5星)	 永远怀念            
(4星)	 最起码……主题曲很经典，比后来恶心吧唧的那种“少年版”好太多了            
(5星)	 好看~~帅帅的展昭~            
(NA)	 新鸳鸯蝴蝶梦            
(5星)	 想念那个时候的何家劲，因为那个时候我连买补脑的保健品都只买何家劲做广告的脑轻松~~~            
(3星)	 没听清歌词的时候觉得很靠谱，听清了觉得不那么靠谱。还有，剧情越到后来越神怪，断不清的案子都是妖怪弄的，无语了。            
(5星)	 那時候覺得很魔幻            
(3星)	 经典的陪伴我成长的电视剧            
(4星)	 很好看的古装剧，就是悬疑上差一点            
(5星)	 天啊~ 最最最 遥远的回忆~ 那个时候还拼命的想嫁展昭呢-。-            
(4星)	 展昭是我小学时候的梦中情人。            
(4星)	 又重新爬回到最初的那面墙上了。TAT，展大人呐～～～            
(5星)	 当初晚上十点起来看，几乎没声音（和爸妈睡在一起）地看，经典！            
(NA)	 开封有个包青天已经记不得了- -            
(5星)	 小时候爱看啊            
(NA)	 那个时侯的展昭多么帅啊~~            
(5星)	 经典的回忆啊，那时我们都会那主题曲。            
(5星)	 经典            
(5星)	 挺酷的啊！哈哈            
(NA)	 我的展昭啊～            
(3星)	 代表月亮惩罚你。            
(4星)	 记忆深刻            
(NA)	 开封有个包青天~北京有我~            
(4星)	 当年多少mms喜欢少侠展昭啊，sigh~            
(5星)	 小学时候 喜欢得不行 超级喜欢看  虽然现在基本上不记得讲的是什么了            
(4星)	 小时候，在爷爷的讲解下看的，很怀念            
(4星)	 很小的时候看过，貌似都忘了            
(NA)	 何帅毙了！！！嘿哈黑哈~~            
(NA)	 豆瓣猜我会喜欢...            
(5星)	 超爱看~~~            
(5星)	 包大人 展昭为什么这么帅啊 叫他把这身红衣服送给我好不好            
(NA)	 太古老了吧            
(4星)	 小时候的印象就是展昭超帅，片尾曲巨好听，包青天很像，故事很有趣！            
(4星)	 开封出人才            
(4星)	 这个&lt;包青天&gt;我小时候就是喜欢看那个展昭-何家劲,觉得这位叔叔长得好帅~~            
(3星)	 这版本似乎还可以？            
(NA)	 我们韩国同学给我唱包青天的主题曲......            
(3星)	 看了这个以后，后来再出现的所有包青天我都觉得是假的            
(NA)	 开封有个包青天            
(3星)	 那个时代的经典，现在看来，还成            
(3星)	 其实很经典            
(3星)	 当时很迷恋展昭...            
(5星)	 当年那个喜欢劲啊            
(NA)	 我喜欢展召...            
(5星)	 话不用多说,铁面无私包青天,不知被小昭迷死的少男少女有多少?            
(4星)	 從小就愛這類的破案劇            
(5星)	 小时候觉得展昭好帅啊。。。            
(4星)	 童年的記憶了，依稀記得在公堂上喊威~~~~武~~~~~            
(4星)	 老版就是经典。。            
(3星)	 我花痴，就记得个帅展昭            
(NA)	 展昭就跟黑猫警长似的            
(NA)	 展昭好帅            
(5星)	 怀念寒暑假看电视剧的日子            
(4星)	 新鸳鸯蝴蝶梦啊，那时候满大街的放            
(5星)	 这是历史上最经典的包青天！            
(NA)	 包青天！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！1            
(5星)	 想当年主题曲被我们改成“昨日你家发大水，你妈变成老乌龟，……”            
(NA)	 小学时看得            
(5星)	 小时候超喜欢看            
(3星)	 小学            
(3星)	 开封有个包青天            
(4星)	 尽在记忆中            
(3星)	 啊啊 这个有十多年了吧？            
(NA)	 金超群这个版本很赞啊，紧接着看的是刘伯温            
(NA)	 开封有个包青天~~~            
(5星)	 那时港台电视剧太好看了。即使在20年后的今天，大陆的所谓古装剧、武侠剧、穿越剧跟那时的经典相比，也是一团狗屁。            
(4星)	 展昭 好帅！！！            
(4星)	 展昭！            
(5星)	 当年觉得世界上最帅的男人就是展昭！！！            
(4星)	 还是金超群的版本好            
(NA)	 【1993-02-23】            
(5星)	 小时候的梦想，是做展昭            
(5星)	 哇塞。这个和白娘子都是在地上躺着看睡着再醒了继续看的，不同的是这个看完脑子里就只剩下展昭了！！←花痴            
(4星)	 金超群的包拯，何家劲的展昭，无法复制的经典啊！！            
(4星)	 儿时的记忆            
(5星)	 童年回憶。            
(4星)	 童年回忆——古装CSI            
(4星)	 最爱各种铡刀出现的时候~~            
(4星)	 假期再看笑死了            
(NA)	 小时候在二叔家看的。最后一集片尾卡司时，出现包拯一身缟素端坐堂上的阴森森的画面，当时还装逼地告诉身边的叔叔大爷们民间传说包公死后化身为阎王爷云云            
(3星)	 何家劲老师。。。            
(4星)	 也是跟着爷爷奶奶看的……            
(5星)	 拍到后面成神话剧了。。。            
(5星)	 已经不记得了 但小时候好喜欢看            
(4星)	 儿时最多看的，还看字幕学字呢，结果某些繁体字后来一直改不过来，写作文屡屡被扣分            
(4星)	 威武~~            
(5星)	 我次奥！当年看的可带劲儿了！            
(3星)	 已经忘得一干二净了            
(NA)	 童年回忆……            
(3星)	 哈            
(4星)	 开玩笑 何家劲是我懂事起第一个喜欢的男演员            
(4星)	 包公的voice好special            
(4星)	 金超群很超群……以后的包公难以超越了。            
(5星)	 哈哈哈 当年晚晚都追亞視            
(4星)	 开封有~~个~~包青天~~ 扮相深入人心            
(3星)	None
(4星)	 介个包青天是我见过最尼玛给力的包青天~哈哈哈~太尼玛忠于历史了那么漆黑的，那月亮还那明显！搞的后来大家都和你学！真是的！化妆师不作孽么！你以为！            
(4星)	 幼时的经典！！            
(NA)	 小时候跟着姥姥看的，在姥姥的点评下学会了是非黑白，嫉恶如仇。            
(4星)	 真想把它归为“恐怖片”            
(5星)	 后来拍的再看，包青天怎么都不会老的样子。。。            
(3星)	 当年都迷展护卫吗？            
(3星)	 新鸳鸯蝴蝶梦，对台剧不怎么感冒，这个算好看的了。            
(4星)	 小时候最喜欢看了，那个时候何家劲的展昭最帅了。            
(5星)	 展昭！！！！            
(NA)	 过            
(5星)	 欧欧俺的包黑子展少侠还有大闸刀！当时觉着有几个故事蛮吓人（竟然有236集！？            
(4星)	 展昭是我的儿时偶像好嘛！！！！！！！！！！            
(4星)	 是我印象深刻的是里面群众围观的镜头。与大陆剧动辄几十人乃至上百人的阵势相比，呆丸电视剧中的围观群众人数永远保持在15个左右。            
(4星)	 温习了一遍  现在都觉得很好看~            
(3星)	 小时候看过的，感觉很好看            
(5星)	 正义之声！~            
(3星)	 木哈哈哈哈 展昭就是當年我的理想型啊            
(4星)	 新版老板都看了            
(5星)	 何家劲好帅嘞            
(4星)	 依稀感慨真是武侠玄幻言情于一体的大剧。            
(4星)	 现在再看 就不太看得下去了，不过确实是童年美好的回忆呢~给一星给我从小就花痴的何版展昭！            
(4星)	 何家劲好像就展昭这一拿得出手的角儿            
(5星)	 开封有个包青天，铁面无私辩忠奸            
(5星)	 啧啧～            
(4星)	 再重看一遍的时候暗自笑了。            
(5星)	 那个时候觉得何家劲哈帅，台湾版的片子连台词都听不清楚，往往要靠猜的。金超群是最包青天的，那个扮相，是在是太复古了            
(NA)	 噔噔噔噔，开封有个包青天。。。。            
(3星)	 对展昭的印象那叫一个深刻啊！            
(4星)	 记忆点一 新鸳鸯蝴蝶梦 记忆点二 脑经急转弯 包公的脸为什么是黑的？            
(5星)	 赞抚慰啊T T抹泪            
(4星)	 最像样的包拯。            
(4星)	 我记得何家劲是我唯一穿过在身上的地球人。1年级的偶像啊，展昭。            
(4星)	 开封有个包青天，铁面无私            
(5星)	 黑脸！我爱恁~~            
(NA)	 我觉得……展昭挺帅的……那个时候……哎呦，我的萝莉心            
(4星)	 儿时的记忆。            
(4星)	 展昭啊！！！小时候的梦中情人啊~            
(NA)	 很正很红的包拯同志……            
(3星)	 代表月亮惩罚你~            
(4星)	 开封有个包青天，还有印在1毛2毛的小零食好像是酸梅粉背面的歌曲新鸳鸯蝴蝶梦……            
(5星)	 那首歌我忘不了，小时候最喜欢的剧集（和《西游记》《新白娘子传奇》）。            
(5星)	 最经典的            
(4星)	 小白不够帅= =            
(4星)	 从此喜欢黑色            
(NA)	 当时觉得展超超帅！            
(4星)	 展昭帅            
(4星)	 从小就觉得展昭长的特别帅，还有那首鸳鸯蝴蝶梦特别好听            
(4星)	 当年打开电视都是它，能不好吗            
(NA)	 开封有个包青天~~            
(4星)	 原来包拯叫金超群啊。            
(4星)	 当初追得很！            
(5星)	 经典            
(NA)	 当年超喜欢的            
(5星)	 新鸳鸯蝴蝶梦 20年了            
(4星)	 其实此乃最靠谱的一版包青天了……没奈何老人家天天看，弄得我对包大人的怨念极深了……            
(4星)	 我觉得改编成京剧一定很好，剧本超赞            
(5星)	 现在重温觉得93版胜于其后任何一版本。原音录得很好，剧情依然引人入胜，节奏紧凑，演员投入认真，咬字尤其清晰标准，和现在台湾剧的口音形成了囧异对比，干嘛现在台剧讲话变得那么二？            
(NA)	 好看好看！何家劲帅的~            
(4星)	 看到后面感觉都是一个模式。。。不过真的很经典~~~~~演员都很尽力！            
(5星)	 反正我觉得太好看了啊            
(4星)	 这个集数 我嘞个去……            
(4星)	 哇展昭超帅的   小时候的花痴男明星            
(4星)	 神聊            
(4星)	 哇，孙树培。。。            
(5星)	 真是经典啊  展召 也太帅了.            
(NA)	 爷爷喜欢看，我就在他房间和他一起看！每天晚饭时间。            
(5星)	 小时候很喜欢展昭...            
(4星)	 今儿重温了鸳鸯蝴蝶梦，简直就是情殇曲，甚是悲壮。沈柔，石永靖，柳青平，桑博，一个女子与三个男子的纠结情爱关系。扭曲的死，癫狂的死，悲壮的死，阴郁的疯。以爱之名，谁堪承受？各种唏嘘。            
(NA)	 这几天哪个台在播……            
(NA)	 还是这个包青天经典。还是何家劲帅啊~            
(3星)	 其实那演陈世美的演员长的不错的            
(4星)	 我能记起的我看的第一部电视剧，在我三岁那年。            
(4星)	 新版不怎麼樣            
(4星)	 小时候展昭就是我偶像啊！！            
(4星)	 最近在放新版的，包公展昭还是老样子，公孙策老了            
(5星)	 那会儿多少人为了展昭的英俊外貌所迷惑啊...            
(4星)	 对包青天印象最深的一部，还有他公堂前的侧刀            
(NA)	 开封有个包青天,铁面无私辨忠奸..            
(4星)	 多谢展护卫前来搭救！            
(4星)	 当年莫名喜欢&#34;威武威武..&#34;            
(4星)	 最爱这一版的展昭。            
(4星)	 老有腐的feel~~~当展昭受伤时（重到差点死翘翘）包子说幸好皇上没事...吐血半斤...气死了，人家展昭为你出生入死你一点感情都没...!!!!            
(4星)	 我爱何家劲。            
(5星)	 六星我草            
(5星)	 原来我是这个口味的~~小时候爱看，长大了还是爱看            
(5星)	 经典……            
(NA)	 那时候对何家劲。            
(5星)	 恩~~ 回忆啊            
(NA)	 十多年前看的时候好喜欢何家劲演的展昭。。现在看展昭怎么觉得这么有喜感呀            
(3星)	 小时侯..            
(5星)	 我祖宗。。。            
(4星)	 现在想想……王朝、马汉能让我穿越到《天地无用》ORZORZORZ            
(4星)	 没有配音，感觉台湾人说话很斯文，很小声。            
(4星)	 展昭，从很小时就一直钟情的那抹红色，最初的，爱慕。真是想过，要嫁，就要嫁这样的男子。那时这样年少，全然记不得剧情，只是真的沦陷，情结很深很深。            
(4星)	 那時候真是缺演員啊，陳世美換件衣服又復活了。            
(4星)	 开封有个包青天...每晚必追...            
(5星)	 那时候为了看这个都要等到21:50呢~            
(4星)	 至今记得主题曲，也许多半是因为那个小品？            
(5星)	 儿时经典            
