http://movie.douban.com/subject/3012310/	女巡按
(4星)	 虽然剧情很狗血。。。但是胜在两位主演的戏份吸引人，刘非确实是人间美物啊            
(5星)	 完美！非秀我超爱！刘非师爷好美啊~            
(4星)	 这是一部神奇的合拍片            
(3星)	 印象挺深的！            
(3星)	 纯属看陈道明的~            
(4星)	 那时我已经喜欢明叔了w            
(4星)	 陈道明叔叔好帅气啊 有木有！！！！！            
(NA)	 07.也许过去看是经典，现在却没办法接受一位谦谦公子对一个村姑含情脉脉的剧情。何况片源还那么难找。            
(5星)	 喵呜！！！这片子看了十多年了现在还在看！！！&gt;w&lt; 神作啊！！！            
(5星)	 师爷你真真萌死个人了俩~~你一定要和大夫人在一起            
(5星)	 六个故事，对其中四个印象很深。集合了两岸三地超多演员，不能说是精品，却至少能让每个观众看得很开心            
(5星)	 这个好经典的说！！！想再看一遍！            
(5星)	 小學時就很喜歡、最近重溫更愛了、            
(5星)	 师爷很出彩            
(5星)	 算是看过了，有君如的一部片。吕若男的骄傲和温柔不是所有人能看得到。但是幸运的是，君如表演的一切是我所珍贵的。            
(NA)	 小时候超喜欢看。。。            
(5星)	 好欢乐            
(2星)	 竟然有陈道明！            
(NA)	 当年刘师爷让我垂涎至今啊            
(5星)	 明叔太帅了。。。。。            
(5星)	 有史以来第一次这么认真的看完一部肥皂剧，明叔也有脱线的时候啊……            
(5星)	 我小学时曾执迷多年的人物儿，上帝赐给我一个刘非吧！那双眼睛堪比康熙没留胡子时的妩媚娇嫩呀～            
(4星)	 丹凤眼妖孽师爷。非秀情结难解。            
(4星)	 点点滴滴在心头， 这种含蓄美， 何时才能再出现            
(5星)	 4颗星是给明叔的，还有一颗是给孙翠凤的。            
(5星)	 小学看的哇~~那时候特喜欢师爷，还不知道是陈道明演的。现在看看不少的两岸三地大腕儿╮(╯_╰)╭            
(NA)	 明叔！明叔！            
(3星)	 道明叔当年很帅啊            
(4星)	 道明叔一笑一颦直击我的一颗萝莉心啊！！！！            
(NA)	 这个还是挺搞笑的每天放学中午电视机上老放这个，很照顾我的情绪喜欢            
(4星)	 张铁林在开头打了个酱油就挂了，然后陈道明就越演越妖娆啊~~            
(3星)	 因为这部戏才认识的明叔，当时觉得这个师爷太睿智太儒雅太迷人了吧，一颗loli心砰砰乱跳。明叔威武啊            
(4星)	 阿飞师爷，你要跟大夫人在一起。            
(NA)	 支持凤姐，太搞笑了，也很喜欢乐乐            
(5星)	 非常好看！陈道明太帅了~~~~~~~~~            
(4星)	 制作方你敢不敢把结局拍出来！！            
(NA)	 我就是为了陈道明看的 他那小丹凤眼太勾人了！            
(4星)	 才想起里边有过师爷版的道明叔。。。|||            
(NA)	 终于找到了。            
(4星)	 小时候             
(4星)	 我娘很喜欢            
(4星)	 这也是小时候看的。我记得~~~            
(5星)	 第一眼是被孙翠凤的个人魅力吸引住的，然后才了解到剧情，然后就是一发不可收拾，深深恋了十二年。那深挚的感情，让每一个人都向往希冀..            
(4星)	 突然想起这部电视剧了，            
(4星)	 公主就是愛巡撫大人嘛~哎喲~真是的~哈哈哈哈~~~            
(NA)	 师爷风流倜傥的模样惹无数少女念念不忘            
(5星)	 刚买了一套 从台湾            
(5星)	 陈道明在里面很怂的~~哈哈            
(4星)	 非秀不可，大爱明叔            
(5星)	 演这部电视剧的时候我刚好要考高中，老爸不让看，我就偷着看，然后第二天到学校就和同学们一起在晨读的时间开始讨论剧情，那叫一个热烈，那叫一个上心。从那时候气就特喜欢师爷陈道明，也认识了陈道明，觉得这个人机智幽默，温文尔雅，真是一个让人着迷的人啊！！！！            
(4星)	 刚看了个开头，皇阿玛出来吓我一跳，赶紧搜了下，还好出场就挂了。话说他当年演戏就这副样子啊BGM居然是自挂东南枝那首，哈哈            
(4星)	 小学时代的梦            
(4星)	 刚开始只是本着看法时间的态度随便看看，看了两集发现还行，虽然逻辑不太严谨。竟然有明叔啊...其实我觉得我小时候有瞄过两眼的...“想我刘非，这相貌，这才华...”            
(4星)	 小时看过            
(3星)	 3。5            
(3星)	 第一次看陈道明~~ 还记得里面有刘孜~~            
(5星)	 这是个只看主角飙戏就行的戏            
(4星)	 曾经的陈叔太美了            
(NA)	 陈道明傻的样子            
(4星)	 缘起缘灭缘自在，情深情浅不由人            
(5星)	 明叔            
(5星)	 陈道明托起整个剧情            
(4星)	 从这部剧开始喜欢的陈道明，这样的角色在以后他演的电视剧中再也没看到过类似的，很可惜~虽然这剧看着很舞台剧的感觉，不过全部看下来，还是很棒！            
(5星)	 孙翠凤的男装扮相很潇洒，还有那口亲切滴闽南味普通话，不成熟滴俺当时一度担忧自己有断袖之癖= =|||            
(5星)	 戏真的是烂戏，刘非真的是经典。才高八斗足智多谋温文儒雅风度翩翩手拿折扇轻晃心怀古刻青松.........严肃的老陈，难得的喜剧一回，却如此惊艳。            
(5星)	 充满童年回忆，不靠谱但是很好看，更是因为此片迷上陈道明            
(4星)	 一直陪着.那么多年.            
(4星)	 那個階段的陳叔叔真是很happy啊            
(5星)	 很搞  幽默的很            
(5星)	 绝对经典！            
(5星)	 我很无语，当时超级喜欢看翁虹和陈道明在一起....            
(4星)	 也许亲爱的老道再也不会拍这样的爱情戏了吧。            
(3星)	 好小的时候看的，不过，道明叔叔真的是帅啊~~            
(3星)	 陈道明难得的搞笑，嘿嘿~~            
(5星)	 印象里很是喜欢,很是心动阿            
(5星)	 印象中，这是一部很好看的片子。            
(4星)	 我喜欢的是背后的大绯            
(5星)	 很搞笑ING 太逗了            
(5星)	 英俊啊~            
(5星)	 最爱            
(5星)	 阿非，秀秀，非秀迷心中的绝配            
(5星)	 看了别人对这个剧的评论,很赞同.算是一个烂剧,但就是喜欢了.最喜欢刘师爷对夫人那种隐起来的情...那种感觉...喜欢这个剧,是因为陈道明.哈,因为豆瓣上的评论我很喜欢,再加一颗星.            
(NA)	 经典~            
(NA)	 强强合作的神话            
(NA)	 我喜欢另类的道明            
(3星)	 非常商业化的一部台湾制作的电视剧，也是恶搞类的。            
(NA)	 呵。。永远的。。你们            
