http://movie.douban.com/subject/4287175/	一起又看流星雨
(3星)	 除了张翰什么都不行~嘿嘿            
(2星)	 - 两星完完全全是给厦大阿。            
(3星)	 好吧，就看小朱和晨晨吧            
(2星)	 掉我档掉我档。。。            
(3星)	 比1好很多            
(2星)	 我是为了评价才说看过的。无聊至极的电视。无聊至极的芒果台。            
(NA)	 还是蛮不错的电影            
(1星)	 搓比到家的片子，看了十分钟就想吐！            
(5星)	 非常娱乐            
(3星)	 无聊时解解闷挺好的。            
(1星)	 能在蛋疼点么？            
(1星)	 真他妈雷            
(2星)	 可算是看完了……第28集还行            
(3星)	 恩 其实吧 还可以            
(1星)	 电视瞄到过。。。不想给星啊我！。。            
(1星)	 真是烂到一定境界了。            
(2星)	 有进步 有进步 靠谱点了            
(1星)	 我到底是有多无聊啊啊啊~~~~~            
(5星)	 好像没有第一部好看吧，我个人觉得。不过最后证明了还是有真爱的。超喜欢张翰的。            
(5星)	 第二部刮目相看。总有笑点^^其实还是挺温馨的            
(NA)	 这个比1好看  1是雷的很好笑  这个是确实有点好笑            
(5星)	 真的很好看的  我只看了一眼就发现真的很吸引人            
(4星)	 这一部比第一部拍的好，演员有了很大的进步~~故事情节也没有那么的雷人了~~总的来说还是不错的~坚持看下来了~~            
(1星)	 我日你娘的垃圾             
(5星)	 是一部非常好的偶像剧不过有笑点            
(5星)	 张翰！我很喜欢！            
(4星)	 还好。。张翰很帅，小爽很乖。。。剧情虽然很幼稚，但就是喜欢看。            
(1星)	 除了幼稚无聊的剧情，和几个徒有其表的演员，一点也不现实感动的爱情，这电视剧还有什么？歪曲着年轻人的价值观，引导了一大批不知所谓的脑残粉丝！拍这么一个毫无营养的电视剧干什么！！！            
(3星)	 张翰             
(2星)	 电视剧一个最失败的地方是让人没有看下去的欲望，故事设置不是太幼稚就是没惊喜，表述过于夸张。人物在35集长长的时间段里没有任何突破是本剧最大的要害，演技演员什么的存在变数，但故事本身没讲好才是重点。            
(3星)	 换人了            
(2星)	 我真的看了。但是比第二部比第一部好了那么一点。            
(1星)	 完全不能看。。太雷了。            
(1星)	 看过十分钟算不算？！            
(1星)	 这不是电视剧史上的绝唱是什么！= =             
(3星)	 朱梓骁彻底成为谐星了。。。            
(3星)	 我就直接看结局都还是把我雷得厉害。三星打给我家王栎鑫。            
(NA)	 卖雷的诚意之作！！！太欢乐了……            
(1星)	 这场流星雨把我雷的不轻。            
(1星)	 多么可怕的东西。            
(NA)	 我就是冲着女主角  给4星            
(3星)	 1、不会再看下去了，是因为我不想再这么闲了，呃……2、纯粹就是看看俞灏明童鞋~~~            
(3星)	 最后一集鑫鑫和蓉蓉好亮，小强都好亮XD            
(3星)	 啊，我真的硬生生把它看完了……所以这个暑假的唯一收获是看完两部电视剧吗。T T 不过说实话我挺喜欢女主角那小妞儿的~~            
(2星)	 跟恶俗的流星雨第二部一样……            
(NA)	 不管怎样，我看完了            
(2星)	 在看！            
(1星)	 太虐心了            
(1星)	 吗逼的每次芒果台都要惹老子怒！！！！！！！！！            
(2星)	 老实说，比第一部要强些了，所以，两颗星？            
(2星)	 比第一部还恶心。            
(NA)	 雷雷更健康~~            
(5星)	 因为在厦门            
(1星)	 纯粹是消遣~            
(NA)	 给这部电视剧五颗星的人 上辈子都他妈是折翼的天使            
(NA)	 恩，真好。            
(4星)	 因为张翰            
(3星)	 比雷阵雨要好一点点。。。。。。。。。。！！！            
(1星)	 我只为这个题目来的！！！《一起又看流星雨》我只能接一句：“看，看你妈X啊！”            
(5星)	 姐就爱看0- 0            
(2星)	 哎  乱七八糟的电视剧。            
(5星)	 郑爽在戏外还真蛮好看的            
(3星)	 比1更欢乐了，感觉女猪脚漂亮了一点            
(2星)	 第二部就纯属没事找事无病呻吟            
(5星)	 ！！！！            
(1星)	 嗯 你們懂的            
(3星)	 魏晨那个表演怎么那么变得这么装了。我有点心痛。 不要这样撒。            
(4星)	 我觉得还不错耶，情节好笑的就笑，讨厌的就拉过去嘛，起码郑爽和张翰还是青春无敌滴            
(1星)	 某人你看不看啊~~哈哈哈            
(NA)	 差劲的很、一点都没意思、垃圾得很、总之还是不要看好 免得吃不下去饭。。。垃圾片子            
(3星)	 看看~消消暑~            
(NA)	 蒋媛很丑            
(2星)	 到结尾说烂的很大众，说庸俗吧广告打得很刺激……            
(5星)	 我硬要給5星   。   怎樣   （做人要善良 - . -)            
(1星)	 咆哮主后继有人！！！！！！！！琼瑶怎么还不死！！！！！！！            
(2星)	 垃圾  烂片 配音也恶心  零分 零分  广告还多            
(4星)	 女主没有第一部萌了 但是还是看的很欢乐            
(5星)	 正因为雷点多，所以这部电视剧成功了！！太喜剧了！！绝对是当下偶像剧的爆笑JP。其实没有一些人说的那么差啊~首先演员演的就还好吧，偶像剧不都这样嘛！！我看台湾言情也这意思啊，只不过内地的偶像剧因为制作啊服饰啊一类的不够奢华拜金，所以没有那么视觉系。不过这个还好，郑爽挺好看的。            
(1星)	 比第一部还吓人。严重受不了郑爽的演技            
(NA)	 剧很雷 张翰很帅 over            
(1星)	 紧跟时尚潮流！！！！！！！！            
(3星)	 我不但在豆瓣看到有人叫慕容云海 还看到有人叫徐丽丽 应该是没有3了 否则最后云海和端木也不会这么迅速地突然出现(这真是太突然了)&gt;&lt; 不得不说我还是一如既往地觉得张翰很帅(星星眼...            
(1星)	 沉默不语            
(3星)	 喜剧！            
(1星)	 怎么还有4星那么高的评分。。。流~~~星~~~飞~~~ 带~~~我~~~飞~~~~            
(2星)	 凑热闹            
(2星)	 开口就是一辈子 ⊙﹏⊙b 不过郑爽是真可爱啊！！！            
(NA)	 讨厌蒋媛，看见她就烦，十足的电灯泡。            
(1星)	 这一星给俞灏明，他终于换发型了！            
(1星)	 我又被雷了。。。很好很强大            
(NA)	 我觉得第二部演得还好，不过就是被蒋援污染了，我看到她我就不想在看下去了，又黑又难看的！演得又不好            
(NA)	 都是些什么破电视剧，看了倒胃口。            
(NA)	 太烂，芒果就没钱请个好编剧么            
(2星)	 你妹儿,又看,你有本事就出个再看.            
(2星)	 没有第一部好看...            
(1星)	 坚持了3分49秒            
(NA)	 http://www.3217du.com/            
(3星)	 鄙視我吧，實在沒意思啦。。            
(NA)	 我看只为了看郑爽？            
(2星)	 孩子們的演技有長進了。就是劇情很拖拉，感覺很牽強。            
(NA)	 冲着朱梓骁去的  雷点依旧狗血升级            
(5星)	 爱爱爱            
(1星)	 一般电视剧中间落个三两集看着还能顺下来 雷阵雨2只要看第一集和最后一集就足够了            
(3星)	 這個名字可以再bull一點嗎 譚麗娜你也很bull。。。好啦 这对小情侣戏中戏外还是演的很辛苦的            
(3星)	 都没有第一季那么雷。。都不好看了            
(4星)	 有进步，加油，国产偶像剧。            
(1星)	 消遣看看应该尚可            
(3星)	 一星给激萌的小叶子~一星给演得超好的灏明~然后巨帅的糊糊和巨2的虎子各一星XD 最后，超老套剧情扣一星=   =            
(1星)	  PS.真的很2            
(2星)	 唉唉。。。芒果TV毁剧啊。。。            
(1星)	 不好意思说看了            
(NA)	 该骂的都骂了 我也没什么可说的了            
(3星)	 谈莉娜真是丑！！！对比之下郑爽美女啊！！！            
(3星)	 跟第一部差远了，讨厌配音            
(1星)	 又泼硫酸雨            
(2星)	 两分为了云海把刘海放下来了。。。。。。。            
(1星)	 这种片子，看一眼基本上就能知道开始过程结局，但是那一眼恶心到我了            
(1星)	 还是少年。。。            
(2星)	 边看边吐槽            
(1星)	 非常做作！            
(1星)	 去死吧我操！！！！！！！！！！！！！！            
(1星)	 这是什么是屎，看它浪费姐的时间。            
(1星)	 oh shit！            
(1星)	 2上加2的脑残片，没有最2，只有更2！第3部是不是叫一起还看流星雨啊，白痴！            
(NA)	 永远负下去            
(1星)	 比第一部还差劲！应该叫一起来看雷阵雨！没有最雷只有更雷！ 看这个真是浪费时间！            
(5星)	 同评语。。。            
(1星)	 啊            
(3星)	 包容的心态。。            
(2星)	 就算那么烂我还是把所有都看完了。因为全家都在看。。。。。            
(2星)	 当初第一部很红，第二部貌似热度就下来了，看了点，感觉不及第一部。            
(2星)	 如果它不标榜自己是内地版流星花园的话搞不好我还不至于这么厌恶            
(1星)	 不好意思看过两集            
(3星)	 没一好看    （扣鼻屎）            
(NA)	 无语- -            
(3星)	 看归看，脱离现实太远            
(2星)	 哎呀妈，老恶心了。            
(3星)	 好吧= =还是一颗星为了郑爽的颜。。。            
(5星)	 剧情感人肺腑，演出朴实自然，国产的希望！            
(1星)	 这部戏成功了！我一想起这名就想乐……而且止不住那种……什么时候接着拍呀，名字我都想好了《一起再看流星雨》，第四部叫《一起还看流星雨》，再没想起别的名字之前，第五部可以是收尾作，叫《死都要看流星雨》。还能再没创意一点吗？人家失忆，你也失忆，一点个性都没有！            
(1星)	 水平太低            
(2星)	 带了避雷针，稍微好点            
(2星)	 女主生气瞪人的眼神有点怪怪的！            
(5星)	 X你妹！刷你妈个B，刷分的给我去死，尼玛！！！            
(2星)	 继续雷……            
(1星)	 適可而止吧。            
(1星)	 芒果出品，烂片的保证。            
(1星)	 我是来给差评了，只觉得朱梓骁有前途            
(1星)	 想给零星啊            
(4星)	 除过有点山寨以外、、、            
(5星)	 O(∩_∩)O哈哈~            
(3星)	 张翰是有多村哪。            
(1星)	 求豆油！            
(1星)	 恶心！要不是放假半夜上网的时候想听点儿动静我才不看呢            
(5星)	 同样从头跟到尾，无条件地喜欢。            
(1星)	 啊 雷阵雨又来了，黑白无常，雷到内伤。            
(NA)	 谈莉娜真的太难看，说不过去了。最烂的电视剧之一。            
(1星)	 我为什么看过            
(1星)	 无话可说            
(2星)	 为了我妹的偶像就给个2星吧~白送1星哟            
(1星)	 你们够了吧- -            
(2星)	 其实这是韩式剧。            
(1星)	 看你妈个脚，还又看   看都不想看  丑死先人了，一个两个乡村非主流  无语了             
(2星)	 真没意思……            
(1星)	 又看你妹啊            
(3星)	 每个人都丑到不行！但是品味稍稍比上一季好点。看起来笑点还是颇多的  哈哈哈。            
(4星)	 跟一起来看相比翰翰和俞灏明变帅了许多，也许他们也长大了吧 觉得比第一部成熟了许多，大爱！！！            
(3星)	 雷剧有雷剧的喜感，啊哈~            
(3星)	 两颗星给翰爽  一人一颗 = = 最后一颗给自己看了这么久    木有第一部好！！              
(1星)	 脑残片~~            
(NA)	 每次在酒店都会看很多雷剧。。。            
(2星)	 呵呵...给花痴看看的，看多了会变花痴的。。。囧            
(1星)	 恶心～～～            
(3星)	 不知道怎么说，剧情烂一点，纯种的偶像片啊。            
(2星)	 我已经开始佩服我自己怎么能看完它了。续端木磊之后一个更让我恶心的角色出现了.. ..... 谈莉娜演的那叫什么玩意儿我给忘了。            
(2星)	 怎么说呢。。。我竟然还看哭了。。。            
(3星)	 芒果台老是在播            
(5星)	 很好，看了好多遍了，现在的电视剧很少有能看进去的了。            
(1星)	 印象最深的就是那个娘娘腔老师            
(1星)	 勉强看完两集，除了赞助车商换成凌志，其他一如既往地烂啊，看见悲催的余灏明那张包子浮肿脸就不舒服，要不是现在不幸受伤值得同情，真懒得评价了，至于其他几人，唉，自认为很帅很美吗，自恋得一榻糊涂啊，星都不想给，能有半星就不错了。            
(1星)	 各种天雷滚滚~            
(1星)	 马子俊建国绵羊还有MAO又要哭了。            
(1星)	 崩溃了。。。。。。            
(2星)	 哈哈哈哈哈！！何瑾瑜！！            
(1星)	 看不下去            
(NA)	 养伤必看            
(5星)	 张翰好帅啊、            
(5星)	None
(3星)	 比第一部进步了，端木磊的头发顺眼了，服装过得去，唯独楚雨荨的我就是不喜欢。            
(1星)	 一起又看雷阵雨            
(1星)	 一起来看雷阵雨            
(5星)	 现在在重温 太棒了 各种好            
(3星)	 脑残啦…傻乐着……            
(2星)	 略有进步            
(NA)	None
(1星)	 比第一部还恶            
(1星)	 雷死            
(1星)	 談莉娜頂著那張臉也敢出來演戲！驚天大雷啊！跟她一比鄭爽絕對的清秀可人            
(5星)	 我认为是中国男演员中最帅的！            
(1星)	 这又是什么破东西            
(NA)	 一起来看雷阵雨2            
(1星)	 看了半集吐血            
(1星)	 真的特别棒。。。            
(4星)	 奶奶的为了看雷阵雨还中病毒了……            
(3星)	 广告太多，不过比第一部励志            
(2星)	 又一个雷。。。            
(1星)	 噗哈哈哈哈哈哈哈哈哈哈            
(1星)	 大 傻 逼            
(2星)	 第二场雷阵雨!!!            
(1星)	 再次无视硫酸雨            
(1星)	 看了一集不到……果断踢……专为吐槽的垃圾……            
(3星)	 。。。。。。。            
(2星)	 说白了他还是山寨啊山寨。。我后悔看了全集。。郑爽长相不错。。演技有些做作。。            
(3星)	 捶地            
(2星)	 。。。。。。。            
(3星)	 其实没有很难看。            
(3星)	 虽然分不清12不过我妹一定看过= =我也雷雷地看了一分钟吧...            
(1星)	 一起又看雷阵雨            
(1星)	 哇哦。。。总分还真高啊 居然5分            
(1星)	 苦逼            
(1星)	 额~            
(1星)	 第一季都看不下去  - -            
(2星)	 比第一部有进步 可可可是 哪来的谈莉娜 和煤球一样啊啊啊( ⊙ o ⊙ )啊！ 关键是她真没有演戏的天分 演员不是那么容易当的 请问要拍这部戏需要潜规则吗             
(2星)	 开始我以为端木磊告别雷人的发型之后或者这个所谓的第二部会有所改善，后来发现我错了，还是看不下去。。。硬生生地再把何种所谓的流行元素结合到剧中，结果适得其反            
(NA)	 很好看，看看把            
(2星)	 怎一个雷字了得            
(2星)	 就仅仅是在别人家做客瞄了下，实在是。一言难尽。            
(1星)	 嘿嘿嘿。你们演员不觉得恶心到自己嚒。女主你那二五八万的表情拽给谁看啊            
(1星)	 烂~不会再看~不推荐            
(1星)	 很想打负分，特别是看到又丑又黑的那个什么谭丽娜            
(2星)	 真纠结的剧情...            
(1星)	 渣片，没看过，就是来黑的            
(4星)	 比第一部进步太多了。            
(5星)	 我真的觉得第2部蛮好看的。恩。主要是演员很好看！            
(1星)	 换台时停了五分钟也算看了吧？            
(1星)	 看到男女主的脸就想打负分。            
(NA)	 我的媽媽阿 湖南臺還真上癮。            
(NA)	 雷就一个字。            
(3星)	 看帅哥去了~            
(4星)	 虽然是雷剧续集，但是偶尔看一看也会有不自觉的温暖，比第一部强多了，也没那么严重的“画虎不成反类犬”的feature了，可以独立出来了            
(1星)	 都是些傻逼            
(3星)	 好希望云朵与叶烁有好的结果、最好永远在一起、Yes、因为这样这部戏就会很给力！ 有点老套、            
(3星)	 张翰好俊 怎么可以笑得那么柔情似水TAT他的大白牙呀 TAT我的小心肝呀 我的一颗萌动的大叔心 为了他俺无条件的徘徊在三星还是四星中            
(3星)	 有些地方确实雷人，不过男帅女美，马马虎虎            
(2星)	 如果可以 我想继续捶地~            
(1星)	 芒果台剧情能更加狗血吗!            
(NA)	 比第一部好很多很多 魏晨戏份也多了 哈哈 最爱还是他~            
(5星)	 恩--            
(2星)	 山寨 无敌            
(1星)	 恶俗            
(3星)	 期待翰爽~晨晨8错~再挺下小猪童鞋            
(3星)	 看过一点点。            
(4星)	 看过之后会对初恋这件事有新的看法的。初恋有时会是一辈子！            
(2星)	 不恭维，            
(1星)	 我没看、。就看了两集。。但是我想打分。。打很低的分 另外我想知道打5分的人的理由            
(5星)	 ~            
(2星)	 还是假，谭丽娜，不喜欢她            
(3星)	  一般吧还是爱台湾版            
(2星)	 是比前一部人物打扮什么什么的都比上一部还是好多了...但是还是雷.            
(1星)	 看你妹            
(1星)	 没有评论的意义            
(1星)	 我的妈呀找我当编剧也不至于这样啊            
(1星)	 看都不用看····            
(1星)	 想骂！！            
(1星)	 真狗血！            
(2星)	 雷人不止            
(NA)	 帅哥还是蛮帅的            
(1星)	 看了简直侮辱人的智商            
(NA)	 姐看过2、3集。里面某个丑女人实在让我看不下去。。。            
(2星)	 青春+励志+疾病+三角+创业+悬疑+歌舞+父母干预+分分合合+吵吵闹闹+分别+重逢=一起又看流星雨             
(NA)	 oh yeah 张翰~            
(3星)	 雷阵雨            
(1星)	 一起来看雷阵雨~这货是神马啊！！！！！坑爹呢！！！            
(3星)	 又见雷人雨            
(1星)	 很雷，王栎鑫尤其雷。            
(2星)	 山寨中的山寨。            
(3星)	 孩子们，这不是你们的错，你们尽力了，你们做的很好，要是能收录了你们自己的声音我就打4星了            
(3星)	 其实我很不想承认 我看过这部电视剧            
(3星)	 总体上说，比前一部要好。= = 终于正常了一点。            
(1星)	 本来很期待，可是这也太令人失望了，女主角也太……演技是有待提高，长的不怎么样，换下女主角会死吗，真是差劲，            
(1星)	 再看就瞎眼了            
(2星)	 魏晨是我喜欢的            
(1星)	 吃饭的时候跟劳工一起看。纯属陪看和倒胃口。历时大半年终于把这烂片看完了……            
(3星)	 我终于看完了。。。。。好长啊  终于看完了 看了半年多感觉            
(3星)	 有的地方还是蛮感人的，对新人还是要宽容的。            
(3星)	 不知道是不是我没有鉴赏能力，但是看得蛮开心的            
(3星)	 纯当消遣，呵呵。            
(3星)	 更搞笑~~~~~            
(3星)	 请问有谁知道俞灏明教郑爽跳舞那个音乐是啥子？            
(3星)	 傻傻的演，傻傻的看……比1好一点            
(1星)	 什么狗屁啊            
(1星)	 又看……又看……这名字就很……傻帽啊            
(1星)	 悲剧啊，看到10集实在看不下去了            
(4星)	 反正我挺喜欢的 管别人怎么说。            
(4星)	 比1成功            
(3星)	 敢不敢再雷一点。。。            
(3星)	 花痴必备剧            
(3星)	 不完全看过。发现hll的抬头纹。            
(1星)	 整一广告片            
(3星)	 至少比第一部少些雷人&amp;            
(4星)	 再支持            
(5星)	 5分给魏晨 流星雨又来临~            
(NA)	   穿衣 打扮 化妆 购物 闺蜜交流 企鹅群;122376923            
(NA)	 不经意看了这部片子，被校园里面的纯真爱情打动。不过现实中很难有那般美好的生活场景和故事，想想就不免有些伤感！            
(1星)	 在家无聊在电视上看了看，狠，这也能出续集！            
(NA)	 其实真的不知道怎么说，但是我觉得不管怎么样，这部剧就是会有人看，因为芒果台在，看二的时候，觉得云海很让人心疼，他总是在让步……            
(4星)	 还可以，拍的不错            
(3星)	 讨厌死蒋媛。雷雷更健康。            
(1星)	 舍友最近迷上看山寨呕像剧了。。相当受不了。。。            
(1星)	 大家等着看吧 看这帮嫩崽子能在影坛混迹多久~~~            
(3星)	 脑残，真他妈脑残            
(2星)	 还是有看点。            
(1星)	 如此烂片居然还有2 果然是2            
(3星)	 还好啦，比第一部少了很多情趣嘛，，哎呀，干嘛，拍那么认真做什么，，            
(1星)	 最差是没星就好了。所有版本里面不偏袒的说，芒果天娱你拍的到底是什么玩意！            
(1星)	 傻逼剧 巨傻逼            
(3星)	 依然= =            
(NA)	 郑州            
(2星)	 比第一部好，但...还是差            
(3星)	 还是第一部好看。            
(5星)	 一辈子只爱这部电视剧            
(2星)	 雨一直下= =            
(2星)	 呃...            
(1星)	 芒果台的真恶心！！！当年的F4是他们那几个歪瓜裂枣能比的吗？完全是强奸我们对流星花园的美好回忆！            
(3星)	 有点模仿《绯闻少女》的编排方式，剧情一般吧，但是演员的表演水平比第一步上身不少。            
(2星)	 我居然看过 oh no            
(5星)	 挺喜欢的   嘿嘿            
(2星)	 自己都不晓得咋个就看完了。。。。            
(1星)	 有可以打负星的吗?这样这片子一定会有个惊世骇俗的高分!!!广电这帮傻x为什么不封杀,真是大脑残带动小脑残 达到共同脑残的目的            
(3星)	 也许这个电视剧离我们很遥远，因为那里面人物的生活离的我们很远，他们的言行不可思议，他们的叛逆不同寻常，他们的承诺看似轻浮飘渺，他们的爱情看似只是玩乐，但是，真正感动我的，是里面真诚的兄弟感情，那种一生一世不离不弃的兄弟情，还有，云朵和云海之间那种不论贫穷富贵都不变的亲情            
(1星)	 垃圾            
(3星)	 其实我觉得这部戏真的没有很差，大家喜不喜欢也都是一句话，看不看也是自己的自由，但真的没必要恶语相向.....            
(NA)	 天雷滚滚啊哈哈哈哈哈哈哈哈哈哈哈哈            
(3星)	 还是那么雷，但比去看好多了            
(2星)	 没看进去。。                   
(1星)	 。。。。。。。。。            
(2星)	 好吧，我承认，看此片是为了看俊男靓女，抓住青春的尾巴，不放不放，打死不放！            
(NA)	 哈哈哈哈哈这个不加怎么行            
(NA)	 不喜欢。。。老题材的偶像剧            
(3星)	 还不错诶            
(2星)	 被逼看的！！！            
(1星)	 没事不｛学习｝总看什么流星雨啊喂【炸】            
(2星)	 不感冒~~              
(NA)	 我不是故意要看的            
(3星)	 也就1分钟吧，真不是我口味            
(4星)	 挺好看的啊。。。            
(1星)	 太假了            
(2星)	 哎。。实在是不怎么样。。如果没有配音 如果演的再真实一点 会好很多。。            
(2星)	 nc么？            
(3星)	 没有第一部那么雷了...but...七色花...晕死...            
(2星)	 说真的 结局我实在是看不下去了。。。            
(1星)	 雷一部还不够，还要再雷一部。芒果台纯粹是考验中国人民的抗体。可惜我显然修炼不到家，红蓝满格，所有状态都加上，金钟护体，都扛不住。女猪脚一瞪眼，我立马全瓦解！            
