http://movie.douban.com/subject/2157188/	倚天剑屠龙刀
(NA)	 只爱黎姿            
(3星)	 喜欢姿版赵敏            
(4星)	 我居然爱上了周芷若 - -            
(2星)	 咆哮帝版本太深入人心了            
(5星)	 黎姿给力啊            
(3星)	 不知道为什么那么多人喜欢这一款……不好看            
(5星)	 金庸电视剧中永远的最爱            
(5星)	 最爱黎姿            
(3星)	 周芷若最美好的结局。            
(5星)	 我爱黎姿的敏敏，太惊艳了            
(5星)	 一颗星给黎姿            
(3星)	 吴启华演的貌似是叫 屠龙刀/倚天剑  没有叫全名的吧            
(4星)	 演员形象选角不好  尤其张无忌  太老了...            
(4星)	 赵敏很好~~~            
(NA)	 大概看过十遍，初中时爱这里的殷梨亭爱到不行，其实现在也喜欢            
(4星)	 终于完整看了一遍            
(4星)	 为了“灿若玫瑰”的黎姿版赵敏和改编的温情爱情戏。            
(4星)	 看的第一個版本。之后的蘇有朋版實在是不喜歡。            
(4星)	 黎姿演的赵敏很棒。            
(5星)	 果断为了当年的黎姿~            
(4星)	 黎姿版的赵敏扮相最为美丽，但是眉宇间显得太过厉害，对无忌哥哥温柔不足            
(5星)	 最喜欢的一个版本            
(4星)	 黎姿 佘诗曼            
(5星)	 还是最喜欢这个版本了~~：）            
(4星)	 最美丽的赵敏！            
(4星)	 故事很精彩。            
(5星)	 傲娇郡主我爱你！！            
(1星)	 演员太不合了。。            
(3星)	 当时很迷女主角            
(4星)	 对于黎姿的爱，对于佘诗曼的恨就是从这部开始的。            
(3星)	 两天看了40集。我都膜拜我自己            
(4星)	 佘诗曼真美            
(5星)	 还是吴启华的最好看···            
(4星)	 张周这一对CP看的我太特么闹心了。所以说赵敏如此玲珑剔透的人儿是怎么看上张无忌这么个拖泥带水半点主张也无的男人的啊？另黎姿当年果然艳不可当！            
(5星)	 我爱黎姿！！！！            
(NA)	 补：里面的吴启华傻爆了……            
(4星)	 黎姿最美丽。            
(3星)	 当时就很喜欢黎姿 如果没有佘诗曼 我会打 四星的            
(3星)	 黎姿就是好看嘛！            
(4星)	 TVB的金庸剧 我最待见  吴启华比咆哮马那版本要好             
(5星)	 吴启华版的张无忌最让我春心荡漾，就是这么一个见一个爱一个的武林版贾宝玉，最最让我爱恨交织，一边和周芷若一起恨着他，一边和赵敏一起爱着他            
(NA)	 倚天屠龙记，呀呀呀~~~            
(3星)	 黎姿一定是扮赵敏的最佳人选。            
(NA)	 黎姿演地很灵气            
(4星)	 喜欢这版            
(3星)	 广东话的&#34;敏敏&#34;真销魂            
(4星)	 赵敏大好            
(3星)	 黎姿            
(5星)	 好一部刀光剑影，侠骨柔情的成人童话            
(3星)	 黎姿版的赵敏最美艳~            
(2星)	 選角錯晒            
(4星)	 我总算懂了。。我对黎姿的厌恶和对阿佘的欢喜就是从这里开始的。。再者赵敏到底哪里好过周芷若了。。T~T            
(NA)	 我真曾经当过电视儿童。            
(4星)	 这一版的赵敏好!            
(5星)	 这版本很有感觉 入门电视剧            
(4星)	 我最喜欢的赵敏            
(5星)	 只为黎姿            
(5星)	 初中的时候看得最仔细，山东台每天中午十二点半开始播两集，喜欢            
(4星)	 吴启华个古装look=。=            
(4星)	 喜欢黎姿，喜欢吴启华，喜欢赵敏，喜欢张无忌，他们在一起，就好了            
(4星)	 最喜欢的赵敏            
(5星)	 最喜欢的版本。            
(5星)	 最爱这个版本的~！            
(4星)	 其实黎姿的赵敏演的不错。吴启华就算了。。            
(4星)	 张无忌太老了。。。不过黎姿的赵敏不错。。。            
(NA)	 佘诗曼真的长得很像个大猩猩            
(NA)	 赵敏呀赵敏。            
(5星)	 最好看的版本            
(5星)	 好看,因为喜欢吴启华,真的看了几遍呢,我觉得这是黎姿演的最好的一部剧,有感觉,比那种温吞吞的角色好多了            
(5星)	 小时候觉得好好看的            
(5星)	 黎姿统治了这部倚天屠龙记！            
(4星)	 黎姿好漂亮            
(NA)	 黎姿不错            
(5星)	 教育巷的一家热干面店里.最爱这版赵敏,朱可可同学却最爱芷若.每个角色都喜欢.            
(5星)	 黎姿 吴启华~            
(3星)	 SS美，看完了            
(3星)	 吴启华真老。米雪真美。            
(4星)	 吴启华，黎姿还有阿佘，当年我就差点没走火入魔了            
(5星)	 超爱这版的赵敏。            
(NA)	 所有的赵敏中，只有黎姿演出了最完整的赵敏。            
(3星)	 这部经典了。            
(4星)	 最美的敏敏            
(5星)	 真的老好看的 赵敏就该是那样的            
(4星)	 最爱赵敏，张无忌比郭靖聪明不了多少。但是更让人喜欢的是结尾。            
(5星)	 最喜欢的一版            
(3星)	 是赵敏呀            
(4星)	 黎姿版本的赵敏深得我心,  周芷若之&#34;负我&#34;二字十分经典.            
(NA)	 黎姿 赵敏            
(5星)	 因为黎姿让整部片子更精彩~            
(4星)	 打四星完全是因为黎姿。。            
(5星)	 她的全名叫“敏敏特穆尔”，她是金庸笔下美丽与智慧并重的番邦女子，她是我第一个以文表欣赏的小说女主角。欣赏赵敏，喜欢她艳如桃李的绝色、巧笑嫣然的狡黠和灿若玫瑰的气质，更欣赏她敢爱敢恨，敢于争取，敢于弃天下人流言于不顾的人格魅力。当她孤身阻止张无忌和周芷若成亲，被众人劝阻“勉强不来”时，她一句冷傲的“我偏要勉强”，让我从此将其列为“最欣赏的小说女主角”。             
(4星)	 还是喜欢这个版~当年觉得黎姿好美~            
(3星)	 吴启华演张无忌太老了！！！还不如让曹永廉演呢。。。女主都挺好……            
(5星)	 黎姿好漂亮            
(4星)	 最喜欢看这个版本的 从这里开始喜欢黎姿的            
(5星)	 因ss爱上芷若            
(NA)	 喜欢赵敏~            
(3星)	 TVB好            
(5星)	 最好的一版赵敏            
(3星)	 喜欢黎姿的演出            
(3星)	 我就只喜欢杨逍和纪晓芙的那段            
(3星)	 香港古装片的景儿啊。。。            
(3星)	 女人很美，男人凑合，起码没把杨逍拍的太差            
(4星)	 黎姿很漂亮，很经典的赵敏形象。佘诗曼在里面就逊色很多啦。            
(4星)	 喜欢黎姿演绎的赵敏-。-            
(5星)	 最爱此版赵敏。            
(4星)	 黎姿版赵敏还是相当不错的            
(5星)	 哈哈，我開始很喜歡黎姿~            
(5星)	 最中意的一版。吴启华实在演得好            
(5星)	 看了一遍又一遍，还看过越南语版的，真&amp;^%^$%#**&amp;^)(*&amp;%^$&amp;*_崩溃！！！            
(4星)	 跟花花学姐说起这个。。原来阿佘版的赵敏是黎姿啊。。。            
(3星)	 吴启华太丑            
(4星)	 SS~~一如既往支持周芷若            
(4星)	 TVB再不拍金庸我就要晕了。白瞎了这么一帮小生花旦了。            
(4星)	 优柔寡断如张无忌最终明白了溺水三千只取一瓢的道理~孺子可教~            
(4星)	 呃……吴启华啊            
(4星)	 最喜欢的倚天屠龙记还是这一版，黎姿和佘诗曼合作了不止一部，抢男人总是黎姿胜，赵敏和周芷若也好，玉莹和尔淳也好；记得贾静雯和高圆圆也是同样，很神奇。            
(NA)	 赵敏惊为天人。。。            
(2星)	 最讨厌的栗子版            
(4星)	 最喜欢的就是这个版本~            
(3星)	 黎姿很美啊...适合演赵敏...            
(3星)	 这部黎姿演的赵敏真的不错。            
(4星)	 黎姿演的好            
(2星)	 不好看            
(5星)	 最喜欢的一部金庸作品，虽然张无忌这个男人太。。。优柔寡断了。。哎~            
(4星)	 经典            
(3星)	 唯一不爽的就是为啥张无忌是吴启华来演            
(3星)	 重新看一下，喜欢黎姿的赵敏            
(5星)	 为什么每次香港拍的金庸古装片都比内地的好看呢？？？囧            
(4星)	 最喜欢的版本            
(3星)	 主演: 吴启华 / 黎姿 / 佘诗曼            
(NA)	 比央视好            
(5星)	 出彩的黎姿。相当不错的刘松仁米雪。原著感弱，但编剧出众。            
(4星)	 拍得最好的倚天屠龙记            
(3星)	 最经典的赵敏。            
(5星)	 喜欢这一版的赵敏            
(5星)	 我演的！            
(4星)	 这个版本的是我最喜欢的。很喜欢吴启华演的张无忌。话说，以前我还很喜欢周芷若。。            
(3星)	 黎姿 不错            
(NA)	 其实也有点纠…            
(3星)	 吴启华演 怪怪的            
(NA)	 估计黎姿唯一一个又演过赵敏又演过周芷若的 挺喜欢她在里头            
(5星)	 黎姿差点意思……            
(4星)	 此版倚天屠龙记非常合我意，黎姿的赵敏太可爱了。            
(5星)	 看这部戏爱上了黎姿，而且觉得演员演得很逼真，堪称各个版本中的经典啊            
(4星)	 喜欢SS喜欢芷若~            
(5星)	 杨不悔。杨不悔。杨不悔。            
(3星)	 点解吴启华系张无忌。。。超级怪……            
(3星)	 我还是比较喜欢这个版本的.            
(5星)	 另外那版实在太柔了.还是港版好看!!黎姿太正了!!            
(3星)	 这是中老年版的张无忌赵敏？叹一下TVB的人才短缺...            
(5星)	 完美的赵敏~            
(3星)	 为什么那么多版本            
(5星)	 只喜欢看这个版本的            
(4星)	 比苏有朋那个强多了~虽然人长得差点-_-|||            
(4星)	 虽然演员老了点但是演的不错            
(3星)	 吴启华古装扮相太烂了            
(NA)	 吴启华太老了            
(3星)	 看得很少  七八岁的样子 完全记不起来了 貌似是在奶奶家看的            
(3星)	 黎姿演得很好            
(1星)	 吴太老，佘太傻，黎没有赵敏的帅气            
(3星)	 倚天的版本多的出奇~~~这个版本的最RP~~当然马景涛的也很RP就是了            
(2星)	 。。。。。。            
(4星)	 这个版本的非常好看，倆主演都不错，原来周芷若竟然还是佘诗曼来演的~            
(4星)	 还不几到黎姿是谁的时候看的。只觉得她好美喔。o(*////▽////*)q             
(3星)	 偏爱这版赵敏呀            
(3星)	 男主是吴启华很难消受，黎姿真漂亮！！            
(3星)	 7.0            
(4星)	 武林至尊，小生无忌，号令群雄，莫敢不从，赵敏不出，谁与争锋。个人不喜欢张无忌这个拉拉扯扯，剪不断理还乱的角色，但是不可置否，此剧精彩。            
(4星)	 反正我是喜欢周芷若多过赵敏            
(NA)	 最喜欢这版的忌敏            
(3星)	 歌蛮好听，赵敏难看            
(5星)	 相比之下，马锦涛版的印象已经不大清了。。。            
(1星)	 看不到苏有朋版的年代 只好看这个……小昭拍的太难看了！！！！！！！！！            
(NA)	 黎姿就是赵敏。赵敏就是黎姿！！！            
(4星)	 印象最深的一部倚天屠龙。            
(4星)	 这是我看的第一版也是最爱的一版。小学三年级第一次看，看到九点的样子爸爸就不肯了，一定要我睡觉。记得那时正放在关键处——张无忌以为赵敏已死，哭跪在她的假坟前——我躺在床上静静地听着电视里的对话，可是听不清，最后按捺不住还是进了爸妈房间问：赵敏到底死了没？            
(5星)	 经典            
(5星)	 最爱的武侠：）            
(4星)	 还是这个版本的好看。            
(4星)	 赵敏：才情两绝忆红颜            
(4星)	 最喜欢这版的！黎姿的赵敏最美了！！            
(NA)	 最喜欢这一版。            
(5星)	 最爱的就是赵敏了。当初马桶台播一遍看一遍。只是这里的赵敏爱得太辛苦了。            
(4星)	 黎姿版的郡主是那么多部中最出彩的            
(3星)	 【好無聊的開始馬克看過的TBB】劇情改得好離譜，不過黎姿真的很趙敏啊            
(5星)	 看过之后记得的只有杨逍和纪晓芙肿么办，别的版本都看不进去了肿么办，我也好想弄纪晓芙那个满头发带的小道童造型肿么办，我又更加深了大叔控肿么办...使劲揉脸...            
(5星)	 感情戏很好，小时候看了许多遍。            
(5星)	 最喜欢的版本 黎姿把赵敏演活了 米雪 刘松仁 杨逍 纪晓芙            
(4星)	 个人觉得这部的结局比原著都要好，喜欢黎姿的赵敏            
(NA)	 那时候觉得黎姿超好看的~            
(4星)	 我还是爱看张教主还不是教主之前的故事            
(NA)	 黎姿和阿佘也不错。几个版本的倚天相比之下女主都比男主出彩            
(5星)	 大爱黎姿！！！            
(5星)	 这个是经典，大爱黎姿版赵敏            
(5星)	 最喜欢黎姿扮的赵敏            
(5星)	 最喜欢这个版本的            
(2星)	 吴启华好老的说            
(5星)	 倚天屠龙记我最喜欢的一个版本            
(5星)	 吴启华跟黎姿版的觉得最好看最美~            
(5星)	 黎姿的郡主还是很惊艳的，结局改的很团圆，宋青书总算没白卑鄙无耻一场。。。只不过周芷若失忆抱兔子。。。这个。。。            
(5星)	 太爱了……            
(5星)	 矮油。。小时候看到吴启华就脸红心跳~~~我果然还是爱温文儒雅的大叔！            
(4星)	 重温了遍，觉得儿女情长拍的过多~有点想看小说去了~不过这版是我最稀罕的一个阵容~好稀罕~            
(3星)	 喜欢这版赵敏            
(4星)	 大爱黎姿            
(4星)	 因为黎姿              
(4星)	 喜欢黎姿版本的赵敏！这个版本的张无忌显得比较呆。            
(4星)	 我觉得苏有朋,贾静雯版的有青出于蓝而胜于蓝的感觉            
(5星)	 黎姿你还能再美点么、、、、真的是灿若玫瑰啊！！！！            
(5星)	 改动颇大的结局，但是很喜欢            
(2星)	 没什么好印象，大概偏爱苏有朋版多一点            
(4星)	 这版赵敏挺美的，不过在现代剧里我怎么就不觉得黎姿美呢            
(3星)	 黎姿气场秒杀所有女角色。            
(4星)	 我最愛這版            
(5星)	 喜欢张无忌，我第一次看到米雪就是这部剧，当时觉得她好年轻啊            
(3星)	 假正经            
(4星)	 剧里面一个角色说 为什么女人都喜欢上张无忌啊？  于是我就笑了。            
(4星)	 这版在我心中最经典。90初的小学记忆啊~            
(5星)	 这是最好看的赵敏~~~黎姿~~我爱你~~            
(3星)	 要是在“硬件设施”上有和内地一样的水平就完美了，感觉大气不够。            
(5星)	 好看，TVB金庸剧部部经典            
(5星)	 小学五年级时看到影碟播放，心情无比激动，一晚上连看五级，直至十二点，没想到那时候的开始熬夜了。要看一部好剧真的不容易。总以为自己可以戒了看连续剧的嗜好，看来这辈子也戒不了的，真的会活到老看到老了。            
(5星)	 这版很好看啊。。。。。。黎姿演的赵敏非常不错            
(3星)	 张无忌太差了            
(5星)	 到现在为止最喜欢的电视剧~ 喜欢宅心仁厚的无忌哥哥~            
(NA)	 最喜欢的一版，比较经典的赵敏            
(NA)	 黎姿绝壁最美艳的赵敏！            
(5星)	 我最爱的一个版本            
(4星)	 最美的赵敏            
(5星)	 最经典版本，黎姿魅力没法挡！            
(5星)	 这是我最喜欢的版本 为了黎姿的赵敏 为了张兆辉滕丽名的逍芙            
(4星)	 给黎姿。            
(NA)	 喜欢里边的黎姿哇✪ω✪             
(5星)	 最爱的还是这个版本，赵敏就应该是这个样子。            
(5星)	 黎姿！！！            
(3星)	 一个导演啊。不过我还是更喜欢大陆版的。这般的周芷若和张无忌我都不喜欢。色调和场面也不好。            
(4星)	 还是黎姿最美！            
(5星)	 最喜欢的一版倚天，黎姿演的赵敏太符合原著了啊！            
(5星)	 这个赵敏真是太漂亮了~            
(4星)	 WJH版的张无忌城善不足，木讷有余            
(4星)	 黎姿很美，黛绮丝惊艳，杨逍潇洒，张翠山与殷素素老戏骨出演果然功力过人            
(5星)	 五颗星都是给黎姿的。哎~~~大爱大爱~            
(5星)	 这版是我唯一承认的正版倚天，黎姿就是我心中的赵敏。            
(4星)	 有佘诗曼的都不怎么喜欢            
(5星)	 我的无忌哥哥（¯﹃¯）            
(4星)	 就是比较喜欢这个版本的，不知道为什么            
(4星)	 黎姿-最美的赵敏            
(4星)	 喜欢这个版本的三个主角 不喜欢小昭 太难看了            
(5星)	 好看            
(2星)	 始终不喜欢这版本。            
(3星)	 补遗。            
(5星)	 倚天屠龙中最爱的一版！曾反复看过好几遍……爱惨了黎姿演的赵敏！            
(5星)	 最爱的赵敏！            
(NA)	 ……            
(5星)	 最佳版本的倚天屠龙记，那时候香港TVB的金庸武装太经典了             
(5星)	 黎姿版赵敏最佳            
(5星)	 md这里黎姿美爆了            
(3星)	 这不是我最喜欢的版本，但黎姿饰演的赵敏确实深入人心。            
(NA)	 怎么看都不厌            
(NA)	 姐的最爱之一，绝对的最经典的一版            
(NA)	 最喜欢的一版            
(5星)	 喜欢黎姿版的赵敏            
(4星)	None
(5星)	 五颗星给赵敏。            
(5星)	 好喜欢黎姿            
(4星)	 黎姿好美。。。            
(3星)	 黎姿。。。            
(4星)	 这版的倚天屠龙记是我心中的全部形象啊            
(2星)	 我终于知道我小时候都干嘛了            
(5星)	 黎姿的赵敏~            
(4星)	 其实我最喜欢的止若是佘诗曼演的。。很美很纯。            
(NA)	 喜欢周芷若~            
(3星)	 黎姿演得非常好！            
(4星)	 喜欢这个赵敏            
(5星)	 这版太经典了！不解释！            
(5星)	 终于从头到尾看完了~            
(NA)	 黎姿美得很惊艳，佘诗曼美得很温润            
(3星)	 靠你妹的周芷若，终于明白我为嘛一直对佘诗曼木好感。            
(3星)	 配乐不是很喜欢            
(4星)	 黎姿真是美            
(5星)	 这版的赵敏我觉得演得最好的，服装也是最搭配的            
(5星)	 妈呀 这部我可是看很多遍了 那个时候任务黎姿就是赵敏 爱的不得了 后来才明白即使聪敏如她在爱里也有这么多的辛苦。            
(5星)	 所有倚天屠龙记的版本中，黎姿和吴启华的演得最好了            
(5星)	 赵敏。            
(4星)	 独爱赵敏！独爱黎姿演的赵敏！             
(4星)	 黎姿啊黎姿，我就是冲着赵敏去的！！！            
(NA)	 还是这个版本最有爱            
(4星)	 赵敏在我心中就是黎姿的形象            
(4星)	 看过的第一版倚天屠龙记 特别喜欢周芷若 佘诗曼很适合这种外表清纯却心计深的形象 黎姿当年也很美艳 但我心中还是认为张敏才是赵敏的最佳人选            
(4星)	 几个版本的倚天屠龙记都还凑活            
(5星)	 最爱的一版倚天屠龙记哦～最喜欢黎姿版本的赵敏了～            
(5星)	 个人认为最好的版本            
(NA)	 最喜欢的版本            
(5星)	 谁才是赵敏？黎姿！！谁才是张无忌？吴启华！！只爱这一部，最经典的一部，TVB的经典之作！！想当年播出的时候正值中考，那真是抛头颅洒热血义无反顾的看啊！！！            
(4星)	 黎姿超美，比佘诗曼美N倍            
(5星)	 黎姿美翻了，为黎姿5星，吴启华一看就是个大色魔            
(5星)	 想当年看过无数遍啊            
(4星)	 黎姿把赵敏演活了。若不是看这个版本我不会发现我最爱的武侠人物是赵敏。            
(5星)	 总之很好看，黎姿演的赵敏很到位，顾盼神飞，难以想象其实以前她演过电影里的周芷若，只不过戏份少发挥少            
(5星)	 喜欢这个版本            
