http://movie.douban.com/subject/2295783/	碧血剑
(3星)	 金蛇郎君夏雪宜。。当年江华还真是把小姑娘们迷得一楞一楞的啊。我到现在都看不惯林家栋，长得让我好烦恼啊。            
(4星)	 尤其喜欢温仪，阿九太假太假太假            
(3星)	 江华太过惊艳            
(5星)	 江华先生的金蛇郎君很经典！            
(3星)	 听说自从温总理上台后，中央六就再也没播过了。。。            
(3星)	 只记得很挫            
(4星)	 金蛇郎君！            
(NA)	 装备党自重            
(2星)	 对电驴姐无感啊……但江华的金蛇郎君很帅            
(3星)	 江华很帅            
(NA)	 跟书里写的完全不一样啊！（摔            
(2星)	 金蛇郎君没死就是最大的败笔            
(3星)	 江华有没有！！            
(NA)	 温故。。。            
(3星)	 讨厌江华             
(4星)	 如果 青青再漂亮些些 会更美好。。。但是非常喜欢何红药。。            
(4星)	 凹～金蛇郎君～            
(3星)	 其实最帅的是金蛇郎君，演袁承志的不讨喜            
(4星)	 这个金蛇郎君真帅            
(3星)	 林家栋太丑了。。。            
(4星)	 金蛇郎君好帅啊啊啊　袁承志怂逼＝　＝            
(5星)	 因为这部剧 而爱上佘诗曼            
(4星)	 武侠剧还是香港拍的好看，虽说每次武林大会都只有十几个人。            
(1星)	 袁承志表情好僵硬            
(3星)	 其他统统忽略，只留金蛇郎君            
(3星)	 OTZ。。。。我第一次觉得张纪中的比TVB拍得好。。。佘诗曼。。哭。你怎么全演的美女啊。。。。你的周芷若就让我。。。            
(3星)	 要不是为了江华叔流芳千古的金蛇郎君，我如何忍得下林家栋那张呆脸啊！！！编剧改得好，夏雪宜出场次数陡然翻倍，大快人心呐哈哈！            
(2星)	 主角实在太丑……            
(2星)	 港片都是垃圾            
(3星)	 这部戏主角选的啊……除了江华~            
(4星)	 不错~            
(NA)	 金蛇郎君夏雪宜            
(NA)	 金蛇郎君应该是老侠书中除了杨逍之外我最喜欢的角色，江华版的夏雪宜很潇洒，小时候很迷他啊，望天。。。            
(4星)	 阿九去死去死            
(4星)	 说真的，我还挺喜欢。            
(4星)	 江华啊啊啊啊~~~~            
(3星)	 林家栋的古装扮相还不错，可惜后来演反派演的太多了！            
(2星)	 只看了有姜华的地方            
(3星)	 看了不止3遍，因为芒果台老放            
(1星)	 挺烦佘诗曼的骚            
(4星)	 就看过这版，没比较            
(3星)	 江华的金蛇郎君造型还挺帅~            
(3星)	 是个男人都会喜欢阿九。。。青青不是一般的丑            
(5星)	 夏雪宜            
(3星)	 很早很早以前看的            
(4星)	 没理由就是喜欢看            
(4星)	 超级爱，阿九和袁承志            
(3星)	 对女人还没啥印象的时代~毕竟那时还小            
(3星)	 佘佘很漂亮啊。            
(NA)	 夏雪宜和温仪的爱情美好到让人忘了他们并不是主角。原著里温仪等了18年后临终的那句话让人难忘：有他在，就永远没有人可以欺负我……            
(4星)	  还是阿九最难忘            
(NA)	 非典            
(3星)	 挺一般的            
(5星)	 江华帅啊帅啊帅！！！！！！！！！！唯一的感想！！！！！！！！！！！！！！！            
(3星)	 要不是因为江华我怎么会看这部电视剧            
(NA)	 碧血剑            
(3星)	 30            
(3星)	 仅仅中意江华            
(3星)	 金蛇被改得乱七八糟的            
(3星)	 可叹如阿九，再相爱也难相守            
(4星)	 漂亮阿九！            
(2星)	 江华给我的感觉很strange...            
(4星)	 从此开始喜欢佘诗曼            
(4星)	 人特丑了，袁承志            
(3星)	 一般。不过碧血剑没啥可以看的版本哇。            
(3星)	 林家栋套衫真够肉酸！江华扮金蛇郎君真系潇洒！            
(5星)	 江华和吴美衍是绝配，看着好让人心疼……            
(4星)	 还是忘不了那个夏雪宜。。            
(3星)	 阿九哪里漂亮了，唉……            
(4星)	 童年回忆，泥马我小时候看了这么多TVB电视剧！！不过论武侠片，再多诟病，TVB也永远比张纪中版的好多了            
(NA)	 真的难看的一逼。。。。林家栋真的古装。。。太无力吐槽了。。。。            
(3星)	 看过原著，没原著精彩。            
(3星)	 以前的了，作补充。            
(NA)	 可能没看全            
(3星)	 没印象了            
(3星)	 印象不深了，貌似有个公主？然后当了师太？            
(3星)	 剧情挺扯，其他还好。            
(3星)	 江华的金蛇郎君夏雪宜，让我看了一遍碧血剑。            
(3星)	 只记得有江华。            
(3星)	 喜欢阿九和金蛇郎君。袁承志那个大饼脸就和温青青那个丑姑娘过一辈子吧，我不介意。            
(3星)	 三颗星全为了江华===最美的金蛇郎君            
(NA)	 三星。            
(4星)	 江华版的夏雪宜是大爱            
(4星)	 小时候很喜欢看 虽然女主角都不好看。 。 香港武侠 就是有味道            
(NA)	 小時候的記憶啊。。             
(NA)	 当年觉得 江华好帅啊！！            
(4星)	 斯德哥尔摩症候群             
(3星)	 看过几集。。。            
(3星)	 无爱            
(3星)	 金蛇郎君最帅            
(5星)	 这一版夏雪宜最好了！！！哦师傅            
(5星)	 好看啊好看，里头的江华贼帅，特喜欢他和温倩的爱情。那时总觉得林家栋难看，跟个猪头似的，可惜我喜欢阿九和青青，就将就把这张脸看习惯了。。。            
(3星)	 居然是添哥的剧            
(5星)	 帅字当头            
(3星)	 当时觉得江华帅惨了！！！            
(4星)	 喜欢江华演的夏雪宜            
(3星)	 江华=金蛇郎君 PS：当初看原著的时候被温仪回忆的那段深深击倒了。            
(4星)	 江华把我讨厌的角色演了个遍            
(NA)	 那时候真心喜欢金蛇郎君，其他人都不想看            
(NA)	 我就对里面江华印象深刻，好像是又邪又冷又悲惨的那种            
(5星)	 只怪青青看还有温仪起克太舒服自然哒            
(4星)	 记忆中的经典......            
(3星)	 无论其对原著的修改，还是值得一看的，不过那个唧唧呱呱的青青实在惹人生厌            
(3星)	 几乎都忘了~~~这个剧播了之后，碧血剑的公仔纸就热卖了            
(3星)	 就江华是唯一看点= =            
(4星)	 江华演的性感啊。            
(3星)	 林家栋真的很丑=。=阿九啊TT            
(NA)	 那时他们还年轻，我也是。            
(3星)	 一般啵            
(4星)	 金蛇郎君            
(4星)	 我记得这部里有很多蛇。。。            
(3星)	 只记得江华很帅啊。            
(4星)	 好喜欢夏雪宜 当时觉得帅翻了 当时觉得电驴也很美 还有林青青是 那个五毒教教主太坏了             
(5星)	 当时很稀饭五毒教，好帅~            
(NA)	 完全记不得讲的啥内容了            
(5星)	 林家栋真恶心，江华是最帅的时刻，阿佘也美。            
(4星)	 我是看着你长大的。            
(3星)	 金蛇郎君就是个彻头彻尾的负心男            
(3星)	 原本不出场的金蛇郎君抢了袁承志的所有风头            
(4星)	 小时候一直不喜欢佘诗曼的角色             
(3星)	 风华绝代金蛇郎君            
(3星)	 剧名霸气。。。            
(4星)	 阿九是个令我心痛的女子呀~~            
(3星)	 亮点是林家栋同埋江华噶演技...实在十分出彩            
(4星)	 江华个老男人还是这么有魅力！            
(4星)	 回忆啊！！！            
(NA)	 感慨金蛇郎君与温仪一段有违世俗的爱            
(4星)	 儿时的回忆。就是袁承志差了些。            
(3星)	 这最老版本的碧血剑！！！童年的回忆啊~~            
(4星)	 金蛇郎君演活了            
(3星)	 真心讨厌某女~  = =            
(3星)	 江华不错            
(4星)	 呀            
(4星)	 小时候莫名其妙的喜欢这部电影            
(NA)	 阿九            
(4星)	 其实我觉得很不错。            
(3星)	 好讨厌阿佘在里面的角色            
(3星)	 一般            
(NA)	 温青青性格那么差，为什么袁承志非要喜欢她呢...            
(NA)	 金庸的我都看过            
(5星)	 我恨呐，为什么最后两个人不能在一起            
(4星)	 男主丑爆了。佘诗曼那时还很萌，没想到现在成了电驴代言人了。            
(2星)	 看过几集            
(4星)	 从没见过这么讨喜的长平公主            
(3星)	 金蛇郎君            
(NA)	 林家栋的袁承志啊，大爱啊            
(2星)	 除了金蛇郎君无一看点            
(4星)	 我好萌江华那部分            
(4星)	 小学看的，还行，不过演员实在是......            
(3星)	 小时候看过，现在记不起剧情了。记得什么碧血剑？            
(3星)	 看来，小时候港剧还看的不少么~            
(4星)	 只看过江华的            
(3星)	 其實，我很飯江華的。。            
(3星)	 林家栋其实演的蛮好，袁承志本就是凡人             
(3星)	 那个传说中的什么堡的人必死。。。。。            
(4星)	 金蛇郎君～            
(5星)	 感情细腻生动，一波三折，袁承志虽然不算帅但演出动情，与阿九之恋叫人感叹，本人认为感情之用心拍，超过了原著。袁大人无子啊！！！杯吹的老金。            
(3星)	 江华的金蛇郎君！！！            
(4星)	 以前看惯了林家栋的角色，大都是杜琪峰麾下喜怒无常的角色，在电视剧当中也并有一番滋味……            
(2星)	 剧情太差了            
(3星)	 心里想念的永远只是在心底，而在你面前陪你过一生的才是最真实的。。。。            
(1星)	 对原著的改动到了令人不能容忍的地步            
(3星)	 喜欢演温倩的吴美珩            
(3星)	 其实碧血剑的故事我不太喜欢            
(4星)	 感觉眼前一亮的港剧...只是没看完，后面怎么样了不知道...            
(NA)	 江华啊。            
(NA)	 改雷了我擦            
(3星)	 男主更丑啊………………            
(3星)	 那个金蛇剑不要太强哈            
(3星)	 林家栋太丑了。            
(1星)	 恶心            
(3星)	 只记得有江华。            
(3星)	 话说，我觉得江华好帅！            
(3星)	 这部戏里没有一个喜欢的演员            
(3星)	 我无敌了，什么都看过！            
(4星)	 小时候在小说中常看到一句话，“举手投足间散发出无穷的魅力”，一直在狗血的现实中遥想那种风采，执著于梦幻的武林童话，江华是第一个，也是为数不多的一个。            
(4星)	 很喜欢江华演的夏雪宜！！！            
(3星)	 江华很赞，林家栋有点囧。！@Home            
(4星)	 江华啊             
(4星)	 江华演得好！            
(5星)	 我个名得由来诶，真的很中意阿佘演滴            
(3星)	 中规中矩，主要觉得林家栋似乎不是最适合演袁承志的人选，而温青青的选角更是。。。阿九由佘诗曼来演是最好不过的。            
(5星)	 那时候真心觉得夏雪宜好帅……            
(3星)	 佘诗曼好丑            
(3星)	 喜欢江华的夏雪宜，好喜欢好喜欢，只因这个硬着头皮看完后面的袁承志            
(3星)	 为了阿九我坚持看下去，结果阿九还是出开了家。            
(3星)	 只为夏雪宜            
(3星)	 江华帅啊             
(4星)	 魅力江华            
(3星)	 青青好丑啊..明明原著里不是丑八怪的说啊!            
(3星)	 一般            
(3星)	 温家堡！omg！！！            
(5星)	 林家栋从此以后再也没有演过男一号！！。。。            
(2星)	 ╮(╯_╰)╭            
(4星)	 女主角啊。。你。。。唉。。。            
(3星)	 不喜欢江华 老            
(NA)	 最喜欢的金蛇郎君……至于其他可以忽略……虽然剧情改编严重……但是夏雪宜却也有了原著里不曾有过的风情……            
(3星)	 三星全给江华            
(NA)	 一天世界呀            
(2星)	 话说看得时候袁承志气的我都想砸电视机了，还好年纪尚小，不敢胡作非为。            
(3星)	 江华有把压仓货起死回生的魅力            
(3星)	 记忆深刻的是那个温青青长得真是不咋地，倒是衬得阿九美若天仙...            
(3星)	 童年回忆            
(4星)	   金蛇郎君，好神秘捏~            
(2星)	 纯粹是来看江华的，林家栋演的袁承志真是怨念！            
(5星)	 《碧血剑》看的不是国家大义，看的是江华和其他2人的爱情故事。            
(3星)	 我tm的最恶心袁承志这样的男人，左右为难，烦人。我还是喜欢深情的江华~~那种风华，甩出袁承志十条街！！            
(4星)	 金蛇郎君。            
(3星)	 竟然是九难尼姑。            
(4星)	 给金蛇郎君和温仪            
(4星)	 当初看得超级欢快~~            
(3星)	 原著被改的乱七八糟了，青青也挺丑的，不如黄圣依呢，哈哈            
(NA)	 当年觉得把金蛇剑好型。。            
(3星)	 看了有点明白雯女年轻时候为毛迷江华那个贱男            
(3星)	 这个无语。            
(3星)	 不错            
(3星)	 夏雪宜最帅            
(4星)	 貌似挺没存在感的一部，但是我到觉得改编得挺好的            
(5星)	 可喜欢金蛇郎君了            
(4星)	 是35集。刚好10年已过。林家栋、吴美衍退隐，昔日的阿九，今天的双料视后            
(5星)	 江华！！很喜欢~            
(3星)	 TVB拍金庸作品还是ok的            
(2星)	 不喜欢这部小说            
(3星)	 马马虎虎，江华还是蛮帅的。            
(3星)	 暑假在家看了好多遍，阿佘的光头造型把我雷到了！~            
(3星)	 制作比较粗糙,不多说了.夏雪宜,温仪,何红药还不错.            
(NA)	 那时候的佘诗曼活像一只大白馒头上裂了两三条小缝就是眼睛和嘴了            
(NA)	 金蛇郎君 祸害啊..江华叔的姿色 （¯﹃¯）            
(4星)	 好吧，我确实喜欢佘诗曼这种……            
(5星)	 我很喜欢演温青青的叫欧子欣的演员啊，为什么批评的人那么多？            
(3星)	 夏青青这个演员，我只能说无奈            
(5星)	 林家栋啊~            
(3星)	 对青青无感中~            
(5星)	 编剧本得很懂            
(3星)	 真不喜欢男主            
(3星)	 篡改地好严重啊！我就是看看我美人的，别无他求。            
(3星)	 因为这部才去看的原著。佘在这里面太美了。            
(NA)	 第一次让我知道原来男主角不一定要爱女主角的。 多么喜欢当时的佘诗曼啊。            
(NA)	 小时候看得，觉得它很短，有的镜头还少儿不宜             
(4星)	 四颗星只因我喜欢青青这个角色。即使很多人不喜欢她……            
(3星)	 我甚至还记得小时候看这个和哥哥打架的事~~            
(4星)	 感觉是最经典的作品（别的版本没看过）            
(5星)	 JD &gt;_&lt;佘仔            
(NA)	 江华版的金蛇郎君很惊艳啊            
(3星)	 我的眼里只有江华。。。            
(4星)	 夏雪宜~~从第一眼见到你起我就被你迷的晕头转向~~，然后，一直为你看下去的！四颗星全是给你的！此片片头是我觉得TVB剧最好的一个片头，气势十足！            
(3星)	 为什么喜欢阿九的人那么多？因为总有电视剧故意抹黑青青而捧阿九，此剧就是一个典型。。。呵呵。。。搞的我阿九青青都讨厌了。。。这剧里我最爱何铁手。。哈哈            
(3星)	 剧情离谱了一点            
(5星)	 我就不明白青青这么丑他还不要阿九反正 他就是喜欢阿九            
(3星)	 那时的佘佘真的嫩啊。            
(4星)	 最讨厌佘诗曼演的阿九公主，虽然青青任性，小心眼，可是还是非常喜欢她，温青青是翻版的黛玉呀。            
(3星)	 遥远的记忆啊，金色郎君，哈哈~            
(NA)	 认识佘诗曼我源于这部剧...            
(3星)	 不喜欢袁承志~            
(4星)	 无法欣赏佘诗曼            
(NA)	 觉得挺好的            
(3星)	 金蛇郎君啊。。。            
(NA)	 金蛇郎君我最爱。温家堡恶人？？囧            
(3星)	 看过的TVB金庸武侠剧  就属这部最粗糙            
(3星)	 一般吧            
(5星)	 里面的佘诗曼严得很矜持~害羞的超可爱~~            
(NA)	 回顾了两集，特别有童年的味道···            
(4星)	 何红药，这个又爱又恨得女人            
(2星)	 金蛇郎君夏雪宜            
(4星)	 好看            
(NA)	 初中。            
(4星)	 还是最喜欢这个版本，可能因为是第一个接触的版本吧……就是从这本开始喜欢佘诗曼，如果我是袁承志，我也会喜欢阿九。而且这版的温姨咱也喜欢～            
(4星)	 他，就是我心中永远的夏雪宜，那个桀骜不驯又一生唯独钟情一人的金蛇郎君。有很多那时候还很陌生的美女脸孔。不喜欢佘诗曼的阿九，OUT。            
(3星)	 江华是唯一亮点。            
(4星)	 喜欢江华，喜欢夏雪宜。碧血剑故事本身不算出色，主角袁承志和几个女孩子也都没有夏雪宜和温仪的故事来的印象深刻……            
(2星)	 温青青怎么长这样。吴小姐还是很美的。            
(3星)	 可怜的林家栋            
(2星)	 这片子里的夏雪宜可真讨厌！            
(3星)	 就算BJ这么卖力地踩青捧九，我也对佘诗曼的公主憋不出一丝好感，另外TVB能找到这位欧MM来演“第一女配”青青表示PF            
(3星)	 不错v            
(3星)	  看了一点。。。            
(NA)	 我喜欢夏青青青青青青青青青青呀            
(2星)	 演员选的。。。。。。。            
(3星)	 对金蛇郎君这个名字印象特别深刻            
(2星)	 温青青很冷艳，没见过长得那么个性的金庸女主。。            
(3星)	 碧血剑。还行吧。青青演员选得一般1            
(3星)	 把原著改成啥样了都 讨厌温青青 不论是书里还是电视里             
(3星)	 我就是喜欢青青。。            
(3星)	 其实我想说，阿佘当年真年轻。            
(2星)	 山寨版滴说。。            
(NA)	 改动太大了。。。            
(4星)	 以前还是蛮喜欢的            
(5星)	 赞的。。。我喜欢SS的开始！            
(4星)	 金庸武侠巨作~~~江华才是真的主角。。            
(3星)	 虽然这版改的乱七八糟 虽然造型也很丑 可是因为江华的金蛇郎君 就变得有可看性了            
(3星)	 小时候看得，觉得它很短，有的镜头还少儿不宜            
(3星)	 剧情4星，女猪女二的扮相都清一色的要人命-1星            
(5星)	 小学六年级时我的最爱啊。深深迷恋。金蛇郎君。            
(3星)	 我还记得巫毒那PART让我有阴影了。。            
(2星)	 江华跟玉树凌风风流倜傥人见人爱花见花开身怀绝技机智过人苦大仇深的金蛇郎君夏雪宜挨得上半点么？？？            
(4星)	 此时纵聚天下珍宝，亦焉得以易半日聚首？重财宝而轻别离，愚之极矣，悔甚恨甚！因为江华，这片子看了N遍。因为金蛇郎君，这本书看了N遍。            
(NA)	 据说金庸先生最不喜欢的就是这一版里的青青。不好意思啊，和我正好相反。其实最喜欢的还是夏雪宜和温仪的爱情，这一部描写得很详细。照旧讨厌那个公主o(╯□╰)o            
(3星)	 金蛇郎君~~~            
(3星)	 比较喜欢亚视版的            
(NA)	 金蛇郎君啊啊            
(3星)	 阿九吹笛子的样子让我想起了桃子蓬絮            
(3星)	 阿九啊我就是为了阿九才看下来的OTZ            
(4星)	 初中前            
(3星)	 金庸大爷的唯一一部 我还能看上眼的作品 我讨厌武侠片！！！            
(3星)	 主角造型太丑            
(3星)	 这改编的            
(1星)	 太不喜欢这版的人物了，一个都不喜欢            
(4星)	 相爱的人却不一定能在一起            
(NA)	 挖了一点看，基本没看懂            
(NA)	 拖沓到后面，简直比说书，还让人难以忍受！            
(NA)	 这个时候的佘佘也还不成熟            
(4星)	 喜欢江华            
(3星)	 江华的金蛇郎君，有感觉啊~            
(4星)	 从此之后再业没有见过欧子欣，真遗憾            
(NA)	 = =袁承志太丑了            
(4星)	 电视上一直放的。没看完。            
(NA)	 不管是当年还是重看，永远会为阿九心痛            
(2星)	 莫名其妙TT            
(3星)	 金蛇郎君 很有型            
(4星)	 嘿嘿。江华太帅。我爹妈喜欢阿九和何铁手            
(4星)	 和喜欢朱七七一样，喜欢上了夏青青。让我总不由得怀疑，古龙和金庸著作之间为何有这麽多的相似。            
(3星)	 佘佘有点傻            
(4星)	 演温青青的好丑。。。= =            
(2星)	 挺喜欢温青青的，至少够真实。            
(NA)	 演员太难看了            
