http://movie.douban.com/subject/3055386/	卧虎藏龙
(4星)	 小时候很喜欢邱心志演的李慕白还有黄奕的俞秀莲，片尾曲也很喜欢。            
(4星)	 当年黄奕真美 邱心志多纯洁            
(4星)	 玉娇龙罗小虎，可爱的一对。            
(NA)	 好怀念那个时候的何润东            
(4星)	 还不错。蒋勤勤就是保证啊。            
(4星)	 何润东很帅气··蒋勤勤很漂亮···            
(4星)	 很好看~            
(5星)	 比电影版的好看，又酒窝的何润东那时候看着也顺眼得多，主题歌也超好听！            
(4星)	 玉娇龙与罗小虎那惊世骇俗的隔空倒吻。。绝对是经典。。整部剧隔了这么久就记住了这个。。            
(5星)	 李慕白- -你能不能不要那么有气场！黄奕- -自从你拍还珠格格以后就不如以前那么有忧郁气质了。            
(NA)	 电视台            
(1星)	 怎么说呢，就是大便            
(3星)	 国产的肯定算正常的。那个玉娇龙临空倒悬飞吻还是满创意的。            
(3星)	 年少回忆。            
(NA)	 最早看的时候。。            
(4星)	 视觉而不是精神上的享受            
(3星)	 四个主角都演的不错。            
(4星)	 还可以            
(3星)	 挺好看的，可作消遣~            
(4星)	 当年的罗小虎，玉娇龙很惊艳啊            
(4星)	 喜欢何润东的小虎，好不羁，好荡漾~~~            
(4星)	 何润东和蒋勤勤有个惊世骇俗的吻            
(3星)	 初中。            
(3星)	 一宿舍围着看14小黑白            
(5星)	 记得小学就超级喜欢里面的李慕白和俞秀莲这对.....咩。羞涩的年少时光。            
(5星)	 为何那么神奇的片子，评分那么低？            
(4星)	 竹林戏嗲~            
(4星)	 喜欢邱心志和黄奕的搭配~            
(3星)	 真心不怎么样。。。            
(5星)	 再次看来 很有中国古的味道 台湾导演功力的确不一般  动作场面太精彩了             
(5星)	 有情怀的电影就是好电影            
(4星)	 婆娘！            
(NA)	 爱死这部了&gt; &lt;~            
(4星)	 罗小虎好帅            
(4星)	 执子之手 与子偕老            
(4星)	 罗小虎和玉娇龙            
(3星)	 其实这部戏拍的不错，演员也选的很好            
(5星)	 经典×2            
(NA)	 蒋勤勤美啊！            
(5星)	 怎么说呢，虽然从剧情到思想内涵都被篡改的不像样了，但是我还是没缘由的喜欢            
(4星)	 当年的回忆... ...            
(3星)	 我当时最大的怨念其实是，这里面怎么没有电影版那么多激情戏嘞..啊呀呀那时候我才多大啊，真是惭愧            
(3星)	 小学五年级看的当时为蒋勤勤和水灵是不是一个人纠结了好久……唯一有印象的就是那个倒悬的吻了            
(3星)	 黄奕没演技            
(5星)	 因为蒋勤勤，所以给5星。            
(NA)	 黄奕多适合演大妈啊！特迷罗小虎。            
(3星)	 想给三星半。            
(3星)	 太喜欢那个倒吊空吻了            
(3星)	 大团圆的结局            
(2星)	 很烂            
(3星)	 蒋勤勤- -            
(2星)	 邱心志的颜还是不错的            
(NA)	 很喜欢李慕白            
(3星)	 Parts..            
(NA)	 没看完            
(3星)	 何润东演的小虎满可爱的            
(4星)	 邱心志是多么滴帅气啊~~            
(4星)	 还不错，电视版常拿出来翻翻，特别喜欢罗小虎和玉娇龙这对~            
(4星)	 原来我小时侯的电视剧都在这儿啊啊哈哈哈~~好怀念呢~~            
(5星)	 小时候看得很欢            
(NA)	 小时候特喜欢看，喜欢玉娇龙的名字也喜欢她的性格，更喜欢蒋勤勤。从这部戏认识的何润东，最喜欢这种霸道的男人，觉得何润东好帅！            
(2星)	 我觉得很烂诶。。            
(5星)	 很喜欢里面的玉娇龙~~            
(4星)	 不错啊            
(4星)	 表达的东西很复杂微妙，可惜缺陷明显            
(NA)	 小学的回忆呢，那时候非常迷恋小龙的个性，敢爱敢恨。龙虎之间的感情也很让人感动。呀呀，这么多年还能记得那么清楚。不过记得最最清楚的还是倒吊接吻那一幕啊，太牛了~~那还是偶看打kiss的场景都还会脸红的年代啊啊            
(4星)	 当年觉得全部都好漂亮！！！            
(4星)	 玉娇龙            
(5星)	 绝配的小虎与娇龙，我恨你！！！            
(3星)	 好喜欢蒋勤勤和何润东的玉娇龙罗小虎            
(5星)	 萌~            
(NA)	 稀饭罗晓虎            
(4星)	 那时候的黄奕还很好看。蒋晴晴更是水灵。            
(4星)	 结局是啥？我忘了            
(5星)	 什么!!!李慕白和俞秀莲最后没在一起!!!???道士注定是孤独的.........            
(4星)	 还不错！蒋勤勤演的很好，黄奕那时也不错。空中倒吻那一断太经典了！开头巫启贤的《团圆》好听！            
(5星)	 蒋勤勤与何润东的完美搭配            
(5星)	 反而对这个印象更深            
(5星)	 。。我竟然看过            
(4星)	 爱蒋勤勤跟何润东这一对            
(4星)	 水灵灵的黄奕，还古装，美丽极了。可现在呢？            
(4星)	 哈哈 ·小时候看得···            
(NA)	 。。。。小时候很喜欢何润东和蒋勤勤，so。。            
(3星)	 其实有一部电影就真的够了            
(NA)	 算是童年看的电视剧了吧。            
(3星)	 那时候喜欢上何润东的            
(4星)	 超级喜欢蒋勤勤和何润东这一对。蒋勤勤演技没的说，动亦能动，静亦能静。            
(4星)	 当然何其萌小虎，不过玉娇龙和罗小虎没结局。            
(3星)	 大爱蒋勤勤和邱心志……            
(NA)	 何润东啊，小虎啊，黄奕，邱心志，蒋勤勤，剧情不记得了~            
(4星)	 小时候狂爱看,特别喜欢蒋勤勤            
(4星)	 我是看着你长大的。            
(3星)	 蒋勤勤跟那谁比较有趣            
(4星)	 一直觉得这个版本也挺不错的            
(3星)	 看不下去。。            
(4星)	 两个女主都好漂亮            
(5星)	 我最喜欢这部剧了，何润东很帅，蒋勤勤很美，真心觉得两人配啊            
(3星)	 那时候黄奕还挺招人喜欢的。。。            
(NA)	 囧            
(4星)	 我喜欢蒋勤勤            
(5星)	 小时候迷得痴痴狂狂            
(4星)	 还是小学的时候看的呢，特别喜欢玉娇龙和罗小虎这对宝货。            
(5星)	 当年的黄奕真的很让人心动+纠结..以为不说对方就知道结果全都不知道最杯具了啊喂.            
(4星)	 小龍和小虎滿足了那時的我對愛情所有的幻想 而我也暗暗欽佩着那時溫順隱忍的黃奕的俞秀蓮 電視版比電影版包含了更多我當初的回憶            
(3星)	 忘记情节了。            
(NA)	 小时候和姐姐一起去电影院看的            
(3星)	 看了一点            
(1星)	 跟电影比太瞎啦~只记得那隔空倒吻^^            
(4星)	 我十分十分十分喜欢蒋勤勤娇俏的模样~~            
(NA)	 回忆邱皇阿玛&gt;&lt;            
(NA)	 没有完整的看完。。只是记得当时和情深深雨蒙蒙抢收视的。。不过肯定悲剧了。。但是我记得我家是两个电视一起放。哈哈哈            
(NA)	 电视剧版本也是挺好看的~            
(4星)	 这几天没日没夜地重温这个我还真是......太闲了（我的童年T T            
(4星)	 当年的蒋勤勤和何润东            
(NA)	 玉娇龙的江湖梦 李安的江湖梦 你我的江湖梦。            
(3星)	 很久以前看的，挺怀念的            
(4星)	 蒋勤勤太美            
(2星)	 取悦老外            
(4星)	 在这里觉得蒋勤勤和何润东简直是绝配！            
(5星)	 小时候很喜欢的电视剧~~            
(2星)	 音乐不错            
(5星)	 三星给邱心志，二星给黄奕            
(5星)	 里面的歌很好听            
(4星)	 没有电影好看，但蒋勤勤出彩了！            
(3星)	 我恨你！            
(4星)	 剧情一般，不过动作戏堪称完美，片景也实在是太美了，但是结局岂止一个囧。。。个人完全无法理解，也许美的玄幻的到一定境界就是恶心吧            
(2星)	 看完断背山迷上李安，然后这个片子又把他毁了....            
(3星)	 那时候的蒋勤勤和何润东超配的~~            
(3星)	 没电影版好看            
(NA)	 很喜欢那个蛮横娇纵的玉娇龙            
(2星)	 电视剧有点儿无语。。            
(NA)	 当年超级喜欢看            
(NA)	 难道是一部成长电影？            
(3星)	 话说我就只看过这个版本的卧虎藏龙，当年还是很喜欢黄奕的            
(1星)	 看完电影，这个真就不入眼了            
(3星)	 我看不出好在哪里诶            
(4星)	 总的说还是不错的了.            
(3星)	 還記得這部戲我完全只看蔣勤勤的戲分 所以3顆星都是因為她~            
(3星)	 哎 我的古装情节 整理起来怎么这么多            
(NA)	 很喜欢主题曲            
(1星)	 邱心志1星、蒋勤勤+何润东=1星、黄奕减1星！黄奕能再丑点吗。。            
(5星)	 小时候的回忆            
(4星)	 7分            
(4星)	 玉娇龙啊~~~~~~            
(4星)	 迷恋蒋勤勤的时光            
(3星)	 喜欢勤勤，就是为古装片而生呀            
(5星)	 动作的确很新颖别致            
(4星)	 我好像没有看全。。            
(NA)	 小龙，哈哈            
(5星)	 有蒋勤勤、蒋勤勤~            
(NA)	 还是感觉人物说话怪怪的……            
(3星)	 当时就喜欢何润东了            
(5星)	 想当年，看得热血沸腾            
(5星)	 理智与情感            
(5星)	 用爱围成一个大圈圈            
(4星)	 最喜欢这个时候的黄奕，之前之后再也没有出现过的状态...实在不是太喜欢何润东的长相...            
(3星)	 其实我感觉剧情一般  要看色彩功夫 应该蛮和外国人口味的            
(3星)	 演员都挺好的            
(5星)	 其实我还蛮喜欢蒋小姐扮演这种俏皮可爱的角色，罗小虎和玉娇龙这对实在是太可爱了！于是用300多块大洋把它给珍藏了T_T            
(NA)	 水灵 。    真是个天生的演员。             
(3星)	 不得不说~蒋勤勤的演技很不错~            
(3星)	 虎头蛇尾 不过演员找的算是够贴近角色了            
(5星)	 喜欢所有演员~            
(5星)	 大爱何润东            
(5星)	 读书放学的路上很期待的电视剧 特别是半边云 跟 那个谁 爱来爱去的~            
(4星)	 不错            
(4星)	 只看何润东和蒋勤勤的部分！！！            
(5星)	 蒋勤勤和何润东的爱情好赞。看的人兴奋。            
(5星)	 都是小时候看的印象深的电视剧            
(NA)	 哈哈哈，这部里太喜欢小虎了，尤其是她倒挂在树上，和玉龙kiss的那场景，哈哈，我从小就是这么色的            
(3星)	 三颗星都是给黄奕和邱心志的。男一女一则不知所谓。            
(1星)	 导演是谁呀。            
(5星)	 为什么看过的人那么少？我记得我小时候看的可开心可迷了！            
(3星)	 邱心志的李慕白好帅            
(4星)	 当年看的时候很喜欢邱心志和黄奕！            
(5星)	 大爱以及巨爱 罗小虎            
(4星)	 喜欢玉娇龙小虎这对呢            
(3星)	 大侠气质很文弱。            
(4星)	 只是那时候开始爱上何润东~~我没办法。            
(NA)	 这个很早以前的啊            
(3星)	 想当年的片尾曲很好听            
(3星)	 玉娇龙.            
(NA)	 中学时代喜欢邱心志！            
(4星)	 完整的是35集吧?看了开头结尾.帅哥美女:)            
(3星)	 这个我都看过！~哇哈哈            
(4星)	 感觉比电影版清纯一点            
(4星)	 被黄奕的一个身影久久感动            
(3星)	 烂            
(NA)	 邱心志和黄奕怎么看怎么别扭~蒋勤勤和何润东倒是不错~~不过我还是觉得电影更美好            
(NA)	 罗小虎^_^            
(5星)	 小邱同志很书生的帅气，当年很萌来着。主题曲也不错哦            
(4星)	 那时开始喜欢邱心志的            
(4星)	 尽管它就是一部偶像剧，当时还是非常喜欢的。            
(NA)	 烂片            
(4星)	 我觉得小虎很可爱            
(NA)	 当年美丽清纯的黄奕啊            
(5星)	 我爱罗小虎。            
(3星)	 单纯的喜欢某几集的扮相...            
(4星)	 不管看没看电影当初还真觉得电视剧版我更看得下去囧RZ            
(4星)	 很好看，黄奕在上面的表演我相当喜欢，于秀莲和李慕白之间隐忍的情丝被表现的丝丝入扣，可惜结局还是让人心痛，最后怎么就走了呢？眼看都要在一起了。            
(3星)	 以前看的时候觉得还蛮好看的 - -或者现在看感觉会变，但是没机会再看一次了应该~            
(3星)	 喜欢里面的李慕白~            
(3星)	 后半部没看            
(3星)	 恩            
(4星)	 李安,我喜欢            
