http://movie.douban.com/subject/1302832/	洛神
(3星)	 一直没搞清楚甄宓到底怎么念，宓不是念mi吗，洛神里念fu。。。            
(5星)	 里面的人都挺喜欢~~~看着还老感动俄。。。不知道为什么~~~            
(4星)	 绝美洛神            
(5星)	 TVB最佳电视剧            
(5星)	 翩若惊鸿，婉若游龙~            
(5星)	 就因为这部剧，彻底喜欢上Ada！            
(4星)	 The scene of &#34;7 steps poem&#34; was very touching. Execellent performance.            
(5星)	 飘渺似孤鸿影            
(3星)	 有点闷..            
(4星)	 小时候的记忆嘛            
(NA)	 蔡少芬确实惊艳！            
(4星)	 蔡少芬演得真好            
(5星)	 很用心的聚集，台词可圈可点，认真态度可见一斑            
(4星)	 【好無聊的開始馬克看過的TBB】啊啊啊當年熬夜看的，快結束的時候子建那番“自從心中所愛離我而去”blablabla印象深刻啊。            
(NA)	 一直觉得这部有点文艺= =            
(5星)	 Ada最美的時光。            
(4星)	 其实不错呢~            
(4星)	 我小学的时候是有多迷这部剧 看得声泪俱下             
(4星)	 如果不是看过这部剧，真的不知道有甄宓这么一个传奇色彩的人物~~个人心目中ada的经典之作~            
(4星)	 因为这部戏对曹植加分很多。            
(NA)	 甄宓超美            
(5星)	 耀杨哥的古装造型真是。。。。            
(4星)	 甄宓是我唯一喜欢的圣母 太美了 由内而外的美 可惜红颜薄命            
(4星)	 好多年前看的，前面都挺不错，结尾部分有点不搭，很仓促            
(4星)	 记得当年看的时候觉得蔡少芬真的是美呆了            
(5星)	 太虐心了。。。            
(5星)	 江南有二乔，河北甄宓俏，小的我是神魂颠倒啊~~            
(5星)	 蔡少芬很适合演甄宓            
(5星)	 当年爱曹植甄宓得死去活来啊            
(4星)	 看完这个片儿，记住了那首诗。            
(3星)	 剧情不太记得了。只记得蔡少芬，真是美爆了！            
(4星)	 尤爱蔡少芬拿起手帕半遮面那一幕~            
(NA)	 美，凄美。            
(4星)	 南有大小乔，河北甄宓俏            
(5星)	 看过三遍了！真的很好看！哭的稀里哗啦            
(4星)	 蔡少芬和马浚伟演绎得很棒            
(3星)	 我小学的时候是有多迷这部剧 看得神泪俱下            
(3星)	 小时候在电视上看过一点，一直念念不忘，后来在网上看了全集，再没有当年的感觉了。            
(5星)	 蔡少芬~~~            
(5星)	 TVB的古装剧难得好看的一部            
(3星)	 原来看的时候真觉得蔡少芬在里面是天仙啊~            
(5星)	 看哭了            
(4星)	 儿时的记忆了，当年的洛神真的是倾倒众生啊！            
(4星)	 那时候觉得甄宓真美            
(4星)	 新東方宿舍里跟同學看的，難得不討厭聖母女主。            
(3星)	 啧。。            
(5星)	 当年和老婆一起看的，老婆最喜欢里面演曹植的马浚伟            
(NA)	 长沙出差~            
(5星)	 蔡少芬美得不可方物。陈豪当年还很man没有开始搞笑。            
(3星)	 当时好喜欢蔡少芬            
(4星)	 乱世桃花逐水流            
(NA)	 蔡少芬太美了…………            
(3星)	 Michael演過這劇...那時不認識他啊~            
(4星)	 小时候哭了好多回            
(4星)	 中学时代的回忆            
(5星)	 当年蔡少芬美得要死~            
(3星)	 看了一点，很凄艳的样子，但不够吸引我幼小的心灵啊。            
(5星)	 蔡少芬真美            
(3星)	 凭良心没觉得有多么经典，洛神也太完美了吧。很抱歉，我对圣母一直有偏见            
(4星)	 蔡少芬的甄宓还是蛮美的~陈豪的曹丕马浚伟的曹植也都蛮符合个人气质~不过就是部分剧情略过于狗血...不过TVB么，这样也见怪不怪了            
(4星)	 记忆模糊了 所以扣一星  当时被悲剧结局震撼了 因为当时还 想着 才子佳人 有情人终成眷属的             
(2星)	 一星给郭羡妮和陈豪，另外一颗给依旧被狐狸迷住了            
(5星)	 小时候租碟来看的 现在已经忘了情节（笑）            
(4星)	 那个时候看完觉得甄宓就应该是蔡少芬长相的，囧。现在想想也就一般。@Home            
(4星)	 所谓红颜祸水，一个女人引发的两个男人+另一个女人的四人八卦故事。            
(5星)	 郭嬛这个贱人            
(5星)	 蔡少芬好美，马浚伟好帅。唉，才子佳人，劳燕分飞啊。            
(4星)	 多年前的片子，猶記得曹植被逼七步作詩之時甄宓以絹掩面一笑的一幕，那時真的覺得蔡少芬美如天仙，與馬浚偉的那份愛以是亂世脫俗。郭儇還讓我想起了小學那個叫做郭倩茹的女孩，當初不知怎麼地覺得這個名字是專為我二人所取。轉眼九年過去，不過偶爾想在劇中尋找些許當初成長的印記罷了。            
(NA)	 听人说这部戏很不错，今天看了··马浚伟太适合演这种倜傥才子形象了。蔡少芬的洛神把握不错··演得很好！有那种气势··太棒了··那场落泪嫣然笑包含了多少情愫···TVB的作品··没有玩镜头玩场景··仅仅就是人物的演技跟服饰华丽来支撑这个剧··不错的作品！            
(5星)	 蔡少芬的洛神扮相惊为天人            
(4星)	 那时候蔡少芬和郭羡妮都好美啊            
(4星)	 看到这个还是想到蔡某人            
(5星)	 骨子里透出来高雅气息！            
(3星)	 虽然三公子是官配，男二情节他妈的又爆发了，马浚伟你呆一边凉快去你才不适合这种闷骚文艺腔的类型！            
(3星)	 曹植            
(4星)	 ada最美!            
(4星)	 南有大小乔，河北甄宓俏！只为看蔡少芬；            
(NA)	 女主角            
(4星)	 当年看的时候觉得蔡少芬超漂亮，以及超级讨厌郭羡妮~            
(5星)	 悲剧使人深刻，则史剧使人思考。不错的电视剧。            
(4星)	 真是太好看了！            
(4星)	 翩若惊鸿，婉若游龙。荣曜秋菊，华茂春松。远而望之，皎若太阳升朝霞；迫而察之，灼若芙蕖出渌波。肩若削成，腰如约素。丹唇外朗，皓齿内鲜，明眸善睐，靥辅承权。柔情绰态，媚于语言。休迅飞凫，飘忽若神，陵波微步，罗袜生尘。含辞未吐，气若幽兰。此乃洛神也。            
(4星)	 此等奇女子，何以坎坷如斯。曹植拖泥带水，曹丕胸怀不足，但乱世需要的仍是够狠。            
(NA)	 开始很幸福，后来很纠结            
(4星)	 好喜欢看~            
(3星)	 煮豆持作羹，漉菽以为汁。萁在釜下燃，豆在釜中泣。本自同根生，相煎何太急？            
(3星)	 蔡少芬古装实在不算绝色啊！！马浚伟&#34;大爱的一部戏&#34;，我很勉强的看了3集，这种&#34;有情人终不能成眷属&#34;的悲剧 实在无爱啊.....            
(3星)	 这剧说实话完全是冲着Ada的美貌去的~还有马仔的帅气，绝对养眼，剧情一般般是我没有看完整的一部~大学时期~            
(5星)	 蔡少芬演出了味道.            
(4星)	 小时候就喜欢看。。现在又看了一遍。。            
(NA)	 喜欢 可怜的子键~            
(3星)	 蔡少芬的古装很漂亮，但情节一般            
(5星)	 蔡少芬我也爱！            
(2星)	 我爱上了马先森！            
(4星)	 那时候觉得洛神超美~~            
(4星)	 最近又看了一次，不得不说蔡少芬把甄宓演活了，演技真的很赞。而甄宓和曹植的爱情也是让人唏嘘，正如甄宓说的“人生本来就这么多无奈”。这部剧真的是TVB经典之一。            
(4星)	 揪心啊 。。。            
(4星)	 马浚伟和蔡少芬演得很好！！！            
(4星)	 蔡少芬美的没话说~马浚伟更是喜欢~不多说~~            
(5星)	 这是一首对水中仙子的赞歌！            
(4星)	 小时候多喜欢看啊。情如孤舟，愁如深渊，谁曾爱我。。。            
(5星)	 还记得初中时候每天中午课间不回家的流连在小卖部等老板放碟子            
(NA)	 蔡少芬老好看的            
(4星)	 曹植和甄宓的爱情，太凄凉了！！！！            
(4星)	 长河夕照花依稀 壳中悲鸟别故地 江山怎胜你娇美 美德普照大地 蛾眉淡扫水中仙 孤舟漂泊为见面 苍生只待你一笑 百花千里露红艳             
(4星)	 当初的大爱            
(3星)	 看了一半，陈豪的妆是在太彪悍了。            
(5星)	 南有大小乔，河北甄宓俏            
(3星)	 大家觉得蔡少芬美不，我觉得不错            
(NA)	 马浚伟呀么郭羡妮            
(4星)	 除了陈豪都给满分            
(4星)	 蔡少芬完全演绎咩叫演技！            
(4星)	 人如花飞，云如短歌，谁曾爱我            
(NA)	 一直觉得甄宓是个神话            
(4星)	 实在是把甄宓塑造的太完美了，宓儿和惜惜都很漂亮~蔡实在是很适合演古装呀，里面实在是太多的奇才了，只可惜下场悲惨            
(4星)	 乱世桃花逐水流            
(4星)	 甄宓好惨，郭嬛好贱。。。。            
(5星)	 TVB中我最爱的一部剧~不论是演员 剧情 配乐 样样都是恻人心扉~样样都是让人动情~最爱惜惜姐姐的歌声 也为子键的才情折服 更为宓儿的美貌所动容~            
(4星)	 侧面了解了三国历史  观后感在于 人要跟对老师  女人要跟丈夫一条心             
(3星)	 那时候的TVB男女主角都看的听顺眼的 现在的不行了            
(5星)	 是蔡少芬自己最满意的一部剧，应该也是马浚伟最好的一部剧。             
(5星)	 蔡少芬演得很好～～　乱世桃花的命运，作为了自己的爱情还是为了国家～～　为了国家的牺牲又是否值得，哎～～　不禁感叹～～            
(5星)	 七步诗的起源竟然如此凄婉...            
(5星)	 心中第一古装剧，剧情，表演，剪辑都十分优秀。            
(4星)	 好看的            
(5星)	 经典！！！            
(NA)	 当时觉得蔡少芬真的好美啊。            
(5星)	 多少年后再看还是忍不住落泪，现在的TVB再也拍不出这样好看的片子            
(3星)	 三星半 喜欢悲剧            
(NA)	 那时候觉得蔡少芬太美了            
(NA)	 完美男人第一条：才比子建            
(NA)	 OH 经典。            
(5星)	 最为动容的是甄宓殿前掩帕而泣唤回曹植无限诗情之七步诗的一幕,赞！蔡少芬……美轮美奂，足智多谋。            
(5星)	 小时候的最爱哇 不管符不符合史实 TVB以前的剧就是好阿 一众演员十分给力 还意外发现陈豪演技非常靠谱（现在的越来越浮夸） 蔡小姐依旧是我那杯茶 看得真舒服             
(5星)	 in the name of legend            
(4星)	 芬女正是最佳时节啊            
(3星)	 悲剧。 机关算尽，活着有多累。 唉~~~~~~~~~~~本是同根生，相煎何太急。            
(3星)	 看不出郭女王是郭羡妮。。。怎么就是好人没好报，人善被人欺。。。            
(3星)	 那时候觉得蔡少芬超美的            
(5星)	 对三国故事的另类演绎，非常独到，蔡少芬演的非常好，其中每个人角色都很到位各有特点，经典的香港历史剧！            
(4星)	 马浚伟啊……            
(3星)	 又是郭羡妮……黑线            
(4星)	 人如花飞云如短歌谁曾爱我时而风光时而坎坷谁僯惜一个我镜花岁月没法断绝我心媲美是明月情如孤舟愁如深秋尘如初春雪寒如深深雪对酒当歌人生几何花虽美也在期待你留下结果红如天色蓝如沧海如何记载时而光彩时而悲哀如何等一刹爱            
(5星)	 子桓太讨厌了~            
(5星)	 那时的蔡少芬简直是我心中的女神，也因为这个片子对郭羡妮一直无感，看来这娃的演技还是不错的，否则不会惦记这么多年            
(4星)	 镜花岁月 没法断绝 乱世桃花逐水流。            
(5星)	 10/10            
(5星)	 想哭死我么。            
(4星)	 洛神里的蔡少芬真的是漂亮啊。            
(4星)	 漂亮啊！！            
(4星)	 那个曹植作七步诗的时候，我那个哭哦            
(4星)	 我可能是比较喜欢这三个历史人物三角恋的梗            
(3星)	 看了一半便覺得無以為繼了，總是TVB路線的愛情劇。            
(3星)	 本是同根生，相煎何太急            
(4星)	 四星送给倾国倾城的蔡少芬。            
(4星)	 有情人终不成眷属，为蔡少芬加一星~            
(4星)	 杨修死的时候七步诗的时候甄宓死的时候 姐泪奔了            
(4星)	 在TVB的众多剧集之中算是制作精良的上乘之作，虽然个别地方仍延留小人物的白目情节，但总体上无论是剧情还是演员都很出色，尤其是嫣然一笑，七步成诗的情节，很感人。            
(4星)	 现在看老剧似乎总是那些套路情节，然而七步诗一出，情感顿时喷薄而出，泪湿双眼啊。。。。。。蔡少芬艳光四射，眼波流转，演技非凡啊            
(4星)	 美人如斯            
(5星)	 不论戏说的成分有几多~无论几时再看几回，都感动这部剧是成功的~惜惜，崔芣，甄宓死的时候，我都被感动了结局也是满怀伤感啊~            
(4星)	 看得我憋屈！！！            
(4星)	 故事大概是知道的。但是ada只看扮相，就很美很美了。            
(4星)	 蔡美人啊……            
(3星)	 20集之前，情节跌宕，颇为精彩；最后几集，很是狗血，把曹丕、郭妃演得太不堪了。曹操有时像个大流氓、甄宓时而一声淫笑、曹植整一个2B，“好人”不时站在道德高地，“欲加之罪，何患无辞”，还有“大不了一走了之”，岂是有担当的大丈夫所为。相比之下，司马懿倒真是“鬼才”无敌了。            
(5星)	 改了1T世界，而且甄宓绝对伐是Ada个能的，但真的还满好看的。。。陈豪演技册来了，有句刚句。。。            
(4星)	 我其实喜欢蔡少芬跟陈豪配！陈豪这曹丕造型很帅很英气，是他最有型的古装look啊，哈哈。            
(5星)	 好想重温            
(5星)	 最傾國傾城的甄宓。最倜儻風流的曹植。            
(5星)	 七步诗那段拍得很好            
(3星)	 看过一点点 知道了甄宓            
(5星)	 又是一部虐心的电视剧            
(5星)	 很好看，，蔡少芬演的洛神太美了，，当曹植念七步诗的时候哭惨了，，            
(5星)	 经典啊            
(4星)	 撇开历史，这实在是一个动人的故事。。。            
(5星)	 打算在看一遍的            
(4星)	 AMY这部太美了            
(3星)	 蔡少芬的一颦一笑都让人心动            
(4星)	 很好的剧，虽然是很久以前的，但是看着还是很不错。演员都很到位~            
(4星)	 看得我头昏啦~~            
(4星)	 本是同根生 相煎何太急            
(5星)	 我最爱的电视剧，没有之一~            
(5星)	 那时候蔡少芬真是太美了··········            
(4星)	 梅小青监制的剧一般都不会差到哪儿去！Ada在里面美翻了！            
(2星)	 烂剧，不知怎么打分这么高，看到7实在看不下去了            
(4星)	 那时觉得蔡少芬真是美            
(5星)	 煮豆燃豆萁，豆在釜中泣。本是同根生，相煎何太急。 曹操乃是真智者。想看三国志了，不是以蜀为正的三国演义            
(4星)	 蔡少芬很美            
(5星)	 为了蔡少芬而看            
(5星)	 哎哟哟，当年看了八百遍啊。            
(3星)	   喜欢蔡少芬的表演，剧本写得也还不错~            
(5星)	 爱上蔡少芬,,,就是从这步戏开始            
(3星)	 很特别的视角来讲三国            
(2星)	 真不是我的茶。。。ADA，你太瘦点了！            
(5星)	 最正的TVB古装剧            
(4星)	 最后那段女主死的时候哭了              
(5星)	 人如花飞，云如短歌，谁曽爱我。情如孤舟，愁如深秋，尘如初春雪。对酒当歌，人生几何……            
(4星)	 不错            
(4星)	 惊艳。惋惜。哀悼。            
