http://movie.douban.com/subject/2299648/	杨贵妃
(4星)	 本来觉得向海岚长的有点怪。但这里惊艳了一把，开始寻找她拍的片子。古装的她确实漂亮            
(3星)	 不喜欢向海岚            
(3星)	 杨贵妃自杀时很惨。            
(2星)	 随便找个人就可以演了吗            
(4星)	 初中住在舅妈家的时候很喜欢看的电视剧~~~~            
(3星)	 狗血的贵妃            
(1星)	 可以改名为丑女传 跟杨玉环半毛钱关系都没有江华很帅 但绝对不是唐明皇简直是在糟蹋历史 能打负分吗？            
(3星)	 最喜欢吃泡面看着你！多少次也不会腻            
(NA)	 喜欢的是梅妃～            
(NA)	 长生宫里痴心事 长恨歌中泣血声。。            
(3星)	 我印象中的杨贵妃就是向海岚的模样。依旧电视转播看过好几回            
(4星)	 不要去思考历史的问题，这部剧还是很有味道的~            
(3星)	 袁彩云演的杨玉瑶自杀那场 折服啊～～～            
(3星)	 正式关注吴美珩。            
(3星)	 追忆            
(NA)	 向海岚真的是很难看            
(2星)	 实在是欣赏不来向海岚的杨贵妃造型。她和美女差的不要太远啊。            
(3星)	 这要不把它当历史剧来看就还好～～            
(3星)	 向海岚演娇贵的角色蛮合适            
(3星)	 某年的暑假跟王女士一起看的，当时只觉得杨贵妃好美，还记得梅妃跟另一个妃子的装（一个其实是好的却装坏，另一个则相反，所以也挺喜欢吴美珩的）            
(5星)	 全家追~~            
(5星)	 向海岚的古装实在是美艳动人。            
(5星)	 我就是很喜欢，不知道为什么。            
(3星)	 向海岚是港姐啊..啊？            
(3星)	 向海岚很花瓶，江华good            
(1星)	 大烂片一颗！            
(3星)	 我覺得總體還行，楊玉環她媽媽挺搞笑的，袁彩雲演的楊玉瑤很不錯。當然最重要的是有我當年最愛的兩個女配也是我現在的大愛吳美珩和郭少芸。兩人都很有氣場~~相比之下向海嵐氣場太弱了……            
(NA)	 看的时候觉得杨玉环和梅妃都是很好滴~~            
(3星)	 杨贵妃明显不够肥阿             
(2星)	 很幻灭。            
(2星)	 贵妃丑死了!!            
(2星)	 误导了无数人的杨贵妃。            
(5星)	 最近又找出来看，很好看呀。虽然大大的背离史料，但是唐玄宗与杨玉环那段情是演的真。。。很感人呀后面。。尤其是后面六军不发。。。            
(NA)	 废了我的高考            
(NA)	 最醜的楊貴妃！！！╮(╯▽╰)╭            
(1星)	 向海岚 呕。。。。            
(4星)	 杨玉环沐浴的时候 要高力士退下，结果高力士憋红了脸说：我地唔系男人            
(4星)	 我觉得向海岚还不错啊~为什么这么多人非议她？            
(NA)	 寄宿在老师家  陪着杨老师看  其实是希望她早点困  让我有机会不受管制的看之后播放的武侠片金蚕丝茧  典型的小男孩心性            
(3星)	 好瘦好瘦的杨贵妃            
(4星)	 入面有只歌～好好听            
(4星)	 想当年，我们小女孩还玩COSPLAY贵妃游戏~哇哈哈哈~~            
(4星)	 好看好看            
(5星)	 眞的眞的很喜歡這部電視劇，我現在還回下載來回味。~            
(3星)	 我蛮喜欢古装剧的~            
(3星)	 杨贵妃好难看。。。            
(3星)	 再次重温初中时的剧，感觉依旧，只记得吴美珩演的气质出众的梅妃，迷恋许久，就像当年。。。            
(3星)	 一直觉得找骨干的向海岚演杨贵妃真是个败笔。            
(3星)	 就还行吧，个人没什么感觉            
(3星)	 只記得楊貴妃被安祿山壓倒的那場面0 0            
(3星)	  向海岚 最恶心的女人            
(3星)	 呃~~            
(1星)	 向太丑            
(NA)	 清冷的梅妃是我关注的重点。            
(3星)	 高二中午每天十分钟...            
(3星)	 杨贵妃丑了点            
(3星)	 这么瘦的杨贵妃            
(NA)	 还是内地版本的好            
(3星)	 大学时无聊翻出来看的            
(3星)	 主题曲好听，向海岚不够美艳。江华不错            
(3星)	 这种人怎么可以演杨贵妃            
(NA)	 这个杨贵妃还真是……瘦啊！            
(NA)	 李惠敏唱的主题曲一流            
(3星)	 童年记忆~            
(3星)	 这个很崩，呵呵。不过看江华吧。            
(4星)	 史上最ugly楊貴妃！            
(3星)	 一般般            
