http://movie.douban.com/subject/4891786/	夏家三千金
(4星)	 终于结束了！！！！！！姐看了两个月啊！！！！！！前段很喜欢严格天美这一对 后期由于萌上严立恒。。。。但是！最爱还是夏友善！！！            
(2星)	None
(1星)	 无语凝噎            
(1星)	 这部片子究竟是要有多雷啊~！！！！！特别是最后和毒酒那段~！！！！你妹啊~！！！！你特么场景究竟是要有多穿越啊啊啊啊~！！！！还有陈楚河，你说你那张脸究竟是要有多苦啊啊~！！！！！好多斤黄连啊~！！！不过至少邱泽弟弟的那个演员还挺帅的~！！            
(NA)	 前面看了几集。中间看了几集，最后看了结局。前面男人在哭，中间男人在哭，最后男人在哭。。。。。。            
(1星)	 女主角除了夏友善外 其他人的演技蛮弱的 长得也不好看            
(2星)	 弱智儿童欢乐多            
(1星)	 什么叫懒媳妇的裹脚布……            
(1星)	 小白脸就是废啊就是废。杨真真让我说不出的恶心            
(3星)	 唐嫣不适合演这种傻大姐吧，七哥的坏女人不错，张檬照着郑爽整的吧            
(2星)	 寒假时陪老妈看的天雷滚滚狗血脑残偶像剧。            
(1星)	 只看了一集但是不想再看下去了可以标为“看过”吗？透着一股陈腐的台湾剧的味儿……你要是台剧也就算了，还是大陆剧，是有多格格不入啊。。“公安”，哪有大陆人会用“公安”啊！而且，我最讨厌嚣张的男主角和疯癫的女主角了！是有多讨厌！！唐嫣……真是不好看啊……陈楚河挺帅~            
(NA)	 这片好纠葛啊，电视广告很多呀            
(NA)	 广播剧            
(2星)	 脑残电视剧害人啊！            
(2星)	 我媽和我姥姥一塊兒看，如果倆人不在一塊兒她們還會互相打電話確認進度……我簡直瘋了，在屋裡看著康熙都能聽見外面各種“天美”“嚴格”……            
(1星)	 我妈非要看，只好跟着看，从表演到台词到编剧到摄像到剪辑烂的不是一般，典型大陆傻逼狗血剧            
(3星)	 剧情真拖沓。。。但是打不住我还追着看。。。            
(5星)	 我想说看的我不能自拔不能去学习的剧它都很有那个啥= =            
(1星)	 我以为是九几年拍的 哦呵呵呵            
(5星)	 5颗星全部都给邱泽！！！！！完全被吸引了！！！！！邱泽好棒！！！！！            
(3星)	 打发无聊时间而已。应该是在厦门的Le Meridian酒店，看起来很熟悉。            
(1星)	 片名可以直接改为《夏家三花痴》   几个女人都是见了男人就软  巴不得立即宽衣解带侍寝伺候的主    钟浩天一看就是酒店男公关而且还是只接男客的那种鸭子客   留着一头油头长发  让人一见就知道是从事不正当职业 白痴的剧情   sb的演技  不是为了出口恶气绝不会来留言            
(1星)	 真是毁了唐嫣            
(1星)	 一星给唐嫣            
(1星)	 男主男配女主女配全部都丑的要死也就不管了 如此傻逼的剧本竟然拍了八十集！做为失败的典型 这电视剧成功了！            
(3星)	 我好讨厌杨真真啊 ·怎么友善不整死她呢            
(1星)	 我实在没勇气看完，烂的没话说            
(4星)	 唐嫣好可爱            
(2星)	 唯有帅哥养眼 制作实在不堪            
(1星)	 这种可怕的雷剧，如果不是电视木有别的可以看，绝对不会碰的。            
(2星)	 看了几集真心就看不下去了= =            
(1星)	 哎哟我去……            
(2星)	 看不下去了，真是宿命啊，不同环境长大而有血缘关系的真真和天美，同夏家收养的友善，真不是一类人。。。剧情很狗血，不过还是有点闪光处。真奇怪，我爹娘为么喜欢看这类片子？            
(3星)	 女演员漂亮            
(3星)	 真够长，就是每集几个女的都在吵架，看看也挺有意思的            
(1星)	 陪老妈看的。哎~            
(3星)	 狗血剧！            
(3星)	 工作原因，非看不可啊            
(4星)	 剧情很狗血            
(3星)	 太长了  开头结尾看了点   嗯 只有天美可以看            
(3星)	 那个神马真真恶心死了好嘛我对陈楚河的好感一点都木有了戚薇哪点不如那个傻逼真真!!!!!!!!!看到真真那个傻逼的样子就够死了好嘛能不能找点会演戏的人来演啊混蛋!!!!!!!!还有唐嫣我好爱你&gt;3&lt;可爱死了好嘛!            
(3星)	 女人的勾心斗角 还真恐怖！话说这剧也托太长了吧///  三星只为了 唐嫣 邱泽  还有徐小帅哥 哈哈            
(4星)	 太长了            
(2星)	 雷 大猩猩很爱            
(3星)	 我就喜欢坏女人            
(4星)	 我是为了陈楚河给的星星好嘛！！！！！！！！！            
(2星)	 。。。。。。哎。。。。。。            
(2星)	 能把二十集的电视剧拍成八十集！！里面主角基本都没演技可言，两颗星看在主角长得不错还有歌曲也不是太烂的份上了～            
(NA)	 每天我奶奶下午都在那看这片子。。。。真是浪费了唐嫣啊。。。一群男主我还是喜欢那个心理医生啊是不是娶了香港的那个洪欣的？            
(4星)	 大爱季冠霖~~~！            
(NA)	 各种心计、各种卑鄙、各种耸男，只喜欢天美，喜欢天美的率真、单纯。            
(3星)	 我真是NC了才去看这种剧吧~P.S.邱泽在里面的感觉好像Nic~            
(NA)	 快进快进十分钟一集诶            
(3星)	 老妈喜欢看哦~哈哈            
(2星)	 只看了邱泽。。            
(4星)	 一直无法理解华森的所作所为~            
(2星)	 陈楚河咋演这么个无聊又懦弱的人呢？？？            
(3星)	 这部戏真是看得我快疯掉了.. 80集.. 太变态!! 而且一副琼瑶剧的样子.. 太冗长了.. 一个哭戏可以哭差不多半小时.. 晕了我..            
(2星)	 俗套狗血剧情大合集 和老妈一起看的 每天都想：怎么还不完结啊怎么还不完结啊            
(1星)	 太假了，太幼稚了，都有点心理疾病。。。仔细一看居然是琼瑶班底的编剧。。。看完都脑残了。。。            
(2星)	 真是我看过最烂的电视剧了，天美那部分还好可以接受，友善浩天那部分简直是烂的不能忍受，而且还拍的又臭又长，每次看到都想快进，NC的剧情加上SB的男主角和SJB的女主角。            
(1星)	 这个电视实在很罗嗦，我只看天美部分，戚薇真的超级无敌恶心，特别是哭起来，和拧在一起的手抓饼一样            
(1星)	 嗯，剧情太恶心，白糟蹋了演员和投资，一群神经病闲着没事过家家玩~~            
(3星)	 ···            
(3星)	 邱泽唐嫣各一颗星，拍了80集辛苦了给一颗星            
(2星)	 什么和什么，开天辟地的烂片，这片里就没几个人格，心理健全的人，都是极端的，要不像杨真真，从一个极端到另一个极端，陪老妈看，难看，坐旁边抽空看杂志            
(2星)	 为了唐嫣和邱泽看的 太养眼了~            
(3星)	 2011            
(3星)	 其实我只看了格美那条线，两人还常常沦为酱油党。不过作为在七点半档播出的长篇剧，类似台湾八点档面向多点受众，那么所谓的拖拉做作矫情什么的还是可以理解的，毕竟我奶奶妈妈妹妹个个都在看，效果就达到了。（张檬的演技实在一般，徐正曦说话风格和张翰差不多            
(1星)	 垃圾一塌糊涂            
(2星)	 多么别具一格的电视剧啊！            
(NA)	 狗血剧情。。            
(NA)	 这部剧要是没戚薇，那真是烂透了，尤其杨真真，做作的不行，本人只是冲戚薇来看的            
(2星)	 学台剧而不得。。            
(1星)	 傻逼剧中的战斗机，一星用来继续拉低评分。            
(NA)	 是怎样的勇气啊，零零散散看了大概，难受死我了，看出假期的无聊啦~~            
(2星)	 80集啊80集，有多少事能墨迹到如此长的地步~~~            
(1星)	 没完整看过一集就是想打压这种烂片&amp;……            
(3星)	 我靠我最近真是什么都看 看这个是因为网上居然没更新完            
(2星)	 狗血剧情，无聊时看看还行；邱泽怎么跟贺军翔那么像咩？            
(1星)	 为什么这种电视好像除了坏人别人都是白痴。而且最后还都是大家原谅作恶多端的人，处了这种结局就不可能有别的。就算有人杀了主角的父母、妻子、儿女，都可以原谅。没有法律、没有正义、没有恶有恶报。恶人始终会有好结果。            
(3星)	 最伟大的就是那三位父母了，陈楚河最多的戏份就是苦大仇深地站在屏幕中央，一言不发的，我拜托您做点事成不。。夏友善是个为了爱而疯狂的疯子。。孙晓菁就不用提了，让人无语。。严格个白痴。。            
(NA)	 要么坏的让人恨的牙痒痒，要么缺心眼缺的让人恨不得踹两脚            
(NA)	 比琼瑶还琼瑶的虐情戏...            
(1星)	 一群圣母和傻逼瞎了眼的狗血故事            
(1星)	 由衷觉得这是一部男主角草包女主角无脑的烂梗集合片儿。。。            
(1星)	 真善美还是贪嗔痴。对该剧各种难以名状的无奈和不理解，以下省略一千字。            
(1星)	 对白白痴，剧情荒谬，老婆在旁边看，我恨不得耳朵塞起来。            
(3星)	 跟外婆一起看的...白瞎了陈楚河和邱泽了...            
(1星)	 这片电视剧反映了中国的编剧都是白痴，真不是人看的。草            
(4星)	 很狗血的剧情但是我还一直追着看 =  =              
(4星)	 四颗星是给佳宝的            
(2星)	 我妈现在天天在看这个脑残剧，又臭又长，还TM有续集。            
(3星)	 原来大家那么激烈啊 果然我包容性太混乱了 对 杨真真就是一傻X呗 只爱看严立恒&amp;夏天美这一对儿 至于夏友善我始终都没觉得她坏过哎 也许是戚薇的气质问题吧 演不坏的那种            
(1星)	 雷得我无话可说啊！            
(2星)	 我真的无语啊~~~竟然被拖着看了80集~~恶心~~吐血，。。。。。            
(2星)	 可以说是剧情很老套，纯属不用脑子的瞎编，太差劲了！演员演的很做作，一点都不自然，连配音也是如此的粗制滥造！可能也就只有我妈那个年纪的人看看，因为没的选择了            
(NA)	 ……老爹老娘每天追的不亦乐乎，想无视都没办法啊！            
(NA)	 我坚持了40集            
(3星)	 立恒的爱是成全，友善的爱是占有，天美的爱是执着，真真的爱是蜕变~80集，离离合合，当它成为一种习惯，它就结束了            
(NA)	 太难看了   非常失望！！   看不下去了！！            
(3星)	 就这么点剧情，洋洋洒洒的拍了80集，实在是又臭又长，看不下去了。            
(1星)	 被我妈逼着不得不一直在听这部电视剧，到后面我都听不下去了，编剧你够了啊！这个出完车祸，那个又出车祸。。。狗血已经不能形容了。。。            
(3星)	 看到30多集才知道这部剧有80集之多，也就挑天美和严格的看看了，这对还蛮好玩的。话说为毛一部戏里有两个坏女人。            
(3星)	 狗血。但为什么我看那么起劲。。？那个不知道是男几号的还蛮帅的~            
(3星)	 40集啊，怎么还能有下部呢……好喜欢天美，严格和立恒哦~这就是公主、王子和骑士的故事。            
(NA)	 我觉得杨真真太假了，天美也没友善美。其实应该让天美演真真，真真演友善，友善演天美这样才对吧！            
(5星)	 寒假陪妈妈看，打发时间，结果自己也看上瘾了。            
(3星)	 浩天他妈真势利，典型的小市民，鄙视她，太恶性了她            
(3星)	 剧照比动态的精致多了。海报不错。            
(2星)	 杨真真太丑了，不喜欢她            
(NA)	 最坏的孙晓菁竟然没怎么挨巴掌！真是一点都不爽！其他三位女主演巴掌挨得不少，难道只有主演才有打戏吗！杨真真并不恶心，恶心的是张檬的演技。戚薇演技倒是还不错。其他就是为了看唐嫣。            
(3星)	 看了几集看不动了，唐嫣演技依然没几步，张檬比唐嫣略好些，就是墨迹墨迹的一部电视剧            
(2星)	 两颗星星给严格和天美~奶奶的，编剧的脑袋都是什么构造。。。挑战我的道德底线。。。            
(2星)	 张檬还蛮美的            
(3星)	 完全是为了严立恒打个三星。剧情漏洞百出，怎么给拖到四十集的。唐嫣和某真的衣服像地摊货，某真那苦逼三角恋狗血雷人无法入眼啊。            
(2星)	 啊啊啊啊啊~浪费陈楚河了 第一次发现戚薇演坏女人蛮适合的~            
(NA)	 太夸张了演技，，，唐嫣好不自然啊，，，，吵吵闹闹的忒烦            
(3星)	 八点档边吃饭边看还挺好的……剧情演技都很狗血但是还算有料80集和帅哥哥不是白来的            
(1星)	 他们捞了多少钱            
(4星)	 快进着 就为了想看和天美有关的所有画面。想给五颗星给天美的感情线 可惜因为那两个坏女人快进了太多阴谋诡计和苦情戏 所以给个4颗星吧            
(3星)	 喜欢天美的搞笑可爱。喜欢真真的孝顺善良。友善的执着美丽。和立恒这个阳光真诚不拖泥带水的真男人。这部戏就像是家庭装的上好佳薯片，温暖又实在，是一种摸得到的快乐。            
(2星)	 烂。            
(3星)	 2011.01.22  安徽卫视            
(1星)	 戚薇好可怕啊。。。。啊。。。。            
(2星)	 我。。。吐了            
(NA)	 夏友善的坏和恶毒能让人气吐血！            
(3星)	 剧情太扯太狗血不真实，是我看不下去的主要原因。唯一喜欢的主角是夏天美，总算在虐心剧情中有一点清新。唯一看得下去的爱情线是格美恋，不过实在很酱油。邱泽此剧造型失败，第一次看剧时觉得还不如徐正曦。幸而通过其他剧了解了更真实的、有外形有演技的他。            
(1星)	 邱先生的眼睛会说话，糖糖真爱你了            
(3星)	 阵容太好导致我期望太高，以致于最终太失望，但是作为青春偶像剧，是我本来自己找雷受。。。            
(NA)	 韩不韩 内不内 台不台。            
(4星)	 断断续续没看完的，原来有80集啊，可以看个天荒地老了。。很难得啊内地也可以拍出港台风，我还以为传说中的邱泽有多帅哈哈哈            
(2星)	 这剧有让你上火的能力~            
(3星)	 喜欢夏天美和杨真真。故事本身还不错，可惜太拖沓了。            
(3星)	 看一些吧！来来去去都说那些，有点烦了。走弯路的婚姻或爱情是不行的。            
(2星)	 虽然我很喜欢唐嫣，但是我真的倒胃口。            
(2星)	None
(NA)	 80集，好长，喜欢天美的傻和单纯            
(1星)	 唐嫣演技差 就是个路人 就是看到戚薇才看的            
(1星)	 我错了，这就是一群神经病..啊，对，是那个幻想症综合征和苦情综合症还有圣母综合征患者的年度大戏=-=            
(NA)	 这么多集我不可能看完的话说真的很稀罕唐嫣的颜 可萌看御            
(2星)	 冲7V去的            
(NA)	 追着跑。。。            
(2星)	 跳着看完了，表示。唐嫣好可爱！很不喜欢友善，张檬的生活照里搭配很OK～～            
(4星)	 都说天美傻，可我还是爱看她            
(2星)	 烂的可以            
(4星)	 和我妈一起看的剧            
(4星)	 有现代版《还珠格格》之称，只看唐嫣和邱泽那段。            
(1星)	 真心长见识了。。。            
(2星)	 简直臭不可闻，虽然很喜欢戚薇，唐嫣，邱泽，陈楚河，但仍然无法忍受如此脑残，狗血的电视剧，简直是电视界的奇葩！            
(3星)	 陪我妈每晚看的~^^~~~            
(2星)	 老子受不了装逼            
(3星)	 剧情极其白痴，但为了帅哥，要给三星            
(1星)	 咱还能再傻逼一点儿么            
(1星)	 陪着老妈断断续续看了几集，无力吐槽啊...现在的电视剧导演编剧们都TMD什么智商啊，走点心行么？            
(3星)	 真心不喜欢陈楚河在这里面得表现，还是Dylan好，本来就喜欢邱泽，这里面就马马虎虎咯            
(3星)	 好长            
(3星)	 看着看着就不想看了。。。。我勒个去==！            
(5星)	 杨真真真讨厌！昊天犹豫不定！大色狼一个！杨真真要怪就该怪她妈！            
(2星)	 编剧虐死他自己算了            
(3星)	 情节很一般，主要是看邱泽……不过哥们能成熟点么？            
(2星)	 狗血啊            
(1星)	 真是受不了            
(NA)	 陪老爸老妈瞧了几眼的剧            
(2星)	 受不了唐嫣和真真            
(3星)	 一般            
(2星)	 没啥意思            
(2星)	 两个男主都是软脚虾，在两个女人之间摇摆不定，懦弱的要死            
(2星)	 唐嫣龅牙            
(3星)	 陪妈妈看到偶像剧            
(2星)	 一星给严格，一星给孙晓菁            
(4星)	 大爱戚薇~            
(2星)	 不是因为戚薇我啥都不会说            
(2星)	 一分给唐嫣的脸，一分给戚薇的牺牲形象。            
(1星)	 陪老母看..每集都睡着            
(NA)	 真真 好看~            
(1星)	 狗血脑残不解释            
(2星)	 能还我邱美人原声么= =            
(4星)	 80集居然看完了！佩服我自己！！            
(3星)	 算还不错吧，不过好长哦。            
(NA)	 只为邱泽 讨厌唐嫣            
(NA)	 不知道给几颗星了，反正看这部剧简直是要命，拖着看完了，就看了唐嫣和邱泽的戏了，以后再也不要折磨自己看这么长的电视剧鸟~            
(3星)	 -0-             
(1星)	 请大家支持安徽卫视，谢谢            
(2星)	 比较难看！            
(3星)	 唐嫣邱泽！！！！            
(3星)	 还好还好- -            
(3星)	 编剧真的很狗血，家庭里面能出的状况一个都没落。人设太弱了，尤其闹得最厉害的那对儿，完全是那男的太2B了。            
(2星)	 国庆 电视好多个台都播这个，1个，2个，3个，4个.........            
(3星)	 吵架能吵出80集，编剧的功力不是盖的。但是也拜托，能不能照顾一下观众的感受，听着这一群人从头嚎叫到尾，实在头疼（虽然我一共也没看过几集）。            
(3星)	 台湾八点档的风格，妈妈看上瘾了，电视上没看到的，在我电脑上看完了~            
(2星)	 每个台都在播，于是我就跟着看，广告时换另一个台，居然都能跟得上，打发个时间。            
(5星)	 夏家三千金里面的演员太会演戏了，那导演太有才了，他们演得戏一次有一次的激发了我对演艺的追求！！我永远挺你们！！            
(NA)	 继续仲么鸟            
(3星)	 看唐嫣来的            
(3星)	 夏友珊还可以！~浪费了唐嫣！杨真真简直狗血……唉~            
(3星)	 3顆星全都是給格美戀的，其他的看都不想看，0分            
(1星)	None
(3星)	 个人认为这四十集的剧集完全可以在二十集内搞定，光是真真友善浩天三人的感情就纠结了2/3，实在是有违这部剧的初衷。。。            
(4星)	 狗血剧还是让我看得很入迷            
(NA)	 最纠结的。。。            
(2星)	 只看格美，其他跳过。。。。            
(NA)	 那个大姐杨真真真丑。。。眼睛像整坏了。。。            
(2星)	 张檬能再做作点不？            
(5星)	 呵呵， 好睇啊~奶奶，我是天美。哈哈~~            
(3星)	 我真的就把整整80集看了，不过是专看严格和天美的~ 其他人物不评价~            
(1星)	 烂片 烂中之烂            
(1星)	 编剧怎么想的。。受不了            
(1星)	 水平太低            
(2星)	 一般吧            
(5星)	 顶风给五星哈哈~            
(2星)	 剧情扯淡，对白稀烂的巅峰之作。            
(3星)	 我竟然看完了这个狗血电视剧。。。            
(1星)	 狗血 的蹄踏糊涂            
(1星)	 长篇言情狗血剧。唐嫣的配音更是败笔。            
(1星)	 一个字，烂！80集啊！！！一星给小徐帅哥，邱泽前面还很帅，后面怎么越看越残。。。立恒萌倒我勒~~~~            
(3星)	 突然觉得邱泽还蛮帅~~哈哈只挑出他和唐嫣的部分在看。。。            
(2星)	 无奈            
(2星)	 长而烂……陈楚河很帅，尤其是跟其他适龄男主男配相比。            
(NA)	 当时追剧追得我头都晕了 好看是好看 但是也很残忍啊 喜欢夏天美            
(2星)	 狗血，弱智            
(4星)	 其实还是不错的 不过就像很多豆友说的 这个与现实不符 不过都说是偶像剧了 又岂会和现实一样            
(3星)	 一般，太长了。。。            
(2星)	 无力吐槽，转台转到，完全看不下去            
(NA)	 唐嫣 邱泽 ~~            
(3星)	 片尾曲歌词            
(3星)	 太拖沓太磨叽了！田昊对孙晓菁多好啊，严立恒对夏天美多好啊。真是的。            
(3星)	 比较喜欢唐嫣            
(1星)	 想给零星的            
(4星)	 好爱夏友善！！            
(4星)	 看着蛮有意思的 看下紫萱            
(5星)	 你为什么不给五星呢？！！！孙小菁不很漂亮吗？！！            
(1星)	 哎。。呀！这个夏天就靠它打发时间了            
(3星)	 狗血            
(3星)	 我就为了看唐嫣 选角选的很好 戚薇太适合这角色了好不好 还有那什么小菁的 长的就是副坏女人的脸 杨真真有本事再做作一点吗 看到52 被同事剧透了 于是 弃！尼玛的也太长了好伐            
(3星)	 还不错，内地吸引人的剧不多，果然请来台湾偶像小生就是不一样，邱泽演戏真是别有味道，现实也是这样就好了，可是和贺军翔长得实在太像。            
(4星)	 突然特别想说，配音好白痴啊。。。不过当个爱情偶像剧来看，还不错了，虽然有点长，不过挺温暖挺励志的。。            
(2星)	 我呲我为什么要看这个，编剧您知道什么叫逻辑吗！糟蹋我心爱的建筑师行业！！！            
(4星)	 格美恋最爱了            
(NA)	 明明挺好看的嘛！为什么都是差评！！你们的要求也太高了吧！！！            
(3星)	 怎么我也看完了，虽然看的要吐            
(3星)	 2011.7。狗血，半夜无聊时跳着看滴，男猪脚的长相不是姐的菜呃。。。            
(3星)	 乱            
(2星)	 佩服导演能拖到80集。。。            
(2星)	 不看不知道，一看吓一跳，剧情真急人，虐死了            
(NA)	 喜欢天美，乐观的姑娘~            
(3星)	 其实还不错了            
(3星)	 我看了十几集后就直接拖着看 天美和严格什么的最喜欢 最萌了  坏小菁真的看得吐血又反胃            
(3星)	 一个电话就被骗出去了。剧情太假。两星给戚薇。            
(5星)	 看到了。。。没想到。。。付出来。。。            
(4星)	 男主选得太烂！            
(2星)	 这种剧情居然能拖沓个80集！            
(2星)	 又是脸谱化…中国电视剧没救了。从剧本就二。            
(3星)	 沈导演到了内地之后就狗血了，哎，可惜了，奶奶爱看            
(NA)	 刚看过，我只能说我真的很蛋疼很蛋疼，明明相爱却不在一起 这真的不是爱 如果我是天美，最后真的不会跟严格在一起，确实 明白了 爱情需要包容不能太斤斤计较 不过我还是做不到 这样的爱情 不想要            
(1星)	 大爱紫萱，要不是对唐嫣灰常的喜欢，我压根就不瞅一眼这破电视剧~            
(3星)	 喜欢唐嫣这一对，真喜感，真有爱。            
(2星)	 被骗了            
(3星)	 其实想打2星半的。剧情太过于拖沓。线索不够明晰。唯一出彩的线是严格与夏天美。其他的线，显得多余。            
(3星)	 本来挺好的演员 蛮好的剧情 咋就这么假呢拍出来            
(1星)	 我承认我是暑假超级无聊又木网络的情况下,才去看这种垃圾电视剧的鼻祖。编剧猪脚们你们是有多么傻逼才敢拍这个!!!            
(5星)	 爱唐嫣            
