http://movie.douban.com/subject/2148680/	创世纪
(4星)	 虽然不讨厌郭晋安，但是绝对讨厌这种“纯真善良”的角色！还有就是非常不满意古天乐的结局~            
(NA)	 叶！            
(5星)	 完整看了两遍...            
(5星)	 灰常灰常棒            
(4星)	 港片还是很经典的，编剧比美剧的还能扯~就这部片子，我跟70后都有共同语言了。。            
(5星)	 整体有四星，不过看在100集的份上，给五星吧，多不容易呀，基本上没bug            
(5星)	 这部剧对我来说是一种回忆..            
(5星)	 第一部第二部都很好，第三部就算了，我就没看！            
(4星)	 我个人不是很喜欢有悲剧成分的。            
(5星)	 想当年一下晚自习就冲回去追。。。            
(3星)	 原来我还看过这么多的肥皂剧。。。            
(5星)	 可以学到很多东西~            
(4星)	 非常非常经典!            
(4星)	 首部很好，二部闹心，三部垃圾            
(NA)	 但是我现在又再看。            
(4星)	 一百集呢。当时还是很痴迷过。            
(3星)	 哈遥远^            
(3星)	 终于折腾完了            
(5星)	 虽然很长 但一集没拉都看完了 经典            
(5星)	 TVB最经典的商战片。            
(5星)	 经典，绝对经典！看了一百多遍了            
(4星)	 看完之后很有创业的冲动。            
(4星)	 没什么可说的            
(NA)	 最爱看的港剧！！！            
(5星)	 妈妈和我都喜欢。            
(5星)	 大学的时候，天天追着看的港剧。            
(4星)	 应该还有古天乐-很坏            
(5星)	 很不错的电视剧.            
(5星)	 好看呀……            
(2星)	 毁了香港家族剧！            
(NA)	 没办法，老罗演得太像那么回事了。            
(3星)	 哇一个零两个零三个零志强！            
(4星)	 就是有点长            
(4星)	 真创了一个世纪。。。            
(NA)	 很好看            
(4星)	 简直是TVB的史诗之作。            
(5星)	 以前拼命读书全靠港剧支撑，好想再看一遍            
(4星)	 超长电视剧。我全看完了。基本上是在湖南台。            
(5星)	 最爱港剧 没有之一            
(5星)	 最爱陈锦鸿 最爱前半部            
(5星)	 大爱！            
(4星)	 偶真是個電視男孩            
(5星)	 在我心中永远的港剧NO.1～！实在是太经典了太好看了看了它之后再看现在的港剧真的觉得好蠢啊。。。            
(5星)	 经典剧集，非常好看            
(NA)	 大头罗嘉良那时候很讨巧            
(5星)	 豪华阵容，精细剧本 ，家族系，什么时候我才能收集到一套全集呢？            
(5星)	 啥也不说了，经典！！            
(4星)	 罗嘉良就是不爱陈慧珊，就算郭可盈死了还是不爱。气死我了。            
(3星)	 真片子真长光放我记得都快三个多月了.那时侯天天熬夜看.很喜欢陈慧姗.睿智型美女.            
(5星)	 TVB港劇巔峰作            
(NA)	 悲情女子田宁            
(3星)	  TVB的都一样            
(NA)	 创世纪            
(3星)	 不少人喜欢，其实很一般了            
(NA)	 太长了..我应该没看完...            
(NA)	 跌宕起伏            
(5星)	 因为叶荣添而喜欢罗嘉良。。那个在剧中亦正亦邪。。。为了自己的理想不惜一切去奋斗的人。。            
(4星)	 当年就是迷啊~            
(5星)	 唔~~这部剧里的可都是大牌~~            
(NA)	 我最喜欢的tvb之一            
(5星)	 我看过最长的电视剧            
(NA)	 又臭又长话说叶佩雯当年好青春            
(4星)	 只有TVB才能整得出来。            
(5星)	 香港精神            
(NA)	 豪华的TVB阵容            
(5星)	 有碟珍藏            
(5星)	 2010回味 别有一番风味            
(4星)	 经典之作            
(5星)	 看过的最好的港剧 没有之一            
(NA)	 我爱曾经的TVB            
(5星)	 经典            
(5星)	 受了巨大的打击 反而想看这部剧了            
(NA)	 【1999-10-11】            
(4星)	 看了两集以后把我爸也拖下水了，天天晚上等着看，哈哈哈！            
(3星)	 好拖。发现没有一个人物是喜欢的诶。            
(4星)	 真不想承认我以前没看过这部剧。。。从10月31号开始看，今天终于看完了。前半部完全是五星水准，经典，后面开始洒狗血，据说是因为之前商战场面太多了师奶不爱看影响了收视率。。。对后半部出现的人物全部无感。最经典的是许文彪跑马拉松那一段，最可惜的是陈慧珊生病退出，Lisa姐形象太高大完美了。。            
(5星)	 受不了邵美琪吴奇隆这种母子恋。。。话说里面还有杨怡马国明林峰            
(5星)	 蜕变前后的叶荣添一样的完美|喜欢娜姐喜欢大傻哥喜欢hellen和barry喜欢秦锦爷爷喜欢第一部的马志强喜欢霍景良|不喜欢tina不喜欢第二部的马志强|同情麦当劳同情eva同情阿彪|超讨厌张自力和那个发春的秦淑芬！！！            
(5星)	 当年挺经典的            
(5星)	 我心目中最好的港劇            
(4星)	 土人补完了创世纪            
(5星)	 很久就想看了 这还是我上初中时候印象深刻的电视剧             
(5星)	 想当年我有多爱这部！！！！            
(NA)	 几乎都忘了，这里有吴奇隆            
(4星)	 看完了~~最后剧情有点乱来。不过真的超好看啊~现在开始第二部复习中！罗嘉良虽然长得怪了点，不过不愧是还值得花时间看剧时代的TVB的一哥啊。            
(5星)	 神作！            
(5星)	 记忆中的香港经典。            
(5星)	 小时候还是蛮爱看TVB剧的 ~  郭可盈一直是心头肉~只是现在再也没有那么经典的角色了            
(4星)	 古天乐演坏人，让我有点受不了。我承认我是为了他来看的，又帅又有型的时光啊！！剧很长，所以情节够复杂，人物够丰满，美中不足的是后面是郭可盈代替陈慧珊出演，演员变了，结果剧情也改了。编剧总以为拿笔的人主宰结局，事实是，我不太买账。            
(5星)	 港剧的巅峰之作，不论卡司还是剧情都后无来者。            
(4星)	 叶荣添和马志强的友情真让人羡慕            
(5星)	 初中为此迷上古仔。进入社会还想再看一遍            
(5星)	 虽然已是港剧强弩之末时期，仍不失为经典，其中情感三言两语无法尽述            
(5星)	 这个是真的很好看             
(5星)	 毕业后唯一一部买了碟片重新看的电视剧，经典啊            
(5星)	 那个放学就往家跑的时代啊啊。            
(5星)	 那时多爱古仔            
(NA)	 姐看的第一部港片 哈哈哈~~~            
(NA)	 挨结果又想你了            
(5星)	 属于TVB时代的最后一抹回光返照            
(4星)	 都十几年前得片了，第二部真狗血，所以我看了一年才看完，从完全听不懂粤语到不需要看字幕就能听粤语            
(4星)	 张自力好帅- -            
(5星)	 曾经有这么一部电视剧值得用心去看            
(5星)	 中考前还在追~~~            
(3星)	 。。。竟然被我看完了            
(5星)	 小时候看过很多遍 。陈锦鸿里面几句话放还真他妈有先见啊！！！            
(5星)	 如果人生只能看一部电视剧的话，我选择《创世纪》            
(5星)	 那时候妈仔和老爸买碟回来一口气看完的，好像是刚搬家到这边来的时候看的。转眼10多年过去，不到2个月又要搬新家了。时间真快。怀旧一把系列~相当的怀念！            
(4星)	 看完大时代和笑看风云  可以重看一次这个            
(4星)	 那叫一个长！那叫一个跌宕起伏！那叫一个经典啊！            
(4星)	 经典中的经典，昨天小四唱歌勒时候听得我无比感动。。哪天。。我从头到尾看一遍。。            
(5星)	 高潮迭起啊。。。一般人要是有这样的大起大落，应该都会神经了吧。。。            
(NA)	 经典            
(4星)	 啧啧，真是大手笔啊            
(5星)	 这是不可复制的偏执狂主人公，以及每个人内心都有的性格扭曲人生路程            
(5星)	 100+集的美国往事            
(3星)	 具体的情节已经记不清楚了  但是张自力应该是自己喜欢的第一个腹黑&amp;偏执反派            
(4星)	 就记着罗嘉良的角色忒坏来着            
(4星)	 像我这一种男人            
(2星)	 其实天地男儿真把这部剧甩出去几条街。            
(5星)	 房地产  房地产  房地产  可我只是个包工头   差好多            
(2星)	 如果我是在1999年看的，可能我会给高分。可惜，我是大概去年点PPS看的。才看了不到半集，实在是没办法继续。            
(5星)	 最喜欢的港剧 黄金年代啊 里面都是我喜欢的演员            
(4星)	 好看。            
(5星)	 最爱的港剧            
(4星)	 喜欢古天乐演坏蛋            
(5星)	 创世纪之后，再无TVB            
(5星)	 好结局            
(NA)	 尾随老豆跟剧~            
(4星)	 我以为看这部剧的时候正值青春。原来不是。            
(NA)	 2010-11-11            
(5星)	 那时觉得罗嘉良好帅哟！            
(4星)	 央8套、明星阵容、情节也不错            
(5星)	 最强吧            
(5星)	 有时间再看一遍            
(5星)	 跟妈妈一起追的剧...            
(5星)	 好多明星。            
(4星)	 TVB励志创业大作            
(5星)	 重温            
(5星)	 还差7集看完&gt;&lt;!!!唯一一部让我好入戏的长剧。。我也会看第二遍第三遍的~。。            
(4星)	  我是因为张自力才认识的古天乐 因为古天乐才喜欢的创世纪········一直以来 我喜欢古天乐的角色就只有张自力一个 觉得张自力就是=古天乐~            
(5星)	 一个烂演员，怎样，有这一部，足矣。            
(NA)	 凡事不要太执着，不要执着到最后忘了自己真正要的是什么。            
(5星)	 高中同桌爱看的。那时候的巅峰之作。罗嘉良。            
(4星)	 前半部很给力，后半部太YY            
(4星)	 到今天还是不能接受添和Hellen不能在一起。原因是陈慧珊小姐在菲律宾外景的时候身体抱恙不能再拍第二部...真是天灾人祸T,T            
(4星)	 不错的港片~            
(5星)	 郭可盈当年在我心中的地位老高了。            
(4星)	 老妈的最爱            
(4星)	 唯一追过的大型港剧            
(5星)	 好剧不废话            
(5星)	 超级喜欢TIM.是个有担当的男人！超级讨厌彪，衣冠禽兽！            
(5星)	 初中时代的记忆             
(5星)	 TVB又一部经典之作，不过真的有点太长了            
(5星)	 当年竟然在电视上追着一集不落，绝对大卡司啊~~~~            
(4星)	 还有哪部港剧 长成这个样子我都还给看完了 &gt;&lt; 系列曲的不算 罗嘉良演的荣添怕是迷倒了不少女生 这部剧唯一让我难受的角色是古天乐的张自力 一步错步步错 其实他本身却并没有多大的欲望 结尾却再回不了头            
(NA)	 千禧年前后的吧。我很记得无烟城~            
(5星)	 郭女很灵……            
(5星)	 罗嘉良。。。            
(5星)	 经典            
(5星)	 在对你的仇恨，财富，和颖欣之间，我选择颖欣            
(5星)	 地产风云。            
(5星)	 很多年的回忆了，实至名归            
(5星)	 这片子长是长的嘞；其实这里开始喜欢古仔的，而不是神雕，华丽的反派            
(NA)	 小学时候放的片子呀...超级喜欢....据说结尾有唐宁?没注意诶...去翻出来再看一下            
(3星)	 重看一遍觉得很没聊。。当初可是晚上不睡觉偷偷爬起来看有线电视亚。            
(5星)	 当时我无比迷恋叶荣添            
(5星)	 巅峰啊……TVB大片的分水岭            
(5星)	 记得当年那个整容啊-。-            
(5星)	 只记得大家大半夜不睡等这部。当时TVB正是出东西的时候。            
(5星)	 让我不断地自相矛盾自己的想法。但是我还是喜欢颖欣和文彪在一起。            
(5星)	 真的很经典，像叶荣添和马志强那样的圣人在社会中真的很少见，整个剧情节很完整。PS，我也很喜欢许文彪。            
(3星)	 时间久远了点，而且没啥印象了。            
(5星)	 理想            
(4星)	 古天乐杀人之后，我的心都碎了！            
(5星)	 代表着tvb的全盛时期但是也存在很多bug，最大的莫过于张自力是如何从小混混变成商界经营的……            
(4星)	 人心难测。。。。            
(4星)	 成人童话            
(NA)	 非常好~            
(5星)	 神作            
(4星)	 TVB            
(2星)	 曾经好喜欢罗嘉良演的大头文 这个根本就没看下去            
(NA)	 人人都爱,我一般般吧,要不我说TVB的台庆剧大部分都不是我的那杯茶            
(5星)	 经典剧！！！！！！！！！            
(5星)	 看看需求，现金流啥的。不得不说，里面的思想居然还是现代的。弄得我看了想创业。——后阶段，人物都不理智。是因为涉及到自己事情就失去理智吗？            
(4星)	 看第一万遍经典也比看1分钟烂片珍惜生命            
(5星)	 经典            
(4星)	 ！！            
(5星)	 经典之三            
(5星)	 男人都应该看            
(NA)	 大3的时候2002年追着看电视的，当时看的很入迷！05年研二的时候在电脑上看的第二遍，绝对的商战电视剧！            
(5星)	 被古仔迷死            
(5星)	 叶荣添整个就是一只打不死的小强~~~小强历险记            
(5星)	 I LOVE TVB!            
(NA)	 鸿篇巨制的港片我不待见。            
(4星)	 成为日后的话茬！            
(4星)	 一个星期看完。。。            
(5星)	 看一集激动一集            
(NA)	 我的罗嘉良~！！            
(5星)	 最新一次重播 和熊猫一起看得津津有味 特别是最后回味无穷！ 里面有很多很现实的东西 人性的复杂。瓦擦！太过瘾了！最适合跟TVB专业户一起煲剧的下午联播            
(5星)	 以前守着看的TVB电视剧啊            
(5星)	 又长又好看            
(5星)	 在美英剧无法应付的情况下，居然全翻看了，然后感叹下真的很经典            
(5星)	 港片经典            
(NA)	 唯一觉得不错的TVB。            
(NA)	 主角就不说了。配角的表演真的很出彩，尤其是秦沛的表演真很好。不亏是个老戏骨。            
(4星)	 没看全。上学呢那会。            
(4星)	 TVB贺岁大剧中的经典            
(4星)	 如果Flora不生病剧本不改应该会值5星            
(4星)	 这部看得断断续续，实在太长了，只记得古天乐很帅。            
(5星)	 最后一集是冒着生命危险看的TOT.....            
(5星)	 这个是港剧的超级经典啊！            
(5星)	 那时候好迷啊            
(3星)	 前半部算是经典，后半部像是换了个叶荣添换了个编剧            
(4星)	 叶荣添名字好听阿！还有电子虫虫 其他都记不得了            
(NA)	 很经典啊            
(4星)	 佩服自己从前的耐力~~~            
(5星)	 经典，记得当时下载了3天3夜……            
(4星)	 张自力同学太帅啦            
(2星)	 SB电视  为什么就这么多人把他当神的存在？            
(3星)	 太长了……            
(5星)	 最爱的1部港剧            
(5星)	 时隔几年，会看出新的东西            
(5星)	 helen            
(5星)	 绝对经典            
(5星)	 第一部喜欢，后面的没前面精彩，都是经典片子了，戚导演的经典之一。            
(5星)	 励志            
(4星)	 寝室的那人天天看            
(5星)	 怎么能居然没有收藏这部            
(5星)	 迷恋港剧，很有剧情            
(5星)	 这几乎是最牛X的港剧了～            
(4星)	 喜欢里面的古天乐和蔡少芬            
(4星)	 高中回忆如果这世界上没有奇迹，我就为你创造一个！            
(5星)	 应该是老老实实看的第一部TVB剧了.就因为他的经典盛名!            
(NA)	 长~            
(0星)	 我妈喜欢善本            
(4星)	 罗嘉良真的很有魅力，呵呵。            
(4星)	 真的很好看。有一个十一长假就关家里看这个来着。            
(4星)	 经典TVB剧～～～            
(5星)	 就算后面没了flora 依旧百看不厌很经典的商业战 超喜欢helen啊！！！            
(5星)	 经典经典的经典            
(5星)	 一定要看的港剧！            
(5星)	 TVB中的我的大爱！            
(5星)	 最近又在看，还是很就经典！各个人物都很鲜活！            
(4星)	 初中时熬夜看的百集长剧，感觉还是不错的            
(4星)	 初中时熬夜看的百集长剧，感觉还是不错的            
(5星)	 Always the best. Changed my mind.             
(5星)	 老yy了，老经典了。            
(4星)	 TVB确实拍不出这么经典的东西了 讨厌叶荣添 喜欢古仔和郭晋安。            
(4星)	 看得好累...            
(3星)	 跟着电视台。。每天十集。。大战八日夜看完的            
(4星)	 夺人眼球 最后有关古天乐的报复行为有些过分 牵强了点            
(5星)	 经典中的经典            
(5星)	 大过年的每天放10集，今天终于大结局了~            
(5星)	 经典！            
(4星)	 太久之前的片子，连剧情都忘了，不过有一点记得，那就是这部剧非常赞，阵容豪华，情节跌宕。            
(4星)	 行云千片 悠悠是青天 我共你可以 度过几个十年……下半部真累赘            
(4星)	 .....我要看自杀...居然不放了...            
(5星)	 多年前最爱的港片我不是叶荣添我是许文彪            
(5星)	 第一名 小时候看觉得超精彩长大了看更加回味无穷小时候只是知道好人坏人 喜欢荣添   长大了  开始欣赏许文彪了 这个角色太嗲了  心理复杂  很写实  马志强就是烂好人  一直没好感  （主要是针对郭晋安，一直不太喜欢他啊）            
(4星)	 以前额年度大戏实在是。。。太商业了。。。现在家族多了。。            
(5星)	 我心中永远的经典！            
(5星)	 云集众多大牌,阵容确实强大            
(4星)	 力哥~ 古天乐真的不错~ 哈~当年也迷倒一大片阿~            
(5星)	 從這部劇開始，覺得陳慧珊很知性，是我欣賞的那種style            
(5星)	 最喜欢的香港电视剧，立志+思考，棒棒！！            
(5星)	 怀念这种大戏时代啊~MS一去不复返了 T T            
(4星)	 总共有100集啊...我一定么看这么全的...            
(5星)	 叶荣添是心中罗嘉良饰演的最好的角色，角色已经可以脱离演员独立存于心中。            
(5星)	 经典啦。            
(5星)	 赚钱很容易，做点事却太难。            
(3星)	 不够好看的商战片            
(3星)	 剧集太长            
(4星)	 大制作倒是            
(4星)	 当年很火，为了看最后一集，很多同学央求着楼管给电视信号。后来重播了很多次，没一次看的下去。            
(4星)	 100集 当时追的..            
(NA)	 不说了，也太经典了。我看三万遍都不腻歪。            
(5星)	 经典中的经典            
(4星)	 喜欢罗嘉良            
(4星)	 永遠的榮添...            
(5星)	 这么经典的TVB剧一定要看 捞家 33            
(5星)	 怎么会被吸引我也不知道了，这便时一种魅力吧！            
(4星)	 情节那叫一个曲折            
(4星)	 这可还真是创世纪了            
(5星)	 印象最深的是结尾，张自立临死前，跟来接他的哥哥说，哥，你就让我再自私一次，让我跟你走。其实我很开心，因为我没看到田宁。            
(5星)	 经典啊……            
(3星)	 不太喜欢看。虽然很红吧。            
(4星)	 这剧真够长的            
(5星)	 那一個我。            
(5星)	 超级经典            
(5星)	 非常棒 看完就想成就一番事业            
(NA)	 经典啊~            
(5星)	 100            
(5星)	 电视剧也能拍出史诗来            
(4星)	 以前和淑华住，边看边骂；后来和某人看，边看边笑。            
(5星)	 大片，这也是大片            
(4星)	 开创一个未来            
(5星)	 我奉为经典            
(5星)	 TVB最经典的            
(NA)	 第一部：地产风云（了解房地产半个世纪的运作）            
(4星)	 当年看坏了我的光驱。。。            
(NA)	 经典就是经典，看十遍也不会腻。我在里面觉出了人生无常。            
(NA)	 初中看过几集，现在复习            
(NA)	 人,还是要执着地有梦想            
(5星)	 当年我为这部电视剧发疯了            
(NA)	 经典中的经典 蔡少芬好口怜            
(5星)	 年度大戏啊~            
(3星)	 重看了下，最后结局也忒囧了，一看揍是编不下去！            
(5星)	 经典电视剧，男人不可不看啊            
(NA)	 喜欢的剧            
(5星)	 看重播看了一百遍            
(5星)	 经典中的经典            
(5星)	 经典的台庆大戏！            
(4星)	 跟妈妈一起看的，很不错。            
(5星)	 似乎很爱过罗嘉良            
(3星)	 剧情过于编造，牵强附会            
(5星)	 真好看，我喜欢            
(5星)	 很喜欢的商战戏            
(5星)	 最爱，看过最好的电视剧            
(NA)	 阴谋经典            
(4星)	 兄弟情            
(5星)	 最近在重播又看了。。。            
(5星)	 超级长啊……不过很好看。            
(4星)	 大cast。TVB当年不错。            
(4星)	 这个可是看完了呢！            
(1星)	 纠结到死...            
(NA)	 故事情节曲折而动人            
(5星)	 实在是精彩。。。            
(5星)	 和我老爸一起看的            
(5星)	 1999年拍的,我2000年看的,那年读初一,记得刚开学时看的.9年了,我看了很多遍.我可以下结论,这是tvb港剧97回归后最后的经典,港剧的辉煌以这部片为终结.没想到,等港剧的手法最成熟之时就是它辉煌的结束之时.            
(5星)	 很经典。很经典。            
(5星)	 经典。            
(5星)	 白手打天下            
(3星)	 顽强，创业！大家族电视剧的经典！            
(4星)	 很经典            
(3星)	 那时tvb的经典            
(4星)	 最长的商战大剧            
(NA)	 那首老歌promises don&#39;t come easy是我的最爱 还有首罗嘉良唱的&lt;火花&gt;也很好听            
(4星)	 真长啊。。            
(5星)	 1999            
(5星)	 把这100集看完不容易啊            
(3星)	 挣扎着还是没看完OTL            
(5星)	 最喜欢的港剧            
(5星)	 只爱张自力            
(3星)	 当年那叫一红啊            
(5星)	 许文彪，张自力——100集成就经典反派。            
(3星)	 半夜追踪。。            
(NA)	 只能说实在是很喜欢。            
(2星)	 同天地男儿            
(5星)	 地产经典之作            
(5星)	 比什么溏心風暴，歲月風云好看到哪里去了吧～            
(5星)	 好看是好看，就是太长了。。。            
(5星)	 很喜欢，对我影响很大。            
(5星)	 看了又看.            
(5星)	 真实记录了一个时代的香港。经典。            
(NA)	 迄今为止看多最多遍的.个人认为是TVB最经典的.百看不厌!            
(5星)	 Lisa            
(4星)	 .....呼...            
(5星)	 古天乐在里面太有型了!            
(4星)	 罗嘉良的片子的水准一直很好。香港TVB最擅长拍这种家族暗战片了            
(5星)	 绝对是tvb的巅峰            
(5星)	 大戏            
(4星)	 小时候心中的经典啊TUT!!!            
(4星)	 罗嘉良当年真帅，荣添多坏都立马原谅他喽~            
(5星)	 9.1            
(4星)	 世纪经典，喜欢捞家！！个人认为古仔在此部戏中帅到巅峰。戏中都是好演员啊，唔知点解……唔喺好中意马志强！谈到配角，与大众不同，个人挺喜欢Joe和Teana, 喜欢她们正直而潇洒的性格。            
(4星)	 古天乐出现后的剧情全部删掉就好了  后面看的没意思            
(5星)	 经典            
