http://movie.douban.com/subject/6778698/	小资女孩向前冲 小資女孩向前衝
(4星)	好~轻~松~ 就是后半段拖沓了点 PS:邱泽好~帅~（花痴闪闪中）
(4星)	看着是感觉不错,不过感觉偏题严重啊.硬套个小资女孩的壳子而已
(5星)	因为邱泽而看这部戏，没想到其他演员也很出彩，李沛旭语言天赋真不是盖的，可以再搞笑点吗，每次出来我都要笑喷！
(4星)	情人节的凌晨无聊点开PPS看到这部剧就一口气看完鸟，轻松搞笑。可是不懂为什么这部剧叫小资女孩，杏仁勤俭持家，本分认真的生活态度和小资女应该是两种不同类型的吧？不管它的名字啦，邱泽扮演的子奇真滴很帅很可耐，柯佳嬿第一次是看猛钾认识她的，这里扮演的杏仁也是平易近人看着很舒服~~
(4星)	…
(3星)	剧情有点拖沓……
(3星)	傻人有傻福，归根结底还是心眼少，不需要太多的计较，知道自己要的是什么，为此奋斗努力。
(4星)	演员不错。。。剧情不错。。。蛮轻松的剧~
(3星)	剧情太拖，男女主角的火花不够浓啊
(4星)	邱泽比十年前更帅 剧情也轻松 史特龙也太搞笑了吧 总之是当下不错的偶像剧
(3星)	平平穩穩的 挺好看的。
(3星)	我又要说了，每次都是结局的拖拉或者草草收场让我少打一颗星。慢慢追过来的这部剧，到最后看到貌似没有什么感觉了...虽然我又被戳泪了囧= =。
(4星)	邱泽帅呆了
(4星)	看完啦~看~完~啦~
(4星)	狗血剧情，越到后面越拖沓，还好有个活宝一样超会演的李沛旭，几乎集中了全部笑点，可以独占两星啊~
(3星)	后面太水了，虽然收视破6~~
(4星)	比较接地气的一部偶像剧。或许是因为收视率不错，所以拍了一些原本可以省掉的东西，弄得最后有点“畸形”
(4星)	就象茶余饭后的甜点，虽不管饱，但别有滋味。
(4星)	男生女生都要长大成熟才能有happy ending~剧情稍微有些拖沓~只是那句“我回来了”对这个时候的我有些振触
(3星)	15集前四颗星，之后慢慢慢慢拖拖拖拖。沈杏仁一点活力也没有了，只能两颗星了。
(5星)	非常好的一部剧，虽偏喜剧一点，但是纯纯淡淡感情戏真的让人舒服。邱泽演的非常棒!
(4星)	追了大半年，不给四星都对不起我自己。。
(4星)	4.3 再多的微笑也比不上一滴眼淚的苦 所以唯有朝向同一個方向向前衝吧
(4星)	沈妈妈家的龙龙~~
(4星)	也不知道为什么看的，虽然不是我的菜，但还是挺喜欢的，邱泽很帅啊。
(5星)	第一次正经追的偶像剧！为了佳嬿而看结果又爱上邱泽，很赚有木有！有质量有口碑的好剧！喜欢邱泽佳嬿静默相视的默契，也喜欢李沛旭的搞笑瑶瑶的自然。今天完结好舍不得，以后想念你们会拿出来重温的。XD
(4星)	前面蛮搞笑的，最后一集有点烂尾啊……
(5星)	其实蛮不错的，至少邱泽演技无庸置疑。剧情也不恶心，李沛旭绝对是一朵奇葩。蔡淑臻也是美丽依旧。
(4星)	还不错。。虽然剧情有点不是太创新。。但是李沛旭的表演我太喜欢了！
(4星)	以前一直没有觉得邱泽很帅,但是这里真TM太帅了,帅而不娘, 柯佳嬿也蛮不错的,有种特别的气质,这剧还不错,不是那种很NC的湾湾剧,还有史经理那贱样真是太萌了
(3星)	不懂为神马收视率这么高，完全没有《我可能不会爱你》好看！！！
(4星)	邱泽真的帅。。。
(2星)	前面几集编剧尚可，待情节展开后便又臭又长了。可一直快进。
(5星)	为了大结局邱泽的眼泪必须力荐啊混蛋！！！！！！！！！！！！！！
(3星)	因为《我可能不会爱你》回归台湾偶像剧，对打的这部当然也是关注，除了女2以外其他演员都颇为到位，史特龙和乐乐是对活宝，制作在偶像剧里面算是用心，剧本不过不失，最大的硬伤应该就是全剧早已偏离了题目，没有明确的主旨，最终成为搞笑片，当然，作为偶像剧而言，是合格了
(NA)	因为关注柯佳嬿，看了这部“青春偶像剧”。剧情老套但演得很好，不会让人感到腻歪，另外里面的史经理“龙龙”真的是太爱搞了。看完感觉轻松开心。强力推荐！
(5星)	男主角的性格实在很讨喜！
(NA)	沈杏仁整部剧就一副垂头丧气的面瘫苦逼脸~还[向前冲]呢...
(3星)	看了前几集 果断抛弃了，
(5星)	真的是很偶然的看，但是之后就深深的喜欢上这部剧，真的很好看，邱泽跟柯佳嬿之前都不认识，但是觉得他们演的真的都好好啊，好几次都感动的流泪，真的是陷进去了，呵呵
(4星)	365度无死角的帅哥领衔，365款的史特龙，清纯温暖滴杏仁~外加各种职场小笑料，稀饭~它还是让我找到了对生活的一些感动。结局稍显狗血地幸福。
(2星)	為了邱澤看的  長得實在是很像小美阿..  郭書瑤演技比想像中好一點  可是劇情太俗套了  主角演技實在是一般阿..  最近放假也很無聊  也不打算棄劇  慢慢看把就-  -..
(5星)	我觉得我好像都几万个世纪没有看过台湾偶像剧了，之前都看内地的，感觉还行，不过看回台湾的觉得真的有差距，内地的偶像剧还停留在人家台湾十年前吧……女主角看起来很舒服，因为邱泽才看小资的，他真是好可爱~~！！！
(1星)	吐槽点无数。做配乐的烂到家懒到家，浪费六首本来蛮好的歌。女主角演长得像桂纶镁和hebe的混合体，演技差声音难听。剧情弱智。
(5星)	不错 不狗血！
(4星)	邱泽很帅
(4星)	男主不错 恩 女主也是 还蛮好笑蛮温馨的
(5星)	真的很好看呀，轻松搞笑，邱泽的颜无敌了，演技也不错。史经理太有趣了，有时感觉超像。。费玉清。女主们不够漂亮，但真的顺眼！！喜欢。偶像剧难免会有狗血剧情，这部算很好的了。只是有时搞笑戏份有点儿过了。还有，那保罗不错。总之、在新还珠宫二等剧的围绕下，这部完胜！！等待更新中......
(4星)	史经理实在是大爱~~~
(2星)	没看完，看不下去
(5星)	真的很好看 不知道怎么才7.4分 说真的很久没看过这么有诚意的作品了
(5星)	邱泽的眼睛会笑耶，经理好搞笑，很好看。
(5星)	挺搞笑的，这年头要找一部有点意思又不那么坑爹的戏也难找啦
(1星)	实在看不下去了。
(4星)	史特龙是亮点
(2星)	还是剧情桥段的问题……
(5星)	邱泽的长相并不是最帅的，但他能用自己的演技让你觉得他很有魅力，越来越耐看。
(3星)	我只想说，邱泽好帅！！！！！！！！！！！！
(1星)	简单看了几眼，不明白为什么会是收视冠军，剧情狗血！原本对柯佳燕的一点好印象也荡然无存！
(4星)	很好看呐，邱泽帅气又可爱再加点搞笑，喜欢！
(4星)	台词很有趣
(4星)	1：邱泽演出很突破！从雪地里的星星就开始喜欢他，后来他暂停了一段时间。复出后第一部无敌珊宝妹很不给力。到福气又安康还算好些。再后来他不断参演与大陆合拍剧，真是惨不忍睹！直到这部小资，我很想说，这是我一直以来想看到的邱泽。2 柯佳燕还是那样的文艺小清新。3 郭书瑶演得不错，没那么讨
(5星)	是一部不錯的勵志愛情喜劇
(3星)	片头曲蛮有意思的，刚开始看
(5星)	乐乐和史经理大爱啊 ！秒杀国产烂片无数部！
(4星)	喜欢上邱泽了……
(4星)	李毓芬丫~~第一集差点摒弃 最后一集有点喜欢上女主角 感谢推荐！
(5星)	子奇宝宝的眼睛都会笑唉~~
(5星)	邱泽超会演 秦子奇和史特龙搭档每次笑到爆 女主是渺渺~
(4星)	邱泽和那个史经理的角色很出彩~~
(5星)	很好看的片子，快结局了，还没看的都来看
(5星)	只有用真心才能 换真心，如果生活和爱情里都没有谎言就好了~PS男主角很帅~
(NA)	不明白为什么自己还喜欢看这种超现实的偶像剧啊。。，。
(3星)	冲着男猪来的啊
(5星)	迷上了那双会笑的眼睛~
(4星)	邱泽和贺军翔神马关系这么像 一般看了5集还继续看下去的都是不错的偶像剧~
(5星)	还不错
(5星)	你，是我唯一的快乐因子。
(3星)	很少能坚持看完的台偶，还不错
(4星)	邱泽超帅！！
(3星)	无聊的时候看看，越看越没意思，看到一半看不下去了。
(3星)	这个不是重点，重点是。。。
(5星)	邱泽太帅了！！！有帅哥就要给5星！！！剧情也很搞笑，放松佳品～
(5星)	喜欢这部电视剧
(5星)	邱泽什么时候这么可爱了捏，那小眼睫毛，跟两把小刷子似的……史特龙搞笑死了
(4星)	牵挂
(4星)	哈哈哈哈哈 好逗乐的电视剧 柯佳嬿整个文艺范儿啊！好适合演小清新的电影！
(4星)	好长o(︶︿︶)o 唉富家公子装穷逼爱全勤女
(1星)	女主苦逼的演技+O型腿...我实在看不下去了，弃。
(5星)	有搞笑，有爱情，万年不变的灰姑娘和王子的偶像剧情节，加上小三使坏的乡土剧情节
(5星)	很喜欢邱泽,很难想象居然有男演员演得可以这么俏皮,史经理也不错,天天看见他就笑翻了.。。。刚开始看了封面没有兴趣,不过后来看了几集,就超级喜欢了.真是一部好的电视剧，很值得推荐！！！
(5星)	邱泽！！！！！！！
(3星)	男主象焦恩俊，男主角凭一张俊脸没表情的演完成整个电视剧，快看完了才反应过来总觉得史经理的演戏作派象个谁。。。象孙兴，结局无聊死
(4星)	开头很搞笑，何佳嬿演的挺自然的。
(4星)	第二次看柯佳嬿的作品，感觉越来越好~邱泽的戏份很多嘛~
(4星)	好久没有看剧了
(3星)	李沛旭的表演很有喜感/ 我觉得吧 主角都在演内心戏 决定不看下去了
(5星)	好久都没能看到这样的偶像剧，邱泽是亮点，本来是冲着温升豪和李毓芬去的，后来就超爱男主女主的。虽然剧情很老套，但演员的表现真的很给力。
(4星)	邱泽真的是个美少年啊！柯佳嬿身上那种平易近人的气质也是我的菜！到第十八集为止都是很有爱的，十八集以后就有点烂尾了，不过这种偶像剧不用追也能猜中结局。邱泽和佳嬿的互动很有爱，特别是佳嬿辞职，邱泽为她跳公仔舞那一段，看得我泪流满面。三星给他们的有爱互动，一星给剧情。
(5星)	很久没看偶像剧，这部是我无意中发现的小惊喜，很不错哦。
(3星)	I wanna say this series are really terrible. I do not like it even if Qiu Ze is so handsome. Sucks and fuck
(5星)	中意邱泽、、
(NA)	爱他爱他没道理
(4星)	每追完一部电视剧，就像失去一个朋友。
(4星)	故事挺一般啦，但是演得很好笑啊，哈哈哈~ 要是有超级粉丝剪个史特龙特辑出来，我报名需要~
(4星)	小资越看越喜欢，我可能爱你也看完了，觉得最近台剧拍的还不错，没那么脑残了，哈哈哈
(5星)	邱泽很亮眼。。。颜和演绎各种都是。。。
(4星)	原来某人也可以演喜剧，自从兵役复出之后，整个人的感觉就彻底的变了，变得圆融、开朗、爱笑了，这是不是一件好事呢？
(4星)	剧情狗血，爱各种吐槽
(NA)	史特龙的台词真是暴笑啊~~~~~
(4星)	图个乐子
(4星)	矮油~~~~~~
(4星)	没事的时候看看也好，有的地方挺好笑
(5星)	秦子奇帅爆掉了~~~！！！
(5星)	很可爱
(4星)	我被邱泽秒杀了
(4星)	搞笑到爆~！！！
(4星)	单纯为了看帅哥。这个帅哥真不错啊真不错。音效很棒。以及闽南语英语法语日语还有韩语！
(3星)	没看完  觉得李沛旭演的很好  有爆发力
(4星)	真的好好笑！好好笑啊！！！
(4星)	台词真的是亮点，编剧很用心地在写台词，爆笑的点太多了，史特龙真是亮点。
(3星)	开始看这部超爱的觉得秦子琪好帅啊史泰龙好搞笑啊沈杏仁好努力啊后来越来越觉得大家好幼稚啊想法好无知啊心理承受能力弱爆了···········
(3星)	看过可能不会爱之后再看其他台剧都觉得一般般了。。。
(NA)	周末在家看这个差点没把我笑死，他们居然在剧中植入各种语言，韩语，日文，法方，还有各种方言差点没把我笑死了~~虽然有时候油腔过多~~史特龙，噗~~~
(5星)	挺轻松的一部剧，邱泽帅得掉渣，演技进步
(4星)	这样的邱泽挺清新的啊~~~
(4星)	本来不喜欢邱泽的，但是因为这片爆喜欢了。还是在台湾拍偶像剧吧。别来中国了拍了。都不好看
(3星)	我发现台湾剧的结尾我都不喜欢，明明是在情人节，还是感觉假惺惺。结尾是结婚。。你不知道婚姻是幸福的坟墓吗？是啊，秦子奇就是好帅！人家笑起来就是好看！！唉，当初怎么不找一个看得过去的呢。。。真是的。。。
(2星)	就想看看柯佳嬿的。。。不打算追了。。。
(3星)	搞不懂此剧收视率为什么会那么高，顶多也就是那女主看着有些清纯，还有那个像极了太监的史经理比较搞笑，其它都很一般。。和“不可能”相比，，少了一个经典的男主角，人家可是还背影都是会演戏的人哪
(4星)	我又开始看偶像剧了
(NA)	看了《篮球部落》之后对邱泽还没有多少感觉，但是自从看了《爱情睡醒了》之后，感觉他的演技好多了，很喜欢他的作品
(2星)	好像过了偶像剧年龄好像没过年龄，其实主要剧情不能白烂瞎。看看同期大热我可能不会爱你，这剧的短板太明显。
(2星)	瑶瑶好傻啊，看了三集看不下去，我们校园网是都是些什么资源~
(3星)	其实很傻B的剧。。。白马王子贬到人间，爱上了灰姑娘。。。灰姑娘继续是没钱没颜只有善良的好女孩。。。
(3星)	结束了，秦~子~奇~！！！
(4星)	和不可能爱你同时追，觉得这个更和口味，汗我以前很喜欢台湾矫情的，现在只能接受嘻嘻哈哈
(4星)	喜欢邱泽啊啊啊啊
(5星)	很搞笑也很温情。每个演员表演的都恰到好处。非常有回味的表演和剧情。
(3星)	又是平民女和富二代。能猜到结局，不够吸引人哎。邱泽不能光耍帅了！
(5星)	偶像剧不是就该这么演吗
(2星)	除了两个宅男女神木有任何看点
(5星)	这部剧让很多人对邱泽改观 我觉得很好看 至少它给我带来了很多快乐 从头追到尾花了半年的时间 终于看完了 只能说 很赞
(5星)	起初是冲着邱泽才看的这个剧，慢慢的发现这个剧有点和以前的台湾偶像剧风格不太一样，有点小清新的感觉~里面的邱泽突破以往的王子形象，演技有很大突破，在女主角身上看到了当年演（恶作剧之吻）的林依晨的影子。。。
(2星)	看了两集，看不下去了
(4星)	纯。
(4星)	终于追完了！最后一集大秀甜蜜巫婆恶魔全部立地成佛但我还是喜欢这样的HE啊！！本片配角都特别入味 我完全是因为史特龙看下来的 还有保罗也超喜欢 女二既单纯又狠毒 沈妈妈温柔亲人 等等
(1星)	弱智的经典台湾偶像剧- -  我只是想说演技什么的真的有待提高
(3星)	挑着看了几集。男主太幼稚。这年头，没有谁可以轻易改变谁的。这种题材太童话。
(5星)	一年后子奇和杏仁相遇的那个瞬间，我思考该用怎样的情绪看完这场戏，于是最后还是泪水充盈。你打赌输了，我给你三个选择：一是嫁给我，二是我娶你，三是我们结婚吧。子奇和杏仁，我爱死你们了。有没有100颗星？
(4星)	前半段好看，后半截都拖拉硬生生减一星
(5星)	可看度很高啊，比起别的那些无病呻吟虐的偶象剧好看很多
(3星)	我是去看邱泽滴～～
(4星)	邱泽好帅，演技也很好，剧情也不错，很好看的一部偶像剧
(4星)	蛮搞笑的
(4星)	看着秦子奇和史特龙两活宝实在是太欢乐了~柯佳嬿感觉有点木啊~不过和邱泽还蛮速配的，瑶瑶真是太吵了！三立一直是品质的保证哟！
(5星)	每个人都有塑造的很饱满
(4星)	作为消遣不错啦
(5星)	超好看！！
(3星)	很轻松搞笑的剧，邱泽帅到了！不过前半段好看，后面就差多了。
(5星)	邱泽好帅！
(3星)	台剧越来越啰嗦了，就凭着邱同学的一张脸走下去，最后一集节奏慢的简直不能忍，kiss都慢的不能忍~~
(3星)	我是看到邱澤自彈自唱《微加幸福》被打動的，翻查歷史，他在《雪地裡的星星》簡直就是瀧澤秀明的樣子!所以我在亂想，如果渺渺遇上的是《雪地裡的星星》的邱澤，那應該會有更強的化學作用吧!
(3星)	很搞笑的片子，但当中烂掉了还拖的特别长，破坏整体喜剧风格。
(3星)	女猪不漂亮!!全剧笑死~
(2星)	妹的 终于完结了 一星给柯佳嬿 一星给柯佳嬿
(NA)	一把年纪看偶像剧 只是为了看邱泽~
(NA)	快进到第10集没看完，弃了。又是灰姑娘和富二代的故事，一贯的台湾偶像剧的模式，没新意。冲着邱泽的演看到10，还是弃了，年纪大了吧，不喜欢秦子奇的幼稚，怎么湾湾偶像剧男女主角的设定都是这样的雷同。审美疲劳了。
(4星)	全剧非常搞笑，看的很轻松，同时有点小励志，辛苦工作总有回报，爱情就免了，太老套了
(3星)	邱泽变帅了~
(5星)	这片绝对弯弯偶像剧奇葩啊，清新自然不紧绷，战斗力秒杀这两年一切所有弯弯剧，包括《犀利人妻》
(3星)	太拖了....
(4星)	对白很搞笑啊~~有创新~~给力的！
(4星)	邱泽那个睫毛长的··啧啧 真心帅      演他老爸的那位资深演员演技很好呢~~
(1星)	看了《我可能不会爱你》，再看这部剧真是无法下咽啊，靠，老子的口味都被陈柏霖养刁了……
(5星)	不错的偶像剧。稀饭。
(2星)	一星给丘泽的诠释,一星给龙奇配的夫唱夫随。但剧集俗套,竟更喜欢女二,女一长相普通无奇。
(5星)	I like
(4星)	终于追完了，追到天荒地老= =  后段实在拖沓，全靠花痴某男正装秀苦苦支撑、、
(5星)	名字俗，单丝剧情不俗，真的很轻松值得消遣，柯佳嬿还是很清新，邱泽帅得一塌糊涂，史经理疯癫得我开心了好久好久，真心喜欢呀
(3星)	虽然情节还是挺老套的，但是女主的性格让现在迷茫的人十分佩服
(5星)	看了那么多剧，这剧太好看了！值得推荐！
(5星)	贊!贊!贊!
(NA)	邱泽好帅啊，演技也好，真的不错。女一号很自然，我喜欢，但她在剧中做的菜好恐怖，能吃吗。。。。呵呵
(5星)	看得超high的~~各种欢乐！
(4星)	史特龙是亮点啊亮点。虽然没有营养，但是却能放松神经，无事笑笑，挺好。
(5星)	 往往 无赖和痞子最不招人喜欢 可以是邱泽可以把角色诠释的那么棒  肯定会受欢迎哒
(4星)	史经理亮点! 每集我都等着看他搞笑! 还有邱泽那张有鼻子有眼的帅脸,眼睫毛肿么那么长哩~  
(4星)	剧情老套，那只好看演员男帅女靓了，用来消遣足以~
(4星)	三个字，为邱泽～！//“我给你三个选择：第一，你嫁我；第二，我娶你；第三，我们结婚吧~”子奇，杏仁步入婚姻殿堂，蛮好的结局，但也觉得有些不够……为什么就那么轻易原谅了郑凯儿？好吧，我们是偶像剧！剧情中段拖沓，扣掉一星！
(NA)	休闲娱乐不二选择啊 越拍越搞笑  史特龙真的可以啊哈哈～～～中间没看的这么多其实也没什么进展最后结局嘛肯定H E
(3星)	难般觉得邱泽还不错，女主实在是....结果还是弃了= =
(5星)	近期最喜欢的电视剧，偶像剧里难得佳品，职场的勾心斗角挺生动。
(3星)	昨晚太无聊。两小时内看了更新了的九集
(4星)	就看邱泽笑,没有演技
(4星)	只要两颗心没有时差 那距离就不是问题。追了小半年的剧总算是追完啦。我敢说邱泽童鞋绝对会是林志颖第二。男人果然是有了阅历 才显得魅力十足。相比之下 佳嬿还是更适合大荧幕 她这种不温不火的感觉虽然很小资 但却不太适合偶像剧。
(4星)	邱泽太可爱了
(3星)	一种消遣~看了大 半年啊！！！
(5星)	整整看了一天一口气看了8集，邱泽实在太帅了太帅了
(5星)	蛮不错的。
(4星)	无穷正！能！量！
(4星)	20集弃 就结束在17集多好啊。。。
(4星)	总算追完了，邱泽有帅到喔~！！！讲话一个个字都要清清楚楚念出来
(5星)	邱泽很帅，柯佳嬿很可爱。剧情很好，看着很开心。
(NA)	纯看颜吧。
(5星)	剧情绝对不像片名那么普通！绝对是今天无敌的好剧。虽然惯用台剧的夸张水平，可是却又有真实感。每集都有泪点和萌点。邱泽整个就把他的喜剧天赋展现出来。比起小资，同一拨出现的偶像剧简直弱爆了！
(5星)	下一站幸福以来又一部剧情不弱智，人物饱满，让你每星期焦急等待的偶像剧。
(2星)	冲着温升豪看的
(3星)	從10月份開始追的……時間過得真快啊……2012.02.14
(3星)	看不看无所谓...
(5星)	事业，只要努力就能得到，而遇到相爱的人，却需要运气。工作永远不会亏待你，而爱情你只能是近心情怯，小心翼翼。话说，邱泽轻熟男的颜真是无敌了……
(5星)	拜托以后邱泽不要再拍湖南台的烂片了，拜托，好好一帅哥摧残成那样，真是！一部佳期如梦差点让我再也不看他的片子，还好还好，这里面终于恢复花美男面目！还真有点像泷泽秀明！
(5星)	台湾剧复兴了！
(5星)	五颗星全是邱泽的哟！
(2星)	邱泽老帅的~李沛旭哈次！蔡淑臻嗲！但，剧情太烂。。。还是要弃。。。沈杏仁实在是- -
(3星)	邱泽的眼睛真的会笑。看到最后最爱的是贫嘴王史特龙经理和酱油王保罗小开啊喂哈哈哈哈哈哈哈哈哈哈哈。本来很好的剧都让编剧拖拉剧情搞糟了可惜呀。
