http://movie.douban.com/subject/4124395/	Only You 只有您
(4星)	 有几段故事还是很出彩的，不错不错。            
(NA)	 这个我稀饭 主要是稀饭杜太太            
(4星)	 好好的干嘛要死一对阿!编剧你心里阴暗阿!还我大团圆!            
(5星)	 很温馨也很现实的生活,喜欢YOYO~!主角结局很好,可男二女二不至于写死吧...            
(NA)	 结局瞎死我。。。            
(4星)	 还行吧 中间穿插的小故事 太多了 不紧凑            
(NA)	 消遣还是港片好            
(NA)	 狗血的结局！            
(NA)	 蒙悠悠你演中港女一定要穿成这样吗你看人家杜太啊！！杜太正翻了！！            
(3星)	 什么烂结局啊啊啊             
(NA)	 看了眼KC就撤了            
(4星)	 我是来看蒙嘉慧的，杜太太也招人爱哈~            
(4星)	 3+ 主角们都个性十足。结婚浮世绘。中后期情节弱了            
(NA)	 看到14集竟然哭了。。            
(3星)	 蒙嘉慧也老了..我不是很喜欢现在TVB的这些男的.每天看港剧会有种和他们一起生活的感觉..看完了会空虚有没有.            
(4星)	 这结局就等着被投诉死吧            
(4星)	 越来越爱田蕊妮了，太会穿了 钱嘉乐大佬那几集太好玩了            
(5星)	 比想象中的有看头多了~~最近几集特别好看。。不知道后面发展怎么样，目前为止还是力荐的            
(4星)	 我是有多喜欢看TVB啊……            
(2星)	 头几集麻麻地 麦包儿子各种犯嫌 加上这两集那个神经病冬菇头 编剧到底想干嘛啊 看了半天蒙嘉慧的个性也让很难让人喜欢上 弃 【为什么我还是不肯彻彻底底放弃TVB啊 擦            
(NA)	 弃剧。。。            
(2星)	 看了几集根本看不下去。为了谢雪心把她的部分看完了=3=            
(4星)	 结局仓促  。            
(5星)	 2011年度tvb最棒的一部炮灰档剧集。没有之一。被KC的summer迷到七荤八素。大爱KC跟yoyo的情侣档，以至于很长时间不能接受KC跟除yoyo之外的其它任何一个女银搭档。唯一的遗憾就是结局无厘头的弄死了我钟爱的那一对男二女二。            
(3星)	 整剧化妆都很奇怪，特别是眉毛            
(3星)	 开头不错，后来就越来越落入俗套了，至于结尾的死亡情节更是有点突兀的说，为了成就有情人终成眷属的结局也实在不需要白白牺牲另一对年轻人的性命。            
(4星)	 比想象中要好很多。之前看主演和题材不是很感兴趣，看了3集就觉得挺不错的，特别是tvb的一二线配角几乎要集体出动了。不同的婚嫁故事也让人觉得很有趣，最重要的是我表哥本身就是从事这个行业的，看这部片挺亲切的感觉。另外郑嘉颖在这部戏里的演法就已是怒火街头里的演法了，蒙嘉慧在这部戏里表现不错            
(4星)	 适合假期看，酸酸甜甜^^            
(3星)	 我是冲着田蕊妮去的            
(4星)	 很温馨，好几次差点哭了。。            
(5星)	 好玩的肥皂剧            
(3星)	 蒙嘉慧里面表现不错的，剧情一般。            
(3星)	 两天看完 我的黑眼圈啊啊啊            
(NA)	 结局OJZ...KC不适合穿这样啊可惜从头至尾都没换过= =中意yoyo!            
(5星)	 我爱YOYO呀呀呀！！            
(NA)	 就中规中矩的小温情，但最后一集的时候编剧疯了是不……            
(5星)	 结局太吐血，但是过程中的小故事相当感人            
(NA)	 高頻詞 “吵架沒好話”            
(4星)	 终于看完了。            
(NA)	 李司棋奶奶拜托你别再扮圣母姐姐了~還有內盆栽一樣的發行！實在頂唔順。这片子拍个20集长度就已经极限了，硬是注水撑出来30集，OMG~最给力的竟然是麦包！！            
(3星)	 估计是编剧都不知道怎么写下去了。太多吐槽点，特别是结尾啊喂！            
(NA)	 KC那张脸似乎就写着完美男伴，但实际上他演这类受过情伤然后不敢投入到不敢负责的男人更鲜活一些……另外蒙嘉慧的脸我是真心喜欢。            
(3星)	 10.22-11.8 可怜的阿King和KAKA，为了成全男一和女一，做出那么大的牺牲........这戏里的角色都不是那么招人喜欢啊~居然有陈展鹏，开始还没认出来~~            
(3星)	 世事无常，珍惜眼前人。            
(5星)	 看的心情好好啊            
(4星)	 4            
(3星)	 2011            
(3星)	 还是八贤王            
(3星)	 开头5集不好看，最后10集也不好看，原来只有15集好戏。受不了李司棋，她要是我妈我也早出国了。也不喜欢yoyo同kc这对，一点都不平等。只有庄生庄太最好~钱嘉乐那段最搞笑，笑死我了。唐诗咏看多了就不觉得萌了。            
(5星)	 好看，温馨，编剧上的瑕疵不掩其诚意。p.s.  KC那个时候嬉皮笑脸起来就已经有LAW霸的样子了            
(3星)	 TVB一贯的温情套路。只是最后那对死的太突然，太不值了，就是为了让YOYO他们警醒吗？            
(3星)	 终！于！看！完！了！            
(3星)	 就是来看蒙嘉慧的            
(3星)	 都是稀饭的演员，木有碍眼的~ 轻松温馨~ 但，剧情麻麻地~            
(4星)	 港剧有三多：寻亲，车祸和火锅            
(4星)	 不喜欢结局            
(3星)	 婚庆题材            
(4星)	 YOYO的角色一开始真是好惹人憎。让我想到《楼住有情人》。。前半部有点难看，后半部更好看，有深度。觉得片中关于亲情、家庭的剧情拍得很不错，几温馨，笑话也很好笑~~李亚男和李雨阳那对好衬~~编剧真是要命啊，那样的结局亏你写得出！！！坑死爹啊！！！            
(3星)	 结局太扯了好吗！！！！！居然就这么被车撞死了啊！！！            
(5星)	 温情小品剧。觉得是TVB今年到现在看的最好的一部。麦包和阿田，很喜欢这一对夫妻            
(3星)	 角色很适合蒙嘉慧的            
(4星)	 太长了            
(3星)	 后面好无趣。。。快进看完鸟            
(3星)	 赢一时口舌，输一世感情。            
(3星)	 喜欢上郑嘉颖了···蒙嘉慧演得很好的说            
(5星)	 郑嘉颖太帅了            
(NA)	 什么破结局= =            
(3星)	 将就看            
(NA)	 yoyo&gt;&lt;            
(4星)	 钱嘉乐那段笑死我了~/虽然不喜欢kaka 但是还是被车祸那段震撼到 人生无常 活在当下 怜取眼前 只争朝夕 说来简单 做来太难            
(4星)	 虽然结局不尽完美。但是过程很美。这种工作干着就会就觉得幸福吧~            
(4星)	 故事的结局也太悲催了把！            
(4星)	 最后的剧情真是......戏剧化的大逆转啊。这部剧的主题我很喜欢，执子之手与子偕老非易事，活在当下珍惜眼前人。在心底果然还是期待有一个人可以一直牵着自己的手走到最后，路途必定会不平坦，可是能够一起努力坚持到最后。            
(4星)	 好多人客串            
(4星)	 郑嘉颖真的开始老了T___T            
(4星)	 在阿胡家重看了一下，发现蛮好看额。            
(3星)	 yoyo真的老了。。KC还是不顺眼            
(4星)	 一辈子很短,我愿意和你将错就错——葛优，非诚勿扰            
(3星)	 蒙嘉慧长残了。。。。            
(4星)	 年度可看性在前三位的TVB剧集。            
(3星)	  狗血结局~~亏老娘追得眼泪流。            
(3星)	 从迫不及待到索然无味 不是我变了 是编剧变态了……结局写的还能再狗血一点么 不过郑嘉颖还是蛮帅的 哈            
(5星)	 鄭嘉穎和蒙嘉慧太搭了            
(3星)	 从第一集的感动到最后一集的狗血，TVB继续把近年剧集虎头蛇尾的宗旨贯彻到底。            
(NA)	 钱嘉乐那段笑死 了。PS.难得有部剧是不喜欢蒙嘉慧的            
(4星)	 比想象好            
(4星)	 only you! 看着让人舒服。我想生活中除了旅途，还有很多可以让人心境平和的事物。            
(3星)	 3年来第一部能够耐着性子看完的中文连续剧了            
(5星)	 近年来少有的99%满意的TVB剧，那1%是结尾的狗血，不过在每况越下的TVB来说，已经很难得。            
(NA)	 怎么跟每个人说我在看这个都要跟我讲这部剧“蛮无聊”……-，-好吧好吧~~~我不看了好吧~~~~~本来还是想好好看看的……继续追女拳好了=。=            
(4星)	 我就是爱香港这种肥皂剧！我就爱这种拍一个行业的温情片！就算KC和蒙嘉慧你们两的眼尾纹一条又一条！我还是边做面膜边看着你们开始拍拖忍不住笑！PS：什么烂结局，为什么要KING和KAKA死掉！            
(2星)	 我想说。。我再也表看TVB剧了。。。太狗血了。。。~~~TAT~~~            
(4星)	 虽然很俗套~~~但是………………很好看   没有啥米乱演员  很好            
(4星)	 被主题曲洗脑中            
(4星)	 烂尾啊……            
(3星)	 有一对屎了啊啊啊啊~~~~~·            
(4星)	 整剧充满了温馨啊~~越来越喜欢田蕊妮了~            
(3星)	 这片尾想避俗，结果与整体完全不搭，除去这一点和TVB剧惯有的情节，这部剧真挺温馨的。            
(4星)	 结尾怎么这么突兀            
(4星)	 第一集就看哭了，那会儿刚涂好睫毛膏，一下就花了！！！不是说防水嘛！！！            
(NA)	 结局很坑爹，干嘛king kaka要死             
(4星)	 结局真的很煞笔呢            
(3星)	 茶余饭后，无聊消遣的追完此剧。            
(NA)	 最后半小时无话可讲。TVB你好野！            
(3星)	 only you darling, I love you, yes I do~            
(3星)	 结局哭了            
(3星)	 剧情一如既往俗烂，只是看着每个人结婚的样子，始终觉得，那是美好的            
(3星)	 没看完不想看了            
(3星)	 结局太悲催了……            
(3星)	 第一集也哭了。果然虎头蛇尾诡异结局            
(3星)	 此剧太长，果断弃，虽然中意蒙嘉慧。            
(3星)	 好像看到自己的败犬未来，赐我一个summer好咩            
(4星)	 结局有点接受不了。。             
(3星)	 编剧太脑残了吧！！居然就这么让他们死了！！            
(3星)	 哎喲。。好好的都快結局了，無拉拉爲什麽要把king和kaka弄死呢？？看到人家很不舒服啊。。。。。            
(NA)	 kaka和king的反转剧结局颠覆了看Tvb这么多年的心理惯性 - -！！！            
(4星)	 结局有点意外  嗯   活在当下，珍惜眼前人            
(3星)	 烂尾！            
(4星)	 30集拖好长~ 生活般的拉家常，只当消遣。最后的寓意还是不错的~ 人的确要学会：活在当下，努力去珍惜身边的人。“識揀就唔會澀”，不单只说红酒，其实是讲人吧。            
(5星)	 每每追完一部好剧,我都有严重的失落感╮(—▽—&#34;)╭            
(3星)	 什么破烂大结局            
(3星)	 我真的是每天准时收看，奇迹！准备回头把没看的重看一遍，田蕊妮真的太可爱了！！            
(4星)	 结局让人蛋疼~            
(3星)	 没想到，最后一集还有大反转剧情。。。编剧太狗血了。            
(4星)	 虎頭蛇尾，不過總算不錯~            
(3星)	 貌似还没完！            
(3星)	 笑点够足，但是人物性格老是突变，情节总是急转而下。最可爱的还是肥俾两口子，教会众人经营夫妻之道。            
(4星)	 看轻松的港剧，不费脑子，很好很好。            
(4星)	 结局差了点, King和Kaka成了炮灰唉..            
(4星)	 阿KING和卡卡最后的结局更让大家提醒自己要活在当下，珍惜现在拥有的一切。蒙嘉慧越来越好看了，田蕊妮越来越可爱            
(4星)	 结局实在....            
(3星)	 那啥結局是爲了響應不要一切港劇都happy ending嗎 有點扯啊就 李司棋阿姨是說教名角啊!!!TVB就是能一直看下去嘛            
(3星)	 结局直接扣1星。。            
(4星)	 杜太麥包可愛死了~~很多故事都蠻老套，不過也有touching到我的一些地方==最後King&amp;Kaka爲什麽非得死。。。。            
(4星)	 咳咳，真的不錯這戲，輕鬆又不至於白癡。            
(3星)	 过程有感动到 但是烂尾            
(3星)	 编剧脑子进水了            
(4星)	 今天看到他们终于结成正果，超级开心的，有情人终成眷属。            
(4星)	 有笑有泪有真情，不矫情不大俗。            
(5星)	 黑社会老大那段笑死我了，阿KING同埋KAKA一段我都喊着好耐啊~活在当下，珍惜眼前啦。            
(4星)	 全都欢欢喜喜这样。            
(4星)	 绝对要推荐的一部港剧!=v=            
(4星)	 好感人。。。            
(4星)	 好睇！！！！！！！！！            
(2星)	 这剧评分那么高啊，看了两集郑嘉颖还没出现，只有蒙嘉慧一如既往的造型和彪悍的已经听腻的国语配音                  
(3星)	 第一集有淚點，但是男女主都熟男女。興趣打了折扣。紅顏老去，沒錢沒人，真悲催。另：鄭嘉穎居然40多了！！！最终集有没这么大喜大悲啊！！！比剧颇令人动容！！            
(4星)	 喜欢。            
(3星)	 轻松、温馨。。。对编剧将男女主角的爱情建立在男女二号的猝死之上表示小小抗议            
(5星)	 被第九集笑到抽……            
(3星)	 港剧治愈法。            
(4星)	 好看！            
(3星)	 小品剧。            
(5星)	 大爱YOYO！            
(3星)	 一般。結局有些唏噓。King和kaka天國相聚。演員是情景劇的班底。看著還比較親切。            
(4星)	 我还挺喜欢的～～～            
(5星)	 不错啊 配角也出彩啊 TVB 终于没有做成大团圆的结局 终于可以让观众在现实中看到希望 那点点希望还是可以美好一下的            
(4星)	 还不错，喜欢这种一章一章感觉的电视剧，不过为咩最后非要死人捏~~            
(5星)	 最后一集阿king夫妇意外死掉 我哭了..好不完满 呜呜呜 但整部还是很好看的 看了让人想结婚            
(5星)	 最后一集哭的我稀里哗啦啊！我爱蒙嘉慧！我爱郑嘉颖！            
(3星)	 夏天生 一个人一生需要的物质并不是很多  游走世界  记录真实的摄影  爱情作伴  生活多彩。MY DREAM。港式的屋子还是不错的            
(2星)	 终于看不下去鸟！            
(4星)	 kaka和king的死 相當狗血            
(4星)	 好sweet啊呢部戏            
(4星)	 麦长青 帅！            
(4星)	 本来是5星的 ~只是kaka和阿king居然最后一集死了~虽然他们不是主角~但是仍觉得这种温馨小剧来得有点遗憾            
(4星)	 干嘛突然撞死两个人。。又不用升华主题，真是的。。            
(5星)	 讲述婚姻不同阶段不同状态的故事，很有意义            
(3星)	 意外            
(4星)	 麥長青和田蕊妮lee對眞的做得好，yoyo和鄭嘉穎終於了結了《與敵同行》的遺憾。套戲算是近來佳作，本來想給5分的，麻痹29和30眞的是催淚啊啊啊!!!可是抄襲《戀情告急》那一幕眞的是...好吧~4.5分!!!結局有鍾景輝好驚喜!!            
(4星)	 男女主赶脚不配            
(4星)	 MIKI让我想起D了，不过D没MIKI这么夸张吧。剧情还好，挺喜欢麦一敏跟夏天生滴。我对结局很无语，为什么要KAKA跟景元死？            
(3星)	 有个好姐姐真好TAT            
(3星)	 前几集还不错，后面就开始脱轨了            
(4星)	 最后一集好惨            
(4星)	 还比较特别            
(5星)	 为了郑嘉颖            
(4星)	 蒙嘉慧老了啊！！还是最喜欢官恩娜那集！！            
(4星)	 好看            
(4星)	 结局让king和kaka被撞死了这是为了什么完全没必要嘛，最后教母甜姐还遇见个花老头子，编剧脑残啊            
(4星)	 第一集就看到泪奔啊。。。            
(3星)	 没什么动力看下去了……╮(╯_╰)╭            
(4星)	 终于追完了，比想象中好看，虽然说教成分很多，但温馨实在。结尾有点突兀了，太大反转，用其他俩个人成全一对情侣有点太过了。            
(3星)	 越看越雷型            
(3星)	 我爱蒙嘉慧            
(4星)	 点解阿KING同埋KAKA会死吖。。。。。            
(4星)	 结局太突然了            
(NA)	 编剧太讨厌了，结局居然有人死了，咆哮。。。。            
(4星)	 很合我心意　现代金牌冰人很萌            
(3星)	 剧情 确实很老套 就搭配还算好点            
(3星)	 中间很好。。。结局太XX了。。。            
(3星)	 结局最扯            
(3星)	 烂尾了            
(4星)	 我就是喜欢这很家常的典型港剧。。。            
(2星)	 弃剧            
(3星)	 这套戏都几闷.....            
(3星)	 不好看 太一般了 最后一集还是哭了 爱一个人就是心甘情愿的为他改变            
(3星)	 这尼玛什么坑爹结局啊~其实在第二十集就甜蜜大结局不是蛮好嘛~我再也不相信爱情了~~三星半多点~            
(NA)	 01 - 20 其实就是想看看他们是怎么好上的。。牵强啊。。还是现实啊？。。            
(4星)	 summer哥，瑶瑶姐不要你，我要你T T            
(NA)	 20110404一部由头到尾都是幸福的剧，在最后起了波澜，编剧你要不要这么狠啊，最近发现田蕊妮很有爱。CK和Yoyo的感情戏一直断断续续，两个人偶尔主角，经常配角。            
(4星)	 KC怎样都帅，YOYO也很美，但就是觉得两人不配~~~            
(2星)	 看了一半实在是看不下去，我对TVB终于不可逆转的失望了……            
(4星)	 爱情不停站想开往地老天荒 需要多勇敢 你不要失望荡气回肠是为了 最美的平凡。            
(3星)	 三星半            
(4星)	 撞車那裡 哭死我了！！！~            
(4星)	 久违的温馨            
(4星)	 好中意这种温馨的家庭剧~~虽然剧情弱点，不过看的蛮开心。最后阿King和KaKa死的有点可惜            
(3星)	 浮夸中欢笑多多            
(4星)	 郑嘉颖越来越有味道了            
(4星)	 很有feel            
(4星)	 喜欢菲菲，一敏，Ashely没想到会是同性恋，开始以为一敏很幸运呢            
(4星)	 中间笑煞我 结局太突然            
(3星)	 看完了怒火之后~重新翻出来看~因为之前一直没关注过郑嘉颖~!!很港剧的港剧~!            
(5星)	 用时尚的方式解释了各国婚礼的礼节，用感恩的方式结束了母女之间的矛盾，用妥协的方式缩小了不同人生观恋人之间的差距。温馨，但不缺搞笑；欢乐，伴随着泪水。一部值得你看，值得你回味的港剧！            
(4星)	 最后一集还血淋淋的在我脑袋里。            
(NA)	 果然最后是为死而死......突兀了点......算,至少是he结尾,好过些........            
(4星)	 冲着KC去的，虽然他在剧中的戏份不多，不过编剧挺用心的。每一对恋人的故事都蕴涵了婚恋问题的探讨，比如志趣不同的两人如何共存，女人该不该管住男人的荷包等等，还满有趣的。            
(4星)	 做人要敢爱敢恨。因为不知道哪一秒就要被车撞死。所以，一定要好好爱你爱的人~王心慰监制的小品真的很温馨，而且也挺有智慧的。            
(3星)	 TVB的俗套，中港女也有春天            
(5星)	 很棒！最后1集哭的稀里哗啦的~            
(3星)	 麻麻地            
(3星)	 郑嘉颖真帅啊            
(4星)	 死了两口子，就是为了让男女主人公在一起，好惨啊~            
(4星)	 女人不易做，港女也是被逼出来的。            
(3星)	 电光幻影：两个我不喜欢的主演蒙嘉慧和郑嘉颖，拼凑了一部我觉得很不错的影片。相比较起来郑嘉颖占便宜，男人看起来年轻，蒙嘉慧和他很不搭配，但是全片就是好看。田蕊妮越来越漂亮了，但是李司棋真心美。挺好看的，推荐给热爱生活，寻找目标的人。只是结局小崩溃。            
(5星)	 觉得很不错，整部剧很有爱，虽然结局太惨烈了，不过幸好Summer和阿蚊还是走到了一起~~看到这部剧我就想起了《金牌冰人》，都是婚嫁题材的，都很有爱，更重要的是都有KC~~            
(4星)	 KC和蒙嘉慧的戏份再多点就给五星了。            
(3星)	 这也玩的太大了吧，为了主角那对在一起炸死一对新人你们何其残忍啊！            
(3星)	 我只看了有郑嘉颖的部分            
(4星)	None
(NA)	 一次看8集 不会腻的~~~            
(3星)	 前面挺温情的。人生如戏。虽然结局……= =            
(NA)	 女主角不太喜欢吧            
(3星)	 剧情一般般啦，适合过年看。            
(4星)	None
(2星)	 结局太狗血了...            
(2星)	 有点无聊~~            
(5星)	 看着好温馨            
(2星)	 看了一集弃了。。主要是卡司不中意，不过除了笑料之外剧情也有点差强人意，和我想象的家庭剧差别好大。。            
(5星)	 蒙嘉慧和郑嘉颖还是蛮有号召力的~            
(4星)	 喜欢两个主演，yoyo表白那段我看了很感动，好演技            
(4星)	 很好看            
(3星)	 这部剧是高三的时候利用休息的晚上和白天连续看完的，记得结局很狗血。看到了许久未见的yoyo，总的觉得还是可以的，只是结局，TVB的编剧又可以遭骂了。            
(4星)	 前8集很没劲，后面越看越好看，哈哈，喜欢小颖颖，喜欢田蕊妮！            
(3星)	 冲着郑嘉颖来的            
(NA)	 不好看            
(3星)	 如果没有那个煸情的大结局, 我会打四星或五星的            
(3星)	 我很喜欢田蕊妮。但是这部里面的发型...看起来真的有点挫。读心神探里的很赞，谁家里面短刘海利落发型也很适合她。看到最后，田蕊妮还是不错。只是看惯她极其聪明的形象，这样有点呆有点耍赖，哟嚯~            
(4星)	 喜欢的演员，温馨的剧情，结局太狗血啦！！！            
(NA)	 看后很舒服，没有那么累那么勾心斗角~~            
(3星)	 后来 很俗套            
(4星)	 中规中矩吧，不过可能真的贴近人性，泪点被戳了好多次。TVB死配角的传统真是让人无话可说！！杜太好戏！！            
(4星)	 KC~            
(2星)	 无聊剧            
(4星)	 鄭嘉穎越看越帥呢 官恩娜那兩集好搞笑啊            
(4星)	 喜欢KC和yoyo的搭配啊，算是轻松的经典TVB剧吧            
(2星)	 作为tvb粉这部戏实在是。。。。...怎一个烂字了得。 蒙嘉慧还是法证的时候最经典！~ 哎.... 题材也不怎么样。..各种难看啊。            
(3星)	 剩女最后的春天             
(NA)	 看过一点~            
(5星)	 这一部好看的剧集!!!            
(2星)	 原本打算给三星，结果被最后一集恶心到了……为了让郑嘉颖跟蒙嘉慧在一起，非把人新婚小夫妻弄死，好像不死，别人没法感悟人生真谛一样。            
(3星)	 喜欢身殘志堅王志澤和阿娟的那个故事；看不到的温柔。。。            
(3星)	 两大女主角都让人受不了            
(4星)	 温情喜剧。kc和蒙看着总好像缺点什么，擦不出火花。很喜欢剧里的田蕊妮的说，超喜欢。剧里官恩娜那一对是最搞笑的。还有阿King和Kaka真的好可惜，喜事变白事。最终剧里要说的还是珍惜两个字嘛，谁都懂，但难做。            
(4星)	 summer我喜欢 剧情嘛 ok的            
(4星)	 各种婚庆.还有郑嘉颖。            
(4星)	 也是很让人感动的一部剧            
(4星)	 那段时间疯狂的喜欢郑嘉颖，所以疯狂的找看过的没看过的他的片来看            
(4星)	 有蒙嘉慧嘛，都蛮好看的～～            
(NA)	 我也想开家这样的店            
(3星)	 好吧麦包跟杜太太真的很配。。。            
(5星)	 蒙嘉慧的都爱看~            
(3星)	 比较轻松的剧情！还不错！            
(5星)	 我就记得第九集给我笑抽抽了。。。好看！            
(4星)	 年初好戏，温情同时灌输了好多职业信息，TVB每次拍职业戏都不会差到哪里，都能从小市民小职业中散发出生存的道理            
(4星)	None
(3星)	 喜欢这种温情小剧，但是结尾用突然配角的死亡叫男女主角在一起太生硬了吧！！！ 要不然可以给四星！            
(4星)	 最后一击太刻薄了，算是冥婚吗？轻喜剧转成了轻悲剧，不过总算让男女主明白事理了。            
(4星)	 不晓得，就是觉得蛮好看的            
(5星)	 恋爱、婚嫁知识普及            
(3星)	 随便看看...KC蛮帅的...结局狗血...            
(5星)	 !!!我都觉得我适合做婚庆了            
(3星)	 ╮(╯▽╰)╭            
(4星)	 和《鱼跃》一样出现得及时。我的治愈系。            
(NA)	 浪漫啊            
(3星)	 不想看到李司棋啊            
(NA)	None
(4星)	 几温馨哦~~            
(3星)	 终于看完，哈哈~看了差不多一年了，断断续续，今天终于看完！            
(4星)	 稀饭阿田~对郑先森其实木有虾米赶脚~不过这部戏还真的是对我多少有点影响滴~我现在滴工作就是跟这部戏有关滴哦~            
(3星)	 前面平平偏好的烂尾剧。            
(NA)	 喜欢这样的题材 温馨感动又不失真实            
(4星)	 嗯。。蒙嘉慧形象不错。。持续观望..陈展鹏和郑嘉颖都很帅！有点虐有点狗血。。有些演员演技很烂阿喂 不过主演还是OK的。。本来还挺轻松好看让人开心的，大结局居然那么假。。。。。。不过很多演员阿养眼了看在这么开心就四星了            
(4星)	 就我对戏这么大度的，本来是想要给五星的，扣掉一颗，实在是因为最后设定的悲剧实在是脱离了氛围，让我接受不了 ==不过本片前面的部分都是很轻松温馨的。            
(3星)	 挺浪漫的爱情小剧，恶俗了点儿，还是可以看看的            
(4星)	 剩女，印度婚礼。            
(4星)	 好看，好玩，又让人感动。最喜欢田蕊妮和胖叔叔（麦长青）两夫妻，他们太有爱了。哈哈哈            
(5星)	 真的是一部不错的片子 想给四星半 但没有半星就给五星吧 不足的半颗星是因为最后kaka他们的去世太突兀了 就算要突出人生无常也不用这样一百八十度大转弯吧            
(4星)	 很新颖的题材！就是结局时为嘛要死对新人~~~~~(&gt;_&lt;)~~~~             
(2星)	 结局死的真的太不用脑了。太扯了，这样也死得了。            
(4星)	 演员都很喜欢            
(3星)	 热热闹闹的温馨的剧，但太多小概率发生的事件参差在剧情中了，结局最坑最小概率，都要结局了还要牵强地死两个角色。            
(4星)	 还不错，最后卡卡的死有点意外，真的很可怜啊。。。            
(4星)	 蒙嘉慧还是挺美滴            
(4星)	 蛮好看滴。。             
(3星)	 TVB的片子总要把人写挂掉，才好收尾···无语！这样的喜剧也是如此~            
