http://movie.douban.com/subject/3057361/	保镖之天之娇女 保鏢之天之嬌女
(4星)	 何晴是相当漂亮的，相信看过这部片子的人，对于何晴的喜爱是一致的。保镖系列应该是全都看了，但只记得这一部了~而这部戏里，印象最深的也就是程铁衣与天凤的感情了~至今还记得最后一集，他们不得不分开，这种情感至今让人揪心~也是从这部戏开始，觉得铁衣是个真男人，也记住了何晴以及黄文豪这两个演            
(3星)	 当年很喜欢何家劲的            
(4星)	 so 小的时候            
(5星)	 帅哥靓女啦啦啦啦~~~            
(3星)	 演员都不错，里面的插曲很好听，片子好像也还行            
(5星)	 我看的何家劲的第二部电视剧，当时一看到他就想到展昭了。            
(5星)	 那个时候喜欢程铁衣多过那谁。。。还有何晴好美，好美。。            
(5星)	 虽然配音，口型，字幕没一个对的上，台词逻辑错误也有很多。程铁衣和公主的故事还是让人唏嘘不已，这应该是小时候英雄主义故事中少有的不是有情人终成眷属的故事了。            
(5星)	 经典            
(NA)	 武汉 没有电视闭路的时候 唯一的电视            
(NA)	 小时候看得。。。好像初中看得言情小说啊。哪像现在都偶像剧了。。。。哎。。好纯啊。。。呜呜。。。。            
(5星)	 原来有些东西还是留在记忆中最为美好，一旦时过境迁之后再拿出来，早就变了味……            
(4星)	 旭玉终于在一起了嘛，公主铁衣也萌            
(5星)	 那时候住校，没办法看，走读的同学第二天早自习就会给我讲发生了什么，确实很好看，虽然结局有点不好            
(4星)	 哇，何晴是多么的国色天香，娇俏可爱啊。何家劲展昭之后的 风度演出啊            
(4星)	 多次上学时偷偷起来看这部电视剧 被老爸发现 于是严刑伺候  何晴真是惊为天人            
(5星)	 顺道还看了黄文豪的刀歌也是很虐的剧情，但幸好最后终于在一起了。我就喜欢长的很硬气的男人。唉            
(5星)	 作为一个记忆我真的想打5星            
(5星)	 何晴超美的！！！！跟黄文豪一起多么美好！！！！            
(5星)	 喜欢程铁衣!!            
(5星)	 回忆--公主与铁衣，超迷恋            
(4星)	 貌似有杨丽青？怎么演员表里没有？            
(NA)	 程采玉一目十行过目不忘，这个技能羡慕了好久。何晴太美。            
(3星)	 本来很好的故事设定，但是垃圾发展太多了。一堆自称老江湖的人，却犯了一堆堆的白痴错误。为了让白玉莲留在镖队，搞了那么多搞笑的事情，让人实在看不下去= =但关键是公主总能逃出去。。丫的这还是不是保镖啊，一个个水准怎么那么差啊，呃，忽高忽低吧，恩听导演的安排。。。            
(NA)	 不是冤家不聚头            
(3星)	 何家劲好帅            
(2星)	 小时候？名字熟 记不得            
(NA)	 只记得当年何晴很漂亮            
(4星)	 犹记得很小的时候犹记得何家劲演走镖的一个大侠~ 时隔多年翻出来依然唏嘘万分~            
(4星)	 矮油，何晴老漂亮了！你懂的            
(5星)	 那个何晴跟黄文豪没有在一起巨郁闷~~            
(5星)	 实在好爱            
(4星)	 童年的回忆。现在看何家劲还是那么男人~            
(4星)	 我爱程铁衣！！！            
(3星)	 当时就记得不喜欢公主，喜欢铁衣的妹妹-0-            
(NA)	 小时候。            
(4星)	 小的时候觉得何晴真的是个美女。可是为什么不红呢。如果放到现在是不是会比阿SA红呢。。。可惜了那时候其实有好几个美女没整容的化妆也不到位的但是真正的美女。            
(3星)	 何晴真漂亮。            
(3星)	 当年作为武侠偶像剧来看滴，帅哥美女扎堆            
(NA)	 何晴眉眼那么好看的，怎么没怎么红呢            
(5星)	 最喜欢了            
(4星)	 小时候看觉得何家劲真帅&gt;&lt;..对何晴无感= = 哎哟我那么小就喜欢帅锅了嘛..            
(5星)	 公主和郭旭其实很配啊~不过那样就对采玉太不公平了。            
(NA)	 喜欢何晴            
(3星)	 程铁衣~            
(4星)	 程铁衣            
(NA)	 程铁衣AND公主            
(3星)	 锦衣卫            
(4星)	 喜歡天風&amp;程鐵衣 何晴年輕時實在美            
(4星)	 最后还是没有和公主在一起，遗憾~            
(3星)	 何晴好美的说~            
(NA)	 美女呀美女            
(5星)	 童年的劲哥。            
(5星)	 郭旭要不要这么帅。。。完美男人！！            
(5星)	 公主我喜欢你啊~~            
(NA)	 高三追看，有趣的故事，何晴真是娇俏甜美            
(5星)	 经典            
(4星)	 小时候看的时候从第1集就很不爽两对CP，啊啊，我一直觉得是公主和郭旭最配的啦!! 为什么他俩就不来电不来电&gt;&lt; &gt;&lt; &gt;&lt; &gt;&lt;            
(5星)	 保镖系列都喜欢~~~            
(5星)	 超喜欢何晴的，笑起来柔柔的，每时每刻都像暖洋洋的太阳，让人看了就打心眼里舒服。至于电视剧说的什么，我真记不清了，反正就是武功高强的何家劲保护公主何晴，最后粉碎了某某某阴谋。小时候看得如痴如醉阿！            
(3星)	 何晴真是……漂亮啊！！！            
(4星)	 何晴真漂亮            
(4星)	 我以为公主喜欢的是郭旭，可是结果却不是那样            
(4星)	 那是很喜欢公主与铁衣的...            
(4星)	 长风镖局            
(4星)	 美女啊。            
(5星)	 心中永遠的最愛            
(4星)	 好像这一系列的都看过    最喜欢的是翡翠娃娃那部            
(5星)	 铁衣+公主~~            
(5星)	 喜欢何晴！            
(NA)	 何晴美呆了！！！！！！！！！！！！！！这才是公主！！！！！！！！为了她我也要打五颗星！！！！！            
(4星)	 这几部我还真分不清了。。。            
(5星)	 很喜欢这里面的玉箫仙子 还有程铁衣 当时老是想说：何晴可不可以不要这样美 让他们在一起吧。            
(3星)	 忘了            
(5星)	 当时就认为他们都长得很好看            
(NA)	 当时觉得那个叫黄文豪的演员好帅            
(3星)	 还记得跟表妹那默契的模仿动作……            
(4星)	 何家劲老帅了            
(4星)	 好像帅哥哥很多。            
(4星)	 好萌的一对~~~            
(5星)	 看到最后多痛心为什么公主和铁衣不能在一起！！！            
(3星)	 比起包青天里的展昭~何家劲的其他作品既有展昭的范儿~又能儿女情长~            
(5星)	 我最爱的何晴阿~~~            
(3星)	 永遠的回憶，程鐵衣和刁蠻公主，可惜沒有好結局            
(4星)	 还是觉得这女的长得像亲爱的吴贤欢啦 形神俱似            
(4星)	 童年童年~            
(4星)	 古人到底能有多少秘密呐            
(4星)	 很喜欢里面的程铁衣和公主            
(5星)	 小时候最喜欢的电视剧之一了。            
(4星)	 也记得这个！喜欢何晴            
(4星)	 公主好漂亮            
(4星)	 记得当初好喜欢何家劲和何晴哦，貌似是这两个人，一个是公主，他们互相喜欢，但是遗憾的是最后没有在一起。。            
(4星)	 小时候有一阵子痴迷此剧            
(4星)	 看到这个差点尖叫了，，，，，原来我这么老了            
(4星)	 小学的记忆            
(3星)	 当年很爱何家劲，怨恨何晴不和他在一起            
(3星)	 真喜欢天凤和程铁衣哇哇哇哇            
(4星)	 天凤和程铁衣            
(5星)	 酒是陈的香，剧是旧的美。            
(4星)	 那个江湖才是我从小到大熟悉的江湖啊～            
(4星)	 何晴美到不行            
(3星)	 看过~不记得了~            
(4星)	 很喜欢何家劲，音乐也好好听            
(NA)	 囧，大学期间还重温了一遍，我还挺喜欢看的            
(4星)	 哇…記憶猶新啊記憶猶新……            
(3星)	 这个我都看过。。。            
(4星)	 那个时候镖局的题材真的好广泛，现在都变成无聊的特技了。            
(3星)	 极小的时候看的 很不错 少见的 女一搭男二 男一搭女二             
(4星)	 何晴太美了！！！！            
(4星)	 何晴真是美            
(5星)	 这个电视剧怎么样不管他，音乐是超好听的啊            
(5星)	 实在是太萌公主与铁衣了。这部剧貌似是小学看过，但是铁衣救公主的那段一直在脑海里。            
(4星)	 小时候每集必看的~~ 呵呵~~ 天凤和铁衣~~ 结局貌似是这两人没有在一起吧~~ 唉唉~辛力，貌似郭旭的师兄，也挺帅的~~            
(NA)	 铁衣与天凤            
(5星)	 当年萌郭大少和程铁衣啊，萌到了极点            
(4星)	 铁衣&amp;天凤~~            
(3星)	 公主和镖师的爱情故事永远只能是罗马的那一个假日.            
(3星)	 09.12 重温10年前的郭旭...            
(NA)	 保镖系列~            
(4星)	 我深深迷恋那时候的你 何家劲            
(4星)	 小时候看的，至今还记得铁衣跟公主的这对CP，还有郭旭也是相当的帅气=3=            
(5星)	 可惜公主最后不能和保镖在一起~            
(4星)	 保镖三部曲中最喜欢的情侣就出自这一部，公主和铁衣好可爱             
(4星)	 2个髻的公主可爱            
(4星)	 何晴演的公主超美丽~~            
(4星)	 曾经很长时间为公主没和铁衣在一起焦心不已~            
(5星)	 何家劲..我小时候就是你FANS了 ...            
(3星)	 我就对这个公主掉进缸里浑身又酸又臭记忆深刻了。对了里面的偷功这段音乐让我找了好久= =            
(4星)	 天天晚上守在电视机前看这个            
(4星)	 难得女主和男二的片子，好！            
(4星)	 何晴太美了~~            
(4星)	 还记得小时候看这个的时候特别喜欢漂亮的何晴JJ~~~            
(NA)	 这是我最喜欢的一个系列&gt;&lt;程铁衣啊~公主啊&gt;&lt;我多希望他们在一起啊！            
(5星)	 啊啊啊~~居然看到这个剧。当时很喜欢这一个系列呢，尤其是这个！！超喜欢里面的公主，还有男配，特别是公主被抓走，程铁衣去救她。被迫给那些坏人下跪，然后趁机救回公主！虽然最后因为那是公主，两个并没有在一起，但是很喜欢那感觉。最后过年时妹妹还易容成公主来骗他。很喜欢这男配。            
(4星)	 坦白讲 记不清情节了 当时觉得何晴非常漂亮            
(3星)	 当时特别喜欢公主。。。            
(5星)	 我其实就是看看何晴啦            
(3星)	 还是喜欢情人保镖            
(3星)	 还可以，《保镖》第三部。略显遗憾的结局啊~不过，武功虽无，风骨犹在啊。            
(3星)	 何晴在里面大放光彩            
(5星)	 何晴好漂亮，天真可爱，喜欢她和郭大少的互动，可惜不是他们俩在一起……            
(5星)	 当时特别喜欢何家劲，说不出理由，后来问了寝室的人，原来大家都挺喜欢他的            
(3星)	 有她的日子很特别·            
(2星)	 这部好像有点印象            
(4星)	 何晴，四大名著演过三部的美女            
(4星)	 程铁衣与天凤，多少年都记得那样的笑脸。            
(5星)	 结局伤感            
(3星)	 程铁衣，我还记得呢，跟公主好搭            
(NA)	 一系列的。。。。。            
(4星)	 当时觉得很好看，过阵子再看一遍回味一下。            
(4星)	 可惜这部戏里郭大少的感情戏少了点            
(4星)	 小时候喜欢看的            
(3星)	 居然没人看！            
