http://movie.douban.com/subject/2296999/	澳门街 澳門街
(5星)	 从此开始喜欢佘诗曼。            
(4星)	 初哥哥啊~！我真想有个初哥哥！            
(5星)	 文初哥……那一刻定格成永恒与遗憾……还有那首唱不完的祝君好……            
(NA)	 我亲爱的智霖先生            
(5星)	 初哥哥。。。。            
(4星)	 祝君好            
(4星)	 祝君好            
(5星)	 好心痛……            
(4星)	 一些回忆吧..每次听[祝君好]都很触动            
(5星)	 我最喜欢最喜欢的电视剧，经典，难忘            
(5星)	 很感人。            
(5星)	 初哥哥            
(5星)	 宁愿没拥抱 共你可到老 任由你 来去自如 在我心底仍爱慕            
(5星)	 主题曲还真是百听不厌             
(4星)	 马浚伟            
(5星)	 很温馨 很喜欢~君好文初 遗憾啊            
(4星)	 《祝君好》，很好听的一首歌。            
(5星)	 牺牲精神感动撒            
(3星)	 好看的丫...张智霖演哑巴...            
(5星)	 祝君好。。。这首歌哈灵。。。            
(3星)	 文初            
(5星)	 初哥哥。即使触及一点点的悲伤我也不愿去想。只要你在身边就好。            
(5星)	 经典到不忍再看第二次，怕一看就哭。。。            
(3星)	 喜欢初哥哥            
(5星)	 为嘛大结局不让初哥哥和吖佘在一起捏.            
(5星)	 澳門街是官方名字嗎？當年在電視上似乎確實叫做十月初五的月光            
(NA)	 总能看见温馨的微笑！            
(4星)	 葱花，俺也很喜欢这个。口哨啊口琴啊。文初啊T T            
(5星)	 http://tvcity.tvb.com/drama/moon/index.html            
(5星)	 鰔魚白菜也好好味            
(5星)	 当初多喜欢里面的文初啊。            
(5星)	 很好很好很好很好很好d tvb片子            
(5星)	 这应该是我印象里最好看的一部港剧，我现在都记得文初这个名字            
(5星)	 我爱情观的凝聚..            
(NA)	 從這部戯開始喜歡張智霖            
(NA)	 以前看过现在又在看！            
(5星)	 小城大爱            
(4星)	 你幸福吗？如果你幸福我就幸福，即使你不在我的身边。。。这是文初的心声，或许也是我的心声。。。            
(4星)	 少数有印象的电视剧.            
(5星)	 文初哥哥。            
(5星)	 初见佘佘！            
(5星)	 只望停在远处祝君安好,虽不可亲口细述...            
(NA)	 感动地恍惚了，黄梅天的大雨都让我感觉温情起来            
(2星)	 不喜欢那种一厢情愿成全对方的自以为是的感觉            
(NA)	 这部戏，让我痛恨佘诗曼很多年。            
(3星)	 第一次认识佘诗曼，感觉不怎么好看            
(4星)	 张智霖那首&lt;祝君好&gt;听了哈感动            
(NA)	 初哥哥啊````            
(NA)	 十月初五的月光            
(4星)	 不错，初哥哥好正！            
(4星)	 其实希望文初和君好在一起的……            
(4星)	 十月初五的月光剧情好 张智霖 佘诗曼配合默契 结局最爱            
(5星)	 永遠忘不了...初哥哥            
(5星)	 咸鱼白菜            
(5星)	 不知道君好找到的是不是真的算幸福，文初的放弃是不是真的成全了君好的幸福～            
(NA)	 澳门街            
(5星)	 决定重温经典            
(5星)	 只愿祝君好，心疼大仙            
(5星)	 当年就是这部剧让我喜欢上了阿佘            
(4星)	 祝君好            
(5星)	 果然是TVB經典，好感動！五顆星送給初哥哥！大愛張智霖！！！            
(4星)	 当年的张智霖太迷人了            
(5星)	 通过这部剧了解了澳门            
(4星)	 当年的阿佘 以后都没了            
(5星)	 这是接触到港剧的第一部，真的很经典呐。。。            
(3星)	 怎么个电视剧也能忧伤的            
(4星)	 TVB啥时候走催泪路线了。。。。。。。。。。。祝君好            
(4星)	 看的眼泪鼻涕的            
(4星)	 祝君好            
(4星)	 祝君好！~            
(5星)	 主题曲和剧情太贴了！            
(5星)	 非常喜欢的电视剧，张智霖演戏太好了，既帅演技又好，唱歌也不错，喜欢他唱的主题曲《祝君好》。有一段时间老听他的歌，还有翻唱的《少女的祈祷》也好听。给张智霖六分，佘诗曼扣掉一分，以一个女演员来说，实在是太丑了。            
(5星)	 生命中有一个初哥哥多好啊。            
(5星)	 经典            
(5星)	 不为其他，就为这部记忆深刻的电视剧唤起了我的童年~~~            
(5星)	 初哥哥            
(4星)	 祝君好。            
(4星)	 张智霖太帅了            
(5星)	 小学没有毕业时看的这部电视剧，当时只是觉得是一部平常的港剧。 10年后，真的去了澳门，回想起片子的种种觉得很奇怪。2年走过了澳门的大街小巷后又忽然离开了。如今翻出来再看，那些12年前的澳门， 那么亲切和平易的日子在一代一代人的岁月中流淌。Macau，必定成为了今生最难忘的地方，梦中的第二个家            
(5星)	 看了至少三遍！最爱的tvb剧。主题曲爆正。由张智霖演唱，歌词爆符合初哥哥！真是太正了！            
(4星)	 搞不懂为什么不能在一起~。文初哥水嫩的呀!!!            
(5星)	 礼信很好很好，真的很好。但即便要选一百遍，也要选文初。因为青梅竹马是最了不得的情怀。            
(4星)	 偶的文初，一直以为会和君好在一起的。            
(5星)	 总会有一个初哥哥。            
(5星)	 情到深处人落寞，情到深处人孤独，一往情深的又岂止初哥哥一个人。还有2000年时还都有些婴儿肥的佘诗曼和马浚伟，看起来更加可爱温馨。主题曲是周礼茂填词，经典之极，难怪张智霖演唱会都说，最后一首歌不唱这首，恐怕出不去红馆。            
(4星)	 看着看着好像很伤感似的            
(5星)	 很经典的一部电视剧,永远感动            
(5星)	 《十月初五的月光》            
(5星)	 感觉君好很幸运，文初，司徒礼信都是好人……祝君安好，虽不可亲口再述            
(5星)	 文初和君好是最经典不过的了。祝君安好。            
(5星)	 司徒礼信纵然好，但初哥哥是独一无二的            
(4星)	 祝君好            
(4星)	 爱是恒久忍耐             
(NA)	 很早看过的了~~            
(5星)	 绝大部分人是不敢去爱的。怕受伤，便不去争取自己爱的，只好接受爱自己的。            
(4星)	 全为张智霖！            
(4星)	 还不错的剧，挺温馨，歌颂真善美，人人都就很美好！只是不太喜欢祝君好这个角色            
(4星)	 小时候看的，记不清剧情了，但是到现在都还记得那首 祝君好 ，宁愿没拥抱 共你可到老            
(4星)	 十月初五的月光！文初哥哥！祝君好！经典。            
(4星)	 不跟张智霖在一起。。。            
(4星)	 张智霖全剧没几句台词，却深深地打动了我。            
(5星)	 童年的记忆。在张智霖所饰演的剧集中，文初是我最喜欢的一个角色。比李坏还有味道。其实张智霖很适合演这样的角色            
(5星)	 宁愿没拥抱 / 共你可到老 / 任由你来去自如 / 在我心底仍爱慕 / 如若碰到 / 他比我好 / 只望停在远处 / 祝君安好 / 虽不可亲口细诉……            
(4星)	 第一次认识佘诗曼。            
(5星)	 印象最深刻嘅就系果首歌... 同埋最后嘅果個场景!!!            
(5星)	 你爱过一个少年 他狠狠地扒着你的回忆不肯走            
(5星)	 力撑张智霖            
(5星)	 最好港剧之一，澳门美得飘渺            
(4星)	 当年的文初哥            
(5星)	 好看呀~            
(5星)	 祝君好。            
(NA)	 好多年前了，剧情已经记不大清，只记得一个名字祝君好            
(5星)	 听到&lt;祝君好》 想起文初哥 一阵心酸            
(3星)	 小学看的了            
(3星)	 给三星是因为我无法觉得佘诗曼很好。            
(5星)	 非常感人的片子，不是刻意的煽情，是久久回荡在心里的哀伤            
(4星)	 那一声甜甜的初哥哥，我看了结局，耶！=20111127=            
(NA)	 喜欢这部剧！            
(4星)	 第一次认识佘诗曼。。            
(5星)	 多年后 弥补了那个结局 和想象中不一样 是当初自己希望了 只是似乎真的知道了也没那么开心了            
(4星)	 可惜没在一起~~~有张智霖这样的大哥哥，好羡慕~~~为了张智霖，四星！！！讨厌薛家燕，要不是她，相爱的人怎么能不在一起。。。            
(5星)	 祝君好！！！T T            
(5星)	 绝对伤感的经典            
(5星)	 记忆中的全是美好            
(NA)	 初哥哥            
(5星)	 那遗憾  看到都不忍            
(5星)	 1999            
(5星)	 祝君好~            
(4星)	 因为这部，喜欢张智霖            
(5星)	 难忘初哥哥~~~每个人都是一出戏，曾经嬉闹的朋友，也终将走向自己的人生。海景叔更是赚走了观众一堆眼泪~~~            
(5星)	 这部片子是我的最爱，没有之一。   每年都回再看一遍回味。            
(NA)	 祝君好Q_Q            
(5星)	 由这部剧爱上初哥哥和祝君好            
(3星)	 我真的讨厌佘诗曼啊            
(4星)	 不喜欢君好！太自私，徘徊在两个深爱她的男人间，不忍放弃优秀的礼信，却希望文初爱她。当文初一拒绝她，马上扑入礼信怀抱..如果她意识到心中真爱时，能果断拒绝礼信，让文初明白，看到她的真心，也许结局会完全不同，所以注定她无法和文初一起。即使她拥有了梦想的生活，文初依然是她心中永远的遗憾。            
(3星)	 每一部戏都是一段回忆，回忆好美~            
(5星)	 不管怎么样，还是很喜欢佘诗曼。我算是nc粉吗？当初看倚天剑屠龙刀的时候就很心疼周芷若很讨厌赵敏，看金枝欲孽的时候又很心疼尔淳很讨厌玉莹。。。            
(5星)	 太好睇啦            
(NA)	 张智霖我爱你            
(3星)	 还是小学的时候，只记得张智霖当时是个哑巴，最后能说话了，很感人很温情            
(5星)	 很多次泪眼潸潸            
(5星)	 最爱的港剧。            
(4星)	 张智霖 没办法不爱            
(5星)	 这部剧对人性的刻画很真实            
(5星)	 十年前看过，现在再看依然很棒！TVB什么时候能再有这种经典啊！            
(5星)	 初哥哥QAQ            
(NA)	 初哥哥很好很好，但总不是很喜欢……真心觉得，最后初哥哥和金盛在一起会很治愈=v=            
(5星)	 看一回哭一回！            
(4星)	 因为这部喜欢张智霖和佘诗曼，于是也很不喜欢马浚伟~算是少数的女主没有和男主在一起的电视剧了吧= =            
(5星)	 澳门街？你妹啊，明明就叫十月初五的月光，好经典啊，很感人，主题曲好好听！！！            
(4星)	 少一星是因为文初太惨了！            
(NA)	 完美的礼信，每个人都希望拥有的文初哥哥            
(3星)	 佘诗曼那时候还真不错，不过现在真心对她就是提不起感觉。            
(5星)	 文初哥！到现在我都讨厌君好的选择。            
(NA)	 当年第一眼就被“文初”这个名字惊艳到了。还一直记得佘诗曼穿一件黄色T搭一条牛仔裙的样子。            
(4星)	 结局不喜欢~歌很好听            
(5星)	 只望能在远处祝君安好            
(4星)	 文初哥呀~            
(3星)	 当年没晚追着看。            
(5星)	 文初真的好让人心疼。            
(5星)	 明明就係叫十月初五的月光！！            
(5星)	 真的很讨厌君好，她从来都不知道自己要的是什么，只是让别人帮自己做出选择。也没有真正地关心过自己身边的人，不然不会连自己相处了二十多年最亲的妈妈和文初哥都不相信，去怀疑他们的人品。文初真的很可怜呢~             
(5星)	 小时候很喜欢看啊，喜欢张智霖            
(NA)	 曾经的爱~            
(4星)	 咦            
(5星)	 这么一部温情的小片居然被我一时气愤看的虎头蛇尾真是太不应该了 初哥哥难以想象年头演的鱼至赢居然还能和十年前如出一辙的清澈 真是羡慕不及 然后看了一集花家姐之后看阿佘说粤语总会穿越到智障o(╯□╰)o            
(4星)	 喜欢看前半段，文初真是个好哥哥，看着背在背上的她都觉得好幸福了。            
(4星)	None
(NA)	 不是叫“十月初五的月光”吗？！？！            
(5星)	 由这部剧认识张智霖的。貌似佘诗曼当时还没红，马浚伟也是。            
(5星)	 小人物太打动人，文初真惨，有时候做好人也是没什么好下场。            
(5星)	 张智霖！            
(5星)	 为文初哥哭过，佘诗曼是个好命的姑娘。            
(4星)	 多么美好            
(5星)	 至今mp3里还有《祝君好》这首歌            
(5星)	 好怀念这部 11年过去了。            
(5星)	 算是经典剧吧。佘诗曼的这个角色让我想起红衣手记里的护士。表演感觉方式都很类似。            
(5星)	 又一次重温，仍是经典……            
(5星)	 文初哥哥！！！            
(5星)	 永远的经典            
(5星)	 好看呢            
(NA)	 看过的第一部港剧，其实当时相比张智霖我更喜欢马浚伟            
(5星)	 宁愿没拥抱共你可到老。            
(4星)	 看过很久了。。没啥映像了            
(5星)	 文初~~            
(4星)	 好长远的记忆啊 什么时候再看看张智霖            
(5星)	 主题曲很好听            
(5星)	 经典之作...感情动人...初哥哥奠定了一个银幕角色噶辉煌            
(4星)	 不是很喜欢祝君好的性格，有时候对待文初任性得过分            
(5星)	 十月初五的月光            
(3星)	 短发的佘诗曼            
(5星)	 初哥哥T  T            
(5星)	 祝君安好            
(5星)	 以至于每个来澳门的同学都问我有没有十月初五街。初哥哥初哥哥~            
(4星)	 如果换个女猪脚，这部戏就真的完美了！！看完大仙儿跟宣萱，靓靓，陈松伶扮情侣后，那么美好的文初跟这么个女猪站在一起实在是太不协调了。。。。。            
(3星)	 脑残剧情            
(5星)	 能哭死我            
(5星)	 很久前就想重看总也找不到清晰的版本            
(4星)	 TVB为什么不重视唐文龙啊            
(5星)	 狠狠哭            
(4星)	 十月初五的月光意味着。。。别离。            
(4星)	 没想象中好看，有些地方太突兀了。为文初加一星。            
(5星)	 “宁愿没拥抱共你可到老 任由你来去自如在我心底仍爱慕” 小时候最喜欢的连续剧            
(4星)	 再看一遍 还是哭死我哦            
(3星)	 后面剧情发展的很乱            
(5星)	 多年前和妹妹一起看的这部剧，那时我们都如此年轻，如此的为了爱奋不顾身。多年后再看，我很想问妹妹，这么多年，你是否幸福？我很记挂你。。。。。。            
(3星)	 本来我觉着挺好的，但看最后几集的时候无语了，狗血的剧情            
(4星)	 当初蛮喜欢张智霖的            
(NA)	 当年感动死我了·····            
(4星)	 文初啊...            
(NA)	 最后君好吹出的明明是“我喜欢你”            
(NA)	 分分钟需要你            
(5星)	 前两天还想看来着            
(5星)	 君好早已不是君好，初哥哥还是那个初哥哥。据闻，袁咏仪曾经在电台大叫，真想一刀捅死她（姣佘）。真性情的袁靓靓，有足够的资本守着初哥哥一样的张智霖，什么都完整了。而那位君好，继续在小三与游戏追逐中变老，有意思吗？            
(NA)	 祝君好上，次和陈大白 ，傅便便去ktv，陈大白力荐这首歌。原来是澳门街的插曲，唯一的印象就是文初的口哨了。            
(5星)	 初哥哥！！！！！            
(5星)	 终于找到了！！小时候电视上看的一直忘了叫啥……            
(5星)	 超经典            
(NA)	 曾经的佘诗曼，还有不老童            
(4星)	 就得看好像是第九集的时候快笑死了            
(4星)	 属于时代的忧伤感，遗憾确又是最好的结局            
(5星)	 前段时间翻出来重看，满脑子的初哥哥，十年前的大仙嫩的可以掐出水来。隐忍温柔的初哥哥，关怀备至的初哥哥，忍痛让爱的初哥哥，让人心疼的初哥哥，倾己所有却只剩下一句你好，祝君好。            
(4星)	 佘年轻清纯之作，喜欢张智霖。            
(4星)	None
(3星)	 单凭初哥哥绝对可以打5星，还有马浚伟唐文龙，仨帅锅在里面各有特色，但都是好男人来的。。。至于为嘛。。。总之此剧是咱第一次瞧见佘姑娘，从此奠定了不想瞧她参演的所有剧的基础。。。            
(4星)	 其实没看完            
(4星)	 只记得阿佘还是那个时候好些，现在越来越彪悍了，可怜的文初哥哥            
(5星)	 挚爱初哥哥            
(NA)	 感动了我十年的剧，还有那首《祝君好》。那时的佘MM超青涩的~~马浚伟和张智霖和唐文龙都超级嫩超级靓仔！太感动太感动了，那声“文初”，真是仍在耳边。            
(5星)	 童年记忆有木有! ! ! 经典有木有! ! ! 泪奔有木有! ! !            
(5星)	 文初啊文初            
(NA)	 爱港剧。            
(3星)	 第一次看到佘诗曼...            
(5星)	 特喜欢初哥哥~~            
(5星)	 正月十五的月亮            
(3星)	 张智霖还是没能得到她的爱            
(5星)	 年少时就看过这部剧的人，长大了回头再看，很多都会说，“还是很感人，只是当时看时未觉得初哥哥原来那么帅。”徐遇安监制的最出名的应该便是这一部，连剧名也取得太好。《十月初五的月光》，澳门街的人们都太善良了，却很少人得到幸福，或许这就是生活的无奈吧。            
(5星)	 还是那么心疼初哥哥            
(5星)	 我不知道            
(NA)	 初哥哥            
(3星)	 哈哈哈 小时候看呀···看            
(4星)	 很喜欢文初，也一直心疼他的情深，无法亲口告知你，我的爱，连照顾你一生的权利也不配拥有了。每次听《祝君好》，都还是会深深感动，这一份深情，永远难了。还是觉得，深爱自己的人，一个才是幸福，两个就会遗憾，无论选的是哪一个。            
(5星)	 文初哥，童年时期好男人的模范代表哇            
(5星)	 初哥哥            
(5星)	 感动！喜欢文初            
(4星)	 結局喊到我想死…嗚…            
