http://movie.douban.com/subject/2144485/	渴望
(NA)	 悠悠岁A诶欸~月，￥#￥*&amp;&amp;——            
(NA)	 爷爷奶奶爸爸妈妈喜欢看的。平民故事的先河            
(3星)	 没啥印象了 = = 就记得主题曲            
(4星)	 我妈反复看的一部片子            
(4星)	 天津卫视ing            
(3星)	 那年月谁没看过这个啊            
(4星)	 什么时候去姑妈家，记得当时还在放，姑妈看的饶有兴致            
(4星)	 我妈喜欢，陪着看完。            
(NA)	 王沪生            
(5星)	 全凭当年的感觉 悠悠岁月。。            
(5星)	 好人一生平安            
(4星)	 幼年印象。            
(5星)	 已经记不清了。            
(NA)	 今天还提起来这个电视剧……            
(4星)	 就凭借当年的火热 怎么也要加一星~            
(5星)	 妈妈发高烧到40度还要看的片子，当时的确算是经典了            
(NA)	 跟我妈一块儿看的，当年完全没看明白            
(4星)	 第一部室内剧，用今日眼光看虽简单粗糙了些，但印记深深。            
(3星)	 中國第一部室內電視劇。            
(3星)	 同一個同學。。。。            
(3星)	 小学，印象中妈妈姥姥姨奶奶她们很喜欢看            
(3星)	 小时候大火这剧，剧情没大印象。红了一个张凯丽，还有那首歌。天哪，小学四年级音乐课学的歌，唯一记得起的就是它。            
(4星)	 俺娘的最爱之一吧~            
(4星)	 别端着 我就不相信当年全国万人空巷看这剧的时候没你一份。            
(4星)	 你说岁月好困困。。。            
(3星)	 窝窝囊囊不喜欢            
(3星)	 我看过吗            
(2星)	 奶奶很喜欢~            
(NA)	 我只记得哭的一塌糊涂，忘记了为什么情节而哭。第一次知道这全部是在摄影棚拍的时候我还好好地惊异了一下            
(3星)	 当年制造万人空巷的电视剧，时代意义            
(3星)	 年代太久远了！            
(4星)	 这谁添的呀，表扬            
(5星)	 小学时候看的，我记得当时我每一集都看完了，现在虽然对故事没什么印象，不过感觉还是留在心间            
(5星)	 童佳倩她妈年轻的时候~~hohoho            
(3星)	 悠悠岁月~~~~~~~~~~~            
(NA)	 小学午休后家里都是放这个。            
(4星)	 大陆电视剧的里程碑。            
(3星)	 不是我的菜。            
(NA)	 哇哈哈            
(3星)	 蛮好看的            
(4星)	 堪称那个年代的经典，爸妈非常喜欢看，小的时候不理解怎么会有那么命苦的人～            
(NA)	 哈哈，好老了            
(NA)	 羞涩~            
(3星)	 凯丽阿姨就这么红了。。。            
(NA)	 只知道里面的歌是毛阿敏唱的，很有感觉。。            
(4星)	 其实拍得不错            
(5星)	 我妈哭，我也跟着哭TOT            
(4星)	 朔叔叔划时代的电视剧            
(NA)	 跟我妈看的吧 很小很小            
(4星)	 饿。。。。慧芳阿姨，雪健大叔。。。。什么叫街头巷尾、妇孺皆知？！回到当年，这就是代表。            
(4星)	 当年的风靡也许只是电视剧严重匮乏年代的产物            
(5星)	 记忆中 和妈妈一起看过唯一的电视剧            
(NA)	 年少时的记忆。当年赚走多少国人的眼泪，也捧红了凯丽等一众演员。很怀念那个时代，娱乐活动乏善可陈，电视频道少之又少，国人情感单一容易感动却不麻木。一部国产剧就几乎是万人空巷。再也回不去那个时代。            
(NA)	 似乎看过            
(2星)	 我才几岁啊，就陪父母看这个，囧~            
(2星)	 没印象太小了            
(NA)	 那时我多么小多么善恶分明来着==|||            
(NA)	 小时看的都没印象了            
(5星)	 悠悠岁月，欲说当年好困惑~~~~~~~~            
(5星)	 在我妈肚子里看的。            
(5星)	 我妈生完我不能带我，当时就放这个渴望，里面有个不能跟妈的小姑娘叫燕子，我妈就看着这电视剧流眼泪。她说她想我。            
(4星)	 王亚茹一度是我的噩梦！            
(3星)	 谁人不知刘慧芳            
(3星)	 当年的五星，但是人性。。。            
(4星)	 小时候家长的最爱            
(5星)	 哎呀我的声乐启蒙            
(NA)	 我的印象不深，但我爸说过“这是一部万人空巷的电视剧”            
(4星)	 幼年仿佛家家都在看该剧吧……            
(NA)	 看它都是小时候的事儿啦            
(NA)	 悠悠岁月..你说当年   一听这歌就想洗脚            
(4星)	 小时候会唱那主题曲 现在却不记得            
(3星)	 哎哟妈呀，我妈妈大爱            
(4星)	 小时候看过 已经不记得了            
(NA)	 可能是我看过最早的电视剧——那会儿话都说不清楚，拼不出“渴”字——爸妈老是当笑话讲            
(NA)	 好吧 我承认我记性很好。。。。。。悠悠岁月~~~~你说当年好困惑~~~~            
(NA)	 老妈一直念叨不忘的             
(4星)	 小时候可是人人都爱看啊~            
(4星)	 悠悠岁月，欲说当年好困惑            
(3星)	 太经典的电视剧了！            
(4星)	 苦情戏典范啊            
(3星)	 忘了，但觉得很煽情很恶心            
(NA)	 爷爷爱看的            
(NA)	 大片！            
(4星)	 轰动一时的经典            
(4星)	 这是豆瓣推荐上看到的，不是我自己翻出来的啊，怀旧，怀旧一下            
(NA)	 中国人一直在--渴望。。。。            
(4星)	 从头到尾没有坏人的一部剧集，可是感受到每个人都是活在压抑之中的。。。            
(NA)	 听我爸说我小时候会唱这主题曲- -            
(5星)	 最近电视台又在播了。            
(4星)	 20年前的老片了，人心美好。妈妈爱看。一遍又一遍            
(4星)	 很小的时候。家里在看            
(4星)	 当年那个一红火            
(3星)	 好老的了            
(5星)	 幽幽岁月,你说当年好困惑......小时候拿来玩过家家滴电视剧            
(NA)	 痛恨            
(4星)	 童年记忆里片尾的大摆钟。            
(3星)	 说到&lt;渴望&gt;其实我是没有太多的映像,只记得那首主题曲怎么唱.因为那是太小,是因为老妈在看所以就被动接受很多关于&lt;渴望&gt;的信息.但是,片子本身还是不错的.只是由于年代久远的关系,如今看来,就不是那么好看了.            
(NA)	 渴望            
(4星)	 记得小时候妈妈看了好多遍            
(4星)	 妈妈辈的经典。            
(3星)	 小时候播的，不过太小没印象，应该当时1岁多把，不过主题曲至今有印象            
(NA)	 记忆中大家围坐在桌边看！不懂的小孩子也是！            
(3星)	 应该可以把 我妈妈可爱看了 我小时候也跟着看完了            
(NA)	 谁能苦过刘慧芳            
(3星)	 俺外婆家的人都叫俺小芳，据说俺也是被娘捡来的            
(NA)	 原来凯丽阿姨姓张..            
(4星)	 王朔还能写出这种类型的            
(4星)	 全民电视剧的年代。            
(4星)	 当年全体国民集体看《渴望》的场面，至今记忆犹新。不过老实说，有些情感我是不能体会的。毕竟我那时也不过就是个屁大小孩儿，没经历过那个年代。尽管如此，我也看过好几遍。            
(5星)	 童年啊童年            
(4星)	 那些年和妈妈一起看的电视剧             
(3星)	 不记得情节咯……            
(4星)	 四个字形容它当年有多红，万人空巷！            
(4星)	 能算看过吧，极其小的时候我奶奶跟我说我看过而且还会唱主题曲- -            
(3星)	 悠悠岁月，欲说当年好困惑……            
(NA)	 这个貌似是幼儿园的时候放的。。。            
(5星)	 上世纪90年代的经典            
(NA)	 片头片尾两手曲都很红。            
(NA)	 主题曲我还会唱！！            
(3星)	 苦情戏            
(3星)	 悠悠岁月，你说当年....毛阿敏            
(4星)	 我记得奶奶老带着我看这个，我觉得剧情很乱啊。。            
(4星)	 当年老妈一个劲儿在家里唱那主题曲  烦死&gt;_&lt;            
(3星)	 记不得情节了，第一次完整唱下来一首主题曲就是它了            
(3星)	 这个居然还有imdb的。。。            
(4星)	 当年万人空巷的电视剧啊            
(5星)	 一切尽在不言中            
(4星)	 一直覺得劉慧芳這個人物是“可憐之人必有可恨之處”。            
(NA)	 2010-11-27            
(3星)	 没什么印象了，除了主题曲。            
(5星)	 这个估计是我看的第一部电视剧了。            
(4星)	 妈妈爱看            
(1星)	 善良的人啊，你可知善良也应该有底线，否则就是滋长了那阴暗里的恶之花            
(3星)	 主题曲洗脑啊....王户生挺英俊的...            
(4星)	 印象里很爱看……            
(4星)	 陪老妈看的~            
(3星)	 属于我妈的记忆            
(3星)	 抢不到的黑白电视            
(5星)	 好看，虽然是很小的时候看的了，很感人哦            
(4星)	 老妈最爱！            
(4星)	 还记得看渴望，刚开始用彩电看，后来家里被盗，电视丢了，就用黑白看            
(5星)	 我记得看这电视剧时..奶奶在世的吧...            
(3星)	 据说我看过，还很迷。。。            
(NA)	 唯有渴望二字說盡無數。            
(NA)	 小时候最讨厌的电视剧！            
(4星)	 当年的万人空巷            
(NA)	 万人空巷啊            
(5星)	 伴随初中岁月            
(4星)	 關於電視劇最早的記憶應該就是這個了吧。。全家人每晚守在電視前~~            
(3星)	 难看            
(4星)	 记得我娘每天对着电视哭            
(NA)	 小时候跟爸爸妈妈一起看            
(3星)	 我想说的是 我看的电视剧真多 = =             
(5星)	 那时的歌词总是和撩人！            
(5星)	 鉴于留下那个时候看电视的美好回忆 即便多半已经模糊 依旧要给五颗星            
(3星)	 让我想起我奶奶。            
(1星)	 好久看过几集吧，听外婆唠叨这个片子            
(NA)	 王沪生……            
(2星)	 惨绝人寰            
(3星)	 太年幼，不知道情节了，只记得万人空巷看渴望。            
(3星)	 “好人一生平安……”就记得歌了 还有李雪健猥琐的脸            
(4星)	 记录它是这电视剧中有妈妈的味道。            
(4星)	 记得当时我老妈我外婆都看得眼泪汪汪的～            
(4星)	 很小时候陪我妈看的            
(4星)	 看了一点点            
(3星)	 我当时还小，没跟着大人一起共鸣~            
(3星)	 纯粹是混着大人看的            
(NA)	 悠悠岁月~~            
(4星)	 我的懵懂的孩提时代的回忆~            
(3星)	 当年这片子很火            
(3星)	 童年...            
(4星)	 这个片子深深影响了我妈 和我的睡眠质量 干吗大半夜放 总是i            
(4星)	 我只记得我小时候喜欢唱那首歌            
(5星)	 渴望              
(NA)	 小时候，不懂电视，但是母亲她们很喜欢看，但我对她们曾经的痴迷记忆如新。            
(4星)	 老妈的最爱            
(4星)	 好人一生平安！            
(4星)	 年幼懵懂时播放的著名国产片。            
(5星)	 中国电视剧的巅峰作品之一            
(4星)	 苦啊。。            
(3星)	 饭点。。。            
(4星)	 好人一生平安            
(3星)	 太悲剧，太压抑了。。。            
(3星)	 当时还小，，只记得那首主题曲            
(1星)	 伪善的中国人 多少是受其荼毒长成现在这个样子的            
(4星)	 室内剧先河            
(3星)	 童年的回忆~~~~            
(5星)	 貌似可以作为一个文化标志的电视剧了            
(4星)	 我姥姥特爱看。            
(3星)	 当时我在上幼儿园，看的懵懂的哦            
(3星)	 小时候跟妈妈看得，剧情已经忘得差不多了            
(4星)	 时代的背影，越拉越长如果你生于85年前，应该对这部片子很有感觉，记忆很深            
(3星)	 记忆里那首歌，大街小巷            
(4星)	 好女人刘慧芳            
(3星)	 八几年风靡大陆。            
(5星)	 情节记不清了,记得当时一集也不肯落            
(5星)	 虽然原始，毫不粗糙            
(3星)	 那个年代的标志产物            
(NA)	 很少有的经典            
(NA)	 看过，但也快忘了            
(4星)	 小时候跟我妈一起看的，没啥印象了，不过记得是个经典            
(3星)	 童年跟着大人看的已经忘了剧情            
(4星)	 曾经的最爱~有快二十年了吧            
(4星)	 小时候也看不懂.但是家长每天都看.            
(3星)	 多少年了            
(3星)	 王朔……            
(4星)	 当年还是很认真地看玩了，而且对那个坏蛋很气愤的说            
(4星)	 刚出生时看的~嘿            
(4星)	 说实话，记不清了            
(5星)	 是我妈的大爱吧~哈哈            
(4星)	 记得妈妈很喜欢看.            
(3星)	 这个怎么能说没有看过呢。。。            
(3星)	 我还小，看着惠芳木觉得很有母性的样子            
(NA)	 我肯定看过。            
(5星)	 我的天，回忆。            
(4星)	 那时的回忆，经典的家庭剧            
(2星)	 对所有矫情的所谓正统电视剧感到恶心            
(4星)	 我好像还记得主题曲~            
(3星)	 当时人人看渴望。。。            
(4星)	 1988年05月01日            
(NA)	 记不太清了 幼儿园时的电视剧            
(4星)	 天啊~连这都有~            
(4星)	 曾经的经典            
(NA)	 那年我3岁？我3岁就开看家庭纠葛的泡沫连续剧了。。。            
(NA)	 中国第一部家庭伦理剧            
(4星)	 唉，看得人声泪俱下            
(5星)	 对80年代有情结            
(4星)	 那是还太小，印象不深            
(4星)	 只记得妈妈爱看，那时候也跟着一起看，可就啥都不明白，也没看明白啥            
(3星)	 悠悠岁月,你说当年好困惑~            
(5星)	 老妈最爱看的电视剧，从小跟着看了N次。            
(3星)	 看过，不记得情节了            
(3星)	 嘎老的片了            
(NA)	 印象中是苦情戏            
(4星)	 恩。。我爸长的特像王沪生            
(NA)	 渴望            
(3星)	 中国第一部国产电视剧            
(3星)	 都忘了            
(3星)	 那里面的女人，多么善良呀．            
(5星)	 小时候            
(NA)	 时间太久，印象已不深了。。。            
(NA)	 小时候啊            
(NA)	 最近又看了遍            
(NA)	 剧情不记得了就记得小时候跟着我娘看过。。。            
(5星)	 小时候和老妈一起等待的..            
(5星)	 不记得了            
(5星)	 我人生第一部看的电视剧            
(3星)	 悠悠岁月，欲说当年好困惑            
(4星)	 怀旧片通通加分            
(5星)	 曾经的记忆            
(NA)	 应该算看过吧，反正主题曲很熟悉了            
(4星)	 剧情真的不记得，但是记得我的三岁……            
(3星)	 看的时候还小，体会不了            
(NA)	 妈妈超爱的，那时太小了，以致什么都记不起来了            
(3星)	 记得那时年纪小~            
(3星)	 只记得好了，不记得剧情。            
(4星)	 话说这个很久远了。            
(NA)	 谁诶能告坳诉我喔~是对诶还是错喔~            
(3星)	 啊```介就素童年            
(3星)	 对媒体的记忆好象是从这里开始的。。            
(NA)	 记的这部电视剧最早还是N小的时候，夏夜村西的场里，村里的姐姐们睡觉前热烈讨论的话题~~ ：）还有红楼梦，可惜偶没有深读过~~ 唉~ 可能都没有机公了吧？ ：（            
(4星)	 好像印象里看得第一部电视剧就是这个了。            
(3星)	 当年红遍大江南北，不过苦情戏不适合我            
(3星)	 看的时候太小了，实在没什么深刻的印象            
(4星)	 我妈我姥姥都爱看，没办法就只能跟着看            
(3星)	 万人空巷的电视剧            
(5星)	 不多说什么。出国那么多年，还是感觉这部电视剧真的是最棒的国剧。太棒了。其实国剧非常优秀。最近这些年精彩经典的电视剧越来越多。希望大家都支持国货啊！            
(5星)	 情感的印记            
(4星)	 很小看的，什么都记得模模糊糊，而什么又都不记得～～            
(3星)	 这才叫真正的万人空巷...可惜我忘光了            
(NA)	 其实我只记得主题曲了= =            
(3星)	 当时大家都看，我就跟着看了，没有神秘感觉            
(NA)	 主题曲印象深刻            
(3星)	 贡献了很多。。眼泪            
(NA)	 和老妈一起看的～ 那时候我才两岁～            
(3星)	 到了渴望的点儿，几乎能有万人空巷的盛况。            
(NA)	 只记得当时老妈看一次哭一次…还记得有人说女主角是受压迫妇女的典型…            
(5星)	 当时觉得真长            
(4星)	 好长好长            
(NA)	 我小时候肯定看过,不过剧情忘光了            
(3星)	 大陆肥皂剧的鼻祖            
(3星)	 不喜欢            
(5星)	 9.0            
(3星)	 小时候和妈妈一起看的，但是完全不记得了            
(4星)	 王沪生…………谁说沪生都是这样的啊！！            
(5星)	 渴望，是我出生后会唱的第一首歌            
(4星)	 街头巷尾都在讨论这部剧的时候我还小，跟着大人看了几集，对音乐印象很深刻            
(5星)	 经典的国产剧，类似现在的韩剧。。。            
(5星)	 渴望，好人一生平安            
(NA)	 陪奶奶一起看            
(5星)	 那时候红了全中国吧，呵呵            
(3星)	 悲苦            
(5星)	 只记得跟着老妈一起看的，印象最深的是老妈边看边流眼泪。            
(4星)	 麻麻到现在还想多看几次            
(4星)	 五岁的时候，就记得主题歌了            
(4星)	 浓重的中国风味，王沪生毁了我们魔都男人！            
(5星)	 我在2岁的时候看过！真的！老妈老怀念这个了！            
(NA)	 想当年风靡的时候我还尿床呢！！！            
(4星)	 在我印象中里最早的国产电视剧            
(NA)	 才六七岁的光景看的，还依稀记得那首主题曲：悠悠岁月，欲说当年好困惑......            
(4星)	 第一部国产剧阿门            
(5星)	 还是小时候看的呀，那么那么温暖的记忆            
(NA)	 只记得主题曲的儿时回忆。。。有过多少往事，仿佛就在昨天。。。            
(4星)	 姥姥最喜欢了~            
(4星)	 贤惠如慧芳            
(NA)	 好像记事后看的第一部电视剧            
(4星)	 跟着爸妈一起看的 首播那会儿我刚生没多久吧 据说我爸妈特喜欢这部剧 后来再播的时候依然很红 情节不大记得了 但是片尾曲印象非常深刻            
(4星)	 跟着我妈看的            
(4星)	 那个哭啊            
(4星)	 其实偶不记得神马了，只记得奶奶说“哎哟，作孽的了，苦是苦的了，哎哟，个人坏是坏的了。。。顶顶坏”            
(3星)	 其实我已经完全不记得剧情了，但是我家的磁带里有我三岁时唱的主题曲，还有我妈每次提醒说我看这部电视剧时的凄惨样，这都是活生生的证据            
(5星)	 想想那万家灯火，好人一生平安            
(4星)	 当时来说，万人空巷            
(4星)	 今天怀旧来了            
(3星)	 大陆电视剧的传奇啊··            
(3星)	 感觉是我刚记事那会全国都在播的电视剧，内容全忘光了，但我爸妈都爱看            
(4星)	 小时候的经典，万人空巷的那种            
(3星)	 现在经常听到垃圾车的音乐还是渴望。。。            
(5星)	 据说是中国情虐大戏的鼻祖。            
(4星)	 每天跟妈妈一起看。            
(4星)	 只记得看过了……            
(3星)	 那个时代也许是我所不能理解的，但有时也会喜欢那个时代的故事，和那些有故事的人。            
(3星)	 小时候，记忆里很深刻的电视剧，不过只记得名字了，不知道故事讲了啥，一嫁人的艰辛生活咩？            
(5星)	 也是妈妈的爱，这剧挺感人的。            
(3星)	 好小的时候看的，剧情多半不记得，只记得主人公是谁，那首满大街的主题曲还有那个滴着水的龙头。            
(5星)	 小时候那个万人空巷啊            
(3星)	 我還會唱那個歌            
(3星)	 这片搁到现在就不可能红。三星给片头片尾曲，歌词很有水准。            
(5星)	 那个时候，家里刚刚买了彩电，为了看亚运会。啊，不敢想……岁月是把杀猪刀。            
(3星)	 善性之模本，然，尽似则乏也。            
(4星)	 当时都不知道是什么意思            
(2星)	 傻女人，真正的好女人不是这么做的，老妈喜欢看跟着看了无数遍            
(3星)	 不记得了 但一定看过            
(3星)	 当年的苦逼电视剧...            
(NA)	 我妈的最爱            
(3星)	 跟爸妈一起看的，歌还会唱呢，剧情记得一点点。            
(NA)	 天呐，终于到头了。。。还愿完毕            
(5星)	 播这部剧的时候还太小，没什么印象了。            
(4星)	 饺子 - - 饺子             
(5星)	 有天大人们聊天说到《渴望》了，然后我说我也看过，我爸特鄙夷的眼神，对妈妈说：“我们看的时候有她吗?”哼哼。。。。。。真的有我啊，要不我怎么知道大成呢。反正你们看了好几遍的，没准最后一次我在了就            
(4星)	 当时觉得优美，有许多优秀品质。而不知道在什么地方克住了，不能算至境。怀着希望以为后来作品，必有进化。谁能料到今日荧屏的水平咧。            
(3星)	 当年万人空巷的神作。没看全。            
(5星)	 是姥姥最爱的那部剧。            
(4星)	 主题曲····            
(3星)	 去年电视重播看的            
(3星)	 家喻户晓经典国产电视剧…            
(3星)	 小时候很烦这个  老是卡在动画片前面放  等得烦死！            
(NA)	 小时候为数不多的国产电视剧。            
(NA)	 这是中国最早万人空巷的电视剧吧，人人都看啊            
(3星)	 当时啥也不懂            
(5星)	 幼儿园时候看的~= =！~            
(NA)	 我看过,留个爪            
(2星)	 那个时候，请原谅我看不懂= =，光知道看了一脑子鼻涕泪花儿的，应该难看吧。。            
(4星)	 看了N遍~            
(3星)	 纠结            
(2星)	 在妈妈怀抱里看的，那时候还在襁褓中吧，所以没什么记忆了            
(NA)	 第一次认识电视            
(3星)	 那个年代的悲剧啊。。。            
(3星)	 小时候跟着我妈看。剧情都忘完了            
(4星)	 只记得王户生很不好            
(NA)	 小时候在姥姥床上看            
(4星)	 开始看渴望了……= =            
(3星)	 就记得小时候每天晚上都想办法拖着晚点睡觉，能看上几眼渴望，可是长大了再来看觉得其实也一般，远没有同时代的其他电视剧那么刻骨铭心            
(5星)	 怀了个旧的            
(5星)	 1、当年可以产生共鸣的美好事物，在今日却是批判的伪善对象，令人作呕。2、20年，社会观念的变化是如此之大。3、但凡出现大的问题，基本可判定双方都不靠谱。4、我很想对王沪生做一些变态的行为，真的。5、想起前不久看张凯丽在裸婚时代里的角色，说不出的一种滋味。6、门不当户不对绝对是一种挑战。            
(3星)	 永远记得的是那个小丫头，一进屋就拿起茶壶喝水的情景            
(3星)	 这个······不多说了，地球人都知道            
(4星)	 那时候还小            
(4星)	 苦情剧，没经历过文革，可能体会得不深。            
(4星)	 渴望。            
(5星)	 替我姥姥给五颗星,她就爱看这个.            
(5星)	 还记得最后叩门的那只手……            
(4星)	 作为90后我都看过这个，，，NB吧            
(3星)	 小时候我可是一听主题曲就转哭为笑啊            
(4星)	 当年才六岁，只是知道万人空巷，但是看看剧情简介就知道现在的大多数电视剧的艺术水平降低到什么层次了。            
(3星)	 我还记得里面几个人叫布尔什维克。。。            
(4星)	 我是90后，不知童年的什么时光，那时是江西电视台播的，一家人在午后端坐在电视机旁，别提有多伤感了            
(4星)	 片尾曲 片尾曲 永远忘不了            
(4星)	 喜欢那首主题曲            
(4星)	 王朔编剧            
(3星)	 小时候跟着妈妈一起看，虽然不懂，哈哈哈            
(4星)	 矮油 这个是我几岁的时候和妈妈一起看的呢            
(3星)	 儿时            
(5星)	 我念旧            
(NA)	 跟着我妈看的···            
(3星)	 印象中妈妈很爱看，然后偶尔跟着一起看。            
(5星)	 主题曲响起的时候，我想奶奶。            
(4星)	 我特别不明白我家家长怎么这么喜欢这个剧……那个男的太孙子了！            
(5星)	 多年以后还跟着爸妈重温了一遍            
(4星)	 情节不记得了……小学课本上用万人空巷为《渴望》造句            
(3星)	 模糊的剧情了，只记得刘慧芳            
(4星)	 lang lang ago            
(NA)	 喜欢            
(5星)	 毛阿敏的曲子印象刻画到脑子 了            
(3星)	 悠悠岁月，莫说当年好时光...            
(3星)	 懵懂到还看不懂剧情！            
(2星)	 在偶很小很小的时候。。。只记得素个很苦逼的女人，放到今天来看，圣母女主肯定被偶喷死了。            
(4星)	 当时轰动全中国的一部经典电视连续剧 一个时代的神话 童年的回忆             
(NA)	 谁能与我同醉，相思年年岁岁~~~            
(4星)	 真是受老妈影响，爱看苦情剧            
(5星)	 这部电视剧估计83年前的没人没看过            
(5星)	 很好            
(NA)	 哈哈，遥想前几年我给这个导演当过两天的助理            
(3星)	 记忆中最早的连续剧            
(NA)	 渴望音乐就很悲 老人家一遍遍看更悲            
(4星)	 好像昨天刚刚发生的            
(3星)	 那时候年纪小，不喜欢这样的调调，所以每当电视上一播出我就深恶痛绝            
(3星)	 当时觉得还行，现在。。。            
(4星)	 我只对歌有印象...            
(NA)	 论文电视剧            
(4星)	 小时候看的很纠结的电视剧            
(5星)	 陪老妈一起看的，只记得慧芳和愣大成            
(3星)	 = =            
(3星)	 太苦            
(4星)	 去世的外婆很喜欢            
(4星)	 当年的经典啊！！            
(3星)	 只要看到张凯丽，就想到这部剧！            
(4星)	 曾经万人空巷            
(3星)	 红极一时的电视剧，我全无好感            
(3星)	 经典过            
(5星)	 有过多少往事 仿佛还在身边            
(5星)	 那时我还读小学呢，全家都看，我就跟着大人看，记忆中挺火的。            
(4星)	 嫂子！！！！！！！！！！！！            
(5星)	 很喜欢这首歌            
(4星)	 I guess I didn&#39;t really understand a thing about it。            
(5星)	 那是个什么时代            
(5星)	 悠悠岁月            
(NA)	 = =            
(3星)	 这个，  就真的是太老了。我琢磨着，这不是我们家才有电视机的时候播放的吧。那时候没有自主权，也不懂啥。跟着大人一块看，也没啥印象啦            
(1星)	 妈妈应该是看过的            
(4星)	 童年回忆，经典            
(3星)	 那个时候渴望曾经&#34;万人空巷&#34;哦            
(3星)	 当时母亲爱看，自己很小很小，还记得主题曲，还会哼几句            
(4星)	 那个年代，人与人之间那时的感动和温暖            
(3星)	 父辈们的最爱- -            
(3星)	 小学时……            
(5星)	 太具时代色彩            
(NA)	 谁人没看过？！            
(NA)	 跟我妈看的            
(5星)	 老妈看了不下十遍的电视。。            
(5星)	 象征意义大于实际意义            
(NA)	 那时我得多小啊~ 记的我妈那时那个感动啊            
(5星)	 这真是一部好电影            
(3星)	 那时候我爸妈和邻居叔叔阿姨都很喜欢看，看完还热烈讨论。我太小，根本看不懂，对这种纯粹对话推动的片子完全无视。            
(5星)	 咳，以前的老片都是催人泪下的呢。。。            
(5星)	 生活中得人们，苦恼中的人们，幸福中的人们，希望中的人们，失望中的人们，期待中得人们，社会中的人们，自己不是自己，自己是社会的自己，是生活中的自己，是家庭中的自己。            
(3星)	 只记得老哭            
(4星)	 当时和母亲一起看的...            
(3星)	 就记得蛮悲的，可能国人喜欢看悲的是从这开始的吧。            
(4星)	 小的时候不懂            
(3星)	 跟妈妈看de            
(2星)	 几乎遗忘剧情            
(5星)	 万人空巷            
(5星)	 我90后都看过......            
(3星)	 貌似还是幼儿时期跟着爹妈看的            
(3星)	 我知道现在都不知道它演的是什么。            
(5星)	 儿时电视剧。            
(NA)	 只记得讲的都是很无聊的事情            
(NA)	 完全不记得也基本都没印象了。只记得当年很迷这部电视剧，而那时我还在上幼儿园。可以算是现存幼儿园时期为数不多的记忆之一。            
(3星)	 爷爷奶奶爸爸妈妈大爷大娘姑姑姑父姨姨姨父。。。喜欢到不行的电视剧。。。            
(2星)	 我完全不记得讲什么了，童年阴影，因为父母都看这个，我看不成别的            
(5星)	 我妈最爱            
(NA)	 我妈的最爱啊童年的回忆            
(3星)	 老妈当时天天追看，我也就跟着瞅了几眼。没经历过那个年代，看起来没感觉            
(4星)	 我妈说我有一条跟里面一样的被子 所以那条被子就这样被取名叫“沪生被子”            
(5星)	 貌似我那时候还尿炕呢吧，没印象，为了我妈打高分            
(4星)	 我妈妈喜欢的。嘿嘿。            
(3星)	 好人刘慧芳，万人空巷。            
(3星)	 太小的时候看的，完全不记得讲啥了            
(3星)	 小时候大人们百看不厌的经典            
(4星)	 老妈的最爱，好人一生平安            
