http://movie.douban.com/subject/5401730/	千山暮雪
(4星)	 刘恺威是儿时很喜欢的小偶像。第一次看他演的反角，真心从一开始就很想讨厌他，但又讨厌不了他，默默地爱着，不求回报，想报复却无能为力，谁能说他是坏人，他有什么错，只是不知道如何去爱一个不该爱的人。很喜欢他的妈妈，慈祥温和的太太。最后那张算不上合照的照片，让我哭了。            
(4星)	 依旧三观不正，但能把匪我那个三流原作洗白成这样编剧已经很难得了。刘先生的禽兽实在比小说萌一万倍！女主真的不错，姑娘瘦下来一定很漂亮。慕振飞才是真正看得透最聪明的人。求一家三口新家HE续！求下辈子禽兽振飞，悦莹童雪搅基搞拉成双成对！那么，微电影见。告别，只是为了下一次从头开始的重逢            
(5星)	 好看，太虐心了！可能女主有点肥，但演技还是不错的。越看越好看，推荐大家不要错过。            
(1星)	 乡土得这么有特色的电视剧还真不多见            
(5星)	 五分全部给男主~哈哈！            
(5星)	 剧情很紧凑，拍摄很唯美。女主颖儿美得很自然，很健康。请批评的人，要客观的评价，不要乱骂，注意个人素质。难道只有骨瘦如柴才算是美吗？            
(5星)	 应该说这么多年以来，这是唯一一部我追直播的电视剧，而且每个角色都很喜欢，尤其是萌兽和小兔，演绎的很棒。虽然结局真的开放式了，但这个剧给了我一段很难忘的时光，觉得遗憾的时候我就去看看匪大的幸福番外吧。            
(5星)	 电视剧剧情比小说丰满太多了。            
(3星)	 溫崢嶸無論是《錯愛一生》還是《別和陌生人跳舞》，亦或者是《澎湖赤衛隊》，都不是那種柔弱的讓人憐惜的女人，但我反而更傾向于這一類人。劉愷威什麽的，告別溫潤斯文這類詞，也算是轉型成功了。至於整體拖累這部劇的女豬腳，我就不想多說什麽了，呵呵呵呵呵呵呵呵呵。            
(5星)	 好久没有追看电视剧了，这部电视我是很喜欢的，刘恺威真的演的很到位，完美的诠释了一个用恨去表达爱的莫绍谦。编剧也算不错，虽然结局不是太好，但比起凌乱的倾世皇妃好太多了。颖儿其实长的也算清纯，蛮符合童雪的，确实是比较胖，服装也确实不够养眼，但也不至于那么看不下去吧。            
(3星)	 男主好像初恋。。。。好他妈斯文败类啊！！！女一丑胖到爆炸，嘴歪脸垂的！！！怎么红的！！！ps，陪老妈看的。。            
(3星)	 苦了大帅哥啊~            
(5星)	 佰度搜一下 万象film ， 第一个里面就有全集高清版             
(5星)	 佰度搜一下 万象film ， 第一个里面就有全集高清版。            
(5星)	 就是为了看帅哥            
(5星)	 5星全部给莫禽兽哟~~~~            
(5星)	None
(5星)	None
(3星)	 刘恺威《千山》            
(3星)	 我没有看过比这再言情的电视剧了。谁818女主是怎么选上当主角的啊？要演技没演技，要样子没样子，要身材没身材。。。啊~~~真是虐心虐身虐观众。刘恺威演的真不错。            
(2星)	 前面27集可以三颗星，最后结局太失望了            
(4星)	 超出预期，绝对超出预期。虽然童雪是胖了点，但是可爱。我本来就指望着温峥嵘和刘恺威了，没想到女主还是比片花里给力的。本来这本小说我不是很来电的，刘禽兽真心打动人啊，剧比小说虐多了啊！！！佳期如梦剧神马的都去死吧            
(3星)	 此剧最伤我心的地方是女主角，在芒果台做节目链接时，感觉不是那么胖，可是电视上脸彻底的婴儿肥。男主很有力量，抱着女主下楼梯，可能是拍摄镜头原因。但是呢，女主的服装品味！！！尤其是夏天穿的白色长裙那么单薄的材质配上毛片背心，还有蓝色编织围巾，品味也忒差了把。女配角服装都好很多。            
(5星)	 男主帅爆了~~~！！！演技也超好~！！！为了他也要看~~！！！            
(5星)	 果然看完小说去看电视剧，依然有痛的感觉，连结局都这么痛            
(4星)	 男主很帅！！！芒果很强大！！！            
(4星)	 小说不算特别出彩，只是爱那悲伤的调调，拍成电视剧后就走得更远了，我只是为了纪念逝去的青葱岁月。可是看着看着，里面的人都变得可爱起来，我想在别扭的爱情，它也是爱情，形态千变万化，或者身处过程中的我们不领悟，但是想起来了，却不需要去否定。            
(3星)	 虐得起 。桑不起啊 。            
(5星)	 莫绍谦太伤人了。             
(4星)	 一群互相折磨的傻逼，两败俱伤的戏码不停上演，我一边看一边骂他们傻逼，一边骂我自己傻逼。人哪，感情，都是后来居上的，可是能不能说的明白点，不要互相折磨，拿这片子，与你，共勉。            
(4星)	 非常好看！  男主角演技爆发，所有配角都很会演！帅惨了的禽兽嗷嗷嗷！            
(5星)	 结局太特么的虐心了==！莫绍谦这个角色演员还是选的不错的。            
(3星)	 一个萧山满足所有对初恋的要求，可惜抵不过禽兽霸王硬上啊。。。            
(4星)	 我倒是想看小说了~不想评价女一，刘恺威和温峥嵘一直是虐心派~稀饭            
(5星)	 看了此剧后才知道真的有人可以把禽兽演的淋漓尽致，也认识了刘恺威这位好演员。前欢后怒的表情一秒钟都可以转换的很自然，太牛逼了有木有！另外辛苦刘写生，剧中有N多公主抱童雪的镜头，这么高大的姑娘你都抱起来了！辛苦了！也要表扬下导演，只有小说里才能见到的情景都搬到电视上了,赞！            
(4星)	 看不下去了～不过编剧能把那样变态三观不正低级趣味的小说洗白成这样的电视剧已经是很神奇的了有没有～除了女一和弱智商战桥段，其它都还是不错的好不好。。。            
(4星)	 虐的我好想报复社会啊，大结局太让人难过了。            
(5星)	 莫禽兽hold住一部戏            
(NA)	 我为了看那个躺着也中枪，竟然把这部戏看完了！！害我被每个找我的人嘲笑好吗，我就这品味╭(╯^╰)╮            
(2星)	 谁选的女主角啊 这张挂门上辟邪 放床头避孕的脸。。。            
(1星)	 什么玩意儿……            
(1星)	 这个星星是给莫绍谦本人及他的的妈咪老婆和岳父滴，颖儿丑的我都不想看，脸长得那么奇怪，造型丑得像大妈，萧山怎么也是高知家庭，演的跟落魄文人一样，慕振飞毫无气质可言！            
(1星)	 MD有负星吗，，，史上最土B的女主角出场地球都抖三抖            
(3星)	 大家sm倾向都这么重么，为毛对这部后妈狂虐片这么感兴趣。。。女猪脚太丑，破坏气氛，一集弃之！            
(2星)	 请在极其不开心的时候或者犯贱想自虐的时候看！一颗星是让我低沉的朋友又欢快起来的。。。            
(1星)	 这尼玛是乡村故事么 活生生的农民企业家和村姑的狗血事件 乡土气息辣莫厚重啊卧槽 土得这么掉渣啊卧槽 笑得我眼泪掉下来好吗 我读初中的时候很喜欢看《甜孙爷爷》啊摔！！！！！原来那个羞涩的青年是刘恺威！！！！！刘恺威你肿么了！！！！            
(2星)	 烂啊！女主丑得惨不忍睹！莫绍谦的扮演者是刘丹的儿子刘恺威啊~以前《鉴证实录》，暗恋小唐菜的化验科的师兄，就是他啊~印象一直很深。            
(2星)	 性奴剧。泰国剧弱爆了  2星给刘恺威很不容易的演技 有句讲句  演技是好            
(NA)	  好大一个肉饼            
(1星)	 女主丑的惊为天人，各种搞笑，看的眼泪都笑出来了            
(3星)	 看匪的小说第一本 当时觉得很好现在想想果然是各种狗血 开播后维持三星 大脸妹360°看不下去……演技相当浮夸~配角们相当有爱啊~            
(3星)	 看见男主，想这应该是民国正剧，看见原配，应该是商业家族片，看见小舅子，应该是时装片，看见女主……赵本山怎么还没出场啊！！！这不是乡村爱情吗！！！            
(1星)	 狗血不解释            
(4星)	 虽然禽兽刘跟杨函数好上了，但是这个剧我还是挺喜欢的            
(4星)	 斷斷續續的只看了幾集和大結局~真夠虐!!            
(2星)	 湖南卫视就喜欢播烂片            
(4星)	 喜欢刘恺威和刘雪华。演技不错的几个演员把剧给撑起来了。            
(5星)	 很好看啊~剧情不弱，很多角色都很饱满，几乎很少有讨厌的角色~            
(2星)	 男主是冲动型人格障碍，女主是斯德哥尔摩综合征患者。剧情虽然狗血，但刘恺威演得不错！             
(1星)	 ！！！没有最差只有更差！！居然还有人给5分，千万告诉我是因为剧情！！！            
(4星)	 很明显 喜欢莫绍谦            
(4星)	 除了莫，其他人都是一起来看流星雨级别的。。。电视剧改动太大了，匪大的书改成的电视剧只有《来不及说我爱你》能看，因为男女主角都完美~            
(1星)	 好傻逼的剧情。傻逼的演技            
(NA)	 不扭捏会死啊！            
(3星)	 除了刘恺威和在传媒的景别的都去死吧！！！！！！！！！！！！！            
(3星)	 刘恺威好帅啊～～虽然这种故事看多了不利于身心健康～            
(3星)	 男猪脚应该是天蝎男            
(1星)	 真烂            
(2星)	 对于一个大腿如象腿的女主角我实在木有信心再看下去了！！！导演制片你们知道这是言情偶像剧么！！！！！            
(3星)	 好吧= =我觉得这剧挺好看的......因为我还有个叶听风的梦呢.....            
(1星)	 为了傲娇的床戏打1分，看不下去            
(3星)	 快进俩晚上看完 三星都给刘恺威            
(1星)	 看到赵高兴的那一刻就是我对这个剧彻底幻灭的起始。。。选的也太恶心了点。。。            
(2星)	 这女主的身材和相貌和演技也太惨绝人寰了吧。。。            
(3星)	 哎呦，，，女猪脚太他妈出彩了            
(3星)	 风信子餐厅给我吧。谢谢！            
(4星)	 女猪除了让男一收拾烂摊子别的真是一无是处            
(2星)	 好像里面有 傅文佩 ?            
(NA)	 其实我没看，我就是随便点一集进去看一下女主是不是真的像剧照里那么PANG——胖！果然是手臂快要撑爆风衣，腰粗得男主环抱不能，脸大得占满屏幕。。。据说还是88年的，我觉得我都不用减肥了。。。            
(1星)	 狗血的芒果台，浪费资源啊            
(2星)	 女主角实在不喜欢            
(1星)	 真是tm重口味力作！女主角演技和颜双双不给力！而且我怎么觉得她的脸时不时的就歪了...            
(NA)	 本来三儿这角色就让人想砍了她，居然还这么丑这么虎背熊腰...姑娘你确定你没有130斤?            
(3星)	 女主在里面真的觉得胖 但是她在围脖里解释了是药理反弹所以其实也不容易 然后就是这剧和小说改编得有点距离 然后 其实本来想给2星的因为看不大下去 后来还是多给了一颗星星 因为李智楠 加油吧             
(2星)	 虽然我喜欢看任何包养题材。但这个...            
(2星)	 慕咏飞你把童雪弄死，和莫绍谦好好过日子吧。。。女主角尊的是360°无死角的丑啊。。。            
(1星)	 看了两三分钟啊。这个女猪脚是投资方指派的吧。威神马不考虑一下观众的感受！！！就这货还让人包？也太看不起有钱人的品位了吧。。。            
(2星)	 我被女主打败 了。。。            
(4星)	 虐死这丑不拉几的小三吧            
(3星)	 和小说情节差别好大==            
(NA)	 看到女主那大马子我就虎躯一震            
(1星)	 好吧，女主真的木有让我失望，不过居然还有大叔级慕振飞，职业小黑黑造型师，算是小惊喜~~            
(2星)	 这尼玛什么烂童雪！又丑又肥又没演技！只有禽兽能见人！            
(2星)	 一星给温峥嵘，气场强大，虐死女一得了，一星给刘恺威，帅死了。            
(2星)	 实在不懂刘恺威有什么帅的，整得一副定格在蛋疼的表情。            
(4星)	 命里有时终须有，命里无时莫强求。一部电视剧，让人看到很多反思面，也不错。            
(4星)	 4星给威爷的            
(4星)	 刘恺威啊 你圆了多少少女的言情梦啊  ps配音拯救演技的又一最新力作            
(4星)	 莫禽兽撑起了整部戏            
(3星)	 除了小威威，没有任何值得推荐的点。            
(4星)	 鄙视瞎打分的傻逼们            
(3星)	 只看了几集。            
(NA)	 给这片好评的都发育没完全            
(3星)	 也是跟着寝室的听完的            
(2星)	 同学都说好虐  我肿么还木有发现            
(2星)	 对此不发表任何意见，烂的没法再烂了，糟蹋了一部精彩的小说。            
(1星)	 奇葩中的战斗机！            
(4星)	 主要看男人，啊哈哈哈、、、            
(3星)	 今天花了一点时间把这个电视剧看完了 不说了  女猪脚饰演的是是脑残吧？？？何止是笨啊            
(4星)	 加一星给编剧。            
(5星)	 那个女猪脚，是在是受不了。。。亮点是男猪脚啊男猪脚···口水            
(5星)	 TVB千年绿叶的儿子居然这么迷人，五颗星全部给威爷！            
(NA)	 女主角有点像亦舒笔下的女子            
(4星)	 男主演技屌气质好加2星、女二演技屌但发型老只加1星。女主脸上风平浪静的时候挺可爱，稍微有点表情就惨不忍睹，脸型和唇形都很尴尬，气质品味更尴尬，扣一星。是女主使童雪这个人物变得懦弱又缺心眼，还透着一股小三的贱味，失去了所有被莫绍谦爱的理由，以至于男一号的专情显得很荒诞，全剧毁于此。            
(5星)	 没日没夜的看终于看完了啊 虐到骨子里了啊 ！！！！！坐等续集微电影！！！！TAT            
(5星)	 虐得我肝肠都要寸断了            
(NA)	 这2B言情剧真他妈虐死人呐~~~            
(3星)	 太虐了.....            
(3星)	 女猪脚看久了还能将就吧。。。            
(2星)	 豆包的！！老妈都看了第四遍了还是津津有味！！我一天看不了一个钟头电视的现在连主题曲都会哼哼了！！够了。。。            
(2星)	 神经病的人生。。。            
(2星)	 吐槽得点太多了.......            
(4星)	 一星给女主忽胖忽瘦、土的无与伦比的服装带来的欢乐！一星给虐虐更健康！一星给禽兽美煞了的颜！一星给凯威的演技带给我的惊喜！            
(4星)	 匪我思存的后妈路线走得那是叫做一个坚定不移。心理预期放得太低了……看完结局真的好难受。            
(4星)	 好吧其实我觉得还行，除了造型80年代了点儿还有女主难看了点儿。。。            
(NA)	 刘恺威啊！叶荣泽啊！你红了！你演的禽兽男太有魅力了，这下不红不行了！            
(3星)	 因为传说中的演技帝看的            
(NA)	 真是手贱啊！！！！！            
(2星)	 典型的斯德哥尔摩症系列片子~作为商战片节奏太慢 作为言情片又太商业 女主不是一般的360度无敌丑能看完太佩服我自己了~片子拍摄的长镜头蛮漂亮的~~~            
(3星)	 男主身高各种好笑但是长得真心不错，渣的程度刚刚好，很带感（男主的长相还真是玉不琢……不成器……            
(4星)	 -。-男主就是心理变态。。。。            
(4星)	 如果说童雪、慕振飞慕咏飞还有赵高兴的扮演者让我大失所望，那么这四颗星有一颗是加在刘恺威的演技上，有一颗加在刘恺威唱的片头曲，有一颗加在刘雪华身上，有一颗加在我对剧情还有台词还比较符合原著这一点上。            
(1星)	 温峥嵘气场犹在只是美人迟暮，女主也太路人甲了，这样的脸也能演女一？            
(NA)	 史上最强360度死角淘宝风女猪，欢迎观摩以增加各位姐妹寻找帅哥的信心！            
(NA)	 更2            
(3星)	 尼玛啊，我是疯了吗？！我竟然看完了，看完了！！！            
(5星)	 我爱你            
(3星)	 挺雷的，但是因为男主太帅，我竟然忍了下来。男主的演技也很惊艳，可以有2颗半星星，最后半颗给女主出走那几集，有被打动的说。            
(1星)	 这部剧的中心是歌颂演员的敬业的：再丑的女主该吻也要吻。还有，有钱人也要节俭，能不买新衣服就不买新衣服。这是一部歌颂社会主义和谐社会的好片！额了个去！            
(4星)	 缺一星是因为“童雪”这个角色感觉不对。            
(4星)	 现在都流行大叔配萝莉~~不过话说回来~~刘恺威真男人            
(3星)	 言情剧拍成这样算是有进步了            
(3星)	 我只是为了匪我思存打三颗星。虽然刘恺威所演的演出了我心里那个莫绍谦。仅此而已。            
(4星)	 没下限了好么！！            
(NA)	 薄薄的嘴唇.            
(NA)	 放棄！            
(2星)	 我就喜欢看貌似纯良的小媳妇被人骑着毒打，不管那个是个禽兽男还是恶婆婆。PS：最近老在桑感的想，如果毕业了，没了寝室的姑娘们，就不会再有人兴致勃勃的拉我一边看一边吐槽国产剧了啊啊啊！！            
(3星)	 三星都给刘帅            
(1星)	 完全被惨不忍睹            
(1星)	 看见男主，想这应该是民国正剧；看见原配，应该是商业家族片；看见小舅子，应该是时装片；看见女主……赵本山怎么还没出场啊？？？这不是乡村爱情吗！！！！！            
(1星)	 石延枫 你还记得那年三年八班的蓝菲琳吗…… 本来千山暮雪这书就不咋好看 电视剧更那啥…… 而且女主角还选烂了 慕振飞选的演员也太……= =            
(3星)	 刘恺威也是注射了防腐剂好不好！            
(1星)	 这是有多土啊，cc说那个海边小屋是sketchup拉出来的吧            
(4星)	 2011•11•5            
(1星)	 就那样吧。。就看了几集。。看不下去了- -            
(4星)	 ……虐恋..男猪演的不错，女猪...啊- -去你妈居然是悲剧你丫！！！            
(5星)	 压抑 沉重 终于过去了 忍一忍都会过去的。            
(2星)	 怎么能用一个丑字内形容女猪脚?!``哎``一声叹息`            
(NA)	 亮了亮了！            
(1星)	 挖了个大槽，好不容易快进看完，觉得造型师一定和女猪脚有仇，想要对终于刷新史上最丑女猪脚且相信长时间不会被超越的颖儿说：姐你就洗洗头吧            
(3星)	 女主角真的太胖了！！！            
(3星)	 女主长那么丑 真是苦了男主要集集亲她了            
(3星)	 你们不要鄙视我，我看完了这个。虽然剧情跟我小时候看的口袋书没什么差别，但是刘恺威的卖相还是不错滴~~            
(4星)	 不管怎么样 值得一看！            
(2星)	 女主角居然长着一个死亡之翼般的大下巴，这是闹哪套？            
(5星)	 给刘恺威五颗星            
(5星)	 女猪很丑但遭遇真心惨啊 爹死妈死被舅舅卖被xxoo被流产...哎哟喂，幸好禽兽是个极品大帅锅...            
(2星)	 在家趁机看了几集…你妹的我那些追不下去的日剧简直弱爆了！这里面的人已经不能用活的纠结来形容了啊，拧巴该怎样偏不怎样，哭哭哭，哪来那么多爱恨情愁啊我去…            
(2星)	 第一集的大粗腿~第二集的破绿毛衣！！！湖南台是要闹哪样啊？            
(5星)	 这片子居然让我对国产小言产生了一丝丝信心 本来想打3星的 但看见那么多1星党 果断5星了~            
(5星)	 今年最好的网络言情改编剧，嗯，没有之一            
(5星)	 是我这么多年追过的第一部电视剧，男主超赞，女主挺清纯的，为什么那么多人骂她呀？            
(5星)	 痛到深处仍会爱 他还算一个人 因为他会爱 刘恺威的演技 绝了             
(NA)	 男主很帅~可是我实在受部了那女主了~10集就弃了            
(NA)	 男主角的嘴好看啊～            
(5星)	 平心而论：如果满分是100的话：颖儿同学在肥的状态下又乱穿衣，的确把童雪给毁了一把~~~这是毋庸置疑的。当然这不是偶像剧，那努力无视她的造型吧……演技什么的稍微有点吧，给个……70……刘同学帅气演技又好，把禽兽演到骨子里去了，非常完美，给整个片子增彩添色，给100+10            
(4星)	 前天晚上看到网上对女主角的各种差评才开始看，一开始就觉得这部戏各种恶心，各种劣质，从第三集开始劳资就彻底沦陷了！刚刚完整的看完了，真心觉得剧情很不错。            
(3星)	 消磨时间良品，故事俗套。            
(4星)	 演刘悦莹的那个女孩好像小时候的黄奕。            
(3星)	 刘恺威的莫禽兽本来是值五颗星的，可是诡异女猪脚跟乱七八糟的节奏硬生生拖后腿了两颗星。。。不，是女猪脚导致这片子有可能变成负。。。            
(2星)	 莫禽兽真是帅啊。。女猪这算是有斯德哥尔摩综合症咩。。。            
(5星)	 虽然女主的扮相雷人，结局和小说一样坑爹。但作为改编剧，这部剧非常之靠谱。             
(1星)	 什么电视剧啊 唉            
(NA)	 女主令人出戏。。。            
(4星)	 之前没抱多大希望，看了之后失望，但继续看感觉还行。            
(5星)	 要能有个番外来改改结局多好。            
(3星)	 虐            
(NA)	 其实女主角只是脸有点胖，那是因为服装不搭，男主角确实很棒。。。。。            
(3星)	 其实吧，这电视剧除了女主丑点，比起来不及说我爱你，以及倾世皇妃来说好太多了（话说倾世皇妃是雷母级别的）剧情安排的也算紧凑，除了男女主惨不忍睹，一干配角也都很有爱啊~~~特别是慕家两姐弟，很有感觉么！这剧也算是迄今为止我们家吃饭时看的时间最长的电视剧了。。。            
(1星)	 女猪脚太残了，衣服、景都好糙            
(2星)	None
(NA)	 就想看看被剪掉的那两集……            
(3星)	 擦，怎么这么个坑爹的结局。            
(5星)	 最开始因为看了小说，所以一直很期待这部戏，虽然女主一开始看着是有点胖，不过看到后面越看越顺眼了，刘恺威很帅，演技也不错，期待他的更多作品            
(4星)	 大爱莫绍谦啊~            
(4星)	 刘恺威！            
(5星)	 虽然结局不好，但是冲着男主，也得给5分            
(4星)	 商战太小儿科了，刘恺威演得不错，特此给四星。            
(5星)	 男一和女二的演技自然不用说的了，很厉害。女一虽然风格与原著出入极大，但按编剧改编后的剧情和感情线路（细节）发展，算挺好的。造型是蛮特别的，不过背景、主演及非主演的演技都是亮点，超出一般的言情甚多。            
(5星)	 很久很久没有这么喜欢这样一部电视剧了~多想有个完美的结局~            
(5星)	 其实女主角是越来越好看，挺不错的。            
(5星)	 哎哟妈呀最后一集了还要搞的这么虐，要虐死啦。莫绍谦太悲剧悲剧。你丫丫的个死童雪走也走的不省心还要伤害别人人家莫绍谦最后不还是去了警察局自首的嘛。TMD我爱你三个字粗现的时候还真心感动了。结局这么桑感害的我满期待有第二部的粗现 。/(ㄒoㄒ)/~~            
(3星)	 虐！            
(4星)	 刘恺威卜禽兽啊，他那么的保护童雪，爱着童雪，如果不是他们爸爸的关系，他也不会用那么另类的方式爱童雪，所以能相爱的就快爱，像他们那样，想爱却被很多阻挡着，所以，童鞋们，珍惜身边爱妳的人和你爱德人            
(4星)	 我就说最后结局是女主在机场看到没有发出的一条我爱你泪如雨下。为男主加颗星~            
(4星)	 个人感觉这样的内地剧算不错的了，至少我从头看到尾，还被男主感动到流泪            
(4星)	 推荐的这颗星，因为刘恺威            
(4星)	 这剧是虐男主来的吧，不过冷面腹黑专情男很有爱有木有！            
(4星)	 星是给男主的。越看越像……            
(4星)	 很虐心，很好看~            
(4星)	 我已深深迷恋你            
(5星)	 封缄以吻 焚身赴爱            
(3星)	 被莫绍谦深深地吸引，虽然我是男的。            
(4星)	 啊啊啊啊啊啊啊啊啊啊啊老紙不喜歡這樣的結局！！！！！！！！！！！！！！！            
(5星)	 今晚大结局，想起看小说的时候，是高考前一个星期，而现在大学都要毕业了。            
(NA)	 痴肥。。。            
(NA)	 最后好虐！破结局！！            
(5星)	 女主胖嘟嘟看着挺健康的，比锥子脸好多了。莫禽兽演得真好啊，特别是眼神啊。感觉比书要好看。很多人物的内心戏到电视剧里就丰满了。            
(1星)	 我不小心看了一眼，就一眼啊！女猪脚你能不能再丑一点呢？答案是完全不可能！！！！            
(1星)	 简直没有一点可取之处，无论是演员长相还是台词....其他的就更不用提了...最令我难以忍受的是台词，随便拎出一句就累死人了，如下——【男主：你竟然这么大胆穿我的衣服】【女主呆了几秒，回道：我是你的，为什么不敢】尼玛你以为我会赞美你不向恶势力低头咩！！！！尼玛你瞅瞅你的大饼脸好吗！！！！            
(5星)	 编剧功力盖世，超度原著了……呼……            
(1星)	 没有演技，没有长相，还要打肿脸充胖子唱主题曲，一部选错了女主角的雷人剧！            
(3星)	 那谁谁谁和谁谁谁真帅！！！            
(4星)	 几乎回归原作~和喜欢书一样喜欢。            
(1星)	 尼玛看完原著以后立刻看电视版立马被雷翻好么！            
(1星)	 毁剧不断。            
(3星)	 女主真的不能再差了， 好几次我都是拿桌布遮住女主只看男主。。。刘恺威太帅了演技也好，花痴ing~~            
(3星)	 除了男主角，无一给力。女主角还能再胖一点，再丑一点...别一下子就让我觉得是潜上位的好吗！！            
(3星)	 爱他就虐死他。            
(1星)	 我擦，女主真的是好不好看啊            
(1星)	 大家参见小言写的《傲君索情》            
(5星)	 我发现和男人帮比起来我更喜欢这个剧！！！难道是因为太太太不待见米莱了吗？？            
(2星)	 拍一本烂一本 算了            
(2星)	None
(NA)	 太虐了·~受不了。            
(3星)	 莫绍谦是莫绍谦，童雪不是童雪。            
(NA)	 做作之作            
(1星)	 无语凝咽            
(1星)	 这个cast让人情何以堪？？？这要被潜成什么样儿才能演女主啊！！！！温峥嵘还不错，很符合蛇蝎女的形象            
(3星)	 真虐情。            
(NA)	 哈哈哈哈哈哈哈哈            
(2星)	 ……实在不喜欢，我都不知道这个匪我思存是肿么红的            
(4星)	 已经很不错了 ~            
(4星)	 虽然吧，女主有点儿小胖、但是也没什么啊.就是结局。哎..让人遐想            
(1星)	 一星给温峥嵘，气场太强大了，直接虐死女主吧！刘恺威你个无演技的面瘫姜丝男……发型笑死人了！剧情改动太多，全部是在洒狗血！！！不过编剧有一点很让我膜拜，你妹的为了不让童雪成小三你真是煞费苦心啊！！连“协议婚姻”都出来了，你妹，老莫和正妻连结婚证都没扯！！！坑爹啊！！！            
(1星)	 挑战内地偶像剧女主丑的下限。。。。。。。。可怜了优质男主            
(4星)	 虐心腹黑神马的最喜欢了！            
(4星)	 “找到一个爱你的人不算运气，找到一个爱你爱到愿意牺牲自己，就算被误解也要保护你，才算是运气”。禽兽你想干什么呀，最后两分钟生生被你虐哭啊~~~比原著小说虐百倍啊~~~刘恺威终于摆脱花瓶了，可喜可贺~~~温峥嵘和张晨光气场巨强~~~            
(3星)	 被结局shock到了。。。其实女主不丑，脸圆圆的挺可爱的，就是太不会演戏了，加上哭戏一多，脸就变得扭曲狰狞了- -            
(1星)	 1,好友说：忽略它山炮的场景和剧情，只需关注威哥的肉体就好 2.这尼玛是史上最低预算的电视剧吧，随处可见”办证“和”专治平方漏水“啊，亲，敢找块干净的墙面拍外景么？            
(2星)	 妈呀！！！童雪真够难看的 真够土的！！！！脸也够大的！！！！            
(3星)	 我看的是热闹啊 哈哈哈 其实女主看时间长了也就那回事了             
(NA)	 这是给人看的吗！摔桌！！！！！女主角坑爹死了！！！            
(2星)	 匪大的东西都被演员毁了            
(3星)	 看完小说都一年前的事了 当时虽然觉得剧情一般 却还是被吸引了的 起码是与自己生活不着边际的故事 可是这电视剧演的....太失望了 那女主角长得.....匪大你不是说 所有小说里 你最爱的男角是莫绍谦吗？你怎么忍心找那么一演技差长的差的女主来毁了他啊！！！！            
(1星)	 虐恋。我的恶趣味            
(3星)	 温峥嵘也成老戏骨了            
