http://movie.douban.com/subject/2157132/	少年包青天Ⅲ之天芒传奇
(4星)	 编剧的才华值得的肯定，但是关于拍摄地一些手法和后期的处理比如背景音乐，让整部片子烂了！！            
(3星)	 ……一般般            
(4星)	 那谁释小龙都成大人了            
(3星)	 公孙策是亮点            
(NA)	 喜欢赵阳版公孙策！            
(3星)	 煽情太多，案情不够给力……            
(NA)	 大失所望            
(4星)	 就为了一个美人看完全集俺容易嘛            
(3星)	 ..个剧的看点就是CP无数吗..            
(4星)	 耶律俊才和包拯、公孫策和木蘭DD、展昭和龐統……我分的CP多么銷魂多么妙。誰知道木蘭死了，公孫策還成了超級電燈泡OTL。看到第十集15分45秒＝ ＝            
(4星)	 真相只有一个            
(4星)	 不得不说这部里的三人组真是让同人女看到了中国自己出产高品质小受的希望啊!赵策很萌!而且台词设计也很不错,特别喜欢第二单元那个故事~            
(4星)	 这一部还是很喜欢的，看了两遍。我喜欢小蛮和包拯的配对。            
(NA)	 少年包青天3             
(3星)	 感情戏太多。杀人方法无厘头 = =+ 小蛮姐是美人！            
(NA)	 我被人耻笑过。可是我就是喜欢！！！            
(NA)	 赵阳~            
(4星)	 很HC公孙策。            
(5星)	 很好看啊，咋没人喜欢            
(5星)	 赵阳很不错~            
(4星)	 比第二部好看            
(NA)	 不好看            
(3星)	 释小龙我。。。            
(3星)	 包青天还是得周杰演看起来顺眼、、            
(NA)	 还是比较喜欢前面2部            
(3星)	 他们都老了啊            
(3星)	 搞得一套一套的~            
(NA)	 邓超比陆毅演的好。            
(2星)	 包青天智商急剧下降，公孙策整容失败。            
(4星)	 我竟然很喜欢看...            
(3星)	 没有前几部好看            
(4星)	 面具戴久了就摘不下来了。            
(3星)	 三星全部给公孙先生。            
(5星)	 为什么评价这么低！！！这是我最爱看的包青天 电视剧。在我心中的低位跟《新白蛇传》一样！！  真的很好看啊这部。。电视为什么不再重播了。。为什么。。。。            
(3星)	 这可是华丽丽的腐剧啊，我在公孙策和包拯眼中看到的是彼此满满的爱啊            
(5星)	 原来我小时侯的电视剧都在这儿啊啊哈哈哈~~好怀念呢~~            
(2星)	 毁童年！            
(3星)	 这个就更不靠谱了。            
(5星)	 反正我觉得是最好的一部可能和音乐场景什么的有关            
(3星)	 我觉得是最有意思的一版包青天。            
(2星)	 最后一部不好看。            
(NA)	 其实我喜欢部里面的几只多一些。。。比较萌。。虽然故事编的不是很好。。不过反正前几部的好故事也都是抄来的嘛。。。。            
(2星)	 展昭你咋成那样了= =            
(3星)	 一直没看完            
(3星)	 没有一二部经典            
(4星)	 那个时候我看到展昭，叫做伤心啊啊啊啊！！！！1我的正太呢！！！！！！！还我啊。。。。            
(NA)	 这是神马？            
(3星)	 邓超弱爆了。。。            
(3星)	 最后这部邓超演的还行 但是感觉整个主线就偏离了只有找天芒了 没什么特别意义            
(4星)	 好            
(1星)	 恶心至极，一群恶心的烟花女子，一个很假的傻子，还有一个很牵强的剧本            
(5星)	 我喜欢 很喜欢            
(5星)	 我喜欢 很喜欢            
(5星)	 哭了，爱情不可靠            
(4星)	 换人了怪怪的，但是破案的，算了            
(4星)	 竟然喜欢庞统。。。            
(1星)	 这什么鬼东西······            
(3星)	 在我心里 这是一部看我的奇怪哥（策小受）和认识一票美女的电视剧            
(4星)	 开始时得耐心一点，看下去后，简直就是集推理、惊悚、爱情、人生于一体的佳作呀！            
(NA)	 小時候的記憶啊。。             
(4星)	 若水美死了...公孙策竟然搞基啊！！            
(3星)	 我爱这里面的公孙策，超级爱，可是除了公孙策，什么都不爱= =..            
(3星)	 again，去掉腐的成分这剧就是垃圾……            
(2星)	 包公就知道吃包子            
(3星)	 公孙策可俊了，光顾这看他了            
(1星)	 真的 就第一部最好 往后的都是shi            
(3星)	 yoooooooooooooooo和基情的力量和超理科的力量。。。雷点满载。。。            
(NA)	 记得我还买了一个碟，结果家里的DVD坏了，退了。当时很迷包青天，周杰那版演的最好，陆毅那版编剧不咋的，所以知道出了第三部，很是激动哦            
(2星)	 失败的一部            
(5星)	 很好看            
(5星)	 亮點在於催淚+搞笑+拿捏得非常到位的公孫策..... 無限仰慕啊~~~....            
(2星)	 看少年包青天，就选周杰版的。。。尼玛。。。这部里头包拯就是大叔攻啊~公孙策就是小白受啊有木有！！！吃吃吃！！！我吃死你！！！吃你妹的包子            
(1星)	 这踏马是什么！！！！？？？            
(4星)	 我觉得还行啊 比第二部强。当时不认识邓超，以为是王学兵。。。            
(3星)	 结尾那部分还是很给力的。。。。。            
(3星)	 少年包青天系列中最不喜欢的一部。小龙长大了还真是让人失望啊！唯一印象深刻的是那个白衣女子（可惜不记得她名字了，好像是若夕吧）。记得她在风沙中翩翩起舞，记得她坐在那里，和夕阳一起移动，以及最后，倒在邓超怀里的。。。。。好美的女子啊！            
(1星)	 邓超是我为数不多，非常讨厌的男演员。            
(1星)	 邓超演的是SHIT            
(3星)	 三星给公孙策赵阳            
(5星)	 这真的是我最喜欢的一版少包呀，剧情很连贯，没有前两部的恶心尸体画面，还有基情，而且关键是主角木油在结局一起逃婚呀！！！！！！！。。。            
(5星)	 我咋就觉得超级好看超级好笑呢。。我笑点是很怪我承认。。            
(3星)	 腐女之最爱，记得有一集公孙策为了引出真凶假装被刺，躺在床上，鲜血沾满了胸口，做虚弱状问傻大包“你想起来了吗？”失忆的包拯哭得梨花带雨“木有啊！但是你死了我比你更难受啊！”然后公孙轻轻叹了口气，一脸的哀怨……这尼玛就是腐啊还是什么！            
(3星)	 第三部跟前两部相比，集数增加了，但是悬疑部分却少了很多，编剧用了更多的笔墨来描述三个人的感情戏码，作为少包系列最精华的部分失去了，不过片中的各种插科打诨增添的笑料有很多亮点，再加上适时响起的前两部之中的经典旋律，几段感情的表述算得上是成功的。            
(4星)	 对耽美做出了杰出贡献的一个电视剧，腹黑包拯，百搭受公孙，年下攻展昭，女王攻庞统，天子赵小六，加上耶律兄弟等等等等风流人物，腐女必看剧集            
(4星)	 嘿嘿，呵呵……少年包青天系列是我的爱啊……这版的公孙策大赞！            
(5星)	 就是喜欢这一部就是喜欢~~            
(4星)	None
(2星)	 太慢了            
(5星)	 给力~~~~~~~            
(4星)	 个人感觉是这个系列拍的最好的一部。            
(3星)	 不错啊。虽然不会再看了。            
(4星)	 为什么女人一出现这个世界就不那么美好了呢看海报就知道，这应该是三个男人之间的故事啊            
(3星)	 抄袭的桥段不少。女主可爱。            
(5星)	 展昭的发型…呃…他的小女友倒是蛮可爱的。赵公孙真心是美人！其实这部剧的重点在于包拯与公孙的CP~~看看公孙看着包拯时那水汪汪又深情的眼睛吧～            
(3星)	 还是觉得周杰的形象最好看            
(3星)	 鄧超太瞎眼了            
(3星)	 为了凸显和第一部的差距我来评分了。。。            
(3星)	 给个及格是因为第一个案子劳资震精了·····            
(NA)	 烂。。            
(3星)	 好喜欢这一款公孙策和小风筝，比那个什么小蛮俊多了            
(5星)	 剧情懒得说 看了第一个故事 就知道嫌疑犯 我一猜一个准 越不靠谱越是犯人。。。。。我就是觉得赵阳很萌啊= =我的菜。。。            
(4星)	 结尾有点烂，但还是支持            
(5星)	 怀念！            
(3星)	 怎么看都很腐            
(2星)	 和谐的腐剧。。。这一部是真不好看。。。            
(3星)	 最不喜欢邓超包拯了。。            
(4星)	 邓超啊，帅。推理不错，角色演得都不错，只是有些啰嗦，案件不错            
(3星)	 这个版本基本可以无视了。            
(3星)	 不得不说包青天3部还是周鼻孔那部最好            
(5星)	 老妈催着我快点看完早点解脱            
(4星)	 其实还是很喜欢的。。            
(2星)	 任泉的公孙策V。。            
(NA)	 虽然有人强烈推荐，但是我真心不喜欢总受在这里面的声音，，，，            
(2星)	 毁了包青天这部戏哪            
(4星)	 剧情不错..            
(1星)	 千万不要看啊，巨无聊，这个系列是越拍越烂了。            
(3星)	 别扯了吧，包大人...            
(2星)	 邓超蛮喜欢的，只是这个版本最不喜欢了。            
(NA)	 (⊙o⊙)…            
(5星)	 新人用的好，小曼我喜欢，公孙策帅！邓超也不错，歌曲请纪敏佳唱的，和那英比起来有别样的风格            
(4星)	 剧情和其他人一共三星，庞统！！！！！！！！！不要太帅好吗！            
(3星)	 不得不说邓超把老包给弄得太不正经了，剧情烂            
(2星)	 不好看            
(4星)	 邓超我喜欢            
(5星)	 拜湖南台。            
(NA)	 真的是。。。肿么可以那么腐！！            
(4星)	 以前每年电视台都会反复播的电视剧，它播几次我就看几次~~~当年的我真是毅力可嘉啊！            
(4星)	 我是看着你长大的。            
(2星)	 这一部没有前面两部稳重，多了点不必要的感情戏。            
(5星)	 不管别人怎么看，不管包黑炭身边的红颜知己如何变换，不管释小龙是否还是当年那个小正太……少年包青天的推理故事其实比后期柯南的弱智情节还是强上一二分的 还有，邓超版的还不错啦            
(3星)	 换了公孙策，木有feel了...            
(3星)	 虽然全抄袭但是还是喜欢哈哈哈            
(3星)	 虽然说我还喜欢的，但是这部里的推理有点神乎其神。。在加上此时的推理片喷井。。所以。。            
(2星)	 还是很囧……可能比2好一点，但跟1没得比            
(4星)	 我爱小风筝。            
(NA)	 你就扯吧。            
(NA)	 恭喜释小龙同学成为披头教的光荣一员            
(2星)	 一念成佛，一念成魔。很多事情只是在一念之间            
(4星)	 呃、还是觉得第一部好看点。。。            
(4星)	 我超爱赵阳版公孙策！当然了 任泉也是大爱&gt;&lt;.就是喜欢公孙策嘛！            
(4星)	 人妻受            
(5星)	 真心爱小风筝和耶律！！！！！！！！小狸巨萌 可是展昭你忘了你的芳芳吗！！！！！！！！！小蛮你为什么不乖乖嫁给皇上又跑到双喜镇去打杂了呢！！！！！！包拯君！！！！原来失忆如此简单我凌乱了！！！！！！公孙策最后一个镜头真心觉得美 可是最爱的是任泉啊！！！！！            
(1星)	 邓超的现代戏无一例外的一股痞子相，至于古装戏就是无一例外的不怎么样            
(2星)	 第三部各种装X。            
(NA)	 我爱公孙~            
(4星)	 明显加重感情戏，而且很纠结。小蛮小风筝小狸。其实看少包3，是为了找回小时候的那个梦。            
(4星)	 当时好爱看··            
(4星)	 有空的时候想想我，我是大包，双喜镇风月楼的大包。我曾经一口气吃下23个大包，很厉害的。我走了。别难受，这是上天给我的路，你也是，好好照顾自己。然后回去好好当你的皇后因为这也是上天给你的路。百岁光阴，七十者稀，浑浑沌沌，转眼就会终了，对吗？再见小蛮，有件事，那就是，大包要放葱才好吃            
(NA)	 第三部超难看            
(3星)	None
(3星)	 为毛我觉得我比包拯还聪明，丫6集找到的凶手，我两集看了就搞定了，全是密室杀人啊！这也太似曾相识了吧！配乐倒是挺不错！最后尼玛天芒原来和伟哥有一拼啊！而且尼玛这也太滥情了，各种滥情！把推理全给掩埋了。            
(5星)	None
(1星)	 看了17集，破了两个案子，第一个破了7集，全在谈恋爱，第2个，破了10集，全在谈恋爱，演父子情深，真心不好看，邓超太傻了，吃太多包子了，没心思再看了            
(1星)	 不好看了            
(4星)	 包拯和公孙策比福尔摩斯和华生更基腐有木有            
(3星)	 我就记住包拯的外号叫大包。。。            
(2星)	 越来越瞎扯了。。。            
(NA)	 只能说比第二部好看……            
(1星)	 这一颗星是给前两部以及释小龙的            
(2星)	 最2不叽叽的包拯，颠覆了对邓超的好印象啊。还有那个小蛮，宇宙超级无敌美少女，呕……            
(4星)	 喜欢里面的配乐，公孙策温润如玉，小风筝实属难得，两人很配            
(4星)	 为了公孙，给4星            
(3星)	 还是喜欢第三部把            
(4星)	 拍的挺不错的。。 只是剧情 再次抄袭了。。            
(3星)	 还我原班人马！！！            
(NA)	 我竟然还是看过！！！            
(1星)	 少年包123全看完了 这部真是最烂的一部。            
(3星)	 尔康TAT            
(3星)	 还是喜欢鼻孔康            
(3星)	 JQ            
(5星)	 最喜欢了啊！！！！！！！！            
(5星)	 包黑子，禽兽，杀了木兰也就算了，若水你都杀，干你妹！过于执着于真相，对正义、对错都完全麻木了！            
(3星)	 很喜欢这版的公孙策，但是包拯的故事也太扯了点            
(4星)	 喜欢这里面的人。。小狸啊            
(4星)	 在金田一和柯南以后 终于抄袭了圈套 进步啊！！！！            
(NA)	 没说的。。。            
(3星)	 这次雷到了、怎么没有释小龙和何洁的桥段啊？            
(1星)	 我只想打一星。            
(4星)	 = =            
(3星)	 展昭長大了還真讓人不適應==            
(3星)	 其实这部的几个案件不错的。            
(4星)	 案子太简单了，不过感情戏倒是多了            
(NA)	 其实第三部才是我最爱！因为女猪脚们我都很喜欢！            
(5星)	 我还真觉得很好看 真是知音难觅            
(3星)	 星全部是给庞统的，他是唯一一个让我有勇气把片子看完的人。            
(3星)	 超傻无比。            
(3星)	 吓死个人            
(4星)	 浅笑露端方 如玉温良 他折扇轻晃 嘴角微扬 俊朗世无双 吟遍文千行 瀚海穿浪 一朝拜侍郎 敛尽风华把手上深藏 涟漪书成行 衣袂临风 翻飞徵羽宫商 自五帝三皇 至雁门悠长 满腹轩墨香 回笔宣纸上 丹青陈黄 漫卷诗书狂 读罢明月光 如此良辰今夜未央 边镇一夜春风急 天涯海角再相聚            
(2星)	 一点也不好看。女主角那叫什么发型啊，包拯怎么那么呆啊，释小龙长大了怎么那么挫啊，公孙策哪里够任泉演得好看！！！！！            
(4星)	 喜欢小风筝&gt;&lt;            
(3星)	 被腐化了，很萌            
(2星)	 越来越矫情，越来越空洞啊            
(3星)	 我的任泉呢……            
(NA)	 案情明显是从金田一借鉴过来的啊……虽然这样每次凶手死的时候我还是忍不住要掉眼泪。公孙策真是翩翩公子，最喜欢公孙和小风筝这对，用诗文吵架斗嘴最好玩了~我想主要是因为我很羡慕小风筝这样看起来疯疯癫癫什么也不在乎但是对诗文书画都很有鉴赏力的人了吧~原来我这么喜欢听《只要有你》            
(5星)	 策策的眼神超有爱啊，被迷死了都            
(5星)	 看这部剧期间有悲伤有欢乐，戏演完，就像走了一遭人生，好累~简单人生才最真            
(5星)	 这就是我少年是的爱啊！！！            
(3星)	 案情其实还是不错的，但每次都能在凶手出场的时候感觉出杀气来，看点是杀人手法。不过，言情戏份太重，婆婆妈妈，磨磨唧唧的，破案片搞得跟个言情剧似的，而且还是苦情类，个个都是情种啊，吐血！本想换换口味的，没想到啊，这片都可以讲这么多感情纠结。坚持看完就想看看结局能怎么扯，果然够扯。            
(5星)	 丝言~            
(4星)	 嗯~            
(4星)	 喜欢小风筝~喜欢小狸和展昭这对CP~对小蛮各种无爱~结局太崩坏了Orz……            
(4星)	 虽然没有超越，不过也捧红了邓超。            
(3星)	 释小龙爆丑有没有！！！！！！            
(3星)	 越拍越烂            
(2星)	 这个卖点不是展昭的艳史么            
(4星)	 展昭长大了=v=            
(3星)	 看得下去            
(3星)	 赵阳激萌！！！！！            
(NA)	 傻的我都不相信爱情了            
(5星)	 大爱呀。            
(3星)	 不如前两部经典。            
(5星)	 中考后那个空虚破碎的暑假，我记得晚上我看到很晚。邓超和小蛮...还有释小龙和那个小萝莉....            
(3星)	 狗血剧情。            
(2星)	 “集”日系推理漫画之精华，编剧铁一样的脸皮            
(NA)	 我只是喜欢邓超而已。            
(3星)	 这部的公孙策很萌啊~~~            
(5星)	 邓超很可爱～            
(3星)	 没有第一部好，差得很远。而且剧情很拖。看起来太堵。没有正气，缺乏力量。但女的都不错。尤其是若水。嗯，展昭也行。            
(3星)	 减一颗星是因为主角是陆毅而且是胖了的陆毅            
(NA)	 评语给的太对了。。。            
(4星)	 我很喜欢大包～小曼也没有那么不好            
(5星)	 就是为了王爷给的星嘛~            
(4星)	 。            
(5星)	 我还是比较喜欢这种题材            
(3星)	 默默...演员阵容没有第二部好╮(╯▽╰)╭            
(5星)	 好一句面具带久了就脱不下来了，心疼这部的包拯，小蛮，公孙策，小风筝，每个案子背后总有一段心酸的故事，一如庞统，一如刘夫人，一如若水，一如木兰~            
(4星)	 不如第一部，可是我喜欢，我喜欢小蛮，我喜欢小风筝。            
(5星)	 我想说我真的好喜欢小蛮，还有那个片尾曲《只要有你》，反正当初很爱这部剧。            
(2星)	 展昭那头发真是不能看！包拯一版比一版选得差！            
(4星)	 包青天系列里面最喜欢的一部诶            
(3星)	 有点煽情了，整体剧情缺少了前两季的严谨与帅气。不过还是不错的。            
(3星)	  一部不如一部 、倒是释小龙越来越帅了 。            
(3星)	 唉。。。感觉上到后来就越来越假了。。。第一部最好看了。。            
(3星)	 为毛觉得就像是一部NP还是all包拯受的，太违和了。推理什么的，太松散了直接跳过。            
(3星)	 还是第一部美= =            
(5星)	 邓超好帅……释小龙长大了……            
(5星)	 推理 权谋 人性 友谊 真心            
(4星)	 傻大包……哈哈哈……            
(3星)	 我还没有习惯释小龙的头发····            
(2星)	 画蛇添足，狗尾续貂，不看也罢。            
(4星)	 打四星纯粹是因为腐~~            
(3星)	 感觉还行，释小龙和那个日本女孩的那一段实在是太狗血了，感觉像诱拐未成年萝莉            
(3星)	 好~            
(3星)	 觉得这个包拯有点笨            
(4星)	 公孙策这个名字一说出来只能想到BL了            
(2星)	 还是欣赏陆毅和周杰的。。            
(5星)	 好看            
(NA)	 为了表现咱是个有始有终的好银，所以硬是把“少包”三部都看完鸟~~            
(2星)	 越拍越伤感情……            
(4星)	 庞策庞策            
(4星)	 就像名侦探柯南一样哈哈哈            
(NA)	 女角越来越漂亮了            
(3星)	 永远不如第一部哎            
(2星)	 这两颗星全是给赵阳的，虽然他面无表情地演完所有剧集……但是还是蛮俊俏的            
(3星)	 为啥有第三部啊……            
(3星)	 第三部真是……            
(4星)	 公孙策那一对最喜欢            
(4星)	 本作亮点公孙策没有之一~            
(NA)	 我恶趣味了。。表示喜欢公孙先生            
(4星)	 这部其实还行。。。就是密室太多了。。。全是密室。。。            
(3星)	 邓超。            
(2星)	 又是邓超 你不能演古装 你脸太大了 不秀气 你不能演古装啊~~            
(4星)	 邓超没有包拯的ful啊 迷过小蛮            
(4星)	 看少包三，看的是筝策、昭狸，最不待见的就是包蛮这对主角cp            
(3星)	 名侦探少年包拯事件簿 这版很有爱            
(4星)	 对这版的公孙策最有感觉~而且这一版的笑点是最多的！            
(3星)	 哈哈。。我当时完全没有觉得公孙策很受嘛！            
(3星)	 这个没看完            
(4星)	 我觉得相比推理而言 这部剧的主题言情多一些吧=.=            
(3星)	 依然没有教主，还是三星。            
(3星)	 居然换成邓超了，就没有之前的味道了            
(3星)	 公孙策一开始就爱上了男人~            
(4星)	 看了一遍又一遍阿            
(NA)	 年少无知。。。我看过好多奇怪的电视剧。。。。            
(3星)	 大包..........            
(5星)	 我更喜欢这版的公孙策，哈哈            
(4星)	 庞策本命啊！！！            
(1星)	 释小龙这个爆炸头……            
(NA)	 嗷三百年没看电视了偶尔开个电视发现欢乐多多基情四射啊！            
(3星)	 我非常不赞同此电视剧想表达的思想。            
(5星)	 介个介个。。太有爱了。。腐点无处不在。。CP随处可见。。导演素故意的。。            
(NA)	 众里寻他千百度，万里相逢，是缘非缘，愿为比翼，白发浴红衣，直道相思了无益，未妨惆怅是清狂。            
(2星)	 都跟周杰版本的没法比。邓超接这个戏是个错误，包子包子。释小龙那锡纸头我还真有点扛不住。            
(4星)	 嘿嘿。我就是喜欢邓超。            
(4星)	 只是为了公孙策            
(3星)	 包子和小蛮挺一般，反而公孙策和小风筝很有爱！            
(4星)	 公孙美人~~~~~~~            
(3星)	 每个案破的方法都差不多，审美疲劳            
(NA)	 其实我曾经也是电视剧女王！！！！！！！！！！            
(4星)	 完全的反转剧            
(5星)	 跟前两部比起来这部就是5星嘛.包拯公孙策多逗..!            
(4星)	 觉得比1、2好  感情部分处理的比1、2细腻  很喜欢小风筝             
