http://movie.douban.com/subject/2147890/	花样少年少女
(4星)	 曾经伴我一个暑假 在寒冷的宿舍里 那时光真是太美妙啦            
(3星)	 还是喜欢日本版            
(2星)	 只是为了让心情好一点            
(4星)	 吴尊加ELLE，很新鲜。             
(4星)	 搞笑。至少比起日本的，我看到倒数第二集了……            
(3星)	 喜欢大东搞的样子..很可爱哦            
(NA)	 雷人剧~~            
(4星)	 可爱的大东            
(4星)	 多好的本子啊 可惜男一号演技不给力啊……编剧你欠观众一个结局啊            
(3星)	 我还是喜欢日版的 但我喜欢这个版本的南学长            
(4星)	 受同学影响，很少看台偶的我难道每礼拜追着看完了，主要还是男女主都喜欢，第一次看到唐禹哲出场惊艳，啊哈哈            
(NA)	 ELLA的表情丰富的~            
(1星)	 没有可比性。。。            
(1星)	 烂烂烂烂烂烂烂烂~            
(3星)	 改编哪改编            
(1星)	 哎呦喂呀- -！还不如看台版《偷偷爱上你》            
(4星)	 尊尊好帅。Ella好有喜感。还是喜欢台版多些。            
(4星)	 o(∩_∩)o...            
(4星)	 = = ELLA个傻子~大东个笨蛋！            
(NA)	 看的不是吴尊`` 而是ELLA`` 呵呵``(我不是拉拉啊``)            
(4星)	 最爱的阿尊尊~~么么~~            
(3星)	 还是喜欢日版的            
(3星)	 我最最难过时看的它，让我边哭边笑            
(1星)	 哦， 这个，我很努力的看了头两集，x2速度看了十几集，后面就浮光掠影了……拖沓啊……实在实在受不了Ella演戏的夸张方式，而且一点儿都不好玩，pass。2009.5.25.DVD            
(4星)	 好笑            
(NA)	 看不下去...说真的            
(2星)	 比起日剧……不！压根没法比！            
(4星)	 哈哈哈哈哈哈 太搞笑了            
(3星)	 我怎么看过这么多台剧！汗            
(3星)	 大东跟个2B似的。。。吴尊永远臭脸            
(5星)	 我觉得挺好看的啊，我觉得吴尊很帅啊～            
(NA)	 烂            
(4星)	 不错！！            
(3星)	 2009.03.13            
(3星)	 唐禹哲。            
(4星)	 前戏有点看头，越后来越没感觉了            
(3星)	 除了有点搞笑，就没什么了！~            
(3星)	 可怕的，强大的无敌的飞轮海啊……为什么我当年会觉得他们帅呢....            
(5星)	 觉得大家都很有爱。            
(3星)	 OST 还不错            
(5星)	 帅哥。。。。            
(3星)	 泉一颗星 南学长一颗星 加上剧情一颗星            
(4星)	 东唐王道~            
(2星)	 犯了拖沓的坏习惯            
(3星)	 怎么说...让ELLA演是个错误...可是也难为她了...毕竟我还没看过有哪个女的很漂亮装成公的以后又很man很帅的=    =只能说 拿这部小说来演偶像剧从本质上讲 就是个错误.            
(4星)	 吴尊好帅！            
(4星)	 算很高质的台湾偶像剧了            
(1星)	 表演做作，很不习惯台湾腔（而且好冷啊...）            
(4星)	 挺弱智的偶像剧，身为老女人的我，居然很喜欢，唉，没得救            
(NA)	 演剧很一般，但有些搞笑。哈            
(3星)	 去男校念书需要很大勇气的。不过也是我羡慕和向往的。            
(5星)	 好看的校园偶像。都是偶像，发生在校园的故事。很帅气。女猪也很帅气。/            
(NA)	 有阮经天            
(NA)	 我不想承认看过这个             
(2星)	 差！不想说什么，看点只有大东的出色表演。            
(5星)	 嘉桦~            
(3星)	 大东拍的很好捏~            
(3星)	 就为了看吴尊！            
(5星)	 还好看拉～比较搞笑～吼吼～            
(4星)	 我看过的最开心的台剧            
(2星)	 完全和日版不能比。            
(3星)	 我只喜欢梅田。            
(4星)	 这种卡司怎么能不看 ELLA天生应该演戏吧 活在一群帅哥里很开心吧 小唐很帅            
(NA)	 去年看的。对唐禹哲和吴尊比较有好感就是。            
(5星)	 结局太郁闷了            
(3星)	 吴尊比较帅，唐禹哲比较帅，汪东城比较帅            
(NA)	 多次翻拍 帅吴尊 写实的EllE            
(3星)	 和日版不一样的感觉            
(1星)	 还是日剧的好看            
(4星)	 还不错，主要是剧情很搞笑，男主以前觉得挺帅的            
(NA)	 还是日剧好看~小栗旬~ 崛北真希~~登对!!            
(2星)	 ELLA去一边去..            
(3星)	 台湾剧还能指望什么，就看看老套故事里的漂亮美少年吧            
(2星)	 诶。。先看过漫画，后日剧。。最后这个。。            
(4星)	 大东你咋能这么有爱哟&gt;&lt;            
(5星)	 目前为止最喜欢的一部台剧，乐不可支！            
(2星)	 http://www.youku.com/playlist_show/id_331458.html（觀看地址）漫畫就是嫌棄畫風才未追。爛片...就算有帥哥我也只堅持了一集，還花了我一下午...            
(2星)	 跟日本拍的比，吴尊是较好的左野泉。其他的都不行。            
(NA)	 怎么办            
(2星)	 看到一半兒，實在看不下去了。太拖拉了。前面還不錯。            
(NA)	 这是一个青春、搞笑、轻快的校园故事。女主角卢瑞希（ELLA饰）因为崇拜跳高选手左以泉（吴尊饰），不惜从美国转校回来并女扮男装混进男校樱开学院就读。幸运的是，她不但与泉同在一个班级，还成为了室友。不幸的是，第二天就被泉发现她是女生。但泉却没有戳穿这个谎言。保健室的校医梅田老师（唐治平饰）在一次治疗中意外的发现瑞希是女生，身为同性恋的他却选择替瑞希保守这个秘密，并经常帮这个鲁莽的小丫头出主意。而同是瑞希和泉的同学的金秀伊（汪东城饰）在与瑞希的朝夕相处中竟逐渐爱上了她。然而不知情的秀伊却在为自己的这段“同性恋”            
(3星)	 我搞不懂为什么我要看这种烂戏            
(5星)	 最爱！！            
(NA)	 台湾剧就那样儿            
(3星)	 轻松            
(3星)	 实在是看不惯Ella的男装，完完全全没有日本版的好。结尾处也是很不对劲的。。            
(3星)	 喜欢梅田            
(3星)	 太可乐了！            
(5星)	 虽然发现这部片子好晚，但真的好喜欢            
(3星)	 演员跟漫画比起来差的远了点            
(5星)	 怎么办感觉甜又酸，偷偷爱你快乐又孤单~            
(4星)	 总算是把结尾看了，还蛮清新的感觉。            
(3星)	 我喜欢ella。。但我不喜欢吴尊。。真让人难以取舍啊。。            
(1星)	 这部戏太难看了，看了几集实在看不下去            
(3星)	 男演员不用说，都很赏心悦目，可惜演技太有限了。            
(4星)	 搞笑...            
(4星)	 好看            
(NA)	 我连1颗星都不想给            
(3星)	 还蛮轻松的            
(NA)	 都很可爱            
(4星)	 很好笑啊，喜欢ELLA            
(3星)	 恩..除了搞笑还有什么?            
(3星)	 大东好可爱吖！            
(NA)	 看着解解乏的，严肃久了。            
(3星)	 看的过程着实开心了一阵子。            
(NA)	 超喜欢！！！！            
(3星)	 怎么Ella會有胡子！~            
(4星)	 这是暑假在家无聊唯一看的一部偶像剧.可以说达到了它搞笑的效果.里面的人物角色也各有各的特点.重要的是它可以让你捧腹大笑.如果你很闲.可以选择看它.还是很不错的.            
(4星)	 大东的台语真的是太搞了XD            
(3星)	 還是日版好看...            
(3星)	 我还真是喜欢过吴尊的。            
(4星)	 吴尊是那种一眼看上去就很舒服的男生            
(3星)	 讨厌ella 而且比起日本的花样少男少女，这部简直是在侮辱漫画。。            
(3星)	 ELLA满可爱的说。            
(NA)	 E看的。偶尔蹭了几集看，觉得叫人只叫一个字怪恶心滴。。。p拍飞ing~~            
(2星)	 最后一集好没意思呀~            
(4星)	 Ella实在太可爱了，吴尊也挺帅的，汪东城怎么还是那么傻……            
(3星)	 好夸张的表演……            
(2星)	 看完后悔了！不及日版            
(3星)	 整部都是在utube上看的            
(2星)	 对里面的人一点没兴趣            
(2星)	 。。。。好比哇？            
(NA)	 比较弱智。            
(3星)	 比不了的收视率啊...但是真得不是传说中的那么好看...            
(4星)	 喜欢            
(2星)	 看着有点恶心。。。。日版还是强些            
(5星)	 不可能发生的故事            
(3星)	 吴尊还蛮帅的!            
(5星)	 我愛大東！            
(1星)	 我也不讲什么了~            
(3星)	 尊美人好漂亮啊。很喜欢Ella，搞笑却不失俏皮，只是，这个剧情太白痴了，很多地方都好牵强。现代版的梁祝。            
(5星)	 虽然有点扯，但还不错的            
(3星)	 一堆一堆帅哥..想不喜欢都难..唉            
(4星)	 没想到这把年纪的我，还被那几个美男给迷了一下，哈哈            
(NA)	 很变态。。            
(3星)	 半途而废            
(4星)	 愛大東，越白痴越愛~~            
(NA)	 1```            
(NA)	 还是日本版的好看            
(4星)	 吴尊最帅啦            
(NA)	 真无聊            
(NA)	 樱开一脚，嘿嘿：）哲哲好帅啊...            
(4星)	 泉~~~~~~~            
(2星)	 不喜欢            
(4星)	 原名叫《偷偷爱着你》高一时的同桌天天跟我讲。果真很有趣，超爱吴尊！！！            
(3星)	 沒看完            
(NA)	 摸摸头，摸摸头就好。其实，我喜欢梅田~            
(4星)	 可爱！            
(NA)	 今天终于把它看完            
(3星)	 想有只欲次郎那样的大狗！            
(3星)	 好玩            
(2星)	 除了男1的脸，其他一无是处的片子            
(NA)	 很好玩的一部片子            
(5星)	 那段时间狂爱~~~~吴尊帅惨老~~~好久没看到一个养眼的明星了~~            
(4星)	 完全是因为喜欢那部漫画才去看的。虽然有些地方包括ELLA演的都有点过，不过总的来说还是不错的。呵呵。            
(5星)	 喜欢吴尊没道理！            
(5星)	 超爱吴尊~            
(5星)	 去看他完全是冲着Ella去的，因为我很喜欢S.H.E，特别是Ella。但是看着看着却被吴尊和故事深深吸引了。故事很有趣，情节也很吸引人。瑞西这个角色简直就是为Ella订做的吗，好！重大收获：发现飞轮海真是养眼啊!吴尊真是太帅了，不仅样子好，而且气质也棒，流口水啊！            
(4星)	 笑死偶了....            
(NA)	 我喜欢它搞笑，前几天看了一集日本的，觉得还是不能比啊            
(3星)	 现在在看日版的，话说....这部剧最出彩的永远都是中津秀一            
(3星)	 。。。不是几个男的比较帅的话，我会给两颗星~ 和堀北真希的日版没法比            
(4星)	 吴尊的颜啊            
(3星)	 汪东城开始崭露头角            
(3星)	 超爱大东的秀一，其他都不太能接受==并且难以喜欢男主角==            
(4星)	 竟然先看的这个再看的日本版的，不得不说当时花痴死了吴尊            
(3星)	 高中看的            
(5星)	 那是我们金灿灿的傻X岁月……            
(3星)	 没法跟日版经典的比啊            
(5星)	 五颗星都给汪东城            
(3星)	 啊。。。            
(NA)	 我竟然看过好多偶像剧            
(3星)	 噗            
(NA)	 你有没有一颗少女心？            
(3星)	 ella好做作。。            
(3星)	 台湾翻拍地毁剧不倦啊            
(4星)	 日版比较好看。但还是很爱Ella！            
(4星)	 搞笑            
(4星)	 太搞笑了~~最爱的一部剧了            
(3星)	 改编得还是很尊重原著的。Ella版的瑞稀表示有点不能接受，吴尊演技不敢恭维。            
(NA)	 翻拍日版的《偷偷爱着你》简直弱爆了！            
(4星)	 挺搞笑的            
(4星)	 当时可迷了·····现在觉得好傻·····            
(NA)	 我最喜欢的是唐治平&gt;_&lt;~爱死~            
(4星)	 那个时候真是各种爱啊！！！！！那个时候觉得吴尊简直帅爆啦！！！！那个时候一个晚上看完的啊啊啊！！！那个时候。。。。            
(5星)	 一劇誤終身。哦 沒有啦 5年而已嘛。雖然從第一次看就覺得腦殘到不行了。。。哎 一言難盡啊親 稀屁桑不起啊親。            
(2星)	 bad            
(3星)	 我爱校医            
(NA)	 有点看不下去            
(3星)	 老娘是为了追唐禹哲！！            
(5星)	 DT            
(NA)	 蛮喜欢秀伊的~            
(1星)	 居然有人说吴尊比栗子帅。。眼睛出问题了吧。ELLA简直就像个愣子，倒是有些期待大汪的表演，但是实在是看不下去阿。5分钟快托一集弃之。            
(3星)	 其实..芦屋瑞希是个很矜持很可爱很害羞的女孩真的...其实...佐野泉是个很闷骚很腹黑很性感很温柔的男人真的...其实梅田医生很帅的真的...其实大树人超好的真的...其实还是漫画比较好真的....（捂脸跑走）            
(NA)	 高中看的，那时很年轻。            
(3星)	 从这个开始蛮喜欢吴尊的~ella就是一直以这种傻乎乎的表情和感觉演戏。不过OK。可以看。笑点也蛮多。            
(3星)	 好了 好了 这部虽然是男子后宫 但我真的是冲着堀北去的..            
(5星)	 永远都是最爱，永远在心底。。。            
(NA)	 因为吴尊            
(5星)	 看了两遍了...            
(4星)	 当年还是很喜欢看的……特别是原声带好喜欢好喜欢啊……            
(5星)	 高三的时候看的...好温柔～            
(2星)	 这是一部偶像剧,很偶像的偶像剧~除了偶像没有看点...            
(5星)	 好看的            
(2星)	 看过日韩版本的我只能默默的给这部剧打低分....            
(5星)	 看吴尊~            
(3星)	 几好笑 大东最可爱！！！！！5中意吴尊            
(NA)	 。。。为了吴尊。。。            
(4星)	 -_-！！！虽然现在看起来很幼稚，但是当年还是灰常迷恋的，吴尊的笑容，Ella的爽直，男医生的腹黑……处处有基情啊！            
(3星)	 更推荐日版的            
(3星)	 大东演的最好            
(1星)	 ...........            
(3星)	 不喜欢ELLA的偶像剧。            
(5星)	 这样的感情好不真实            
(4星)	 ......            
(4星)	 三年前看的，还挺可爱的~            
(4星)	 我木有看完~~ 但是完全不像想象中的样子哦~我以为蛮雷的~ 其实ELLA还是很可爱的~而且确实比较像个男孩子啦~~非常适合演这部剧~~ 而且拍的还不错哦~~ 吴尊虽然演技不太好，不过人帅是木有办法否认地啦~~~不错 顶~~            
(5星)	 完全好看啊！！怎么豆瓣的分会这么低，无语。。            
(3星)	 还蛮搞笑的~里面的吴尊好稚嫩~            
(2星)	 怎么能找Ella啊，长的又不好看，演技也不怎么样！ 全局亮点是大东啊！            
(5星)	 就是看这个爱上的禹哲。。。。mua~~~~~            
(3星)	 台湾版的这部真得惨不忍睹呀，ELLA不适合这个角色，不太好看，简直就在恶搞那么好的剧情，而吴尊就一味地在那里耍帅，两人也没半点来电，感觉就像哥们。。可怜的汪东城老演男二号，不过还是一如既往得傻，哈哈。            
(5星)	 风华绝代的南学长，让我爱的要死啊            
(3星)	 比日版的粉红，不过Ella实在太男生了~            
(4星)	 ella的搞笑作风            
(5星)	 大学时候看疯的，星空卫视太好了，播的都是精品            
(2星)	 我果然受不了ELLA的所有片子= =            
(3星)	 我第一部偶像剧            
(3星)	 南学长。            
(3星)	 ella可爱            
(NA)	 大一时蕊仔的推荐~看的吴尊的第一部戏，迷恋过一阵子飞轮海~~~            
(3星)	 跟日版比起来真是小巫见大巫了            
