http://movie.douban.com/subject/1963192/	谢谢你曾经爱过我
(5星)	 猴子，太难得了，我想说谭雨薇最后的解释可能不太确切，我觉得她是很爱他的并不单是感激，一开始可能有部分出于感激，进而是习惯，当行为习惯上再也少不了这个人的时候，那已经是爱了~周一围，很喜欢他觉得他很个性~            
(4星)	 蜕变的小燕子~~演技真的进步了~~~            
(5星)	 一部能让人更深地明白爱情的电视剧，“爱情，没那么难，爱一个人，就是真心想对一个人好，不需要理由”            
(5星)	 所有的伤心与感动 哪个不是因为你 我会坚持下去的            
(4星)	 看完唯独觉得周一围和他老爸，演技不错。结局模棱两可，累。            
(NA)	 坚强独立知性的女人            
(5星)	 这是去年夏天最难过的那段时间看的片子！个人很喜欢赵薇！这片子马上要播了，也希望大家都喜欢！            
(5星)	 演得很赞，但太悲了，不忍心看第二遍            
(3星)	 完全是因为赵薇看的            
(4星)	 执着爱            
(5星)	 很好看的电视剧，赵薇演绎的真棒！            
(5星)	 一部心灵感触多多的好片子            
(4星)	 虽然剧情错漏百出,但感情描写很真实,细腻.            
(NA)	 我就喜欢赵薇怎么着吧怎么着吧怎么着吧怎么着吧怎么着吧怎么着吧怎么着吧怎么着吧             
(4星)	 “我爱你只因为你对我太好，太好了，你让我在最坏的时候依然相信自己被爱，自己值得爱。我从小缺乏的自信都给你填满，你陪我走过了一生当中最崎岖的路。我想到你的时候，只有快乐。”             
(3星)	 有些好句子，可惜故事简单了点，戏剧化了点。            
(5星)	 喜欢庹宗华那样的老男人。我也想做个小编辑。            
(3星)	 有点纠结            
(NA)	 虐            
(5星)	 我喜欢            
(3星)	 我们需要活得简单些，再简单些            
(2星)	 我居然看过这种烂片。。。            
(4星)	 从这部剧开始，爱上了周一围            
(3星)	 薇姐还是美的，其他都很差！！生气。            
(5星)	 大爱，特意跑到第三极去找仅有的一本原著，更喜欢原著。可惜电视被广电给改成符合传统道德的结尾。            
(4星)	 四星未满。已经忘记是今年还是去年的寒假看的，偶然看到第一集，然后一点点照着电视台的进度跟下来，久违的安逸和完整。今天才发现编剧是王惠玲，李安的御用，据说原来的本子更有味道的，只可惜广电不会让那么拍。            
(4星)	 没有一个人是我绝对爱的。            
(NA)	 我喜欢里面候子那样洁身自好,对爱直着的男人.            
(5星)	 关于真实、虚假、专一……太喜欢赵薇了！            
(4星)	 恩 我喜欢这个版本的结局 喜欢侯子            
(5星)	 感动 为猴子            
(3星)	 剧情一般，演员比较好，秦海璐很出彩            
(2星)	 王编剧你让我好失望！            
(4星)	 我的侯子呢？            
(5星)	 和俺妈一块看得。。还不错。。            
(4星)	 看的过程极为痛苦            
(4星)	 在北碚的时候看的            
(NA)	 为什么是曾经而不是永远            
(5星)	 没勇气重看一遍的片子‖电视小说各有各的好‖多用脑，少用心，心容易累，也容易迷。‖我爱你，就是因为你，你对我太好了，太好了。你让我在最坏的时候，依然相信自己被爱，自己值得爱。我从小缺乏的自信，都被你填得满满的，你陪我走过了一生当中，最崎岖的路。            
(3星)	 后半段还不错。前半段，愣，完全没有内心戏。女主角的好，完全是靠别人的各种旁白表现出来，我反正从她的表演里没看到丝毫迷人之处。而且，这两个人的爱情，根本就不成立。不值得谅解。唯一一个星是给主题歌的，歌比起剧来说还算是强多了。            
(4星)	 和阿白的午夜剧场。猴子原来就是周一围啊，太喜欢他了！            
(3星)	 男一太大叔了，男二和薇薇还是很有感觉滴            
(2星)	 三男一女~~            
(4星)	 水准以上的剧情片             
(4星)	 雨薇爸爸说，There is no best choice, but the one we can undertake.            
(5星)	 爱她（他）就给她（他）幸福，爱她（他）就让她（他）走。面对周围越来越的爱无能人群，“谢谢你曾经爱过我”会触动你的内心，让你重新想起对真爱其实还有期盼。            
(3星)	 有点儿过分的纠结~            
(4星)	 这部剧让我对赵微的看法变了            
(5星)	 很久没看过精彩的国产连续剧了，赵薇的演技和歌技都大有提高            
(5星)	 BTV 女文青电视剧 每一个角色都有一个故事 他们的家庭他们的爱恨挣扎            
(NA)	 爱怎么都不是件容易的事...那么多的&#39;如果&#39;,其实该发生的还是会发生...with mom, summer&#39;08.            
(NA)	 我也只想说__谢谢你曾经爱过我            
(5星)	 很心痛            
(4星)	 这部戏后面剪的过于粗糙            
(3星)	 一个大龄女青年的爱情和生活。其实还是挺好的啦，总有爱她的人，也总能追求自己的爱。30岁又怎样。            
(5星)	 其实我一开始不知道是赵薇主演的,只是每次转台都看到候子跟他妈的对话,觉得蛮感人跟真实的..            
(5星)	 再看的时候，序幕部分的每个镜头我都那么清晰，感受每个主角的真实。唉~~            
(5星)	 演员演的不错，只是剧情有些老套            
(3星)	 很现实 很现实            
(4星)	 “曾经”这样的词放在这里，伤感的味道更浓。一部并未在电视台大火的剧集，却在一个夏天真正的感动了我。是否都需要一段不遗憾的岁月            
(3星)	 最后烂尾了啊~喜欢赵薇周一围。            
(3星)	 对，那里的秦还不错。            
(4星)	 很多年前看的，很喜欢周一围啊            
(4星)	 必须点！要对得起我那脑残粉的额娘~            
(5星)	 虐心 好 都是实力演员            
(4星)	 当时除了她，还有周一围了。            
(5星)	 爱得像猴子，爱得像雨薇            
(4星)	 陪妈妈看的  很喜欢            
(5星)	 原来，爱是习惯。习惯一个人的守候，就像瘾一样，就再也戒不掉。            
(2星)	 这剧在电视上放过吗？反正我是在网上看的。            
(4星)	 其实我也不是求着要执子之手，但我也会谢谢你曾经爱过我。            
(NA)	 小三儿演得竟然不讨厌            
(4星)	 以前还写过这个的评论。            
(3星)	 曾经自己就想成为这样的人            
(4星)	 什么样的谭雨薇能够拥有霍然、侯子和余恒毅三种不同的爱情            
(3星)	 一直觉得这剧有点三观不正，但挺喜欢里面的侯子的。            
(4星)	 这两天很想重新翻出来看，看这部片子的时候年龄太小，不太理解爱情的含义，只记得特忧伤，忧伤到让年纪小小的我也有哭的冲动。            
(5星)	 爱情，就是一场唏嘘~            
(3星)	 我竟然能忍受秦海璐、忍受周一围庹宗华，进步了            
(4星)	 就像一座老房子，窗户关久了，阳光一下子照进来，不是温暖，是刺眼。            
(5星)	 猴子终于等到他爱的             
(NA)	 生活也不过如此            
(3星)	 没有一个给力的男主。小的太小，老的太老。            
(4星)	 你陪我走过了我一生当中 最崎岖的路我想到你的时候我只有快乐            
(4星)	 不是没脑子的 爱来爱去            
(4星)	 我爱你，就是因为你，你对我太好了，太好了，你让我在最坏的时候，依然相信自己被爱，自己值得爱，我从小缺乏的自信，都被你填得满满的，你陪我走过了我一生当中、最崎岖的路，我想到你的时候，我只有快乐。             
(2星)	 制作太粗糙            
(3星)	 大龄女青年的悲催生活啊。。。            
(3星)	 不怎么喜欢男主角            
(5星)	 就像一座老房子，窗户关久了，阳光一下子照进来，不是温暖，是刺眼。这句话印象很深，雨薇，霍然。。            
(3星)	 我爱你，就是因为你，你对我太好了，太好了，你让我在最坏的时候，依然相信自己被爱，自己值得爱，我从小缺乏的自信，都被你填得满满的，你陪我走过了我一生当中、最崎岖的路，我想到你的时候，我只有快乐。             
(4星)	 里面的演员都很强大            
(4星)	 还挺好看的呢！            
(4星)	 周一围演技很好            
(5星)	 剧本不错            
(5星)	 我太喜欢猴子了，没办法。。。            
(2星)	 我不明白我为什么要看            
(3星)	 好像有点乱            
(3星)	 谢谢你曾经爱过我。。。伤感的字眼。。            
(3星)	 不喜欢婚外情。            
(NA)	 就像一座老房子，窗户关久了，阳光一下子照进来，不是温暖，是刺眼。你在我最坏的时候，依然相信自己被爱。自己值得爱。            
(NA)	 一场一场的纠葛这是为甚么呢            
(5星)	 演的丝丝入扣，非常喜欢王惠玲的作品……彻底扭转了对赵薇的印象~很棒~！            
(4星)	 电视剧就是用来洒狗血的，可我当时看了还感动的不行            
(4星)	 感同身受神马的最触心，最催念。。            
(5星)	 温暖 周一围的守候             
(4星)	 主要是很喜欢这个名字。还有剧中赵薇饰演的编辑，是我向往的职业。其实我还是喜欢赵薇的。            
(5星)	 现代最美的  赵薇            
(4星)	 发现赵薇成熟了，不愧是个名演员了，也惊喜地发现了侯子...演员演得很成功，塑造了一个爱情活雷锋的童话形象，可比另一个动不动就哭的男主角可爱多了。因为侯子我喜欢上了周一围，觉得这个演员应该是个不会辜负观众的家伙            
(4星)	 就让我的爱再绽放一次            
(5星)	 大学时候看的片子，留了很多眼泪，像候子这样单纯，真实的，心甘情愿付出的男人太少了~~            
(3星)	 记住了侯子。            
(5星)	 很好看的一部电视剧            
(3星)	 前年陪娘看的 然后发现周一围跟赵薇长得真像            
(5星)	 细腻的表现手法，人物的刻画挺细致的，随着剧情发展体会着每个人的心路历程。一个人缺失的爱，最终造成数个人的伤痛。            
(5星)	 感觉很好，喜欢雨薇+余恒毅，可惜最后成了那么个结局~~~            
(5星)	 都看吧            
(4星)	 喜欢！就是喜欢！            
(NA)	 现实生活中没有侯子吧            
(4星)	 认为最出彩的是男猪脚周一围            
(3星)	 没看完~            
(5星)	 被感动的一塌糊涂            
(NA)	 把周一围给捧红了！            
(4星)	 第一次对这样的结局无语 可能当小说来看的话就不会这样了吧。            
(5星)	 周一围竟然比赵薇演的还要好，最爱猴子            
(NA)	 谢谢你曾经爱过我            
(4星)	 很喜欢猴子，里面的每一个人都可以说谢谢你曾经爱过我            
(4星)	 我记得是一寝室人一起坐在门后面看的。。忘了情节。。            
(5星)	 能让我静下来的东西 熟悉            
(3星)	 實在太糾葛了。要不是趙薇哪看得下去....週一圍 海岩男 你鼻子敢再大一点吗！o(￣ヘ￣o＃)             
(5星)	 看了不下5遍，最爱的电视剧...            
(4星)	 无奈~            
(5星)	 大爱赵薇在里面的角色。            
(5星)	 反复看了好几遍的  首播 齐鲁 home computer            
(3星)	 谢谢你曾经爱过我，            
(5星)	 爱情？            
(4星)	 女主角很幸运            
(3星)	 我爱你，这就够了。            
(5星)	 大爱王惠玲~~ 刚看完后的那几天整个人都抽离了            
(5星)	 不错            
(4星)	 除了秦海璐都挺不错的。            
(NA)	 赵薇同志升级一部            
(4星)	 我妈说这电视假，30多的女人怎么可能这么缺心眼，可我固执的相信            
(NA)	 太虐了，放弃。            
(4星)	 即使没有結果，我也要愛。因為不想讓自己後悔。            
(5星)	 迄今赵薇最棒的电视作品            
(5星)	 久违了的好的大陆片 看完了得让心里缓一阵的电视剧            
(4星)	 绝对是一部折磨人的剧，情商不高的千万别看，一来怕你看不懂，二来估计你看懂了而身陷其中~            
(NA)	 喜欢周一围，没有什么道理……            
(4星)	 最后 雨薇的巨幅照片被风吹起时候 心里的痛隐隐的强烈起来 很难受 都说这个开放式的结局是对广电的屈服 不管原著还是原结局雨薇是否都只爱霍然 我都被侯子感动了 没错 感情不是几般道理就可以解释的 但我就是固执的认为 雨薇对于侯子 绝不是简单的感激 因为那爱单纯执着又如阳光般温暖深沉            
(4星)	 挺喜欢的~~            
(5星)	 剧本写得很细腻，赵薇的表演 个人认为不过不失，倒是其他配角演得入木三分啊，赵薇的爸妈、追她的那位工程师 猴子妈和那位店老板都很出彩啊，秦海璐的表演让人惊艳            
(4星)	 参演的名人不少，演技也都很棒，结局是因为电视发行担心影响不好给改了，改的看的人都有点摸不清东南西北了，但是总的来说电视除了结局都不错，很喜欢电视里的侯子，那种执着，不傻感觉很理智很值得。            
(4星)	 看着赵薇很心疼。            
(5星)	 因为这部电视剧开始喜欢赵薇            
(4星)	 主要我很喜欢赵薇。            
(4星)	 爱你是我生存的方式。            
(5星)	 主题曲很好听，里面的感情很感人，尤其是猴子的~~            
(5星)	 大爱雨薇和猴子            
(5星)	 让我喜欢上了熟男。            
(NA)	 爱你是我生存的方式，空气稀薄，也要坚持……            
(4星)	 谢谢你曾经爱过我.            
(4星)	 要是霍然最后能和雨薇在一起就好了。。好可怜。。不过赵薇也是越看越好看呢~            
(5星)	 闺女的亲情戏演到了一定境界            
(NA)	 没看完。            
(3星)	 主要是因为M姐姐说在赵薇身上看到了我的影子，真的吗？            
(4星)	 侯子这般的等待需要莫大的勇气！            
(4星)	 我以每年一部的速度看国产连续剧。09开年，生活时尚频道就重播。今年的定额完成了。            
(3星)	 赵薇在里面很显老  整部剧有些压抑            
(4星)	 对小赵刮目相看.这年头,原来国产剧也是有不错的!            
(5星)	 是哭着看完的            
(5星)	 今年很喜欢看的电视剧 大爱~~            
(4星)	 爱情让人有很多矛盾...            
(4星)	 纠结            
(4星)	 前14集很好看，后14集俗啊~~~~不过小赵同志不错。            
(4星)	 一部让我对爱情有点不理解又有点矛盾的电视剧 够我回味好久            
(5星)	 电视剧就是电视剧，不管现实不现实，好看最重要……            
(4星)	 赵薇真不错            
(3星)	 在失落的季节里恰巧碰见了这剧，当时间将一切慢慢褪洗后，心里真的就剩下感谢了，感谢曾经爱过。雨薇的妈妈说，生活不是感觉。或许两人在一起时你会认为缺少那么点激情，但，失去之后，你才会发现他对你有那么重要……            
(4星)	 挺好的片，看过后会想想自己的爱情观。有益的的爱情粮食。很值得看看            
(3星)	 庹宗康的哥哥 雍正 赵薇演挺好            
(5星)	 瓜娃，说你呢，虽然故事不曾发生在我二人身上，虽然我不确定你是否爱过我...瓜娃，说你呢，虽然故事不曾发生在我二人身上，虽然我不确定你是否爱过我...每次猴子的旁白，都令我心碎            
(3星)	 编剧太不容易了……能整这么长……            
(4星)	 赵薇演的很好,周一围也不错!            
(3星)	 081020……100421……终于看完了            
(NA)	 永远的薇薇，永远的爱。            
(3星)	 侯子，如此深情的男银，还有吗？ps：没想到再来修改这部电视剧的状态时，已经物是人非。没有侯子，也没有霍然。            
(5星)	 赵薇主演的电视剧一向叫好，有些变动胜于原书            
(NA)	 真诚地像一把利刃            
(5星)	 赵薇的涅槃之作&amp;新宠周一围突围之作&amp;最近纠结的原因所在            
(4星)	 赵薇转型之后的又一力作，除去《京华烟云》，这部片子算是不错的了。            
(5星)	 精彩            
(5星)	 找一段完整的时间，静悄悄的看完，你会被打动的            
(NA)	 超赞            
(4星)	 完全是因為趙薇同學才看這部劇的，不過還不錯。            
(5星)	 看过即感动            
(NA)	 爱好沉重，又好悲伤。。。            
(NA)	 爱 很感动 让人累的爱情不是好的爱情？            
(5星)	 我满喜欢的。            
(NA)	 谢谢你曾经爱过我             
(4星)	 迷上霍然版庹宗华            
(5星)	 对亲人的爱,对朋友的爱,对恋人的爱,点点滴滴融入于雨薇的执着,侯子的真实.爱需要坦然,需要付出,更需要真实.也许回首时自己失去了很多,但是一切值得,因为爱过了.            
(NA)	 近10年来唯一一部感动我的电视剧            
(3星)	 赵薇还是挺顺眼的，小围围很亮眼呢~自信被填满的感觉？憧憬，呵呵。            
(5星)	 力荐            
(5星)	 你让我在最坏的时候，依然相信自己被爱。            
(4星)	 star lovers            
(4星)	  &#34;人生没有最好的选择,重要的是要担当自己的选择.我选择,我无悔,我担当的起就够了.人生虽然复杂,但是也没有想象中的那么复杂.该放下的时候就应该放下.&#34;            
(4星)	 剧本真的很好。赵薇身上有一种宁静的气质，是当代演员身上比较少有的。谭雨薇勇于面对自己的内心，也很坚强。她的故事让人相信，只要执着，总会得到想要的。当然，个人觉得里面的演员演戏全部用力过猛。            
(5星)	 类似幸福像花儿一样的剧情，只要敢追求，就一定追得到爱情！            
