http://movie.douban.com/subject/2148820/	岁月风云
(4星)	 香港和内地合拍的 TVB大剧一般都不错 宣萱里面那个角色 我真的恨啊 怎么会那么傻 哎            
(2星)	 除了喜欢的明星外，没啥可说的。            
(3星)	 拖沓            
(3星)	 对于这种两岸合拍还是不太接受哎，巴特，林峰真帅到掉渣            
(2星)	 虎头蛇尾            
(4星)	 这个阵容，姑且忽略剧情吧            
(3星)	 关系太乱了            
(4星)	 三哥风采不减当年~~~            
(4星)	 从这部电视剧知道了林峰唱歌很不错~            
(3星)	 虽然有点老套，虽然大陆这边表演都好生硬，虽然···但是还是爱了            
(4星)	 又是家族史...            
(1星)	 阵容是强大没错...但是没什么意思..            
(3星)	 可惜了那么一哥一姐，特别是戏份摊薄后三哥的演技都没怎么发挥            
(5星)	 从此开始了我对佘峰华丽丽的爱。            
(5星)	 一直在看。总算看完了。            
(4星)	 主题曲很好听            
(2星)	 在CCTV看了3集，受不了。。            
(3星)	 马德钟实在太正啦！男人不坏，女人不爱！            
(3星)	 貌似企业宣传片。。越往后越拖。。越往后越俗。。            
(NA)	 看到一半 看不下去了            
(3星)	 合拍就是垃圾            
(4星)	 回归大剧            
(5星)	 Love this!            
(3星)	 阵容大就大啦，不过无想象好看！            
(3星)	 和央视的合作有点别扭            
(NA)	 临风            
(3星)	 好看            
(3星)	 湖南卫视十点档。。。            
(4星)	 2007暑假看的.关于那插曲,小白都可以发短信给我,还晚上上网,足以说明那插曲真的很夸张!!!            
(4星)	 最近在看，还没有看完中，从家里看了20集，那是在维仔的电脑上，在宿舍就开始狂下，狂看了，这里集数是60，我下的是cctv的58集啊，不知道是什么原因。。。            
(3星)	 断断续续..            
(3星)	 宣萱演的华清瑜到了最后5集才进入的佳境，唉，真质疑编剧的水平，把华清瑜写成那样，幸亏最后的部分正常了一点，若不然真不知道这个华清瑜是不是不正常！            
(NA)	 没看完没看完 = =            
(3星)	 不喜欢            
(4星)	 暑假，妈妈，爸爸            
(2星)	 什么样的演员都无法拯救合拍剧            
(5星)	 简直是TVB的巅峰            
(5星)	 不行啦，入迷啦            
(3星)	 唯一能吸引我看下去的只是林峰与佘诗曼的感情线索            
(4星)	 我只爱看风邦恋，为什么老是超虐阿峯和阿佘呢？            
(3星)	 【好無聊的開始馬克看過的TBB】            
(4星)	 林峰和佘诗曼现实一对就好了~~            
(2星)	 只看了有林峰的部分            
(NA)	 马克前夫剧            
(3星)	 2007年            
(3星)	 跟创世纪比起来就差远了。。。            
(4星)	 庆香港回归的合拍剧，林峰剧中造型太帅气，和佘佘的感情线是一大看点，华振邦的痴情，大爱！还记得那卷卷的毛发，哈哈！            
(4星)	 地震不上课，天天冒死跑回家守着电视看            
(4星)	 近几年合拍剧都表现不是很好，这部还可以吧。            
(4星)	 喜欢秉怡，冯绍峰，吴卓羲的角色            
(3星)	 港台合拍……            
(2星)	 我都没看完，太累了            
(3星)	 感情没有输和赢，对或错，只有爱与不爱            
(3星)	 这是合拍片 胜在人多~~~林峰的表现不错~~            
(3星)	 我妈都不愿意看的剧。因为林峰和佘诗曼坚持看完！我超佩服自己。            
(4星)	 为了港方强大卡司来看的，内地的部分果断忽视了，连主旋律的剧情都自动屏蔽。。。            
(4星)	 当年不读书也要 看啊            
(3星)	 恩，当年拉着我爸妈一起看的，但是一般啦~            
(3星)	 不太好看其实。是冲着回归周年和明星阵容才看的            
(4星)	 还不错，就是为胡杏儿打抱不平，佘诗曼凭什么呀。这时候的心已经随着时间流逝变成了倒杏儿派。            
(4星)	 插曲好听爆了！            
(4星)	 哼，刘松仁了不起            
(2星)	 tvb试图亲近大陆，结果真是“算了吧您呐”。            
(4星)	 看这种电视剧是容易上瘾——家族瘾            
(3星)	 这阵容啊,演出来就是一大段史诗,味道不重            
(3星)	 60集的又解決了。。。            
(3星)	 nice drama 愛在回憶中找你            
(3星)	 老戏骨……            
(4星)	 鸡肋，食之无味弃之可惜，幸好阿佘的角色甚得我心。            
(3星)	 不喜欢合拍剧。            
(3星)	 看的断断续续，剧情太长了。但当年两位峰少（林峯+冯绍峰）让我觉得挺好。            
(3星)	 插曲是秋天不回来.........蛋疼            
(4星)	 那时还会对林峰发花痴，那时还不喜欢老头，那时我根本分不清剧中的姑娘们= =            
(4星)	 记得挺不错的            
(3星)	 合拍劇果然永遠都不考譜…            
(5星)	 喜欢佘诗曼~~！            
(3星)	 合拍剧还真是降低水准。幸好HK演员的演技压住了气场。            
(5星)	 这部电视剧的制作目的，不敢苟同，但是就电视剧本身而言，质素不错，是一部好剧，励志，有影响力。            
(4星)	 好长好长好长............            
(2星)	 合拍的就是垃圾啊            
(NA)	 某个暑假每天晚上和老妈一起看CCAV。。。那让人惊悚的国配，悲催的合拍给我留下了森森的印象= =            
(4星)	 那时候佘诗曼还是美的            
(4星)	 宣萱让位，佘诗曼上位            
(3星)	 此片意淫还不错            
(4星)	 不喜欢合拍剧的，但是林峰在这戏很帅，加一星，哈哈！            
(3星)	 这个貌似看过，时间有点久了就忘记了            
(3星)	 为了演员我也给3星啊~            
(3星)	 当年大结局没看到还遗憾了好一阵子            
(NA)	 超超超...喜欢的电视剧。            
(NA)	 没看几集= =  但当年的冯绍峰啊。。。他老了残了才开始红。。。各种唾弃            
(3星)	 唉，这片子……我可爱的邦少就这么着变成花洒了么……编剧你还我有为邦……风邦恋很美好，城管来了很强大，国语配音比较抽，国语配乐让我想砸电视！！！有米人觉得永标和邦邦站在一起那身高差十分销魂……            
(4星)	 还不错，喜欢三哥            
(5星)	 超级喜欢阿佘演的这种有点坏坏的又很厉害的女人            
(4星)	 我就说冯绍峰这小子会红吧~            
(NA)	 用香港那边的配音实在实在太好了！！！            
(5星)	 帮岁月风云拉拉分，不完美，但也反映了时代变换的动荡，人情冷暖/超爱雯女，没有办法的事情。            
(3星)	 林峰在里面还蛮帅            
(5星)	 为庆祝香港回归十周年的力作。家庭历史剧的感觉。            
(3星)	 乱七八糟的。            
(3星)	 3颗星。好像是中央8台首播的，大陆和香港合拍剧。一天天追的可幸苦了，回头望，似梦一场，我也不理解，唉，好在看到有峰少和阿佘的配对稍许养眼。            
(4星)	 其实还不错。当年演戏挺呆傻的冯绍峰如今红鸟。            
(3星)	 想当年是那么喜欢HK~当然，不是喜欢港剧。。            
(4星)	 別合拍了，求你了！            
(3星)	 一般 国企部分很假            
(3星)	 振邦的发型还可以            
(4星)	 阵容很好 只是 当年 我们还都年轻            
(NA)	 亚洲的电视剧基本要快进才能看            
(4星)	 绝对胜过香港姊妹那个大烂片            
(NA)	 之前看CCTV版对此剧无感的情况居然在看完粤语版之后成功扭转，国语版的配乐是最大的败笔，喜欢此剧的演员阵容。            
(3星)	 配乐那个烂 广告植入那个多            
(3星)	 还是逃避不了合作片的不融洽感觉。            
(5星)	 中国民营企业的成长            
(5星)	 像榮歸            
(3星)	 TVB8 再也没有年轻漂亮的女演员了            
(5星)	 我觉得还不错！是和内地携手最好的一部了！            
(4星)	 有点长，不过剧情还不错的            
(3星)	 印象较深的港陆来回跳。。            
(5星)	 众星云集 不容错过            
(4星)	 群星璀璨            
(4星)	 好正咯。            
(3星)	 虽然演员阵容极其豪华，不过剧情怎么看怎么乱。。。 还是喜欢苗侨伟和邓萃雯。。。。。            
(5星)	 明星不少            
(3星)	 国语版的插曲太雷了！            
(5星)	 胡杏儿和冯绍峰的首次合作啊T T            
(3星)	 很萌的冯绍峰= =            
(NA)	 大杂烩。            
(5星)	 很强大很喜欢很赞            
(3星)	 绝对是明星牌……            
(3星)	 这不是要纪念香港回归嘛            
(4星)	 好看            
(5星)	 算是阵容强大，无奈就是收视不好。。            
(4星)	 这种题材总是让我看得紧张..            
(2星)	 合拍剧真的无爱。            
(3星)	 尼瑪當年馮紹峰跟胡杏兒演一對的時候！老紙就看好他！尼瑪！！！            
(4星)	 可以看看佘诗曼~            
(3星)	 富二代改造史？            
(4星)	 消遣的电视剧，看了前半截，因为比较欢乐            
(4星)	 众星            
(NA)	 最早期看的长篇剧。。还好啦 没有后来风闻那么差吧。。风邦真的很出彩 我爱上的第一首粤语歌爱在记忆中找你 花车亲吻 打碎酒瓶 十块钱过一天。。现在也很深刻 还有雯女 开头讨厌后尾爱上 还有耍帅的三哥 还一度对X2大马相当无好感 以及还未演宫的冯绍峰和未被称为膀大腰圆的赵柯 我还喜欢            
(3星)	 开始看不下····            
(3星)	 中国汽车梦。N年前曾经被死党逼着看过，因为她家峯少~那个时候居然没有注意到青葱的少爷，怨念一下。            
(4星)	 三哥是亮点，林峰和佘诗曼的组合很惊艳！！            
(3星)	 四十集还是六十集我竟然耐下心来天天看 看完了 以前还真是比现在有激情啊 现在连电影都很少有一次看完的- -            
(5星)	 剧情依然延续TVB的一贯家庭剧风格，但是我喜欢单单是因为莑佘配            
(3星)	 中国的汽车梦，竟然把我看哭了，汗            
(2星)	 mainland, dont mess around with hk            
(5星)	 峰少，肯定要支持的撒。。。若干年前看。传说因为要拍岁月风云，就安排峰少在溏心风暴中提前出车祸了。。。            
(3星)	 ok            
(4星)	 阵容强大，编剧立意也不错，不知道为什么就是不火·            
(3星)	 雷声大，雨点小，合拍剧的试水之作！            
(2星)	 合拍剧一向不待见            
(3星)	 囧了~我还真看过@ccgv            
(4星)	 好吧。。其实那个时候我看的就是冯邵峰演的振民。。。            
(3星)	 都已经是07年的戏了。。。            
(4星)	 宣萱和劉松仁果然演得好！但是所謂合拍劇太雷人了。。。            
(4星)	 出了合拍有点窘 商战太小儿科外 有林峰和吴卓羲 多加颗星            
(3星)	 坑爹！我芬小姐戏份特么的少            
(5星)	 家族史，经典。我要让中国人的汽车走向全世界。每集开头曲都有，震撼啊            
(5星)	 可以说是看过的最长的一部电视剧了，回味无穷。            
(3星)	 剧情一般，但是好多人啊.....            
(4星)	 老套路家族商业大戏  记得当年边学雅思边偷着看的 真过瘾            
(3星)	 名演员好多。林峰还不错。            
(5星)	 私心私心，死花痴。花朵邦,颓废邦,眼泪邦.励志邦.....            
(3星)	 罪魁祸首是~合拍剧~            
(3星)	 富家子弟成长路...剧情比较狗血..庆回归合拍剧不容易~            
(2星)	 合拍剧。。            
(NA)	 生硬的简直了            
(5星)	 超级爱的TVB剧。。睇住林峯同佘诗曼仲有胡杏儿既三角恋真系经典咯！好睇啊！！            
(3星)	 没有想象中的经典，还行吧~~~            
(4星)	 虽然有点长，但是还是可以的，不过看好这个就不太喜欢马德钟了。            
(4星)	 林峰把我心疼死了            
(4星)	 很不错。            
(5星)	 给我太多感动            
(3星)	 合拍剧 当真觉得内地要努力            
(4星)	 终究比不过天地男儿，少爷敌不过张智霖，马德钟也不会比罗嘉良演的更加出色。没有了古天乐，没有了鲍方，没有了郑少秋，只靠刘松仁真的撑不住。佘诗曼永远无法和当年的陈松伶相提并论。            
(3星)	 台庆剧，演员阵容很强大，与内地合作，但看后感觉很失望。            
(NA)	 电视剧营销之典范 吉利十年~~            
(3星)	 合拍剧很不合拍。两张皮            
(4星)	 对里面的交响乐版的三套车印象深刻            
(5星)	 不多说。。。我是很喜欢这部戏的            
(3星)	 看。            
(4星)	 香港回归献礼片，感觉剧情结构上有些问题，不过演员表演值得称赞，我们看的就是明星~其中复出的三哥是一大亮点！            
(3星)	 陪着老爸看完的。            
(4星)	 不错 众星云集却没有失了重点            
(3星)	 大制作一直没想象的好。            
(5星)	 林峰啊~HLL的帅锅=w= 那首“爱在记忆中找你”也很好听            
(4星)	 就是爱宣萱            
(3星)	 没有大陆部分的话会很好看，有点太中国特色了            
(4星)	 其实我觉得挺好看的            
(4星)	 除了有“大陆佬”的可以跳过……            
(4星)	 比摘星之旅好看            
(4星)	 纯粹冲演员            
(4星)	 喜欢林峰            
(4星)	 以合拍片来说，这部算是不错了。虽然当中有些角色不太讨好，有些故事情节也有点什么，但大部份的演员都演得不错。个人认为，当中以邓萃雯、佘诗曼、伍卫国和廖京生表现得最好。这也是林峰从视以来表现最稳健的一部。            
(5星)	 表太认真的看            
(5星)	 纪念香港回归十周年，在中央八套看的。对林峰在北京追女生那段印象很深            
(3星)	 还可以 虎头蛇尾。            
(4星)	 央视放的那些个配乐啊，真雷人            
(3星)	 两岸合作的戏实在是没法看，迟迟不忍心看摘星。。。            
(4星)	 那首《秋天不回来》把我雷得外焦里嫩的            
(3星)	 总是觉得合拍剧很奇怪。            
(3星)	 豪华阵容，振兴民族工业~~            
(5星)	 作为我第一次真正认识tvb的剧作，我要打五星因为没有看完，开启了以后我看电视跳着看的毛病曾经看那么多港剧，原来很多出自tvb，可怜的亚视，看的时候已经没落精彩的剧情在我看到危永标变坏之前，后面因为学业的原因打住听说危变坏了就再也没看过让我热血沸腾，我管你是不是合拍剧            
(4星)	 有点意思。            
(NA)	 又是和大陆合拍的            
(3星)	 额 看阵容而已 内容囧            
(3星)	 内地色彩太浓烈了            
(3星)	 合拍片到最后总是。。期望高失望大 好象就是从此片开始不再对林峰有感。。            
(4星)	 刘松仁好帅            
(3星)	 阵仗很大，明星很多，但其实金玉其外败絮其中。            
(4星)	 最爱的港剧  没有之一唯一让我再重看一遍的电视剧             
(5星)	 气派！            
(NA)	 什么都有，有什么都不是。            
(3星)	 完全是为了看林峰和佘诗曼的爱情戏..其中的老戏骨..不错很..我爱死这里面的爱情..真的让人感动..爱在记忆中找你            
(3星)	 一跟內地合拍就不行了啊！            
(3星)	 白瞎了一群TVB名角儿。主旋律害死人            
(2星)	 对的起这么多明星么- -Ron童鞋 你的酱油打到病床上去了么 就让秋风带走我的思念~~~            
(NA)	 那年在清源路和姥姥一起看，时间静静溜走，也不觉得冗长，老爷子在阳台修板凳，小区树叶跟着锤子的节奏沙沙响。            
(3星)	 不能跟内地合作啊。。。            
(3星)	 刘松仁越老越有味道，哈哈            
(4星)	 不知怎的就是无比喜欢这部剧             
(4星)	 里面的汽车梦和风邦恋很值得看            
(2星)	 又臭又长            
(4星)	 好久之前了 觉得很赞            
(2星)	 这部剧真不咋样。。剧情也一般            
(3星)	 很有可能我看不下去了。。。            
(3星)	 合拍片。。            
(4星)	 这是我最近几年最喜欢的港剧了            
(4星)	 演员阵容太彪悍了。            
(5星)	 很值得看的电视剧，这是大陆港台合拍的一部电视剧，剧情不做作而且吸引人。最重要各路大腕剧中耍演技~            
(3星)	 合作片最惨的就是配音。            
(5星)	 意识形态很重的一部港片。到底是和朝廷台合作的。起点比较高。。。            
(3星)	 里面广告太多了！            
(NA)	 又是大剧啊            
(NA)	 合拍剧            
(3星)	 又长又臭            
(5星)	 好像有40集长。是我看的唯一一部用来学粤语的港片。pongpong给的。07年年底的寒假。当时觉得林峰佘诗曼特别配。当时有人说一年半和半年就是有差距的。现在想想那个寒假很幸福。那些sms那些nc那些讲不完的故事说不完的话。那些再也回不去的青葱小时代越发让人留恋。            
(3星)	 只能说不应该跟内地合拍            
(3星)	 为看林峰，但有点失望            
(3星)	 胡杏儿丑绝了            
(5星)	 林峰帅到家了            
(3星)	 庆祝香港回归10周年嘛            
(3星)	 合拍剧啊~但林峰佘诗曼还是很配的~            
(1星)	 合拍片...不用多说了吧            
(3星)	 一般。。            
(3星)	 追忆            
(5星)	 我只看了，风邦恋，突然发现，原来TVB的爱情可以拍的比台湾不知好多少            
(3星)	 tvb央视合拍演员阵容确实强大 不明白为什么那么多人觉得好看 民族工业么 个人不是很喜欢            
(3星)	 看了一半，没看完～～tvb还是不要再跟央视合拍的好，感觉不伦不类的            
(3星)	 央视tvb联手，粤语版的相对精彩一点。精华集中在前面。耳光甩不玩，眼泪流不完，巧遇恰闻……            
(3星)	 大家族            
(NA)	 当时觉得很不错，但是看TVB的剧，总会跟着纠结。现在却想不起以前的感觉了。            
(3星)	 很多喜欢的演员，但是对剧就是没感觉。光马德钟一人就误了很多戏，这种戏没罗嘉良压阵怎么行阿。            
(2星)	 在我眼里已经归于烂片一类，情节太白痴俗套。不过演员倒是都演得不错，尤其是伍卫国            
(5星)	 有林峰就有爱~            
(4星)	 花心華小三與悲情大標。            
(5星)	 很喜欢林峰和佘诗曼那一对的感情纠葛，而且很喜欢里面的剧情……            
(3星)	 真的不怎么样，让我不得不怀疑大陆与香港的差距。。。            
(3星)	 这么多的广告植入            
(3星)	 TVB和CCTV合作还背负着太多政治因素 南北融合的很吃力 虽然双方都很重视 演员都很大牌演出也都很努力 期待额值也很高 可惜出街后是杯具还是无法改变。。。            
(4星)	 其實我幾喜歡入面華振邦同阿佘之間嘅感情戲……仲因為咁好記得《愛在記憶中找你》……果幕林峯係咁搵阿佘又播住呢首歌超有feel！！！            
(3星)	 高考完 每日准点守候党八套 只为那一把心水的男人女人 峰杏居然没一起 狗血到要死的各种软广告 三哥和雯女还是很有的看的 松哥不用说啦             
(3星)	 那时候，那样喜欢那个女主角，那样偏执，那样极端，敢做肝癌敢恨。可是她是幸运的，因为有那样一个男主角存在，没有离开~所以开始喜欢佘诗曼            
(3星)	 太和谐了            
(4星)	 我覺得還不錯，主要是演員陣容~~馬德鐘真適合演這種壞的~~            
(4星)	 觉得这部戏比起tvb近几年的戏好很多，看多了tvb的家族斗争戏，好无聊像是近几年的《珠光宝气》、《溏心风暴》系列都是大制作，但是看到最后就觉得好腻，这部戏讲的是家族之间有分裂然后团结合作，这部戏很符合香港回归这个主题，我觉得很不错。            
(3星)	 比较烂            
(4星)	 怎么说，卡司都太强大了吧~~~            
(5星)	 香港回归拍这么一部戏不容易呀            
(3星)	 TVB不要跟内地合拍片了……            
(3星)	 太长了，而且不是很喜欢和内地合拍，觉得有些怪怪的            
(3星)	 汽车广告啊汽车广告~~            
(3星)	 太长了,tvb已经拍不出好的家族剧了            
(4星)	 还是关于家族聚散，共同创业的励志故事。其实误会不重要，最重要的是看自己的心里到底想要的是什么。            
(3星)	 断断续续看了一部分。和内地的合作，一直没适应过来。。。说不出的怪。            
(3星)	 中港合作剧~            
(5星)	 目前为止我觉得唯一一部没有坏人的电视剧            
(3星)	 两地合作片。给内地演员配粤语比给香港演员配国语还恐怖～居然60集，感觉把人的半辈子都演完了，起起伏伏，失败后又重新站起，越挫越勇。精彩的地方不是很多，前半部基本是一边看一遍干别的，后半部几乎用跑步速度跳跳跳。急着想看完，还是挨到凌晨4点多。不过在里面，雯女是越来越靓撒～～            
(4星)	 重燃对阿佘的爱            
(3星)	 冗长啊冗长，央视如果不放估计也不会看的吧。苗侨伟居然还是风度翩翩的范儿，真神。            
(NA)	 这部电视剧成就了峰佘            
(4星)	 华振邦            
(5星)	 为了风邦            
(4星)	 宣萱造型无论是前面长发还是后面的短发都很耐看啊            
(NA)	 雯女~~~            
(3星)	 你好，永远顶不顺的佘诗曼            
(3星)	 看看还行，有点长，可能因为人物多的缘故，处理起来也比较繁琐，不可能面面俱到，总的来说，还是老演员演得好，有魄力！！！            
(NA)	 配音呀。。。难听，央视的配音演员听不惯，TVB由御用的，干嘛不用            
(4星)	 追完了，男人戏看好逐渐痴情的三哥，女人戏看阿佘+宣萱。华振邦前后的转变让人难以接受            
(4星)	 只是看明星·            
(5星)	 好看，明星云集            
(5星)	 林锋和佘诗曼的爱情让我感动            
(5星)	 好看奥            
(4星)	 对合拍片来说算是不错的了            
(5星)	 大制作，首次TVB与CCTV合作，庆香港回归10周年，剧中有我一个背影。            
(NA)	 没看完            
(4星)	 希望吉利能越来越好～            
(5星)	 剧情.........!!!            
(5星)	 我觉得TVB每次的台庆剧都没让我失望..哈哈..            
(4星)	 风邦是我的最爱~~~            
(4星)	 好看            
(4星)	 还行 但因为是内地与香港合拍 总感觉很奇怪            
(5星)	 为了我们伟大祖国的统一=v=            
(3星)	 但是那个插曲不敢恭維~            
(5星)	 追了很久，我爱TVB            
(5星)	 这部片子当时在临海取景，刘松仁住的还是我姐姐工作的酒店呢！签名，嘻嘻，刘叔叔相当平易近人呢！            
(2星)	 TVB+央视出来的产品，有点不伦不类。            
(3星)	 10年回归之剧还是更喜欢香港的那条线            
(NA)	 挺和谐。。。我是冲着人看的            
(3星)	 就一点            
(4星)	 没有预想的好,但也不错~            
(3星)	 如此之多的TVB大牛，就拍出个这么东西？？            
(3星)	 无法忍受TVB被河蟹，不伦不类。打三星的原因还是因为阵容够强            
(2星)	 和央視合作..能這樣不錯了            
(5星)	 我喜欢            
(3星)	 好吧，我知道华喆的奋斗史很艰苦            
(5星)	 宏大            
(4星)	 雯女+三哥 很搭！ 峰少+佘佘 很搭！ 松哥+峰少 很搭！            
(3星)	 。。。无聊的时候可以打发时间            
(4星)	 学到很多东西            
(1星)	 看了3集            
(5星)	 真的很不错啊，我正在拿来学习粤语~            
(5星)	 事业，梦想——主旋律            
(3星)	 那个京味好浓阿。。刘松仁果然是老戏骨。。            
(4星)	 喜欢林峰和佘诗曼            
(3星)	 算是去年的tvb大片了            
(4星)	 60集终于看完了，啊~真纠结~            
(NA)	 巨长的片            
(NA)	 振邦和秀风。。。很爱你们。。            
(3星)	 阵容是有点强大，就是内地找的演员太二流了            
(NA)	 风云系列第三部，非常一般            
(3星)	 新剧中不错的            
(2星)	 阵容无疑是豪华的不仅主角实在是很华丽甚至所有TVB配角都齐了…合拍剧囧的地方在于，你听到周传雄的那些囧歌回荡在林峰同学颓废的表情之后。很无力……TVB你就别合拍了。。。有文化差异的，这不是碰撞出火花……是搞出人命啊            
(5星)	 超级好睇！            
(4星)	 其实也不是很难看,就是里面那些肉麻内地插曲实在肉麻......还有阿佘的配音不太好听            
(3星)	 唉~虽说是和大陆首次大阵容的合拍很有爆点。。但是更爆点的是我居然听到了秋天不回来。。。额地神啊。。。唉~            
(NA)	 07年夏天的疯狂，机场、考试、风邦、两个版本...好多的记忆            
(NA)	 我只是很喜欢林峰罢了            
(4星)	 家族故事            
(4星)	 峰少和阿佘真般配            
(2星)	 剧情普普通通，爱情太容易产生也太容易开花结果            
(3星)	 就是太长了呀            
(3星)	 有点失望            
(3星)	 演员阵容很强大原型是吉利            
(3星)	 港片一走大陆就这样了            
(3星)	 阿佘+阿峯 perfect match 愛在記憶中找你            
