http://movie.douban.com/subject/2210236/	济公
(5星)	 小时候看过的电视还真多，这个也看过，外加爷爷每天讲故事也讲济公            
(5星)	 很好的寓言喜剧。            
(5星)	 喜欢这两个时代！我生不逢时？            
(4星)	 老游很经典！            
(4星)	 吃鸡腿太香了 济公长得像我爷爷。            
(5星)	 济公很像性手抢的sid，很朋克，还有法力，吃狗肉吃得香，馋死我了，有一集的背景音乐做得相当梦幻，配上加echo的唱足以与the verve相媲美            
(4星)	 1988年，电视连续剧《济公》红遍大江南北，主题歌“鞋儿破、帽儿破，身上的袈裟破……”更被广为传唱。济公的扮演者游本昌以诙谐自如、妙趣横生的表演赢得公众的广泛好评，剧集播出时就达到万人空巷的境地。拍摄完成第七集和第八集后,因故主演换为吕凉,片名为《济公外传》。            
(NA)	 经常唱主题歌“鞋儿破、帽儿破，身上的袈裟破……”有时我们还把好好的扇子剪破，搞得一副嬉戏人间的模样            
(4星)	 老版的很给力，家家很喜欢            
(5星)	 拍得最好的济公            
(4星)	 鞋儿破帽儿破 身上的袈裟破            
(5星)	 游本昌            
(4星)	 最爱济公爷爷            
(4星)	 还记得那歌，，，哈哈 。。。            
(5星)	 童年呀，好怀念的小时候..            
(4星)	 这猪脚给力   但这种片  猪脚残废了就什么都没鸟。。            
(NA)	 换了狗腿。            
(NA)	 还是很经典的哈            
(4星)	 我家原来还有电影录音剪辑的卡带呢            
(4星)	 老爹超爱看，他的童年时济公，我的童年是葫芦娃。            
(5星)	 经典啊！            
(4星)	 很多内容不记得了            
(4星)	 都是童年回忆啊            
(4星)	 游本昌是一戏痴，主题歌想起来就逗。            
(4星)	 脏兮兮。。。            
(4星)	 。。那个老坑丸子哈尼心            
(3星)	 看过            
(NA)	 游本昌的济公演得特别好啊没人能超越。            
(3星)	 毕竟以前看的嘛            
(5星)	 好看好看！            
(4星)	 也算是昙花一现吧            
(4星)	 活！            
(5星)	 里面所有的歌都很好听~！~            
(4星)	 在老爹带领下看完的剧。            
(NA)	 其实济公也是我偶像，怎么办！            
(NA)	 演济公的这位是僕爷爷的学弟=v=            
(5星)	 鞋儿破，帽儿破，身上的袈裟破~            
(4星)	 童年回忆，经典            
(4星)	 也许还记得一些场景~            
(4星)	 经典无须多言            
(3星)	 其实我对济公无好感            
(4星)	 陪我度过儿时时光的影片            
(5星)	 酒肉穿肠过 佛在心中留            
(3星)	 小时候挺喜欢的。            
(3星)	 我觉得挺无聊的，济公很脏哦            
(3星)	 其实挺悲哀的            
(4星)	 小时候看这个学济公，我把自己的头发剪掉了- -!            
(4星)	 好像最初拍摄的一些电视剧都已经深入人心了            
(4星)	 好像n年前看过的剧现在都成了经典啦。            
(4星)	 童年            
(4星)	 老的来···            
(4星)	 总重播            
(2星)	 纪念邮本场先森            
(5星)	 现在还有电视台重播呢，现在再看仍然觉得很开心，就是特技太过时了。对游本昌的印象除了这个济公，就只有春晚上的吃鸡了。济公的主题歌当年真是红遍大街小巷！            
(2星)	 那个济公，想起来胃就不舒服            
(3星)	 外公老拿济公唱词对着我唱             
(3星)	 =。=            
(4星)	 那时的济公简直被演活了，现在的不提了            
(5星)	 拿扇子的经典荧幕形象有两个：一是诸葛亮 另一个就是济公            
(3星)	 小时候看的不多            
(4星)	 小时候好喜欢济公爷爷阿～～～～～            
(5星)	 惩恶扬善            
(3星)	 之前打工的饭店里看到有济公表演，和这个主演蛮像的，想不会这么落魄吧，为了八大公八大姨这种吃公款的表演。而且还穿插了黄段子，我吐。。。            
(4星)	 好看            
(3星)	 不太喜欢他。            
(4星)	 想想和谐社会的洗脑从那时就开始了……            
(4星)	 小时候喜欢的不得了            
(3星)	 鞋儿破，帽儿破，身上的袈裟破~经典            
(4星)	 总有一种想看又不想看的怪想法            
(4星)	 演的很好啊 呵呵 那首结尾曲当时的小盆友都会唱的 (*^__^*) 嘻嘻……            
(4星)	 小时候看的，记得第一集好象是在春节联欢晚会之后熬夜看的，当时觉得很好玩            
(4星)	 经典            
(3星)	 歌太经典，无奈最不喜欢的就是疯癫            
(4星)	 现在看不下去的。            
(NA)	 爸爸很喜欢看……            
(5星)	 現在還記得的是割瘤和運木的那兩段故事~            
(4星)	 老一辈艺术家对于表情和心理的揣摩都很用心，不像现在这些粗制滥造的圈钱片            
(4星)	 汗。。。好看。。怎么发现吕凉是导演？            
(3星)	 质朴的美好            
(3星)	 十一刚去过济公庙 叫什么已经忘了 哈哈 我不信这            
(4星)	 鞋儿破、帽儿破，身上的袈裟破……            
(4星)	 儿时的经典            
(3星)	 鞋儿破帽儿破            
(5星)	 那济公演活了！剧情也很好            
(4星)	 我爸还爱看这个呐！            
(5星)	 游本昌也算是我的一个偶像吧，哈灵！            
(4星)	 记忆。。。            
(3星)	 我娘说最不喜欢济颠了。            
(5星)	 外公。。。。。。。。            
(5星)	 鞋儿破 帽儿破 身上的袈裟破。。。生于80年代的我们一定都会唱这首歌吧 呵呵            
(4星)	 记忆。            
(4星)	 济公， 游本昌            
(5星)	 济公，我的热爱。            
(NA)	 唔，各台滚滚重播之际，才发现有些东西放在记忆里就好了            
(4星)	 那歌应该都会唱，这就叫红遍大江南北            
(NA)	 经典            
(4星)	 记忆中最早看过的吧、这个一定要mark！！！！！！！！！             
(4星)	 当年还真希望认识这么个神人，而且明白了表做坏人。            
(NA)	 童年啊童年            
(4星)	 鞋儿破，帽儿破，身上的痂痂多            
(4星)	 大夏天的 躺在地上看的            
(5星)	 太喜欢了            
(4星)	 提到游本昌就想到济公。            
(2星)	 只剩片头曲的印象            
(3星)	 听说新拍了一部 没有看 因为这部片子里的济公的形象在我心中永远不能改变了            
(NA)	 小时候恨喜欢看啊类            
(4星)	 游本昌 太经典了 但小时候不知为何总觉得看这个片子凉风嗖嗖有点阴森 哎            
(5星)	 鞋儿破 帽儿破            
(3星)	 也是每年寒暑假必复习的剧集啊            
(4星)	 我爷爷爱看！            
(NA)	 鞋儿破~帽儿破~身上的袈裟破~            
(NA)	 主题歌就是儿时的童谣。            
(5星)	 这个绝对是经典作品！！！            
(3星)	 比现在那个狗屁不通的好多了，现在那个就是所谓的侮辱吧。游本昌大叔出来扁死他们            
(5星)	 鞋儿破，帽儿破，身上的袈裟破~~你笑我，他笑我，一把扇儿破！！！！！！！！！！！！！！！！！！！！！！~~哈哈哈！1小时候我最喜欢了，他往身上一撮，神奇的药丸就出来了！！！            
(3星)	 爸妈老爱看这个            
