http://movie.douban.com/subject/2287747/	骗中传奇 騙中傳奇
(NA)	 人面不知何处去 桃花依旧笑春风             
(4星)	 值得再看的不错剧目            
(NA)	 人面不知何处去 桃花依旧笑春风             
(5星)	 有些人注定一辈子要有牵绊，无论爱无论恨。既然不能爱你，那么恨你好了，否则这一辈子都没有牵连了。            
(4星)	 小时看过，喜欢张家辉             
(NA)	 这个……第八集的时候，同一个伎俩已经用了三遍！所以我只是无聊至极了，才看的。            
(3星)	 下次来劫狱记得带钥匙啊X3....噗哧            
(5星)	 当年好喜欢张家辉啊。            
(2星)	 普通到看不下去了。             
(4星)	 这部还真是有趣啊，我就是喜欢那种跟人家斗嘴斗得很有趣妙语连珠把别人说的没脾气还能笑出来的感觉。剧情也算是起伏但老套，张家辉我觉得就这种风格就很好，非要走稳重和神秘感，其实不太能接受。最后吐槽，井哥虽然你一个下人平时没什么积蓄买不了衣服，可是今天你结婚也不能穿黑衣服吧，还一身黑啊。            
(4星)	 从何时开始到哪里结束.以前我知道怎样是爱别人,现在我知道怎么做才是爱你.            
(4星)	 原来这片子我以前看过的 这次重温一下第一个CASE最精彩，最后一个比较弱智            
(3星)	 仅以无聊时解闷用            
(NA)	 点点xx            
(4星)	 故事题材不错，有时蛮好笑的，虽然宣萱和张家辉其实不太搭配，哈。不过我还蛮喜欢女扮男装时的宣萱的，嘻。            
(4星)	 太传奇了，那师傅给我留下了童年的阴影。            
(4星)	 读小学的时候租碟看的，宣萱的粉丝千万不可错过！            
(NA)	 萱萱男扮女装，然后类似破案的那种。            
(4星)	 老片子了。。。最近又被挖掘出来。。。挺不错的。。。            
(5星)	 还有张家辉呢！好看的。            
(3星)	 弃了。。。            
(5星)	 太搞笑了！！永恒的记忆...果时我读初一            
(4星)	 很不错啊，大爱宣萱，张家辉是个有味道的男银啊            
(3星)	 挺逗的            
(NA)	 看了2集发现看过            
(4星)	 当时看到他们 成亲的时候，萱萱早起梳洗，张家辉很幸福的看着，很有爱            
(3星)	 宣萱好帅啊            
(4星)	 宣萱的男装极美。            
(4星)	 偶还是很稀饭宣萱的。            
(3星)	 怎么都没有人说那个钱宝儿呢。我觉得她好漂亮，虽然我觉得她突然变好是编剧功夫做的不够好。但是她演坏人的时候偏执又聪明，后来变好了看着楚楚可怜，我都很喜欢啊。            
(3星)	 也不记得剧情了。            
(3星)	 挺中意这种题材。外加张家辉和宣萱            
(4星)	 萱那叫一个美呀 把小时候的我迷得呀 张家辉还是年轻点精神            
(NA)	 宣萱            
(5星)	 很早之前的看的，在天涯的一个帖子让我回想起了这部戏。很好看，张玉珊虽然不算天姿国色，但是还是很漂亮的。我很喜欢宣萱扮演男装的时候，对未婚妻那么好，其实我很可怜宝儿，她这一生的爱恋都给了江玉麟，就算知道她是女人，这份爱恋也收不回来了，幸好最后她有一个美好的结局，希望这次她能幸福~            
(5星)	 非常搞笑            
(4星)	 N久以前看过的萱剧            
(5星)	 看第一集就喜欢上了~~            
(3星)	 宣、辉组合很新鲜呢。一对天生的冤家。可惜钱嘉乐好烦。            
(4星)	 10年前的老片了 现在拿来回顾一下 感慨啊            
(4星)	 TVB早点的电视真的很不错~            
(1星)	 此剧堪称TVB剧史上的“极品”。剧中人物不是小人得志，就是极度脑残，无一例外。编剧以其深厚的傻逼程度不断挑战观众忍耐极限。            
(3星)	 TVB的剧一向以戏说著称，经不起推敲。权当娱乐，整容强大，喜欢张家辉，喜欢宣萱，连钱嘉乐和苑琼丹现在也是A咖了。现在的TVB越来越不行了，陈志云走了就不知道会如何了。还是会怀念，很多部都很经典。            
(2星)	 杨怡的小龙套啊~            
(3星)	 10年前的片子了，一般般            
(4星)	 尽然看到杨怡在里面演个小妓女……第十二集里            
(4星)	 年轻时的宣萱真是漂亮。            
(4星)	 原来我看过~~            
(4星)	 是古装 是喜剧 还有反串 这些是我不喜欢的因素 可宣萱能演的这么到位 在加上个张家辉的搞笑本事 还是不错的感觉呢             
(NA)	 好彩个结尾皆大欢喜            
(4星)	 囧 初一看的 谈事业不记得啥了，就记得男装的萱萱也很美~！            
(5星)	 很搞笑的，很轻松的片子！            
(4星)	 老早早看的~~~~~现在貌似忘得差不多的啦·~嘿~记得当时蛮迷的哩~~江少不是一般人。。。。鉴定完毕            
(4星)	 玉麟太苦了,不过也很幸福            
(3星)	 张玉珊很PP啊~~~            
(NA)	 宣萱惊艳的男装。            
(5星)	 无论如何 这是踏进TVB大门的垫脚石            
(4星)	 7.5            
(5星)	 经典，很想再回味一遍            
(5星)	 算是第一次看这种类型的TVB剧，剧情很不错，宣萱那时候还很漂亮啊            
(4星)	 还是宣萱的电视，剧情基本忘记，好像她女扮男装            
(4星)	 好看            
(4星)	 牙行（鉴定馆）的爱情故事            
(5星)	 张家辉啊~终于做影帝了            
(5星)	 各方面都不错的TVB剧 就是故事前段有点恨铁不成钢般的咬牙感了 越后越精彩 至少是在那个年度上确实如此            
(NA)	 张家辉的逗 钱嘉乐的呆 最佳拍档呀            
(4星)	 不错            
