http://movie.douban.com/subject/1968618/	无名天使3D
(4星)	 这大概是我第一次认识阿佘= =            
(3星)	 就想说三个女人都很帅。            
(3星)	 三个美女 哈哈！！            
(5星)	 靓女没话说            
(4星)	 我喜欢那个坚强的哥哥。。。饿 我是怎么了。。。            
(3星)	 还行吧！            
(4星)	 很喜欢的题材很喜欢的演员            
(5星)	 女人该看看！            
(3星)	 里面我想值得一看的就是几位当家了，剧情也比较简单明了，有一些紧凑感，不过本人在里面还是有一些心得的！            
(4星)	 这个不就是山寨版的霹雳天使~            
(5星)	 應該是從這部劇才開始喜歡上教主的~~其他冇feel~            
(4星)	 三个女警的故事，与驼枪师姐类似，不过演员相貌比驼枪要强。            
(4星)	 看过，还是两遍噢~            
(4星)	 看美女不错，喜欢佘诗曼在里面的造型，剧情其实一般，不过总的来说还是值得一看的！            
(4星)	 喜欢帅帅的女人，不喜欢这部剧的感情戏。            
(5星)	 三位女演员的表现都不错，感觉非常帅气！            
(3星)	 这三个女人好强啊！羡慕ing            
(5星)	 5星为了李天华这样一个男人.PS，郭羡妮的现代装和古装真是天壤之别啊，这里太靓女了。            
(4星)	 我喜欢的佘诗曼应该是这个样子。            
(3星)	 情节不是很紧凑，但是每一集都断在很紧要的地方.....还行吧~            
(3星)	 前段时间重温了一次 嘿嘿 印象深刻            
(4星)	 我觉得，郭羡妮就这部里的路线很适合她。为什么之后的戏就那样了呢？            
(NA)	 不好看。。。            
(3星)	 郭羡妮在这里表现不俗。            
(3星)	 貌似也看过一点点，结局是都没跟那些男的在一起。我记得思琦是跟洪天明，阿佘是跟郭羡妮争谭耀文            
(4星)	 一口气看完的,好电视剧            
(4星)	 虽然经不起推敲，也可娱乐下！8错            
(3星)	 谭耀文专门演那种很挂三的角色，这次的感觉超像《美丽在望》里郭晋安的角色，倒是欧锦堂这次演个好人，倒是不错。洪天明长得不怎么样，杨思琦倒是很可爱            
(3星)	 可以看出港姐的日渐式微            
(4星)	 3个女人都是各有风姿。特别是打枪那里迷倒众生啊。SO开场就太帅了。可惜男人就麻麻得咯。            
(3星)	 冲欧锦棠跟谭耀文            
(4星)	 典型的傲娇，花姐，来打麻将吧            
(3星)	 3个美女...佘诗曼那时看的还显年轻点..喜欢思琦mm            
(4星)	 哇., 这么时候看的., 好早啊            
(4星)	 美女警察            
(5星)	 熟话说三个女人一台戏，因为这部喜欢杨思琦            
(NA)	 剧情棒！难得以女人为题材，又排的这么好看的。(陀枪师姐男人戏太多，不算女人题材)            
(3星)	 前面还8错。。后面看着么啥感觉了。。8过里面佘诗曼和郭羡妮比其他地方的好看饿。。            
(3星)	 俾劇情            
(3星)	 有点虎头蛇尾            
(3星)	 男主角实在不怎么样！            
(5星)	 开头很好看。但是结局不清不楚。或许这个才使真实的。但是看了心头还是很不爽            
(5星)	 非常喜欢，欧锦棠赞啊！            
(NA)	 佘佘大转变。。。好喜欢。。。            
(NA)	 有段时间很喜欢佘            
(2星)	 还蛮无聊的片子。            
(NA)	 阿佘最出彩的剧集，非常搞笑            
(3星)	 一般般了。欧锦棠在里面很帅            
(NA)	 美爆的卷发            
(4星)	 反恐的霹雳娇娃 喜欢佘的这个角色             
(4星)	 佘诗曼的高踢腿太帅了！这部片子开头就很震慑人啊！            
(3星)	 女人的表现不错，编剧太烂~            
(3星)	 其实我挺喜欢的 但是剧情实在是有些老套啊 于是评价也低了点啊            
(3星)	 三位都好美！            
(3星)	 开始还行,后面有点无厘头            
(4星)	 大波浪的阿佘 美阿。。。            
(4星)	 爱上TVB,爱上阿佘~            
(4星)	 charmaine sheh+sonija kwok=cool~except the triangle~            
(NA)	 不是很喜欢它的剧情。三位女主角还不错，那时候的杨思琦演技也很自然，不象现在的她表情模式化了，没事就笑得很灿烂甜美，可仔细一看，就知道笑有多假。伤心啊，这么一个好苗子，就这么被造化作弄。但不喜欢那三个男主角。最后的结局我很满意。快脆配不上宝儿，宝儿也是年轻任性，不懂得珍惜。一起走在花样年华的青春路上，一起成长，最终却是分道扬镳。虽然可惜，但好像又是清理之中的事。阿Dan更是不配让琦和花围着他转，她们俩最后真是做了明智的选择，都离开了阿Dan。喜欢她们三个姐妹最后在一起，对于男人，她们做到了“宁缺毋滥”，很刚            
(4星)	 最漂亮的佘诗曼~            
(3星)	 [大学] 港剧版的查理的天使 不过都是警察 不能那么随意            
