http://movie.douban.com/subject/4812752/	大物 대물
(3星)	 090211-280411@office/ 以民為本的總統，不搞政治掙扎的政客，多麼理想的觀念，現實可會出現？/ 淡已濃的愛情線，女大總統背後的男人，終於等到了。            
(3星)	 十集十集的跳着看！            
(4星)	 时代的潮流不可阻挡，韩国虽说有点乱，但民主还是可以堪称亚洲的典范。            
(4星)	 有教育意義的愛情片            
(4星)	 民主政治的虚无与现实            
(3星)	 胡的那段，真心有点搞笑。片子看了几集没有看下去，高贤贞实在让我提不起兴趣啊，权相宇也真心有点过气了，选举的过程倒有点像《市政厅》，我倒更喜欢三顺演的这部            
(4星)	 权相宇依旧很有味道~            
(4星)	 完全冲着高贤贞想看这部片            
(4星)	 10/01/02            
(4星)	 不管怎么说，一个以前被我们所诟病的“充斥着腐败”的“独裁”式国家能有这样的剧集出现就已经让我们既汗颜又羡慕了……            
(4星)	 认认真真、努力地、真真实实的生活！！            
(4星)	 虽然意淫，不过不错。真羡慕那个小国家相对的民主和发达            
(1星)	 yy过头            
(5星)	 撇开政治的国际因素，里面的角斗、人物个性、爱情线路都是这两年来韩剧难得的上乘之作，有诚意，有演技，有亮点，可惜可能韩国不擅长政治剧，很多地方都轻描淡写了，如果是大陆可以拍上一部40集的大制作了            
(5星)	 今天看完了最后一集，看得很感动啊~            
(1星)	 棒子的又一部YY巨作。。。看了第一集火大无比啊= =！！            
(4星)	 一年一度的韓劇，開頭6集最激動人心……可惜為了韓國的he xie社會，換了編劇和導演，之後情節有些狗血，但是演員絕對是好演員，值得一看！            
(4星)	 客观的说，不错，看得心潮澎湃。            
(3星)	 名字很赞，基本上大妈童话一部，倒是车仁表饰演的角色内心变化有点意思。而且米有想到的，棒子国这样的小屁国，居然把我们天朝领导人刻画的跟朝鲜国差不多。难道说全世界人民都认为天朝其实跟朝鲜差不多？？？！！！            
(5星)	 虽然里面的中国人很变态，有抹黑的嫌疑，但是，徐慧琳的初心，还是让人悸动，即使不是韩国人，也会喜欢有这样一位得民心的总统            
(4星)	 高姐姐演技太牛逼鸟            
(5星)	 剧集从各方面来说都是有缺陷的,但是我为了高贤廷和权相佑这对全新的完美CP打上五星,你们如此让我荡漾让我激动..高JJ的气场每次都要提及一下,还有最重要的是她的那份自然朴实吸引了我..            
(3星)	 不管别的至少这个题材中国不敢拍.......            
(5星)	 只看剧情，不牵扯现实，剧还是不错的，三个主演都不年轻，却都是演技派的。。禁不住会跟随剧中的人物一起流泪一起笑，权相宇的演技哦，没话说！            
(3星)	 韩国版的change~ 节奏太慢了~~受不了~~            
(3星)	 本来是两星的，但一，中国会拍类似的东西吗？能拍吗？敢拍吗？拍出来能放吗？二，棒子都开始反思自己的制度了（他们以前是没民主，现在是民主后反思自己民主制度中的缺陷），俺知道俺们落后时必然的。三，戏剧的表现手法还是太韩剧了，这个。。。后面看不下去了.弃.            
(NA)	 政治，总是会让人迷失方向，再那其中，真挚，热情是在现代也体会不到的……结局有点快了……、            
(NA)	 老人的片子            
(4星)	 只为“保护国民”的初心~            
(5星)	 好帅好帅好帅好帅好帅呀            
(5星)	 确实不喜欢太言情的片子，政治点挺好的。。            
(NA)	 2010/12/18            
(4星)	 政治博弈剧。            
(5星)	 政治题材——韩国电视剧的突破。            
(5星)	 一开始觉得太幼稚，越到后面越给力            
(3星)	 还可以啊            
(5星)	 很多人因为第一集就给了它低分，很不公平哦，抛开国家立场，这是部好剧            
(4星)	 喜欢这个女人理想的政治            
(4星)	 两集一感动、精品电视剧！            
(1星)	 高賢貞和權相宇演技太過，外型又不相襯，看了真彆扭，劇情進度緩慢又沒預期中的精彩，不懂收視率怎麼會那麼高？4集棄.....            
(5星)	 非常值得一看的片子，有点美剧的味道            
(3星)	 政治啊 政治。。。            
(NA)	 第一集SB啊。= =            
(NA)	 政治这种东西真是搞不懂，但是党派之争还是很丑恶的，这种电视剧太过理想化，我们的政界人士如果都能清廉正义，一切为民众着想，还怕国家不强盛吗？这个假设本身就不成立            
(NA)	 雷到我了~            
(1星)	 恶心到极点，值得收藏。。            
(4星)	 权相宇 的演技            
(4星)	 居然让我哭了……            
(5星)	 我是冲着两个帅哥才看的~~剧情可忽略...            
(3星)	 我承认第一集就弄瞎了我的氪金狗眼！            
(4星)	 让人看看遥不可及的热情，也不错~~~~~~            
(4星)	 好看~很多的演说，想起以前上课学的演讲稿。。。            
(1星)	 大你妹物，大雷啊！            
(5星)	 巨好看~            
(NA)	 完全冲着权相佑才下这部剧的，可真的一点都看不下去，果断弃局，虽然还是觉得好可惜。。。。。            
(3星)	 喜欢权相佑            
(4星)	 剧情很扎实，但是受不了女主又圣母了，表哥多年还是那么帅啊~~            
(NA)	 追了这么久，终于看完这部戏了~还是很不错滴~            
(4星)	 高贤贞            
(5星)	 剧本很扎实，人物更鲜活            
(4星)	 就是看到一个酷似温叔的领导人出现，我笑翻了，所以给了4星            
(5星)	 作为娱乐不要和什么连在一起 这部电视剧绝对值五颗星 呜呜结局好感人啊！！！            
(4星)	 还是有点虎头蛇尾。。权相宇在这里演技不错。。            
(3星)	 这种方式说政治，我还能看看            
(4星)	 结尾太草率啦，虎头蛇尾的感觉。韩媒评：最大受益者是权相宇，演技收到好评。            
(4星)	 喜欢车仁表。            
(4星)	 高姐姐演技不错。            
(3星)	 2010.10.07开始看，2010.10.08第二集            
(4星)	 YY党神马的。            
(2星)	 2集 弃            
(4星)	 看善德 超喜欢高贤廷的演技~ 那潜艇一看就是天安号 把中国弄成朝鲜样 韩国有病 是韩剧都要拿中国说事儿 还别说 那演员倒有点像涛哥…德拉吗嘛 总是被扯到爱国 1集就是因为大家都在骂才开始看的 不过看到后面真的被感动了 忽略中间检察官做牛骨汤的部分 换了编剧才又起色啊            
(1星)	 看了这部戏我真的可以肯定思密达对天朝因爱生恨到了极点~真是个贱受~            
(5星)	 카리스마 있는 그녀.....기대.....^ ^具有神奇魅力的高JJ...无比期待....^ ^            
(4星)	 没有全部看完．            
